من	從	مِن	從	ADP	ADP
القرن	世紀	قَرن	世紀	N;NOM;DEF;SG	N
الموقع	位置	مَوقِع	位置	N;NOM;DEF;SG	N
الموقع	地點	مَوقِع	地點	N;NOM;DEF;SG	N
القدم	腳	قَدَم	腳	N;NOM;DEF;SG	N
القدم	英尺	قَدَم	英尺	N;NOM;DEF;SG	N
القدم	英尺	قَدَم	英尺	N;NOM;DEF;SG	N
القدم	腳	قَدَم	腳	N;NOM;DEF;SG	N
القدم	腿	قَدَم	腿	N;NOM;DEF;SG	N
منطقة	區域	مِنطَقَة	區域	N;NOM;INDF;SG	N
منطقة	區	مِنطَقَة	區	N;NOM;INDF;SG	N
منطقة	地區	مِنطَقَة	地區	N;NOM;INDF;SG	N
منطقة	區	مِنطَقَة	區	N;NOM;INDF;SG	N
منطقة	區域	مِنطَقَة	區域	N;NOM;INDF;SG	N
منطقة	面積	مِنطَقَة	面積	N;NOM;INDF;SG	N
منطقة	地區	مِنطَقَة	地區	N;NOM;INDF;SG	N
منطقة	區域	مِنطَقَة	區域	N;NOM;INDF;SG	N
منطقة	區	مِنطَقَة	區	N;NOM;INDF;SG	N
الرمز	符號	رَمز	符號	N;NOM;DEF;SG	N
الرمز	密碼	رَمز	密碼	N;NOM;DEF;SG	N
الرمز	編碼	رَمز	編碼	N;NOM;DEF;SG	N
الرمز	碼	رَمز	碼	N;NOM;DEF;SG	N
البلد	國家	بَلَد	國家	N;NOM;DEF;SG	N
مدن	城鎮	مَدِينَة	城鎮	N;NOM;INDF;PL	N
مدن	城市	مَدِينَة	城市	N;NOM;INDF;PL	N
تعداد	列舉	تَعدَاد	列舉	N;NOM;INDF;SG	N
نتيجة	結果	نَتِيجَة	結果	N;ACC;INDF;SG	N
الكلية	學院	كُلِّيَّة	學院	N;NOM;DEF;SG	N
الكلية	書院	كُلِّيَّة	書院	N;NOM;DEF;SG	N
الكلية	大學	كُلِّيَّة	大學	N;NOM;DEF;SG	N
الكلية	腎	كُلِّيَّة	腎	N;NOM;DEF;SG	N
الكلية	腎	كُلِّيَّة	腎	N;NOM;DEF;SG	N
ولاية	國家	وِلَايَة	國家	N;NOM;INDF;SG	N
ولاية	州	وِلَايَة	州	N;NOM;INDF;SG	N
العرض	優惠	عَرض	優惠	N;NOM;DEF;SG	N
العرض	寬度	عَرض	寬度	N;NOM;DEF;SG	N
جامعة	大學	جَامِعَة	大學	N;NOM;INDF;SG	N
المساحة	面積	مِسَاحَة	面積	N;NOM;DEF;SG	N
المساحة	地區	مِسَاحَة	地區	N;NOM;DEF;SG	N
المساحة	區域	مِسَاحَة	區域	N;NOM;DEF;SG	N
المساحة	區	مِسَاحَة	區	N;NOM;DEF;SG	N
الطول	長度	طُول	長度	N;NOM;DEF;SG	N
الطول	身高	طُول	身高	N;NOM;DEF;SG	N
الطول	高度	طُول	高度	N;NOM;DEF;SG	N
الحياة	生命	حَيَاة	生命	N;NOM;DEF;SG	N
الحياة	人生	حَيَاة	人生	N;NOM;DEF;SG	N
المركز	中心	مَركَز	中心	N;NOM;DEF;SG	N
المركز	中心	مَركَز	中心	N;NOM;DEF;SG	N
المياه	水	مَاء	水	N;NOM;DEF;PL	N
مجموعة	群組	مَجمُوعَة	群組	N;NOM;INDF;SG	N
مجموعة	群	مَجمُوعَة	群	N;NOM;INDF;SG	N
مجموعة	收藏	مَجمُوعَة	收藏	N;NOM;INDF;SG	N
قرى	鄉村	قَريَة	鄉村	N;NOM;INDF;PL	N
قرى	村	قَريَة	村	N;NOM;INDF;PL	N
موقع	位置	مَوقِع	位置	N;NOM;INDF;SG	N
موقع	地點	مَوقِع	地點	N;NOM;INDF;SG	N
مكان	地方	مَكَان	地方	N;NOM;INDF;SG	N
مكان	地點	مَكَان	地點	N;NOM;INDF;SG	N
نقاش	辯論	نِقَاش	辯論	N;NOM;INDF;SG	N
حجم	體積	حَجم	體積	N;NOM;INDF;SG	N
حجم	音量	حَجم	音量	N;NOM;INDF;SG	N
حجم	大小	حَجم	大小	N;NOM;INDF;SG	N
حجم	體積	حَجم	體積	N;NOM;INDF;SG	N
حجم	尺寸	حَجم	尺寸	N;NOM;INDF;SG	N
المحافظة	省	مُحَافَظَة	省	N;NOM;DEF;SG	N
المحافظة	省省	مُحَافَظَة	省省	N;NOM;DEF;SG	N
المحافظة	省份	مُحَافَظَة	省份	N;NOM;DEF;SG	N
المحافظة	養護	مُحَافَظَة	養護	N;NOM;DEF;SG	N
المحافظة	保育	مُحَافَظَة	保育	N;NOM;DEF;SG	N
المحافظة	保全	مُحَافَظَة	保全	N;NOM;DEF;SG	N
الحرب	戰	حَرب	戰	N;NOM;DEF;SG	N
الحرب	戰爭	حَرب	戰爭	N;NOM;DEF;SG	N
قرية	村	قَريَة	村	N;NOM;INDF;SG	N
قرية	鄉村	قَريَة	鄉村	N;NOM;INDF;SG	N
قرية	村	قَريَة	村	N;NOM;INDF;SG	N
قرية	村落	قَريَة	村落	N;NOM;INDF;SG	N
قرية	村子	قَريَة	村子	N;NOM;INDF;SG	N
العام	年度	عَام	年度	N;NOM;DEF;SG	N
العام	年份	عَام	年份	N;NOM;DEF;SG	N
العام	年	عَام	年	N;NOM;DEF;SG	N
رئيس	總統	رَئِيس	總統	N;NOM;INDF;SG	N
رئيس	主席	رَئِيس	主席	N;NOM;INDF;SG	N
رئيس	首席	رَئِيس	首席	N;NOM;INDF;SG	N
رئيس	科長	رَئِيس	科長	N;NOM;INDF;SG	N
رئيس	老大	رَئِيس	老大	N;NOM;INDF;SG	N
رئيس	老闆	رَئِيس	老闆	N;NOM;INDF;SG	N
الكثافة	強度	كَثَّافَة	強度	N;NOM;DEF;SG	N
الكثافة	密度	كَثَّافَة	密度	N;NOM;DEF;SG	N
الكثافة	密度	كَثَّافَة	密度	N;NOM;DEF;SG	N
الوفاة	死神	وَفَاة	死神	N;NOM;DEF;SG	N
شعار	口號	شِعَار	口號	N;NOM;INDF;SG	N
شعار	標語	شِعَار	標語	N;NOM;INDF;SG	N
شعار	標誌	شِعَار	標誌	N;NOM;INDF;SG	N
شعار	標識	شِعَار	標識	N;NOM;INDF;SG	N
شعار	座右	شِعَار	座右	N;NOM;INDF;SG	N
شعار	箴言	شِعَار	箴言	N;NOM;INDF;SG	N
شعار	格言	شِعَار	格言	N;NOM;INDF;SG	N
شعار	國徽	شِعَار	國徽	N;NOM;INDF;SG	N
عزلة	隔離	عُزلَة	隔離	N;NOM;INDF;SG	N
كتاب	圖書	كِتَاب	圖書	N;NOM;INDF;SG	N
كتاب	書	كِتَاب	書	N;NOM;INDF;SG	N
كتاب	書籍	كِتَاب	書籍	N;NOM;INDF;SG	N
حول	關於	حَولَ	關於	ADP;ACC	ADP
العمل	動作	عَمَل	動作	N;NOM;DEF;SG	N
العمل	行動	عَمَل	行動	N;NOM;DEF;SG	N
العمل	工作	عَمَل	工作	N;NOM;DEF;SG	N
العمل	企業	عَمَل	企業	N;NOM;DEF;SG	N
العمل	業務	عَمَل	業務	N;NOM;DEF;SG	N
العمل	商業	عَمَل	商業	N;NOM;DEF;SG	N
العمل	商務	عَمَل	商務	N;NOM;DEF;SG	N
الخريطة	地圖	خَرِيطَة	地圖	N;NOM;DEF;SG	N
عشر	十	عَشَرَة	十	NUM;MASC	NUM
عشر	十	عَشَرَة	十	NUM;MASC	NUM
سنوات	歲	سَنَة	歲	N;NOM;INDF;PL	N
سنوات	年份	سَنَة	年份	N;NOM;INDF;PL	N
يوم	白天	يَوم	白天	N;NOM;INDF;SG	N
كتابة	寫作	كِتَابَة	寫作	N;NOM;INDF;SG	N
كتابة	寫作	كِتَابَة	寫作	N;NOM;INDF;SG	N
طريق	公路	طَرِيق	公路	N;NOM;INDF;SG	N
طريق	道路	طَرِيق	道路	N;NOM;INDF;SG	N
طريق	路	طَرِيق	路	N;NOM;INDF;SG	N
الدين	宗教	دِين	宗教	N;NOM;DEF;SG	N
الدين	宗教	دِين	宗教	N;NOM;DEF;SG	N
الدين	債務	دِين	債務	N;NOM;DEF;SG	N
مركز	中心	مَركَز	中心	N;NOM;INDF;SG	N
مركز	中心	مَركَز	中心	N;NOM;INDF;SG	N
ملف	文件	مِلَفّ	文件	N;NOM;INDF;SG	N
ملف	檔案	مِلَفّ	檔案	N;NOM;INDF;SG	N
مجلس	安理	مَجلِس	安理	N;NOM;INDF;SG	N
قيد	約束	قَيد	約束	N;NOM;INDF;SG	N
قيد	制約	قَيد	制約	N;NOM;INDF;SG	N
السكان	居民	سَاكِن	居民	N;NOM;DEF;PL	N
السكان	人口	سَاكِن	人口	N;NOM;DEF;PL	N
الدولة	國家	دَولَة	國家	N;NOM;DEF;SG	N
الدولة	州	دَولَة	州	N;NOM;DEF;SG	N
الملك	國王	مَلِك	國王	N;NOM;DEF;SG	N
الاسم	名字	اِسم	名字	N;NOM;DEF;SG	N
الاسم	名稱	اِسم	名稱	N;NOM;DEF;SG	N
الاسم	姓名	اِسم	姓名	N;NOM;DEF;SG	N
ولد	男孩	وَلَد	男孩	N;NOM;INDF;SG	N
ولد	天生	وَلَد	天生	N;NOM;INDF;SG	N
البحر	大海	بَحر	大海	N;NOM;DEF;SG	N
البحر	海上	بَحر	海上	N;NOM;DEF;SG	N
البحر	海	بَحر	海	N;NOM;DEF;SG	N
شركة	事務	شَرِكَة	事務	N;NOM;INDF;SG	N
شركة	公司	شَرِكَة	公司	N;NOM;INDF;SG	N
فيلم	電影	فِيلم	電影	N;NOM;INDF;SG	N
فيلم	影片	فِيلم	影片	N;NOM;INDF;SG	N
فيلم	電影	فِيلم	電影	N;NOM;INDF;SG	N
فيلم	膠片	فِيلم	膠片	N;NOM;INDF;SG	N
فيلم	影片	فِيلم	影片	N;NOM;INDF;SG	N
صورة	像片	صُورَة	像片	N;NOM;INDF;SG	N
صورة	照片	صُورَة	照片	N;NOM;INDF;SG	N
صورة	影象	صُورَة	影象	N;NOM;INDF;SG	N
صورة	影像	صُورَة	影像	N;NOM;INDF;SG	N
صورة	圖片	صُورَة	圖片	N;NOM;INDF;SG	N
صورة	照片	صُورَة	照片	N;NOM;INDF;SG	N
صورة	圖片	صُورَة	圖片	N;NOM;INDF;SG	N
بطولة	錦標	بُطُولَة	錦標	N;NOM;INDF;SG	N
بطولة	錦標	بُطُولَة	錦標	N;NOM;INDF;SG	N
نباتات	植物	نَبَات	植物	N;NOM;INDF;PL	N
الولادة	生育	وِلَادَة	生育	N;NOM;DEF;SG	N
المملكة	王國	مَملَكَة	王國	N;NOM;DEF;SG	N
المملكة	國度	مَملَكَة	國度	N;NOM;DEF;SG	N
المملكة	王國	مَملَكَة	王國	N;NOM;DEF;SG	N
المملكة	境界	مَملَكَة	境界	N;NOM;DEF;SG	N
البريدي	郵政	البريدي	郵政	N;NOM;DEF;SG	N
الدوري	聯盟	دَورِيّ	聯盟	N;NOM;DEF;SG	N
الدوري	同盟	دَورِيّ	同盟	N;NOM;DEF;SG	N
الدوري	聯賽	دَورِيّ	聯賽	N;NOM;DEF;SG	N
فقط	只	فَقَط	只	ADV	ADV
فقط	只	فَقَط	只	ADV	ADV
جائزة	獎品	جَائِزَة	獎品	N;NOM;INDF;SG	N
جائزة	獎賞	جَائِزَة	獎賞	N;NOM;INDF;SG	N
جائزة	獎	جَائِزَة	獎	N;NOM;INDF;SG	N
جائزة	獎	جَائِزَة	獎	N;NOM;INDF;SG	N
نظام	系統	نِظَام	系統	N;NOM;INDF;SG	N
قسم	部門	قِسم	部門	N;NOM;INDF;SG	N
فترة	期間	فَترَة	期間	N;NOM;INDF;SG	N
رقم	數字	رَقم	數字	N;NOM;INDF;SG	N
رقم	數	رَقم	數	N;NOM;INDF;SG	N
رقم	號碼	رَقم	號碼	N;NOM;INDF;SG	N
رقم	編號	رَقم	編號	N;NOM;INDF;SG	N
اليوم	白天	يَوم	白天	N;ACC;DEF;SG	N
اليوم	今日	يَوم	今日	N;ACC;DEF;SG	N
اليوم	今天	يَوم	今天	N;ACC;DEF;SG	N
اللغة	語言	لُغَة	語言	N;NOM;DEF;SG	N
اللغة	語	لُغَة	語	N;NOM;DEF;SG	N
اللغة	語文	لُغَة	語文	N;NOM;DEF;SG	N
عمل	工作	عَمَل	工作	N;NOM;INDF;SG	N
عمل	工作	عَمَل	工作	N;NOM;INDF;SG	N
عمل	企業	عَمَل	企業	N;NOM;INDF;SG	N
عمل	業務	عَمَل	業務	N;NOM;INDF;SG	N
عمل	商業	عَمَل	商業	N;NOM;INDF;SG	N
عمل	商務	عَمَل	商務	N;NOM;INDF;SG	N
جنوب	南部	جَنُوب	南部	N;NOM;INDF;SG	N
جنوب	南	جَنُوب	南	N;NOM;INDF;SG	N
جنوب	南部	جَنُوب	南部	N;NOM;INDF;SG	N
العالمية	普遍	عَالَمِيّ	普遍	ADJ;NOM;DEF;FEM;SG	ADJ
الوقت	時光	وَقت	時光	N;NOM;DEF;SG	N
الوقت	時間	وَقت	時間	N;NOM;DEF;SG	N
عملية	手術	عَمَلِيَّة	手術	N;NOM;INDF;SG	N
عملية	行動	عَمَلِيَّة	行動	N;NOM;INDF;SG	N
شمال	北方	شَمَال	北方	N;NOM;INDF;SG	N
شمال	北	شَمَال	北	N;NOM;INDF;SG	N
شمال	北部	شَمَال	北部	N;NOM;INDF;SG	N
شمال	北方	شَمَال	北方	N;NOM;INDF;SG	N
شمال	北部	شَمَال	北部	N;NOM;INDF;SG	N
الاتحاد	聯盟	اِتِّحَاد	聯盟	N;NOM;DEF;SG	N
الاتحاد	工會	اِتِّحَاد	工會	N;NOM;DEF;SG	N
الاتحاد	聯邦	اِتِّحَاد	聯邦	N;NOM;DEF;SG	N
الاتحاد	聯邦	اِتِّحَاد	聯邦	N;NOM;DEF;SG	N
الاتحاد	邦聯	اِتِّحَاد	邦聯	N;NOM;DEF;SG	N
عبر	通過	عَبرَ	通過	ADP;ACC	ADP
عبر	經	عَبرَ	經	ADP;ACC	ADP
عبر	透過	عَبرَ	透過	ADP;ACC	ADP
عبر	通過	عَبرَ	通過	ADP;ACC	ADP
فريق	團隊	فَرِيق	團隊	N;NOM;INDF;SG	N
فريق	球隊	فَرِيق	球隊	N;NOM;INDF;SG	N
فريق	隊伍	فَرِيق	隊伍	N;NOM;INDF;SG	N
العامة	公眾	عَامَّة	公眾	N;NOM;DEF;SG	N
الجيش	軍方	جَيش	軍方	N;NOM;DEF;SG	N
الجيش	軍事	جَيش	軍事	N;NOM;DEF;SG	N
الجيش	集團	جَيش	集團	N;NOM;DEF;SG	N
الجيش	軍隊	جَيش	軍隊	N;NOM;DEF;SG	N
الجيش	軍	جَيش	軍	N;NOM;DEF;SG	N
الجيش	陸軍	جَيش	陸軍	N;NOM;DEF;SG	N
المساكن	住房	مَسكَن	住房	N;NOM;DEF;PL	N
لاعب	球員	لَاعِب	球員	N;NOM;INDF;SG	N
لاعب	玩家	لَاعِب	玩家	N;NOM;INDF;SG	N
الفترة	期間	فَترَة	期間	N;NOM;DEF;SG	N
دولة	國家	دَولَة	國家	N;NOM;INDF;SG	N
دولة	州	دَولَة	州	N;NOM;INDF;SG	N
كتب	書寫	كَتَب	書寫	V;PFV;MASC;SG;3;ACT	V
كتب	撰寫	كَتَب	撰寫	V;PFV;MASC;SG;3;ACT	V
بلدة	城鎮	بَلدَة	城鎮	N;NOM;INDF;SG	N
بلدة	鎮	بَلدَة	鎮	N;NOM;INDF;SG	N
درجة	度	دَرَجَة	度	N;NOM;INDF;SG	N
درجة	程度	دَرَجَة	程度	N;NOM;INDF;SG	N
درجة	學位	دَرَجَة	學位	N;NOM;INDF;SG	N
خاصة	私人	خَاصّ	私人	ADJ;ACC;INDF;FEM;SG	ADJ
الحكومة	政府	حُكُومَة	政府	N;NOM;DEF;SG	N
القوات	部隊	قُوَّة	部隊	N;NOM;DEF;PL	N
ملعب	操場	مَلعَب	操場	N;NOM;INDF;SG	N
ملعب	體育	مَلعَب	體育	N;NOM;INDF;SG	N
ملعب	球場	مَلعَب	球場	N;NOM;INDF;SG	N
متر	公尺	مِتر	公尺	N;NOM;INDF;SG	N
متر	米	مِتر	米	N;NOM;INDF;SG	N
متر	公尺	مِتر	公尺	N;NOM;INDF;SG	N
متر	公尺	مِتر	公尺	N;NOM;INDF;SG	N
الوطنية	國家	وَطَنِيَّة	國家	N;NOM;DEF;SG	N
حالة	狀況	حَالَة	狀況	N;NOM;INDF;SG	N
حالة	狀態	حَالَة	狀態	N;NOM;INDF;SG	N
حالة	現況	حَالَة	現況	N;NOM;INDF;SG	N
حالة	案例	حَالَة	案例	N;NOM;INDF;SG	N
حالة	個案	حَالَة	個案	N;NOM;INDF;SG	N
حالة	案件	حَالَة	案件	N;NOM;INDF;SG	N
حالة	條件	حَالَة	條件	N;NOM;INDF;SG	N
حالة	狀況	حَالَة	狀況	N;NOM;INDF;SG	N
الفيلم	電影	فِيلم	電影	N;NOM;DEF;SG	N
الفيلم	影片	فِيلم	影片	N;NOM;DEF;SG	N
الفيلم	電影	فِيلم	電影	N;NOM;DEF;SG	N
الفيلم	膠片	فِيلم	膠片	N;NOM;DEF;SG	N
الفيلم	影片	فِيلم	影片	N;NOM;DEF;SG	N
الدول	國家	دَولَة	國家	N;NOM;DEF;PL	N
الدول	國家	دَولَة	國家	N;NOM;DEF;PL	N
الدول	各國	دَولَة	各國	N;NOM;DEF;PL	N
كلية	學院	كُلِّيَّة	學院	N;NOM;INDF;SG	N
كلية	書院	كُلِّيَّة	書院	N;NOM;INDF;SG	N
كلية	大學	كُلِّيَّة	大學	N;NOM;INDF;SG	N
كلية	腎	كُلِّيَّة	腎	N;NOM;INDF;SG	N
كلية	腎	كُلِّيَّة	腎	N;NOM;INDF;SG	N
مليون	百萬	مِليُون	百萬	NUM;NOM;INDF;SG	NUM
الدرجة	度	دَرَجَة	度	N;NOM;DEF;SG	N
الدرجة	程度	دَرَجَة	程度	N;NOM;DEF;SG	N
الدرجة	學位	دَرَجَة	學位	N;NOM;DEF;SG	N
الخاصة	私人	خَاصّ	私人	ADJ;NOM;DEF;FEM;SG	ADJ
الرئيس	總統	رَئِيس	總統	N;NOM;DEF;SG	N
الرئيس	主席	رَئِيس	主席	N;NOM;DEF;SG	N
الرئيس	首席	رَئِيس	首席	N;NOM;DEF;SG	N
الرئيس	科長	رَئِيس	科長	N;NOM;DEF;SG	N
الرئيس	主席	رَئِيس	主席	N;NOM;DEF;SG	N
حين	當	حِينَ	當	ADP;ACC	ADP
شرق	東	شَرق	東	N;NOM;INDF;SG	N
شرق	東部	شَرق	東部	N;NOM;INDF;SG	N
شرق	東方	شَرق	東方	N;NOM;INDF;SG	N
شرق	東區	شَرق	東區	N;NOM;INDF;SG	N
شرق	東方	شَرق	東方	N;NOM;INDF;SG	N
شرق	東部	شَرق	東部	N;NOM;INDF;SG	N
قوالب	樣板	قَالَب	樣板	N;NOM;INDF;PL	N
قوالب	模板	قَالَب	模板	N;NOM;INDF;PL	N
نهاية	終	نِهَايَة	終	N;NOM;INDF;SG	N
نهاية	結尾	نِهَايَة	結尾	N;NOM;INDF;SG	N
العزلة	隔離	عُزلَة	隔離	N;NOM;DEF;SG	N
وسط	中央	وَسط	中央	N;NOM;INDF;SG	N
وسط	中間	وَسط	中間	N;NOM;INDF;SG	N
دور	作用	دَور	作用	N;NOM;INDF;SG	N
دور	角色	دَور	角色	N;NOM;INDF;SG	N
القرية	村	قَريَة	村	N;NOM;DEF;SG	N
القرية	鄉村	قَريَة	鄉村	N;NOM;DEF;SG	N
القرية	村	قَريَة	村	N;NOM;DEF;SG	N
القرية	村落	قَريَة	村落	N;NOM;DEF;SG	N
القرية	村子	قَريَة	村子	N;NOM;DEF;SG	N
السنة	年度	سَنَة	年度	N;NOM;DEF;SG	N
السنة	年份	سَنَة	年份	N;NOM;DEF;SG	N
السنة	年	سَنَة	年	N;NOM;DEF;SG	N
حكم	裁判	حُكم	裁判	N;NOM;INDF;SG	N
شكل	形狀	شَكل	形狀	N;NOM;INDF;SG	N
شكل	形式	شَكل	形式	N;NOM;INDF;SG	N
شكل	表格	شَكل	表格	N;NOM;INDF;SG	N
نسبة	比率	نِسبَة	比率	N;NOM;INDF;SG	N
نسبة	比值	نِسبَة	比值	N;NOM;INDF;SG	N
نسبة	比例	نِسبَة	比例	N;NOM;INDF;SG	N
نسبة	比例	نِسبَة	比例	N;NOM;INDF;SG	N
الكتاب	圖書	كِتَاب	圖書	N;NOM;DEF;SG	N
الكتاب	書	كِتَاب	書	N;NOM;DEF;SG	N
الكتاب	書籍	كِتَاب	書籍	N;NOM;DEF;SG	N
الناس	人	إِنسَان	人	N;NOM;DEF;PL	N
الناس	人們	إِنسَان	人	N;NOM;DEF;PL	N;PL
