rodzeństwa	兄妹	rodzeństwo	兄妹	N;NOM;NEUT;SG	N
dochody	收益	dochód	收益	N;NOM;MASC;PL	N
dochody	收入	dochód	收入	N;NOM;MASC;PL	N
dochody	收益	dochód	收益	N;NOM;MASC;PL	N
dochody	稅	dochód	稅	N;NOM;MASC;PL	N
dochody	收入	dochód	收入	N;NOM;MASC;PL	N
piętra	地板	piętro	地板	N;NOM;NEUT;SG	N
szerzej	更	szeroko	更	ADV;CMPR	ADV
przyjaźń	友情	przyjaźń	友情	N;NOM;FEM;SG	N
przyjaźń	友誼	przyjaźń	友誼	N;NOM;FEM;SG	N
franków	法郎	franek	法郎	N;ACC;MASC;PL	N
cywilów	平民	cywil	平民	N;ACC;MASC;PL	N
dzwon	鐘	dzwon	鐘	N;NOM;MASC;SG	N
dzwon	鈴	dzwon	鈴	N;NOM;MASC;SG	N
rozmowa	面試	rozmowa	面試	N;NOM;FEM;SG	N
rozmowa	對話	rozmowa	對話	N;NOM;FEM;SG	N
uzupełnienia	輔助	uzupełnić	輔助	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N
lampy	燈	lampa	燈	N;ACC;FEM;PL	N
lampy	電燈	lampa	電燈	N;ACC;FEM;PL	N
lampy	燈具	lampa	燈具	N;ACC;FEM;PL	N
dzwony	鐘聲	dzwon	鐘聲	N;NOM;MASC;PL	N
zakup	採購	zakup	採購	N;NOM;MASC;SG	N
gazet	報章	gazeta	報章	N;GEN;FEM;PL	N
gazet	報刊	gazeta	報刊	N;GEN;FEM;PL	N
cmentarze	公墓	cmentarz	公墓	N;NOM;MASC;PL	N
pokolenie	世代	pokolenie	世代	N;NOM;NEUT;SG	N
pokolenie	世代	pokolenie	世代	N;NOM;NEUT;SG	N
przybywa	抵達	przybywać	抵達	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
wydać	花費	wydać	花費	V;PFV;NFIN;ACT	V
zimy	冬	zima	冬	N;ACC;FEM;SG	N
zimy	冬季	zima	冬季	N;ACC;FEM;SG	N
zimy	冬天	zima	冬天	N;ACC;FEM;SG	N
poziomy	橫向	poziom	橫向	N;NOM;MASC;PL	N
poziomy	水平	poziom	水平	N;NOM;MASC;PL	N
poziomy	關卡	poziom	關卡	N;NOM;MASC;PL	N
wyrażenie	片語	wyrażenie	片語	N;NOM;NEUT;SG	N
wyrażenie	表情	wyrażenie	表情	N;NOM;NEUT;SG	N
legion	軍團	legion	軍團	N;NOM;MASC;SG	N
męczennika	烈士	męczennik	烈士	N;ACC;MASC;SG	N
ustalenie	決心	ustalenie	決心	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N
wyjazd	出口	wyjazd	出口	N;NOM;MASC;SG	N
wyjazd	旅行	wyjazd	旅行	N;NOM;MASC;SG	N
wyjazd	行程	wyjazd	行程	N;NOM;MASC;SG	N
rozdzielczości	決議	rozdzielczość	決議	N;GEN;FEM;SG	N
pełen	飽	pełen	飽	N;NOM;MASC;SG	N
pełen	完整	pełen	完整	N;NOM;MASC;SG	N
wodoru	氫氣	wodor	氫氣	N;ACC;MASC;SG	N
wodoru	氫	wodor	氫	N;ACC;MASC;SG	N
weekend	週末	weekend	週末	N;NOM;MASC;SG	N
niebezpieczne	危險	niebezpieczny	危險	ADJ;NOM;NEUT;SG	ADJ
otoczenie	環境	otoczyć	環境	N;NOM;NEUT;SG	N
restauracja	飯店	restauracja	飯店	N;NOM;FEM;SG	N
restauracja	餐廳	restauracja	餐廳	N;NOM;FEM;SG	N
restauracja	餐館	restauracja	餐館	N;NOM;FEM;SG	N
wizji	幻象	wizja	幻象	N;GEN;FEM;SG	N
wizji	願景	wizja	願景	N;GEN;FEM;SG	N
wizji	視覺	wizja	視覺	N;GEN;FEM;SG	N
wizji	願景	wizja	願景	N;GEN;FEM;SG	N
wizji	展望	wizja	展望	N;GEN;FEM;SG	N
bojowników	鬥士	bojownik	鬥士	N;ACC;MASC;PL	N
odznakę	徽章	odznaka	徽章	N;ACC;FEM;SG	N
odznakę	警徽	odznaka	警徽	N;ACC;FEM;SG	N
southern	南部	southerny	南部	N;NOM;MASC;SG	N
nachylenie	坡	nachylenie	坡	N;NOM;NEUT;SG	N
nachylenie	斜坡	nachylenie	斜坡	N;NOM;NEUT;SG	N
uczestniczyć	參加	uczestniczyć	參加	V;IPFV;NFIN;ACT	V
galerie	畫廊	galeria	畫廊	N;NOM;MASC;SG	N
kończyny	肢	kończyna	肢	N;ACC;FEM;PL	N
kończyny	肢	kończyna	肢	N;ACC;FEM;PL	N
kończyny	肢	kończyna	肢	N;ACC;FEM;PL	N
obywatela	市民	obywatela	市民	N;ACC;MASC;SG	N
obywatela	公民	obywatela	公民	N;ACC;MASC;SG	N
pancernik	戰艦	pancernik	戰艦	N;NOM;MASC;SG	N
komiks	漫畫	komiks	漫畫	N;NOM;MASC;SG	N
komiks	漫畫	komiks	漫畫	N;NOM;MASC;SG	N
cząstki	顆	cząstka	顆	N;NOM;FEM;PL	N
cząstki	粒子	cząstka	粒子	N;NOM;FEM;PL	N
cząstki	微粒	cząstka	微粒	N;NOM;FEM;PL	N
cząstki	顆	cząstka	顆	N;NOM;FEM;PL	N
cząstki	粒子	cząstka	粒子	N;NOM;FEM;PL	N
cząstki	微粒	cząstka	微粒	N;NOM;FEM;PL	N
wystrój	裝飾	wystrój	裝飾	N;NOM;MASC;SG	N
hipoteza	假設	hipoteza	假設	N;NOM;FEM;SG	N
hipoteza	假說	hipoteza	假說	N;NOM;FEM;SG	N
rywala	對手	rywal	對手	N;ACC;MASC;SG	N
zwykłe	普通	zwykły	普通	ADJ;NOM;NEUT;SG	ADJ
zabójstwa	凶	zabójstwo	凶	N;GEN;NEUT;SG	N
zabójstwa	凶	zabójstwo	凶	N;GEN;NEUT;SG	N
zabójstwa	暗殺	zabójstwo	暗殺	N;GEN;NEUT;SG	N
wszechświata	宇宙	wszechświatać	宇宙	N;GEN;MASC;SG	N
przydział	任務	przydział	任務	N;ACC;MASC;SG	N
temple	神廟	temple	神廟	N;NOM;NEUT;SG	N
temple	寺	temple	寺	N;NOM;NEUT;SG	N
temple	寺廟	temple	寺廟	N;NOM;NEUT;SG	N
temple	廟	temple	廟	N;NOM;NEUT;SG	N
temple	聖殿	temple	聖殿	N;NOM;NEUT;SG	N
ogrodów	花園	ogród	花園	N;GEN;MASC;PL	N
twierdząc	聲稱	twierdzić	聲稱	V;IPFV;PRS;V.CVB;ACT	V
zwyczaj	習慣	zwyczaj	習慣	N;NOM;MASC;SG	N
bogaty	豐富	bogat	豐富	ADJ;NOM;MASC;SG	ADJ
bogaty	富裕	bogat	富裕	ADJ;NOM;MASC;SG	ADJ
mechanizmu	機制	mechanizm	機制	N;GEN;MASC;SG	N
regiony	區域	regić	區域	N;NOM;MASC;PL	N
regiony	區域	regić	區域	N;NOM;MASC;PL	N
schody	步驟	schody	步驟	N;NOM;NEUT;PL	N
schody	樓梯	schody	樓梯	N;NOM;NEUT;PL	N
schody	階梯	schody	階梯	N;NOM;NEUT;PL	N
schody	樓梯	schody	樓梯	N;NOM;NEUT;PL	N
aktorką	女	aktorka	女	N;INS;FEM;SG	N
aktorką	女	aktorka	女	N;INS;FEM;SG	N
aktorką	演員	aktorka	演員	N;INS;FEM;SG	N
fundusz	基金	fundusz	基金	N;NOM;MASC;SG	N
przedziale	隔間	przedział	隔間	N;INS;MASC;SG	N
przedziale	車廂	przedział	車廂	N;INS;MASC;SG	N
przedziale	包廂	przedział	包廂	N;INS;MASC;SG	N
flagę	旗幟	flaga	旗幟	N;ACC;FEM;SG	N
flagę	國旗	flaga	國旗	N;ACC;FEM;SG	N
flagę	旗	flaga	旗	N;ACC;FEM;SG	N
flagę	旗子	flaga	旗子	N;ACC;FEM;SG	N
maraton	馬拉松	maraton	馬拉松	N;NOM;MASC;SG	N
buntu	叛亂	bunt	叛亂	N;GEN;MASC;SG	N
buntu	叛變	bunt	叛變	N;GEN;MASC;SG	N
buntu	叛亂	bunt	叛亂	N;GEN;MASC;SG	N
buntu	叛逆	bunt	叛逆	N;GEN;MASC;SG	N
grunty	陸地	grunt	陸地	N;NOM;MASC;PL	N
grunty	土地	grunt	土地	N;NOM;MASC;PL	N
asyst	助攻	asyst	助攻	N;GEN;MASC;PL	N
mechanik	技工	mechanik	技工	N;NOM;MASC;SG	N
ssaki	哺乳	ssak	哺乳	N;NOM;MASC;PL	N
ssaki	哺乳	ssak	哺乳	N;NOM;MASC;PL	N
absolutnie	絕對	absolutnie	絕對	ADV	ADV
rozumieniu	含義	rozumienie	含義	N;IPFV;DAT;NEUT;SG	N
jakiekolwiek	任何	jakiekolwiek	任何	DET;NOM;MASC;SG	DET
podstawa	基金	podstawa	基金	N;NOM;FEM;SG	N
podstawa	基地	podstawa	基地	N;NOM;FEM;SG	N
podstawa	基礎	podstawa	基礎	N;NOM;FEM;SG	N
podstawa	基數	podstawa	基數	N;NOM;FEM;SG	N
podstawa	基礎	podstawa	基礎	N;NOM;FEM;SG	N
dojrzałości	成熟	dojrzałość	成熟	N;GEN;FEM;SG	N
wino	酒	wino	酒	N;NOM;NEUT;SG	N
wino	葡萄	wino	葡萄	N;NOM;NEUT;SG	N
uzupełnienie	輔助	uzupełnić	輔助	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N
wierni	信士	wierny	信士	N;NOM;MASC;PL	N
wierni	信徒	wierny	信徒	N;NOM;MASC;PL	N
wierni	忠誠	wierny	忠誠	N;NOM;MASC;PL	N
etapy	階段	etap	階段	N;NOM;MASC;PL	N
etapy	步驟	etap	步驟	N;NOM;MASC;PL	N
etapy	里程	etap	里程	N;NOM;MASC;PL	N
warsztat	車庫	warsztat	車庫	N;NOM;MASC;SG	N
księża	祭司	ksiądz	祭司	N;NOM;MASC;PL	N
wychowanie	教養	wychować	教養	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N
wychowanie	撫育	wychować	撫育	N;PFV;NOM;NEUT;SG;POS;V.MSDR	N
dziedzictwo	遺產	dziedzictwo	遺產	N;NOM;NEUT;SG	N
dziedzictwo	遺產	dziedzictwo	遺產	N;NOM;NEUT;SG	N
dziedzictwo	遺產	dziedzictwo	遺產	N;NOM;NEUT;SG	N
okręgi	圈	okręga	圈	N;NOM;MASC;PL	N
okręgi	圈子	okręga	圈子	N;NOM;MASC;PL	N
okręgi	圓圈	okręga	圓圈	N;NOM;MASC;PL	N
okręgi	各區	okręga	各區	N;NOM;MASC;PL	N
okręgi	各州	okręga	各州	N;NOM;MASC;PL	N
okręgi	各縣	okręga	各縣	N;NOM;MASC;PL	N
prawdziwy	真實	prawdziwy	真實	ADJ;NOM;MASC;SG	ADJ
zegar	鐘	zegar	鐘	N;NOM;MASC;SG	N
zegar	時鐘	zegar	時鐘	N;NOM;MASC;SG	N
górnictwa	礦業	górnictwo	礦業	N;GEN;NEUT;SG	N
górnictwa	採礦	górnictwo	採礦	N;GEN;NEUT;SG	N
ramy	幀	ramy	幀	N;ACC;NEUT;PL	N
ramy	框架	ramy	框架	N;ACC;NEUT;PL	N
ramy	框	ramy	框	N;ACC;NEUT;PL	N
ramy	框架	ramy	框架	N;ACC;NEUT;PL	N
ramy	幀	ramy	幀	N;ACC;NEUT;PL	N
ramy	框框	ramy	框框	N;ACC;NEUT;PL	N
ramy	框架	ramy	框架	N;ACC;NEUT;PL	N
ramy	框	ramy	框	N;ACC;NEUT;PL	N
uratować	救助	uratować	救助	V;PFV;NFIN;ACT	V
uratować	搶救	uratować	搶救	V;PFV;NFIN;ACT	V
uratować	打撈	uratować	打撈	V;PFV;NFIN;ACT	V
uratować	營救	uratować	營救	V;PFV;NFIN;ACT	V
uratować	救援	uratować	救援	V;PFV;NFIN;ACT	V
uratować	拯救	uratować	拯救	V;PFV;NFIN;ACT	V
komputery	電子	komputer	電子	N;NOM;MASC;PL	N
komputery	電腦	komputer	電腦	N;NOM;MASC;PL	N
komputery	電腦	komputer	電腦	N;NOM;MASC;PL	N
psychologia	心理	psychologia	心理	N;NOM;FEM;SG	N
psychologia	心理	psychologia	心理	N;NOM;FEM;SG	N
atrakcje	景點	atrakcja	景點	N;ACC;FEM;PL	N
atrakcje	景點	atrakcja	景點	N;ACC;FEM;PL	N
trzęsienie	地震	trzęsień	地震	N;NOM;NEUT;SG	N
lepsza	更好	dobry	更好	ADJ;NOM;CMPR;FEM;SG	ADJ
rdzenia	核心	rdzeniać	核心	N;GEN;NEUT;SG	N
smaku	味道	smak	味道	N;GEN;MASC;SG	N
smaku	味覺	smak	味覺	N;GEN;MASC;SG	N
smaku	品味	smak	品味	N;GEN;MASC;SG	N
konstytucję	憲法	konstytucja	憲法	N;ACC;FEM;SG	N
kroki	腳步	krok	腳步	N;NOM;MASC;PL	N
kroki	腳步	krok	腳步	N;NOM;MASC;PL	N
kroki	步驟	krok	步驟	N;NOM;MASC;PL	N
czytania	閱讀	czytać	閱讀	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N
czytania	讀書	czytać	讀書	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N
aktorzy	演員	aktor	演員	N;NOM;MASC;PL	N
brzmienie	措辭	brzmienie	措辭	N;NOM;NEUT;SG	N
brzmienie	措詞	brzmienie	措詞	N;NOM;NEUT;SG	N
żołądka	胃	żołądek	胃	N;GEN;MASC;SG	N
żołądka	胃	żołądek	胃	N;GEN;MASC;SG	N
żołądka	肚子	żołądek	肚子	N;GEN;MASC;SG	N
chłopcy	男生	chłopiec	男生	N;NOM;MASC;PL	N
chłopcy	男孩	chłopiec	男孩	N;NOM;MASC;PL	N
przekonanie	信念	przekonać	信念	N;NOM;NEUT;SG	N
amatorów	業餘	amator	業餘	N;ACC;MASC;PL	N
rolników	農民	rolnik	農民	N;ACC;MASC;PL	N
rolników	農夫	rolnik	農夫	N;ACC;MASC;PL	N
obozy	營地	obóz	營地	N;NOM;MASC;PL	N
obozy	難民	obóz	難民	N;NOM;MASC;PL	N
obozy	營	obóz	營	N;NOM;MASC;PL	N
obozy	營地	obóz	營地	N;NOM;MASC;PL	N
kuchnia	料理	kuchniać	料理	N;NOM;FEM;SG	N
kuchnia	美食	kuchniać	美食	N;NOM;FEM;SG	N
kuchnia	菜	kuchniać	菜	N;NOM;FEM;SG	N
kuchnia	廚房	kuchniać	廚房	N;NOM;FEM;SG	N
powraca	返回	powracać	返回	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
planuje	計劃	planować	計劃	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
podmiotów	實體	podmiot	實體	N;GEN;MASC;PL	N
oddaje	捕捉	oddawać	捕捉	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
oddaje	捕獲	oddawać	捕獲	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
kiedykolwiek	每	kiedykolwiek	每	ADV	ADV
magii	魔神	magaia	魔神	N;GEN;FEM;SG	N
magii	魔法	magaia	魔法	N;GEN;FEM;SG	N
magii	魔術	magaia	魔術	N;GEN;FEM;SG	N
magii	魔力	magaia	魔力	N;GEN;FEM;SG	N
włosów	頭髮	włos	頭髮	N;GEN;MASC;PL	N
włosów	髮型	włos	髮型	N;GEN;MASC;PL	N
włosów	發	włos	發	N;GEN;MASC;PL	N
podkreśla	突顯	podkreślać	突顯	V;IPFV;IND;SG;3;PRS;FIN;ACT	V
ramię	肩	ramię	肩	N;NOM;NEUT;SG	N
ramię	肩膀	ramię	肩膀	N;NOM;NEUT;SG	N
ramię	手臂	ramię	手臂	N;NOM;NEUT;SG	N
ramię	臂	ramię	臂	N;NOM;NEUT;SG	N
ramię	胳膊	ramię	胳膊	N;NOM;NEUT;SG	N
