para	for	para	for	ADP	ADP
isso	denne	isso	denne	PRO;MASC;SG	PRO;MASC+FEM;SG
maior	større	grande	stor	ADJ;MASC;SG	ADJ;CMPR
maior	større	grande	stor	ADJ;MASC;SG	ADJ;CMPR
maior	største	grande	stor	ADJ;MASC;SG	ADJ;DEF;RL
maior	største	grande	stor	ADJ;MASC;SG	ADJ;DEF;RL
maior	støre	grande	støre	ADJ;MASC;SG	ADJ;CMPR
maior	større	grande	stor	ADJ;MASC;SG	ADJ;CMPR
nova	ny	novo	ny	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
nova	nyt	novo	ny	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
álbum	album	álbum	album	N;MASC;SG	N;INDF;NEUT;SG
álbum	plade	álbum	plade	N;MASC;SG	N;INDF;MASC+FEM;SG
álbum	albummet	álbum	album	N;MASC;SG	N;DEF;NEUT;SG
junho	juni	junho	juni	N;MASC;SG	N;INDF;MASC+FEM;SG
junho	june	junho	jun	N;MASC;SG	N;INDF;MASC+FEM;SG
tempo	vejret	tempo	vejr	N;MASC;SG	N;DEF;NEUT;SG
tempo	vejr	tempo	vejr	N;MASC;SG	N;INDF;NEUT;SG
tempo	tid	tempo	tid	N;MASC;SG	N;INDF;MASC+FEM;SG
tempo	tidspunkt	tempo	tidspunkt	N;MASC;SG	N;INDF;NEUT;SG
tempo	gang	tempo	gang	N;MASC;SG	N;INDF;MASC+FEM;SG
tempo	klokkeslæt	tempo	klokkeslæt	N;MASC;SG	N;INDF;NEUT;SG
tempo	tiden	tempo	tid	N;MASC;SG	N;DEF;MASC+FEM;SG
dezembro	december	dezembro	december	N;MASC;SG	N;INDF;MASC+FEM;SG
dezembro	dec	dezembro	dec	N;MASC;SG	N;INDF;MASC+FEM;SG
fevereiro	februar	fevereiro	februar	N;MASC;SG	N;INDF;MASC+FEM;SG
fevereiro	feb	fevereiro	feb	N;MASC;SG	N;INDF;MASC+FEM;SG
forma	formen	forma	formen	N;FEM;SG	N;DEF;MASC+FEM;SG
forma	form	forma	form	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	formular	forma	formular	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	blanket	forma	blanke	N;FEM;SG	N;INDF;NEUT;SG
forma	form	forma	form	N;FEM;SG	N;INDF;MASC+FEM;SG
forma	formen	forma	formen	N;FEM;SG	N;DEF;MASC+FEM;SG
novembro	november	novembro	november	N;MASC;SG	N;INDF;MASC+FEM;SG
assim	således	assim	således	ADV	ADV
assim	dermed	assim	dermed	ADV	ADV
então	derefter	então	derefter	ADV	ADV
então	så	então	så	ADV	ADV
principal	vigtigste	principal	vigtig	ADJ;MASC;SG	ADJ;DEF;RL
principal	vigtigste	principal	vigtig	ADJ;MASC;SG	ADJ;DEF;RL
três	tre	três	tre	NUM	NUM
série	serie	série	serie	N;FEM;SG	N;INDF;MASC+FEM;SG
série	serien	série	serie	N;FEM;SG	N;DEF;MASC+FEM;SG
série	seriemorder	série	seriemorder	N;FEM;SG	N;INDF;MASC+FEM;SG
final	finale	final	finale	N;MASC;SG	N;INDF;MASC+FEM;SG
final	finalen	final	finale	N;MASC;SG	N;DEF;MASC+FEM;SG
final	slutning	final	slutning	N;MASC;SG	N;INDF;MASC+FEM;SG
final	afslutning	final	afslutning	N;MASC;SG	N;INDF;MASC+FEM;SG
final	slut	final	slut	N;MASC;SG	N
final	ende	final	ende	N;MASC;SG	N;INDF;MASC+FEM;SG
final	ophør	final	ophør	N;MASC;SG	N;INDF;NEUT;SG
história	historien	história	historie	N;FEM;SG	N;DEF;MASC+FEM;SG
história	historie	história	historie	N;FEM;SG	N;INDF;MASC+FEM;SG
história	historik	história	historik	N;FEM;SG	N;INDF;MASC+FEM;SG
história	historie	história	historie	N;FEM;SG	N;INDF;MASC+FEM;SG
filme	folie	filme	folie	N;MASC;SG	N;INDF;MASC+FEM;SG
antes	inden	antes	inden	ADV	ADV
antes	før	antes	før	ADV	ADV
duas	to	dois	to	NUM	NUM
guerra	krigen	guerra	krig	N;FEM;SG	N;DEF;MASC+FEM;SG
guerra	krig	guerra	krig	N;FEM;SG	N;INDF;MASC+FEM;SG
população	befolkningen	população	befolkning	N;FEM;SG	N;DEF;MASC+FEM;SG
população	indbyggertal	população	indbyggertal	N;FEM;SG	N;INDF;NEUT;SG
população	befolkning	população	befolkning	N;FEM;SG	N;INDF;MASC+FEM;SG
estados	stater	estado	stat	N;MASC;PL	N;INDF;MASC+FEM;PL
estados	staterne	estado	stat	N;MASC;PL	N;DEF;MASC+FEM;PL
mundo	verden	mundo	verden	N;MASC;SG	N;INDF;MASC+FEM;SG
banda	band	banda	band	N;FEM;SG	N;INDF;NEUT;SG
banda	bandet	banda	band	N;FEM;SG	N;DEF;NEUT;SG
banda	orkester	banda	orkester	N;FEM;SG	N;INDF;NEUT;SG
outras	andre	outro	anden	PRO;FEM;PL	PRO;PL
outras	andre	outro	anden	PRO;FEM;PL	PRO;PL
gols	målsætninger	gol	målsætning	N;MASC;PL	N;INDF;MASC+FEM;PL
nacional	landsdækkende	nacional	landsdækkende	ADJ;MASC;SG	ADJ
sido	blevet	ser	blive	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
jogos	kampe	jogo	kamp	N;MASC;PL	N;INDF;MASC+FEM;PL
alguns	nogle	algum	nogen	PRO;MASC;PL	PRO;PL
center	centrum	center	centrum	N;MASC;SG	N;INDF;NEUT;SG
center	midtpunkt	center	midtpunkt	N;MASC;SG	N;INDF;NEUT;SG
center	center	center	center	N;MASC;SG	N;INDF;NEUT;SG
center	midten	center	midte	N;MASC;SG	N;DEF;MASC+FEM;SG
vida	liv	vida	liv	N;FEM;SG	N;INDF;NEUT;SG
vida	livet	vida	liv	N;FEM;SG	N;DEF;NEUT;SG
vida	livstid	vida	livstid	N;FEM;SG	N;INDF;MASC+FEM;SG
país	landet	país	land	N;MASC;SG	N;DEF;NEUT;SG
país	land	país	land	N;MASC;SG	N;INDF;NEUT;SG
eles	de	eles	de	PRO;NOM;MASC;PL;3	PRO;NOM;PL;3
música	musik	música	musik	N;FEM;SG	N;INDF;MASC+FEM;SG
música	musikken	música	musik	N;FEM;SG	N;DEF;MASC+FEM;SG
página	side	página	side	N;FEM;SG	N;INDF;MASC+FEM;SG
dias	dage	dia	dag	N;MASC;PL	N;INDF;MASC+FEM;PL
campeonato	mesterskabet	campeonato	mesterskab	N;MASC;SG	N;DEF;NEUT;SG
campeonato	mesterskab	campeonato	mesterskab	N;MASC;SG	N;INDF;NEUT;SG
campeonato	championship	campeonato	championship	N;MASC;SG	N;INDF;MASC+FEM;SG
josé	joseph	josé	joseph	N;MASC;SG	N;INDF;MASC+FEM;SG
josé	josef	josé	josef	N;MASC;SG	N;INDF;MASC+FEM;SG
município	kommune	município	kommune	N;MASC;SG	N;INDF;MASC+FEM;SG
município	kommunen	município	kommune	N;MASC;SG	N;DEF;MASC+FEM;SG
futebol	fodbold	futebol	fodbold	N;MASC;SG	N;INDF;MASC+FEM;SG
futebol	fodbold	futebol	fodbold	N;MASC;SG	N;INDF;MASC+FEM;SG
futebol	football	futebol	football	N;MASC;SG	N;INDF;MASC+FEM;SG
espécie	art	espécie	art	N;FEM;SG	N;INDF;MASC+FEM;SG
espécie	dyreart	espécie	dyreart	N;FEM;SG	N;INDF;MASC+FEM;SG
portugal	portugals	portugal	portugal	N;MASC;SG	N;GEN;INDF;MASC+FEM;SG
joão	johannes	joão	johan	N;MASC;SG	N;GEN;INDF;MASC+FEM;SG
clube	klub	clube	klub	N;MASC;SG	N;INDF;MASC+FEM;SG
clube	club	clube	club	N;MASC;SG	N;INDF;MASC+FEM;SG
clube	natklub	clube	natklub	N;MASC;SG	N;INDF;MASC+FEM;SG
clube	kølle	clube	kølle	N;MASC;SG	N;INDF;MASC+FEM;SG
clube	klubben	clube	klub	N;MASC;SG	N;DEF;MASC+FEM;SG
novo	ny	novo	ny	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
novo	nyt	novo	ny	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
partir	afvige	partir	afvige	V;NFIN	V;NFIN;ACT
teve	havde	ter	have	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
teve	haft	ter	have	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
pessoas	mennesker	pessoa	menneske	N;FEM;PL	N;INDF;NEUT;PL
pessoas	personer	pessoa	person	N;FEM;PL	N;INDF;MASC+FEM;PL
pessoas	folk	pessoa	folk	N;FEM;PL	N;INDF;NEUT;PL
habitantes	indbyggerne	habitante	indbygger	N;PL	N;DEF;MASC+FEM;PL
habitantes	indbyggere	habitante	indbygger	N;PL	N;INDF;MASC+FEM;PL
habitantes	beboere	habitante	beboer	N;PL	N;INDF;MASC+FEM;PL
presidente	præsidenten	presidente	præsident	N;MASC;SG	N;DEF;MASC+FEM;SG
presidente	formand	presidente	formand	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	præsident	presidente	præsident	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	formand	presidente	formand	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	bestyrelsesformand	presidente	bestyrelsesformand	N;MASC;SG	N;INDF;MASC+FEM;SG
presidente	presidente	presidente	president	N;MASC;SG	N;INDF;MASC+FEM;SG
jogo	kamp	jogo	kamp	N;MASC;SG	N;INDF;MASC+FEM;SG
jogo	spil	jogo	spil	N;MASC;SG	N;INDF;NEUT;SG
jogo	leg	jogo	leg	N;MASC;SG	N;INDF;MASC+FEM;SG
sistema	systemet	sistema	system	N;MASC;SG	N;DEF;NEUT;SG
sistema	ordning	sistema	ordning	N;MASC;SG	N;INDF;MASC+FEM;SG
sistema	system	sistema	system	N;MASC;SG	N;INDF;NEUT;SG
americano	americano	americano	americano	N;MASC;SG	N;INDF;MASC+FEM;SG
americano	amerikaner	americano	amerikaner	N;MASC;SG	N;INDF;MASC+FEM;SG
americano	american	americano	american	N;MASC;SG	N;INDF;MASC+FEM;SG
período	tidsrum	período	tidsrum	N;MASC;SG	N;INDF;NEUT;SG
período	periode	período	periode	N;MASC;SG	N;INDF;MASC+FEM;SG
período	perioden	período	periode	N;MASC;SG	N;DEF;MASC+FEM;SG
século	århundrede	século	århundrede	N;MASC;SG	N;INDF;NEUT;SG
título	betegnelse	título	betegnelse	N;MASC;SG	N;INDF;MASC+FEM;SG
título	overskrift	título	overskrift	N;MASC;SG	N;INDF;MASC+FEM;SG
título	titel	título	titel	N;MASC;SG	N;INDF;MASC+FEM;SG
título	afsnit	título	afsnit	N;MASC;SG	N;INDF;NEUT;SG
casa	house	casa	house	N;FEM;SG	N;INDF;MASC+FEM;SG
casa	huset	casa	hus	N;FEM;SG	N;DEF;NEUT;SG
casa	hus	casa	hus	N;FEM;SG	N;INDF;NEUT;SG
casa	startside	casa	startside	N;FEM;SG	N;INDF;MASC+FEM;SG
lugar	stedet	lugar	sted	N;MASC;SG	N;DEF;NEUT;SG
lugar	sted	lugar	sted	N;MASC;SG	N;INDF;NEUT;SG
lugar	plads	lugar	plads	N;MASC;SG	N;INDF;MASC+FEM;SG
oficial	officiel	oficial	officiel	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
oficial	betjent	oficial	betjene	ADJ;MASC;SG	ADJ;INDF;SG
vezes	tidspunkter	vez	tidspunkt	N;MASC;PL	N;INDF;NEUT;PL
vezes	gange	vez	gang	N;MASC;PL	N;INDF;MASC+FEM;PL
vezes	tiderne	vez	tid	N;MASC;PL	N;DEF;MASC+FEM;PL
vezes	tider	vez	tid	N;MASC;PL	N;INDF;MASC+FEM;PL
filho	søn	filho	søn	N;MASC;SG	N;INDF;MASC+FEM;SG
governo	regering	governo	regering	N;MASC;SG	N;INDF;MASC+FEM;SG
governo	regeringen	governo	regering	N;MASC;SG	N;DEF;MASC+FEM;SG
artigos	artikler	artigo	artikel	N;MASC;PL	N;INDF;MASC+FEM;PL
artigos	genstande	artigo	genstand	N;MASC;PL	N;INDF;MASC+FEM;PL
artigos	artiklerne	artigo	artikel	N;MASC;PL	N;DEF;MASC+FEM;PL
artigos	punkterne	artigo	punkt	N;MASC;PL	N;DEF;NEUT;PL
artigos	poster	artigo	post	N;MASC;PL	N;INDF;MASC+FEM;PL
artigos	genstande	artigo	genstand	N;MASC;PL	N;INDF;MASC+FEM;PL
artigos	punkter	artigo	punkt	N;MASC;PL	N;INDF;NEUT;PL
distrito	distriktet	distrito	distrikte	N;MASC;SG	N;DEF;NEUT;SG
distrito	district	distrito	district	N;MASC;SG	N;INDF;NEUT;SG
distrito	distrikt	distrito	distrikt	N;MASC;SG	N;INDF;NEUT;SG
local	stedet	local	sted	N;MASC;SG	N;DEF;NEUT;SG
local	sted	local	sted	N;MASC;SG	N;INDF;NEUT;SG
local	plads	local	plads	N;MASC;SG	N;INDF;MASC+FEM;SG
local	mødested	local	mødested	N;MASC;SG	N;INDF;NEUT;SG
trabalho	jobbet	trabalho	job	N;MASC;SG	N;DEF;NEUT;SG
trabalho	job	trabalho	job	N;MASC;SG	N;INDF;NEUT;SG
trabalho	arbejde	trabalho	arbejde	N;MASC;SG	N;INDF;NEUT;SG
trabalho	arbejdet	trabalho	arbejde	N;MASC;SG	N;DEF;NEUT;SG
outro	andet	outro	anden	PRO;MASC;SG	PRO;NEUT;SG
fez	gjorde	fazer	gøre	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
acordo	enighed	acordo	enighed	N;MASC;SG	N;INDF;MASC+FEM;SG
acordo	overenskomst	acordo	overenskomst	N;MASC;SG	N;INDF;MASC+FEM;SG
acordo	aftale	acordo	aftale	N;MASC;SG	N;INDF;MASC+FEM;SG
acordo	ordning	acordo	ordning	N;MASC;SG	N;INDF;MASC+FEM;SG
acordo	arrangement	acordo	arrangement	N;MASC;SG	N;INDF;NEUT;SG
número	antal	número	antal	N;MASC;SG	N;INDF;NEUT;SG
número	nummer	número	nummer	N;MASC;SG	N;INDF;NEUT;SG
através	gennem	através	gennem	ADV	ADV
através	igennem	através	igennem	ADV	ADV
maria	marie	maria	marie	N;FEM;SG	N;INDF;MASC+FEM;SG
maria	mary	maria	mary	N;FEM;SG	N;INDF;MASC+FEM;SG
terra	jorden	terra	jord	N;FEM;SG	N;DEF;MASC+FEM;SG
terra	jord	terra	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
terra	jordens	terra	jord	N;FEM;SG	N;GEN;DEF;MASC+FEM;SG
terra	jord	terra	jord	N;FEM;SG	N;INDF;MASC+FEM;SG
terra	land	terra	land	N;FEM;SG	N;INDF;NEUT;SG
gênero	genre	gênero	genre	N;MASC;SG	N;INDF;MASC+FEM;SG
gênero	køn	gênero	køn	N;MASC;SG	N;INDF;MASC+FEM;SG
gênero	slægt	gênero	slægge	N;MASC;SG	N;INDF;MASC+FEM;SG
igreja	church	igreja	church	N;FEM;SG	N;INDF;MASC+FEM;SG
igreja	kirken	igreja	kirk	N;FEM;SG	N;DEF;MASC+FEM;SG
igreja	kirke	igreja	kirke	N;FEM;SG	N;INDF;MASC+FEM;SG
universidade	university	universidade	university	N;FEM;SG	N;INDF;MASC+FEM;SG
universidade	universitet	universidade	universitet	N;FEM;SG	N;INDF;NEUT;SG
universidade	universitetet	universidade	universitet	N;FEM;SG	N;DEF;NEUT;SG
universidade	kollegium	universidade	kollegium	N;FEM;SG	N;INDF;NEUT;SG
universidade	college	universidade	college	N;FEM;SG	N;INDF;MASC+FEM;SG
podem	kan	poder	kunne	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
centro	centrum	centro	centrum	N;MASC;SG	N;INDF;NEUT;SG
centro	midtpunkt	centro	midtpunkt	N;MASC;SG	N;INDF;NEUT;SG
centro	center	centro	center	N;MASC;SG	N;INDF;NEUT;SG
centro	midten	centro	midte	N;MASC;SG	N;DEF;MASC+FEM;SG
centro	centret	centro	center	N;MASC;SG	N;DEF;NEUT;SG
centro	centrum	centro	centrum	N;MASC;SG	N;INDF;NEUT;SG
centro	centre	centro	centre	N;MASC;SG	N;INDF;MASC+FEM;SG
centro	center	centro	center	N;MASC;SG	N;INDF;NEUT;SG
início	start	início	start	N;MASC;SG	N;INDF;MASC+FEM;SG
início	begyndelse	início	begyndelse	N;MASC;SG	N;INDF;MASC+FEM;SG
início	begyndelsen	início	begyndelse	N;MASC;SG	N;DEF;MASC+FEM;SG
essa	dette	esse	denne	PRO;FEM;SG	PRO;NEUT;SG
essa	denne	esse	denne	PRO;FEM;SG	PRO;MASC+FEM;SG
tipo	type	tipo	type	N;MASC;SG	N;INDF;MASC+FEM;SG
santa	sankt	santo	sankt	N;FEM;SG	N;INDF;NEUT;SG
santa	helgen	santo	helgen	N;FEM;SG	N;INDF;MASC+FEM;SG
santa	julemanden	santo	julemand	N;FEM;SG	N;DEF;MASC+FEM;SG
santa	julemand	santo	julemand	N;FEM;SG	N;INDF;MASC+FEM;SG
conhecido	kendt	conhecido	kendt	ADJ;MASC;SG	ADJ;INDF;SG
conhecido	bekendt	conhecido	bekendt	ADJ;MASC;SG	ADJ;INDF;SG
canção	sang	canção	sang	N;FEM;SG	N;INDF;MASC+FEM;SG
edição	udgaven	edição	udgave	N;FEM;SG	N;DEF;MASC+FEM;SG
edição	udgave	edição	udgave	N;FEM;SG	N;INDF;MASC+FEM;SG
edição	redigering	edição	redigering	N;FEM;SG	N;INDF;MASC+FEM;SG
edição	offentliggørelse	edição	offentliggørelse	N;FEM;SG	N;INDF;MASC+FEM;SG
edição	udgivelse	edição	udgivelse	N;FEM;SG	N;INDF;MASC+FEM;SG
edição	forlagsvirksomhed	edição	forlagsvirksomhed	N;FEM;SG	N;INDF;MASC+FEM;SG
mundial	verdensomspændende	mundial	verdensomspændende	ADJ;MASC;SG	ADJ
lançado	frigjort	lançar	frigjort	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
lançado	udgivet	lançar	udgive	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
lançado	løsladt	lançar	løsladt	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
lançado	frigivet	lançar	frigiv	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
lançado	igangsat	lançar	igangsætte	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
lançado	lanceret	lançar	lancere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
lançado	iværksat	lançar	iværksætte	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
rei	konge	rei	konge	N;MASC;SG	N;INDF;MASC+FEM;SG
rei	kongens	rei	konge	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
rei	kongen	rei	konge	N;MASC;SG	N;DEF;MASC+FEM;SG
algumas	nogle	algum	nogen	PRO;FEM;PL	PRO;PL
água	vand	água	vand	N;FEM;SG	N;INDF;NEUT;SG
quatro	fire	quatro	fire	NUM	NUM
época	årstid	época	årstid	N;FEM;SG	N;INDF;MASC+FEM;SG
época	sæsonen	época	sæson	N;FEM;SG	N;DEF;MASC+FEM;SG
época	sæson	época	sæson	N;FEM;SG	N;INDF;MASC+FEM;SG
época	epoke	época	epoke	N;FEM;SG	N;INDF;MASC+FEM;SG
exemplo	eksempel	exemplo	eksempel	N;MASC;SG	N;INDF;NEUT;SG
morte	død	morte	død	N;FEM;SG	N;INDF;MASC+FEM;SG
morte	døden	morte	død	N;FEM;SG	N;DEF;MASC+FEM;SG
produção	produktion	produção	produktion	N;FEM;SG	N;INDF;MASC+FEM;SG
produção	fremstilling	produção	fremstilling	N;FEM;SG	N;INDF;MASC+FEM;SG
temporada	årstid	temporada	årstid	N;FEM;SG	N;INDF;MASC+FEM;SG
temporada	sæsonen	temporada	sæson	N;FEM;SG	N;DEF;MASC+FEM;SG
temporada	sæson	temporada	sæson	N;FEM;SG	N;INDF;MASC+FEM;SG
seguinte	næste	seguinte	næste	ADJ;MASC;SG	ADJ
