hostince	herbergen	hostinec	herbergen	N;INAN;NOM;MASC;PL;POS	N;PL
tanku	tank	tank	tank	N;INAN;DAT;MASC;SG;POS	N;MASC+FEM;SG
likvidaci	verwijdering	likvidace	verwijdering	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
likvidaci	vereffening	likvidace	vereffening	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
likvidaci	liquidatie	likvidace	liquidatie	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
gen	gene	gen	gene	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
gen	gen	gen	gen	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
gen	gen	gen	gen	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
protest	protest	protest	protest	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
kvete	bloeit	kvést	bloeien	V;IND;SG;3;POS;PRS;FIN;ACT	V;SG;PRS;FIN
kvete	bloeiende	kvést	bloeien	V;IND;SG;3;POS;PRS;FIN;ACT	V;V.PTCP
pasivní	passieve	pasivní	passief	ADJ;NOM;MASC;SG;POS	ADJ
pasivní	passief	pasivní	passief	ADJ;NOM;MASC;SG;POS	ADJ
fotky	fotos	fotka	fotos	N;NOM;FEM;PL;POS	N;PL
fotky	plaatjes	fotka	plaat	N;NOM;FEM;PL;POS	N;PL
výrobci	producers	výrobce	producer	N;ANIM;NOM;MASC;PL;POS	N;PL
výrobci	producenten	výrobce	producent	N;ANIM;NOM;MASC;PL;POS	N;PL
výrobci	fabrikanten	výrobce	fabrikant	N;ANIM;NOM;MASC;PL;POS	N;PL
graf	grafiek	graf	grafiek	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
graf	grafiek	graf	grafiek	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
graf	graf	graf	graf	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
jedenáct	elf	jedenáct	elf	NUM;NOM;SG	NUM
kůži	huid	kůže	huid	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
kůži	skin	kůže	skin	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
léčba	behandeling	léčba	behandeling	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
prefektura	prefectuur	prefektura	prefectuur	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
playoff	playoff	playoff	playoff	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
zkušenost	ervaring	zkušenost	ervaring	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
pátá	vijfde	pátý	vijf	ADJ;NOM;FEM;SG	ADJ
husa	goose	husa	goos	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
cítí	voelt	cítit	voelen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;SG;PRS;FIN
učit	onderwijzen	učit	onderwijzen	V;IPFV;POS;NFIN	V;NFIN
uzavřít	afsluiten	uzavřít	afsluiten	V;POS;NFIN	V;NFIN
uzavřít	sluiten	uzavřít	sluiten	V;POS;NFIN	V;NFIN
uzavřít	sluit	uzavřít	sluiten	V;POS;NFIN	V;SG;PRS;FIN
houby	champignons	houba	champignon	N;NOM;FEM;PL;POS	N;PL
houby	paddenstoelen	houba	paddenstoel	N;NOM;FEM;PL;POS	N;PL
houby	paddestoelen	houba	paddestoel	N;NOM;FEM;PL;POS	N;PL
houby	sponzen	houba	sponzen	N;NOM;FEM;PL;POS	N;PL
houby	paddestoelen	houba	paddestoel	N;NOM;FEM;PL;POS	N;PL
houby	schimmels	houba	schimmel	N;NOM;FEM;PL;POS	N;PL
vzorec	formule	vzorec	formule	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
vzorec	patroon	vzorec	patroon	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
sigma	sigma	sigma	sigma	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
listina	handvest	listina	handvest	N;NOM;FEM;SG;POS	N;NEUT;SG
spravedlnost	gerechtigheid	spravedlnost	gerechtigheid	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
spravedlnost	justitie	spravedlnost	justitie	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
spravedlnost	rechtvaardigheid	spravedlnost	rechtvaardigheid	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
milion	miljoen	milión	miljoen	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
saxofon	saxofoon	saxofon	saxofoon	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
saxofon	sax	saxofon	sax	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
saxofon	saxofoon	saxofon	saxofoon	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
junior	junior	junior	junior	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
zabije	doodt	zabít	doden	V;IND;SG;3;POS;PRS;FIN;ACT	V;SG;PRS;FIN
řidič	chauffeur	řidič	chauffeur	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
řidič	stuurprogramma	řidič	stuurprogramma	N;ANIM;NOM;MASC;SG;POS	N;NEUT;SG
řidič	driver	řidič	driver	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
řidič	bestuurder	řidič	bestuurder	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
čtenáři	lezers	čtenář	lezer	N;ANIM;NOM;MASC;PL;POS	N;PL
kristus	christus	kristus	christus	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
varování	waarschuwing	varování	waarschuwing	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
náklad	cargo	náklad	cargo	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
náklad	vracht	náklad	vracht	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
náklad	lading	náklad	lading	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
socialistická	socialistisch	socialistický	socialistisch	ADJ;NOM;FEM;SG;POS	ADJ
socialistická	socialistische	socialistický	socialistisch	ADJ;NOM;FEM;SG;POS	ADJ
položky	items	položka	item	N;NOM;FEM;PL;POS	N;PL
položky	vermeldingen	položka	vermelding	N;NOM;FEM;PL;POS	N;PL
položky	inzendingen	položka	inzending	N;NOM;FEM;PL;POS	N;PL
položky	ingangen	položka	ingaan	N;NOM;FEM;PL;POS	N;PL
prezidentské	presidentiële	prezidentský	presidentiel	ADJ;NOM;MASC;PL;POS	ADJ
prezidentské	presidentieel	prezidentský	presidentieel	ADJ;NOM;MASC;PL;POS	ADJ
zajímavá	interessante	zajímavý	interessant	ADJ;NOM;FEM;SG;POS	ADJ
zajímavá	interessant	zajímavý	interessant	ADJ;NOM;FEM;SG;POS	ADJ
ztrácí	verliezen	ztrácet	verliezen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;NFIN
ztrácí	verliest	ztrácet	verliezen	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;SG;PRS;FIN
jakékoli	elke	jakýkoliv	elk	DET;NOM;NEUT;PL	DET
nutnost	noodzaak	nutnost	noodzaak	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
nutnost	noodzakelijkheid	nutnost	noodzakelijkheid	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
varšavě	warschau	varšavě	warschau	N;DAT;FEM;SG;POS	N;NEUT;SG
zápasník	strijder	zápasník	strijder	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
zápasník	vechter	zápasník	vechter	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
zápasník	fighter	zápasník	fighter	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
zápasník	worstelaar	zápasník	worstelaar	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
vodíku	waterstof	vodík	waterstof	N;INAN;GEN;MASC;SG;POS	N;MASC+FEM;SG
ekonomická	economische	ekonomický	economisch	ADJ;NOM;FEM;SG;POS	ADJ
ekonomická	economisch	ekonomický	economisch	ADJ;NOM;FEM;SG;POS	ADJ
ekonomická	zuinig	ekonomický	zuinig	ADJ;NOM;FEM;SG;POS	ADJ
senát	senaat	senát	senaat	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
indické	indisch	indický	indisch	ADJ;NOM;MASC;SG;POS	ADJ
indické	indiaas	indický	indiaas	ADJ;NOM;MASC;SG;POS	ADJ
indické	indiase	indický	indiase	ADJ;NOM;MASC;SG;POS	ADJ
indické	indische	indický	indisch	ADJ;NOM;MASC;SG;POS	ADJ
důvěru	zelfvertrouwen	důvěra	zelfvertrouwen	N;ACC;FEM;SG;POS	N;NEUT;SG
důvěru	vertrouwen	důvěra	vertrouwen	N;ACC;FEM;SG;POS	N;NEUT;SG
důvěru	vertrouwen	důvěra	vertrouwen	N;ACC;FEM;SG;POS	N;NEUT;SG
sedmé	zevende	sedmý	zeven	ADJ;NOM;NEUT;SG;POS	ADJ
irský	ierse	irský	iers	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
irský	iers	irský	iers	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
ředitelství	directoraat	ředitelství	directoraat	N;NOM;NEUT;SG;POS	N;NEUT;SG
písemné	schriftelijke	písemný	schriftelijk	ADJ;NOM;NEUT;SG;POS	ADJ
vyhráli	gewonnen	vyhrát	winnen	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT	V;V.PTCP
náhrada	terugbetaling	náhrada	terugbetaling	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	teruggave	náhrada	teruggave	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	restitutie	náhrada	restitutie	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	vergoeding	náhrada	vergoeding	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	terugbetaling	náhrada	terugbetaling	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	vergoeding	náhrada	vergoeding	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	compensatie	náhrada	compensatie	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	schadeloosstelling	náhrada	schadeloosstelling	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	schadevergoeding	náhrada	schadevergoeding	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	vervanging	náhrada	vervanging	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
náhrada	vervanger	náhrada	vervanger	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
účtu	rekening	účet	rekening	N;INAN;GEN;MASC;SG;POS	N;MASC+FEM;SG
účtu	account	účet	accounen	N;INAN;GEN;MASC;SG;POS	N;NEUT;SG
zjevení	onthulling	zjevení	onthulling	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
zjevení	openbaring	zjevení	openbaring	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
zjevení	openbaring	zjevení	openbaring	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
zjevení	verschijning	zjevení	verschijning	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
zjevení	openbaring	zjevení	openbaring	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
domácnosti	huishoudens	domácnost	huishouden	N;NOM;FEM;PL;POS	N;PL
domácnosti	gezinnen	domácnost	gezin	N;NOM;FEM;PL;POS	N;PL
potomků	nakomelingen	potomek	nakomeling	N;ANIM;GEN;MASC;PL;POS	N;PL
potomků	nakomelingen	potomek	nakomeling	N;ANIM;GEN;MASC;PL;POS	N;PL
potomků	afstammelingen	potomek	afstammeling	N;ANIM;GEN;MASC;PL;POS	N;PL
nízký	laag	nízký	laag	ADJ;INAN;NOM;MASC;SG;POS	ADJ
nízký	lage	nízký	laag	ADJ;INAN;NOM;MASC;SG;POS	ADJ
závislost	afhankelijkheid	závislost	afhankelijkheid	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
závislost	verslaving	závislost	verslaving	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
závislost	afhankelijkheid	závislost	afhankelijkheid	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
předpokladu	veronderstelling	předpoklad	veronderstelling	N;INAN;GEN;MASC;SG;POS	N;MASC+FEM;SG
podpořil	gesteund	podpořit	steunen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
podpořil	ondersteunde	podpořit	ondersteunen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;SG;PST;FIN
podpořil	ondersteund	podpořit	ondersteunen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
podpořil	gesteunde	podpořit	steunen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
kuchyně	keuken	kuchyně	keuken	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
napadení	geweldpleging	napadení	geweldpleging	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
napadení	mishandeling	napadení	mishandeling	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
napadení	aanval	napadení	aanval	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
záměrně	expres	záměrně	expres	ADV;POS	ADV
záměrně	expres	záměrně	expres	ADV;POS	ADV
homo	homo	homo	homo	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
vítěze	winnares	vítěz	winnare	N;ANIM;ACC;MASC;SG;POS	N;MASC+FEM;SG
vítěze	winnaar	vítěz	winnaar	N;ANIM;ACC;MASC;SG;POS	N;MASC+FEM;SG
úhlu	hoek	úhel	hoek	N;INAN;GEN;MASC;SG;POS	N;MASC+FEM;SG
míč	bal	míč	bal	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
míč	ball	míč	ball	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
výpočet	berekening	výpočet	berekening	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
autorka	auteur	autorka	auteur	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
autorka	schrijver	autorka	schrijver	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
stanovení	vastberadenheid	stanovení	vastberadenheid	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
stanovení	bepaling	stanovení	bepaling	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
hospodářská	economische	hospodářský	economisch	ADJ;NOM;FEM;SG;POS	ADJ
hospodářská	economisch	hospodářský	economisch	ADJ;NOM;FEM;SG;POS	ADJ
pouť	bedevaart	pouť	bedevaart	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
pouť	pelgrimstocht	pouť	pelgrimstocht	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
prezentace	presentatie	prezentace	presentatie	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
objevit	ontdek	objevit	ontdek	V;PFV;POS;NFIN	V;SG;PRS;FIN
objevit	ontdekken	objevit	ontdekken	V;PFV;POS;NFIN	V;NFIN
příchod	aankomst	příchod	aankomst	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
par	par	par	par	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
par	damp	par	damp	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
přežil	overleefde	přežít	overleven	V;MASC;SG;POS;PST;V.PTCP;ACT	V;SG;PST;FIN
přežil	overleefd	přežít	overleven	V;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
padesát	vijftig	padesát	vijftig	NUM;NOM;SG	NUM
oprávnění	permissie	oprávnění	permissie	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
oprávnění	toestemming	oprávnění	toestemming	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
oprávnění	autorisatie	oprávnění	autorisatie	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
oprávnění	toestemming	oprávnění	toestemming	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
oprávnění	vergunning	oprávnění	vergunning	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
směry	richtingen	směr	richting	N;INAN;NOM;MASC;PL;POS	N;PL
směry	oriëntaties	směr	oriëntatie	N;INAN;NOM;MASC;PL;POS	N;PL
verše	verzen	verš	verzen	N;INAN;NOM;MASC;PL;POS	N;PL
dodržování	naleving	dodržování	naleving	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
dodržování	compliance	dodržování	compliance	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
teplo	warmte	teplo	warmte	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
teplo	hitte	teplo	hit	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
teplo	warmte	teplo	warmte	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
rna	rna	rna	rna	N;NOM;FEM;SG;POS	N;NEUT;SG
reagovat	reageer	reagovat	reageren	V;IPFV;POS;NFIN	V;SG;PRS;FIN
reagovat	reageren	reagovat	reageren	V;IPFV;POS;NFIN	V;NFIN
reagovat	reageer	reagovat	reageren	V;IPFV;POS;NFIN	V;SG;PRS;FIN
reagovat	reageren	reagovat	reageren	V;IPFV;POS;NFIN	V;NFIN
duševní	geestelijke	duševní	geestelijke	ADJ;NOM;MASC;SG;POS	ADJ
duševní	spirituele	duševní	spiritueel	ADJ;NOM;MASC;SG;POS	ADJ
duševní	spiritueel	duševní	spiritueel	ADJ;NOM;MASC;SG;POS	ADJ
duševní	geestelijk	duševní	geestelijk	ADJ;NOM;MASC;SG;POS	ADJ
duševní	mentaal	duševní	mentaal	ADJ;NOM;MASC;SG;POS	ADJ
duševní	mentale	duševní	mentale	ADJ;NOM;MASC;SG;POS	ADJ
duševní	geestelijk	duševní	geestelijk	ADJ;NOM;MASC;SG;POS	ADJ
duševní	geestelijke	duševní	geestelijke	ADJ;NOM;MASC;SG;POS	ADJ
duševní	intellectuele	duševní	intellectueel	ADJ;NOM;MASC;SG;POS	ADJ
duševní	intellectueel	duševní	intellectueel	ADJ;NOM;MASC;SG;POS	ADJ
dopředu	vooruit	dopředu	vooruit	ADV	ADV
terapie	therapie	terapie	therapie	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
mnich	monnik	mnich	monnik	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
mnich	monk	mnich	monken	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
soukromá	privé	soukromý	privé	ADJ;NOM;FEM;SG;POS	ADJ
soukromá	particulier	soukromý	particulier	ADJ;NOM;FEM;SG;POS	ADJ
rozpočtu	budget	rozpočet	budget	N;INAN;GEN;MASC;SG;POS	N;NEUT;SG
rozpočtu	begroting	rozpočet	begroting	N;INAN;GEN;MASC;SG;POS	N;MASC+FEM;SG
úseky	afdelingen	úsek	afdeling	N;INAN;NOM;MASC;PL;POS	N;PL
úseky	secties	úsek	sectie	N;INAN;NOM;MASC;PL;POS	N;PL
ukrajinský	oekraïens	ukrajinský	oekraïen	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
ukrajinský	oekraïense	ukrajinský	oekraïens	ADJ;ANIM;NOM;MASC;SG;POS	ADJ
ostřice	carex	ostřice	carex	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
brigády	brigades	brigáda	brigade	N;NOM;FEM;PL;POS	N;PL
veselí	cheer	veselí	cheer	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
