על	關於	על	關於	ADP	ADP
אביב	春秋	אביב	春秋	N;MASC;SG	N
אביב	春天	אביב	春天	N;MASC;SG	N
אביב	彈簧	אביב	彈簧	N;MASC;SG	N
אביב	春季	אביב	春季	N;MASC;SG	N
במאי	主任	במאי	主任	N;MASC;SG	N
במאי	司長	במאי	司長	N;MASC;SG	N
שנה	年度	שנה	年度	N;FEM;SG	N
שנה	年份	שנה	年份	N;FEM;SG	N
שנה	年	שנה	年	N;FEM;SG	N
שנה	歲	שנה	歲	N;FEM;SG	N
שנה	年份	שנה	年份	N;FEM;SG	N
נולד	生	נולד	生	V;MASC;SG;3;PST;MID	V
נולד	誕生	נולד	誕生	V;MASC;SG;3;PST;MID	V
נולד	出生	נולד	出生	V;MASC;SG;3;PST;MID	V
הערות	意見	הערה	意見	N;FEM;PL	N
חלק	光滑	חלק	光滑	N;MASC;SG	N
חלק	平滑	חלק	平滑	N;MASC;SG	N
אחת	一	אחת	一	NUM;FEM;SG	NUM
אחת	一	אחת	一	NUM;FEM;SG	NUM
שוליים	邊緣	שול	邊緣	N;MASC;PL	N
שוליים	比值	שול	比值	N;MASC;PL	N
אותה	她	None	她	PRO;ACC;FEM;SG;3	PRO;3
ארצות	國家	ארץ	國家	N;FEM;PL	N
ארצות	各國	ארץ	各國	N;FEM;PL	N
ראש	頭	ראש	頭	N;MASC;SG	N
ראש	頭部	ראש	頭部	N;MASC;SG	N
ראש	急	ראש	急	N;MASC;SG	N
בבית	首頁	בבית	首頁		
ערך	價值	ערך	價值	N;MASC;SG	N
ערך	數值	ערך	數值	N;MASC;SG	N
ערך	值	ערך	值	N;MASC;SG	N
זמן	時光	זמן	時光	N;MASC;SG	N
זמן	時間	זמן	時間	N;MASC;SG	N
בעיקר	大多	בעיקר	大多	ADV	ADV
אתר	網站	אתר	網站	N;MASC;SG	N
אתר	網頁	אתר	網頁	N;MASC;SG	N
אתר	網站	אתר	網站	N;MASC;SG	N
אתר	工地	אתר	工地	N;MASC;SG	N
אתר	醚	אתר	醚	N;MASC;SG	N
שונים	不同	שונה	不同	ADJ;MASC;PL	ADJ
אדם	人類	אדם	人類	N;MASC;SG	N
אדם	人	אדם	人	N;MASC;SG	N
אדם	男人	אדם	男人	N;MASC;SG	N
עוד	更	עוד	更	ADV	ADV
ספר	圖書	ספר	圖書	N;MASC;SG	N
ספר	書	ספר	書	N;MASC;SG	N
ספר	書籍	ספר	書籍	N;MASC;SG	N
ספר	理髮	ספר	理髮	N;MASC;SG	N
ספר	理髮	ספר	理髮	N;MASC;SG	N
הן	她們	הוא	她	PRO;FEM;PL;3	PRO;PL;3
הן	他們	הוא	他	PRO;FEM;PL;3	PRO;PL;3
הן	它們	הוא	它	PRO;FEM;PL;3	PRO;PL;3
יום	白天	יום	白天	N;MASC;SG	N
כבר	已經	כבר	已經	ADV	ADV
מקום	地點	מקום	地點	N;MASC;SG	N
מקום	場地	מקום	場地	N;MASC;SG	N
מקום	會場	מקום	會場	N;MASC;SG	N
מקום	地方	מקום	地方	N;MASC;SG	N
מקום	地點	מקום	地點	N;MASC;SG	N
מאוד	非常	מאוד	非常	ADV	ADV
שנת	年度	שנה	年度	N;PSSD;FEM;SG	N
שנת	年份	שנה	年份	N;PSSD;FEM;SG	N
שנת	年	שנה	年	N;PSSD;FEM;SG	N
באמצעות	通過	באמצעות	通過	ADP	ADP
באמצעות	經	באמצעות	經	ADP	ADP
בעלי	丈夫	בעל	丈夫	N;PSSD;MASC;PL	N
ראו	饒	ראה	饒	V;PL;3;PST;ACT	V
בעל	丈夫	בעל	丈夫	N;MASC;SG	N
תמונה	像片	תמונה	像片	N;FEM;SG	N
תמונה	照片	תמונה	照片	N;FEM;SG	N
תמונה	影象	תמונה	影象	N;FEM;SG	N
תמונה	影像	תמונה	影像	N;FEM;SG	N
תמונה	圖片	תמונה	圖片	N;FEM;SG	N
תמונה	照片	תמונה	照片	N;FEM;SG	N
תמונה	圖片	תמונה	圖片	N;FEM;SG	N
כתב	記者	כתב	記者	N;MASC;SG	N
למרות	儘管	למרות	儘管	ADP	ADP
למרות	雖然	למרות	雖然	ADP	ADP
למרות	雖然	למרות	雖然	ADP	ADP
החברה	社會	החברה	社會	N;FEM;SG	N
החברה	公司	החברה	公司	N;FEM;SG	N
שונות	不同	שונה	不同	ADJ;FEM;PL	ADJ
מערכת	系統	מערכת	系統	N;FEM;SG	N
בלבד	只	בלבד	只	ADV	ADV
עבר	過往	עבר	過往	N;MASC;SG	N
עבר	過去	עבר	過去	N;MASC;SG	N
מרכז	中央	מרכז	中央	N;MASC;SG	N
מרכז	中心	מרכז	中心	N;MASC;SG	N
מרכז	中心	מרכז	中心	N;MASC;SG	N
שימוש	用法	שימוש	用法	N;MASC;SG	N
שימוש	用量	שימוש	用量	N;MASC;SG	N
כולל	包容	כלל	包容	V;MASC;SG;V.PTCP;ACT	V
כולל	包括	כלל	包括	V;MASC;SG;V.PTCP;ACT	V
כולל	包括	כלל	包括	V;MASC;SG;V.PTCP;ACT	V
כולל	包括	כלל	包括	V;MASC;SG;V.PTCP;ACT	V
גדול	偉大	גדול	偉大	ADJ;MASC;SG	ADJ
סוג	善良	סוג	善良	N;MASC;SG	N
סוג	型態	סוג	型態	N;MASC;SG	N
סוג	類型	סוג	類型	N;MASC;SG	N
מידע	資訊	מידע	資訊	N;MASC;SG	N
מידע	資料	מידע	資料	N;MASC;SG	N
ערכים	指標	ערך	指標	N;MASC;PL	N
ערכים	價值	ערך	價值	N;MASC;PL	N
ערכים	價值	ערך	價值	N;MASC;PL	N
ערכים	數值	ערך	數值	N;MASC;PL	N
ערכים	值	ערך	值	N;MASC;PL	N
ערכים	條目	ערך	條目	N;MASC;PL	N
אנשים	人	איש	人	N;MASC;PL	N
אנשים	人們	איש	人	N;MASC;PL	N;PL
אנשים	人民	איש	人民	N;MASC;PL	N
דקות	分鐘	דקה	分鐘	N;FEM;PL	N
חבר	朋友	חבר	朋友	N;MASC;SG	N
חבר	好友	חבר	好友	N;MASC;SG	N
חבר	男	חבר	男	N;MASC;SG	N
חבר	男友	חבר	男友	N;MASC;SG	N
צריך	應	צריך	應	V;MASC;SG	V
בת	女兒	בת	女兒	N;FEM;SG	N
הכנסת	會堂	הכנסה	會堂	N;PSSD;FEM;SG	N
חדש	新	חדש	新	ADJ;MASC;SG	ADJ
ארץ	國家	ארץ	國家	N;FEM;SG	N
ארץ	陸地	ארץ	陸地	N;FEM;SG	N
ארץ	土地	ארץ	土地	N;FEM;SG	N
ארץ	大地	ארץ	大地	N;FEM;SG	N
כלי	工具	כלי	工具	N;MASC;SG	N
אתה	你	הוא	你	PRO;MASC;SG;2	PRO;2
נמצא	找到	נמצא	找到	V;MASC;SG;V.PTCP;MID	V
נמצא	發現	נמצא	發現	V;MASC;SG;V.PTCP;MID	V
ילדים	小孩	ילד	小孩	N;MASC;PL	N
ילדים	兒童	ילד	兒童	N;MASC;PL	N
שלושה	三	שלושה	三	NUM;MASC;SG	NUM
שלושה	三	שלושה	三	NUM;MASC;SG	NUM
הגיע	抵達	הגיע	抵達	V;MASC;SG;3;PST;ACT	V
הגיע	到	הגיע	到	V;MASC;SG;3;PST;ACT	V
כמעט	幾乎	כמעט	幾乎	ADV	ADV
מיליון	百萬	מיליון	百萬	NUM;MASC;SG	NUM
כוח	力氣	כוח	力氣	N;MASC;SG	N
כוח	強度	כוח	強度	N;MASC;SG	N
כוח	實力	כוח	實力	N;MASC;SG	N
כוח	力量	כוח	力量	N;MASC;SG	N
כוח	體力	כוח	體力	N;MASC;SG	N
כוח	武力	כוח	武力	N;MASC;SG	N
כוח	電力	כוח	電力	N;MASC;SG	N
כוח	電源	כוח	電源	N;MASC;SG	N
כוח	動力	כוח	動力	N;MASC;SG	N
כוח	權力	כוח	權力	N;MASC;SG	N
מלך	國王	מלך	國王	N;MASC;SG	N
מקור	原產	מקור	原產	N;MASC;SG	N
מקור	起源	מקור	起源	N;MASC;SG	N
מקור	來源	מקור	來源	N;MASC;SG	N
מקור	喙	מקור	喙	N;MASC;SG	N
תוכנית	方案	תוכנית	方案	N;FEM;SG	N
תוכנית	程式	תוכנית	程式	N;FEM;SG	N
תוכנית	計畫	תוכנית	計畫	N;FEM;SG	N
תוכנית	方案	תוכנית	方案	N;FEM;SG	N
נראה	看	נראה	看	V;MASC;SG;V.PTCP;MID	V
לגבי	關於	לגבי	關於	ADP	ADP
משתמש	使用	השתמש	使用	V;MASC;SG;V.PTCP	V
משתמש	使用	השתמש	使用	V;MASC;SG;V.PTCP	V
קיבל	接受	קיבל	接受	V;MASC;SG;3;PST;ACT	V
נשים	婦女	איש	婦女	N;FEM;PL	N
נשים	女性	איש	女性	N;FEM;PL	N
במיוחד	尤其	במיוחד	尤其	ADV	ADV
במיוחד	尤其	במיוחד	尤其	ADV	ADV
עדיין	仍然	עדיין	仍然	ADV	ADV
עדיין	依然	עדיין	依然	ADV	ADV
מים	水	מים	水	N;MASC;PL	N
כוחות	權力	כוח	權力	N;MASC;PL	N
פעולה	動作	פעולה	動作	N;FEM;SG	N
פעולה	行動	פעולה	行動	N;FEM;SG	N
נכון	真實	נכון	真實	ADJ;MASC;SG	ADJ
חוק	法律	חוק	法律	N;MASC;SG	N
יחידה	股	יחידה	股	N;FEM;SG	N
יחידה	單元	יחידה	單元	N;FEM;SG	N
יחידה	單位	יחידה	單位	N;FEM;SG	N
שוב	再次	שוב	再次	ADV	ADV
מדינות	國家	מדינה	國家	N;FEM;PL	N
מדינות	國家	מדינה	國家	N;FEM;PL	N
מדינות	各國	מדינה	各國	N;FEM;PL	N
מפקד	司令	מפקד	司令	N;MASC;SG	N
שלוש	三	שלוש	三	NUM;FEM;SG	NUM
שלוש	三	שלוש	三	NUM;FEM;SG	NUM
אזור	區域	אזור	區域	N;MASC;SG	N
אזור	區	אזור	區	N;MASC;SG	N
אזור	區域	אזור	區域	N;MASC;SG	N
אזור	面積	אזור	面積	N;MASC;SG	N
אזור	地區	אזור	地區	N;MASC;SG	N
אזור	區域	אזור	區域	N;MASC;SG	N
אזור	區	אזור	區	N;MASC;SG	N
פעמים	時代	פעם	時代	N;FEM;PL	N
פעמים	時報	פעם	時報	N;FEM;PL	N
קבוצות	群組	קבוצה	群組	N;FEM;PL	N
קבוצות	團體	קבוצה	團體	N;FEM;PL	N
קבוצות	團隊	קבוצה	團隊	N;FEM;PL	N
קבוצות	球隊	קבוצה	球隊	N;FEM;PL	N
קבוצות	隊伍	קבוצה	隊伍	N;FEM;PL	N
סרט	電影	סרט	電影	N;MASC;SG	N
סרט	影片	סרט	影片	N;MASC;SG	N
סרט	電影	סרט	電影	N;MASC;SG	N
סרט	膠片	סרט	膠片	N;MASC;SG	N
סרט	影片	סרט	影片	N;MASC;SG	N
בגלל	因為	בגלל	因為	ADP	ADP
קרב	戰	קרב	戰	N;MASC;SG	N
קרב	戰役	קרב	戰役	N;MASC;SG	N
קרב	戰鬥	קרב	戰鬥	N;MASC;SG	N
קצר	簡短	קצר	簡短	ADJ;MASC;SG	ADJ
קצר	簡短	קצר	簡短	ADJ;MASC;SG	ADJ
ימים	日子	יום	日子	N;MASC;PL	N
ימים	天數	יום	天數	N;MASC;PL	N
צבא	軍方	צבא	軍方	N;MASC;SG	N
צבא	軍事	צבא	軍事	N;MASC;SG	N
צבא	集團	צבא	集團	N;MASC;SG	N
צבא	軍隊	צבא	軍隊	N;MASC;SG	N
צבא	軍	צבא	軍	N;MASC;SG	N
צבא	陸軍	צבא	陸軍	N;MASC;SG	N
ים	大海	ים	大海	N;MASC;SG	N
ים	海上	ים	海上	N;MASC;SG	N
ים	海	ים	海	N;MASC;SG	N
משחק	比賽	משחק	比賽	N;MASC;SG	N
משחק	遊戲	משחק	遊戲	N;MASC;SG	N
משחק	演技	משחק	演技	N;MASC;SG	N
ראשי	頭	ראש	頭	N;PSSD;MASC;PL	N
ראשי	頭部	ראש	頭部	N;PSSD;MASC;PL	N
ראשי	首席	ראש	首席	N;PSSD;MASC;PL	N
ראשי	科長	ראש	科長	N;PSSD;MASC;PL	N
ראשי	初級	ראש	初級	N;PSSD;MASC;PL	N
נבחר	選取	נבחר	選取	V;MASC;SG;3;PST;MID	V
מדי	太	מדי	太	ADV	ADV
פעילות	動態	פעילות	動態	N;FEM;SG	N
פעילות	活動	פעילות	活動	N;FEM;SG	N
שטח	欄位	שטח	欄位	N;MASC;SG	N
שטח	地形	שטח	地形	N;MASC;SG	N
שטח	地勢	שטח	地勢	N;MASC;SG	N
שטח	面積	שטח	面積	N;MASC;SG	N
שטח	地區	שטח	地區	N;MASC;SG	N
שטח	區域	שטח	區域	N;MASC;SG	N
שטח	區	שטח	區	N;MASC;SG	N
מאוחר	遲	מאוחר	遲	ADV	ADV
קולנוע	電影	קולנוע	電影	N;MASC;SG	N
קולנוע	影片	קולנוע	影片	N;MASC;SG	N
קולנוע	電影	קולנוע	電影	N;MASC;SG	N
קולנוע	攝影	קולנוע	攝影	N;MASC;SG	N
קולנוע	電影	קולנוע	電影	N;MASC;SG	N
קולנוע	電影	קולנוע	電影	N;MASC;SG	N
קולנוע	戲院	קולנוע	戲院	N;MASC;SG	N
פני	便士	פנים	便士	N;PL	N
עיר	城鎮	עיר	城鎮	N;FEM;SG	N
עיר	鎮	עיר	鎮	N;FEM;SG	N
עיר	城市	עיר	城市	N;FEM;SG	N
עיר	市	עיר	市	N;FEM;SG	N
עיר	城	עיר	城	N;FEM;SG	N
הופעות	印象	הופעה	印象	N;FEM;PL	N
הופעות	外表	הופעה	外表	N;FEM;PL	N
הופעות	表象	הופעה	表象	N;FEM;PL	N
הופעות	音樂	הופעה	音樂	N;FEM;PL	N
תקופה	期間	תקופה	期間	N;FEM;SG	N
ספרים	圖書	ספר	圖書	N;MASC;PL	N
ספרים	書	ספר	書	N;MASC;PL	N
ספרים	書籍	ספר	書籍	N;MASC;PL	N
למד	學習	למד	學習	V;MASC;SG;3;PST	V
ברית	聯盟	ברית	聯盟	N;FEM;SG	N
ברית	同盟	ברית	同盟	N;FEM;SG	N
ברית	盟友	ברית	盟友	N;FEM;SG	N
ברית	盟軍	ברית	盟軍	N;FEM;SG	N
ברית	盟國	ברית	盟國	N;FEM;SG	N
ברית	同盟	ברית	同盟	N;FEM;SG	N
תשע	九	תשע	九	NUM;FEM;SG	NUM
גרסאות	變體	גרסה	變體	N;FEM;PL	N
גרסאות	版本	גרסה	版本	N;FEM;PL	N
זהב	黃金	זהב	黃金	N;MASC;SG	N
זהב	金色	זהב	金色	N;MASC;SG	N
זהב	黃金	זהב	黃金	N;MASC;SG	N
זהב	金色	זהב	金色	N;MASC;SG	N
עולם	世界	עולם	世界	N;MASC;SG	N
יד	手	יד	手	N;FEM;SG	N
מדינה	國家	מדינה	國家	N;FEM;SG	N
מדינה	國家	מדינה	國家	N;FEM;SG	N
מדינה	州	מדינה	州	N;FEM;SG	N
ארגון	組織	ארגון	組織	N;MASC;SG	N
ארגון	組織	ארגון	組織	N;MASC;SG	N
לכתוב	撰寫	כתב	撰寫	V;NFIN;ACT	V
לכתוב	寫	כתב	寫	V;NFIN;ACT	V
לכתוב	寫信	כתב	寫信	V;NFIN;ACT	V
לכתוב	寫入	כתב	寫入	V;NFIN;ACT	V
אור	輕	אור	輕		
אוכלוסייה	人口	אוכלוסייה	人口	N;FEM;SG	N
מחוז	郡	מחוז	郡	N;MASC;SG	N
מחוז	縣	מחוז	縣	N;MASC;SG	N
מחוז	省	מחוז	省	N;MASC;SG	N
מחוז	省省	מחוז	省省	N;MASC;SG	N
מחוז	省份	מחוז	省份	N;MASC;SG	N
מחוז	區	מחוז	區	N;MASC;SG	N
מחוז	地區	מחוז	地區	N;MASC;SG	N
תואר	度	תואר	度	N;MASC;SG	N
תואר	程度	תואר	程度	N;MASC;SG	N
תואר	學位	תואר	學位	N;MASC;SG	N
סדרת	系列	סדרה	系列	N;FEM;SG	N
למצוא	找到	מצא	找到	V;NFIN;ACT	V
למצוא	尋找	מצא	尋找	V;NFIN;ACT	V
עבודה	工作	עבודה	工作	N;FEM;SG	N
עבודה	工作	עבודה	工作	N;FEM;SG	N
חשוב	重要	חשוב	重要	ADJ;MASC;SG	ADJ
תבנית	圖案	תבנית	圖案	N;FEM;SG	N
תבנית	格局	תבנית	格局	N;FEM;SG	N
תבנית	模式	תבנית	模式	N;FEM;SG	N
תבנית	樣板	תבנית	樣板	N;FEM;SG	N
תבנית	模板	תבנית	模板	N;FEM;SG	N
תבנית	格式	תבנית	格式	N;FEM;SG	N
תבנית	形式	תבנית	形式	N;FEM;SG	N
תבנית	格式	תבנית	格式	N;FEM;SG	N
אמריקאים	美式	אמריקני	美式	N;MASC;PL	N
דרום	南部	דרום	南部	N;MASC;SG	N
דרום	南	דרום	南	N;MASC;SG	N
דרום	南部	דרום	南部	N;MASC;SG	N
זכויות	權利	זכות	權利	N;FEM;PL	N
אולי	或	אולי	或	ADV	ADV
אולי	或	אולי	或	ADV	ADV
אולי	也	אולי	也	ADV	ADV
לקבל	接受	קיבל	接受	V;NFIN;ACT	V
לקבל	獲取	קיבל	獲取	V;NFIN;ACT	V
לקבל	獲得	קיבל	獲得	V;NFIN;ACT	V
לקבל	得到	קיבל	得到	V;NFIN;ACT	V
מבנה	結構	מבנה	結構	N;MASC;SG	N
להשתמש	利用	השתמש	利用	V;NFIN	V
להשתמש	使用	השתמש	使用	V;NFIN	V
בסיס	基地	בסיס	基地	N;MASC;SG	N
בסיס	基礎	בסיס	基礎	N;MASC;SG	N
בסיס	基數	בסיס	基數	N;MASC;SG	N
בסיס	基礎	בסיס	基礎	N;MASC;SG	N
נקודות	點	נקודה	點	N;FEM;PL	N
נקודות	點數	נקודה	點數	N;FEM;PL	N
נקודות	斑點	נקודה	斑點	N;FEM;PL	N
קבוצה	群組	קבוצה	群組	N;FEM;SG	N
קבוצה	群	קבוצה	群	N;FEM;SG	N
קבוצה	團隊	קבוצה	團隊	N;FEM;SG	N
קבוצה	球隊	קבוצה	球隊	N;FEM;SG	N
קבוצה	隊伍	קבוצה	隊伍	N;FEM;SG	N
הקרב	戰	הקרב	戰	N;MASC;SG	N
הקרב	戰役	הקרב	戰役	N;MASC;SG	N
הקרב	戰鬥	הקרב	戰鬥	N;MASC;SG	N
שירים	詩	שיר	詩	N;MASC;PL	N
שירים	詩歌	שיר	詩歌	N;MASC;PL	N
שירים	歌曲	שיר	歌曲	N;MASC;PL	N
שירים	歌	שיר	歌	N;MASC;PL	N
עת	時光	עת	時光	N;FEM;SG	N
עת	時間	עת	時間	N;FEM;SG	N
תפקיד	作用	תפקיד	作用	N;MASC;SG	N
תפקיד	角色	תפקיד	角色	N;MASC;SG	N
נולדה	生	נולד	生	V;FEM;SG;3;PST;MID	V
נולדה	誕生	נולד	誕生	V;FEM;SG;3;PST;MID	V
נולדה	出生	נולד	出生	V;FEM;SG;3;PST;MID	V
שמות	人名	שם	人名	N;MASC;PL	N
שמות	名稱	שם	名稱	N;MASC;PL	N
שמות	姓名	שם	姓名	N;MASC;PL	N
שערים	門戶	שער	門戶	N;MASC;PL	N
שערים	目標	שער	目標	N;MASC;PL	N
מערכות	系統	מערכת	系統	N;FEM;PL	N
שנייה	第二	שנייה	第二	NUM;FEM;SG	NUM
ליצור	創建	יצר	創建	V;NFIN;ACT	V
מטרים	公尺	מטר	公尺	N;MASC;PL	N
מטרים	米	מטר	米	N;MASC;PL	N
מטרים	公尺	מטר	公尺	N;MASC;PL	N
שר	歌聲	שר	歌聲	N;MASC;SG	N
שר	唱歌	שר	唱歌	N;MASC;SG	N
שר	歌唱	שר	歌唱	N;MASC;SG	N
שר	大臣	שר	大臣	N;MASC;SG	N
שר	部長	שר	部長	N;MASC;SG	N
קו	線	קו	線	N;MASC;SG	N
קו	線路	קו	線路	N;MASC;SG	N
כסף	金錢	כסף	金錢	N;MASC;SG	N
כסף	錢	כסף	錢	N;MASC;SG	N
כסף	銀色	כסף	銀色	N;MASC;SG	N
כסף	銀	כסף	銀	N;MASC;SG	N
תמונות	像片	תמונה	像片	N;FEM;PL	N
תמונות	照片	תמונה	照片	N;FEM;PL	N
תמונות	圖片	תמונה	圖片	N;FEM;PL	N
תמונות	像片	תמונה	像片	N;FEM;PL	N
תמונות	圖畫	תמונה	圖畫	N;FEM;PL	N
תמונות	照片	תמונה	照片	N;FEM;PL	N
תמונות	影像	תמונה	影像	N;FEM;PL	N
תמונות	圖片	תמונה	圖片	N;FEM;PL	N
נשיא	總統	נשיא	總統	N;MASC;SG	N
נשיא	主席	נשיא	主席	N;MASC;SG	N
מוזיקה	音樂	הוזיק	音樂	N;FEM;SG	N
חדשים	新	חדש	新	ADJ;MASC;PL	ADJ
מצב	狀況	מצב	狀況	N;MASC;SG	N
מצב	狀態	מצב	狀態	N;MASC;SG	N
מצב	現況	מצב	現況	N;MASC;SG	N
מצב	模式	מצב	模式	N;MASC;SG	N
מצב	情況	מצב	情況	N;MASC;SG	N
מצב	條件	מצב	條件	N;MASC;SG	N
מצב	狀況	מצב	狀況	N;MASC;SG	N
היסטוריה	歷史	היסטוריה	歷史	N;FEM;SG	N
כדורגל	足球	כדורגל	足球	N;MASC;SG	N
כדורגל	足球	כדורגל	足球	N;MASC;SG	N
כדורגל	美式	כדורגל	美式	N;MASC;SG	N
כדורגל	橄欖	כדורגל	橄欖	N;MASC;SG	N
ביקורת	批判	ביקורת	批判	N;FEM;SG	N
ביקורת	批判	ביקורת	批判	N;FEM;SG	N
ביקורת	審查	ביקורת	審查	N;FEM;SG	N
חודשים	月	חודש	月	N;MASC;PL	N
חודשים	月份	חודש	月份	N;MASC;PL	N
שחקן	球員	שחקן	球員	N;MASC;SG	N
שחקן	玩家	שחקן	玩家	N;MASC;SG	N
שחקן	男	שחקן	男	N;MASC;SG	N
שחקן	演員	שחקן	演員	N;MASC;SG	N
משפט	審訊	משפט	審訊	N;MASC;SG	N
משפט	審判	משפט	審判	N;MASC;SG	N
משפט	法庭	משפט	法庭	N;MASC;SG	N
משפט	法院	משפט	法院	N;MASC;SG	N
משפט	句子	משפט	句子	N;MASC;SG	N
משפט	刑期	משפט	刑期	N;MASC;SG	N
חצי	半數	חץ	半數	N;PSSD;MASC;PL	N
סרטים	影片	סרט	影片	N;MASC;PL	N
סרטים	電影	סרט	電影	N;MASC;PL	N
משפחה	家人	משפחה	家人	N;FEM;SG	N
משפחה	家屬	משפחה	家屬	N;FEM;SG	N
משפחה	家庭	משפחה	家庭	N;FEM;SG	N
במקביל	並	במקביל	並	ADV	ADV
מזרח	東	מזרח	東	N;MASC;SG	N
מזרח	東部	מזרח	東部	N;MASC;SG	N
מזרח	東方	מזרח	東方	N;MASC;SG	N
מזרח	東區	מזרח	東區	N;MASC;SG	N
מזרח	東方	מזרח	東方	N;MASC;SG	N
מזרח	東部	מזרח	東部	N;MASC;SG	N
ערים	城鎮	עיר	城鎮	N;FEM;PL	N
ערים	城市	עיר	城市	N;FEM;PL	N
שבע	七七	שבע	七七	NUM;FEM;SG	NUM
שבע	七	שבע	七	NUM;FEM;SG	NUM
שבע	七	שבע	七	NUM;FEM;SG	NUM
שיר	詩	שיר	詩	N;MASC;SG	N
שיר	歌曲	שיר	歌曲	N;MASC;SG	N
שיר	首歌	שיר	首歌	N;MASC;SG	N
שיר	歌	שיר	歌	N;MASC;SG	N
טלוויזיה	電視	טלוויזיה	電視	N;FEM;SG	N
טלוויזיה	電視	טלוויזיה	電視	N;FEM;SG	N
טלוויזיה	電視	טלוויזיה	電視	N;FEM;SG	N
השתתף	出席	השתתף	出席	V;MASC;SG;3;PST	V
אישים	人格	אישים	人格	N;MASC;PL	N
גבוהה	高大	גבוה	高大	ADJ;FEM;SG	ADJ
חברות	友情	חברה	友情	N;FEM;PL	N
חברות	友誼	חברה	友誼	N;FEM;PL	N
חברות	公司	חברה	公司	N;FEM;PL	N
סיים	完成	סיים	完成	V;MASC;SG;3;PST;ACT	V
סיים	完成	סיים	完成	V;MASC;SG;3;PST;ACT	V
סיים	完成	סיים	完成	V;MASC;SG;3;PST;ACT	V
מבצע	手術	מבצע	手術	N;MASC;SG	N
מבצע	行動	מבצע	行動	N;MASC;SG	N
רשת	網	רשת	網	N;FEM;SG	N
רשת	電網	רשת	電網	N;FEM;SG	N
רשת	網路	רשת	網路	N;FEM;SG	N
רשת	網	רשת	網	N;FEM;SG	N
הערכים	價值	הערך	價值	N;MASC;PL	N
הערכים	價值	הערך	價值	N;MASC;PL	N
הערכים	數值	הערך	數值	N;MASC;PL	N
הערכים	值	הערך	值	N;MASC;PL	N
רקע	背景	רקע	背景	N;MASC;SG	N
הגיעו	抵達	הגיע	抵達	V;PL;3;PST;ACT	V
הגיעו	到	הגיע	到	V;PL;3;PST;ACT	V
תיאטרון	電影	תיאטרון	電影	N;MASC;SG	N
תיאטרון	劇場	תיאטרון	劇場	N;MASC;SG	N
תיאטרון	戲劇	תיאטרון	戲劇	N;MASC;SG	N
תיאטרון	劇院	תיאטרון	劇院	N;MASC;SG	N
תיאטרון	戲院	תיאטרון	戲院	N;MASC;SG	N
תיאטרון	劇場	תיאטרון	劇場	N;MASC;SG	N
תיאטרון	戰區	תיאטרון	戰區	N;MASC;SG	N
תיאטרון	戲劇	תיאטרון	戲劇	N;MASC;SG	N
תיאטרון	劇院	תיאטרון	劇院	N;MASC;SG	N
תיאטרון	戲院	תיאטרון	戲院	N;MASC;SG	N
צורך	必要	צורך	必要	N;MASC;SG	N
צורך	必要	צורך	必要	N;MASC;SG	N
צורך	需求	צורך	需求	N;MASC;SG	N
חדשה	新	חדש	新	ADJ;FEM;SG	ADJ
אלבום	相簿	אלבום	相簿	N;MASC;SG	N
