اتھاہ	deep	اتھاہ	deep		
اخبار	gazeta	اخبار	gazeta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخبار	tradycja	اخبار	tradycja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختتام	end	اِختتام	end		
اِختتام	blisko	اِختتام	blisko		
اِختتامی	ostatnie	اِختتامی	ostatni	ADJ	ADJ;NOM;NEUT;SG
اِختتامی	ostatni	اِختتامی	ostatni	ADJ	ADJ;NOM;MASC;SG
اخترشماری	niepokój	اخترشماری	niepokój	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِختراع	innowacyjność	اِختراع	innowacyjność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختراع	innowacja	اِختراع	innowacja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختراع	kłamstwo	اِختراع	kłamstwo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اِختراع	tworzenie	اِختراع	tworzyć	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
اِختراع	utworzenie	اِختراع	utworzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختراع	stworzenie	اِختراع	stworzenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختراعی	innowacyjne	اِختراعی	innowacyjny	ADJ;NOM	ADJ;NOM;NEUT;SG
اِختراعی	innowacyjny	اِختراعی	innowacyjny	ADJ;NOM	ADJ;NOM;MASC;SG
اِختراعی	nowatorskie	اِختراعی	nowatorski	ADJ;NOM	ADJ;NOM;NEUT;SG
اِختصار	skrót	اِختصار	skrót	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِختصار	streszczenie	اِختصار	streszczenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختصار	zestawienie	اِختصار	zestawienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اِختصار	podsumowanie	اِختصار	podsumowanie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختصار	streszczenie	اِختصار	streszczenie	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختصار	zwięzłość	اِختصار	zwięzłość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختصاصی	wyspecjalizowane	اِختصاصی	wyspecjalizować	ADJ;NOM	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
اِختصاصی	specjalistyczne	اِختصاصی	specjalistyczny	ADJ;NOM	ADJ;NOM;NEUT;SG
اِختلاط	mieszanka	اِختلاط	mieszanka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلاط	mieszanina	اِختلاط	mieszanina	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلاط	bliskość	اِختلاط	bliskość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلاط	znajomość	اِختلاط	znajomość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلاط	przyjaźń	اِختلاط	przyjaźń	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلافی	kontrowersyjne	اِختلافی	kontrowersyjny	ADJ;NOM	ADJ;NOM;NEUT;SG
اِختلافی	kwestionowane	اِختلافی	kwestionować	ADJ;NOM	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
اِختلال	niedrożność	اِختلال	niedrożność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلال	przeszkoda	اِختلال	przeszkoda	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختلال	zaburzenie	اِختلال	zaburzyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اِختلال	zamęt	اِختلال	zamęt	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِختلال	zamieszanie	اِختلال	zamieszanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اِختلال	zakłopotanie	اِختلال	zakłopotanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اِختلال	niedobór	اِختلال	niedobór	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِختناق	uduszenie	اِختناق	udusić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختناق	uduszenie	اِختناق	udusić	N;NOM;MASC;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
اِختیار	wybór	اِختیار	wybór	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِختیار	władza	اِختیار	władza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	siła	اِختیار	siła	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	zasilanie	اِختیار	zasilać	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
اِختیار	willa	اِختیار	willa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	właściwość	اِختیار	właściwość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	jurysdykcja	اِختیار	jurysdykcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	sterowanie	اِختیار	sterować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
اِختیار	kontrola	اِختیار	kontrola	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	opcja	اِختیار	opcja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	autorytet	اِختیار	autorytet	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اِختیار	władza	اِختیار	władza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اِختیار	organ	اِختیار	organ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اخذ	wzięcie	اخذ	wziąć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اخذ	przyjmowanie	اخذ	przyjmować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
اخذ	wydobycie	اخذ	wydobyć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اخذ	wzięcie	اخذ	wziąć	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اخذ	przyjmowanie	اخذ	przyjmować	N;NOM;MASC;SG;3	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
اخذ	pochodzenie	اخذ	pochodzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اخراج	wydatek	اخراج	wydatek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اخراجات	koszty	خرچ	koszt	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اخراجات	wydatki	خرچ	wydatek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
اخروٹ	orzech	اخروٹ	orzech	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اخضر	zieleń	اخضر	zieleń		
اخضر	zielony	اخضر	zielony		
اخضر	zielono	اخضر	zielono		
اخضر	zielona	اخضر	zielony		
اخضر	zielone	اخضر	zielony		
اخگر	ember	اخگر	ember		
اخلاف	potomstwa	اخلاف	potomstwo		
اخلاق	etyka	اخلاق	etyka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخلاق	etykieta	اخلاق	etykieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخلاق	uprzejmość	اخلاق	uprzejmość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخلاق	moralność	اخلاق	moralność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخلاق	usposobienie	اخلاق	usposobienie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اخلاق	grzeczność	اخلاق	grzeczność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخلاق	uprzejmość	اخلاق	uprzejmość	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اخیر	end	اخیر	end		
اخیر	finale	اخیر	finał		
اخیر	last	اخیر	last		
اخیر	ostatnia	اخیر	ostatni		
اخیر	end	اخیر	end		
اخیر	finale	اخیر	finał		
ادا	postawa	ادا	postawa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادا	wypłata	ادا	wypłatać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادا	zapłata	ادا	zapłatać	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادا	płatność	ادا	płatność	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادا	styl	ادا	styl	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ادات	alfabet	ادات	alfabet	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ادات	pisma	ادات	pismo	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اُدار	noble	اُدار	nobly		
اِدارہ	instytucja	اِدارہ	instytucja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُداسی	melancholia	اُداسی	melancholia	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُداسی	pustelnik	اُداسی	pustelnik	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُداسی	smutek	اُداسی	smutek	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُداسی	fakir	اُداسی	fakir	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اداکار	aktor	اداکار	aktor	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اداکارہ	aktorka	اداکارہ	aktorka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادائیگی	spełnienie	ادائیگی	spełnić	N;NOM;FEM;SG;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ادائیگی	wypłata	ادائیگی	wypłatać	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ادائیگی	zapłata	ادائیگی	zapłatać	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ادائیگی	płatność	ادائیگی	płatność	N;NOM;FEM;SG;3	N;NOM;FEM;SG
ادب	literatura	ادب	literatura	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادب	etykieta	ادب	etykieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادب	poszanowanie	ادب	poszanowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
ادب	literatura	ادب	literatura	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادب	etykieta	ادب	etykieta	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادب	poszanowanie	ادب	poszanowanie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
ادوات	instrumenty	ادوات	instrument	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ادوات	przyrządy	ادوات	przyrząd	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ادوات	narzędzia	ادوات	narzędzie	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
ادوات	aparaty	ادوات	aparat	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ادویات	prochy	دوای	prochy	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ادویات	narkotyki	دوای	narkotyk	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ادویات	leki	دوای	lek	N;NOM;MASC;PL;3	N;NOM;MASC;PL
ادویات	lekarstwa	دوای	lekarstwo	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
ادویاتی	lecznicze	ادویاتی	leczniczy	ADJ;NOM	ADJ;NOM;NEUT;SG
ادیان	religie	ادیان	religia	N;NOM;MASC;PL;3	N;NOM;FEM;PL
ادیب	autorka	ادیب	autorka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادیب	autorka	ادیب	autorka	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادیب	pisarz	ادیب	pisarz	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُدھار	długi	اُدھار	długi		
اُدھار	credit	اُدھار	credit		
ادھر	lipa	ادھر	lipa		
ادھر	lip	ادھر	lip		
اِدھر	zamknij	اِدھر	zamknąć	V;SG;V.PTCP;ACT	V;PFV;IMP;SG;2;FIN;ACT
ادِھکاری	autorytet	ادِھکاری	autorytet	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ادِھکاری	władza	ادِھکاری	władza	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ادِھکاری	organ	ادِھکاری	organ	N;NOM;MASC;SG;3	N;NOM;MASC;SG
اُدھم	sławy	اُدھم	sława		
اُڈّو	wanderer	اُڈّو	wanderer		
اذکار	zdarzenia	اذکار	zdarzenie	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
اذکار	historie	اذکار	histora	N;NOM;MASC;SG;3	N;NOM;FEM;SG
اُذن	uszy	اُذن	ucho		
اِرادتاً	umyślnie	اِرادتاً	umyślnie	ADV	ADV
اِرادتاً	celowo	اِرادتاً	celowo	ADV	ADV
اِرادتاً	umyślnie	اِرادتاً	umyślnie	ADV	ADV
اِرادتاً	celowo	اِرادتاً	celowo	ADV	ADV
اِرادتاً	celowo	اِرادتاً	celowo	ADV	ADV
اِرادی	zamierzone	اِرادی	zamierzyć	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
اِرادی	celowe	اِرادی	celowy	ADJ	ADJ;NOM;NEUT;SG
اِرادی	uparta	اِرادی	uparty	ADJ	ADJ;NOM;FEM;SG
