organisms	الكائن	organisms	كَائِن	N;NOM;MASC;SG	N;NOM;DEF;SG
nodoklis	الضريبة	nodoklis	ضَرِيبَة	N;NOM;MASC;SG	N;NOM;DEF;SG
nodoklis	ضريبة	nodoklis	ضَرِيبَة	N;NOM;MASC;SG	N;NOM;INDF;SG
dāma	ملكة	dāma	مَلِكَة	N;NOM;FEM;SG	N;NOM;INDF;SG
dāma	الملكة	dāma	مَلِكَة	N;NOM;FEM;SG	N;NOM;DEF;SG
dāma	السيدة	dāma	سَيِّدَة	N;NOM;FEM;SG	N;NOM;DEF;SG
dāma	سيدة	dāma	سَيِّدَة	N;NOM;FEM;SG	N;NOM;INDF;SG
ražotāji	المنتجون	ražotājs	مُنتِج	N;NOM;MASC;PL	N;NOM;DEF;PL
ražotāji	المنتجين	ražotājs	مُنتِج	N;NOM;MASC;PL	N;NOM;DEF;PL
ražotāji	المصنعين	ražotājs	مُصَنِّع	N;NOM;MASC;PL	N;NOM;DEF;PL
solis	خطوة	solis	خَطوَة	N;NOM;MASC;SG	N;NOM;INDF;SG
solis	الخطوة	solis	خَطوَة	N;NOM;MASC;SG	N;NOM;DEF;SG
iedzīvotājs	المقيم	iedzīvotājs	مُقِيم	N;NOM;MASC;SG	N;NOM;DEF;SG
iedzīvotājs	مقيم	iedzīvotājs	مُقَيَّم	N;NOM;MASC;SG	N;NOM;INDF;SG
vakuuma	فراغ	vakuums	فَرَاغ	N;NOM;MASC;SG	N;NOM;INDF;SG
apvienojas	يدمج	apvienoties	أَدمَج	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
laulība	الزواج	laulība	زَوَاج	N;NOM;FEM;SG	N;NOM;DEF;SG
laulība	زواج	laulība	زَوَاج	N;NOM;FEM;SG	N;NOM;INDF;SG
ieviešana	تنفيذ	ieviešana	تَنفِيذ	N;NOM;FEM;SG	N;NOM;INDF;SG
ieviešana	التنفيذ	ieviešana	تَنفِيذ	N;NOM;FEM;SG	N;NOM;DEF;SG
profesore	استاذ	profesore	استاذ	N;NOM;FEM;SG	N;NOM;INDF;SG
profesore	استاذة	profesore	استاذة	N;NOM;FEM;SG	N;NOM;INDF;SG
iecirknis	المقصورة	iecirknis	مَقصُورَة	N;NOM;MASC;SG	N;NOM;DEF;SG
fails	ملف	fails	مِلَفّ	N;NOM;MASC;SG	N;NOM;INDF;SG
fails	الملف	fails	مِلَفّ	N;NOM;MASC;SG	N;NOM;DEF;SG
redakcijas	اصدارات	redakcija	إِصدَار	N;NOM;FEM;PL	N;NOM;INDF;PL
redakcijas	الاصدارات	redakcija	إِصدَار	N;NOM;FEM;PL	N;NOM;DEF;PL
pērkons	الرعد	pērkons	رَعد	N;NOM;MASC;SG	N;NOM;DEF;SG
inspektors	مفتش	inspektors	مفتش	N;NOM;MASC;SG	N;NOM;INDF;SG
inspektors	المفتش	inspektors	مُفَتِّش	N;NOM;MASC;SG	N;NOM;DEF;SG
dejotāja	راقصة	dejotājs	رَاقِص	N;NOM;MASC;SG	N;NOM;INDF;SG
dejotāja	راقص	dejotājs	رَاقِص	N;NOM;MASC;SG	N;NOM;INDF;SG
tuksnesis	صحراء	tuksnesis	صَحرَاء	N;NOM;MASC;SG	N;NOM;INDF;SG
tuksnesis	الصحراء	tuksnesis	صَحرَاء	N;NOM;MASC;SG	N;NOM;DEF;SG
teritoriālais	اقليمي	teritoriāls	إِقلِيمِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
pasaka	يحكي	pasacīt	حَكَى	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
pasaka	يروي	pasacīt	رَأَى	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
dziļš	عميق	dziļš	عَمِيق	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
dziļš	عميقة	dziļš	عَمِيق	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
piesaista	يجذب	piesaistīt	جَذَب	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
dārziņš	حديقة	dārziņš	حَدِيقَة	N;NOM;MASC;SG	N;NOM;INDF;SG
dārziņš	الحديقة	dārziņš	حَدِيقَة	N;NOM;MASC;SG	N;NOM;DEF;SG
izpildītāji	للفنانين	izpildītājs	لِ	N;NOM;MASC;PL	N;NOM;DEF;PL
izpildītāji	الفنانين	izpildītājs	فَنَّان	N;NOM;MASC;PL	N;NOM;DEF;PL
sausā	جافة	sausa	جَافّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
izzūd	يختفي	izzust	اِختَفَى	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
sekcija	القسم	sekcija	قِسم	N;NOM;FEM;SG	N;NOM;DEF;SG
sekcija	قسم	sekcija	قِسم	N;NOM;FEM;SG	N;NOM;INDF;SG
sekcija	الفرع	sekcija	فَرع	N;NOM;FEM;SG	N;NOM;DEF;SG
sekcija	خليج	sekcija	خَلِيج	N;NOM;FEM;SG	N;NOM;INDF;SG
sekcija	الخليج	sekcija	خَلِيج	N;NOM;FEM;SG	N;NOM;DEF;SG
digitālā	رقمية	digitāls	رَقَمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
digitālā	رقمي	digitāls	رَقَمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
eļļa	النفط	eļļa	نَفط	N;NOM;FEM;SG	N;NOM;DEF;SG
eļļa	الزيت	eļļa	الزيت	N;NOM;FEM;SG	N;NOM;DEF;SG
eļļa	زيت	eļļa	زيت	N;NOM;FEM;SG	N;NOM;INDF;SG
eļļa	نفط	eļļa	نَفط	N;NOM;FEM;SG	N;NOM;INDF;SG
definīcija	التعريف	definīcija	تَعرِيف	N;NOM;FEM;SG	N;NOM;DEF;SG
definīcija	تعريف	definīcija	تَعرِيف	N;NOM;FEM;SG	N;NOM;INDF;SG
labāks	افضل	labs	أَفضَل	ADJ;NOM;CMPR;MASC;SG	ADJ;NOM;INDF;MASC;SG
dzīvsudraba	الزئبق	dzīvsudrabs	زَئبَق	N;NOM;FEM;SG	N;NOM;DEF;SG
mākslīgais	اصطناعية	mākslīgs	اِصطِنَاعِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
mākslīgais	اصطناعي	mākslīgs	اِصطِنَاعِيّ	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
paplašināta	مددت	paplašināt	مَدَّد	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
paplašināta	اتسع	paplašināt	اِتَّسَع	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
paplašināta	اتسعت	paplašināt	اِتَّسَع	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
izplatīšanās	الانتشار	izplatīšanās	اِنتِشَار	N;NOM;FEM;SG	N;NOM;DEF;SG
izplatīšanās	توزيع	izplatīšanās	تَوزِيع	N;NOM;FEM;SG	N;NOM;INDF;SG
izplatīšanās	التوزيع	izplatīšanās	تَوزِيع	N;NOM;FEM;SG	N;NOM;DEF;SG
izplatīšanās	انتشار	izplatīšanās	اِنتِشَار	N;NOM;FEM;SG	N;NOM;INDF;SG
izplatīšanās	انتشار	izplatīšanās	اِنتِشَار	N;NOM;FEM;SG	N;NOM;INDF;SG
atveres	فتحات	atvērties	فَتحَة	N;NOM;FEM;PL	N;NOM;INDF;PL
atveres	الفتحات	atvērties	فَتحَة	N;NOM;FEM;PL	N;NOM;DEF;PL
amerikāņi	الاميركيين	amerikānis	أَمِيرِكِيّ	N;NOM;MASC;PL	N;NOM;DEF;PL
amerikāņi	امريكيون	amerikānis	أَمرِيكِيّ	N;NOM;MASC;PL	N;NOM;INDF;PL
tīra	نقية	tīra	نَقِيَّة	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
tīra	نظيفة	tīra	نَظِيف	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
nieres	الكلى	niere	كُليَة	N;NOM;FEM;PL	N;NOM;DEF;PL
nieres	الكلى	niere	كُليَة	N;NOM;FEM;PL	N;NOM;DEF;PL
patērē	يستهلك	patērēt	اِستَهلَك	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
patērē	يستهلك	patērēt	اِستَهلَك	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
reklāma	الدعاية	reklāma	دِعَايَة	N;NOM;FEM;SG	N;NOM;DEF;SG
reklāma	الدعاية	reklāma	دِعَايَة	N;NOM;FEM;SG	N;NOM;DEF;SG
reklāma	الاعلان	reklāma	إِعلَان	N;NOM;FEM;SG	N;NOM;DEF;SG
reklāma	اعلان	reklāma	إِعلَان	N;NOM;FEM;SG	N;NOM;INDF;SG
munīcijas	الذخائر	munīcija	ذَخِيرَة	N;NOM;FEM;PL	N;NOM;DEF;PL
mūris	حائط	mūris	حَائِط	N;NOM;MASC;SG	N;NOM;INDF;SG
mūris	الحائط	mūris	حَائِط	N;NOM;MASC;SG	N;NOM;DEF;SG
mūris	الجدار	mūris	جِدَار	N;NOM;MASC;SG	N;NOM;DEF;SG
mūris	جدار	mūris	جِدَار	N;NOM;MASC;SG	N;NOM;INDF;SG
apzīmējumi	المصطلحات	apzīmējums	مُصطَلَح	N;NOM;MASC;PL	N;NOM;DEF;PL
apzīmējumi	الشروط	apzīmējums	شَرط	N;NOM;MASC;PL	N;NOM;DEF;PL
apzīmējumi	شروط	apzīmējums	شَرط	N;NOM;MASC;PL	N;NOM;INDF;PL
turēt	احتفظ	turēt	اِحتَفَظ	V;POS;NFIN	V;PFV;MASC;SG;3;ACT
laivas	المراكب	laiva	مَركَب	N;NOM;FEM;PL	N;NOM;DEF;PL
laivas	القوارب	laiva	قَارِبَة	N;NOM;FEM;PL	N;NOM;DEF;PL
laivas	قوارب	laiva	قَارِب	N;NOM;FEM;PL	N;NOM;INDF;PL
eksperimenti	التجارب	eksperiments	تَجرِبَة	N;NOM;MASC;PL	N;NOM;DEF;PL
eksperimenti	تجارب	eksperiments	تَجرِبَة	N;NOM;MASC;PL	N;NOM;INDF;PL
atpūta	الترفيه	atpūst	تَرفِيه	N;NOM;FEM;SG	N;NOM;DEF;SG
atpūta	الراحة	atpūst	رَاحَة	N;NOM;FEM;SG	N;NOM;DEF;SG
atpūta	راحة	atpūst	رَاحَة	N;NOM;FEM;SG	N;NOM;INDF;SG
atpūta	استراحة	atpūst	اِستِرَاحَة	N;NOM;FEM;SG	N;NOM;INDF;SG
gods	الشرف	gods	شَرَف	N;NOM;MASC;SG	N;NOM;DEF;SG
piramīdas	الاهرامات	piramīda	إِهرَام	N;NOM;FEM;PL	N;NOM;DEF;PL
publikācija	النشر	publikācija	نَشر	N;NOM;FEM;SG	N;NOM;DEF;SG
publikācija	نشر	publikācija	نَشر	N;NOM;FEM;SG	N;NOM;INDF;SG
publikācija	النشر	publikācija	نَشر	N;NOM;FEM;SG	N;NOM;DEF;SG
risinājumi	الحلول	risinājums	حَلّ	N;NOM;MASC;PL	N;NOM;DEF;PL
tīrs	نقية	tīrs	نَقِيَّة	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
tīrs	نظيفة	tīrs	نَظِيف	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
konflikti	النزاعات	konflikts	نِزَاع	N;NOM;MASC;PL	N;NOM;DEF;PL
konflikti	المنازعات	konflikts	مُنَازَعَة	N;NOM;MASC;PL	N;NOM;DEF;PL
konflikti	الصراعات	konflikts	صِرَاع	N;NOM;MASC;PL	N;NOM;DEF;PL
konflikti	صراعات	konflikts	صِرَاعَة	N;NOM;MASC;PL	N;NOM;INDF;PL
konflikti	الصراعات	konflikts	صِرَاع	N;NOM;MASC;PL	N;NOM;DEF;PL
mijiedarbība	تفاعل	mijiedarbība	تَفَاعُل	N;NOM;FEM;SG	N;NOM;INDF;SG
mijiedarbība	التفاعل	mijiedarbība	تَفَاعُل	N;NOM;FEM;SG	N;NOM;DEF;SG
maisījums	المزيج	maisījums	مَزِيج	N;NOM;MASC;SG	N;NOM;DEF;SG
maisījums	مزيج	maisījums	مَزِيج	N;NOM;MASC;SG	N;NOM;INDF;SG
maisījums	الخليط	maisījums	خَلِيط	N;NOM;MASC;SG	N;NOM;DEF;SG
maisījums	خليط	maisījums	خليط	N;NOM;MASC;SG	N;NOM;INDF;SG
maisījums	مزج	maisījums	مَزج	N;NOM;MASC;SG	N;NOM;INDF;SG
maisījums	خلطة	maisījums	خَلطَة	N;NOM;MASC;SG	N;NOM;INDF;SG
maisījums	مزيج	maisījums	مَزِيج	N;NOM;MASC;SG	N;NOM;INDF;SG
dalīšanās	مشاركة	dalīšanās	مُشَارَكَة	N;NOM;FEM;SG	N;NOM;INDF;SG
dalīšanās	المشاركة	dalīšanās	مُشَارَكَة	N;NOM;FEM;SG	N;NOM;DEF;SG
dalīšanās	تقاسم	dalīšanās	تَقَاسُم	N;NOM;FEM;SG	N;NOM;INDF;SG
dalīšanās	التشارك	dalīšanās	تَشَارُك	N;NOM;FEM;SG	N;NOM;DEF;SG
automašīna	السيارة	automašīna	سَيَّارَة	N;NOM;FEM;SG	N;NOM;DEF;SG
automašīna	سيارة	automašīna	سَيَّارَة	N;NOM;FEM;SG	N;NOM;INDF;SG
pievienojies	انضم	pievienoties	اِنضَمّ	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
lēna	بطيئة	lēna	بَطِيء	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
aizstāvji	المدافعين	aizstāvis	مُدَافِع	N;NOM;MASC;PL	N;NOM;DEF;PL
aizstāvji	المدافعون	aizstāvis	مُدَافِع	N;NOM;MASC;PL	N;NOM;DEF;PL
jaunieši	الشباب	jaunietis	شَبّ	N;NOM;MASC;PL	N;NOM;DEF;PL
milzīgs	ضخم	milzīgs	ضَخم	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG
milzīgs	ضخمة	milzīgs	ضَخم	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
adatas	الابر	adata	أَبر	N;NOM;FEM;PL	N;NOM;DEF;PL
tūre	جولة	tūre	جَولَة	N;NOM;FEM;SG	N;NOM;INDF;SG
tūre	الجولة	tūre	جَولَة	N;NOM;FEM;SG	N;NOM;DEF;SG
intensitāte	الشدة	intensitāte	شِدَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
intensitāte	شدة	intensitāte	شِدَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
intensitāte	كثافة	intensitāte	كَثَافَة	N;NOM;FEM;SG	N;NOM;INDF;SG
intensitāte	الكثافة	intensitāte	كَثَّافَة	N;NOM;FEM;SG	N;NOM;DEF;SG
tulkojumi	الترجمات	tulkojums	الترجمات	N;NOM;MASC;PL	N;NOM;DEF;PL
tulkojumi	ترجمات	tulkojums	تَرَجُّم	N;NOM;MASC;PL	N;NOM;INDF;PL
sajūta	شعور	sajūta	شُعُور	N;NOM;FEM;SG	N;NOM;INDF;SG
sajūta	الاحساس	sajūta	إِحسَاس	N;NOM;FEM;SG	N;NOM;DEF;SG
sajūta	الشعور	sajūta	شُعُور	N;NOM;FEM;SG	N;NOM;DEF;SG
sajūta	احساس	sajūta	إِحسَاس	N;NOM;FEM;SG	N;NOM;INDF;SG
unikāls	فريدة	unikāls	فَرِيد	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
domāja	اعتقدت	domāt	اِعتَقَد	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
domāja	فكرت	domāt	فكرت	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
pretinieki	المعارضون	pretinieks	مُعَارِض	N;NOM;MASC;PL	N;NOM;DEF;PL
pretinieki	الخصوم	pretinieks	خُصُوم	N;NOM;MASC;PL	N;NOM;DEF;PL
pretinieki	المعارضين	pretinieks	مُعَارِض	N;NOM;MASC;PL	N;NOM;DEF;PL
pretinieki	الاعداء	pretinieks	عَدُوّ	N;NOM;MASC;PL	N;NOM;DEF;PL
vienkāršā	بسيط	vienkārša	بَسِيط	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
vienkāršā	بسيطة	vienkārša	بَسِيط	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
vienkāršā	ابتدائية	vienkārša	اِبتِدَائِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
vienkāršā	الابتدائية	vienkārša	اِبتِدَائِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
cieš	تعاني	ciest	عَانَى	V;FH;IND;3;POS;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
sitiens	طلقة	sitiens	طَلَقَة	N;NOM;MASC;SG	N;NOM;INDF;SG
zemāks	اقل	zems	أَقَلّ	ADJ;NOM;CMPR;MASC;SG	ADJ;NOM;INDF;MASC;SG
haizivs	قرش	haizivs	قِرش	N;NOM;FEM;SG	N;NOM;INDF;SG
haizivs	القرش	haizivs	قَرش	N;NOM;FEM;SG	N;NOM;DEF;SG
apmatojums	الشعر	apmatojums	شَعر	N;NOM;MASC;SG	N;NOM;DEF;SG
sadalīšanās	التحلل	sadalīšanās	تَحَلُّل	N;NOM;FEM;SG	N;NOM;DEF;SG
sadalīšanās	تحلل	sadalīšanās	حَلَّل	N;NOM;FEM;SG	N;NOM;INDF;SG
cola	الكولا	cola	الكولا	N;NOM;FEM;SG	N;NOM;DEF;SG
stadija	المنصة	stadija	مِنَصَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
stadija	المسرح	stadija	مَسرَح	N;NOM;FEM;SG	N;NOM;DEF;SG
stadija	المرحلة	stadija	مَرحَلَة	N;NOM;FEM;SG	N;NOM;DEF;SG
stadija	مرحلة	stadija	مَرحَلَة	N;NOM;FEM;SG	N;NOM;INDF;SG
