категория	kategori	категория	kategori	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
започва	börjar	започвам-(се)	börja	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
започва	startar	започвам-(се)	starta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
започва	börjar	започвам-(се)	börja	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
над	över	над	över	ADP	ADP
него	honom	аз	han	PRO;ACC;MASC;SG;3	PRO;ACC;DEF;MASC+FEM;SG
срещу	mot	срещу	mot	ADP	ADP
мини	gruvor	мина	gruva	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
намира	finner	намирам-(се)	finna	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
намира	hittar	намирам-(се)	hitta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
република	republik	република	republik	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
късно	sen	късно	sen	ADV	ADV
късно	sent	късно	sen	ADV	ADV
път	färdväg	път	färdväg	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
път	väg	път	väg	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
път	rutt	път	rutt	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
път	landsväg	път	landsväg	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
път	road	път	road	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
път	väg	път	väg	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
отбор	lag	отбор	lag	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
отбор	team	отбор	team	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
няколко	flera	няколко	flera	PRO;INDF	PRO;INDF;PL
август	august	август	august	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
август	augusti	август	augusti	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
август	aug	август	aug	N;INDF;MASC;SG	N
беседа	konversation	бесед	konversation	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
беседа	samtal	бесед	samtal	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
беседа	diskurs	бесед	diskurs	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
септември	september	септември	september	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
преди	före	преди	före	ADP	ADP
група	band	група	band	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
група	musikgrupp	група	musikgrupp	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
група	grupp	група	grupp	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
език	språk	език	språk	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
юли	juli	юли	juli	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
някои	vissa	някой	vissa	PRO;NOM;PL	PRO;INDF;PL
някои	somliga	някой	somlig	PRO;NOM;PL	PRO;INDF;PL
тях	dem	аз	de	PRO;ACC;PL;3	PRO;ACC;DEF;PL
река	river	река	riva	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
река	flod	река	flod	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
януари	januari	януари	januari	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
юни	juni	юни	juni	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
юни	june	юни	jun	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
две	två	два	två	NUM;INDF;FEM;PL	NUM;NOM
октомври	oktober	октомври	oktober	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
октомври	okt	октомври	okt	N;INDF;MASC;SG	N
име	namn	име	namn	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
име	name	име	name	N;INDF;NEUT;SG	N;NOM;INDF;NEUT;SG
заедно	tillsammans	заедно	tillsammans	ADV	ADV
фон	bakgrund	фон	bakgrund	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
американски	amerikanskt	американски	amerikansk	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
американски	amerikansk	американски	amerikansk	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
март	marsch	март	marsch	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
март	march	март	march	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
март	demonstrationståg	март	demonstrationståg	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
март	mars	март	mars	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ноември	november	ноември	november	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ноември	nov	ноември	nov	N;INDF;MASC;SG	N
април	apr	април	apr	N;INDF;MASC;SG	N
април	april	април	april	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
декември	december	декември	december	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
декември	dec	декември	de	N;INDF;MASC;SG	N
чрез	igenom	чрез	igenom	ADP	ADP
чрез	genom	чрез	genom	ADP	ADP
история	berättelse	история	berättelse	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
история	händelse	история	händelse	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
история	story	история	story	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
история	historia	история	historia	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
история	historia	история	historia	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
история	historik	история	historik	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
жители	invånare	жител	invånare	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
жители	innevånare	жител	innevånare	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
жители	invånare	жител	invånare	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
различни	avvikande	различен	avvikande	ADJ;INDF;PL	ADJ;NOM;PRS;V.PTCP
различни	olika	различен	olik	ADJ;INDF;PL	ADJ;NOM;PL
различни	olika	различен	olik	ADJ;INDF;PL	ADJ;NOM;PL
без	utan	без	utan	ADP	ADP
често	ofta	често	ofta	ADV	ADV
получава	mottar	получавам	motta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
получава	erhåller	получавам	erhålla	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
получава	uppbär	получавам	uppbära	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
февруари	februari	февруари	februari	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
февруари	feb	февруари	feb	N;INDF;MASC;SG	N
работи	arbeta	работя	arbeta	V;IPFV;IMP;SG;2;FIN	V;IMP;FIN;ACT
работи	jobba	работя	jobba	V;IPFV;IMP;SG;2;FIN	V;IMP;FIN;ACT
провинция	provins	провинция	provins	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
провинция	län	провинция	län	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
империя	imperium	империя	imperium	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
империя	rike	империя	rike	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
империя	empire	империя	empire	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
център	centrum	център	centrum	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
център	center	център	cent	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
център	centrum	център	centrum	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
център	centre	център	cena	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
вече	redan	вече	redan	ADV	ADV
сред	bland	сред	bland	ADP	ADP
три	tre	три	tre	NUM;INDF;PL	NUM;NOM
страна	land	страна	land	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
страна	sido	страна	sido	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
въпреки	trots	въпреки	trots	ADP	ADP
градове	städer	град	stad	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
градове	städer	град	stad	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
градове	orter	град	ort	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
население	demografi	население	demografi	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
население	befolkning	население	befolkning	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
население	folkmängd	население	folkmängd	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
население	population	население	population	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
завършва	slutar	завършвам	sluta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
малко	litet	малко	litet	ADV;INDF;PL	ADV
университет	university	университет	university	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
университет	universitet	университет	universitet	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
университет	högskola	университет	högskola	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
син	blue	син	blue	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
син	blått	син	blå	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
син	son	син	son	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
награда	belöning	награда	belöning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
награда	pris	награда	pris	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
награда	utmärkelse	награда	utmärkelse	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
награда	tilldelning	награда	tilldelning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
голяма	stor	голям	stor	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
голяма	stort	голям	stor	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
голяма	stor	голям	stor	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
голяма	stort	голям	stor	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
сайт	webbsida	сайт	webbsida	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
сайт	hemsida	сайт	hemsida	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
сайт	webbplats	сайт	pebbplats	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
сайт	site	сайт	site	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
сайт	webbplats	сайт	pebbplats	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
участва	deltar	участвам	delta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
световна	världsomfattande	световен	världsomfattande	ADJ;INDF;FEM;SG	ADJ;NOM;PRS;V.PTCP
световна	världsomspännande	световен	världsomspännande	ADJ;INDF;FEM;SG	ADJ;NOM;PRS;V.PTCP
уикипедия	wikipedia	уикипедия	pikipedi	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
използва	använder	използвам	använda	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
сезон	årstid	сезон	årstid	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
сезон	säsong	сезон	säsong	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
окръг	county	окръг	county	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
окръг	län	окръг	län	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
окръг	distrikt	окръг	distrikt	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
днес	idag	днес	idag	ADV	ADV
смъртта	döden	смърт	död	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
национален	nationellt	национален	nationell	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
национален	nationell	национален	nationell	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
вижте	see	видя-(се)	see	V;PFV;IMP;PL;2;FIN	V;IMP;FIN;ACT
вижте	se	видя-(се)	se	V;PFV;IMP;PL;2;FIN	V;IMP;FIN;ACT
едно	en	един	en	NUM;INDF;NEUT;SG	NUM;NOM;INDF;MASC+FEM;SG
едно	ett	един	en	NUM;INDF;NEUT;SG	NUM;NOM;INDF;NEUT;SG
първи	första	първи	en	ADJ;INDF;MASC;SG	ADJ;NOM
отново	igen	отново	igen	ADV	ADV
отново	återigen	отново	återigen	ADV	ADV
член	medlem	член	medlem	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
член	ledamot	член	ledamot	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
член	artikel	член	artikel	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
височина	förhöjning	височина	förhöjning	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
височина	längd	височина	längd	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
дъщеря	dotter	дъщеря	dott	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
там	där	там	där	ADV	ADV
система	system	система	system	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
нея	hennes	аз	hon	PRO;ACC;FEM;SG;3	PRO;DEF
нея	henne	аз	hon	PRO;ACC;FEM;SG;3	PRO;ACC;DEF;MASC+FEM;SG
училище	skola	училище	skola	N;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
света	world	свят	world	N;DEF;MASC;SG	N;NOM;NEUT;SG
света	världen	свят	värld	N;DEF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
села	byar	село	byar	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
филми	filmer	филм	filma	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
филми	filmer	филм	filma	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
умира	avlider	умирам	avlida	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
южна	sydlig	южен	sydlig	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
части	delar	част	del	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
баща	far	баща	far	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
баща	fader	баща	far	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
баща	pappa	баща	pappa	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
нова	ny	нов	ny	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
нова	nytt	нов	ny	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;NEUT;SG
крал	king	крал	king	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
крал	kung	крал	kung	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
крал	konung	крал	konung	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
армия	arméns	армия	arm	N;INDF;FEM;SG	N;GEN;INDF;MASC+FEM;SG
армия	arme	армия	arm	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
армия	army	армия	army	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
армия	armé	армия	arm	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
църква	kyrka	църква	kyrka	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
докато	medan	докато	medan	CONJ	CONJ
официален	officiell	официален	officiell	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
официален	officiellt	официален	officiell	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
официален	formell	официален	formell	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
официален	formellt	официален	formell	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
северна	nordlig	северен	nordlig	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
времето	vädret	време	vädre	N;DEF;NEUT;SG	N;NOM;DEF;NEUT;SG
времето	dags	време	dags	N;DEF;NEUT;SG	N;MASC+FEM
времето	tiden	време	tid	N;DEF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
освен	utom	освен	utom	ADP	ADP
освен	förutom	освен	förutom	ADP	ADP
места	platser	място	plats	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
места	ställen	място	ställe	N;INDF;NEUT;PL	N;NOM;INDF;NEUT;PL
места	sittplatser	място	sittplats	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
места	platser	място	plats	N;INDF;NEUT;PL	N;NOM;INDF;MASC+FEM;PL
места	säten	място	sät	N;INDF;NEUT;PL	N;NOM;INDF;NEUT;PL
начин	sätt	начин	sätt	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
начин	way	начин	way	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
период	period	период	period	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
период	tidsperiod	период	tidsperiod	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
резултат	utfall	резултат	utfall	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
резултат	score	резултат	score	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
резултат	poäng	резултат	poäng	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
резултат	resultat	резултат	resultat	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
футболисти	fotbollsspelare	футболист	fotbollsspelare	N;INDF;MASC;PL	N;NOM;INDF;MASC+FEM;PL
данни	data	данна	data	N;INDF;FEM;PL	N;NOM;INDF;NEUT;PL
данни	uppgifter	данна	uppgift	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
страница	sida	страница	sida	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
картинка	bild	картинка	bild	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
картинка	avbild	картинка	avbild	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
картинка	image	картинка	image	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
картинка	bild	картинка	bild	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
граф	graf	граф	graf	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
играе	spelar	играя	spela	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
играе	leker	играя	leka	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
играе	spelar	играя	spela	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
живот	life	живот	life	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
живот	livstid	живот	livstid	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
живот	liv	живот	liv	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
тук	här	там	här	ADV	ADV
император	kejsare	император	kejsare	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
църквата	kyrkan	църква	kyrka	N;DEF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
ден	dag	ден	dag	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
ден	day	ден	day	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
жени	kvinnor	жена	kvinna	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
руски	ryskt	руски	rysk	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
руски	rysk	руски	rysk	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
известен	känd	известен	känd	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
известен	känt	известен	känd	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
известен	berömt	известен	beröma	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
известен	berömd	известен	berömd	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
известен	känd	известен	känd	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
добре	gott	добре	god	ADV	ADV
добре	bra	добре	bra	ADV	ADV
води	leda	водя	leda	V;IPFV;IMP;SG;2;FIN	V;IMP;FIN;ACT
тогава	sedan	тогава	sedan	ADV	ADV
тогава	sen	тогава	sen	ADV	ADV
тогава	då	тогава	då	ADV	ADV
голям	stor	голям	stor	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
голям	stort	голям	stor	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
голям	stor	голям	stor	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
голям	stort	голям	stor	ADJ;INDF;MASC;SG	ADJ;NOM;INDF;NEUT;SG
род	släkte	род	släkte	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
род	stång	род	stång	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
род	rod	род	rod	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
род	spö	род	spö	N;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
филм	film	филм	film	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
филм	film	филм	film	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
шаблон	mall	шаблон	mall	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
почти	nästan	почти	nästan	ADV	ADV
печели	vinner	печеля	vinna	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
страни	fester	страна	fest	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
страни	parter	страна	part	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;PL
страни	partier	страна	parti	N;INDF;FEM;PL	N;NOM;INDF;NEUT;PL
страни	länder	страна	land	N;INDF;FEM;PL	N;NOM;INDF;NEUT;PL
площ	area	площ	are	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
площ	område	площ	område	N;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
площ	yta	площ	yta	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
