die	de	die	de	DET;DEF	DET;DEF
nasionale	nationaal	nasionaal	nationaal	ADJ;NOM	ADJ
nasionale	nationale	nasionaal	nationaal	ADJ;NOM	ADJ
maak	maken	maak	maken	V;PRS	V;NFIN
maak	maak	maak	maken	V;PRS	V;SG;PRS;FIN
kom	kom	kom	komen	V;PRS	V;SG;PRS;FIN
vanaf	van	vanaf	van	ADP	ADP
vanaf	uit	vanaf	uit	ADP	ADP
vanaf	vanaf	vanaf	vanaf	ADP	ADP
saam	samen	saam	samen	ADV	ADV
terwyl	terwijl	terwyl	terwijl	CONJ	CONJ
veral	vooral	veral	vooral	ADV	ADV
moet	moeten	moet	moeten	V;PRS	V;PL;PRS;FIN
moet	moet	moet	moeten	V;PRS	V;SG;PRS;FIN
werk	werken	werk	werken	V;PRS	V;NFIN
hier	hier	hier	hier	ADV	ADV
tyd	tijd	tyd	tijd	N;SG	N;MASC+FEM;SG
geword	werden	word	worden	V;PST;FIN	V;PL;PST;FIN
geword	werd	word	worden	V;PST;FIN	V;SG;PST;FIN
vlag	vlag	vlag	vlag	N;SG	N;MASC+FEM;SG
verskeie	diverse	verskeie	divers	ADJ;NOM	ADJ
verskeie	verschillende	verskeie	verschillend	ADJ;NOM	ADJ
verskeie	diverse	verskeie	divers	ADJ;NOM	ADJ
verskeie	divers	verskeie	diver	ADJ;NOM	ADJ
staan	staande	staan	staan	V;PRS	V;V.PTCP
staan	staand	staan	staand	V;PRS	V;V.PTCP
genoem	vermeld	noem	vermelden	V;PST;V.PTCP	V;V.PTCP
genoem	genoemd	noem	noemen	V;PST;V.PTCP	V;V.PTCP
genoem	vermeldde	noem	vermelden	V;PST;V.PTCP	V;SG;PST;FIN
dan	dan	dan	dan	ADV	ADV
dan	daarna	dan	daarna	ADV	ADV
bevolking	bevolking	bevolking	bevolking	N;SG	N;MASC+FEM;SG
bevolking	populatie	bevolking	populatie	N;SG	N;MASC+FEM;SG
gemaak	gemaakt	maak	maken	V;PST;V.PTCP	V;V.PTCP
gebou	bouwen	bou	bouwen	V;PST;V.PTCP	V;NFIN
jare	jaren	jaar	jaar	N;PL	N;PL
amerikaanse	amerikaans	amerikaans	amerikaans	ADJ;NOM	ADJ
amerikaanse	amerikaanse	amerikaans	amerikaans	ADJ;NOM	ADJ
slegs	alleen	slegs	alleen	ADV	ADV
slegs	slechts	slegs	slechts	ADV	ADV
gestig	gegrond	stig	gronden	V;PST;V.PTCP	V;V.PTCP
gestig	opgericht	stig	oprichten	V;PST;V.PTCP	V;V.PTCP
gestig	gesticht	stig	stichten	V;PST;V.PTCP	V;V.PTCP
sedert	sinds	sedert	sinds	ADP	ADP
sedert	sedert	sedert	sedert	ADP	ADP
reeds	al	reeds	al	ADV	ADV
reeds	reeds	reeds	reeds	ADV	ADV
alle	alle	al	al	DET	DET
nou	nu	nou	nu	ADV	ADV
gebore	geboren	gebore	geboren	V;PRS	V;V.PTCP
provinsie	provincie	provinsie	provincie	N;SG	N;MASC+FEM;SG
provinsie	county	provinsie	county	N;SG	N;MASC+FEM;SG
provinsie	graafschap	provinsie	graafschap	N;SG	N;NEUT;SG
provinsie	state	provinsie	state	N;SG	N;MASC+FEM;SG
universiteit	universiteit	universiteit	universiteit	N;SG	N;MASC+FEM;SG
beskou	overwegen	beskou	overwegen	V;PRS	V;NFIN
beskou	overweeg	beskou	overweeg	V;PRS	V;SG;PRS;FIN
lewe	leven	lewe	leven	N;SG	N;NEUT;SG
vier	vieren	vier	vieren	V;PRS	V;NFIN
vier	vieren	vier	vieren	V;PRS	V;NFIN
franse	franse	frans	frans	ADJ;NOM	ADJ
dood	dead	dood	dead	N;SG	N;MASC+FEM;SG
amptelike	officiële	amptelik	officeel	ADJ;NOM	ADJ
amptelike	officieel	amptelik	officieel	ADJ;NOM	ADJ
dieselfde	hetzelfde	dieselfde	hetzelfde	ADJ;NOM	ADJ
dieselfde	zelfde	dieselfde	zelfde	ADJ;NOM	ADJ
wêreld	wereld	wêreld	wereld	N;SG	N;MASC+FEM;SG
aantal	hoeveelheid	aantal	hoeveelheid	N;SG	N;MASC+FEM;SG
aantal	kwantiteit	aantal	kwantiteit	N;SG	N;MASC+FEM;SG
plaaslike	lokale	plaaslik	lokaal	ADJ;NOM	ADJ
plaaslike	plaatselijk	plaaslik	plaatselijk	ADJ;NOM	ADJ
plaaslike	lokaal	plaaslik	lokaal	ADJ;NOM	ADJ
dikwels	dikwijls	dikwels	dikwijls	ADV	ADV
internasionale	internationaal	internasionaal	internationaal	ADJ;NOM	ADJ
eie	eigen	eie	eigen	ADJ;NOM	ADJ
voëls	vogels	voël	vogel	N;PL	N;PL
steeds	nog	steeds	nog	ADV	ADV
groep	groep	groep	groep	N;SG	N;MASC+FEM;SG
groep	fractie	groep	fractie	N;SG	N;MASC+FEM;SG
stel	instellen	stel	instellen	V;PRS	V;NFIN
stel	ingesteld	stel	instellen	V;PRS	V;V.PTCP
sluit	afsluiten	sluit	afsluiten	V;PRS	V;NFIN
sluit	stoppen	sluit	stoppen	V;PRS	V;NFIN
sluit	afsluiten	sluit	afsluiten	V;PRS	V;NFIN
sluit	sluiten	sluit	sluiten	V;PRS	V;NFIN
sluit	sluit	sluit	sluiten	V;PRS	V;SG;PRS;FIN
hoofstad	kapitaal	hoofstad	kapitaal	N;SG	N;NEUT;SG
hoofstad	hoofdstad	hoofstad	hoofdstad	N;SG	N;MASC+FEM;SG
hoofstad	hoofdletter	hoofstad	hoofdletter	N;SG	N;MASC+FEM;SG
verwys	aangehaald	verwys	aanhalen	V;PRS	V;V.PTCP
verwys	aangehaalde	verwys	aanhalen	V;PRS	V;V.PTCP
verwys	geciteerde	verwys	citeren	V;PRS	V;V.PTCP
verwys	geciteerd	verwys	citeren	V;PRS	V;V.PTCP
verwys	verwijst	verwys	verwijzen	V;PRS	V;SG;PRS;FIN
verwys	verwijs	verwys	verwijs	V;PRS	V;SG;PRS;FIN
verwys	verwijzen	verwys	verwijzen	V;PRS	V;NFIN
state	staten	staat	state	N;PL	N;PL
water	water	water	water	N;SG	N;NEUT;SG
water	spatel	water	spatel	N;SG	N;NEUT;SG
einde	finish	einde	finish	N;SG	N;MASC+FEM;SG
einde	afwerking	einde	afwerking	N;SG	N;MASC+FEM;SG
einde	einde	einde	einde	N;SG	N;NEUT;SG
einde	eind	einde	eind	N;SG	N;NEUT;SG
regering	regering	regering	regering	N;SG	N;MASC+FEM;SG
regering	overheid	regering	overheid	N;SG	N;MASC+FEM;SG
elke	elk	elk	elk	PRO	PRO
elke	ieder	elk	ieder	PRO	PRO
dae	dagen	dag	dag	N;PL	N;PL
oorlog	oorlog	oorlog	oorlog	N;SG	N;MASC+FEM;SG
politieke	politieke	politiek	politiek	ADJ;NOM	ADJ
besluit	besloten	besluit	besluiten	V;PRS	V;V.PTCP
besluit	beslis	besluit	beslis	V;PRS	V;SG;PRS;FIN
besluit	beslissen	besluit	beslissen	V;PRS	V;NFIN
geskiedenis	geschiedenis	geskiedenis	geschiedenis	N;SG	N;MASC+FEM;SG
wetenskaplike	wetenschappelijk	wetenskaplik	wetenschappelijk	ADJ;NOM	ADJ
ontwikkel	ontwikkeld	ontwikkel	ontwikkelen	V;PRS	V;V.PTCP
ontwikkel	ontwikkelen	ontwikkel	ontwikkelen	V;PRS	V;NFIN
lande	landen	land	land	N;PL	N;PL
seun	boy	seun	boy	N;SG	N;MASC+FEM;SG
seun	jongen	seun	jongen	N;SG	N;MASC+FEM;SG
seun	zoon	seun	zoon	N;SG	N;MASC+FEM;SG
seun	son	seun	son	N;SG	N;MASC+FEM;SG
verskillende	verschillend	verskil	verschillend	ADJ;NOM	ADJ
verskillende	verschillende	verskil	verschillend	ADJ;NOM	ADJ
belangrike	belangrijke	belangrik	belangrijk	ADJ;NOM	ADJ
belangrike	belangrijk	belangrik	belangrijk	ADJ;NOM	ADJ
kinders	kinderen	kind	kind	N;PL	N;PL
kinders	kinderen	kind	kind	N;PL	N;PL
gedurende	tijdens	gedurende	tijdens	ADP	ADP
gedurende	gedurende	gedurende	gedurende	ADP	ADP
neem	neem	neem	nemen	V;PRS	V;SG;PRS;FIN
neem	nemen	neem	nemen	V;PRS	V;NFIN
vertaal	vertaal	vertaal	vertaal	V;PRS	V;SG;PRS;FIN
vertaal	vertalen	vertaal	vertalen	V;PRS	V;NFIN
munisipaliteit	stadsdeel	munisipaliteit	stadsdeel	N;SG	N;NEUT;SG
munisipaliteit	borough	munisipaliteit	borough	N;SG	N;MASC+FEM;SG
tans	nu	tans	nu	ADV	ADV
tans	heden	tans	heden	ADV	ADV
republiek	republiek	republiek	republiek	N;SG	N;MASC+FEM;SG
plek	plaats	plek	plaats	N;SG	N;MASC+FEM;SG
ongeveer	ongeveer	ongeveer	ongeveer	ADV	ADV
binne	binnen	binne	binnen	ADP	ADP
binne	binnen	binne	binnen	ADP	ADP
europese	europese	europees	Europees	ADJ;NOM	ADJ
europese	europees	europees	europees	ADJ;NOM	ADJ
selfs	zelfs	selfs	zelfs	ADV	ADV
tydperk	looptijd	tydperk	looptijd	N;SG	N;MASC+FEM;SG
tydperk	tijdsduur	tydperk	tijdsduur	N;SG	N;MASC+FEM;SG
maande	maanden	maand	maanden	N;PL	N;PL
skool	school	skool	school	N;SG	N;MASC+FEM;SG
per	per	per	per	ADP	ADP
vroeë	vroeg	vroeg	vroeg	ADJ;NOM	ADJ
vroeë	vroege	vroeg	vroeg	ADJ;NOM	ADJ
familie	familie	familie	familie	N;SG	N;MASC+FEM;SG
familie	gezin	familie	gezin	N;SG	N;NEUT;SG
voorkom	voorkomen	voorkom	voorkomen	V;PRS	V;NFIN
voorkom	voorkom	voorkom	voorkom	V;PRS	V;SG;PRS;FIN
mag	mag	mag	mogen	V;PRS	V;SG;PRS;FIN
mag	moge	mag	mogen	V;PRS	V;SG;PRS;FIN
geneem	genomen	neem	nemen	V;PST;V.PTCP	V;V.PTCP
geneem	meegenomen	neem	meenemen	V;PST;V.PTCP	V;V.PTCP
eiland	eiland	eiland	eiland	N;SG	N;NEUT;SG
volg	volg	volg	volg	V;PRS	V;SG;PRS;FIN
volg	volgt	volg	volgen	V;PRS	V;SG;PRS;FIN
volg	volgen	volg	volgen	V;PRS	V;NFIN
vyf	vijf	vyf	vijf	NUM	NUM
sonder	zonder	sonder	zonder	ADP	ADP
ontwerp	ontwerpen	ontwerp	ontwerpen	V;PRS	V;NFIN
aarde	aarde	aarde	aarde	N;SG	N;MASC+FEM;SG
aarde	earth	aarde	earth	N;SG	N;MASC+FEM;SG
gee	geef	gee	geven	V;PRS	V;SG;PRS;FIN
gee	geven	gee	geven	V;PRS	V;NFIN
kry	krijgen	kry	krijgen	V;PRS	V;PL;PRS;FIN
kry	krijg	kry	krijgen	V;PRS	V;SG;PRS;FIN
rol	rol	rol	rol	N;SG	N;MASC+FEM;SG
rol	rol	rol	rol	N;SG	N;MASC+FEM;SG
vrou	vrouw	vrou	vrouw	N;SG	N;MASC+FEM;SG
vrou	vrouw	vrou	vrouw	N;SG	N;MASC+FEM;SG
vrou	echtgenote	vrou	echtgenote	N;SG	N;MASC+FEM;SG
gebiede	gebieden	gebied	gebied	N;PL	N;PL
gebiede	gebiedsdelen	gebied	gebiedsdeel	N;PL	N;PL
gebiede	oppervlakten	gebied	oppervlakte	N;PL	N;PL
gebiede	gebieden	gebied	gebied	N;PL	N;PL
derde	derde	derde	drie	ADJ;NOM	ADJ
dag	dag	dag	dag	N;SG	N;MASC+FEM;SG
dag	dagje	dag	dag	N;SG	N;NEUT;SG
woord	woord	woord	woord	N;SG	N;NEUT;SG
president	president	president	president	N;SG	N;MASC+FEM;SG
president	voorzitter	president	voorzitter	N;SG	N;MASC+FEM;SG
koninkryk	koninkrijk	koninkryk	koninkrijk	N;SG	N;NEUT;SG
tale	talen	taal	taal	N;PL	N;PL
ontvang	ontvang	ontvang	ontvang	V;PRS	V;SG;PRS;FIN
ontvang	ontvangen	ontvang	ontvangen	V;PRS	V;V.PTCP
ontvang	ontvangen	ontvang	ontvangen	V;PRS	V;V.PTCP
ontvang	ontvangende	ontvang	ontvangen	V;PRS	V;V.PTCP
ontvang	ontvangen	ontvang	ontvangen	V;PRS	V;V.PTCP
hoewel	hoewel	hoewel	hoewel	CONJ	CONJ
webwerf	website	webwerf	website	N;SG	N;MASC+FEM;SG
staat	state	staat	state	N;SG	N;MASC+FEM;SG
staat	vel	staat	vel	N;SG	N;NEUT;SG
vandag	vandaag	vandag	vandaag	ADV	ADV
ekonomiese	economische	ekonomies	economisch	ADJ;NOM	ADJ
ekonomiese	economisch	ekonomies	economisch	ADJ;NOM	ADJ
aanvaar	aanvaard	aanvaar	aanvaarden	V;PRS	V;V.PTCP
aanvaar	geaccepteerd	aanvaar	accepteren	V;PRS	V;V.PTCP
aanvaar	accepteren	aanvaar	accepteren	V;PRS	V;NFIN
aanvaar	aanvaarden	aanvaar	aanvaarden	V;PRS	V;NFIN
aanvaar	accepteer	aanvaar	accepteer	V;PRS	V;SG;PRS;FIN
hou	vasthouden	hou	vasthouden	V;PRS	V;NFIN
hou	houd	hou	houden	V;PRS	V;SG;PRS;FIN
hou	houden	hou	houden	V;PRS	V;NFIN
geskryf	geschreven	skryf	schrijven	V;PST;V.PTCP	V;V.PTCP
geskryf	afgebrand	skryf	afbranden	V;PST;V.PTCP	V;V.PTCP
geskryf	verbrand	skryf	verbranden	V;PST;V.PTCP	V;V.PTCP
hele	hele	heel	heel	ADJ;NOM	ADJ
hele	gehele	heel	geheel	ADJ;NOM	ADJ
hele	hele	heel	heel	ADJ;NOM	ADJ
hele	geheel	heel	geheel	ADJ;NOM	ADJ
bevat	bevat	bevat	bevatten	V;PRS	V;SG;PRS;FIN
skrywer	schrijver	skrywer	schrijver	N;SG	N;MASC+FEM;SG
skrywer	schrijfster	skrywer	schrijfster	N;SG	N;MASC+FEM;SG
skrywer	auteur	skrywer	auteur	N;SG	N;MASC+FEM;SG
skrywer	schrijver	skrywer	schrijver	N;SG	N;MASC+FEM;SG
verander	afzeggen	verander	afzeggen	V;PRS	V;NFIN
verander	annuleren	verander	annuleren	V;PRS	V;NFIN
verander	aanpassen	verander	aanpassen	V;PRS	V;NFIN
verander	wijzigen	verander	wijzigen	V;PRS	V;NFIN
verander	veranderen	verander	veranderen	V;PRS	V;NFIN
verander	wijzigen	verander	wijzigen	V;PRS	V;NFIN
bereik	bereikt	bereik	bereiken	V;PRS	V;V.PTCP
russiese	russisch	russies	russisch	ADJ;NOM	ADJ
russiese	russische	russies	russisch	ADJ;NOM	ADJ
inwoners	inwoners	inwoner	inwoner	N;PL	N;PL
inwoners	bewoners	inwoner	bewoner	N;PL	N;PL
inwoners	ingezetenen	inwoner	inzitten	N;PL	N;PL
beteken	betekend	beteken	betekenen	V;PRS	V;SG;PRS;FIN
beteken	betekent	beteken	betekenen	V;PRS	V;SG;PRS;FIN
man	echtgenoot	man	echtgenoot	N;SG	N;MASC+FEM;SG
man	man	man	man	N;SG	N;MASC+FEM;SG
huis	home	huis	home	N;SG	N;MASC+FEM;SG
huis	huis	huis	huis	N;SG	N;NEUT;SG
huis	startpagina	huis	startpagina	N;SG	N;MASC+FEM;SG
huis	huis	huis	huis	N;SG	N;NEUT;SG
besoek	bezoeken	besoek	bezoeken	V;PRS	V;NFIN
besoek	bezocht	besoek	bezoeken	V;PRS	V;V.PTCP
administratiewe	administratief	administratief	administratief	ADJ;NOM	ADJ
administratiewe	administratieve	administratief	administratief	ADJ;NOM	ADJ
bekende	beroemde	bekend	beroemd	ADJ;NOM	ADJ
bekende	beroemd	bekend	beroemd	ADJ;NOM	ADJ
gespeel	gespeelde	speel	spelen	V;PST;V.PTCP	V;V.PTCP
gespeel	speelde	speel	spelen	V;PST;V.PTCP	V;SG;PST;FIN
gespeel	afgespeeld	speel	afspelen	V;PST;V.PTCP	V;V.PTCP
gespeel	gespeeld	speel	spelen	V;PST;V.PTCP	V;V.PTCP
kerke	kerken	kerk	kerk	N;PL	N;PL
skryf	schrijven	skryf	schrijven	V;PRS	V;NFIN
skryf	schrijf	skryf	schrijf	V;PRS	V;SG;PRS;FIN
skryf	branden	skryf	branden	V;PRS	V;NFIN
skryf	verbranden	skryf	verbranden	V;PRS	V;NFIN
wie	wie	wie	wie	PRO	PRO;3
suidelike	zuidelijk	suidelik	zuidelijk	ADJ;NOM	ADJ
romeinse	roman	romeins	roman	N;SG	N;MASC+FEM;SG
alhoewel	hoewel	alhoewel	hoewel	CONJ	CONJ
gekry	gevonden	kry	vinden	V;PST;V.PTCP	V;V.PTCP
gekom	gereisd	kom	reizen	V;PST;V.PTCP	V;V.PTCP
gekom	reisde	kom	reizen	V;PST;V.PTCP	V;SG;PST;FIN
verskyn	verschijnen	verskyn	verschijnen	V;PRS	V;NFIN
reeks	serie	reeks	serie	N;SG	N;MASC+FEM;SG
reeks	reeks	reeks	reeks	N;SG	N;MASC+FEM;SG
eilande	eilanden	eilande	eiland	N;PL	N;PL
speel	speel	speel	spelen	V;PRS	V;SG;PRS;FIN
speel	spelen	speel	spelen	V;PRS	V;NFIN
speel	afspelen	speel	afspelen	V;PRS	V;NFIN
speel	afspelen	speel	afspelen	V;PRS	V;NFIN
speel	spelen	speel	spelen	V;PRS	V;NFIN
wel	nou	wel	nou	ADV	ADV
wel	wel	wel	wel	ADV	ADV
bou	bouwen	bou	bouwen	V;PRS	V;NFIN
bou	opbouwen	bou	opbouwen	V;PRS	V;NFIN
stigting	oprichting	stigting	oprichting	N;SG	N;MASC+FEM;SG
stigting	formatie	stigting	formatie	N;SG	N;MASC+FEM;SG
stigting	vorming	stigting	vorming	N;SG	N;MASC+FEM;SG
gegee	gegeven	gee	geven	V;PST;V.PTCP	V;V.PTCP
beskryf	omschrijf	beskryf	omschrijf	V;PRS	V;SG;PRS;FIN
beskryf	beschrijf	beskryf	beschrijf	V;PRS	V;SG;PRS;FIN
beskryf	beschrijven	beskryf	beschrijven	V;PRS	V;NFIN
streek	regio	streek	regio	N;SG	N;MASC+FEM;SG
rivier	rivier	rivier	rivier	N;SG	N;MASC+FEM;SG
rivier	river	rivier	river	N;SG	N;MASC+FEM;SG
ses	zes	ses	zes	NUM	NUM
grond	bodem	grond	bodem	N;SG	N;MASC+FEM;SG
grond	grond	grond	grond	N;SG	N;MASC+FEM;SG
grond	grond	grond	grond	N;SG	N;MASC+FEM;SG
grond	land	grond	land	N;SG	N;NEUT;SG
grond	grond	grond	grond	N;SG	N;MASC+FEM;SG
spesies	diersoorten	spesie	diersoort	N;PL	N;PL
spesies	soorten	spesie	soort	N;PL	N;PL
beroep	beroepsgroep	beroep	beroepsgroep	N;SG	N;MASC+FEM;SG
beroep	beroep	beroep	beroep	N;SG	N;NEUT;SG
verklaar	gedeclareerd	verklaar	declareren	V;PRS	V;V.PTCP
verklaar	verklaard	verklaar	verklaren	V;PRS	V;V.PTCP
verklaar	opgegeven	verklaar	opgeven	V;PRS	V;V.PTCP
verklaar	aangegeven	verklaar	aangeven	V;PRS	V;V.PTCP
gedoen	gedaan	doen	doen	V;PST;V.PTCP	V;V.PTCP
lede	leden	lid	lid	N;PL	N;PL
historiese	historische	histories	historisch	ADJ;NOM	ADJ
historiese	historisch	histories	historisch	ADJ;NOM	ADJ
historiese	historisch	histories	historisch	ADJ;NOM	ADJ
historiese	historische	histories	historisch	ADJ;NOM	ADJ
minister	minister	minister	minister	N;SG	N;MASC+FEM;SG
span	team	span	team	N;SG	N;NEUT;SG
ontwikkeling	ontwikkeling	ontwikkeling	ontwikkeling	N;SG	N;MASC+FEM;SG
dele	onderdelen	deel	onderdeel	N;PL	N;PL
distrik	district	distrik	district	N;SG	N;NEUT;SG
gewen	behaald	wen	behalen	V;PST;V.PTCP	V;V.PTCP
gewen	gewonnen	wen	winnen	V;PST;V.PTCP	V;V.PTCP
gewen	won	wen	winnen	V;PST;V.PTCP	V;SG;PST;FIN
militêre	militair	militêr	militair	ADJ;NOM	ADJ
militêre	militaire	militêr	militair	ADJ;NOM	ADJ
inligting	informatie	inligting	informatie	N;SG	N;MASC+FEM;SG
veroorsaak	veroorzaakt	veroorsaak	veroorzaken	V;PRS	V;V.PTCP
veroorsaak	veroorzaken	veroorsaak	veroorzaken	V;PRS	V;NFIN
veroorsaak	veroorzaken	veroorsaak	veroorzaken	V;PRS	V;NFIN
ontdek	ontdek	ontdek	ontdek	V;PRS	V;SG;PRS;FIN
ontdek	ontdekken	ontdek	ontdekken	V;PRS	V;NFIN
oorspronklike	oorspronkelijke	oorspronklik	oorspronkelijk	ADJ;NOM	ADJ
oorspronklike	origineel	oorspronklik	origineel	ADJ;NOM	ADJ
oorspronklike	originele	oorspronklik	origineel	ADJ;NOM	ADJ
katolieke	katholieke	katoliek	katholiek	ADJ;NOM	ADJ
katolieke	katholiek	katoliek	katholiek	ADJ;NOM	ADJ
boek	boek	boek	boek	N;SG	N;NEUT;SG
artikels	artikelen	artikel	artikel	N;PL	N;PL
artikels	artikels	artikel	artikel	N;PL	N;PL
artikels	afdelingen	artikel	afdeling	N;PL	N;PL
artikels	secties	artikel	sectie	N;PL	N;PL
opgerig	gebouwd	opgerig	bouwen	V;PST;V.PTCP	V;V.PTCP
opgerig	geconstrueerd	opgerig	construeren	V;PST;V.PTCP	V;V.PTCP
kalender	agenda	kalender	agenda	N;SG	N;MASC+FEM;SG
wet	wet	wet	wet	N;SG	N;MASC+FEM;SG
wet	act	wet	act	N;SG	N;MASC+FEM;SG
val	vallen	val	vallen	V;PRS	V;NFIN
gevind	gevonden	vind	vinden	V;PST;V.PTCP	V;V.PTCP
omgewing	omgeving	omgewing	omgeving	N;SG	N;MASC+FEM;SG
omgewing	milieu	omgewing	milieu	N;SG	N;NEUT;SG
omgewing	gebied	omgewing	gebied	N;SG	N;NEUT;SG
omgewing	oppervlakte	omgewing	oppervlakte	N;SG	N;MASC+FEM;SG
lid	lid	lid	lid	N;SG	N;NEUT;SG
voormalige	voormalig	voormalig	voormalig	ADJ;NOM	ADJ
voormalige	voormalige	voormalig	voormalig	ADJ;NOM	ADJ
grens	grens	grens	grens	N;SG	N;MASC+FEM;SG
skeidsregter	scheidsrechter	skeidsregter	scheidsrechter	N;SG	N;MASC+FEM;SG
data	data	data	data	N;SG	N;MASC+FEM;SG
buite	buiten	buite	buiten	ADP	ADP
buite	buiten	buite	buiten	ADP	ADP
invloed	beïnvloeden	invloed	beïnvloeden	V;PRS	V;NFIN
ouderdom	ouderdom	ouderdom	ouderdom	N;SG	N;MASC+FEM;SG
ouderdom	leeftijd	ouderdom	leeftijd	N;SG	N;MASC+FEM;SG
diens	dienst	diens	dienst	N;SG	N;MASC+FEM;SG
diens	service	diens	service	N;SG	N;MASC+FEM;SG
vind	vinden	vind	vinden	V;PRS	V;NFIN
vind	vind	vind	vinden	V;PRS	V;SG;PRS;FIN
woorde	woorden	woord	woord	N;PL	N;PL
verkiesing	verkiezing	verkiesing	verkiezing	N;SG	N;MASC+FEM;SG
verbind	verbonden	verbind	verbinden	V;PRS	V;V.PTCP
verbind	aangesloten	verbind	aansluiten	V;PRS	V;V.PTCP
verbind	verbind	verbind	verbind	V;PRS	V;SG;PRS;FIN
verbind	verbinden	verbind	verbinden	V;PRS	V;NFIN
geval	geval	geval	geval	N;SG	N;NEUT;SG
geval	case	geval	case	N;SG	N;MASC+FEM;SG
geval	zaak	geval	zaak	N;SG	N;MASC+FEM;SG
unie	union	unie	union	N;SG	N;MASC+FEM;SG
unie	vakbond	unie	vakbond	N;SG	N;MASC+FEM;SG
unie	unie	unie	unie	N;SG	N;MASC+FEM;SG
griekse	griek	grieks	griek	N;SG	N;MASC+FEM;SG
werke	jobs	werk	job	N;PL	N;PL
werke	vacatures	werk	vacature	N;PL	N;PL
werke	banen	werk	baan	N;PL	N;PL
sterre	sparks	sterr	spark	N;PL	N;PL
sterre	vonken	sterr	vonken	N;PL	N;PL
sterre	bars	sterr	bars	N;PL	N;PL
sterre	sterren	sterr	ster	N;PL	N;PL
jou	uw	jou	uw	PRO;ACC;SG;2	PRO;2
jou	jouw	jou	jou	PRO;ACC;SG;2	PRO;ACC;2
slag	battle	slag	battle	N;SG	N;MASC+FEM;SG
slag	slag	slag	slag	N;SG	N;MASC+FEM;SG
slag	strijd	slag	strijd	N;SG	N;MASC+FEM;SG
slag	gevecht	slag	gevecht	N;SG	N;NEUT;SG
slag	veldslag	slag	veldslag	N;SG	N;MASC+FEM;SG
deelstaat	state	deelstaat	state	N;SG	N;MASC+FEM;SG
oseaan	oceaan	oseaan	oceaan	N;SG	N;MASC+FEM;SG
help	helpen	help	helpen	V;PRS	V;NFIN
museum	museum	museum	museum	N;SG	N;NEUT;SG
want	want	want	want	CONJ	CONJ
