aparta	ゲット	apartir	ゲット	V	V
camiñas	ウォーク	camiña	ウォーク	N	N
camiñas	歩行	camiña	歩行	N	N
camiñas	徒歩	camiña	徒歩	N	N
rescate	レスキュー	rescate	レスキュー	N	N
rescate	身代	rescate	身代	N	N
xerar	生成	xerar	生成	V	V
esposo	主人	esposo	主人	N	N
xove	ヤング	xover	ヤング	N	N
tecidos	ティッシュ	tecido	ティッシュ	N	N
kilos	ポンド	kilo	ポンド	N	N
agradecido	感謝	agradecer	感謝	V	V
aburrida	退屈	aburrido	退屈	ADJ	ADJ
aburrida	退屈	aburrido	退屈	ADJ	ADJ
tentan	試す	tentar	試す	V	V
axencia	代理店	axencia	代理店	N	N
responsables	責任	responsable	責任	N	N
responsables	責務	responsable	責務	N	N
nobel	ノーベル	nobel	ノーベル	N	N
bonos	切手	bono	切手	N	N
sentiu	感じる	sentiu	感じる	V	V
cultivar	耕す	cultivar	耕す	V	V
industriais	工業	industrial	工業	N	N
industriais	工場	industrial	工場	N	N
desigualdade	不等式	desigualdade	不等式	N	N
ameazas	脅威	ameaza	脅威	N	N
curva	カーブ	curvar	カーブ	N	N
curva	曲線	curvar	曲線	N	N
curva	ターン	curvar	ターン	N	N
curva	曲	curvar	曲	N	N
entradas	切符	entrada	切符	N	N
entradas	チケット	entrada	チケット	N	N
cultivo	文化	cultivo	文化	N	N
cultivo	カルチャー	cultivo	カルチャー	N	N
tratamentos	トリートメント	tratamento	トリートメント	N	N
tratamentos	待遇	tratamento	待遇	N	N
tratamentos	治療	tratamento	治療	N	N
tratamentos	トリートメント	tratamento	トリートメント	N	N
almacéns	店舗	almacén	店舗	N	N
almacéns	部署	almacén	部署	N	N
almacéns	学科	almacén	学科	N	N
almacéns	部門	almacén	部門	N	N
almacéns	店舗	almacén	店舗	N	N
almacéns	ストア	almacén	ストア	N	N
mecanismo	機構	mecanismo	機構	N	N
mecanismo	メカニズム	mecanismo	メカニズム	N	N
mecanismo	デバイス	mecanismo	デバイス	N	N
mecanismo	機器	mecanismo	機器	N	N
xoguetes	おもちゃ	xoguete	おもちゃ	N	N
xoguetes	おもちゃ	xoguete	おもちゃ	N	N
vilas	村落	vila	村落	N	N
arquivos	ファイル	arquivo	ファイル	N	N
arquivos	アーカイブ	arquivo	アーカイブ	N	N
cambiaron	変更	cambiar	変更	V	V
encargo	オーダー	encargo	オーダー	N	N
factor	ファクター	factor	ファクター	N	N
factor	因子	factor	因子	N	N
factor	係数	factor	係数	N	N
labor	作業	labor	作業	N	N
labor	仕事	labor	仕事	N	N
labor	ワーク	labor	ワーク	N	N
labor	タスク	labor	タスク	N	N
perpetua	生命	perpetuar	生命	N	N
perpetua	人生	perpetuar	人生	N	N
perpetua	ライフ	perpetuar	ライフ	N	N
aparencia	ルック	aparencia	ルック	N	N
aparencia	外観	aparencia	外観	N	N
aparencia	外観	aparencia	外観	N	N
mesas	テーブル	mesa	テーブル	N	N
cinto	ベルト	cinto	ベルト	N	N
camiñamos	歩き	camiñar	歩く	V	V
camiñamos	歩く	camiñar	歩く	V	V
batallas	合戦	batalla	合戦	N	N
propietaria	オーナー	propietaria	オーナー	N	N
propietaria	所有者	propietaria	所有者	N	N
bonitos	ビューティフル	bonito	ビューティフル	N	N
mates	数学	mate	数学	N	N
columnas	カラム	columna	カラム	N	N
reforma	リフォーム	reforma	リフォーム	N	N
incendio	火事	incendio	火事	N	N
incendio	ファイア	incendio	ファイア	N	N
incendio	火災	incendio	火災	N	N
estuda	勉強	estudar	勉強	V	V
estuda	勉強	estudar	勉強	V	V
reportaxe	レポート	reportaxe	レポート	N	N
móvese	引越	móvese	引越	V	V
móvese	移動	móvese	移動	V	V
ruína	廃墟	ruína	廃墟	N	N
xentes	ピープル	xente	ピープル	N	N
radiación	放射線	radiación	放射線	N	N
radiación	放射	radiación	放射	N	N
marco	地面	marco	地面	N	N
marco	グラウンド	marco	グラウンド	N	N
marco	フレーム	marco	フレーム	N	N
rumbo	コース	rumbo	コース	N	N
vestíbulo	ロビー	vestíbulo	ロビー	N	N
vestíbulo	ホール	vestíbulo	ホール	N	N
ave	鳥類	ave	鳥類	N	N
ave	バード	ave	バード	N	N
transición	変遷	transición	変遷	N	N
caldeiro	バケット	caldeiro	バケット	N	N
caldeiro	バケツ	caldeiro	バケツ	N	N
bandas	バンド	banda	バンド	N	N
delincuencia	犯罪	delincuencia	犯罪	N	N
capa	クローク	capa	クローク	N	N
mel	新婚	mel	新婚	N	N
mel	ハネムーン	mel	ハネムーン	N	N
mel	はちみつ	mel	はちみつ	N	N
mel	蜂蜜	mel	蜂蜜	N	N
cuartel	本社	cuartel	本社	N	N
cuartel	司令部	cuartel	司令部	N	N
afecto	愛着	afecto	愛着	N	N
afecto	愛情	afecto	愛情	N	N
mineiros	鉱夫	mineiro	鉱夫	N	N
mantas	毛布	manto	毛布	N	N
pálida	青白い	pálida	青白い	ADJ	ADJ
continúe	続行	continuír	続行	V	V
continúe	続ける	continuír	続ける	V	V
fresca	フレッシュ	frescar	フレッシュ	N	N
fresca	クール	frescar	クール	N	N
serpe	ヘビ	serpe	ヘビ	N	N
proletarios	プロレタリアート	proletario	プロレタリアート	N	N
bebo	飲み物	bebo	飲み物	N	N
bebo	ドリンク	bebo	ドリンク	N	N
paras	ストップ	para	ストップ	N	N
pelota	ボール	pelota	ボール	N	N
cheminea	煙突	chemineo	煙突	N	N
semellas	ルック	semella	ルック	N	N
semellas	外観	semella	外観	N	N
patrulla	斥候	patrulla	斥候	N	N
patrulla	パトロール	patrulla	パトロール	N	N
salta	ジャンプ	salta	ジャンプ	N	N
rematará	終了	rematar	終了	V	V
milicia	民兵	milicia	民兵	N	N
morrese	死ぬ	morrer	死ぬ	V	V
serea	サイレン	ser	サイレン	N	N
comerciantes	商人	comerciante	商人	N	N
arrestado	逮捕	arrestar	逮捕	V	V
facela	メイク	facelar	メイク	N	N
varón	男性	varón	男性	N	N
varón	オス	varón	オス	N	N
varón	男	varón	男	N	N
varón	少年	varón	少年	N	N
varón	ボーイ	varón	ボーイ	N	N
traficante	ディーラー	traficante	ディーラー	N	N
reféns	人質	refén	人質	N	N
dios	日本酒	dio	日本酒	N	N
frota	艦隊	frota	艦隊	N	N
mercadorías	商品	mercadoría	商品	N	N
mercadorías	貨物	mercadoría	貨物	N	N
mercadorías	物品	mercadoría	物品	N	N
anano	小人	anano	小人	N	N
anano	男性	anano	男性	N	N
gueto	ゲットー	gueto	ゲットー	N	N
impulso	パルス	impulso	パルス	N	N
impulso	脈	impulso	脈	N	N
impulso	衝動	impulso	衝動	N	N
corán	コーラン	corán	コーラン	N	N
rifles	小銃	rifle	小銃	N	N
lombo	後ろ	lombo	後ろ	N	N
lombo	背中	lombo	背中	N	N
lombo	裏側	lombo	裏側	N	N
procedemento	プロシージャ	procedemento	プロシージャ	N	N
procedemento	手順	procedemento	手順	N	N
custo	費用	custo	費用	N	N
custo	原価	custo	原価	N	N
custo	コスト	custo	コスト	N	N
aforros	貯蓄	aforro	貯蓄	N	N
aforros	貯金	aforro	貯金	N	N
aforros	預金	aforro	預金	N	N
chiste	ジョーク	chistir	ジョーク	N	N
crecen	ゲット	crecer	ゲット	V	V
empezan	開始	empezar	開始	V	V
empezan	始める	empezar	始める	V	V
empezan	スタート	empezar	スタート	V	V
instintos	本能	instinto	本能	N	N
alimentación	食べ物	alimentación	食べ物	N	N
alimentación	食品	alimentación	食品	N	N
alimentación	被服	alimentación	被服	N	N
loitas	ファイト	loita	ファイト	N	N
bunker	バンカー	bunker	バンカー	N	N
favorito	お気に入り	favorito	お気に入り	N	N
axencias	代理店	axencia	代理店	N	N
axencias	代理店	axencia	代理店	N	N
celas	セル	cela	セル	N	N
alfombra	ラグ	alfombra	ラグ	N	N
alfombra	敷物	alfombra	敷物	N	N
alfombra	カーペット	alfombra	カーペット	N	N
alfombra	絨毯	alfombra	絨毯	N	N
conceptos	概念	concepto	概念	N	N
conceptos	コンセプト	concepto	コンセプト	N	N
confuso	ロスト	confuso	ロスト	N	N
empregar	使用	empregar	使用	V	V
oposición	野党	oposición	野党	N	N
agochados	隠し	agochar	隠す	V	V
buraco	ホール	buraco	ホール	N	N
elevado	高い	elevado	高い	ADJ	ADJ
direccións	方向	dirección	方向	N	N
situacións	状況	situación	状況	N	N
situacións	情勢	situación	情勢	N	N
odia	憎悪	odia	憎悪	V	V
odia	憎しみ	odia	憎しみ	V	V
odia	憎悪	odia	憎悪	V	V
continúan	続行	continuar	続行	V	V
continúan	続ける	continuar	続ける	V	V
tentarei	試す	tentar	試す	V	V
tentarei	ゲット	tentar	ゲット	V	V
revistas	マガジン	revista	マガジン	N	N
revistas	雑誌	revista	雑誌	N	N
revistas	雑誌	revista	雑誌	N	N
lograr	ゲット	lograr	ゲット	V	V
lagos	湖沼	lago	湖沼	N	N
certificado	証明	certificado	証明	N	N
certificado	証書	certificado	証書	N	N
pipa	パイプ	pipa	パイプ	N	N
conversas	スレッド	converso	スレッド	N	N
vivendas	住宅	vivenda	住宅	N	N
obesidade	肥満	obesidade	肥満	N	N
exilio	流罪	exilio	流罪	N	N
palma	手	palma	手	N	N
palma	ヤシ	palma	ヤシ	N	N
palma	パーム	palma	パーム	N	N
relativamente	比較的	relativamente	比較的	ADV	ADV
órganos	臓器	órgano	臓器	N	N
órganos	機関	órgano	機関	N	N
decatarse	通知	decatarse	通知	V	V
decatarse	告知	decatarse	告知	V	V
penicilina	ペニシリン	penicilinar	ペニシリン	N	N
funcións	関数	función	関数	N	N
exceso	超	exceso	超	N	N
ostras	牡蠣	ostra	牡蠣	N	N
ostras	カキ	ostra	カキ	N	N
ostras	オイスター	ostra	オイスター	N	N
vermellas	赤色	vermello	赤色	N	N
vermellas	レッド	vermello	レッド	N	N
ocupados	忙しい	ocupado	忙しい	ADJ	ADJ
cascos	ヘルメット	casco	ヘルメット	N	N
darvos	与える	darvo	与える	V	V
botóns	ボタン	botóns	ボタン	N	N
afirmación	ステートメント	afirmación	ステートメント	N	N
afirmación	声明	afirmación	声明	N	N
emocionado	興奮	emocionar	興奮	V	V
champaña	シャンパン	champaña	シャンパン	N	N
inda	まだ	inda	まだ	ADV	ADV
chamaría	通話	chamar	通話	V	V
agricultura	農業	agricultura	農業	N	N
ratos	マウス	rato	マウス	N	N
ratos	ネズミ	rato	ネズミ	N	N
celebración	祝賀	celebración	祝賀	N	N
celebración	お	celebración	お	N	N
avós	祖父	avó	祖父	N	N
enfadado	怒り	enfadar	怒り	V	V
dígoo	ちょうど	dígoo	ちょうど	ADV	ADV
evidencias	証拠	evidencia	証拠	N	N
secundaria	高い	secundario	高い	ADJ	ADJ
primas	材料	prima	材料	N	N
primas	素材	prima	素材	N	N
escritores	作家	escritor	作家	N	N
universidades	大学	universidade	大学	N	N
universidades	大学	universidade	大学	N	N
calcetíns	ソックス	calcetíns	ソックス	N	N
calcetíns	靴下	calcetíns	靴下	N	N
partidos	当事	partido	当事	N	N
partidos	パーティ	partido	パーティ	N	N
partidos	パーティー	partido	パーティー	N	N
partidos	マッチ	partido	マッチ	N	N
durmas	睡眠	durma	睡眠	N	N
durmas	スリープ	durma	スリープ	N	N
repito	繰り返す	repito	繰り返す	V	V
crían	信じる	crían	信じる	V	V
crían	信ずる	crían	信ずる	V	V
respiro	ブレーク	respiro	ブレーク	N	N
respiro	ブレス	respiro	ブレス	N	N
controla	コントロール	controlar	コントロール	V	V
combustible	燃料	combustible	燃料	N	N
sutil	微妙	sutil	微妙	ADJ	ADJ
crendo	信じる	crendo	信じる	V	V
crendo	信ずる	crendo	信ずる	V	V
crendo	考え	crendo	考える	V	V
crendo	信ずる	crendo	信ずる	V	V
accidentes	事故	accidente	事故	N	N
accidentes	アクシデント	accidente	アクシデント	N	N
accidentes	事故	accidente	事故	N	N
inclúe	含む	incluír	含む	V	V
seco	ドライ	seco	ドライ	N	N
xesucristo	キリスト	xesucristo	キリスト	N	N
tradicións	伝統	tradición	伝統	N	N
tradicións	伝統	tradición	伝統	N	N
alcohol	アルコール	alcohol	アルコール	N	N
alivio	レリーフ	alivio	レリーフ	N	N
insectos	昆虫	insecto	昆虫	N	N
túnel	トンネル	túnel	トンネル	N	N
duelo	決闘	duelo	決闘	N	N
viaxando	旅行	viaxar	旅行	V	V
artística	方向	artístico	方向	N	N
marxe	部屋	marxe	部屋	N	N
marxe	ルーム	marxe	ルーム	N	N
resolución	解像	resolución	解像	N	N
cegos	ブラインド	cego	ブラインド	N	N
cegos	盲人	cego	盲人	N	N
feixe	パイル	feixe	パイル	N	N
feixe	ロット	feixe	ロット	N	N
rexistros	レコード	rexistro	レコード	N	N
globo	風船	globo	風船	N	N
globo	気球	globo	気球	N	N
choraba	泣く	chorar	泣く	V	V
continuou	続き	continuar	続く	V	V
continuou	継続	continuar	継続	V	V
golf	ゴルフ	golf	ゴルフ	N	N
venden	売る	vender	売る	V	V
camas	ベッド	cama	ベッド	N	N
bonecas	人形	boneca	人形	N	N
evento	イベント	evento	イベント	N	N
evento	行事	evento	行事	N	N
festival	フェスティバル	festival	フェスティバル	N	N
festival	祭事	festival	祭事	N	N
festival	祭り	festival	祭り	N	N
festival	お	festival	お	N	N
ilusións	幻想	ilusión	幻想	N	N
tiran	投げる	ter	投げる	V	V
pito	鶏肉	pito	鶏肉	N	N
pito	ニワトリ	pito	ニワトリ	N	N
pito	チキン	pito	チキン	N	N
pito	タバコ	pito	タバコ	N	N
crianzas	子供	crianza	子供	N	N
montes	山地	monte	山地	N	N
montes	山脈	monte	山脈	N	N
proveito	一部	proveito	一部	N	N
cualificación	格付	cualificación	格付	N	N
escuros	深い	escuro	深い	ADJ	ADJ
escuros	暗い	escuro	暗い	ADJ	ADJ
socio	パートナー	socio	パートナー	N	N
escoitarme	聴く	escoitarme	聴く	V	V
rabia	アウト	rabia	アウト	N	N
caros	高い	caro	高い	ADJ	ADJ
caros	高額	caro	高額	ADJ	ADJ
sacrificar	犠牲	sacrificar	犠牲	V	V
carreta	カート	carreta	カート	N	N
carreta	荷車	carreta	荷車	N	N
dubido	疑念	dober	疑念	V	V
copas	飲み物	copa	飲み物	N	N
copas	ドリンク	copa	ドリンク	N	N
recto	ストレート	recto	ストレート	N	N
saúda	こんにち	saúda	こんにち	N	N
bicar	キス	bicar	キス	V	V
lotaría	抽選	lotaría	抽選	V	V
inspección	検査	inspección	検査	N	N
inspección	検問	inspección	検問	N	N
inspección	学寮	inspección	学寮	N	N
cambiaches	変更	cambiaches	変更	V	V
cambiaches	変更	cambiaches	変更	V	V
cambiaches	変化	cambiaches	変化	V	V
peitos	乳房	peito	乳房	N	N
peitos	母乳	peito	母乳	N	N
sacalo	アウト	sacalo	アウト	N	N
peles	スキン	pel	スキン	N	N
peles	毛皮	pel	毛皮	N	N
cranio	髑髏	cranio	髑髏	N	N
cranio	頭蓋	cranio	頭蓋	N	N
destruíron	破壊	destruír	破壊	V	V
veteranos	退役	veterano	退役	N	N
veteranos	獣	veterano	獣	N	N
valentía	勇気	valentía	勇気	N	N
cheguemos	ゲット	cheguer	ゲット	V	V
tesouro	宝物	tesouro	宝物	N	N
tesouro	財宝	tesouro	財宝	N	N
destruído	破壊	destruír	破壊	V	V
chamarme	通話	chamarme	通話	V	V
delicioso	おいしい	delicioso	おいしい	ADJ	ADJ
delicioso	美味しい	delicioso	美味しい	ADJ	ADJ
pixamas	パジャマ	pixar	パジャマ	N	N
pau	スティック	pau	スティック	N	N
filliña	手紙	filliña	手紙	N	N
filliña	レター	filliña	レター	N	N
filliña	ガール	filliña	ガール	N	N
filliña	少女	filliña	少女	N	N
filliña	女	filliña	女	N	N
mineral	鉱物	mineral	鉱物	N	N
mineral	鉱石	mineral	鉱石	N	N
cantaba	歌う	cantar	歌う	V	V
escribo	書き込み	escribir	書き込み	V	V
escribo	書く	escribir	書く	V	V
escribo	書き込む	escribir	書き込む	V	V
detido	逮捕	deter	逮捕	V	V
artillería	大砲	artillería	大砲	N	N
terroristas	テロリスト	terrorista	テロリスト	N	N
punk	パンク	punk	パンク	N	N
condesa	伯爵	condesa	伯爵	N	N
condesa	皇太	condesa	皇太	N	N
profes	教員	profe	教員	N	N
profes	教師	profe	教師	N	N
asteroides	小惑星	asteroide	小惑星	N	N
asteroides	小惑星	asteroide	小惑星	N	N
desexaba	求む	desexar	求む	V	V
hormona	ホルモン	hormona	ホルモン	N	N
doutores	医師	doutor	医師	N	N
doutores	医者	doutor	医者	N	N
tocamos	遊ぶ	tocar	遊ぶ	V	V
tocamos	プレイ	tocar	プレイ	V	V
tocamos	遊び	tocar	遊ぶ	V	V
incribles	素晴らしい	incrible	素晴らしい	ADJ	ADJ
incribles	凄い	incrible	凄い	ADJ	ADJ
incribles	すごい	incrible	すごい	ADJ	ADJ
inspiración	インス	inspiración	インス	N	N
estudamos	勉強	estudar	勉強	V	V
ministerio	事務局	ministerio	事務局	N	N
ministerio	事務所	ministerio	事務所	N	N
ministerio	オフィス	ministerio	オフィス	N	N
nostalxia	ノスタルジア	nostalxia	ノスタルジア	N	N
vendía	落札	vendía	落札	V	V
decatámonos	実現	decatámonos	実現	V	V
ensaios	トライアル	ensalo	トライアル	N	N
ensaios	試練	ensalo	試練	N	N
táboa	テーブル	táboa	テーブル	N	N
aparellos	デバイス	aparello	デバイス	N	N
aparellos	機器	aparello	機器	N	N
competición	競技	competición	競技	N	N
competición	コンペ	competición	コンペ	N	N
competición	競争	competición	競争	N	N
competición	コンペティション	competición	コンペティション	N	N
competición	コンテスト	competición	コンテスト	N	N
fainos	メイク	faino	メイク	N	N
posicións	ポジション	posición	ポジション	N	N
aplicar	応募	aplicar	応募	V	V
aplicar	適用	aplicar	適用	V	V
positiva	ポジティブ	positivo	ポジティブ	ADJ	ADJ
ecuación	方程式	ecuación	方程式	N	N
axudas	ヘルプ	axuda	ヘルプ	N	N
rematan	終了	rematar	終了	V	V
amarelos	イエロー	amarelo	イエロー	N	N
amarelos	黄色	amarelo	黄色	N	N
casco	ヘルメット	casco	ヘルメット	N	N
paisaxes	景色	paisaxe	景色	N	N
paisaxes	風景	paisaxe	風景	N	N
imitar	真似	imitar	真似る	V	V
fragmentos	断片	fragmento	断片	N	N
fragmentos	フラグメント	fragmento	フラグメント	N	N
atrapar	キャッチ	atrapar	キャッチ	V	V
atrapar	キャッチボール	atrapar	キャッチボール	V	V
eficacia	効能	eficacia	効能	N	N
eficacia	効率	eficacia	効率	N	N
debuxar	引き分け	debuxar	引き分け	V	V
debuxar	描画	debuxar	描画	V	V
balea	クジラ	balea	クジラ	N	N
tráxico	悲惨	tráxico	悲惨	ADJ	ADJ
abren	開館	abren	開館	V	V
abren	開く	abren	開く	V	V
variedade	バラエティ	variedade	バラエティ	N	N
variedade	変種	variedade	変種	N	N
contaminación	公害	contaminación	公害	N	N
contaminación	汚染	contaminación	汚染	N	N
exercicios	演習	exercicio	演習	N	N
lixeiramente	あまり	lixeiramente	あまり	ADV	ADV
fundación	財団	fundación	財団	N	N
fundación	ファンデーション	fundación	ファンデーション	N	N
fundación	ファウンデーション	fundación	ファウンデーション	N	N
construir	構築	construir	構築	V	V
traballaban	働く	traballar	働く	V	V
ainda	まだ	ainda	まだ	ADV	ADV
usala	使用	usalar	使用	V	V
normalidade	通常	normalidade	通常	N	N
cadela	イヌ	cadela	イヌ	N	N
cadela	ビッチ	cadela	ビッチ	N	N
virtude	美徳	virtude	美徳	N	N
intencións	意図	intención	意図	N	N
cursos	コース	curso	コース	N	N
cursos	セミナー	curso	セミナー	N	N
herbas	ハーブ	herba	ハーブ	N	N
computadora	コンピューター	computar	コンピューター	N	N
computadora	コンピュータ	computar	コンピュータ	N	N
comparar	比較	comparar	比較	V	V
xogador	プレイヤー	xogador	プレイヤー	N	N
xogador	プレーヤー	xogador	プレーヤー	N	N
xogador	ギャンブラー	xogador	ギャンブラー	N	N
computadores	コンピューター	computador	コンピューター	N	N
computadores	コンピュータ	computador	コンピュータ	N	N
computadores	通勤	computador	通勤	N	N
durmía	眠る	durmía	眠る	V	V
bacteria	細菌	bacteria	細菌	N	N
bacteria	バクテリア	bacteria	バクテリア	N	N
entren	ゲット	entren	ゲット	V	V
parentes	親族	parente	親族	N	N
parentes	親戚	parente	親戚	N	N
estadio	スタジアム	estadio	スタジアム	N	N
estadio	アリーナ	estadio	アリーナ	N	N
sinxelamente	単に	sinxelamente	単に	ADV	ADV
sinxelamente	ちょうど	sinxelamente	ちょうど	ADV	ADV
hamburguesa	ハンバーガー	hamburguesa	ハンバーガー	N	N
detectar	検知	detectar	検知	V	V
detectar	検出	detectar	検出	V	V
cambiará	変更	cambiar	変更	V	V
cambiará	変化	cambiar	変化	V	V
descuberta	発見	descuberta	発見	V	V
voluntario	ボランティア	voluntario	ボランティア	N	N
sentenza	センテンス	sentenza	センテンス	N	N
sentenza	文章	sentenza	文章	N	N
cambiamos	変更	cambiar	変更	V	V
cambiamos	変更	cambiar	変更	V	V
cambiamos	変化	cambiar	変化	V	V
hoxendía	今日	hoxender	今日	N	N
creador	クリエーター	creador	クリエーター	N	N
barras	バー	barra	バー	N	N
naturais	自然	natural	自然	ADJ	ADJ
caendo	落下	caendo	落下	V	V
lavadora	洗浄	lavador	洗浄	N	N
lavadora	マシン	lavador	マシン	N	N
lavadora	マシーン	lavador	マシーン	N	N
lavadora	機械	lavador	機械	N	N
leña	木材	leñar	木材	N	N
leña	木製	leñar	木製	N	N
leña	ウッド	leñar	ウッド	N	N
deixará	離れる	deixar	離れる	V	V
xeada	フロスト	xeada	フロスト	N	N
cráteres	爆弾	cráteres	爆弾	N	N
fadas	フェアリー	facer	フェアリー	N	N
fadas	妖精	facer	妖精	N	N
crearon	作成	crear	作成	V	V
gobernamental	政府	gobernamental	政府	N	N
pílulas	錠剤	pílula	錠剤	N	N
leccións	レッスン	lección	レッスン	N	N
leccións	授業	lección	授業	N	N
saíches	アウト	saíches	アウト	N	N
paquetes	パック	paquete	パック	N	N
paquetes	パッケージ	paquete	パッケージ	N	N
vistas	表示	vista	表示	V	V
vistas	見る	vista	見る	V	V
unir	参加	unir	参加	V	V
protagonista	主人	protagonista	主人	N	N
vicio	バイス	vicio	バイス	N	N
cociñas	台所	cociña	台所	N	N
gravación	レコーディング	gravación	レコーディング	N	N
carriño	ワゴン	carriño	ワゴン	N	N
gordos	脂肪	gordo	脂肪	N	N
televisor	テレビ	televisor	テレビ	N	N
quendas	シフト	quenda	シフト	N	N
obradoiros	ワークショップ	obradoiro	ワークショップ	N	N
conseguen	ゲット	conseguir	ゲット	V	V
ataca	攻撃	ataca	攻撃	V	V
ataca	攻撃	ataca	攻撃	V	V
miserable	惨め	miserable	惨める	ADJ	ADJ
miserable	みじめ	miserable	みじめ	ADJ	ADJ
órbita	軌道	órbita	軌道	N	N
parlamento	議会	parlamento	議会	N	N
parlamento	国会	parlamento	国会	N	N
anónimos	匿名	anónir	匿名	N	N
caixeiro	マシン	caixeiro	マシン	N	N
caixeiro	マシーン	caixeiro	マシーン	N	N
caixeiro	機械	caixeiro	機械	N	N
títulos	役職	título	役職	N	N
títulos	称号	título	称号	N	N
títulos	タイトル	título	タイトル	N	N
custos	費用	custo	費用	N	N
custos	コスト	custo	コスト	N	N
custos	費用	custo	費用	N	N
custos	原価	custo	原価	N	N
custos	コスト	custo	コスト	N	N
vehículos	乗り物	vehículo	乗り物	N	N
vehículos	車両	vehículo	車両	N	N
espíritos	スピリッツ	espírito	スピリッツ	N	N
taberna	バール	taberno	バール	N	N
taberna	バー	taberno	バー	N	N
taberna	居酒屋	taberno	居酒屋	N	N
vapor	スチーム	vapor	スチーム	N	N
vapor	蒸気	vapor	蒸気	N	N
amarga	苦い	amargar	苦い	ADJ	ADJ
hurra	レット	hurra	レット	N	N
localizacións	所在	localización	所在	N	N
donas	婦人	dono	婦人	N	N
donas	レディース	dono	レディース	N	N
encanto	チャーム	encanto	チャーム	N	N
encanto	魅力	encanto	魅力	N	N
louco	クレイジー	louco	クレイジー	N	N
gravata	ネクタイ	gravatar	ネクタイ	N	N
probe	試す	probar	試す	V	V
volvese	戻る	volver	戻る	V	V
olle	ルック	olle	ルック	N	N
olle	外観	olle	外観	N	N
regresou	戻る	regresar	戻る	V	V
aloxamento	住居	aloxamento	住居	N	N
aloxamento	住宅	aloxamento	住宅	N	N
