blev	滞在	blive	滞在	V;IND;PST;FIN;ACT	V
gruppe	グループ	gruppe	グループ	N;INDF;MASC+FEM;SG	N
stedet	場所	sted	場所	N;DEF;NEUT;SG	N
stedet	スポット	sted	スポット	N;DEF;NEUT;SG	N
lige	まっすぐ	lige	まっすぐ	ADV	ADV
allerede	すでに	allerede	すでに	ADV	ADV
allerede	既に	allerede	既に	ADV	ADV
historie	記事	historie	記事	N;INDF;MASC+FEM;SG	N
historie	ストーリー	historie	ストーリー	N;INDF;MASC+FEM;SG	N
historie	物語	historie	物語	N;INDF;MASC+FEM;SG	N
historie	履歴	historie	履歴	N;INDF;MASC+FEM;SG	N
historie	由緒	historie	由緒	N;INDF;MASC+FEM;SG	N
historie	歴史	historie	歴史	N;INDF;MASC+FEM;SG	N
historie	沿革	historie	沿革	N;INDF;MASC+FEM;SG	N
århundrede	世紀	århundrede	世紀	N;INDF;NEUT;SG	N
århundrede	世紀	århundrede	世紀	N;INDF;NEUT;SG	N
århundrede	センチュリー	århundrede	センチュリー	N;INDF;NEUT;SG	N
stadig	まだ	stadig	まだ	ADV	ADV
sted	場所	sted	場所	N;INDF;NEUT;SG	N
sted	スポット	sted	スポット	N;INDF;NEUT;SG	N
sted	所在	sted	所在	N;INDF;NEUT;SG	N
sted	ロケーション	sted	ロケーション	N;INDF;NEUT;SG	N
sted	場所	sted	場所	N;INDF;NEUT;SG	N
center	センター	center	センター	N;INDF;NEUT;SG	N
center	中央	center	中央	N;INDF;NEUT;SG	N
center	中心	center	中心	N;INDF;NEUT;SG	N
center	中央	center	中央	N;INDF;NEUT;SG	N
center	センター	center	センター	N;INDF;NEUT;SG	N
center	中心	center	中心	N;INDF;NEUT;SG	N
forhold	リレーション	forhold	リレーション	N;INDF;NEUT;SG	N
forhold	比率	forhold	比率	N;INDF;NEUT;SG	N
forhold	リレーション	forhold	リレーション	N;INDF;NEUT;SG	N
kommer	来る	komme	来る	V;IND;PRS;FIN;ACT	V
især	特に	især	特に	ADV	ADV
især	特に	især	特に	ADV	ADV
kampe	マッチ	kamp	マッチ	N;INDF;MASC+FEM;PL	N
kampe	ファイティング	kamp	ファイティング	N;INDF;MASC+FEM;PL	N
kampe	ゲーム	kamp	ゲーム	N;INDF;MASC+FEM;PL	N
kampe	合戦	kamp	合戦	N;INDF;MASC+FEM;PL	N
går	歩く	gå	歩く	V;IND;PRS;FIN;ACT	V
form	図形	form	図形	N;INDF;MASC+FEM;SG	N
form	形状	form	形状	N;INDF;MASC+FEM;SG	N
form	シェイプ	form	シェイプ	N;INDF;MASC+FEM;SG	N
form	形式	form	形式	N;INDF;MASC+FEM;SG	N
nogen	誰	nogen	誰	PRO;MASC+FEM;SG	PRO
arbejde	作業	arbejde	作業	N;INDF;NEUT;SG	N
arbejde	仕事	arbejde	仕事	N;INDF;NEUT;SG	N
arbejde	ワーク	arbejde	ワーク	N;INDF;NEUT;SG	N
arbejde	作業	arbejde	作業	N;INDF;NEUT;SG	N
land	国名	land	国名	N;INDF;NEUT;SG	N
land	カントリー	land	カントリー	N;INDF;NEUT;SG	N
land	ランド	land	ランド	N;INDF;NEUT;SG	N
land	土地	land	土地	N;INDF;NEUT;SG	N
player	プレイヤー	play	プレイヤー	N;INDF;MASC+FEM;PL	N
player	プレーヤー	play	プレーヤー	N;INDF;MASC+FEM;PL	N
landet	国名	land	国名	N;DEF;NEUT;SG	N
landet	カントリー	land	カントリー	N;DEF;NEUT;SG	N
børn	子供	barn	子供	N;INDF;NEUT;PL	N
børn	子供	barn	子供	N;INDF;NEUT;PL	N
lidt	あまり	lidt	あまり	ADV	ADV
verden	世界	verden	世界	N;INDF;MASC+FEM;SG	N
verden	ワールド	verden	ワールド	N;INDF;MASC+FEM;SG	N
lang	長い	lang	長い	ADJ;INDF;MASC+FEM;SG	ADJ
plads	座席	plads	座席	N;INDF;MASC+FEM;SG	N
plads	場所	plads	場所	N;INDF;MASC+FEM;SG	N
plads	スポット	plads	スポット	N;INDF;MASC+FEM;SG	N
plads	スペース	plads	スペース	N;INDF;MASC+FEM;SG	N
plads	空間	plads	空間	N;INDF;MASC+FEM;SG	N
stort	大きい	stor	大きい	ADJ;INDF;NEUT;SG	ADJ
stort	大きな	stor	大きな	ADJ;INDF;NEUT;SG	ADJ
stort	大きい	stor	大きい	ADJ;INDF;NEUT;SG	ADJ
indeholder	含む	indeholde	含む	V;IND;PRS;FIN;ACT	V
sprog	言語	sprog	言語	N;INDF;NEUT;SG	N
sprog	言語	sprog	言語	N;INDF;NEUT;SG	N
kilder	ソース	kilde	ソース	N;INDF;MASC+FEM;PL	N
kilder	出典	kilde	出典	N;INDF;MASC+FEM;PL	N
mand	男性	mand	男性	N;INDF;MASC+FEM;SG	N
mand	オス	mand	オス	N;INDF;MASC+FEM;SG	N
mand	主人	mand	主人	N;INDF;MASC+FEM;SG	N
mand	男性	mand	男性	N;INDF;MASC+FEM;SG	N
vest	ウエスト	vest	ウエスト	N;INDF	N
vest	西部	vest	西部	N;INDF	N
vest	ベスト	vest	ベスト	N;INDF	N
vest	ウエスタン	vest	ウエスタン	N;INDF	N
medlemmer	メンバー	medlem	メンバー	N;INDF;NEUT;PL	N
lande	国名	land	国名	N;INDF;NEUT;PL	N
lande	カントリー	land	カントリー	N;INDF;NEUT;PL	N
lande	国々	land	国々	N;INDF;NEUT;PL	N
skuespiller	女優	skuespiller	女優	N;INDF;MASC+FEM;SG	N
skuespiller	俳優	skuespiller	俳優	N;INDF;MASC+FEM;SG	N
skuespiller	俳優	skuespiller	俳優	N;INDF;MASC+FEM;SG	N
liv	生命	liv	生命	N;INDF;NEUT;SG	N
liv	人生	liv	人生	N;INDF;NEUT;SG	N
liv	ライフ	liv	ライフ	N;INDF;NEUT;SG	N
liv	リブ	liv	リブ	N;INDF;NEUT;SG	N
dele	パーツ	del	パーツ	N;INDF;MASC+FEM;PL	N
dele	部品	del	部品	N;INDF;MASC+FEM;PL	N
dele	シェア	del	シェア	N;INDF;MASC+FEM;PL	N
fem	五	fem	五	NUM	NUM
personer	ピープル	person	ピープル	N;INDF;MASC+FEM;PL	N
øst	イースト	øst	イースト	N;INDF	N
forfatter	作家	forfatter	作家	N;INDF;MASC+FEM;SG	N
forfatter	ライター	forfatter	ライター	N;INDF;MASC+FEM;SG	N
forfatter	作家	forfatter	作家	N;INDF;MASC+FEM;SG	N
forfatter	著者	forfatter	著者	N;INDF;MASC+FEM;SG	N
forfatter	作者	forfatter	作者	N;INDF;MASC+FEM;SG	N
album	アルバム	album	アルバム	N;INDF;NEUT;SG	N
album	アルバム	album	アルバム	N;INDF;NEUT;SG	N
næsten	ほとんど	næsten	ほとんど	ADV	ADV
næsten	ほぼ	næsten	ほぼ	ADV	ADV
næsten	ほぼ	næsten	ほぼ	ADV	ADV
areal	面積	areal	面積	N;INDF;NEUT;SG	N
areal	領域	areal	領域	N;INDF;NEUT;SG	N
areal	エリア	areal	エリア	N;INDF;NEUT;SG	N
giver	与える	give	与える	V;IND;PRS;FIN;ACT	V
indbyggere	住民	indbygger	住民	N;INDF;MASC+FEM;PL	N
indbyggere	住民	indbygger	住民	N;INDF;MASC+FEM;PL	N
indbyggere	人口	indbygger	人口	N;INDF;MASC+FEM;PL	N
mennesker	ヒト	menneske	ヒト	N;INDF;NEUT;PL	N
mennesker	ピープル	menneske	ピープル	N;INDF;NEUT;PL	N
område	フィールド	område	フィールド	N;INDF;NEUT;SG	N
område	縄張り	område	縄張り	N;INDF;NEUT;SG	N
område	ゾーン	område	ゾーン	N;INDF;NEUT;SG	N
område	面積	område	面積	N;INDF;NEUT;SG	N
område	領域	område	領域	N;INDF;NEUT;SG	N
område	エリア	område	エリア	N;INDF;NEUT;SG	N
året	イヤー	år	イヤー	N;DEF;NEUT;SG	N
videre	さらに	videre	さらに	ADV	ADV
slaget	バトル	slag	バトル	N;DEF;NEUT;SG	N
måde	ウェイ	måde	ウェイ	N;INDF;MASC+FEM;SG	N
udgave	エディション	udgave	エディション	N;INDF;MASC+FEM;SG	N
udgave	バージョン	udgave	バージョン	N;INDF;MASC+FEM;SG	N
folk	ピープル	folk	ピープル	N;INDF;NEUT;PL	N
far	父親	far	父親	N;INDF;MASC+FEM;SG	N
kamp	ファイト	kamp	ファイト	N;INDF;MASC+FEM;SG	N
kamp	ゲーム	kamp	ゲーム	N;INDF;MASC+FEM;SG	N
kamp	闘争	kamp	闘争	N;INDF;MASC+FEM;SG	N
kamp	格闘	kamp	格闘	N;INDF;MASC+FEM;SG	N
kamp	バトル	kamp	バトル	N;INDF;MASC+FEM;SG	N
tiden	タイム	tid	タイム	N;DEF;MASC+FEM;SG	N
tiden	時間	tid	時間	N;DEF;MASC+FEM;SG	N
fil	ファイル	fil	ファイル	N;INDF;MASC+FEM;SG	N
musik	ミュージック	musik	ミュージック	N;INDF;MASC+FEM;SG	N
musik	音楽	musik	音楽	N;INDF;MASC+FEM;SG	N
krigen	戦争	krig	戦争	N;DEF;MASC+FEM;SG	N
station	ステーション	station	ステーション	N;INDF;MASC+FEM;SG	N
små	小さな	lille	小さな	ADJ;PL	ADJ
små	小さい	lille	小さい	ADJ;PL	ADJ
små	小さい	lille	小さい	ADJ;PL	ADJ
universitet	大学	universitet	大学	N;INDF;NEUT;SG	N
klubben	クラブ	klub	クラブ	N;DEF;MASC+FEM;SG	N
dage	日数	dag	日数	N;INDF;MASC+FEM;PL	N
bind	音量	bind	音量	N;INDF;NEUT;SG	N
bind	ボリューム	bind	ボリューム	N;INDF;NEUT;SG	N
bind	体積	bind	体積	N;INDF;NEUT;SG	N
bind	ボリューム	bind	ボリューム	N;INDF;NEUT;SG	N
bind	体積	bind	体積	N;INDF;NEUT;SG	N
division	師団	division	師団	N;INDF;MASC+FEM;SG	N
serien	シリーズ	serie	シリーズ	N;DEF;MASC+FEM;SG	N
data	データ	data	データ	N;INDF;NEUT;PL	N
konge	国王	konge	国王	N;INDF;MASC+FEM;SG	N
konge	キング	konge	キング	N;INDF;MASC+FEM;SG	N
periode	期間	periode	期間	N;INDF;MASC+FEM;SG	N
periode	ピリオド	periode	ピリオド	N;INDF;MASC+FEM;SG	N
antal	番号	antal	番号	N;INDF;NEUT;SG	N
antal	数値	antal	数値	N;INDF;NEUT;SG	N
antal	ナンバー	antal	ナンバー	N;INDF;NEUT;SG	N
formand	大統領	formand	大統領	N;INDF;MASC+FEM;SG	N
formand	社長	formand	社長	N;INDF;MASC+FEM;SG	N
formand	会長	formand	会長	N;INDF;MASC+FEM;SG	N
formand	議長	formand	議長	N;INDF;MASC+FEM;SG	N
stadion	スタジアム	stadion	スタジアム	N;INDF;NEUT;SG	N
position	ポジション	position	ポジション	N;INDF;MASC+FEM;SG	N
position	役職	position	役職	N;INDF;MASC+FEM;SG	N
områder	リージョン	område	リージョン	N;INDF;NEUT;PL	N
områder	地域	område	地域	N;INDF;NEUT;PL	N
hjælp	ヘルプ	hjælp	ヘルプ	N;INDF;MASC+FEM;SG	N
angreb	進撃	angreb	進撃	N;INDF;NEUT;SG	N
rolle	役割	rolle	役割	N;INDF;MASC+FEM;SG	N
leder	店長	leder	店長	N;INDF;MASC+FEM;SG	N
leder	支配	leder	支配	N;INDF;MASC+FEM;SG	N
leder	マネージャー	leder	マネージャー	N;INDF;MASC+FEM;SG	N
leder	マネージャ	leder	マネージャ	N;INDF;MASC+FEM;SG	N
leder	リーダー	leder	リーダー	N;INDF;MASC+FEM;SG	N
leder	社説	leder	社説	N;INDF;MASC+FEM;SG	N
perioden	期間	periode	期間	N;DEF;MASC+FEM;SG	N
perioden	ピリオド	periode	ピリオド	N;DEF;MASC+FEM;SG	N
rapport	レポート	rapport	レポート	N;INDF;MASC+FEM;SG	N
albummet	アルバム	album	アルバム	N;DEF;NEUT;SG	N
karriere	経歴	karriere	経歴	N;INDF;MASC+FEM;SG	N
karriere	キャリア	karriere	キャリア	N;INDF;MASC+FEM;SG	N
karriere	キャリア	karriere	キャリア	N;INDF;MASC+FEM;SG	N
karriere	求人	karriere	求人	N;INDF;MASC+FEM;SG	N
højde	高度	højde	高度	N;INDF;MASC+FEM;SG	N
højde	身長	højde	身長	N;INDF;MASC+FEM;SG	N
direkte	直接	direkte	直接	ADV	ADV
give	与える	give	与える	V;NFIN;ACT	V
præsident	大統領	præsident	大統領	N;INDF;MASC+FEM;SG	N
præsident	社長	præsident	社長	N;INDF;MASC+FEM;SG	N
familie	家族	familie	家族	N;INDF;MASC+FEM;SG	N
yderligere	さらに	yderligere	さらに	ADV;CMPR	ADV
steder	所在	sted	所在	N;INDF;NEUT;PL	N
steder	場所	sted	場所	N;INDF;NEUT;PL	N
steder	スポット	sted	スポット	N;INDF;NEUT;PL	N
gruppen	集団	gruppe	集団	N;DEF;MASC+FEM;SG	N
gruppen	グループ	gruppe	グループ	N;DEF;MASC+FEM;SG	N
krig	戦争	krig	戦争	N;INDF;MASC+FEM;SG	N
bare	ちょうど	bare	ちょうど	ADV	ADV
resultat	結果	resultat	結果	N;INDF;NEUT;SG	N
resultat	結果	resultat	結果	N;INDF;NEUT;SG	N
bedre	ベター	god	ベター	ADJ;CMPR	ADJ
museum	美術館	museum	美術館	N;INDF;NEUT;SG	N
museum	博物館	museum	博物館	N;INDF;NEUT;SG	N
tale	音声	tale	音声	N;INDF;MASC+FEM;SG	N
tale	スピーチ	tale	スピーチ	N;INDF;MASC+FEM;SG	N
tale	トーク	tale	トーク	N;INDF;MASC+FEM;SG	N
oprettet	作成	oprette	作成	V;INDF;SG;PST;V.PTCP	V
byer	都市	by	都市	N;INDF;MASC+FEM;PL	N
par	ペア	par	ペア	N;INDF;NEUT;SG	N
par	カップル	par	カップル	N;INDF;NEUT;SG	N
par	カップル	par	カップル	N;INDF;NEUT;SG	N
par	ペア	par	ペア	N;INDF;NEUT;SG	N
flag	国旗	flag	国旗	N;INDF;NEUT;SG	N
flag	国旗	flag	国旗	N;INDF;NEUT;SG	N
bog	書物	bog	書物	N;INDF;MASC+FEM;SG	N
bog	ブック	bog	ブック	N;INDF;MASC+FEM;SG	N
sæson	季節	sæson	季節	N;INDF;MASC+FEM;SG	N
sæson	シーズン	sæson	シーズン	N;INDF;MASC+FEM;SG	N
mænd	オス	mand	オス	N;INDF;MASC+FEM;PL	N
mænd	男性	mand	男性	N;INDF;MASC+FEM;PL	N
mænd	メン	mand	メン	N;INDF;MASC+FEM;PL	N
mænd	男性	mand	男性	N;INDF;MASC+FEM;PL	N
mænd	オス	mand	オス	N;INDF;MASC+FEM;PL	N
tidspunkt	タイム	tidspunkt	タイム	N;INDF;NEUT;SG	N
tidspunkt	時間	tidspunkt	時間	N;INDF;NEUT;SG	N
cup	カップ	cup	カップ	N;INDF;MASC+FEM;SG	N
cup	コップ	cup	コップ	N;INDF;MASC+FEM;SG	N
professor	教授	professor	教授	N;INDF;MASC+FEM;SG	N
skole	学校	skole	学校	N;INDF;MASC+FEM;SG	N
skole	スクール	skole	スクール	N;INDF;MASC+FEM;SG	N
familien	家族	familie	家族	N;DEF;MASC+FEM;SG	N
bandet	バンド	band	バンド	N;DEF;NEUT;SG	N
kommunen	市町村	kommune	市町村	N;DEF;MASC+FEM;SG	N
høj	高い	høj	高い	ADJ;INDF;MASC+FEM;SG	ADJ
høj	高い	høj	高い	ADJ;INDF;MASC+FEM;SG	ADJ
hær	軍隊	hær	軍隊	N;INDF;MASC+FEM;SG	N
hær	陸軍	hær	陸軍	N;INDF;MASC+FEM;SG	N
sang	歌曲	sang	歌曲	N;INDF;MASC+FEM;SG	N
sang	ソング	sang	ソング	N;INDF;MASC+FEM;SG	N
floden	河川	flod	河川	N;DEF;MASC+FEM;SG	N
kategori	カテゴリー	kategori	カテゴリー	N;INDF;MASC+FEM;SG	N
kategori	区分	kategori	区分	N;INDF;MASC+FEM;SG	N
kategori	カテゴリ	kategori	カテゴリ	N;INDF;MASC+FEM;SG	N
altid	常に	altid	常に	ADV	ADV
altid	いつも	altid	いつも	ADV	ADV
vej	ウェイ	vej	ウェイ	N;INDF;MASC+FEM;SG	N
vej	道路	vej	道路	N;INDF;MASC+FEM;SG	N
unge	若い	ung	若い	ADJ;PL	ADJ
god	良い	god	良い	ADJ;INDF;MASC+FEM;SG	ADJ
kirken	教会堂	kirk	教会堂	N;DEF;MASC+FEM;SG	N
kirken	教会	kirk	教会	N;DEF;MASC+FEM;SG	N
university	大学	university	大学	N;INDF;MASC+FEM;SG	N
tal	フィギュア	tal	フィギュア	N;INDF;NEUT;PL	N
tal	番号	tal	番号	N;INDF;NEUT;PL	N
tal	数値	tal	数値	N;INDF;NEUT;PL	N
tal	ナンバー	tal	ナンバー	N;INDF;NEUT;PL	N
tal	数字	tal	数字	N;INDF;NEUT;PL	N
tal	数値	tal	数値	N;INDF;NEUT;PL	N
league	リーグ	league	リーグ	N;INDF;MASC+FEM;SG	N
gammel	古い	gammel	古い	ADJ;INDF;MASC+FEM;SG	ADJ
tilfælde	事例	tilfælde	事例	N;INDF;NEUT;SG	N
tilfælde	ケース	tilfælde	ケース	N;INDF;NEUT;SG	N
ord	ワード	ord	ワード	N;INDF;NEUT;PL	N
ord	言葉	ord	言葉	N;INDF;NEUT;PL	N
ord	単語	ord	単語	N;INDF;NEUT;PL	N
ord	言葉	ord	言葉	N;INDF;NEUT;PL	N
ord	単語	ord	単語	N;INDF;NEUT;PL	N
lange	長い	lang	長い	ADJ;PL	ADJ
holdt	開催	holde	開催	V;IND;PST;FIN;ACT	V
politiker	政治家	politiker	政治家	N;INDF;MASC+FEM;SG	N
kvinder	女性	kvinde	女性	N;INDF;MASC+FEM;PL	N
top	上部	top	上部	N;INDF;MASC+FEM;SG	N
top	トップ	top	トップ	N;INDF;MASC+FEM;SG	N
arbejder	働く	arbejde	働く	V;IND;PRS;FIN;ACT	V
image	画像	image	画像	N;INDF;NEUT;SG	N
image	イメージ	image	イメージ	N;INDF;NEUT;SG	N
nyt	新しい	ny	新しい	ADJ;INDF;NEUT;SG	ADJ
nyt	新規	ny	新規	ADJ;INDF;NEUT;SG	ADJ
art	アート	art	アート	N;INDF;MASC+FEM;SG	N
art	芸術	art	芸術	N;INDF;MASC+FEM;SG	N
art	美術	art	美術	N;INDF;MASC+FEM;SG	N
art	ネイチャー	art	ネイチャー	N;INDF;MASC+FEM;SG	N
nummer	番号	nummer	番号	N;INDF;NEUT;SG	N
nummer	数値	nummer	数値	N;INDF;NEUT;SG	N
nummer	ナンバー	nummer	ナンバー	N;INDF;NEUT;SG	N
fortsatte	続き	fortsætte	続く	V;PST;V.PTCP	V
fortsatte	継続	fortsætte	継続	V;PST;V.PTCP	V
oprindelige	オリジナル	oprindelig	オリジナル	ADJ;PL	ADJ
jorden	地球	jord	地球	N;DEF;MASC+FEM;SG	N
jorden	アース	jord	アース	N;DEF;MASC+FEM;SG	N
jorden	地面	jord	地面	N;DEF;MASC+FEM;SG	N
jorden	グラウンド	jord	グラウンド	N;DEF;MASC+FEM;SG	N
type	種類	type	種類	N;INDF;MASC+FEM;SG	N
type	タイプ	type	タイプ	N;INDF;MASC+FEM;SG	N
vand	ウォーター	vand	ウォーター	N;INDF;NEUT;SG	N
file	ファイル	file	ファイル	N;INDF;MASC+FEM;SG	N
regering	政府	regering	政府	N;INDF;MASC+FEM;SG	N
serie	シリーズ	serie	シリーズ	N;INDF;MASC+FEM;SG	N
parti	パーティ	parti	パーティ	N;INDF;NEUT;SG	N
parti	パーティー	parti	パーティー	N;INDF;NEUT;SG	N
parti	バッチ	parti	バッチ	N;INDF;NEUT;SG	N
version	バージョン	version	バージョン	N;INDF;MASC+FEM;SG	N
navne	名前	navn	名前	N;INDF;NEUT;PL	N
navne	名称	navn	名称	N;INDF;NEUT;PL	N
støtte	扶助	støtte	扶助	N;INDF;MASC+FEM;SG	N
person	人物	person	人物	N;INDF;MASC+FEM;SG	N
lov	法律	lov	法律	N	N
lov	法学	lov	法学	N	N
titel	肩書	titel	肩書	N;INDF;MASC+FEM;SG	N
titel	称号	titel	称号	N;INDF;MASC+FEM;SG	N
titel	タイトル	titel	タイトル	N;INDF;MASC+FEM;SG	N
gode	良い	god	良い	ADJ;PL	ADJ
region	リージョン	region	リージョン	N;INDF;MASC+FEM;SG	N
region	地域	region	地域	N;INDF;MASC+FEM;SG	N
love	ラブ	love	ラブ	N;INDF;MASC+FEM;SG	N
love	法律	love	法律	N;INDF;MASC+FEM;SG	N
dommer	ジャッジ	dommer	ジャッジ	N;INDF;MASC+FEM;SG	N
dommer	裁判官	dommer	裁判官	N;INDF;MASC+FEM;SG	N
dommer	審判	dommer	審判	N;INDF;MASC+FEM;SG	N
sange	ソング	sang	ソング	N;INDF;MASC+FEM;PL	N
spille	遊ぶ	spille	遊ぶ	V;NFIN;ACT	V
spille	プレイ	spille	プレイ	V;NFIN;ACT	V
spille	遊び	spille	遊ぶ	V;NFIN;ACT	V
lokale	ローカル	lokal	ローカル	ADJ;PL	ADJ
kilometer	キロメートル	kilometer	キロメートル	N;INDF;MASC+FEM;PL	N
kilometer	マイル	kilometer	マイル	N;INDF;MASC+FEM;PL	N
kilometer	キロメートル	kilometer	キロメートル	N;INDF;MASC+FEM;PL	N
kilometer	キロ	kilometer	キロ	N;INDF;MASC+FEM;PL	N
kilometer	キロメートル	kilometer	キロメートル	N;INDF;MASC+FEM;PL	N
billede	フォト	billede	フォト	N;INDF;NEUT;SG	N
billede	写真	billede	写真	N;INDF;NEUT;SG	N
billede	画像	billede	画像	N;INDF;NEUT;SG	N
billede	イメージ	billede	イメージ	N;INDF;NEUT;SG	N
billede	画像	billede	画像	N;INDF;NEUT;SG	N
billede	写真	billede	写真	N;INDF;NEUT;SG	N
system	システム	system	システム	N;INDF;NEUT;SG	N
enkelt	シンプル	enkelt	シンプル	ADJ;INDF;SG	ADJ
enkelt	簡単	enkelt	簡単	ADJ;INDF;SG	ADJ
enkelt	単純	enkelt	単純	ADJ;INDF;SG	ADJ
billeder	画像	billede	画像	N;INDF;NEUT;PL	N
billeder	イメージ	billede	イメージ	N;INDF;NEUT;PL	N
røde	赤い	rød	赤い	ADJ;PL	ADJ
modtog	受け取り	modtage	受け取る	V;IND;PST;FIN;ACT	V
modtog	受信	modtage	受信	V;IND;PST;FIN;ACT	V
afsnit	セクション	afsnit	セクション	N;INDF;NEUT;SG	N
afsnit	肩書	afsnit	肩書	N;INDF;NEUT;SG	N
afsnit	称号	afsnit	称号	N;INDF;NEUT;SG	N
afsnit	タイトル	afsnit	タイトル	N;INDF;NEUT;SG	N
givet	与え	give	与える	V;INDF;SG;PST;V.PTCP	V
primært	主に	primært	主に	ADV	ADV
primært	主に	primært	主に	ADV	ADV
direktør	監督	direktør	監督	N;INDF;MASC+FEM;SG	N
direktør	取締役	direktør	取締役	N;INDF;MASC+FEM;SG	N
