del	de	del	de	ADP;MASC;SG	ADP
personas	xente	persona	xente	N;FEM;PL	N
personas	persoas	persona	persoa	N;FEM;PL	N
personas	pobo	persona	pobo	N;FEM;PL	N
centro	los	centro	lo	N;MASC;SG	N
centro	centro	centro	centro	N;MASC;SG	N
centro	centro	centro	centro	N;MASC;SG	N
centro	centro	centro	centro	N;MASC;SG	N
centro	cerne	centro	cerne	N;MASC;SG	N
julio	xullo	julio	xullo	N	N
país	país	país	país	N;MASC;SG	N
web	sitio	web	sitio	N;FEM;SG	N
web	web	web	web	N;FEM;SG	N
web	páxina	web	páxina	N;FEM;SG	N
web	web	web	web	N;FEM;SG	N
internacional	internacional	internacional	internacional	ADJ;SG	ADJ
internacional	internacionais	internacional	internacional	ADJ;SG	ADJ
santa	sagrado	santo	sagrar	ADJ;FEM;SG	ADJ
santa	santo	santo	santo	ADJ;FEM;SG	ADJ
santa	santo	santo	santo	ADJ;FEM;SG	ADJ
santa	san	santo	ser	ADJ;FEM;SG	ADJ
antes	antes	antes	antes	ADV	ADV
antes	máis	antes	máis	ADV	ADV
antes	cedo	antes	cedo	ADV	ADV
antes	antes	antes	antes	ADV	ADV
oficial	oficial	oficial	oficial	ADJ;SG	ADJ
oficial	oficial	oficial	oficial	ADJ;SG	ADJ
quien	quen	quien	quen	PRO;SG	PRO
quien	que	quien	que	PRO;SG	PRO
mundo	mundo	mundo	mundo	N;MASC;SG	N
tanto	tanto	tanto	tanto	ADV	ADV
mayo	maio	mayo	maio	N	N
algunos	algo	alguno	algo	PRO;MASC;PL	PRO
temporada	tempada	temporada	tempada	N;FEM;SG	N
luego	logo	luego	logo	ADV	ADV
luego	despois	luego	despois	ADV	ADV
luego	entón	luego	entón	ADV	ADV
luego	daquela	luego	daquela	ADV	ADV
marzo	marzo	marzo	marzo	N	N
marzo	marcha	marzo	marcha	N	N
día	días	día	día	N;MASC;SG	N
día	día	día	día	N;MASC;SG	N
enero	xaneiro	enero	xaneiro	N	N
número	número	número	número	N;MASC;SG	N
agosto	agosto	agosto	agosto	N	N
diciembre	decembro	diciembre	decembro	N	N
artículo	artigo	artículo	artigo	N;MASC;SG	N
noviembre	novembro	noviembre	novembro	N	N
estaba	foi	estar	ser	V;IND;SG;3;IPFV;FIN	V
abril	abril	abril	abril	N	N
región	rexión	región	rexión	N;FEM;SG	N
sistema	sistema	sistema	sistema	N;MASC;SG	N
habitantes	habitantes	habitante	habitante	N;PL	N
habitantes	residentes	habitante	residente	N;PL	N
maría	marie	maría	marie	N;FEM;SG	N
maría	maría	maría	maría	N;FEM;SG	N
maría	maria	maría	maria	N;FEM;SG	N
maría	maría	maría	maría	N;FEM;SG	N
real	real	real	real	ADJ;SG	ADJ
real	royal	real	royal	ADJ;SG	ADJ
real	real	real	real	ADJ;SG	ADJ
esto	isto	este	isto	PRO;SG	PRO
mundial	mundial	mundial	mundial	ADJ;SG	ADJ
mundial	mundial	mundial	mundial	ADJ;SG	ADJ
mundial	global	mundial	global	ADJ;SG	ADJ
mundial	globais	mundial	global	ADJ;SG	ADJ
música	música	música	música	N;FEM;SG	N
presidente	presidente	presidente	presidente	N;MASC;SG	N
presidente	presidente	presidente	presidente	N;MASC;SG	N
presidente	vicepresidente	presidente	vicepresidente	N;MASC;SG	N
casa	casa	casa	casa	N;FEM;SG	N
casa	fogar	casa	fogar	N;FEM;SG	N
casa	casa	casa	casa	N;FEM;SG	N
casa	á	casa	á	N;FEM;SG	N
casa	na	casa	na	N;FEM;SG	N
sólo	só	sólo	só	ADV	ADV
sólo	só	sólo	só	ADV	ADV
álbum	ubicación	álbum	ubicación	N;MASC;SG	N
cuenta	contan	contar	contar	V;IND;SG;3;PRS;FIN	V
cuenta	contar	contar	contar	V;IND;SG;3;PRS;FIN	V
junio	xuño	junio	xuño	N	N
febrero	febreiro	febrero	febreiro	N	N
ella	ela	él	el	PRO;FEM;SG;3	PRO
ella	que	él	que	PRO;FEM;SG;3	PRO
ella	ela	él	el	PRO;FEM;SG;3	PRO
pueden	poden	poder	poder	V;IND;PL;3;PRS;FIN	V
pueden	podo	poder	podar	V;IND;PL;3;PRS;FIN	V
pueden	podes	poder	poder	V;IND;PL;3;PRS;FIN	V
pueden	podemos	poder	poder	V;IND;PL;3;PRS;FIN	V
pueden	pode	poder	poder	V;IND;PL;3;PRS;FIN	V
solo	só	solo	só	ADV	ADV
solo	só	solo	só	ADV	ADV
solo	só	solo	só	ADV	ADV
tipo	tipo	tipo	tipo	N;MASC;SG	N
tipo	clase	tipo	clase	N;MASC;SG	N
obra	traballo	obra	traballo	N;FEM;SG	N
iglesia	igrexa	iglesia	igrexir	N;FEM;SG	N
iglesia	á	iglesia	á	N;FEM;SG	N
película	película	película	película	N;FEM;SG	N
película	filme	película	filme	N;FEM;SG	N
película	cine	película	cinir	N;FEM;SG	N
película	cinema	película	cinema	N;FEM;SG	N
película	película	película	película	N;FEM;SG	N
película	filme	película	filme	N;FEM;SG	N
entonces	logo	entonces	logo	ADV	ADV
entonces	despois	entonces	despois	ADV	ADV
entonces	entón	entonces	entón	ADV	ADV
entonces	daquela	entonces	daquela	ADV	ADV
entonces	así	entonces	así	ADV	ADV
entonces	entón	entonces	entón	ADV	ADV
entonces	tan	entonces	tan	ADV	ADV
banda	banda	banda	banda	N;FEM;SG	N
cuatro	4	cuatro	4	NUM;PL	NUM
zona	zona	zona	zona	N;FEM;SG	N
zona	área	zona	área	N;FEM;SG	N
zona	zona	zona	zona	N;FEM;SG	N
televisión	televisión	televisión	televisión	N;FEM;SG	N
televisión	tele	televisión	telar	N;FEM;SG	N
televisión	programa	televisión	programa	N;FEM;SG	N
televisión	televisión	televisión	televisión	N;FEM;SG	N
televisión	tele	televisión	telar	N;FEM;SG	N
principal	principal	principal	principal	ADJ;SG	ADJ
principal	importante	principal	importante	ADJ;SG	ADJ
principal	director	principal	director	ADJ;SG	ADJ
principal	principal	principal	principal	ADJ;SG	ADJ
tuvo	tiña	tener	ter	V;IND;SG;3;PST;FIN	V
tuvo	tiven	tener	ter	V;IND;SG;3;PST;FIN	V
carlos	charles	carlo	charles	N;MASC;SG	N
rey	xurxo	rey	xurxo	N;MASC;SG	N
premio	nobel	premio	nobel	N;MASC;SG	N
premio	premio	premio	premio	N;MASC;SG	N
premio	premio	premio	premio	N;MASC;SG	N
hace	fai	hacer	facer	V;IND;SG;3;PRS;FIN	V
hace	fai	hacer	facer	V;IND;SG;3;PRS;FIN	V
edición	edición	edición	edición	N;FEM;SG	N
tenía	tiña	tener	ter	V;IND;SG;3;IPFV;FIN	V
tenía	tiven	tener	ter	V;IND;SG;3;IPFV;FIN	V
premios	premios	premio	premio	N;MASC;PL	N
premios	premio	premio	premio	N;MASC;PL	N
sitio	sitio	sitio	sitio	N;MASC;SG	N
sitio	web	sitio	web	N;MASC;SG	N
sitio	páxina	sitio	páxina	N;MASC;SG	N
sitio	zona	sitio	zona	N;MASC;SG	N
sitio	lugar	sitio	lugar	N;MASC;SG	N
bien	ben	bien	ben	ADV	ADV
bien	ben	bien	ben	ADV	ADV
bien	ben	bien	ben	ADV	ADV
bien	moi	bien	moi	ADV	ADV
segundo	segunda	segundo	segundo	ADJ;MASC;SG	ADJ
mar	mar	mar	mar	N;SG	N
mar	océano	mar	océano	N;SG	N
mar	océanos	mar	océano	N;SG	N
poco	pouco	poco	pouco	ADV	ADV
orden	orde	orden	orde	N;MASC;SG	N
orden	xiro	orden	xiro	N;MASC;SG	N
orden	postal	orden	postal	N;MASC;SG	N
estadounidense	estadounidense	estadounidense	estadounidense	ADJ;SG	ADJ
estadounidense	americana	estadounidense	americano	ADJ;SG	ADJ
estadounidense	americano	estadounidense	americano	ADJ;SG	ADJ
agua	auga	agua	auga	N;FEM;SG	N
tierra	terra	tierra	terra	N;FEM;SG	N
tierra	mundo	tierra	mundo	N;FEM;SG	N
tierra	terra	tierra	terra	N;FEM;SG	N
tierra	país	tierra	país	N;FEM;SG	N
tierra	terras	tierra	terra	N;FEM;SG	N
tierra	chan	tierra	chan	N;FEM;SG	N
tierra	terra	tierra	terra	N;FEM;SG	N
título	título	título	título	N;MASC;SG	N
ellos	eles	él	el	PRO;MASC;PL;3	PRO
ellos	que	él	que	PRO;MASC;PL;3	PRO
ellos	eles	él	el	PRO;MASC;PL;3	PRO
earth	terra	earth	terra	N	N
earth	mundo	earth	mundo	N	N
están	son	estar	ser	V;IND;PL;3;PRS;FIN	V
están	hai	estar	haber	V;IND;PL;3;PRS;FIN	V
división	división	división	división	N;FEM;SG	N
canción	canción	canción	canción	N;FEM;SG	N
canción	cantiga	canción	cantiga	N;FEM;SG	N
fecha	cita	fecha	cita	N;FEM;SG	N
fecha	día	fecha	día	N;FEM;SG	N
fecha	data	fecha	data	N;FEM;SG	N
república	república	república	república	N;FEM;SG	N
trabajo	traballo	trabajo	traballo	N;MASC;SG	N
trabajo	traballo	trabajo	traballo	N;MASC;SG	N
especie	especie	especie	especie	N;FEM;SG	N
especie	especies	especie	especie	N;FEM;SG	N
caso	caso	caso	caso	N;MASC;SG	N
dentro	dentro	dentro	dentro	ADV	ADV
color	cor	color	cor	N;MASC;SG	N
color	cores	color	cora	N;MASC;SG	N
color	cor	color	cor	N;MASC;SG	N
distrito	distrito	distrito	distrito	N;MASC;SG	N
superficie	superficie	superficie	superficie	N;FEM;SG	N
superficie	área	superficie	área	N;FEM;SG	N
superficie	zona	superficie	zona	N;FEM;SG	N
copa	cunca	copa	cunca	N;FEM;SG	N
copa	café	copa	café	N;FEM;SG	N
línea	liña	línea	liña	N;FEM;SG	N
línea	fila	línea	fila	N;FEM;SG	N
francisco	francisco	francisco	francisco	N;MASC;SG	N
siguiente	seguintes	siguiente	seguinte	ADJ;SG	ADJ
siguiente	seguinte	siguiente	seguinte	ADJ;SG	ADJ
siguiente	próxima	siguiente	próximo	ADJ;SG	ADJ
siguiente	seguinte	siguiente	seguinte	ADJ;SG	ADJ
siguiente	próximo	siguiente	próximo	ADJ;SG	ADJ
área	área	área	área	N;FEM;SG	N
área	zona	área	zona	N;FEM;SG	N
grandes	grande	grande	grande	ADJ;PL	ADJ
grandes	gran	grande	gran	ADJ;PL	ADJ
grandes	grandes	grande	grande	ADJ;PL	ADJ
grandes	grande	grande	grande	ADJ;PL	ADJ
grandes	grandes	grande	grande	ADJ;PL	ADJ
grandes	gran	grande	gran	ADJ;PL	ADJ
muerte	morte	muerte	morte	N;FEM;SG	N
política	política	política	política	N;FEM;SG	N
política	póliza	política	póliza	N;FEM;SG	N
política	política	política	política	N;FEM;SG	N
política	políticas	política	política	N;FEM;SG	N
menos	menos	menos	menos	ADV	ADV
largo	longo	largo	longo	ADJ;MASC;SG	ADJ
largo	longa	largo	longo	ADJ;MASC;SG	ADJ
buenos	bo	buen	bo	ADJ;MASC;PL	ADJ
buenos	boa	buen	bo	ADJ;MASC;PL	ADJ
buenos	boas	buen	bo	ADJ;MASC;PL	ADJ
hijo	fillo	hijo	fillo	N;MASC;SG	N
algunas	algo	alguno	algo	PRO;FEM;PL	PRO
carrera	carreira	carrera	carreira	N;FEM;SG	N
carrera	carreira	carrera	carreira	N;FEM;SG	N
carrera	raza	carrera	raza	N;FEM;SG	N
poder	poder	poder	poder	V;NFIN	V
pueblo	cidade	pueblo	cidade	N;MASC;SG	N
pueblo	pobo	pueblo	pobo	N;MASC;SG	N
pueblo	vila	pueblo	vila	N;MASC;SG	N
pueblo	aldea	pueblo	aldea	N;MASC;SG	N
pueblo	xente	pueblo	xente	N;MASC;SG	N
pueblo	persoas	pueblo	persoa	N;MASC;SG	N
pueblo	pobo	pueblo	pobo	N;MASC;SG	N
pueblo	aldea	pueblo	aldea	N;MASC;SG	N
pueblo	pobo	pueblo	pobo	N;MASC;SG	N
pueblo	vila	pueblo	vila	N;MASC;SG	N
departamento	departamento	departamento	departamento	N;MASC;SG	N
departamento	axentes	departamento	axente	N;MASC;SG	N
departamento	apartamento	departamento	apartamento	N;MASC;SG	N
departamento	piso	departamento	piso	N;MASC;SG	N
localidades	lugares	localidad	lugar	N;FEM;PL	N
localidades	sitios	localidad	sitio	N;FEM;PL	N
localidades	lugares	localidad	lugar	N;FEM;PL	N
hizo	fixo	hacer	facer	V;IND;SG;3;PST;FIN	V
veces	veces	vez	vez	N;FEM;PL	N
veces	tempos	vez	tempo	N;FEM;PL	N
reino	reino	reino	reino	N;MASC;SG	N
reino	ceos	reino	ceos	N;MASC;SG	N
central	primordiais	central	primordial	ADJ;SG	ADJ
ejemplo	mostra	ejemplo	mostra	N;MASC;SG	N
ejemplo	exemplo	ejemplo	exemplo	N;MASC;SG	N
padre	pai	padre	pai	N;MASC;SG	N
padre	padre	padre	padre	N;MASC;SG	N
campo	campo	campo	campo	N;MASC;SG	N
campo	campo	campo	campo	N;MASC;SG	N
campo	campos	campo	campo	N;MASC;SG	N
campo	terreo	campo	terreo	N;MASC;SG	N
campo	foxa	campo	foxa	N;MASC;SG	N
campo	campo	campo	campo	N;MASC;SG	N
campo	campamento	campo	campamento	N;MASC;SG	N
campo	acampamento	campo	acampamento	N;MASC;SG	N
isla	illa	isla	illa	N;FEM;SG	N
hacer	facer	hacer	facer	V;NFIN	V
hacer	facer	hacer	facer	V;NFIN	V
hacer	facer	hacer	facer	V;NFIN	V
hacer	facendo	hacer	facer	V;NFIN	V
misma	mesmo	mismo	mesmo	DET;FEM;SG	DET
misma	mesmas	mismo	mesmo	DET;FEM;SG	DET
misma	mesma	mismo	mesmo	DET;FEM;SG	DET
países	países	país	país	N;MASC;PL	N
países	paises	país	país	N;MASC;PL	N
frente	fronte	frente	fronte	N	N
director	dirección	director	dirección	N;MASC;SG	N
días	días	día	día	N;MASC;PL	N
española	español	español	español	ADJ;FEM;SG	ADJ
española	española	español	español	ADJ;FEM;SG	ADJ
versión	versión	versión	versión	N;FEM;SG	N
actual	actual	actual	actual	ADJ;SG	ADJ
actual	actuais	actual	actual	ADJ;SG	ADJ
actual	corrente	actual	corrente	ADJ;SG	ADJ
momento	momento	momento	momento	N;MASC;SG	N
momento	intre	momento	intre	N;MASC;SG	N
lista	lista	lista	lista	N;FEM;SG	N
lista	preparados	lista	preparar	N;FEM;SG	N
lista	listo	lista	listo	N;FEM;SG	N
lista	preparado	lista	preparado	N;FEM;SG	N
lista	lista	lista	lista	N;FEM;SG	N
lista	listaxe	lista	listaxe	N;FEM;SG	N
densidad	densidade	densidad	densidade	N;FEM;SG	N
tienen	ter	tener	ter	V;IND;PL;3;PRS;FIN	V
tienen	teñen	tener	ter	V;IND;PL;3;PRS;FIN	V
tienen	temos	tener	ter	V;IND;PL;3;PRS;FIN	V
tienen	teño	tener	ter	V;IND;PL;3;PRS;FIN	V
ejército	exército	ejército	exército	N;MASC;SG	N
ejército	exército	ejército	exército	N;MASC;SG	N
porque	porque	porque	porque	CONJ	CONJ
estación	comisaría	estación	comisar	N;FEM;SG	N
estación	estación	estación	estación	N;FEM;SG	N
actualmente	actualmente	actualmente	actual	ADV	ADV
desarrollo	desenvolvemento	desarrollo	desenvolvemento	N;MASC;SG	N
desarrollo	proxecto	desarrollo	proxecto	N;MASC;SG	N
escuela	escolas	escuela	escola	N;FEM;SG	N
escuela	instituto	escuela	instituto	N;FEM;SG	N
escuela	escola	escuela	escola	N;FEM;SG	N
escuela	colexio	escuela	colexio	N;FEM;SG	N
programa	programa	programa	programa	N;MASC;SG	N
información	información	información	información	N;FEM;SG	N
importante	importante	importante	importante	ADJ;SG	ADJ
importante	importantes	importante	importante	ADJ;SG	ADJ
último	último	último	último	ADJ;MASC;SG	ADJ
último	últimos	último	último	ADJ;MASC;SG	ADJ
último	pasado	último	pasado	ADJ;MASC;SG	ADJ
último	última	último	último	ADJ;MASC;SG	ADJ
último	últimos	último	último	ADJ;MASC;SG	ADJ
último	último	último	último	ADJ;MASC;SG	ADJ
último	últimas	último	último	ADJ;MASC;SG	ADJ
canciones	cancións	canción	canción	N;FEM;PL	N
canciones	canción	canción	canción	N;FEM;PL	N
uso	uso	uso	uso	N;MASC;SG	N
juegos	xogos	juego	xogo	N;MASC;PL	N
juegos	videoxogos	juego	videoxogos	N;MASC;PL	N
base	base	base	base	N;SG	N
punto	momento	punto	momento	N;MASC;SG	N
punto	punto	punto	punto	N;MASC;SG	N
posición	posición	posición	posición	N;FEM;SG	N
partidos	mistos	partido	misto	N;MASC;PL	N
partidos	partidos	partido	partido	N;MASC;PL	N
grupos	dous	grupo	dous	N;MASC;PL	N
grupos	grupos	grupo	grupo	N;MASC;PL	N
miembros	membros	miembro	membro	N;MASC;PL	N
pedro	pedro	pedro	pedro	N;MASC;SG	N
capital	capital	capital	capital	N;FEM;SG	N
capital	capitais	capital	capital	N;FEM;SG	N
primeros	primeiras	primero	primeiro	ADJ;MASC;PL	ADJ
primeros	primeiro	primero	primeiro	ADJ;MASC;PL	ADJ
primeros	primeira	primero	primeiro	ADJ;MASC;PL	ADJ
teatro	teatro	teatro	teatro	N;MASC;SG	N
teatro	recinto	teatro	recinto	N;MASC;SG	N
teatro	teatro	teatro	teatro	N;MASC;SG	N
cualquier	calquera	cualquiera	calquera	DET;SG	DET
cualquier	ningún	cualquiera	ningún	DET;SG	DET
datos	datos	dato	dato	N;MASC;PL	N
datos	puntos	dato	punto	N;MASC;PL	N
datos	información	dato	información	N;MASC;PL	N
