neueren	новіші	neu	новіший	ADJ	ADJ;NOM;RL;PL
kopiert	скопійовано	kopieren	скопійовано	V;V.PTCP	V;PFV;IND;0;FIN
dünn	тонка	dünn	тонкий	ADJ	ADJ;NOM;FEM;SG
dünn	тонкі	dünn	тонкий	ADJ	ADJ;NOM;PL
dünn	тонкий	dünn	тонкий	ADJ	ADJ;NOM;MASC;SG
dünn	розріджена	dünn	розріджений	ADJ	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
berechnet	вираховується	berechnen	вираховуватися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
berechnet	розраховано	berechnen	розраховано	V;V.PTCP	V;PFV;IND;0;FIN
verlieren	втрачаємо	verlieren	втрачати	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN
verlieren	випустити	verlieren	випустити	V;NFIN	V;PFV;NFIN
verlieren	втратить	verlieren	втратити	V;NFIN	V;PFV;IND;SG;3;FUT;FIN
verlieren	програє	verlieren	програти	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
verlieren	втратити	verlieren	втратити	V;NFIN	V;PFV;NFIN
verlieren	програти	verlieren	програти	V;NFIN	V;PFV;NFIN
verarbeitet	опрацювати	verarbeiten	опрацювати	V;V.PTCP	V;PFV;NFIN
verarbeitet	оброблено	verarbeiten	обробити	V;V.PTCP	V;PFV;IND;0;FIN
gültigen	чинного	gültig	чинний	ADJ	ADJ;GEN;MASC;SG
gültigen	дійсний	gültig	дійсний	ADJ	ADJ;NOM;MASC;SG
gültigen	чинний	gültig	чинний	ADJ	ADJ;NOM;MASC;SG
gültigen	чинну	gültig	чинний	ADJ	ADJ;ACC;FEM;SG
vorn	спереду	vorn	спереду	ADV	ADV
wohnen	жити	wohnen	жити	V;NFIN	V;IPFV;NFIN
wohnen	живу	wohnen	жити	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
zeichnen	намалювати	zeichnen	намалювати	V;NFIN	V;PFV;NFIN
zeichnen	малювати	zeichnen	малювати	V;NFIN	V;IPFV;NFIN
zeichnen	роздати	zeichnen	роздати	V;NFIN	V;PFV;NFIN
marianne	маріанна	marianne	маріанний	N;NOM;FEM;SG	N;ANIM;NOM;FEM;SG
österreichisch	австрійська	österreichisch	австрійський	ADJ	ADJ;NOM;FEM;SG
österreichisch	австрійський	österreichisch	австрійський	ADJ	ADJ;NOM;MASC;SG
anfangen	запустити	anfangen	запустити	V;NFIN	V;PFV;NFIN
anfangen	розпочати	anfangen	розпочати	V;NFIN	V;PFV;NFIN
anfangen	запускати	anfangen	запускати	V;NFIN	V;IPFV;NFIN
anfangen	почати	anfangen	почати	V;NFIN	V;PFV;NFIN
anfangen	починаємо	anfangen	починати	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN
arabische	арабські	arabisch	арабський	ADJ;NOM;FEM;PL	ADJ;NOM;PL
ankunft	прихід	ankunft	прихід	N;FEM;SG	N;INAN;NOM;MASC;SG
ankunft	приїзд	ankunft	приїзд	N;FEM;SG	N;INAN;NOM;MASC;SG
ankunft	прибуття	ankunft	прибуття	N;FEM;SG	N;INAN;NOM;NEUT;SG
ankunft	прибуття	ankunft	прибуття	N;FEM;SG	N;INAN;NOM;NEUT;SG
verändern	змінити	verändern	змінити	V;NFIN	V;PFV;NFIN
befreit	звільнено	befreien	звільнити	V;V.PTCP	V;PFV;IND;0;FIN
naturschutz	природня	naturschutz	природній	ADJ	ADJ;NOM;FEM;SG
erteilt	видала	erteilen	видати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
erteilt	випущено	erteilen	випустити	V;V.PTCP	V;PFV;IND;0;FIN
erteilt	розуміється	erteilen	розумітися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
nordischen	скандинавських	nordisch	скандинавський	ADJ	ADJ;GEN;PL
gebeten	запитали	bitten	запитати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
gebeten	запитала	bitten	запитати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
gebeten	просили	bitten	просити	V;V.PTCP	V;IPFV;IND;PL;PST;FIN
gebeten	просив	bitten	просити	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
gebeten	запитав	bitten	запитати	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
wörtlich	буквальному	wörtlich	буквальний	ADJ	ADJ;DAT;MASC;SG
einnahmen	надсилати	einnehmen	надсилати	V;NFIN	V;IPFV;NFIN
renoviert	відновлено	renovieren	відновити	V;V.PTCP	V;PFV;IND;0;FIN
verschwunden	зник	verschwinden	зник	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
verschwunden	зникли	verschwinden	зникнути	V;V.PTCP	V;PFV;IND;PL;PST;FIN
verschwunden	зникла	verschwinden	зникнути	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
verschwunden	зник	verschwinden	зник	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
verschwunden	зник	verschwinden	зник	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
startet	запускає	starten	запускати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
startet	починає	starten	починати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
startet	починається	starten	починатися	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
startet	запускає	starten	запускати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
startet	стартує	starten	стартувати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
älterer	старші	alt	старший	ADJ	ADJ;NOM;RL;PL
älterer	старіші	alt	старіший	ADJ	ADJ;NOM;RL;PL
älterer	старша	alt	старша	ADJ	ADJ;NOM;CMPR;FEM;SG
erwachsenen	дорослі	erwachsen	дорослий	ADJ	ADJ;NOM;PL
erwachsenen	дорослих	erwachsen	дорослий	ADJ	ADJ;ACC;PL
erwachsenen	доросла	erwachsen	дорости	ADJ	ADJ;NOM;FEM;SG
erwachsenen	дорослі	erwachsen	дорослий	ADJ	ADJ;NOM;PL
erwachsenen	доросле	erwachsen	дорослий	ADJ	ADJ;NOM;NEUT;SG
erwachsenen	дорослий	erwachsen	дорослий	ADJ	ADJ;NOM;MASC;SG
trennen	відокремити	trennen	відокремити	V;NFIN	V;PFV;NFIN
germanistik	германські	germanistik	германський	ADJ	ADJ;NOM;PL
singen	співають	singen	співати	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
singen	співай	singen	співати	V;NFIN	V;IPFV;IMP;SG;2;FIN
singen	співаю	singen	співати	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
singen	співати	singen	співати	V;NFIN	V;IPFV;NFIN
singen	співає	singen	співати	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
techniken	експериментувати	technik	експериментувати	V;NFIN	V;IPFV;NFIN
überprüfung	рецензування	überprüfung	рецензування	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
überprüfung	відгук	überprüfung	відгук	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
überprüfung	огляд	überprüfung	огляд	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
überprüfung	перевірка	überprüfung	перевірка	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
ständigen	постійний	ständig	постійний	ADJ	ADJ;NOM;MASC;SG
bühnen	платформи	bühnen	платформа	N;NOM;PL	N;INAN;NOM;FEM;PL
bühnen	стадії	bühnen	стадія	N;NOM;PL	N;INAN;NOM;FEM;PL
abgehalten	тримали	abhalten	тримати	V;V.PTCP	V;IPFV;IND;PL;PST;FIN
abgehalten	проведено	abhalten	провести	V;V.PTCP	V;PFV;IND;0;FIN
japanisch	японська	japanisch	японський	ADJ	ADJ;NOM;FEM;SG
japanisch	японський	japanisch	японський	ADJ	ADJ;NOM;MASC;SG
japanisch	японські	japanisch	японський	ADJ	ADJ;NOM;PL
fliehen	тікає	fliehen	тікати	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
fliehen	залишаються	fliehen	залишатися	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
fliehen	тікають	fliehen	тікати	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
fliehen	продовжили	fliehen	продовжити	V;NFIN	V;PFV;IND;PL;PST;FIN
fliehen	втекти	fliehen	втекти	V;NFIN	V;PFV;NFIN
stoffe	тканини	stoffen	тканина	N;NOM;PL	N;INAN;NOM;FEM;PL
fraglich	сумнівною	fraglich	сумнівний	ADJ	ADJ;INS;FEM;SG
empfangen	отримувати	empfangen	отримувати	V;V.PTCP	V;IPFV;NFIN
empfangen	отримано	empfangen	отримати	V;V.PTCP	V;PFV;IND;0;FIN
empfangen	отримали	empfangen	отримати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
empfangen	отримала	empfangen	отримати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
türkisch	турецька	türkisch	турецький	ADJ	ADJ;NOM;FEM;SG
türkisch	турецький	türkisch	турецький	ADJ	ADJ;NOM;MASC;SG
türkisch	турецькою	türkisch	турецький	ADJ	ADJ;INS;FEM;SG
türkisch	турецькі	türkisch	турецький	ADJ	ADJ;NOM;PL
nummern	числа	nummern	число	N	N;INAN;NOM;NEUT;SG
nummern	номери	nummern	номер	N	N;INAN;NOM;MASC;PL
nummern	цифри	nummern	цифра	N	N;INAN;NOM;FEM;PL
schnellen	швидкі	schnell	швидкий	ADJ	ADJ;NOM;PL
schnellen	швидке	schnell	швидке	ADJ	ADJ;NOM;NEUT;SG
schnellen	швидка	schnell	швидкий	ADJ	ADJ;NOM;FEM;SG
schnellen	швидкий	schnell	швидкий	ADJ	ADJ;NOM;MASC;SG
wusste	знала	wissen	знати	V;IND;SG;3;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN
wusste	знало	wissen	знати	V;IND;SG;3;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
wusste	знав	wissen	знати	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN
hinreichend	достатній	hinreichend	достатній	ADJ	ADJ;DAT;FEM;SG
hinreichend	достатню	hinreichend	достатній	ADJ	ADJ;ACC;FEM;SG
theoretisch	теоретична	theoretisch	теоретичний	ADJ	ADJ;NOM;FEM;SG
persönlicher	особисті	persönlich	особистий	ADJ	ADJ;NOM;PL
persönlicher	особисте	persönlich	особистий	ADJ	ADJ;NOM;NEUT;SG
persönlicher	особистий	persönlich	особистий	ADJ	ADJ;NOM;MASC;SG
persönlicher	персональний	persönlich	персональний	ADJ	ADJ;NOM;MASC;SG
ernährung	дієта	Ernährung	діятий	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
vergleichen	порівняти	vergleichen	порівняти	V;NFIN	V;PFV;NFIN
vergleichen	порівнювати	vergleichen	порівнювати	V;NFIN	V;IPFV;NFIN
vergleichen	порівняйте	vergleichen	порівняти	V;NFIN	V;PFV;IMP;PL;2;FIN
lebensweise	життя	lebensweise	життя	N	N;INAN;NOM;NEUT;SG
gestrichen	вилучено	gestrechen	вилучити	V;V.PTCP	V;PFV;IND;0;FIN
gestrichen	скасовано	gestrechen	скасувати	V;V.PTCP	V;PFV;IND;0;FIN
gestrichen	намалювала	gestrechen	намалювати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
gestrichen	малюють	gestrechen	малювати	V;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN
gestrichen	скасовано	gestrechen	скасувати	V;V.PTCP	V;PFV;IND;0;FIN
verabschiedet	приймається	verabschieden	прийматися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
geistliche	духовні	geistlich	духовний	ADJ;NOM;FEM;PL	ADJ;NOM;PL
anerkannte	визнана	anerkannt	визнаний	ADJ;SG	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
springen	стрибати	springen	стрибати	V;NFIN	V;IPFV;NFIN
springen	перейти	springen	перейти	V;NFIN	V;PFV;NFIN
springen	скаче	springen	скачати	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
interessierte	зацікавило	interessieren	зацікавити	V;IND;SG;3;PST;FIN	V;PFV;NEUT;IND;SG;PST;FIN
passieren	станеться	passieren	статися	V;NFIN	V;PFV;IND;SG;3;FUT;FIN
passieren	трапляються	passieren	траплятися	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
passieren	статися	passieren	статися	V;NFIN	V;PFV;NFIN
ära	епоха	ära	епоха	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
annehmen	припустимо	annehmen	припустити	V;NFIN	V;PFV;IND;PL;1;FUT;FIN
annehmen	прийняти	annehmen	прийняти	V;NFIN	V;PFV;NFIN
annehmen	прийміть	annehmen	прийміти	V;NFIN	V;PFV;IMP;PL;2;FIN
annehmen	приймаємо	annehmen	приймати	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN
annehmen	погодитися	annehmen	погодитися	V;NFIN	V;PFV;NFIN
annehmen	приймаю	annehmen	приймати	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
gedruckt	надруковано	drucken	надруковано	V;V.PTCP	V;PFV;IND;0;FIN
erläutert	пояснив	erläutern	пояснити	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
erläutert	пояснила	erläutern	пояснити	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
erläutert	пояснює	erläutern	пояснювати	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
kritischen	критична	kritisch	критичний	ADJ	ADJ;NOM;FEM;SG
kritischen	критичні	kritisch	критичний	ADJ	ADJ;NOM;PL
kritischen	критичний	kritisch	критичний	ADJ	ADJ;NOM;MASC;SG
teilgenommen	відвідали	teilnehmen	відвідати	V;V.PTCP	V;PFV;IND;PL;PST;FIN
befestigt	долучено	befestigen	долучити	V;V.PTCP	V;PFV;IND;0;FIN
administrative	адміністративні	administrativ	адміністративний	ADJ;NOM;FEM;PL	ADJ;NOM;PL
shakespeare	шекспір	shakespeare	шекспір	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
hang	схил	hang	схила	N	N;INAN;NOM;MASC;SG
hang	схилу	hang	схил	N	N;INAN;GEN;MASC;SG
löscht	вилучає	löschen	вилучати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
beantwortet	відповідає	beantworten	відповідати	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
beantwortet	відповіли	beantworten	відповісти	V;V.PTCP	V;PFV;IND;PL;PST;FIN
beantwortet	відповів	beantworten	відповісти	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
beantwortet	відповіла	beantworten	відповісти	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
beantwortet	відповіла	beantworten	відповісти	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
beantwortet	відповіли	beantworten	відповісти	V;V.PTCP	V;PFV;IND;PL;PST;FIN
herausragende	визначні	herausragend	визначний	ADJ;NOM;FEM;PL	ADJ;NOM;PL
schwäbisch	швабський	schwäbisch	швабський	ADJ	ADJ;NOM;MASC;SG
berühmt	відома	berühmt	відомий	ADJ	ADJ;NOM;FEM;SG
berühmt	знамениті	berühmt	знаменитий	ADJ	ADJ;NOM;PL
berühmt	відомий	berühmt	відомий	ADJ	ADJ;NOM;MASC;SG
berühmt	знаменитий	berühmt	знаменитий	ADJ	ADJ;NOM;MASC;SG
restaurierung	відновлення	restaurierung	відновлення	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
restaurierung	реставрація	restaurierung	реставрація	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
restaurierung	реконструкція	restaurierung	реконструкція	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
restaurierung	відновлення	restaurierung	відновлення	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
umzug	переміщення	umzugen	переміщення	N;SG	N;INAN;NOM;NEUT;SG
umzug	руху	umzugen	рух	N;SG	N;INAN;GEN;MASC;SG
umzug	переїзд	umzugen	переїзд	N;SG	N;INAN;NOM;MASC;SG
umzug	пересування	umzugen	пересування	N;SG	N;INAN;NOM;NEUT;SG
umzug	парад	umzugen	парад	N;SG	N;INAN;NOM;MASC;SG
umzug	вилучення	umzugen	вилучення	N;SG	N;INAN;NOM;NEUT;SG
umzug	видалення	umzugen	видалення	N;SG	N;INAN;NOM;NEUT;SG
niedrigen	низький	niedrig	низький	ADJ	ADJ;NOM;MASC;SG
niedrigen	низька	niedrig	низький	ADJ	ADJ;NOM;FEM;SG
gezielt	цільовий	gezielt	цільовий	ADJ	ADJ;NOM;MASC;SG
erhöhung	висота	erhöhung	висота	N;NOM;FEM;SG	N;INAN;NOM;FEM;SG
erhöhung	покращення	erhöhung	покращення	N;NOM;FEM;SG	N;INAN;NOM;NEUT;SG
polizisten	копи	polizist	копа	N;PL	N;ANIM;NOM;MASC;PL
polizisten	офіцери	polizist	офіцер	N;PL	N;ANIM;NOM;MASC;PL
polizisten	офіцерів	polizist	офіцер	N;PL	N;ANIM;ACC;MASC;PL
latein	латинська	latein	латинський	ADJ	ADJ;NOM;FEM;SG
latein	латинської	latein	латинський	ADJ	ADJ;GEN;FEM;SG
latein	латинські	latein	латинський	ADJ	ADJ;NOM;PL
fortgesetzt	продовжив	fortsetzen	продовжити	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
fortgesetzt	продовжували	fortsetzen	продовжувати	V;V.PTCP	V;IPFV;IND;PL;PST;FIN
fortgesetzt	продовжується	fortsetzen	продовжуватися	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
fortgesetzt	продовжила	fortsetzen	продовжити	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
politisches	політичний	politisch	політичний	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
politisches	політичне	politisch	політичний	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
politisches	політична	politisch	політичний	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
selbständige	незалежні	selbständig	незалежний	ADJ;NOM;FEM;PL	ADJ;NOM;PL
güterverkehr	вантажний	güterverkehr	вантажний	ADJ	ADJ;NOM;MASC;SG
alternativen	альтернативне	alternativ	альтернативний	ADJ	ADJ;NOM;NEUT;SG
alternativen	альтернативні	alternativ	альтернативний	ADJ	ADJ;NOM;PL
alternativen	альтернативна	alternativ	альтернативний	ADJ	ADJ;NOM;FEM;SG
alternativen	альтернативний	alternativ	альтернативний	ADJ	ADJ;NOM;MASC;SG
herrscht	править	herrschen	правити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
schaffung	створення	schaffung	створення	N	N;INAN;NOM;NEUT;SG
schaffung	витвір	schaffung	витвір	N	N;INAN;NOM;MASC;SG
flachen	мілка	flach	мілка	ADJ	ADJ;NOM;FEM;SG
unverändert	незмінним	unverändert	незмінний	ADJ	ADJ;INS;NEUT;SG
ausserdem	також	ausserdem	також	ADV	ADV
schlage	запропонувати	schlage	запропонувати	V;SG;FIN	V;PFV;NFIN
schwanz	хвости	schwanzen	хвіст	N	N;INAN;NOM;MASC;PL
schwanz	хвіст	schwanzen	хвіст	N	N;INAN;NOM;MASC;SG
schwanz	член	schwanzen	член	N	N;ANIM;NOM;MASC;SG
beteiligen	долучитись	beteiligen	долучитися	V;NFIN	V;PFV;NFIN
untergrund	підземні	untergrund	підземний	ADJ	ADJ;NOM;PL
untergrund	підземний	untergrund	підземний	ADJ	ADJ;NOM;MASC;SG
redundanz	надлишковість	redundanz	надлишковість	N	N;INAN;NOM;FEM;SG
redundanz	резервування	redundanz	резервування	N	N;INAN;NOM;NEUT;SG
aufsätze	твори	aufsätzen	твір	N;NOM;PL	N;INAN;NOM;MASC;PL
fränkischen	франкські	fränkischen	франкський	ADJ;NOM;PL	ADJ;NOM;PL
bahnhöfe	станції	bahnhöfen	станція	N;NOM;MASC;PL	N;INAN;NOM;FEM;PL
rechtlich	законного	rechtlich	законний	ADJ	ADJ;GEN;MASC;SG
rumänischen	румунська	rumänisch	румунський	ADJ	ADJ;NOM;FEM;SG
tests	перевірки	tests	перевірка	N	N;INAN;NOM;FEM;PL
tests	тести	tests	тести	N	N;INAN;NOM;MASC;PL
tests	тестування	tests	тестування	N	N;INAN;NOM;NEUT;SG
tests	випробування	tests	випробування	N	N;INAN;NOM;NEUT;SG
ausgehen	вийшов	ausgehen	вийти	V;NFIN	V;PFV;MASC;IND;SG;PST;FIN
sorgt	доводить	sorgen	доводити	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
sorgt	дбає	sorgen	дбати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
läßt	визнає	lassen	визнавати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
staffeln	сезони	staffeln	сезон	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
trasse	контур	trassen	контура	N	N;INAN;NOM;MASC;SG
trasse	шлях	trassen	шлях	N	N;INAN;NOM;MASC;SG
rechnen	очікую	rechnen	очікувати	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
rechnen	очікувати	rechnen	очікувати	V;NFIN	V;IPFV;NFIN
rechnen	очікуємо	rechnen	очікувати	V;NFIN	V;IPFV;IND;PL;1;PRS;FIN
produzieren	виробляють	produzieren	виробляти	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN
öffentlicher	публічний	öffentlich	публічний	ADJ	ADJ;NOM;MASC;SG
öffentlicher	громадське	öffentlich	громадський	ADJ	ADJ;NOM;NEUT;SG
öffentlicher	відкритий	öffentlich	відкритий	ADJ	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
öffentlicher	публічна	öffentlich	публічний	ADJ	ADJ;NOM;FEM;SG
öffentlicher	громадського	öffentlich	громадський	ADJ	ADJ;GEN;MASC;SG
toll	великий	toll	великий	ADJ	ADJ;NOM;MASC;SG
vergrößert	збільшує	vergrößern	збільшувати	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
vergrößert	збільшив	vergrößern	збільшити	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
tropischen	тропічний	tropisch	тропічний	ADJ	ADJ;NOM;MASC;SG
tropischen	тропічні	tropisch	тропічний	ADJ	ADJ;NOM;PL
vertretung	представлення	vertretung	представлення	N;FEM;SG	N;INAN;NOM;NEUT;SG
vertretung	реп	vertretung	реп.	N;FEM;SG	N;INAN;NOM;MASC;SG
vertretung	представник	vertretung	представник	N;FEM;SG	N;ANIM;NOM;MASC;SG
vertretung	представника	vertretung	представник	N;FEM;SG	N;ANIM;ACC;MASC;SG
abriss	знесення	abreißen	знесення	N	N;INAN;NOM;NEUT;SG
konzipiert	запропонувала	konzipieren	запропонувати	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
konzipiert	розробив	konzipieren	розробити	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
konzipiert	розроблено	konzipieren	розробити	V;V.PTCP	V;PFV;IND;0;FIN
breiter	широкі	breit	широкий	ADJ	ADJ;NOM;PL
breiter	широке	breit	широке	ADJ	ADJ;NOM;NEUT;SG
breiter	широкий	breit	широкий	ADJ	ADJ;NOM;MASC;SG
breiter	широка	breit	широка	ADJ	ADJ;NOM;FEM;SG
breiter	ширшу	breit	ширший	ADJ	ADJ;ACC;RL;FEM;SG
steuerung	контрольна	steuerung	контрольний	ADJ	ADJ;NOM;FEM;SG
vortrag	лекція	vortragen	лекція	N;SG	N;INAN;NOM;FEM;SG
vortrag	мовлення	vortragen	мовлення	N;SG	N;INAN;NOM;NEUT;SG
vortrag	промову	vortragen	промова	N;SG	N;INAN;ACC;FEM;SG
vortrag	презентацію	vortragen	презентація	N;SG	N;INAN;ACC;FEM;SG
vortrag	презентація	vortragen	презентація	N;SG	N;INAN;NOM;FEM;SG
vortrag	розмова	vortragen	розмова	N;SG	N;INAN;NOM;FEM;SG
dienstleistungen	послуги	dienstleistungen	послуга	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
dienstleistungen	служби	dienstleistungen	служба	N;NOM;FEM;PL	N;INAN;NOM;FEM;PL
standorte	розміщення	standort	розміщення	N;NOM	N;INAN;NOM;NEUT;SG
