kiinnostuneita	interesați	kiinnostua	interesat	V;PRT;PL;V.PTCP;ACT	V;IND;PL;2;IPFV;FIN
työkaluja	unelte	työ#kalu	unealtă	N;PRT;PL	N;INDF;FEM;PL
työkaluja	scule	työ#kalu	scul	N;PRT;PL	N;INDF;FEM;PL
työkaluja	instrumente	työ#kalu	instrument	N;PRT;PL	N;INDF;FEM;PL
kuuli	auzit	kuulla	auzi	V;IND;SG;3;PST;FIN;ACT	V;MASC;SG;V.PTCP
sotia	războaie	sota	război	N;PRT;PL	N;INDF;FEM;PL
simpson	simpson	simpso	simpson	N;NOM;SG	N;INDF;MASC;SG
vaihtoehtoja	optiuni	vaihto#ehto	optiune	N;PRT;PL	N;INDF;FEM;PL
vaihtoehtoja	opțiuni	vaihto#ehto	opțiune	N;PRT;PL	N;INDF;FEM;PL
ylimääräinen	suplimentar	yli#määräinen	suplimentar	ADJ;NOM;SG	ADJ;INDF;MASC;SG
sisu	sisu	sisu	sisu	N;NOM;SG	N;INDF;MASC;SG
lohikäärme	balaur	lohi#käärme	balaur	N;NOM;SG	N;INDF;MASC;SG
lohikäärme	dragon	lohi#käärme	dragon	N;NOM;SG	N;INDF;MASC;SG
videoita	videoclipuri	video	videoclip	N;PRT;PL	N;INDF;FEM;PL
verrata	compară	verrata	compara	V;SG;NFIN;ACT	V;IND;SG;3;PST;FIN
verrata	compara	verrata	compara	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
oltu	fost	olla	fi	V;NOM;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP
shakespearen	shakespeare	shake#speari	shakespere	N;GEN;SG	N;INDF;MASC;SG
tilojen	exploatații	tila	exploatație	N;GEN;PL	N;INDF;FEM;PL
rannikko	coast	rannikko	coast	N;NOM;SG	N;INDF;MASC;SG
teiden	drumuri	tie	drum	N;GEN;PL	N;INDF;FEM;PL
kansalaisia	cetățeni	kansa#lainen	cetățean	N;PRT;PL	N;INDF;MASC;PL
ladata	încarcă	ladata	încărca	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
ladata	descarcă	ladata	descarca	V;SG;NFIN;ACT	V;IND;3;PRS;FIN
ladata	descarca	ladata	descarca	V;SG;NFIN;ACT	V;IND;SG;3;IPFV;FIN
käsitteitä	concepte	käsite	concept	N;PRT;PL	N;INDF;FEM;PL
massaa	mass	massa	mass	N;PRT;SG	N
microsoftin	microsoft	microsoft	microsoft	N;GEN;SG	N;INDF;MASC;SG
tunnustaa	recunoaște	tunnustaa	recunoaște	V;IND;SG;3;PRS;FIN;ACT	V;IND;3;PRS;FIN
ruusu	trandafir	ruusu	trandafir	N;NOM;SG	N;INDF;MASC;SG
päätöksiä	decizii	päätös	decizie	N;PRT;PL	N;INDF;FEM;PL
islamilaisen	islamic	islamilainen	islamic	N;GEN;SG	N;INDF;MASC;SG
vatsa	stomac	vatsa	stomac	N;NOM;SG	N;INDF;MASC;SG
vatsa	abdomen	vatsa	abdomen	N;NOM;SG	N;INDF;MASC;SG
aukko	decalaj	aukko	decalaj	N;NOM;SG	N;INDF;MASC;SG
aukko	gap	aukko	gap	N;NOM;SG	N;INDF;MASC;SG
päätä	cap	pää	cap	N;PRT;SG	N;INDF;MASC;SG
aloilla	sectoare	ala	sector	N;AT+ESS
;PL	N;INDF;FEM;PL
gps	gps	gps	gps	N;NOM;SG	N;INDF;MASC;SG
arvioita	estimări	arvio	estimare	N;PRT;PL	N;INDF;FEM;PL
tykit	tunuri	tykki	tun	N;NOM;PL	N;INDF;FEM;PL
tykit	arme	tykki	armă	N;NOM;PL	N;INDF;FEM;PL
kiinteää	solid	kiinteä	solid	ADJ;PRT;SG	ADJ;INDF;MASC;SG
asunnon	apartament	asunto	apartament	N;GEN;SG	N;INDF;MASC;SG
circuit	circuit	circuit	circuit	N;NOM;SG	N;INDF;MASC;SG
vuosikymmenten	decenii	vuosi#kymmen	deceniu	N;GEN;PL	N;INDF;FEM;PL
jalkaa	picior	jalka	picior	N;PRT;SG	N;INDF;MASC;SG
jalkaa	picior	jalka	picior	N;PRT;SG	N;INDF;MASC;SG
ulkoasu	layout	ulko#asu	layout	N;NOM;SG	N;INDF;MASC;SG
ulkoasu	aranjament	ulko#asu	aranjament	N;NOM;SG	N;INDF;MASC;SG
ulkoasu	aspect	ulko#asu	aspect	N;NOM;SG	N;INDF;MASC;SG
ohjelmiston	software	ohjelmisto	software	N;GEN;SG	N;INDF;MASC;SG
tunneli	tunel	tunnella	tunel	N;NOM;SG	N;INDF;MASC;SG
rna	arn	rna	arn	N;NOM;SG	N;INDF;MASC
luoja	creator	luoja	creator	N;NOM;SG	N;INDF;MASC;SG
mongolian	mongol	mongolia	mongol	N;GEN;SG	N;INDF;MASC;SG
kirkkoja	biserici	kirkko	biserică	N;PRT;PL	N;INDF;FEM;PL
ella	ella	ella	ella	N;NOM;SG	N;INDF;MASC;SG
teorioita	teorii	teoria	teorie	N;PRT;PL	N;INDF;FEM;PL
yritin	încercat	yrittää	încerca	V;IND;SG;1;PST;FIN;ACT	V;MASC;SG;V.PTCP
talojen	case	talo	casă	N;GEN;PL	N;INDF;FEM;PL
versailles	versailles	versas	versailles	N;NOM;SG	N;INDF;MASC;SG
lukko	lacăt	lukko	lacăt	N;NOM;SG	N;INDF;MASC;SG
lukko	lock	lukko	lock	N;NOM;SG	N;INDF;MASC;SG
puhdasta	curat	puhdas	curat	ADJ;PRT;SG	ADJ;INDF;MASC;SG
joulukuu	decembrie	joulukuu	decembrie	N;NOM;SG	N;INDF;MASC;SG
joulukuu	dec	joulukuu	dec	N;NOM;SG	N;INDF;MASC
hullu	nebun	hullu	nebun	ADJ;NOM;SG	ADJ;INDF;MASC;SG
koreografi	coregraf	koreografi	coregraf	N;NOM;SG	N;INDF;MASC;SG
sotilaallinen	militar	sotilaallinen	militar	ADJ;NOM;SG	ADJ;INDF;MASC;SG
kokonainen	întreg	kokonainen	întreg	ADJ;NOM;SG	ADJ;INDF;MASC;SG
kuninkaat	regii	kuningas	regie	N;NOM;PL	N;INDF;MASC;PL
kuninkaat	regi	kuningas	rege	N;NOM;PL	N;INDF;MASC;PL
tammikuu	ianuarie	tammikuu	ianuarie	N;NOM;SG	N;INDF;MASC;SG
suoja	scut	suoja	scut	N;NOM;SG	N;INDF;MASC;SG
suoja	shield	suoja	shield	N;NOM;SG	N;INDF;MASC;SG
jälkiä	piese	jälki	piesă	N;PRT;PL	N;INDF;FEM;PL
jälkiä	urme	jälki	urmă	N;PRT;PL	N;INDF;FEM;PL
azerbaidžanin	azerbaidjan	azerbaidžan	azerbaidjan	N;GEN;SG	N;INDF;MASC;SG
edustajien	reprezentanti	edustaja	reprezentant	N;GEN;PL	N;INDF;MASC;PL
edustajien	reprezentanți	edustaja	reprezentant	N;GEN;PL	N;INDF;MASC;PL
kuvioita	tipare	kuvio	tipar	N;PRT;PL	N;INDF;FEM;PL
maalaukset	tablouri	maalaus	tablou	N;NOM;PL	N;INDF;FEM;PL
maalaukset	picturi	maalaus	pictură	N;NOM;PL	N;INDF;FEM;PL
yhtäkkiä	brusc	yhtäkkiä	brusc	ADV	ADV
osallisena	implicat	osallinen	implicat	ADJ;FRML;SG	ADJ;INDF;MASC;SG
osallisena	implicat	osallinen	implicat	ADJ;FRML;SG	ADJ;INDF;MASC;SG
osapuoli	party	osa#puoli	party	N;NOM;SG	N;INDF;MASC;SG
osapuoli	partid	osa#puoli	partid	N;NOM;SG	N;INDF;MASC;SG
sello	violoncel	sello	violoncel	N;NOM;SG	N;INDF;MASC;SG
yritetty	încercat	yrittää	încerca	V;NOM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP
jupiter	jupiter	jupiter	jupiter	N;NOM;SG	N;INDF;MASC;SG
velho	vrăjitor	velho	vrăjitor	N;NOM;SG	N;INDF;MASC;SG
asukas	locuitor	asukas	locuitor	N;NOM;SG	N;INDF;MASC;SG
asukas	rezident	asukas	rezident	N;NOM;SG	N;INDF;MASC;SG
esp	esp	esp	esp	N;NOM;SG	N;INDF;MASC
virheellinen	invalid	virheellinen	invalid	ADJ;NOM;SG	ADJ;INDF;MASC;SG
kokemuksia	mărturii	kokemus	mărturie	N;PRT;PL	N;INDF;FEM;PL
kokemuksia	experiente	kokemus	experient	N;PRT;PL	N;INDF;FEM;PL
kokemuksia	experiențe	kokemus	experiență	N;PRT;PL	N;INDF;FEM;PL
työntekijä	salariat	työ#tekijä	salariat	N;NOM;SG	N;INDF;MASC;SG
työntekijä	lucrător	työ#tekijä	lucrător	N;NOM;SG	N;INDF;MASC;SG
työntekijä	muncitor	työ#tekijä	muncitor	N;NOM;SG	N;INDF;MASC;SG
julkiset	publice	julkinen	public	ADJ;NOM;PL	ADJ;INDF;FEM;PL
romaaneja	romane	romaani	roman	N;PRT;PL	N;INDF;FEM;PL
perintö	patrimoniu	perintö	patrimoniu	N;NOM;SG	N;INDF;MASC;SG
häät	nunti	häät	nunti	N;NOM;PL	N;INDF;FEM;PL
virus	viral	virus	viral	N;NOM;SG	N;INDF;MASC;SG
virus	virus	virus	virus	N;NOM;SG	N;INDF;MASC;SG
hienoa	mare	hieno	mare	ADJ;PRT;SG	ADJ;INDF;MASC;SG
hyväksytään	acceptând	hyväksyä	accepta	V;IND;PRS;FIN;PASS	V;V.MSDR
ehdokkaat	nominalizări	ehdokas	nominalizare	N;NOM;PL	N;INDF;FEM;PL
ehdokkaat	candidati	ehdokas	candidat	N;NOM;PL	N;INDF;MASC;PL
ehdokkaat	candidați	ehdokas	candidat	N;NOM;PL	N;INDF;MASC;PL
arvostelut	recenzii	arvostelu	recenzie	N;NOM;PL	N;INDF;FEM;PL
iskut	atacuri	isku	atac	N;NOM;PL	N;INDF;FEM;PL
iskut	pumni	isku	pumn	N;NOM;PL	N;INDF;MASC;PL
kouluttaa	educa	kouluttaa	educa	V;IND;SG;FIN;ACT	V;IND;SG;3;IPFV;FIN
sisäistä	intern	sisäinen	intern	ADJ;PRT;SG	ADJ;INDF;MASC;SG
mcdonald	mcdonald	mcdonald	mcdonald	N;NOM;SG	N;INDF;MASC;SG
kuviot	tipare	kuvio	tipar	N;NOM;PL	N;INDF;FEM;PL
bart	bart	bart	bart	N;NOM;SG	N;INDF;MASC;SG
esityksiä	spectacole	esitys	spectacol	N;PRT;PL	N;INDF;FEM;PL
esityksiä	prezentări	esitys	prezentare	N;PRT;PL	N;INDF;FEM;PL
puhkesi	izbucni	puhketa	izbucni	V;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
asetus	decret	asetus	decret	N;NOM;SG	N;INDF;MASC;SG
asetus	regulament	asetus	regulament	N;NOM;SG	N;INDF;MASC;SG
uros	bărbat	uros	bărbat	N;NOM;SG	N;INDF;MASC;SG
uros	mascul	uros	masc	N;NOM;SG	N;INDF;MASC;SG
uros	barbat	uros	barbat	N;NOM;SG	N;INDF;MASC;SG
olosuhteet	condiții	olo#suhteet	condiție	N;NOM;PL	N;INDF;FEM;PL
olosuhteet	conditii	olo#suhteet	conditie	N;NOM;PL	N;INDF;FEM;PL
olosuhteet	împrejurări	olo#suhteet	împrejurare	N;NOM;PL	N;INDF;FEM;PL
olosuhteet	circumstanțe	olo#suhteet	circumstanță	N;NOM;PL	N;INDF;FEM;PL
happea	oxigen	happea	oxigen	N;PRT;SG	N;INDF;MASC;SG
olennainen	esential	olennainen	esential	ADJ;NOM;SG	ADJ;INDF;MASC;SG
tehtävien	atribuții	tehtävä	atribuție	N;GEN;PL	N;INDF;FEM;PL
tehtävien	sarcini	tehtävä	sarcină	N;GEN;PL	N;INDF;FEM;PL
lentävä	zburând	lentää	zbura	V;NOM;SG;V.PTCP;ACT	V;V.MSDR
häviää	pierzând	hävitä	pierde	V;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
häviää	pierde	hävitä	pierde	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
häviää	pierde	hävitä	pierde	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
liiketoiminnan	business	liike#toiminta	business	N;GEN;SG	N;INDF;MASC;SG
yksityiskohtia	detalii	yksityis#kohta	detaliu	N;PRT;PL	N;INDF;FEM;PL
kulmassa	corner	kulma	corner	N;IN+ESS;SG	N;INDF;MASC;SG
kulmassa	colt	kulma	colt	N;IN+ESS;SG	N;INDF;MASC;SG
kulmassa	colț	kulma	colț	N;IN+ESS;SG	N;INDF;MASC;SG
komisario	inspector	komisario	inspector	N;NOM;SG	N;INDF;MASC;SG
todellakin	intradevar	todella	intradevar	ADV	ADV
unelma	vis	unelma	vis	N;NOM;SG	N;INDF;MASC;SG
filmi	film	filmi	film	N;NOM;SG	N;INDF;MASC;SG
lääke	medicament	lääke	medicament	N;NOM;SG	N;INDF;MASC;SG
lääke	drog	lääke	drog	N;NOM;SG	N;INDF;MASC;SG
lääke	medicament	lääke	medicament	N;NOM;SG	N;INDF;MASC;SG
kaasu	gaz	kaasu	gaz	N;NOM;SG	N;INDF;MASC;SG
lassi	lassi	lassi	lassi	N;NOM;SG	N;INDF;MASC;SG
lassi	calvin	lassi	calvin	N;NOM;SG	N;INDF;MASC;SG
keskusteluissa	discuții	keskustelu	discuție	N;IN+ESS;PL	N;INDF;FEM;PL
keskusteluissa	discutii	keskustelu	discut	N;IN+ESS;PL	N;INDF;FEM;PL
keskusteluissa	dezbateri	keskustelu	dezbatere	N;IN+ESS;PL	N;INDF;FEM;PL
julistaa	declarând	julistaa	declara	V;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
julistaa	declară	julistaa	declara	V;IND;SG;3;PRS;FIN;ACT	V;IND;3;PRS;FIN
julistaa	declară	julistaa	declara	V;IND;SG;3;PRS;FIN;ACT	V;IND;3;PRS;FIN
laivoja	nave	laiva	navă	N;PRT;PL	N;INDF;FEM;PL
laivoja	vapoare	laiva	vapor	N;PRT;PL	N;INDF;FEM;PL
laivoja	corăbii	laiva	corabie	N;PRT;PL	N;INDF;FEM;PL
muodollisesti	formal	muodollisesti	formal	ADV	ADV
tenori	tenor	tenori	tenor	N;NOM;SG	N;INDF;MASC;SG
lippua	drapel	lippu	drapel	N;PRT;SG	N;INDF;MASC;SG
lippua	pavilion	lippu	pavilion	N;PRT;SG	N;INDF;MASC;SG
lippua	steag	lippu	steag	N;PRT;SG	N;INDF;MASC;SG
järjestäjä	sponsor	järjestäjä	sponsor	N;NOM;SG	N;INDF;MASC;SG
järjestäjä	organizator	järjestäjä	organizator	N;NOM;SG	N;INDF;MASC;SG
järjestäjä	organizator	järjestäjä	organizator	N;NOM;SG	N;INDF;MASC;SG
opiskelee	studiind	opiskella	studia	V;IND;SG;3;PRS;FIN;ACT	V;V.MSDR
portin	gate	portti	gate	N;GEN;SG	N;INDF;MASC;SG
kustannukset	costuri	kustannus	cost	N;NOM;PL	N;INDF;FEM;PL
kustannukset	costuri	kustannus	cost	N;NOM;PL	N;INDF;FEM;PL
hyödyllinen	util	hyödyllinen	util	ADJ;NOM;SG	ADJ;INDF;MASC;SG
hyödyllinen	folositor	hyödyllinen	folositor	ADJ;NOM;SG	ADJ;INDF;MASC;SG
hyödyllinen	folositoare	hyödyllinen	folositor	ADJ;NOM;SG	ADJ;INDF;FEM
hyödyllinen	util	hyödyllinen	util	ADJ;NOM;SG	ADJ;INDF;MASC;SG
kiista	litigiu	kiista	litigiu	N;NOM;SG	N;INDF;MASC;SG
päiväkirja	journal	päivä#kirja	journal	N;NOM;SG	N;INDF;MASC;SG
päiväkirja	jurnal	päivä#kirja	jurnal	N;NOM;SG	N;INDF;MASC;SG
päiväkirja	jurnal	päivä#kirja	jurnal	N;NOM;SG	N;INDF;MASC;SG
vietnam	vietnamez	vieton	vietnamez	N;NOM;SG	N;INDF;MASC;SG
irc	irc	irc	irc	N;NOM;SG	N;INDF;MASC;SG
operaattori	operator	operaattori	operator	N;NOM;SG	N;INDF;MASC;SG
operaattori	purtător	operaattori	purtător	N;NOM;SG	N;INDF;MASC;SG
operaattori	transportator	operaattori	transportator	N;NOM;SG	N;INDF;MASC;SG
operaattori	portavion	operaattori	portavion	N;NOM;SG	N;INDF;MASC;SG
systeemi	sistem	systeemi	sistem	N;NOM;SG	N;INDF;MASC;SG
oikeudenkäynti	proces	oikeuden#käynti	proces	N;NOM;SG	N;INDF;MASC;SG
oscarin	oscar	oscari	oscar	N;GEN;SG	N;INDF;MASC;SG
kouluja	scoli	koulu	scoli	N;PRT;PL	N;INDF;FEM;PL
kouluja	școli	koulu	școală	N;PRT;PL	N;INDF;FEM;PL
säännöllinen	obișnuit	säännöllinen	obișnuit	ADJ;NOM;SG	ADJ;INDF;MASC;SG
saavutuksia	realizari	saavutus	realizar	N;PRT;PL	N;INDF;FEM;PL
saavutuksia	realizări	saavutus	realizare	N;PRT;PL	N;INDF;FEM;PL
saavutuksia	realizari	saavutus	realizar	N;PRT;PL	N;INDF;FEM;PL
