que	že	que	že	CONJ	CONJ
habitatges	domy	habitatge	dom	N;MASC;PL	N;INAN;NOM;MASC;PL
molt	veľmi	molt	veľmi	ADV	ADV
nord	sever	nord	sever	N;MASC;SG	N;INAN;NOM;MASC;SG
habitants	obyvatelia	habitant	obyvateľ	N;PL	N;ANIM;NOM;MASC;PL
habitants	obyvateľov	habitant	obyvateľ	N;PL	N;ANIM;ACC;MASC;PL
habitants	obyvateľom	habitant	obyvateľ	N;PL	N;ANIM;DAT;MASC;PL
dones	ženy	dona	žena	N;FEM;PL	N;NOM;FEM;PL
dones	žien	dona	žena	N;FEM;PL	N;GEN;FEM;PL
dones	dámske	dona	dámsky	N;FEM;PL	N;NOM;FEM;PL
primer	prvý	primer	prvý	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
primer	prvy	primer	prva	ADJ;MASC;SG	ADJ;INAN;NOM;MASC;SG
primer	prvé	primer	prvý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
primer	prvá	primer	prvý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
segle	storočí	segle	storočie	N;MASC;SG	N;NOM;NEUT;SG
segle	storočie	segle	storočie	N;MASC;SG	N;NOM;NEUT;SG
tres	tri	tres	tri	NUM;PL	NUM;INAN;NOM;MASC;PL
tres	troch	tres	tri	NUM;PL	NUM;GEN;MASC;PL
tres	traja	tres	tri	NUM;PL	NUM;ANIM;NOM;MASC;PL
sud	juhu	sud	juh	N;MASC;SG	N;INAN;NOM;MASC;SG
sud	juh	sud	juh	N;MASC;SG	N;INAN;NOM;MASC;SG
lloc	miesto	lloc	miesto	N;MASC;SG	N;NOM;NEUT;SG
lloc	place	lloc	placať	N;MASC;SG	N;NOM;MASC;SG
nova	nová	nou	nový	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nova	nový	nou	nový	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
nova	nové	nou	nový	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
homes	mužov	home	muž	N;MASC;PL	N;ANIM;ACC;MASC;PL
homes	muži	home	muž	N;MASC;PL	N;ANIM;NOM;MASC;PL
homes	pánske	home	pánsky	N;MASC;PL	N;NOM;FEM;PL
primera	prvý	primer	prvý	ADJ;FEM;SG	ADJ;ANIM;NOM;MASC;SG
primera	prvy	primer	prva	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
primera	prvé	primer	prvý	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
primera	prvá	primer	prvý	ADJ;FEM;SG	ADJ;NOM;FEM;SG
dues	dve	dos	dva	NUM;FEM;PL	NUM;NOM;FEM;PL
dues	dvaja	dos	dva	NUM;FEM;PL	NUM;ANIM;NOM;MASC;PL
dues	dva	dos	dva	NUM;FEM;PL	NUM;INAN;NOM;MASC;PL
següent	nasledujúci	següent	nasledujúci	ADJ;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
següent	ďalší	següent	ďalší	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
següent	ďalšie	següent	ďalší	ADJ;SG	ADJ;NOM;NEUT;SG
següent	ďalšia	següent	ďalší	ADJ;SG	ADJ;NOM;FEM;SG
sense	bez	sense	bez	ADP	ADP;GEN
general	všeobecné	general	všeobecný	ADJ;SG	ADJ;NOM;NEUT;SG
general	všeobecná	general	všeobecný	ADJ;SG	ADJ;NOM;FEM;SG
municipi	samospráva	municipi	samosprávať	N;MASC;SG	N;NOM;FEM;SG
municipi	obec	municipi	obec	N;MASC;SG	N;NOM;FEM;SG
fet	hotová	fet	hotový	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
fet	urobené	fet	urobený	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
fet	hotové	fet	hotový	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG
fet	vykonané	fet	vykonaný	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
encara	stále	encara	stále	ADV	ADV
dades	dát	dada	dát	N;FEM;PL	N;GEN;FEM;PL
dades	dáta	dada	dát	N;FEM;PL	N;INAN;NOM;MASC;PL
dades	údaje	dada	údaj	N;FEM;PL	N;INAN;NOM;MASC;PL
només	jedine	només	jedine	ADV	ADV
només	práve	només	práve	ADV	ADV
regió	kraj	regió	kraj	N;FEM;SG	N;INAN;NOM;MASC;SG
regió	regiónu	regió	región	N;FEM;SG	N;INAN;GEN;MASC;SG
regió	oblasť	regió	oblasť	N;FEM;SG	N;NOM;FEM;SG
regió	región	regió	región	N;FEM;SG	N;INAN;NOM;MASC;SG
temps	dobe	temps	dobe	N;MASC	N;DAT;FEM;SG
temps	čas	temps	čas	N;MASC	N;INAN;NOM;MASC;SG
temps	doba	temps	doba	N;MASC	N;NOM;FEM;SG
empreses	firmy	empresa	firma	N;FEM;PL	N;NOM;FEM;PL
empreses	spoločnosti	empresa	spoločnosť	N;FEM;PL	N;NOM;FEM;PL
empreses	spoločností	empresa	spoločnosť	N;FEM;PL	N;GEN;FEM;PL
troba	nájsť	trobar	nájsť	V;IND;SG;3;PRS;FIN	V;PFV;POS;NFIN
grup	skupinu	grup	skupina	N;MASC;SG	N;ACC;FEM;SG
grup	skupina	grup	skupina	N;MASC;SG	N;NOM;FEM;SG
contra	proti	contra	proti	ADP	ADP;DAT
famílies	rodiny	família	rodina	N;FEM;PL	N;NOM;FEM;PL
famílies	rodín	família	rodina	N;FEM;PL	N;GEN;FEM;PL
famílies	rodinám	família	rodina	N;FEM;PL	N;DAT;FEM;PL
poblacions	populácie	població	populácia	N;FEM;PL	N;NOM;FEM;PL
fills	deti	fill	dieťa	N;MASC;PL	N;NOM;NEUT;PL
rei	kráľ	rei	kráľ	N;MASC;SG	N;ANIM;NOM;MASC;SG
rei	kráľa	rei	kráľ	N;MASC;SG	N;ANIM;ACC;MASC;SG
rei	král	rei	král	N;MASC;SG	N;ANIM;NOM;MASC;SG
francès	francúzske	francès	francúzsky	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
mentre	kým	mentre	kým	CONJ	CONJ
nombre	číslo	nombre	číslo	N;MASC;SG	N;NOM;NEUT;SG
nombre	počet	nombre	počet	N;MASC;SG	N;INAN;NOM;MASC;SG
nombre	čislo	nombre	čislo	N;MASC;SG	N;NOM;NEUT;SG
edició	úprava	edició	úprava	N;FEM;SG	N;NOM;FEM;SG
edició	vydávanie	edició	vydávanie	N;FEM;SG	N;NOM;NEUT;SG
edició	publikovanie	edició	publikovanie	N;FEM;SG	N;NOM;NEUT;SG
edició	zverejnenie	edició	zverejnenie	N;FEM;SG	N;NOM;NEUT;SG
edició	uverejňovanie	edició	uverejňovanie	N;FEM;SG	N;NOM;NEUT;SG
edició	vydavateľstvo	edició	vydavateľstvo	N;FEM;SG	N;NOM;NEUT;SG
renda	prenájom	renda	prenáj	N;FEM;SG	N;INAN;NOM;MASC;SG
renda	nájom	renda	náj	N;FEM;SG	N;INAN;NOM;MASC;SG
quatre	štyroch	quatre	štyri	NUM;PL	NUM;ANIM;ACC;MASC;PL
quatre	štyria	quatre	štyri	NUM;PL	NUM;ANIM;NOM;MASC;PL
quatre	štyri	quatre	štyri	NUM;PL	NUM;INAN;NOM;MASC;PL
partit	oslava	partit	oslava	N;MASC;SG	N;NOM;FEM;SG
partit	strana	partit	strana	N;MASC;SG	N;NOM;FEM;SG
partit	večierok	partit	večierko	N;MASC;SG	N;INAN;NOM;MASC;SG
aquests	tieto	aquest	tento	DET;MASC;PL	DET;NOM;MASC;PL
aquests	týchto	aquest	táto	DET;MASC;PL	DET;ANIM;ACC;MASC;PL
aquests	títo	aquest	tento	DET;MASC;PL	DET;ANIM;NOM;MASC;PL
fill	syna	fill	syn	N;MASC;SG	N;ANIM;ACC;MASC;SG
fill	syn	fill	syn	N;MASC;SG	N;ANIM;NOM;MASC;SG
fill	synček	fill	synček	N;MASC;SG	N;ANIM;NOM;MASC;SG
nou	nová	nou	nový	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nou	nový	nou	nový	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
nou	nové	nou	nový	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
març	marec	març	marec	N	N;INAN;NOM;MASC;SG
març	marci	març	marec	N	N;INAN;ESS;MASC;SG
març	marca	març	marec	N	N;INAN;GEN;MASC;SG
març	marcu	març	marec	N	N;INAN;DAT;MASC;SG
març	pochod	març	pochod	N	N;INAN;NOM;MASC;SG
setembre	september	setembre	september	N	N;INAN;NOM;MASC;SG
setembre	septembra	setembre	september	N	N;INAN;GEN;MASC;SG
setembre	septembri	setembre	september	N	N;INAN;NOM;MASC;SG
principal	hlavné	principal	hlavný	ADJ;SG	ADJ;NOM;NEUT;SG
principal	hlavná	principal	hlavný	ADJ;SG	ADJ;NOM;FEM;SG
principal	hlavný	principal	hlavný	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
menys	menej	menys	málo	ADV	ADV;CMPR
color	farba	color	farba	N;MASC;SG	N;NOM;FEM;SG
color	farba	color	farba	N;MASC;SG	N;NOM;FEM;SG
món	sveta	món	svet	N;MASC;SG	N;INAN;GEN;MASC;SG
món	svete	món	svet	N;MASC;SG	N;INAN;ESS;MASC;SG
món	svet	món	svet	N;MASC;SG	N;INAN;NOM;MASC;SG
món	svetom	món	svet	N;MASC;SG	N;INAN;INS;MASC;SG
octubre	októbra	octubre	október	N	N;INAN;GEN;MASC;SG
octubre	október	octubre	október	N	N;INAN;NOM;MASC;SG
empresa	firma	empresa	firm	N;FEM;SG	N;NOM;FEM;SG
empresa	spoločnosť	empresa	spoločnosť	N;FEM;SG	N;NOM;FEM;SG
abans	predtým	abans	predtým	ADV	ADV
edat	veku	edat	vek	N;FEM;SG	N;INAN;GEN;MASC;SG
edat	vek	edat	vek	N;FEM;SG	N;INAN;NOM;MASC;SG
web	web	web	web	N;SG	N;INAN;NOM;MASC;SG
web	webe	web	wiaba	N;SG	N;INAN;NOM;MASC;SG
església	kostola	església	kostol	N;FEM;SG	N;INAN;GEN;MASC;SG
església	kostol	església	kostol	N;FEM;SG	N;INAN;NOM;MASC;SG
església	cirkev	església	cirkev	N;FEM;SG	N;NOM;FEM;SG
maig	mája	maig	máj	N	N;INAN;GEN;MASC;SG
terme	terme	terme	term	N;SG	N;INAN;NOM;MASC;SG
casa	house	casa	hous	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	domček	casa	domček	N;FEM;SG	N;INAN;NOM;MASC;SG
casa	dom	casa	dom	N;FEM;SG	N;INAN;NOM;MASC;SG
història	príbeh	història	príbeh	N;FEM;SG	N;INAN;NOM;MASC;SG
història	reportáž	història	reportáž	N;FEM;SG	N;NOM;FEM;SG
història	histórii	història	história	N;FEM;SG	N;DAT;FEM;SG
història	históriu	història	história	N;FEM;SG	N;ACC;FEM;SG
història	história	història	história	N;FEM;SG	N;NOM;FEM;SG
segona	druhá	segon	druhý	ADJ;FEM;SG	ADJ;NOM;FEM;SG
segona	druhé	segon	druhý	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
segona	druhe	segon	druh	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
segona	druhý	segon	druhý	ADJ;FEM;SG	ADJ;INAN;NOM;MASC;SG
govern	vláda	govern	vláda	N;MASC;SG	N;NOM;FEM;SG
est	východ	est	východ	N;MASC;SG	N;INAN;NOM;MASC;SG
vida	života	vida	život	N;FEM;SG	N;INAN;GEN;MASC;SG
vida	život	vida	život	N;FEM;SG	N;INAN;NOM;MASC;SG
gener	januára	gener	január	N	N;INAN;GEN;MASC;SG
gener	január	gener	január	N	N;INAN;NOM;MASC;SG
gener	januári	gener	január	N	N;INAN;ESS;MASC;SG
tipus	druh	tipus	druh	N;MASC	N;INAN;NOM;MASC;SG
tipus	typu	tipus	typ	N;MASC	N;INAN;GEN;MASC;SG
tipus	typ	tipus	typ	N;MASC	N;INAN;NOM;MASC;SG
tipus	type	tipus	typ	N;MASC	N;INAN;NOM;MASC;SG
habitatge	ubytovanie	habitatge	ubytovanie	N;MASC;SG	N;NOM;NEUT;SG
habitatge	bývanie	habitatge	bývanie	N;MASC;SG	N;NOM;NEUT;SG
juny	júni	juny	jún	N	N;INAN;NOM;MASC;SG
juny	júna	juny	jún	N	N;INAN;GEN;MASC;SG
català	katalánsky	català	katalánsky	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
títol	názov	títol	názov	N;MASC;SG	N;INAN;NOM;MASC;SG
títol	hlava	títol	hlava	N;MASC;SG	N;NOM;FEM;SG
títol	titul	títol	tituť	N;MASC;SG	N;INAN;NOM;MASC;SG
títol	titulok	títol	titulok	N;MASC;SG	N;INAN;NOM;MASC;SG
desembre	december	desembre	december	N	N;INAN;NOM;MASC;SG
desembre	decembra	desembre	december	N	N;INAN;GEN;MASC;SG
desembre	decembri	desembre	december	N	N;INAN;GEN;MASC;SG
desembre	decembru	desembre	december	N	N;INAN;GEN;MASC;SG
nacional	národný	nacional	národný	ADJ;SG	ADJ;INAN;NOM;MASC;SG
nacional	národná	nacional	národný	ADJ;SG	ADJ;NOM;FEM;SG
nacional	vnútroštátna	nacional	vnútroštátny	ADJ;SG	ADJ;NOM;FEM;SG
nacional	národné	nacional	národný	ADJ;SG	ADJ;NOM;NEUT;SG
abril	apríl	abril	aprila	N	N;INAN;NOM;MASC;SG
abril	apríla	abril	apríl	N	N;INAN;GEN;MASC;SG
major	hlavné	major	hlavný	ADJ;SG	ADJ;NOM;NEUT;SG
major	hlavná	major	hlavný	ADJ;SG	ADJ;NOM;FEM;SG
agost	auguste	agost	augusta	N	N;INAN;NOM;MASC;SG
agost	august	agost	august	N	N;INAN;NOM;MASC;SG
agost	augusta	agost	augusta	N	N;INAN;GEN;MASC;SG
vivint	žiť	viure	žiť	V;V.MSDR	V;IPFV;POS;NFIN
poble	dedinka	poble	dedinka	N;MASC;SG	N;NOM;FEM;SG
poble	dedine	poble	dedina	N;MASC;SG	N;DAT;FEM;SG
poble	dedina	poble	dedina	N;MASC;SG	N;NOM;FEM;SG
poble	obec	poble	obec	N;MASC;SG	N;NOM;FEM;SG
centre	centrum	centre	centrum	N;MASC;SG	N;NOM;NEUT;SG
centre	centre	centre	centrum	N;MASC;SG	N;NOM;NEUT;SG
centre	center	centre	center	N;MASC;SG	N;INAN;NOM;MASC;SG
centre	stred	centre	stred	N;MASC;SG	N;INAN;NOM;MASC;SG
centre	centrum	centre	centrum	N;MASC;SG	N;NOM;NEUT;SG
centre	centre	centre	centrum	N;MASC;SG	N;NOM;NEUT;SG
centre	stredisko	centre	stredisko	N;MASC;SG	N;NOM;NEUT;SG
centre	stred	centre	stred	N;MASC;SG	N;INAN;NOM;MASC;SG
perquè	pretože	perquè	pretože	CONJ	CONJ
aquestes	tieto	aquest	tento	DET;FEM;PL	DET;NOM;MASC;PL
aquestes	týchto	aquest	táto	DET;FEM;PL	DET;ANIM;ACC;MASC;PL
aquestes	títo	aquest	tento	DET;FEM;PL	DET;ANIM;NOM;MASC;PL
riu	rieke	riu	rieka	N;MASC;SG	N;DAT;FEM;SG
riu	rieka	riu	rieka	N;MASC;SG	N;NOM;FEM;SG
disc	kotúč	disc	kotúč	N;MASC;SG	N;INAN;NOM;MASC;SG
disc	kotúča	disc	kotúč	N;MASC;SG	N;INAN;GEN;MASC;SG
disc	disk	disc	disk	N;MASC;SG	N;INAN;NOM;MASC;SG
disc	disku	disc	disko	N;MASC;SG	N;NOM;NEUT;SG
mostra	ukázať	mostrar	ukázať	V;IND;SG;3;PRS;FIN	V;PFV;POS;NFIN
mostra	zobraziť	mostrar	zobraziť	V;IND;SG;3;PRS;FIN	V;PFV;POS;NFIN
novembre	novembri	novembre	november	N	N;INAN;NOM;MASC;SG
novembre	november	novembre	november	N	N;INAN;NOM;MASC;SG
novembre	novembra	novembre	november	N	N;INAN;GEN;MASC;SG
obres	diela	obra	dielo	N;FEM;PL	N;NOM;NEUT;PL
millor	najlepší	millor	dobrý	ADJ;SG	ADJ;ANIM;NOM;RL;MASC;SG
millor	najlepšia	millor	dobrý	ADJ;SG	ADJ;NOM;RL;FEM;SG
sistema	systém	sistema	systém	N;MASC;SG	N;INAN;NOM;MASC;SG
sistema	systému	sistema	systém	N;MASC;SG	N;INAN;GEN;MASC;SG
sistema	sústava	sistema	sústava	N;MASC;SG	N;NOM;FEM;SG
juliol	júl	juliol	júl	N	N;INAN;NOM;MASC;SG
juliol	júla	juliol	júla	N	N;INAN;NOM;MASC;SG
total	celkový	total	celkový	ADJ;SG	ADJ;INAN;NOM;MASC;SG
universitat	univerzita	universitat	univerzita	N;FEM;SG	N;NOM;FEM;SG
universitat	univerzite	universitat	univerzite	N;FEM;SG	N;NOM;FEM;SG
dia	deň	dia	deň	N;MASC;SG	N;INAN;NOM;MASC;SG
dia	dňa	dia	deň	N;MASC;SG	N;INAN;GEN;MASC;SG
mitjà	stredný	mitjà	stredný	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;SG
mitjà	stredná	mitjà	stredný	ADJ;MASC;SG	ADJ;NOM;FEM;SG
mitjà	stredné	mitjà	stredný	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
data	dátumu	data	dátum	N;FEM;SG	N;INAN;GEN;MASC;SG
data	dátum	data	dátum	N;FEM;SG	N;INAN;NOM;MASC;SG
departament	oddelenie	departament	oddelenie	N;MASC;SG	N;NOM;NEUT;SG
construcció	konštrukcia	construcció	konštrukcia	N;FEM;SG	N;NOM;FEM;SG
construcció	výstavba	construcció	výstavba	N;FEM;SG	N;NOM;FEM;SG
construcció	stavba	construcció	stavba	N;FEM;SG	N;NOM;FEM;SG
construcció	stavebníctvo	construcció	stavebníctvo	N;FEM;SG	N;NOM;NEUT;SG
premi	ocenenie	premi	ocenenie	N;MASC;SG	N;NOM;NEUT;SG
premi	zadanie	premi	zadanie	N;MASC;SG	N;NOM;NEUT;SG
febrer	februára	febrer	február	N	N;INAN;GEN;MASC;SG
febrer	február	febrer	február	N	N;INAN;NOM;MASC;SG
escola	skola	escola	skola	N;FEM;SG	N;NOM;FEM;SG
escola	školu	escola	škola	N;FEM;SG	N;ACC;FEM;SG
escola	škola	escola	škola	N;FEM;SG	N;NOM;FEM;SG
cinc	piati	cinc	piati	NUM;PL	NUM;ANIM;NOM;MASC;PL
espècie	druh	espècie	druh	N;FEM;SG	N;INAN;NOM;MASC;SG
font	zdroj	font	zdroj	N;FEM;SG	N;INAN;NOM;MASC;SG
zona	zóna	zona	zóna	N;FEM;SG	N;NOM;FEM;SG
grans	veľkých	gran	veľký	ADJ;PL	ADJ;ANIM;GEN;MASC;PL
grans	veľkí	gran	veľký	ADJ;PL	ADJ;ANIM;NOM;MASC;PL
central	centrálna	central	centrálny	ADJ;SG	ADJ;NOM;FEM;SG
central	stredná	central	stredný	ADJ;SG	ADJ;NOM;FEM;SG
central	centrálny	central	centrálny	ADJ;SG	ADJ;INAN;NOM;MASC;SG
província	provincia	província	provincie	N;FEM;SG	N;NOM;FEM;SG
província	provincii	província	provincia	N;FEM;SG	N;DAT;FEM;SG
superfície	povrch	superfície	povrch	N;FEM;SG	N;INAN;NOM;MASC;SG
superfície	povrchu	superfície	povrch	N;FEM;SG	N;INAN;GEN;MASC;SG
cens	sčítanie	cens	sčítanie	N;MASC;SG	N;NOM;NEUT;SG
equip	mužstvo	equip	mužstvo	N;MASC;SG	N;NOM;NEUT;SG
equip	tím	equip	tím	N;MASC;SG	N;INAN;NOM;MASC;SG
ara	teraz	ara	teraz	ADV	ADV
punt	punt	punt	punt	N;MASC;SG	N;ANIM;NOM;MASC;SG
punt	bod	punt	bod	N;MASC;SG	N;INAN;NOM;MASC;SG
cest	selč	cest	selč	N	N;INAN;NOM;MASC;SG
actualment	momentálne	actualment	momentálne	ADV	ADV
unitats	jednotky	unitat	jednotka	N;FEM;PL	N;NOM;FEM;PL
unitats	jednotiek	unitat	jednotka	N;FEM;PL	N;GEN;FEM;PL
activitats	aktivít	activitat	aktivita	N;FEM;PL	N;GEN;FEM;PL
activitats	činnosti	activitat	činnosť	N;FEM;PL	N;NOM;FEM;PL
activitats	aktivity	activitat	aktivita	N;FEM;PL	N;NOM;FEM;PL
president	prezidentka	president	prezidentka	N;MASC;SG	N;NOM;FEM;SG
president	prezident	president	prezident	N;MASC;SG	N;ANIM;NOM;MASC;SG
president	predseda	president	predseda	N;MASC;SG	N;ANIM;NOM;MASC;SG
president	prezidenta	president	prezident	N;MASC;SG	N;ANIM;ACC;MASC;SG
article	článku	article	článok	N;MASC;SG	N;INAN;GEN;MASC;SG
article	článok	article	článok	N;MASC;SG	N;INAN;NOM;MASC;SG
exèrcit	armáda	exèrcit	armáda	N;MASC;SG	N;NOM;FEM;SG
exèrcit	vojsko	exèrcit	vojsko	N;MASC;SG	N;NOM;NEUT;SG
música	music	música	musica	N;FEM;SG	N;NOM;MASC;SG
música	hudba	música	hudba	N;FEM;SG	N;NOM;FEM;SG
música	hudbu	música	hudba	N;FEM;SG	N;ACC;FEM;SG
aigua	voda	aigua	voda	N;FEM;SG	N;NOM;FEM;SG
increment	nárast	increment	nárast	N;MASC;SG	N;INAN;NOM;MASC;SG
increment	zvýšenie	increment	zvýšenie	N;MASC;SG	N;NOM;NEUT;SG
llavors	potom	llavors	potom	ADV	ADV
llavors	vtedy	llavors	vtedy	ADV	ADV
conegut	známe	conegut	známy	ADJ;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG
conegut	známa	conegut	známy	ADJ;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG
conegut	známym	conegut	známy	ADJ;MASC;SG;V.PTCP	ADJ;INS;MASC;SG
conegut	známy	conegut	známy	ADJ;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG
conegut	známy	conegut	známy	ADJ;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG
conegut	známeho	conegut	známy	ADJ;MASC;SG;V.PTCP	ADJ;ANIM;GEN;MASC;SG
art	umenie	art	umenie	N;MASC;SG	N;NOM;NEUT;SG
club	klub	club	klub	N;MASC;SG	N;INAN;NOM;MASC;SG
club	klubu	club	klub	N;MASC;SG	N;INAN;GEN;MASC;SG
etapa	etapa	etapa	etap	N;FEM;SG	N;NOM;FEM;SG
etapa	javisko	etapa	javisko	N;FEM;SG	N;NOM;NEUT;SG
etapa	fáze	etapa	fáza	N;FEM;SG	N;DAT;FEM;SG
etapa	fáza	etapa	fáza	N;FEM;SG	N;NOM;FEM;SG
etapa	pódium	etapa	pódium	N;FEM;SG	N;NOM;NEUT;SG
etapa	štádium	etapa	štádium	N;FEM;SG	N;NOM;NEUT;SG
república	republike	república	republika	N;FEM;SG	N;DAT;FEM;SG
república	republika	república	republika	N;FEM;SG	N;NOM;FEM;SG
donar	dať	donar	dať	V;NFIN	V;POS;NFIN
donar	daj	donar	dať	V;NFIN	V;IPFV;IMP;SG;2;POS;FIN
donar	dajte	donar	dajte	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
cosa	vec	cosa	vec	N;FEM;SG	N;NOM;FEM;SG
ell	mu	ell	on	PRO;MASC;SG;3	PRO;ANIM;DAT;MASC;SG;3
ell	on	ell	on	PRO;MASC;SG;3	PRO;ANIM;NOM;MASC;SG;3
ell	neho	ell	on	PRO;MASC;SG;3	PRO;ANIM;GEN;MASC;SG;3
ell	ho	ell	on	PRO;MASC;SG;3	PRO;ANIM;ACC;MASC;SG;3
llista	zoznam	llista	zoznam	N;FEM;SG	N;INAN;NOM;MASC;SG
llista	zoznamu	llista	zoznam	N;FEM;SG	N;INAN;GEN;MASC;SG
important	dôležitá	important	dôležitý	ADJ;SG	ADJ;NOM;FEM;SG
important	dôležité	important	dôležitý	ADJ;SG	ADJ;NOM;NEUT;SG
important	dôležitý	important	dôležitý	ADJ;SG	ADJ;ANIM;NOM;MASC;SG
segon	druhá	segon	druhý	ADJ;MASC;SG	ADJ;NOM;FEM;SG
segon	druhé	segon	druhý	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
