dan	ve	dan	ve	CONJ	CONJ
memberikan	veriyor	menberikan	ver	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
lama	yaşlı	lama	yaşlı	ADJ;SG	ADJ
lama	uzun	lama	uzun	ADJ;SG	ADJ
saja	yalnızca	saja	yalnızca	ADV	ADV
saja	sadece	saja	sadece	ADV	ADV
halaman	sayfaya	halaman	sayfa	N;SG	N;DAT;SG;3
halaman	sayfada	halaman	sayfa	N;SG	N;ESS;SG;3
halaman	sayfası	halaman	sayfa	N;SG	N;NOM;SG;3
halaman	sayfayı	halaman	sayfa	N;SG	N;ACC;SG;3
orbit	yörüngeleri	orbit	yörünge	N	N;ACC;PL;3
diterbitkan	yayınlanan	diterbitkan	yayınla	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
diterbitkan	yayınlanmış	diterbitkan	yayınla	V;SG;PASS	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
diterbitkan	yayınlandı	diterbitkan	yayınla	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
diterbitkan	yayımlandı	diterbitkan	yayımla	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
tokoh	karakteri	tokoh	karakteri	N;SG	N;ESS;SG;3
penghargaan	ödülü	penhargaan	ödül	N;SG	N;ACC;SG;3
klub	kulübü	klub	kulüb	N;SG	N;NOM;SG;3
terkenal	ünlü	terkenal	ünlü	ADJ;SG;PASS	ADJ
ketua	koltuk	ketua	koltuk	N;SG	N;NOM;SG;3
ketua	sandalye	ketua	sandalye	N;SG	N;NOM;SG;3
gunung	mountain	gunung	mountain	N;SG	N;NOM;SG;3
bintang	yıldızlı	bintang	yıldızlı	N;SG	N;NOM;SG;3
jalur	yolu	jalur	yol	N;SG	N;ACC;SG;3
ibu	anne	ibu	anne	N;SG	N;NOM;SG;3
ibu	annem	ibu	anne	N;SG	N;NOM;SG;3
ibu	anne	ibu	anne	N;SG	N;NOM;SG;3
ibu	annesi	ibu	anne	N;SG	N;NOM;SG;3
tingkat	oranı	tingkat	oran	N;SG	N;NOM;SG;3
kereta	trenle	kereta	trenl	N;SG	N;INS;SG;3
ruang	oda	ruang	oda	N;SG	N;NOM;SG;3
empat	dört	empat	dört	NUM	NUM
ekonomi	ekonomisi	ekonomi	ekonomi	N;SG	N;NOM;SG;3
organisasi	organizasyon	organisasi	organizasyon	N;SG	N;NOM;SG;3
organisasi	organizasyon	organisasi	organizasyon	N;SG	N;NOM;SG;3
organisasi	organizasyon	organisasi	organizasyon	N;SG	N;NOM;SG;3
organisasi	organizasyon	organisasi	organizasyon	N;SG	N;NOM;SG;3
bahan	madde	bahan	madde	N;SG	N;NOM;SG;3
ilmiah	bilimsel	ilmiah	bilimsel	ADJ;SG	ADJ
angkatan	sınıf	angkatan	sınıf	N;SG	N;NOM;SG;3
dibuat	yapılmış	dibuat	yap	V;SG;PASS	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
dibuat	yapıldı	dibuat	yap	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
dibuat	yaratılmış	dibuat	yarat	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
dibuat	oluşturuldu	dibuat	oluş	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
dibuat	yaratıldı	dibuat	yarat	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
dibuat	yarattı	dibuat	yarat	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
dibuat	oluşturulan	dibuat	oluş	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
berkas	dosyası	berkas	dosya	N;SG	N;NOM;SG;3
bekerja	çalışma	bekerja	çalış	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
bekerja	çalışmak	bekerja	çalış	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
bekerja	çalışıyorum	bekerja	çalış	V;SG;ACT	V;PROG;IND;SG;1;POS;INFM;PRS
bekerja	çalışıyor	bekerja	çalış	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
bekerja	çalışmak	bekerja	çalış	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
bekerja	çalışıyor	bekerja	çalış	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
putra	oğlum	putra	oğul	N;SG	N;NOM;SG;3
kaki	ayak	kaki	ayak	N;SG	N;NOM;SG;3
kaki	ayak	kaki	ayak	N;SG	N;NOM;SG;3
kaki	ayağı	kaki	ayak	N;SG	N;NOM;SG;3
label	etiketi	label	etiket	N;SG	N;NOM;SG;3
kehidupan	yaşam	kehidupan	yaşam	N;SG	N;NOM;SG;3
website	site	website	sit	N;SG	N;NOM;SG;3
terbentuk	oluştu	terbentuk	oluş	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
terbentuk	oluşturulmuş	terbentuk	oluş	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
ditemukan	keşfetmiş	ditemukan	keşfet	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST
ditemukan	keşfetti	ditemukan	keşfet	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
ditemukan	keşfedildi	ditemukan	keşfet	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
ditemukan	bulunmuş	ditemukan	bul	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
ditemukan	bulundu	ditemukan	bulun	V;SG;PASS	V;PFV;IND;SG;3;POS;PST
ditemukan	buldum	ditemukan	bul	V;SG;PASS	V;PFV;IND;SG;1;POS;PST
kurang	az	kurang	az	ADV;SG	ADV
informasi	bilgi	informasi	bilgi	N;SG	N;NOM;SG;3
makanan	yemek	makanan	yemek	N;SG	N;NOM;SG;3
web	internet	web	internet	N	N;NOM;SG;3
mencapai	ulaşmak	mencapai	ulaş	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
mencapai	ulaştı	mencapai	ulaş	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
mencapai	başarmak	mencapai	başar	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
cinta	aşk	cinta	aşk	N;SG	N;NOM;SG;3
cinta	cinta	cinta	cinta	N;SG	N;NOM;SG;3
mungkin	belki	mungkin	belki	ADV	ADV
mungkin	belki	mungkin	belki	ADV	ADV
meninggal	öldü	mentinggal	öl	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
meninggal	öldüm	mentinggal	öl	V;SG;ACT	V;PFV;IND;SG;1;POS;PST
meninggal	ölmüş	mentinggal	öl	V;SG;ACT	V;PFV;NFH;IND;SG;3;POS;PST
surat	mektup	surat	mektup	N;SG	N;NOM;SG;3
wanita	kadınım	wanita	kadın	N;SG	N;NOM;SG;3
juta	milyonlarca	juta	milyonlarca	NUM	NUM
posisi	konum	posisi	konum	N;SG	N;NOM;SG;3
media	basında	media	bas	N;SG	N;ESS;SG;3
televisi	televizyon	televisi	televizyon	N;SG	N;NOM;SG;3
nya	onun	nya	o	PRO	PRO;GEN;SG;3
nya	onu	nya	o	PRO	PRO;ACC;SG;3
nya	onun	nya	o	PRO	PRO;GEN;SG;3
nya	onu	nya	o	PRO	PRO;ACC;SG;3
lisensi	ehliyet	lisensi	ehliyet	N;SG	N;NOM;SG;3
lisensi	ehliyet	lisensi	ehliyet	N;SG	N;NOM;SG;3
nomor	numarası	nomor	numara	N;SG	N;NOM;SG;3
muncul	göründü	muncul	görün	V;SG;ACT	V;PFV;IND;SG;3;POS;PST
muncul	görünüyor	muncul	görün	V;SG;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
khusus	özel	khusus	özel	ADJ;SG	ADJ
khusus	özel	khusus	özel	ADJ;SG	ADJ
berarti	demek	berarti	de	V;SG;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
penting	onemli	penting	onemli	ADJ;SG	ADJ
gelar	derecesi	gelar	derece	N;SG;ACT	N;NOM;SG;3
gelar	diploma	gelar	diplom	N;SG;ACT	N;NOM;SG;3
gelar	başlığı	gelar	başlık	N;SG;ACT	N;NOM;SG;3
didirikan	kurulmuş	didirikan	kur	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
didirikan	kurulan	didirikan	kur	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
didirikan	kuruldu	didirikan	kur	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
didirikan	kurulmuştur	didirikan	kur	V;SG;PASS	V;PFV;NFH;SG;3;POS;PST;PASS
didirikan	kurulmuş	didirikan	kur	V;SG;PASS	V;PFV;NFH;IND;SG;3;POS;PST;PASS
didirikan	kuruldu	didirikan	kur	V;SG;PASS	V;PFV;IND;SG;3;POS;PST;PASS
didirikan	kurulan	didirikan	kur	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
mata	göz	mata	göz	N;SG	N;NOM;SG;3
mata	göz	mata	göz	N;SG	N;NOM;SG;3
mata	gözü	mata	göz	N;SG	N;NOM;SG;3
mata	gözün	mata	göz	N;SG	N;GEN;SG;3
mesin	makine	mesin	makine	N;SG	N;NOM;SG;3
mesin	motoru	mesin	motor	N;SG	N;ACC;SG;3
mesin	makine	mesin	makine	N;SG	N;NOM;SG;3
mesin	makine	mesin	makine	N;SG	N;NOM;SG;3
kitab	kitap	kitab	kitap	N;SG	N;NOM;SG;3
dianggap	algılanan	dianggap	algıla	V;SG;PASS	V;PFV;IND;POS;PRS;V.PTCP;PASS
distrik	ilçesi	distrik	ilçe	N;SG	N;NOM;SG;3
distrik	semt	distrik	semt	N;SG	N;NOM;SG;3
