hab	hab	hab	hab	N;FEM;SG	N;INDF;MASC+FEM;SG
colonos	kolonister	colono	kolonist	N;MASC;PL	N;INDF;MASC+FEM;PL
colonos	bosættere	colono	bosættere	N;MASC;PL	N;INDF;MASC+FEM;PL
cultivo	dyrkning	cultivo	dyrkning	N;MASC;SG	N;INDF;MASC+FEM;SG
galo	pik	galo	på	N;MASC;SG	N;INDF;MASC+FEM;SG
galo	hane	galo	hane	N;MASC;SG	N;INDF;MASC+FEM;SG
reuniões	samlinger	reunião	samling	N;FEM;PL	N;INDF;MASC+FEM;PL
gerações	generationers	geração	generation	N;FEM;PL	N;GEN;INDF;MASC+FEM;PL
gerações	generationerne	geração	generation	N;FEM;PL	N;DEF;MASC+FEM;PL
gerações	generationer	geração	generation	N;FEM;PL	N;INDF;MASC+FEM;PL
capitais	hovedstæderne	capital	hovedstæder	N;MASC;PL	N;DEF;MASC+FEM;PL
capitais	hovedstæder	capital	hovedstæde	N;MASC;PL	N;INDF;MASC+FEM;PL
piso	gulvet	piso	gulv	N;MASC;SG	N;DEF;NEUT;SG
piso	etage	piso	etage	N;MASC;SG	N;INDF;MASC+FEM;SG
piso	gulv	piso	gulv	N;MASC;SG	N;INDF;NEUT;SG
minnesota	minnesota	minnesota	minnesota	N;FEM;SG	N;INDF;NEUT;SG
pagina	side	pagina	side	N;FEM;SG	N;INDF;MASC+FEM;SG
leme	ror	leme	ror	N;MASC;SG	N;INDF;MASC+FEM;SG
leme	roret	leme	ror	N;MASC;SG	N;DEF;NEUT;SG
leme	ror	leme	ror	N;MASC;SG	N;INDF;MASC+FEM;SG
selvagem	vildt	selvagem	vildt	ADJ;MASC;SG	ADJ;INDF;NEUT;SG
selvagem	vildtlevende	selvagem	vildtlevende	ADJ;MASC;SG	ADJ
selvagem	vild	selvagem	vild	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
selvagem	vild	selvagem	vild	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
transmitida	fremsendt	transmitir	fremsende	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
transmitida	videresendt	transmitir	videresendt	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
formatos	formater	formato	format	N;MASC;PL	N;INDF;MASC+FEM;PL
aceitação	accept	aceitação	accept	N;FEM;SG	N;INDF;MASC+FEM;SG
recebem	modtager	receber	modtage	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
recebem	modtage	receber	modtage	V;IND;PL;3;PRS;FIN	V;NFIN;ACT
sítios	sites	sítio	sites	N;MASC;PL	N;INDF;MASC+FEM;PL
sítios	lokaliteter	sítio	lokalitet	N;MASC;PL	N;INDF;MASC+FEM;PL
sítios	pladser	sítio	plads	N;MASC;PL	N;INDF;MASC+FEM;PL
sítios	steder	sítio	sted	N;MASC;PL	N;INDF;NEUT;PL
bandeiras	bannere	bandeira	bannere	N;FEM;PL	N;INDF;MASC+FEM;PL
túmulo	grav	túmulo	grav	N;MASC;SG	N;INDF;MASC+FEM;SG
túmulo	gravsted	túmulo	gravsted	N;MASC;SG	N;INDF;NEUT;SG
túmulo	graven	túmulo	grav	N;MASC;SG	N;DEF;MASC+FEM;SG
túmulo	grav	túmulo	grav	N;MASC;SG	N;INDF;MASC+FEM;SG
leonor	eleonora	leonor	eleonora	N;FEM;SG	N;INDF;MASC+FEM;SG
causada	forårsaget	causar	forårsage	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
causada	forårsagede	causar	forårsage	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
acampamento	lejren	acampamento	lejr	N;MASC;SG	N;DEF;MASC+FEM;SG
acampamento	lejr	acampamento	lejr	N;MASC;SG	N;INDF;MASC+FEM;SG
acampamento	camping	acampamento	camping	N;MASC;SG	N;INDF;MASC+FEM;SG
publicar	offentliggør	publicar	offentliggøre	V;NFIN	V;IND;PRS;FIN;ACT
publicar	udgiver	publicar	udgive	V;NFIN	V;IND;PRS;FIN;ACT
publicar	offentliggør	publicar	offentliggøre	V;NFIN	V;IND;PRS;FIN;ACT
publicar	offentliggøre	publicar	offentliggøre	V;NFIN	V;NFIN;ACT
vencido	taber	vencer	tabe	V;MASC;SG;V.PTCP	V;IND;PRS;FIN;ACT
vencido	slået	vencer	slå	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
vencido	besejret	vencer	besejre	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
vencido	slået	vencer	slå	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
vencido	besejrede	vencer	besejre	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
gera	genererer	gerar	generere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gera	genererer	gerar	generere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN;ACT
gera	generere	gerar	generere	V;IND;SG;3;PRS;FIN	V;NFIN;ACT
pedindo	spørger	pedir	spørge	V;V.MSDR	V;IND;PRS;FIN;ACT
pedindo	spørge	pedir	spørge	V;V.MSDR	V;NFIN;ACT
atribuída	tildelte	atribuir	tildele	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
atribuída	tildelt	atribuir	tildele	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
atribuída	anvist	atribuir	anvise	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
atribuída	tilskrevet	atribuir	tilskrive	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
atribuída	tildelt	atribuir	tildele	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
atribuída	henført	atribuir	henføre	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
imigração	indvandringen	imigração	indvandring	N;FEM;SG	N;DEF;MASC+FEM;SG
imigração	immigration	imigração	immigration	N;FEM;SG	N;INDF;MASC+FEM;SG
imigração	indvandring	imigração	indvandring	N;FEM;SG	N;INDF;MASC+FEM;SG
controvérsia	polemik	controvérsia	polemik	N;FEM;SG	N;INDF;MASC+FEM;SG
controvérsia	strid	controvérsia	strid	N;FEM;SG	N;INDF;MASC+FEM;SG
controvérsia	kontrovers	controvérsia	kontrovers	N;FEM;SG	N;INDF;MASC+FEM;SG
controvérsia	uenighed	controvérsia	uenighed	N;FEM;SG	N;INDF;MASC+FEM;SG
roman	roman	roman	roman	N;MASC;SG	N;INDF;MASC+FEM;SG
roman	romer	roman	rome	N;MASC;SG	N;INDF;MASC+FEM;SG
roman	romersk	roman	romersk	N;MASC;SG	N;INDF;MASC+FEM;SG
aumentando	voksende	aumentar	vokse	V;V.MSDR	V;PRS;V.PTCP
aumentando	stigende	aumentar	stige	V;V.MSDR	V;PRS;V.PTCP
coloração	farvestof	coloração	farvestof	N;FEM;SG	N;INDF;NEUT;SG
coloração	farvning	coloração	farvning	N;FEM;SG	N;INDF;MASC+FEM;SG
semelhança	ligheden	semelhança	lighed	N;FEM;SG	N;DEF;MASC+FEM;SG
semelhança	lighed	semelhança	lighed	N;FEM;SG	N;INDF;MASC+FEM;SG
semelhança	ligheden	semelhança	lighed	N;FEM;SG	N;DEF;MASC+FEM;SG
semelhança	lighed	semelhança	lighed	N;FEM;SG	N;INDF;MASC+FEM;SG
expressa	udtrykker	esprimir	udtrykke	V;FEM;SG;V.PTCP	V;IND;PRS;FIN;ACT
expressa	udtrykke	esprimir	udtrykke	V;FEM;SG;V.PTCP	V;NFIN;ACT
expressa	udtrykt	esprimir	udtrykke	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
mars	mars	mar	mars	N;MASC;SG	N;INDF;MASC+FEM;SG
proprietários	ejere	proprietário	ejer	N;MASC;PL	N;INDF;MASC+FEM;PL
proprietários	ejerne	proprietário	ejerne	N;MASC;PL	N;DEF;MASC+FEM;PL
proprietários	husejere	proprietário	husejere	N;MASC;PL	N;INDF;NEUT;PL
proprietários	jordejere	proprietário	jordejer	N;MASC;PL	N;INDF;MASC+FEM;PL
actividades	aktiviteterne	actividade	aktivitet	N;FEM;PL	N;DEF;MASC+FEM;PL
actividades	aktiviteter	actividade	aktivitet	N;FEM;PL	N;INDF;MASC+FEM;PL
polaco	polak	polaco	polak	N;MASC;SG	N;INDF;MASC+FEM;SG
polaco	polsk	polaco	polsk	N;MASC;SG	N;INDF;NEUT;SG
rapaz	dreng	rapaz	dreng	N;MASC;SG	N;INDF;MASC+FEM;SG
rapaz	knægt	rapaz	knægt	N;MASC;SG	N;INDF;MASC+FEM;SG
irlandês	irsk	irlandês	irsk	N;MASC;SG	N;INDF;NEUT;SG
irlandês	irer	irlandês	irer	N;MASC;SG	N;INDF;MASC+FEM;SG
combates	slåskampe	combate	slåskampe	N;MASC;PL	N;INDF;MASC+FEM;PL
combates	kampe	combate	kamp	N;MASC;PL	N;INDF;MASC+FEM;PL
enviados	sendes	enviar	sende	V;MASC;PL;V.PTCP	V;IND;PRS;FIN;PASS
enviados	sendte	enviar	sende	V;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
saiba	vide	saber	vide	V;SBJV;SG;3;PRS;FIN	V;NFIN;ACT
divisa	valuta	divisa	valuta	N;FEM;SG	N;INDF;MASC+FEM;SG
divisa	møntenhed	divisa	møntenhed	N;FEM;SG	N;INDF;MASC+FEM;SG
reunir	samle	reunir	samle	V;NFIN	V;NFIN;ACT
reunir	saml	reunir	saml	V;NFIN	V;IMP
reunir	genforenes	reunir	genfor	V;NFIN	V;IND;PRS;FIN;PASS
reunir	genforene	reunir	genfor	V;NFIN	V;NFIN;ACT
sonda	sonde	sondar	sonde	N;FEM;SG	N;INDF;MASC+FEM;SG
sonda	sonden	sondar	sond	N;FEM;SG	N;DEF;MASC+FEM;SG
contínua	kontinuert	contínuo	kontinuert	N;FEM;SG	N;INDF;MASC+FEM;SG
pleno	mæt	pleno	mæt	ADJ;MASC;SG	ADJ;INDF;SG
pleno	fuld	pleno	fuld	ADJ;MASC;SG	ADJ;INDF;MASC+FEM;SG
pleno	fulde	pleno	fuld	ADJ;MASC;SG	ADJ;DEF;SG
ofensiva	offensiv	ofensiva	offensiv	N;FEM;SG	N;INDF;MASC+FEM;SG
ofensiva	offensiven	ofensiva	offensiv	N;FEM;SG	N;DEF;MASC+FEM;SG
mancha	pletten	mancha	plet	N;FEM;SG	N;DEF;MASC+FEM;SG
mancha	plet	mancha	plet	N;FEM;SG	N;INDF;MASC+FEM;SG
mancha	plet	mancha	plet	N;FEM;SG	N;INDF;MASC+FEM;SG
mamíferos	pattedyr	mamífero	pattedyr	N;MASC;PL	N;INDF;NEUT;PL
mamíferos	pattedyr	mamífero	pattedyr	N;MASC;PL	N;INDF;NEUT;PL
fracasso	svigt	fracasso	svig	N;MASC;SG	N;INDF;NEUT;SG
fracasso	fiasko	fracasso	fiasko	N;MASC;SG	N;INDF;MASC+FEM;SG
solos	soloer	solo	soloe	N;MASC;PL	N;INDF;MASC+FEM;PL
armazenamento	oplagring	armazenamento	oplagring	N;MASC;SG	N;INDF;MASC+FEM;SG
armazenamento	lagring	armazenamento	lagring	N;MASC;SG	N;INDF;MASC+FEM;SG
armazenamento	opbevaring	armazenamento	opbevaring	N;MASC;SG	N;INDF;MASC+FEM;SG
códigos	kodekser	código	kodekse	N;MASC;PL	N;INDF;MASC+FEM;PL
códigos	koder	código	kode	N;MASC;PL	N;INDF;MASC+FEM;PL
códigos	koderne	código	kode	N;MASC;PL	N;DEF;MASC+FEM;PL
cidadania	borgerskab	cidadania	borgerskab	N;FEM;SG	N;INDF;NEUT;SG
cidadania	medborgerskab	cidadania	medborgerskab	N;FEM;SG	N;INDF;NEUT;SG
cidadania	statsborgerskab	cidadania	statsborgerskab	N;FEM;SG	N;INDF;NEUT;SG
cidadania	unionsborgerskab	cidadania	unionsborgerskab	N;FEM;SG	N;INDF;NEUT;SG
acompanhar	ledsage	acompanhar	ledsage	V;NFIN	V;NFIN;ACT
acompanhar	medfølger	acompanhar	medfølge	V;NFIN	V;IND;PRS;FIN;ACT
plena	mæt	pleno	mæt	ADJ;FEM;SG	ADJ;INDF;SG
plena	fuld	pleno	fuld	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
plena	fulde	pleno	fuld	ADJ;FEM;SG	ADJ;DEF;SG
citados	citerede	citar	citere	V;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
distribuído	fordelt	distribuir	fordele	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
distribuído	uddelt	distribuir	uddele	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
distribuído	distribueret	distribuir	distribuere	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
distribuído	omdelt	distribuir	omdele	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
wolf	ulven	wolf	ulv	N;MASC;SG	N;DEF;NEUT;SG
wolf	ulv	wolf	ulv	N;MASC;SG	N;INDF;MASC+FEM;SG
variam	varierer	variar	variere	V;IND;PL;3;PRS;FIN	V;IND;PRS;FIN;ACT
danilo	danilo	danilo	danilo	N;MASC;SG	N;INDF;MASC+FEM;SG
tópicos	emner	tópico	emne	N;MASC;PL	N;INDF;NEUT;PL
tópicos	emnerne	tópico	emne	N;MASC;PL	N;DEF;NEUT;PL
tópicos	tråde	tópico	tråde	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	samarbejdspartnere	colaborador	samarbejdspartner	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	bidragydere	colaborador	bidragyder	N;MASC;PL	N;INDF;MASC+FEM;PL
colaboradores	bidragsydere	colaborador	bidragsyder	N;MASC;PL	N;INDF;MASC+FEM;PL
rotação	rotation	rotação	rotation	N;FEM;SG	N;INDF;MASC+FEM;SG
rotação	rotation	rotação	rotation	N;FEM;SG	N;INDF;MASC+FEM;SG
rotação	drejning	rotação	drejning	N;FEM;SG	N;INDF;MASC+FEM;SG
catolicismo	katolik	catolicismo	katolik	N;MASC;SG	N;INDF;MASC+FEM;SG
catolicismo	katolicismen	catolicismo	katolicisme	N;MASC;SG	N;DEF;MASC+FEM;SG
destruída	udslettet	destruir	udslette	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
destruída	ødelagt	destruir	ødelægge	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
destruída	tilintetgjort	destruir	tilintetgjort	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
destruída	destrueret	destruir	destruere	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
ciclone	cyklonen	ciclone	cyklon	N;MASC;SG	N;DEF;MASC+FEM;SG
exclusiva	eksklusivt	exclusivo	eksklusiv	ADJ;FEM;SG	ADJ;INDF;NEUT;SG
exclusiva	eksklusiv	exclusivo	eksklusiv	ADJ;FEM;SG	ADJ;INDF;MASC+FEM;SG
mandatos	mandater	mandato	mandat	N;MASC;PL	N;INDF;NEUT;PL
mandatos	mandaterne	mandato	mandat	N;MASC;PL	N;DEF;NEUT;PL
júri	jury	júri	jury	N;MASC;SG	N;INDF;MASC+FEM;SG
júri	juryen	júri	jury	N;MASC;SG	N;DEF;MASC+FEM;SG
caribe	vestindien	caribe	vestindie	N;MASC;SG	N;DEF;MASC+FEM;SG
caribe	caribien	caribe	caribi	N;MASC;SG	N;DEF;MASC+FEM;SG
giuseppe	giuseppe	giuseppe	giuseppe	N;MASC;SG	N;INDF;MASC+FEM;SG
internos	praktikanter	interno	praktikant	N;MASC;PL	N;INDF;MASC+FEM;PL
palestina	palæstina	palestina	palæstina	N;FEM;SG	N;INDF;MASC+FEM;SG
palestina	palæstina	palestina	palæstina	N;FEM;SG	N;INDF;MASC+FEM;SG
aldeias	landsbyer	aldeia	landsby	N;FEM;PL	N;INDF;MASC+FEM;PL
aldeias	landsbyerne	aldeia	landsby	N;FEM;PL	N;DEF;MASC+FEM;PL
choque	chok	choque	chok	N;MASC;SG	N;INDF;NEUT;SG
choque	stød	choque	stød	N;MASC;SG	N;INDF;NEUT;SG
restrições	begrænsninger	restrição	begrænsning	N;FEM;PL	N;INDF;MASC+FEM;PL
restrições	restriktioner	restrição	restriktion	N;FEM;PL	N;INDF;MASC+FEM;PL
restrições	restriktioner	restrição	restriktion	N;FEM;PL	N;INDF;MASC+FEM;PL
restrições	begrænsninger	restrição	begrænsning	N;FEM;PL	N;INDF;MASC+FEM;PL
desfile	paraden	desfilar	parad	N;MASC;SG	N;DEF;MASC+FEM;SG
desfile	parade	desfilar	parad	N;MASC;SG	N;INDF;MASC+FEM;SG
regularmente	jævnligt	regularmente	jævnligt	ADV	ADV
regularmente	regelmæssigt	regularmente	regelmæssigt	ADV	ADV
pesos	lodder	peso	lodder	N;MASC;PL	N;INDF;MASC+FEM;PL
inserção	indsættelse	inserção	indsættelse	N;FEM;SG	N;INDF;MASC+FEM;SG
inserção	indføring	inserção	indføring	N;FEM;SG	N;INDF;MASC+FEM;SG
fischer	fischer	fischer	fische	N;MASC;SG	N;INDF;MASC+FEM;SG
evil	ondskab	evil	ondskab	N;MASC;SG	N;INDF;MASC+FEM;SG
premiado	tildelte	premiar	tildele	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
premiado	uddelt	premiar	uddele	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
premiado	tildelt	premiar	tildele	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
igualdade	ligestilling	igualdade	ligestilling	N;FEM;SG	N;INDF;MASC+FEM;SG
igualdade	lighed	igualdade	lighed	N;FEM;SG	N;INDF;MASC+FEM;SG
igualdade	ligebehandling	igualdade	ligebehandling	N;FEM;SG	N;INDF;MASC+FEM;SG
aonde	hvor	aonde	hvor	ADV	ADV
coleópteros	biller	coleóptero	bille	N;MASC;PL	N;INDF;MASC+FEM;PL
reações	reaktioner	reação	reaktion	N;FEM;PL	N;INDF;MASC+FEM;PL
reações	reaktionerne	reação	reaktion	N;FEM;PL	N;DEF;MASC+FEM;PL
reações	tilbagemeldinger	reação	tilbagemelding	N;FEM;PL	N;INDF;MASC+FEM;PL
rubens	rubens	rubem	rub	N;MASC;SG	N;GEN;DEF;MASC+FEM;SG
visitar	besøge	visitar	besøge	V;NFIN	V;NFIN;ACT
run	løb	run	løb	N;MASC;SG	N;INDF;NEUT;SG
capturado	fanget	capturar	fange	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
capturado	fangede	capturar	fange	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
capturado	indfanget	capturar	indfange	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
reno	rhinen	reno	rhin	N;MASC;SG	N;DEF;MASC+FEM;SG
reno	rhin	reno	rhin	N;MASC;SG	N;INDF;MASC+FEM;SG
primário	primer	primário	prim	N;MASC;SG	N;INDF;MASC+FEM;SG
primário	primær	primário	primær	N;MASC;SG	N;INDF;NEUT;SG
coberta	dækket	cobrir	dække	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
coberta	overdækket	cobrir	overdække	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
coberta	dækkede	cobrir	dække	V;FEM;SG;V.PTCP	V;PST;V.PTCP
coberta	afdækkede	cobrir	afdække	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
coberta	afdækket	cobrir	afdække	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
valley	dal	valley	dal	N;MASC;SG	N;INDF;MASC+FEM;SG
valley	valley	valley	valley	N;MASC;SG	N;INDF;MASC+FEM;SG
valley	dalen	valley	dal	N;MASC;SG	N;DEF;MASC+FEM;SG
traduções	oversættelser	tradução	oversættelse	N;FEM;PL	N;INDF;MASC+FEM;PL
defensores	forsvarere	defensor	forsvarer	N;MASC;PL	N;INDF;MASC+FEM;PL
defensores	fortalerne	defensor	fortale	N;MASC;PL	N;DEF;MASC+FEM;PL
defensores	fortalere	defensor	fortaler	N;MASC;PL	N;INDF;MASC+FEM;PL
lar	startside	lar	startside	N;MASC;SG	N;INDF;MASC+FEM;SG
completou	gennemført	completar	gennemføre	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
completou	afsluttet	completar	afslutte	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
completou	udfyldt	completar	udfylde	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
completou	afsluttede	completar	afslutte	V;IND;SG;3;PST;FIN	V;IND;PST;FIN;ACT
completou	fuldført	completar	fuldføre	V;IND;SG;3;PST;FIN	V;INDF;SG;PST;V.PTCP
facilidade	lethed	facilidade	lethed	N;FEM;SG	N;INDF;MASC+FEM;SG
facilidade	facilitet	facilidade	facilitet	N;FEM;SG	N;INDF;MASC+FEM;SG
facilidade	faciliteten	facilidade	facilitet	N;FEM;SG	N;DEF;MASC+FEM;SG
gases	gasser	gase	gasse	N;MASC;PL	N;INDF;MASC+FEM;PL
gases	luftarter	gase	luftart	N;MASC;PL	N;INDF;NEUT;PL
mecanismos	mekanismer	mecanismo	mekanisme	N;MASC;PL	N;INDF;MASC+FEM;PL
mecanismos	mekanismerne	mecanismo	mekanisme	N;MASC;PL	N;DEF;MASC+FEM;PL
acreditar	tro	acreditar	tro	V;NFIN	V;NFIN;ACT
concluída	gennemført	concluído	gennemføre	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluída	afsluttet	concluído	afslutte	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluída	udfyldt	concluído	udfylde	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluída	afsluttede	concluído	afslutte	V;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
concluída	fuldført	concluído	fuldføre	V;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
eleitores	vælgere	eleitor	vælger	N;MASC;PL	N;INDF;MASC+FEM;PL
eleitores	vælgerne	eleitor	vælger	N;MASC;PL	N;DEF;MASC+FEM;PL
eleitores	vælgere	eleitor	vælger	N;MASC;PL	N;INDF;MASC+FEM;PL
eleitores	vælgere	eleitor	vælger	N;MASC;PL	N;INDF;MASC+FEM;PL
eleitores	vælgerne	eleitor	vælger	N;MASC;PL	N;DEF;MASC+FEM;PL
august	august	august	august	N;MASC;SG	N;INDF;MASC+FEM;SG
qualificação	kvalifikation	qualificação	kvalifikation	N;FEM;SG	N;INDF;MASC+FEM;SG
qualificação	kvalificering	qualificação	kvalificering	N;FEM;SG	N;INDF;MASC+FEM;SG
luke	luke	luke	luke	N;MASC;SG	N;INDF;MASC+FEM;SG
luke	lukas	luke	lukas	N;MASC;SG	N;INDF;MASC+FEM;SG
concluído	gennemført	concluir	gennemføre	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluído	afsluttet	concluir	afslutte	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluído	udfyldt	concluir	udfylde	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluído	afsluttede	concluir	afslutte	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
concluído	fuldført	concluir	fuldføre	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluído	afsluttet	concluir	afslutte	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
concluído	afsluttede	concluir	afslutte	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
robinson	robinson	robinson	robinson	N;MASC;SG	N;INDF;MASC+FEM;SG
pátio	gården	pátio	gård	N;MASC;SG	N;DEF;MASC+FEM;SG
pátio	gårdspladsen	pátio	gårdsplads	N;MASC;SG	N;DEF;MASC+FEM;SG
pátio	værftet	pátio	værfte	N;MASC;SG	N;DEF;NEUT;SG
pátio	værft	pátio	værft	N;MASC;SG	N;INDF;NEUT;SG
pátio	terrasse	pátio	terrasse	N;MASC;SG	N;INDF;MASC+FEM;SG
pátio	terrassen	pátio	terrasse	N;MASC;SG	N;DEF;MASC+FEM;SG
fortificações	befæstninger	fortificação	befæstning	N;FEM;PL	N;INDF;MASC+FEM;PL
western	vest	western	vest	N;MASC;SG	N;INDF
western	western	western	western	N;MASC;SG	N;INDF;MASC+FEM;SG
culpa	skylden	culpa	skyld	N;FEM;SG	N;DEF;MASC+FEM;SG
culpa	skyld	culpa	skyld	N;FEM;SG	N;INDF;MASC+FEM;SG
culpa	skyld	culpa	skyld	N;FEM;SG	N;INDF;MASC+FEM;SG
culpa	skyldfølelse	culpa	skyldfølelse	N;FEM;SG	N;INDF;MASC+FEM;SG
falado	talt	falar	tale	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
falado	snakket	falar	snakke	V;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
falado	talte	falar	tale	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
emancipação	frigørelse	emancipação	frigørelse	N;FEM;SG	N;INDF;MASC+FEM;SG
mina	mine	mina	mine	N;FEM;SG	N;INDF;MASC+FEM;SG
circunstâncias	omstændigheder	circunstância	omstændighed	N;FEM;PL	N;INDF;MASC+FEM;PL
circunstâncias	omstændighederne	circunstância	omstændighed	N;FEM;PL	N;DEF;MASC+FEM;PL
