من	od	مِن	od	ADP	ADP
مدينة	miejscowość	مَدِينَة	miejscowość	N;NOM;INDF;SG	N;NOM;FEM;SG
مدينة	miasto	مَدِينَة	miasto	N;NOM;INDF;SG	N;NOM;NEUT;SG
المدينة	miejscowość	مَدِينَة	miejscowość	N;NOM;DEF;SG	N;NOM;FEM;SG
المدينة	miasto	مَدِينَة	miasto	N;NOM;DEF;SG	N;NOM;NEUT;SG
المدينة	miejscowość	مَدِينَة	miejscowość	N;NOM;DEF;SG	N;NOM;FEM;SG
المدينة	miasto	مَدِينَة	miasto	N;NOM;DEF;SG	N;NOM;NEUT;SG
قبل	przed	قَبلَ	przed	ADP;ACC	ADP
كرة	piłka	كُرَة	piłka	N;NOM;INDF;SG	N;NOM;FEM;SG
الله	bóg	اَللّٰه	bóg	N;NOM;DEF;SG	N;NOM;MASC;SG
الله	allah	اَللّٰه	allah	N;NOM;DEF;SG	N;NOM;MASC;SG
مساحة	teren	مِسَاحَة	teren	N;NOM;INDF;SG	N;NOM;MASC;SG
مساحة	powierzchnia	مِسَاحَة	powierzchnia	N;NOM;INDF;SG	N;NOM;FEM;SG
مساحة	obszar	مِسَاحَة	obszar	N;NOM;INDF;SG	N;NOM;MASC;SG
مساحة	przestrzeń	مِسَاحَة	przestrzeń	N;NOM;INDF;SG	N;NOM;FEM;SG
محافظة	województwo	مُحَافَظَة	województwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
محافظة	prowincja	مُحَافَظَة	prowincja	N;NOM;INDF;SG	N;NOM;FEM;SG
خلال	podczas	خِلَالَ	podczas	ADP;ACC	ADP
خلال	przez	خِلَالَ	przez	ADP;ACC	ADP
الولايات	stany	وِلَايَة	stany	N;NOM;DEF;PL	N;NOM;MASC;PL
الصورة	fotografia	صُورَة	fotografia	N;NOM;DEF;SG	N;NOM;FEM;SG
الصورة	zdjęcie	صُورَة	zdjęcie	N;NOM;DEF;SG	N;NOM;NEUT;SG
الصورة	obrazek	صُورَة	obrazek	N;NOM;DEF;SG	N;NOM;MASC;SG
الصورة	obraz	صُورَة	obraz	N;NOM;DEF;SG	N;NOM;MASC;SG
الصورة	rysunek	صُورَة	rysunek	N;NOM;DEF;SG	N;NOM;MASC;SG
الصورة	obrazek	صُورَة	obrazek	N;NOM;DEF;SG	N;NOM;MASC;SG
الصورة	obraz	صُورَة	obraz	N;NOM;DEF;SG	N;NOM;MASC;SG
الصورة	zdjęcie	صُورَة	zdjęcie	N;NOM;DEF;SG	N;NOM;NEUT;SG
فرق	różnice	فِرقَة	różnica	N;NOM;INDF;PL	N;NOM;FEM;PL
فرق	zespoły	فِرقَة	zespół	N;NOM;INDF;PL	N;NOM;MASC;PL
فرق	ekipy	فِرقَة	ekipa	N;NOM;INDF;PL	N;NOM;FEM;PL
العربية	arabskie	عَرَبِيّ	arabski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
العربية	arabski	عَرَبِيّ	arabski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
العربية	arabskie	عَرَبِيّ	arabski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
العربية	arabski	عَرَبِيّ	arabski	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
قائمة	wykaz	قَائِمَة	wykaz	N;NOM;INDF;SG	N;NOM;MASC;SG
قائمة	lista	قَائِمَة	list	N;NOM;INDF;SG	N;NOM;FEM;SG
قائمة	spis	قَائِمَة	spis	N;NOM;INDF;SG	N;NOM;MASC;SG
مقاطعة	hrabstwo	مُقَاطَعَة	hrabstwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
مقاطعة	okręg	مُقَاطَعَة	okręg	N;NOM;INDF;SG	N;NOM;MASC;SG
مقاطعة	województwo	مُقَاطَعَة	województwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
مقاطعة	prowincja	مُقَاطَعَة	prowincja	N;NOM;INDF;SG	N;NOM;FEM;SG
مقاطعة	bojkot	مُقَاطَعَة	bojkot	N;NOM;INDF;SG	N;NOM;MASC;SG
العالم	świat	عَالَم	świat	N;NOM;DEF;SG	N;NOM;MASC;SG
العالم	naukowiec	عَالَم	naukowiec	N;NOM;DEF;SG	N;NOM;MASC;SG
القرن	róg	قَرن	róg	N;NOM;DEF;SG	N;NOM;MASC;SG
القرن	wiek	قَرن	wiek	N;NOM;DEF;SG	N;NOM;MASC;SG
الموقع	lokalizacja	مَوقِع	lokalizacja	N;NOM;DEF;SG	N;NOM;FEM;SG
الموقع	położenie	مَوقِع	położenie	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
الثاني	druga	ثَانِي	drugi	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الثاني	drugi	ثَانِي	drugi	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
الثاني	drugie	ثَانِي	drugi	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
القدم	stopa	قَدَم	stopa	N;NOM;DEF;SG	N;NOM;FEM;SG
القدم	noga	قَدَم	noga	N;NOM;DEF;SG	N;NOM;FEM;SG
منطقة	region	مِنطَقَة	region	N;NOM;INDF;SG	N;NOM;MASC;SG
منطقة	okręg	مِنطَقَة	okręg	N;NOM;INDF;SG	N;NOM;MASC;SG
منطقة	dystrykt	مِنطَقَة	dystrykt	N;NOM;INDF;SG	N;NOM;MASC;SG
منطقة	dzielnica	مِنطَقَة	dzielnica	N;NOM;INDF;SG	N;NOM;FEM;SG
منطقة	rejon	مِنطَقَة	rejon	N;NOM;INDF;SG	N;NOM;MASC;SG
منطقة	obszar	مِنطَقَة	obszar	N;NOM;INDF;SG	N;NOM;MASC;SG
منطقة	strefa	مِنطَقَة	strefa	N;NOM;INDF;SG	N;NOM;FEM;SG
منطقة	teren	مِنطَقَة	teren	N;NOM;INDF;SG	N;NOM;MASC;SG
منطقة	powierzchnia	مِنطَقَة	powierzchnia	N;NOM;INDF;SG	N;NOM;FEM;SG
منطقة	obszar	مِنطَقَة	obszar	N;NOM;INDF;SG	N;NOM;MASC;SG
الرمز	symbol	رَمز	symbol	N;NOM;DEF;SG	N;NOM;MASC;SG
البلد	ojczyzna	بَلَد	ojczyzna	N;NOM;DEF;SG	N;NOM;FEM;SG
البلد	kraj	بَلَد	kraj	N;NOM;DEF;SG	N;NOM;MASC;SG
البلد	państwo	بَلَد	państwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
يمكن	mógł	أَمكَن	móc	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
يمكن	można	أَمكَن	można	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;PRS;FIN
تعداد	wyliczenie	تَعدَاد	wyliczyć	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
تعداد	wyliczenia	تَعدَاد	wyliczyć	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;V.MSDR
الكلية	uczelnia	كُلِّيَّة	uczelniać	N;NOM;DEF;SG	N;NOM;FEM;SG
الكلية	college	كُلِّيَّة	collega	N;NOM;DEF;SG	N;NOM;MASC;SG
الكلية	kolegium	كُلِّيَّة	kolegium	N;NOM;DEF;SG	N;NOM;NEUT;SG
الكلية	nerka	كُلِّيَّة	nerka	N;NOM;DEF;SG	N;NOM;FEM;SG
الكلية	wydział	كُلِّيَّة	wydział	N;NOM;DEF;SG	N;NOM;MASC;SG
الكلية	kadra	كُلِّيَّة	kadra	N;NOM;DEF;SG	N;NOM;FEM;SG
ولاية	stan	وِلَايَة	stan	N;NOM;INDF;SG	N;NOM;MASC;SG
ولاية	państwo	وِلَايَة	państwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
العرض	oferta	عَرض	oferty	N;NOM;DEF;SG	N;NOM;FEM;SG
العرض	pokaz	عَرض	pokaz	N;NOM;DEF;SG	N;NOM;MASC;SG
العرض	szerokość	عَرض	szerokość	N;NOM;DEF;SG	N;NOM;FEM;SG
العرض	prezentacja	عَرض	prezentacja	N;NOM;DEF;SG	N;NOM;FEM;SG
العرض	wyświetlacz	عَرض	wyświetlacz	N;NOM;DEF;SG	N;NOM;MASC;SG
العرض	wyświetlanie	عَرض	wyświetlać	N;NOM;DEF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
جامعة	uczelnia	جَامِعَة	uczelniać	N;NOM;INDF;SG	N;NOM;FEM;SG
جامعة	uniwersytet	جَامِعَة	uniwersytet	N;NOM;INDF;SG	N;NOM;MASC;SG
المساحة	teren	مِسَاحَة	teren	N;NOM;DEF;SG	N;NOM;MASC;SG
المساحة	powierzchnia	مِسَاحَة	powierzchnia	N;NOM;DEF;SG	N;NOM;FEM;SG
المساحة	obszar	مِسَاحَة	obszar	N;NOM;DEF;SG	N;NOM;MASC;SG
الطول	długość	طُول	długość	N;NOM;DEF;SG	N;NOM;FEM;SG
الطول	wzrost	طُول	wzrost	N;NOM;DEF;SG	N;NOM;MASC;SG
الطول	wysokość	طُول	wysokość	N;NOM;DEF;SG	N;NOM;FEM;SG
الحياة	dożywocie	حَيَاة	dożywocie	N;NOM;DEF;SG	N;NOM;NEUT;SG
الحياة	życie	حَيَاة	życie	N;NOM;DEF;SG	N;NOM;NEUT;SG
وصلات	linki	وُصلَة	linka	N;NOM;INDF;PL	N;NOM;FEM;PL
المركز	środek	مَركَز	środek	N;NOM;DEF;SG	N;NOM;MASC;SG
المركز	ośrodek	مَركَز	ośrodek	N;NOM;DEF;SG	N;NOM;MASC;SG
المركز	ośrodek	مَركَز	ośrodek	N;NOM;DEF;SG	N;NOM;MASC;SG
مجموعة	grupa	مَجمُوعَة	grupa	N;NOM;INDF;SG	N;NOM;FEM;SG
مجموعة	zbieranie	مَجمُوعَة	zbierać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
مجموعة	kolekcja	مَجمُوعَة	kolekcja	N;NOM;INDF;SG	N;NOM;FEM;SG
مجموعة	zbiór	مَجمُوعَة	zbiór	N;NOM;INDF;SG	N;NOM;MASC;SG
موقع	lokalizacja	مَوقِع	lokalizacja	N;NOM;INDF;SG	N;NOM;FEM;SG
موقع	położenie	مَوقِع	położenie	N;NOM;INDF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
مكان	miejsce	مَكَان	miejsce	N;NOM;INDF;SG	N;NOM;NEUT;SG
نقاش	dyskusja	نِقَاش	dyskusja	N;NOM;INDF;SG	N;NOM;FEM;SG
نقاش	omówienie	نِقَاش	omówienie	N;NOM;INDF;SG	N;NOM;NEUT;SG
نقاش	debata	نِقَاش	debata	N;NOM;INDF;SG	N;NOM;FEM;SG
الثالث	trzecia	ثَالِث	trzeci	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الثالث	trzeci	ثَالِث	trzeci	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
هناك	tam	هُنَاكَ	tam	ADV	ADV
تحت	pod	تَحتَ	pod	ADP;ACC	ADP
حجم	objętość	حَجم	objętość	N;NOM;INDF;SG	N;NOM;FEM;SG
حجم	rozmiar	حَجم	rozmiar	N;NOM;INDF;SG	N;NOM;MASC;SG
المحافظة	województwo	مُحَافَظَة	województwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
المحافظة	prowincja	مُحَافَظَة	prowincja	N;NOM;DEF;SG	N;NOM;FEM;SG
المحافظة	konserwacja	مُحَافَظَة	konserwacja	N;NOM;DEF;SG	N;NOM;FEM;SG
الحرب	wojna	حَرب	wojna	N;NOM;DEF;SG	N;NOM;FEM;SG
قرية	wioska	قَريَة	wioska	N;NOM;INDF;SG	N;NOM;FEM;SG
قرية	village	قَريَة	village	N;NOM;INDF;SG	N;NOM;MASC;SG
قرية	wieś	قَريَة	wieś	N;NOM;INDF;SG	N;NOM;FEM;SG
العام	rok	عَام	rok	N;NOM;DEF;SG	N;NOM;MASC;SG
رئيس	przewodniczący	رَئِيس	przewodniczący	N;NOM;INDF;SG	N;NOM;MASC;SG
رئيس	prezes	رَئِيس	prezes	N;NOM;INDF;SG	N;NOM;MASC;SG
رئيس	prezydent	رَئِيس	prezydent	N;NOM;INDF;SG	N;NOM;MASC;SG
رئيس	szef	رَئِيس	szef	N;NOM;INDF;SG	N;NOM;MASC;SG
رئيس	szef	رَئِيس	szef	N;NOM;INDF;SG	N;NOM;MASC;SG
الكثافة	natężenie	كَثَّافَة	natężenie	N;NOM;DEF;SG	N;NOM;NEUT;SG
الكثافة	intensywność	كَثَّافَة	intensywność	N;NOM;DEF;SG	N;NOM;FEM;SG
الكثافة	gęstość	كَثَّافَة	gęstość	N;NOM;DEF;SG	N;NOM;FEM;SG
الوفاة	śmierć	وَفَاة	śmierć	N;NOM;DEF;SG	N;NOM;FEM;SG
شعار	slogan	شِعَار	slogan	N;NOM;INDF;SG	N;NOM;MASC;SG
شعار	godło	شِعَار	godć	N;NOM;INDF;SG	N;NOM;NEUT;SG
عزلة	izolacja	عُزلَة	izolacja	N;NOM;INDF;SG	N;NOM;FEM;SG
عزلة	samotność	عُزلَة	samotność	N;NOM;INDF;SG	N;NOM;FEM;SG
كتاب	książka	كِتَاب	książka	N;NOM;INDF;SG	N;NOM;FEM;SG
مديرية	dyrekcja	مُدِيرِيَّة	dyrekcja	N;NOM;INDF;SG	N;NOM;FEM;SG
العمل	działania	عَمَل	działanie	N;NOM;DEF;SG	N;NOM;NEUT;SG
العمل	czynność	عَمَل	czynność	N;NOM;DEF;SG	N;NOM;FEM;SG
العمل	działanie	عَمَل	działać	N;NOM;DEF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
العمل	akcja	عَمَل	akcja	N;NOM;DEF;SG	N;NOM;FEM;SG
العمل	praca	عَمَل	praca	N;NOM;DEF;SG	N;NOM;FEM;SG
العمل	biznes	عَمَل	biznes	N;NOM;DEF;SG	N;NOM;MASC;SG
العمل	interes	عَمَل	interes	N;NOM;DEF;SG	N;NOM;MASC;SG
الرسمي	uroczyste	رَسمِيّ	uroczysty	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الرسمي	oficjalne	رَسمِيّ	oficjalny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الرسمي	oficjalna	رَسمِيّ	oficjalny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
الرسمي	oficjalny	رَسمِيّ	oficjalny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
الرسمي	formalne	رَسمِيّ	formalny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
الرسمي	formalny	رَسمِيّ	formalny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
سنوات	lata	سَنَة	rok	N;NOM;INDF;PL	N;NOM;MASC;PL
يوم	dzień	يَوم	dzień	N;NOM;INDF;SG	N;NOM;MASC;SG
كتابة	pisanie	كِتَابَة	pisać	N;NOM;INDF;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
كتابة	pismo	كِتَابَة	pismo	N;NOM;INDF;SG	N;NOM;NEUT;SG
طريق	droga	طَرِيق	droga	N;NOM;INDF;SG	N;NOM;FEM;SG
الدين	wyznanie	دِين	wyznanie	N;NOM;DEF;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
الدين	religia	دِين	religia	N;NOM;DEF;SG	N;NOM;FEM;SG
الدين	dług	دِين	dług	N;NOM;DEF;SG	N;NOM;MASC;SG
الدين	zadłużenie	دِين	zadłużenie	N;NOM;DEF;SG	N;NOM;NEUT;SG
مركز	środek	مَركَز	środek	N;NOM;INDF;SG	N;NOM;MASC;SG
مركز	ośrodek	مَركَز	ośrodek	N;NOM;INDF;SG	N;NOM;MASC;SG
مركز	ośrodek	مَركَز	ośrodek	N;NOM;INDF;SG	N;NOM;MASC;SG
العربي	arabskie	عَرَبِيّ	arabski	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
العربي	arabski	عَرَبِيّ	arabski	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;SG
مجلس	rada	مَجلِس	rada	N;NOM;INDF;SG	N;NOM;FEM;SG
الثانية	druga	ثَانِي	drugi	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
الثانية	drugi	ثَانِي	drugi	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
الثانية	drugie	ثَانِي	drugi	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
قيد	ograniczenie	قَيد	ograniczenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
السكان	mieszkańcy	سَاكِن	mieszkaniec	N;NOM;DEF;PL	N;NOM;MASC;PL
الدولة	stan	دَولَة	stan	N;NOM;DEF;SG	N;NOM;MASC;SG
الدولة	państwo	دَولَة	państwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
قال	powiedział	قَال	powiedzieć	V;PFV;MASC;SG;3;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
الملك	król	مَلِك	król	N;NOM;DEF;SG	N;NOM;MASC;SG
الاسم	nazwisko	اِسم	nazwisko	N;NOM;DEF;SG	N;NOM;NEUT;SG
الاسم	imię	اِسم	imię	N;NOM;DEF;SG	N;NOM;NEUT;SG
الاسم	nazwa	اِسم	nazwa	N;NOM;DEF;SG	N;NOM;FEM;SG
ولد	chłopak	وَلَد	chłopak	N;NOM;INDF;SG	N;NOM;MASC;SG
ولد	chłopiec	وَلَد	chłopiec	N;NOM;INDF;SG	N;NOM;MASC;SG
البحر	morze	بَحر	morze	N;NOM;DEF;SG	N;NOM;NEUT;SG
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N;NOM;FEM;SG
شركة	kancelaria	شَرِكَة	kancelaria	N;NOM;INDF;SG	N;NOM;FEM;SG
شركة	towarzystwo	شَرِكَة	towarzystwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
شركة	kompania	شَرِكَة	kompania	N;NOM;INDF;SG	N;NOM;FEM;SG
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N;NOM;FEM;SG
شركة	przedsiębiorstwo	شَرِكَة	przedsiębiorstwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
فيلم	folia	فِيلم	folia	N;NOM;INDF;SG	N;NOM;FEM;SG
صورة	fotografia	صُورَة	fotografia	N;NOM;INDF;SG	N;NOM;FEM;SG
صورة	zdjęcie	صُورَة	zdjęcie	N;NOM;INDF;SG	N;NOM;NEUT;SG
صورة	obrazek	صُورَة	obrazek	N;NOM;INDF;SG	N;NOM;MASC;SG
صورة	obraz	صُورَة	obraz	N;NOM;INDF;SG	N;NOM;MASC;SG
صورة	rysunek	صُورَة	rysunek	N;NOM;INDF;SG	N;NOM;MASC;SG
صورة	obrazek	صُورَة	obrazek	N;NOM;INDF;SG	N;NOM;MASC;SG
صورة	obraz	صُورَة	obraz	N;NOM;INDF;SG	N;NOM;MASC;SG
صورة	zdjęcie	صُورَة	zdjęcie	N;NOM;INDF;SG	N;NOM;NEUT;SG
بطولة	mistrzostwo	بُطُولَة	mistrzostwo	N;NOM;INDF;SG	N;NOM;NEUT;SG
بطولة	turniej	بُطُولَة	turnia	N;NOM;INDF;SG	N;NOM;MASC;SG
وفيات	zgony	وَفَاة	zgon	N;NOM;INDF;PL	N;NOM;MASC;PL
الولادة	poród	وِلَادَة	poród	N;NOM;DEF;SG	N;NOM;MASC;SG
الولادة	urodzenia	وِلَادَة	urodzić	N;NOM;DEF;SG	N;NOM;NEUT;SG
الولادة	poród	وِلَادَة	poród	N;NOM;DEF;SG	N;NOM;MASC;SG
الولادة	narodziny	وِلَادَة	narodziny	N;NOM;DEF;SG	N;NOM;NEUT;SG
المملكة	królestwo	مَملَكَة	królestwo	N;NOM;DEF;SG	N;NOM;NEUT;SG
الدوري	liga	دَورِيّ	liga	N;NOM;DEF;SG	N;NOM;FEM;SG
خلفية	kontekst	خَلفِيَّة	kontekst	N;NOM;INDF;SG	N;NOM;MASC;SG
جائزة	nagroda	جَائِزَة	nagroda	N;NOM;INDF;SG	N;NOM;FEM;SG
جائزة	wyróżnienie	جَائِزَة	wyróżnienie	N;NOM;INDF;SG	N;NOM;NEUT;SG
جائزة	nagroda	جَائِزَة	nagroda	N;NOM;INDF;SG	N;NOM;FEM;SG
نظام	układ	نِظَام	układ	N;NOM;INDF;SG	N;NOM;MASC;SG
قسم	wydział	قِسم	wydział	N;NOM;INDF;SG	N;NOM;MASC;SG
قسم	departament	قِسم	departament	N;NOM;INDF;SG	N;NOM;MASC;SG
قسم	dział	قِسم	dziać	N;NOM;INDF;SG	N;NOM;MASC;SG
قسم	dział	قِسم	dziać	N;NOM;INDF;SG	N;NOM;MASC;SG
قسم	sekcja	قِسم	sekcja	N;NOM;INDF;SG	N;NOM;FEM;SG
فترة	okres	فَترَة	okres	N;NOM;INDF;SG	N;NOM;MASC;SG
ضد	przeciwko	ضِدَّ	przeciwko	ADP;ACC	ADP
رقم	numer	رَقم	numer	N;NOM;INDF;SG	N;NOM;MASC;SG
رقم	liczba	رَقم	liczba	N;NOM;INDF;SG	N;NOM;FEM;SG
يناير	stycznia	يَنَايِر	styczeń	N;GEN;INDF;SG	N;GEN;MASC;SG
يناير	styczniu	يَنَايِر	styczeń	N;GEN;INDF;SG	N;GEN;MASC;SG
اللغة	język	لُغَة	język	N;NOM;DEF;SG	N;NOM;MASC;SG
عمل	zlecenie	عَمَل	zlecenie	N;NOM;INDF;SG	N;NOM;NEUT;SG
عمل	praca	عَمَل	praca	N;NOM;INDF;SG	N;NOM;FEM;SG
عمل	praca	عَمَل	praca	N;NOM;INDF;SG	N;NOM;FEM;SG
عمل	biznes	عَمَل	biznes	N;NOM;INDF;SG	N;NOM;MASC;SG
عمل	interes	عَمَل	interes	N;NOM;INDF;SG	N;NOM;MASC;SG
جنوب	southern	جَنُوب	southerny	N;NOM;INDF;SG	N;NOM;MASC;SG
جنوب	południe	جَنُوب	południe	N;NOM;INDF;SG	N;NOM;NEUT;SG
العالمية	uniwersalne	عَالَمِيّ	uniwersalny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
العالمية	uniwersalny	عَالَمِيّ	uniwersalny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
العالمية	powszechne	عَالَمِيّ	powszechny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
العالمية	globalny	عَالَمِيّ	globalny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;MASC;SG
العالمية	globalna	عَالَمِيّ	globalny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
العالمية	globalne	عَالَمِيّ	globalny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
كبير	duża	كَبِير	duży	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
كبير	duże	كَبِير	duży	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;SG
كبير	wielka	كَبِير	wielki	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;FEM;SG
كبير	duży	كَبِير	duży	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
كبير	wielki	كَبِير	wielki	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;MASC;SG
الوقت	czas	وَقت	czas	N;NOM;DEF;SG	N;NOM;MASC;SG
عملية	proces	عَمَلِيَّة	proces	N;NOM;INDF;SG	N;NOM;MASC;SG
