van	سے	van	سے	ADP	ADP
plaats	احاطہ	plaats	احاطہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	نشست	plaats	نشست	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	شہر	plaats	شہر	N;MASC+FEM;SG	N;ACC;MASC;SG;3
plaats	مرتبہ	plaats	مرتبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	مقام	plaats	مقام	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	منصب	plaats	منصب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	احاطہ	plaats	احاطہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	نشست	plaats	نشست	N;MASC+FEM;SG	N;NOM;MASC;SG;3
plaats	شہر	plaats	شہر	N;MASC+FEM;SG	N;ACC;MASC;SG;3
onder	زیر	onder	زیر	ADP	ADP;NOM;MASC;SG
eerste	بنیادی	één	بنیادی	ADJ	ADJ
eerste	سابق	één	سابق	ADJ	ADJ
andere	دوسرا	ander	دوسرا	ADJ	ADJ;NOM;MASC;SG
wel	غالباً	wel	غالباً	ADV	ADV
wel	شاید	wel	شاید	ADV	ADV
jaar	زمانہ	jaar	زمانہ	N;NEUT;SG	N;NOM;MASC;SG;3
jaar	برس	jaar	برس	N;NEUT;SG	N;NOM;MASC;SG;3
deel	جزو	deel	جزو	N;NEUT;SG	N;NOM;MASC;SG;3
deel	خیال	deel	خیال	N;NEUT;SG	N;NOM;MASC;SG;3
externe	خارجی	extern	خارجی	ADJ	ADJ
externe	خارجی	extern	خارجی	ADJ	ADJ
externe	بیرونی	extern	بیرونی	ADJ	ADJ
overleg	مشاورت	overleg	مشاورت	N;NEUT;SG	N;NOM;MASC;SG;3
staat	کہنا.	staan	کہنا	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
staat	کہنا.	staan	کہنا	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
tegen	خلاف	tegen	خلاف	ADP	ADP
tweede	مماثل	twee	مماثل	ADJ	ADJ
tweede	اضافی	twee	اضافی	ADJ	ADJ
tweede	دوسرا	twee	دوسرا	ADJ	ADJ;NOM;MASC;SG
tweede	مزید	twee	مزید	ADJ	ADJ
tweede	مماثل	twee	مماثل	ADJ	ADJ
tweede	اضافی	twee	اضافی	ADJ	ADJ
tweede	ثانوی	twee	ثانوی	ADJ	ADJ
tweede	دوسرا	twee	دوسرا	ADJ	ADJ;NOM;MASC;SG
tweede	مزید	twee	مزید	ADJ	ADJ
zie	پانا	zien	پانا	V;SG;PRS;FIN	V;SG;NFIN;ACT
zie	سوچنا	zien	سوچ	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
zie	ملنا	zien	مل	V;SG;PRS;FIN	V;MASC;SG;NFIN;ACT
zoals	یعنی	zoals	یعنی	CONJ	CONJ
zoals	یعنی	zoals	یعنی	CONJ	CONJ
grote	بڑا	groot	بڑا	ADJ	ADJ;NOM;MASC;SG
grote	اہم	groot	اہم	ADJ	ADJ
grote	نمایاں	groot	نمایاں	ADJ	ADJ
aantal	ٹولی	aantal	ٹولی	N;NEUT;SG	N;NOM;FEM;SG;3
aantal	کمپنی	aantal	کمپنی	N;NEUT;SG	N;NOM;FEM;SG;3
aantal	گروہ	aantal	گروہ	N;NEUT;SG	N;NOM;MASC;SG;3
aantal	جماعت	aantal	جماعت	N;NEUT;SG	N;NOM;FEM;SG;3
aantal	رقص	aantal	رقص	N;NEUT;SG	N;NOM;MASC;SG;3
nieuwe	جدید	nieuw	جدید	ADJ	ADJ
nieuwe	جدید	nieuw	جدید	ADJ	ADJ
zij	وہ	zij	وہ	PRO;NOM;3	PRO;NOM;SG;3
artikel	مضمون	artikel	مضمون	N;NEUT;SG	N;NOM;MASC;SG;3
gebied	رقبہ	gebied	رقبہ	N;NEUT;SG	N;NOM;MASC;SG;3
alle	بہت	al	بہت	DET	DET
alle	بہت	al	بہت	DET	DET
stad	بلدیہ	stad	بلدیہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
lijst	فہرست	lijst	فہرست	N;MASC+FEM;SG	N;NOM;FEM;SG;3
lijst	جدول	lijst	جدول	N;MASC+FEM;SG	N;NOM;MASC;SG;3
omdat	چونکہ	omdat	چونکہ	CONJ	CONJ
tijd	دور	tijd	دور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tijd	عہد	tijd	عہد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tijd	دور	tijd	دور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vanaf	سے	vanaf	سے	ADP	ADP
provincie	صوبہ	provincie	صوبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
link	واسطہ	link	واسطہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
per	فی	per	فی	ADP	ADP
bekend	قریبی	bekend	قریبی	ADJ	ADJ
bekend	مانوس	bekend	مانوس	ADJ	ADJ
bekend	آگاہ	bekend	آگاہ	ADJ	ADJ
club	گروہ	club	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
club	گروہ	club	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
laatste	سابقہ	laat	سابقہ	ADJ;RL	ADJ
laatste	واحد	laat	واحد	ADJ;RL	ADJ
laatste	سابقہ	laat	سابقہ	ADJ;RL	ADJ
laatste	واحد	laat	واحد	ADJ;RL	ADJ
maken	جھگڑنا.	maken	جھگڑنا.	V;NFIN	V;SG;FIN;ACT
maken	پکانا	maken	پکانا	V;NFIN	V;MASC;SG;V.PTCP;ACT
maken	سمجھنا	maken	سمجھ	V;NFIN	V;MASC;SG;NFIN;ACT
maken	پکانا	maken	پکانا	V;NFIN	V;MASC;SG;V.PTCP;ACT
maken	سمجھنا	maken	سمجھ	V;NFIN	V;MASC;SG;NFIN;ACT
maken	بنانا	maken	بنا	V;NFIN	V;MASC;SG;NFIN;ACT
verder	مزید	verder	مزید	ADJ;CMPR	ADJ
verschillende	علاحدہ	verschillend	علحدہ	ADJ	ADJ
verschillende	متعدد	verschillend	متعدد	ADJ	ADJ
verschillende	متعدد	verschillend	متعدد	ADJ	ADJ
verschillende	مختلف	verschillend	مختلف	ADJ	ADJ
seizoen	گرمی	seizoen	گرمی	N;NEUT;SG	N;NOM;FEM;SG;3
eigen	مخصوص-	eigen	مخصوص-	ADJ	ADJ
eigen	امتیازی	eigen	امتیازی	ADJ	ADJ
eigen	مخصوص-	eigen	مخصوص-	ADJ	ADJ
eigen	امتیازی	eigen	امتیازی	ADJ	ADJ
weg	مسلسل	weg	مسلسل	ADV	ADV
weg	التزاماً	weg	التزاماً	ADV	ADV
insect	کرم	insect	کرم	N;NEUT;SG	N;NOM;MASC;SG;3
insect	کیڑا	insect	کیڑا	N;NEUT;SG	N;NOM;MASC;SG;3
insect	لگن	insect	لگن	N;NEUT;SG	N;NOM;MASC;SG;3
insect	شوق	insect	شوق	N;NEUT;SG	N;NOM;MASC;SG;3
film	فلم	film	فلم	N;MASC+FEM;SG	N;NOM;FEM;SG;3
franse	بری	frans	بری	ADJ	ADJ;FEM
land	ملک	land	ملک	N;NEUT;SG	N;NOM;MASC;SG;3
land	ملک	land	ملک	N;NEUT;SG	N;NOM;MASC;SG;3
land	قوم	land	قوم	N;NEUT;SG	N;NOM;MASC;SG;3
land	پانی	land	پانی	N;NEUT;SG	N;NOM;MASC;SG;3
land	قوم	land	قوم	N;NEUT;SG	N;NOM;MASC;SG;3
land	پانی	land	پانی	N;NEUT;SG	N;NOM;MASC;SG;3
land	زمین	land	زمین	N;NEUT;SG	N;NOM;FEM;SG;3
werk	روزگار	werk	روزگار	N;NEUT;SG	N;NOM;MASC;SG;3
werk	شغل	werk	شغل	N;NEUT;SG	N;NOM;MASC;SG;3
werk	کام	werk	کام	N;NEUT;SG	N;NOM;MASC;SG;3
werk	دھندا	werk	دھندا	N;NEUT;SG	N;NOM;MASC;SG;3
werk	روزگار	werk	روزگار	N;NEUT;SG	N;NOM;MASC;SG;3
goed	مناسب	goed	مناسب	ADJ	ADJ
goed	اچھا	goed	اچھا	ADJ	ADJ;NOM;MASC;SG
goed	مفید	goed	مفید	ADJ	ADJ
goed	موافق	goed	موافق	ADJ	ADJ
goed	معقول	goed	معقول	ADJ	ADJ
goed	دلچسپ	goed	دلچسپ	ADJ	ADJ
goed	پُرکشش	goed	پُرکشش	ADJ	ADJ
gaan	گزرنا	gaan	گزر	V;PRS;NFIN	V;MASC;SG;NFIN;ACT
gaan	چالو	gaan	چالو	V;PRS;NFIN	V;ACT
vaak	اکثر	vaak	اکثر	ADJ	ADJ
vaak	مشترکہ	vaak	مشترکہ	ADJ	ADJ
vaak	مبتذل	vaak	مبتذل	ADJ	ADJ
vaak	گھٹیا	vaak	گھٹیا	ADJ	ADJ
orde	قسم	orde	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
orde	فرمان	orde	فرمان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
orde	ترتیب	orde	ترتیب	N;MASC+FEM;SG	N;NOM;FEM;SG;3
orde	قسم	orde	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groot	بڑا	groot	بڑا	ADJ	ADJ;NOM;MASC;SG
groot	اہم	groot	اہم	ADJ	ADJ
groot	نمایاں	groot	نمایاں	ADJ	ADJ
groot	اہم	groot	اہم	ADJ	ADJ
groot	ممتاز	groot	ممتاز	ADJ	ADJ
groot	شاندار	groot	شاندار	ADJ	ADJ
groot	وسیع	groot	وسیع	ADJ	ADJ
groot	پُرشکوہ	groot	پُرشکوہ	ADJ	ADJ
groot	ماہر	groot	ماہر	ADJ	ADJ
groot	نمایاں	groot	نمایاں	ADJ	ADJ
groot	اہم	groot	اہم	ADJ	ADJ
groot	ممتاز	groot	ممتاز	ADJ	ADJ
groot	شاندار	groot	شاندار	ADJ	ADJ
groot	وسیع	groot	وسیع	ADJ	ADJ
groot	پُرشکوہ	groot	پُرشکوہ	ADJ	ADJ
groot	ماہر	groot	ماہر	ADJ	ADJ
groot	نمایاں	groot	نمایاں	ADJ	ADJ
vooral	عموماً	vooral	عموماً	ADV	ADV
kerk	عبادت	kerk	عبادت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
kerk	عبادت	kerk	عبادت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
regio	خطہ	regio	خطہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
regio	شعبہ	regio	شعبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
regio	علاقہ	regio	علاقہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
oppervlakte	رقبہ	oppervlakte	رقبہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
komen	پہنچ	komen	پہنچ	V;NFIN	V;ACT
komen	پہنچ	komen	پہنچ	V;NFIN	V;ACT
dorp	موضع	dorp	موضع	N;NEUT;SG	N;NOM;MASC;SG;3
dorp	موضع	dorp	موضع	N;NEUT;SG	N;NOM;MASC;SG;3
leven	زندگی	leven	زندگی	N;NEUT;SG	N;NOM;FEM;SG;3
leven	موقع	leven	موقع	N;NEUT;SG	N;NOM;MASC;SG;3
leven	اتفاق	leven	اتفاق	N;NEUT;SG	N;NOM;MASC;SG;3
leven	اعمال	leven	اعمال	N;NEUT;SG	N;NOM;MASC;SG;3
leven	زندگی	leven	زندگی	N;NEUT;SG	N;NOM;FEM;SG;3
leven	موقع	leven	موقع	N;NEUT;SG	N;NOM;MASC;SG;3
leven	اتفاق	leven	اتفاق	N;NEUT;SG	N;NOM;MASC;SG;3
leven	اعمال	leven	اعمال	N;NEUT;SG	N;NOM;MASC;SG;3
leven	حیات	leven	شریک_حیات	N;NEUT;SG	N;NOM;MASC;SG;3
binnen	اندر	binnen	اندر	ADP	ADP;NOM;MASC;SG;3
register	فرد	register	فرد	N;NEUT;SG	N;NOM;MASC;SG;3
register	رفتار	register	رفتار	N;NEUT;SG	N;NOM;MASC;SG;3
register	فہرست	register	فہرست	N;NEUT;SG	N;NOM;FEM;SG;3
register	فرد	register	فرد	N;NEUT;SG	N;NOM;MASC;SG;3
register	رفتار	register	رفتار	N;NEUT;SG	N;NOM;MASC;SG;3
register	دفتر	register	دفتر	N;NEUT;SG	N;NOM;MASC;SG;3
register	فہرست	register	فہرست	N;NEUT;SG	N;NOM;FEM;SG;3
register	رجسٹری	register	رجسٹری	N;NEUT;SG	N;NOM;MASC;SG;3
toch	تاحال.	toch	تاحال.	ADV	ADV
toch	تاحال.	toch	تاحال.	ADV	ADV
top	چھت	top	چھت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ronde	حدود	ronde	حد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ronde	گول	ronde	گول	N;MASC+FEM;SG	N;NOM;MASC;SG;3
ronde	حدود	ronde	حد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groep	گروہ	groep	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groep	جمعیت	groep	جمعیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groep	گروہ	groep	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groep	جمعیت	groep	جمعیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
groep	جماعت	groep	جماعت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
gebruik	رواج	gebruik	رواج	N;NEUT;SG	N;NOM;MASC;SG;3
gebruik	رواج	gebruik	رواج	N;NEUT;SG	N;NOM;MASC;SG;3
gebruik	استعمال	gebruik	استعمال	N;NEUT;SG	N;NOM;MASC;SG;3
werken	کوٹنا	werken	کوٹنا	V;NFIN	V;SG;NFIN;ACT
werken	پھڑکنا	werken	پھڑک	V;NFIN	V;SG;NFIN;ACT
werken	سنبھالنا	werken	سنبھال	V;NFIN	V;MASC;SG;NFIN;ACT
werken	چلانا	werken	چلا	V;NFIN	V;MASC;SG;NFIN;ACT
werken	کوٹنا	werken	کوٹنا	V;NFIN	V;SG;NFIN;ACT
werken	پھڑکنا	werken	پھڑک	V;NFIN	V;SG;NFIN;ACT
werken	سنبھالنا	werken	سنبھال	V;NFIN	V;MASC;SG;NFIN;ACT
werken	چلانا	werken	چلا	V;NFIN	V;MASC;SG;NFIN;ACT
werken	کارکردگی.	werken	کارکردگی.	V;NFIN	V;SG;FIN;ACT
derde	تیسرا	drie	تیسرا	ADJ	ADJ;NOM;MASC;SG
kleine	چھوٹا	klein	چھوٹا	ADJ	ADJ;NOM;MASC;SG
kleine	معمولی	klein	معمولی	ADJ	ADJ
kleine	گھٹیا	klein	گھٹیا	ADJ	ADJ
kleine	چھوٹے	klein	چھوٹا	ADJ	ADJ;ACC;MASC;SG
kleine	معصومانہ.	klein	معصومانہ.	ADJ	ADJ
kleine	طفلانہ	klein	طفلانہ	ADJ	ADJ
kleine	چھوٹا	klein	چھوٹا	ADJ	ADJ;NOM;MASC;SG
kleine	معمولی	klein	معمولی	ADJ	ADJ
kleine	گھٹیا	klein	گھٹیا	ADJ	ADJ
kleine	چھوٹے	klein	چھوٹا	ADJ	ADJ;ACC;MASC;SG
kleine	معصومانہ.	klein	معصومانہ.	ADJ	ADJ
kleine	طفلانہ	klein	طفلانہ	ADJ	ADJ
eens	اچانک	eens	اچانک	ADV	ADV
zien	پانا	zien	پانا	V;NFIN	V;SG;NFIN;ACT
zien	سوچنا	zien	سوچ	V;NFIN	V;MASC;SG;NFIN;ACT
zien	ملنا	zien	مل	V;NFIN	V;MASC;SG;NFIN;ACT
album	البم	album	البم	N;NEUT;SG	N;NOM;MASC;SG;3
mogelijk	ممکن	mogelijk	ممکن	ADJ	ADJ
station	مرتبہ	station	مرتبہ	N;NEUT;SG	N;NOM;MASC;SG;3
zoon	قبیلے	zoon	قبیلہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zoon	بیٹا	zoon	بیٹا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
zoon	قبیلے	zoon	قبیلہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	سپاہی	man	سپاہی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	پیشے	man	پیشا	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	شطرنج	man	شطرنج	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	انسان	man	انسان	N;MASC+FEM;SG	N;NOM;MASC;SG;3
man	جہاز	man	جہاز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
water	سینچنا.	water	سینچنا.	N;NEUT;SG	N;NOM;MASC;SG;3
water	جھیل	water	جھیل	N;NEUT;SG	N;NOM;MASC;SG;3
water	آب	water	آب	N;NEUT;SG	N;NOM;MASC;SG;3
water	سینچنا.	water	سینچنا.	N;NEUT;SG	N;NOM;MASC;SG;3
water	جھیل	water	جھیل	N;NEUT;SG	N;NOM;MASC;SG;3
begin	اضطراری	begin	اضطراری	N;NEUT;SG	N;NOM;MASC;SG;3
begin	حیرت	begin	حیرت	N;NEUT;SG	N;NOM;MASC;SG;3
begin	سرا	begin	سرا	N;NEUT;SG	N;NOM;MASC;SG;3
lid	ٹکڑا	lid	ٹکڑا	N;NEUT;SG	N;NOM;MASC;SG;3
titel	تصویر	titel	تصویر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
doen	دیکھنا	doen	دیکھ	V;PL;PRS;FIN	V;NFIN
doen	بچارنا	doen	بچار	V;PL;PRS;FIN	V;NFIN;ACT
doen	دیکھنا	doen	دیکھ	V;PL;PRS;FIN	V;NFIN
doen	بچارنا	doen	بچار	V;PL;PRS;FIN	V;NFIN;ACT
nieuw	جدید	nieuw	جدید	ADJ	ADJ
nieuw	جدید	nieuw	جدید	ADJ	ADJ
nummer	ٹولی	nummer	ٹولی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
nummer	کمپنی	nummer	کمپنی	N;MASC+FEM;SG	N;NOM;FEM;SG;3
nummer	گروہ	nummer	گروہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nummer	جماعت	nummer	جماعت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
nummer	رقص	nummer	رقص	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nummer	گیت	nummer	گیت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nummer	شاعری	nummer	شاعری	N;MASC+FEM;SG	N;NOM;MASC;SG;3
tekst	موضوع	tekst	موضوع	N;MASC+FEM;SG	N;NOM;MASC;SG;3
beste	پسندیدہ	goed	پسندیدہ	ADJ;RL	ADJ
beste	چیدہ	goed	چیدہ	ADJ;RL	ADJ
vinden	خزانے	vinden	خزانہ	V;NFIN	V;FIN;ACT
vinden	لانا	vinden	لا	V;NFIN	V;MASC;SG;NFIN;ACT
band	پٹی	band	پٹی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	انداز	vorm	انداز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	صورت	vorm	صورت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	انداز	vorm	انداز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	صورت	vorm	صورت	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	قاعدہ	vorm	قاعدہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	جنس	vorm	جنس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	نقشہ	vorm	نقشہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	خاکہ	vorm	خاکہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	قسم	vorm	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	جماعت	vorm	جماعت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vorm	ضابطہ	vorm	ضابطہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	رسم	vorm	رسم	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vorm	قاعدہ	vorm	قاعدہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	جنس	vorm	جنس	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	نقشہ	vorm	نقشہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	خاکہ	vorm	خاکہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	قسم	vorm	قسم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	جماعت	vorm	جماعت	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vorm	ضابطہ	vorm	ضابطہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vorm	رسم	vorm	رسم	N;MASC+FEM;SG	N;NOM;FEM;SG;3
vorm	شکل	vorm	شکل	N;MASC+FEM;SG	N;NOM;MASC;SG;3
huidige	عصری	huidig	عصری	ADJ	ADJ
actief	مشغول	actief	مشغول	ADJ	ADJ
actief	فعال	actief	فعال	ADJ	ADJ
actief	بانی	actief	بانی	ADJ	ADJ
actief	مستعد	actief	مستعد	ADJ	ADJ
klasse	انداز	klasse	انداز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
klasse	وضعداری	klasse	وضعداری	N;MASC+FEM;SG	N;NOM;MASC;SG;3
klasse	ڈویژن	klasse	ڈویژن	N;MASC+FEM;SG	N;NOM;MASC;SG;3
klasse	برتر	klasse	برتر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	یوم	dag	یوم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	دن	dag	دن	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	دور	dag	دور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	یوم	dag	یوم	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	دن	dag	دن	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	دور	dag	دور	N;MASC+FEM;SG	N;NOM;MASC;SG;3
dag	روز	dag	روز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vader	باپ	vader	باپ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vader	موجد	vader	موجد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
vader	والد	vader	والد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	کتاب	indeling	کتاب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
indeling	زمین	indeling	زمین	N;MASC+FEM;SG	N;NOM;FEM;SG;3
indeling	کتاب	indeling	کتاب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
opnieuw	دوبارہ	opnieuw	دوبارہ	ADV	ADV
rol	ڈرامے	rol	ڈرامہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rol	دستاویز	rol	دستاویز	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rol	پارچہ	rol	پارچہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rol	فرد	rol	فرد	N;MASC+FEM;SG	N;NOM;MASC;SG;3
rol	دفتر	rol	دفتر	N;MASC+FEM;SG	N;NOM;MASC;SG;3
figuur	مثال	figuur	مثال	N;MASC+FEM;SG	N;NOM;MASC;SG;3
figuur	نقشہ	figuur	نقشہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
figuur	خاکہ	figuur	خاکہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
figuur	زائچہ	figuur	زائچہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
oorlog	بیماری	oorlog	بیماری	N;MASC+FEM;SG	N;NOM;FEM;SG;3
geschiedenis	تذکرہ	geschiedenis	تذکرہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
geschiedenis	تواریخ	geschiedenis	تواریخ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
huis	پالتو	huis	پالتو	N;NEUT;SG	N;NOM;MASC;SG;3
huis	سوراخ	huis	سوراخ	N;NEUT;SG	N;NOM;MASC;SG;3
huis	دارالاصلاح.	huis	دارالاصلاح.	N;NEUT;SG	N;NOM;MASC;SG;3
huis	بل	huis	بل	N;NEUT;SG	N;NOM;MASC;SG;3
huis	پالتو	huis	پالتو	N;NEUT;SG	N;NOM;MASC;SG;3
huis	گھر	huis	گھر	N;NEUT;SG	N;NOM;MASC;SG;3
huis	سوراخ	huis	سوراخ	N;NEUT;SG	N;NOM;MASC;SG;3
huis	دارالاصلاح.	huis	دارالاصلاح.	N;NEUT;SG	N;NOM;MASC;SG;3
huis	بل	huis	بل	N;NEUT;SG	N;NOM;MASC;SG;3
huis	جگہ	huis	جگہ	N;NEUT;SG	N;NOM;MASC;SG;3
laten	اتارنا	laten	اتار	V;PL;PRS;FIN	V;NFIN;ACT
shift	فریب	shift	فریب	N;MASC+FEM;SG	N;NOM;MASC;SG;3
finale	نتیجہ	finale	نتیجہ	N;MASC+FEM;SG	N;NOM;MASC;SG;3
finale	حتمی	finale	حتمی	N;MASC+FEM;SG	N;NOM;MASC;SG;3
nationale	قومی	nationaal	قومی	ADJ	ADJ
terwijl	اگرچہ	terwijl	اگرچہ	CONJ	CONJ
