için	za	için	za		
teknik	technický	teknik	technický	ADJ	ADJ;ANIM;NOM;MASC;SG
teknik	technická	teknik	technický	ADJ	ADJ;NOM;FEM;SG
teknik	technickej	teknik	technický	ADJ	ADJ;GEN;FEM;SG
teknik	technické	teknik	technický	ADJ	ADJ;NOM;NEUT;SG
nüfusu	populáciu	nüfus	populácia	N;ACC;SG;3	N;ACC;FEM;SG
uygun	spôsobilý	uygun	spôsobilý	ADJ	ADJ;ANIM;NOM;MASC;SG
uygun	oprávnený	uygun	oprávnený	ADJ	ADJ;ANIM;NOM;MASC;SG
uygun	prípustné	uygun	prípustný	ADJ	ADJ;NOM;NEUT;SG
uygun	akceptovateľné	uygun	akceptovateľný	ADJ	ADJ;NOM;NEUT;SG
uygun	oprávnené	uygun	oprávnený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
uygun	oprávnená	uygun	oprávnený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
uygun	výhodné	uygun	výhodný	ADJ	ADJ;NOM;NEUT;SG
uygun	vyhovujúce	uygun	vyhovujúci	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
uygun	pohodlné	uygun	pohodlný	ADJ	ADJ;NOM;NEUT;SG
uygun	primerané	uygun	primeraný	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
uygun	vhodná	uygun	vhodný	ADJ	ADJ;NOM;FEM;SG
uygun	primeraná	uygun	primeraný	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
uygun	vhodné	uygun	vhodný	ADJ	ADJ;NOM;NEUT;SG
uygun	primeraný	uygun	primeraný	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
uygun	vhodný	uygun	vhodný	ADJ	ADJ;ANIM;NOM;MASC;SG
uygun	vhodný	uygun	vhodný	ADJ	ADJ;ANIM;NOM;MASC;SG
uygun	vhodné	uygun	vhodný	ADJ	ADJ;NOM;NEUT;SG
uygun	vhodná	uygun	vhodný	ADJ	ADJ;NOM;FEM;SG
uygun	vhodnú	uygun	vhodný	ADJ	ADJ;ACC;FEM;SG
bütün	celý	bütün	celý	ADJ	ADJ;INAN;NOM;MASC;SG
bütün	celé	bütün	celý	ADJ	ADJ;NOM;NEUT;SG
bütün	celá	bütün	celý	ADJ	ADJ;NOM;FEM;SG
listesi	zoznam	liste	zoznam	N;NOM;SG;3	N;INAN;NOM;MASC;SG
dört	štyroch	dört	štyri	NUM	NUM;ANIM;ACC;MASC;PL
dört	štyria	dört	štyri	NUM	NUM;ANIM;NOM;MASC;PL
dört	štyri	dört	štyri	NUM	NUM;INAN;NOM;MASC;PL
stadyumu	štadión	stadyum	štadión	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bar	bare	bar	bara	N;NOM;SG;3	N;NOM;MASC;SG
bar	bar	bar	bar	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bar	tyč	bar	tyč	N;NOM;SG;3	N;NOM;FEM;SG
onu	ho	o	on	PRO;ACC;SG;3	PRO;ANIM;ACC;MASC;SG;3
onu	ju	o	ona	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
onu	ňu	o	ona	PRO;ACC;SG;3	PRO;ACC;FEM;SG;3
çünkü	lebo	çünkü	lebo	CONJ	CONJ
birkaç	niekoľko	birkaç	niekoľko	DET	DET;NOM;NEUT;SG
birkaç	niekoľkých	birkaç	niekoľko	DET	DET;GEN;NEUT;PL
açık	jasné	açık	jasný	ADJ	ADJ;NOM;NEUT;SG
açık	otvorené	açık	otvorený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
açık	otvorená	açık	otvorený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
insan	osoba	insan	osoba	N;NOM;SG;3	N;NOM;FEM;SG
insan	muž	insan	muž	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	človek	insan	človek	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
insan	človek	insan	človek	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
stadyum	štadión	stadyum	štadión	N;NOM;SG;3	N;INAN;NOM;MASC;SG
an	okamih	an	okamih	N;NOM;SG;3	N;INAN;NOM;MASC;SG
an	moment	an	moment	N;NOM;SG;3	N;INAN;NOM;MASC;SG
an	chvíľka	an	chvíľka	N;NOM;SG;3	N;NOM;FEM;SG
an	chvíľa	an	chvíľa	N;NOM;SG;3	N;NOM;FEM;SG
iş	zamestnanie	iş	zamestnanie	N;NOM;SG;3	N;NOM;NEUT;SG
iş	praca	iş	praca	N;NOM;SG;3	N;NOM;FEM;SG
iş	práca	iş	práca	N;NOM;SG;3	N;NOM;FEM;SG
iş	dielo	iş	dielo	N;NOM;SG;3	N;NOM;NEUT;SG
iş	praca	iş	praca	N;NOM;SG;3	N;NOM;FEM;SG
iş	práca	iş	práca	N;NOM;SG;3	N;NOM;FEM;SG
iş	podnikanie	iş	podnikanie	N;NOM;SG;3	N;NOM;NEUT;SG
iş	biznis	iş	biznis	N;NOM;SG;3	N;INAN;NOM;MASC;SG
iş	business	iş	business	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	oddiel	bölüm	oddlieť	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	časť	bölüm	časť	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	úsek	bölüm	úsek	N;NOM;SG;3	N;INAN;NOM;MASC;SG
bölümü	sekcia	bölüm	sekcia	N;NOM;SG;3	N;NOM;FEM;SG
bölümü	oddelenie	bölüm	oddelenie	N;NOM;SG;3	N;NOM;NEUT;SG
güzel	krásna	güzel	krásny	ADJ	ADJ;NOM;FEM;SG
güzel	krásny	güzel	krásny	ADJ	ADJ;ANIM;NOM;MASC;SG
güzel	dobrá	güzel	dobrý	ADJ	ADJ;NOM;FEM;SG
güzel	dobré	güzel	dobrý	ADJ	ADJ;NOM;NEUT;SG
güzel	dobrý	güzel	dobrý	ADJ	ADJ;ANIM;NOM;MASC;SG
güzel	pekný	güzel	pekný	ADJ	ADJ;ANIM;NOM;MASC;SG
güzel	pekná	güzel	pekný	ADJ	ADJ;NOM;FEM;SG
güzel	pekné	güzel	pekný	ADJ	ADJ;NOM;NEUT;SG
güzel	pekná	güzel	pekný	ADJ	ADJ;NOM;FEM;SG
güzel	krásny	güzel	krásny	ADJ	ADJ;ANIM;NOM;MASC;SG
çocuk	chlapček	çocuk	chlapček	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	chalan	çocuk	chalan	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	chlapec	çocuk	chlapec	N;NOM;SG;3	N;ANIM;NOM;MASC;SG
çocuk	decko	çocuk	decko	N;NOM;SG;3	N;NOM;NEUT;SG
çocuk	dieťa	çocuk	dieťa	N;NOM;SG;3	N;NOM;NEUT;SG
çocuk	dieťa	çocuk	dieťa	N;NOM;SG;3	N;NOM;NEUT;SG
sinema	film	sine	film	N;NOM;SG;3	N;INAN;NOM;MASC;SG
sinema	kino	sine	kino	N;NOM;SG;3	N;NOM;NEUT;SG
sinema	kine	sine	kino	N;NOM;SG;3	N;NOM;NEUT;SG
ay	mesiac	ay	mesiac	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ay	mesiaci	ay	mesiac	N;NOM;SG;3	N;INAN;NOM;MASC;SG
ay	mesiac	ay	mesiac	N;NOM;SG;3	N;INAN;NOM;MASC;SG
imparatorluğu	ríša	imparatorluk	ríša	N;NOM;SG;3	N;NOM;FEM;SG
imparatorluğu	impérium	imparatorluk	impérium	N;NOM;SG;3	N;NOM;NEUT;SG
internet	web	internet	web	N;NOM;SG;3	N;INAN;NOM;MASC;SG
internet	webe	internet	wiaba	N;NOM;SG;3	N;INAN;NOM;MASC;SG
internet	internete	internet	internet	N;NOM;SG;3	N;INAN;NOM;MASC;SG
internet	internet	internet	internet	N;NOM;SG;3	N;INAN;NOM;MASC;SG
tiyatro	dráma	tiyatro	dráma	N;NOM;SG;3	N;NOM;FEM;SG
tiyatro	divadlo	tiyatro	divadlo	N;NOM;SG;3	N;NOM;NEUT;SG
tiyatro	divadlo	tiyatro	divadlo	N;NOM;SG;3	N;NOM;NEUT;SG
kazandı	vyhrala	kazan	vyhrať	V;PFV;IND;SG;3;POS;PST	V;PFV;FEM;SG;POS;PST;V.PTCP
kazandı	zvíťazil	kazan	zvíťaziť	V;PFV;IND;SG;3;POS;PST	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
kazandı	vyhral	kazan	vyhrať	V;PFV;IND;SG;3;POS;PST	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
karar	rozsudok	karar	rozsudok	N;NOM;SG;3	N;INAN;NOM;MASC;SG
