visaugstākā	最高	augsta	最高	ADJ;NOM;CMPR;FEM;SG	ADJ
pakļaut	曝光	pakļaut	曝光	V;POS;NFIN	V
pakļaut	揭露	pakļaut	揭露	V;POS;NFIN	V
izstrādājumi	文章	izstrādājums	文章	N;NOM;MASC;PL	N
izstrādājumi	商品	izstrādājums	商品	N;NOM;MASC;PL	N
izstrādājumi	產品	izstrādājums	產品	N;NOM;MASC;PL	N
apstrāde	治療	apstrāde	治療	N;NOM;FEM;SG	N
galerijas	畫廊	galerija	畫廊	N;NOM;FEM;PL	N
galerijas	畫廊	galerija	畫廊	N;NOM;FEM;PL	N
tops	頂	tops	頂	N;NOM;MASC;SG	N
tops	頂端	tops	頂端	N;NOM;MASC;SG	N
tops	熱門	tops	熱門	N;NOM;MASC;SG	N
hronoloģija	時序	hronoloģija	時序	N;NOM;FEM;SG	N
hronoloģija	年表	hronoloģija	年表	N;NOM;FEM;SG	N
cukuru	食糖	cukurs	食糖	N;ACC;MASC	N
cukuru	糖業	cukurs	糖業	N;ACC;MASC	N
cukuru	糖	cukurs	糖	N;ACC;MASC	N
bruņas	盔甲	bruņas	盔甲	N;NOM;FEM	N
bruņas	裝甲	bruņas	裝甲	N;NOM;FEM	N
bruņas	盔甲	bruņas	盔甲	N;NOM;FEM	N
bruņas	裝甲	bruņas	裝甲	N;NOM;FEM	N
eksports	出口	eksports	出口	N;NOM;MASC;SG	N
eksports	出口	eksports	出口	N;NOM;MASC;SG	N
melodija	旋律	melodija	旋律	N;NOM;FEM;SG	N
īstenībā	實際	īstenība	實際	N;ESS;FEM;SG	N
atļaujas	許可	atļauties	許可	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V
zosu	鵝	zoss	鵝	N;ACC;MASC;SG	N
zosu	鵝	zoss	鵝	N;ACC;MASC;SG	N
partneris	伴侶	partneris	伴侶	N;NOM;MASC;SG	N
partneris	夥伴	partneris	夥伴	N;NOM;MASC;SG	N
partneris	搭檔	partneris	搭檔	N;NOM;MASC;SG	N
dūmu	煙	dūmi	煙	N;ACC;MASC;SG	N
dūmu	吸煙	dūmi	吸煙	N;ACC;MASC;SG	N
dūmu	煙霧	dūmi	煙霧	N;ACC;MASC;SG	N
piesārņojums	污染	piesārņojums	污染	N;NOM;MASC;SG	N
piesārņojums	污染	piesārņojums	污染	N;NOM;MASC;SG	N
kaza	山羊	kaza	山羊	N;NOM;FEM;SG	N
kaza	羊	kaza	羊	N;NOM;FEM;SG	N
hormonu	激素	hormons	激素	N;ACC;MASC;SG	N
hormonu	荷爾蒙	hormons	荷爾蒙	N;ACC;MASC;SG	N
spīdumu	光澤	spīdums	光澤	N;ACC;MASC;SG	N
kadrs	幀	kadrs	幀	N;NOM;MASC;SG	N
kadrs	框框	kadrs	框框	N;NOM;MASC;SG	N
kadrs	框架	kadrs	框架	N;NOM;MASC;SG	N
kadrs	框	kadrs	框	N;NOM;MASC;SG	N
ierobežots	受限	ierobežot	受限	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V
ierobežots	受限	ierobežot	受限	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V
nometnēm	營地	nometne	營地	N;DAT;FEM;PL	N
apģērbs	成衣	apģērbs	成衣	N;NOM;MASC;SG	N
apģērbs	服裝	apģērbs	服裝	N;NOM;MASC;SG	N
apģērbs	衣物	apģērbs	衣物	N;NOM;MASC;SG	N
apģērbs	衣服	apģērbs	衣服	N;NOM;MASC;SG	N
apģērbs	服裝	apģērbs	服裝	N;NOM;MASC;SG	N
apģērbs	衣物	apģērbs	衣物	N;NOM;MASC;SG	N
apģērbs	衣服	apģērbs	衣服	N;NOM;MASC;SG	N
proza	散文	proza	散文	N;NOM;FEM;SG	N
internets	網路	internets	網路	N;NOM;MASC	N
internets	網際	internets	網際	N;NOM;MASC	N
tieslietas	正義	tieslietas	正義	N;NOM;FEM;PL	N
tieslietas	司法	tieslietas	司法	N;NOM;FEM;PL	N
tieslietas	法律	tieslietas	法律	N;NOM;FEM;PL	N
mūki	僧侶	mūki	僧侶	N;NOM;MASC;PL	N
filiāles	分行	filiāle	分行	N;NOM;FEM;PL	N
filiāles	樹枝	filiāle	樹枝	N;NOM;FEM;PL	N
filiāles	分支	filiāle	分支	N;NOM;FEM;PL	N
apsolīja	允諾	apsolīt	允諾	V;FH;IND;3;POS;PST;FIN;ACT	V
datoram	電腦	dators	電腦	N;DAT;MASC;SG	N
atpūšas	休息	atpūsties	休息	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V
sals	霜	sals	霜	N;NOM;MASC;SG	N
sals	冰霜	sals	冰霜	N;NOM;MASC;SG	N
bruņurupucis	海龜	bruņurupucis	海龜	N;NOM;MASC;SG	N
bruņurupucis	烏龜	bruņurupucis	烏龜	N;NOM;MASC;SG	N
bruņurupucis	龜	bruņurupucis	龜	N;NOM;MASC;SG	N
maratons	馬拉松	maratons	馬拉松	N;NOM;MASC;SG	N
uzturēties	留	uzturēties	留	V;POS;REFL;NFIN	V
uzturēties	留下	uzturēties	留下	V;POS;REFL;NFIN	V
uzturēties	留下	uzturēties	留下	V;POS;REFL;NFIN	V
psiholoģija	心理	psiholoģija	心理	N;NOM;FEM;SG	N
psiholoģija	心理	psiholoģija	心理	N;NOM;FEM;SG	N
volejbola	排球	volejbols	排球	N;GEN;MASC;SG	N
iejaukšanās	干擾	iejaukšanās	干擾	N;NOM;FEM;SG	N
garša	味道	garša	味道	N;NOM;FEM;SG	N
garša	味覺	garša	味覺	N;NOM;FEM;SG	N
garša	品味	garša	品味	N;NOM;FEM;SG	N
garša	味	garša	味	N;NOM;FEM;SG	N
garša	風味	garša	風味	N;NOM;FEM;SG	N
būtība	實質	būtība	實質	N;NOM;FEM;SG	N
būtība	本質	būtība	本質	N;NOM;FEM;SG	N
instruktoru	教員	instruktors	教員	N;ACC;MASC;SG	N
platformām	鑽機	platforma	鑽機	N;DAT;FEM;PL	N
sadales	分銷	sadale	分銷	N;NOM;FEM;PL	N
kalējs	鐵匠	kalējs	鐵匠	N;NOM;MASC;SG	N
eksperiments	試驗	eksperiments	試驗	N;NOM;MASC;SG	N
eksperiments	實驗	eksperiments	實驗	N;NOM;MASC;SG	N
moto	座右	moto	座右	N	N
moto	箴言	moto	箴言	N	N
moto	格言	moto	格言	N	N
brālim	弟弟	brālis	弟弟	N;DAT;MASC;SG	N
brālim	師兄	brālis	師兄	N;DAT;MASC;SG	N
brālim	哥哥	brālis	哥哥	N;DAT;MASC;SG	N
brālim	兄弟	brālis	兄弟	N;DAT;MASC;SG	N
sintēzi	合成	sintēze	合成	N;ACC;FEM;SG	N
nodevas	費用	nodeva	費用	N;NOM;FEM;PL	N
nodevas	收費	nodeva	收費	N;NOM;FEM;PL	N
nodevas	職責	nodeva	職責	N;NOM;FEM;PL	N
ilgstošu	持久	ilgt	持久	V;IPFV;ACC;INDF;MASC;SG;PRS;V.PTCP;PASS	V
pilota	飛行	pilots	飛行	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
pilota	駕駛	pilots	駕駛	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
virtuves	廚房	virtuve	廚房	N;NOM;FEM;PL	N
mārciņu	磅	mārciņa	磅	N;ACC;FEM;SG	N
arhīvā	檔案	arhīvs	檔案	N;ESS;MASC;SG	N
arhīvā	歸檔	arhīvs	歸檔	N;ESS;MASC;SG	N
ilgstoša	持久	ilgt	持久	V;IPFV;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS	V
pasniegtas	出遊	pasniegt	出遊	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	V
zālīte	雜草	zālīte	雜草	N;NOM;FEM;SG	N
zvērestu	誓	zvērests	誓	N;ACC;MASC;SG	N
zvērestu	誓言	zvērests	誓言	N;ACC;MASC;SG	N
zvērestu	誓詞	zvērests	誓詞	N;ACC;MASC;SG	N
zvērestu	誓	zvērests	誓	N;ACC;MASC;SG	N
zvērestu	誓言	zvērests	誓言	N;ACC;MASC;SG	N
zvērestu	誓詞	zvērests	誓詞	N;ACC;MASC;SG	N
amatpersona	官	amatpersons	官	N;NOM;FEM;SG	N
amatpersona	軍官	amatpersons	軍官	N;NOM;FEM;SG	N
manevrs	機動	manevrs	機動	N;NOM;MASC;SG	N
manevrs	機動	manevrs	機動	N;NOM;MASC;SG	N
pelnu	灰	pelni	灰	N;ACC;MASC	N
pelnu	火山	pelni	火山	N;ACC;MASC	N
pelnu	灰燼	pelni	灰燼	N;ACC;MASC	N
sāļi	鹽類	sāls	鹽類	N;NOM;MASC;PL	N
algas	薪水	alga	薪水	N;NOM;FEM;PL	N
algas	工資	alga	工資	N;NOM;FEM;PL	N
algas	薪資	alga	薪資	N;NOM;FEM;PL	N
algas	薪金	alga	薪金	N;NOM;FEM;PL	N
algas	工資	alga	工資	N;NOM;FEM;PL	N
algas	工資	alga	工資	N;NOM;FEM;PL	N
algas	薪資	alga	薪資	N;NOM;FEM;PL	N
algas	薪金	alga	薪金	N;NOM;FEM;PL	N
scenārijs	情景	scenārijs	情景	N;NOM;MASC;SG	N
pārtika	糧食	pārtika	糧食	N;NOM;FEM;SG	N
pārtika	食品	pārtika	食品	N;NOM;FEM;SG	N
pārtika	食物	pārtika	食物	N;NOM;FEM;SG	N
pārtika	食物	pārtika	食物	N;NOM;FEM;SG	N
pārtika	食品	pārtika	食品	N;NOM;FEM;SG	N
depresijas	抑鬱	depresija	抑鬱	N;NOM;FEM;PL	N
depresijas	沮喪	depresija	沮喪	N;NOM;FEM;PL	N
upuris	犧牲	upuris	犧牲	N;NOM;MASC;SG	N
upuris	死者	upuris	死者	N;NOM;MASC;SG	N
brālības	友愛	brālība	友愛	N;NOM;FEM;PL	N
brālības	博愛	brālība	博愛	N;NOM;FEM;PL	N
pirts	浴	pirts	浴	N;NOM;FEM;SG	N
dibināšana	編隊	dibināšana	編隊	N;NOM;FEM;SG	N
trenēties	練習	trenēties	練習	V;POS;REFL;NFIN	V
slaveno	著名	slavens	著名	ADJ;ACC;MASC;SG	ADJ
žurka	鼠	žurka	鼠	N;NOM;FEM;SG	N
žurka	耗子	žurka	耗子	N;NOM;FEM;SG	N
žurka	老鼠	žurka	老鼠	N;NOM;FEM;SG	N
paņēmiens	技術	paņēmiens	技術	N;NOM;MASC;SG	N
paņēmiens	技巧	paņēmiens	技巧	N;NOM;MASC;SG	N
volejbols	排球	volejbols	排球	N;NOM;MASC;SG	N
festivālos	節日	festivāls	節日	N;ESS;MASC;PL	N
pretoties	抵制	pretēties	抵制	V;POS;REFL;NFIN	V
pretoties	抗拒	pretēties	抗拒	V;POS;REFL;NFIN	V
ostām	港口	osta	港口	N;DAT;FEM;PL	N
kapenes	墓葬	kapene	墓葬	N;NOM;FEM;PL	N
membrānas	膜	membrāna	膜	N;NOM;FEM;PL	N
strūklaka	噴泉	strūklaks	噴泉	N;NOM;MASC;SG	N
iebildumu	異議	iebildums	異議	N;ACC;MASC;SG	N
ārzemēm	國外	ārzemes	國外	N;DAT;FEM;PL	N
motīvs	功能	motīvs	功能	N;NOM;MASC;SG	N
motīvs	特色	motīvs	特色	N;NOM;MASC;SG	N
motīvs	特徵	motīvs	特徵	N;NOM;MASC;SG	N
zilbes	音節	zilbe	音節	N;NOM;FEM;PL	N
pieauguši	成年	pieaugt	成年	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V
ātrākais	最快	ātrs	最快	ADJ;NOM;CMPR;MASC;SG	ADJ
varoņiem	英雄	varonis	英雄	N;DAT;MASC;PL	N
vētru	暴風	vētra	暴風	N;ACC;FEM;SG	N
vētru	風暴	vētra	風暴	N;ACC;FEM;SG	N
vētru	暴風	vētra	暴風	N;ACC;FEM;SG	N
sapnis	夢	sapnis	夢	N;NOM;MASC;SG	N
sapnis	夢境	sapnis	夢境	N;NOM;MASC;SG	N
sapnis	夢想	sapnis	夢想	N;NOM;MASC;SG	N
krogs	酒吧	krogs	酒吧	N;NOM;MASC;SG	N
krogs	酒館	krogs	酒館	N;NOM;MASC;SG	N
apvienoties	合併	apvienoties	合併	V;POS;REFL;NFIN	V
priekšrocība	優點	priekšrocība	優點	N;NOM;FEM;SG	N
priekšrocība	優勢	priekšrocība	優勢	N;NOM;FEM;SG	N
mizas	吠	miza	吠	N;NOM;FEM;PL	N
mizas	樹皮	miza	樹皮	N;NOM;FEM;PL	N
variantiem	變體	variants	變體	N;DAT;MASC;PL	N
izturību	耐力	izturība	耐力	N;ACC;FEM;SG	N
zaudēt	輸	zaudēt	輸	V;POS;NFIN	V
palaišana	創業	palaišana	創業	N;NOM;FEM;SG	N
konsultants	顧問	konsultants	顧問	N;NOM;MASC;SG	N
konsultants	顧問	konsultants	顧問	N;NOM;MASC;SG	N
kartupeļu	土豆	kartupelis	土豆	N;GEN;MASC;PL	N
kompleksi	集會	komplekss	集會	N;NOM;MASC;PL	N
visums	宇宙	visums	宇宙	N;NOM;MASC;SG	N
patiesības	真理	patiesība	真理	N;NOM;FEM;PL	N
patiesības	真理	patiesība	真理	N;NOM;FEM;PL	N
patiesības	事實	patiesība	事實	N;NOM;FEM;PL	N
patiesības	真相	patiesība	真相	N;NOM;FEM;PL	N
starpvalstu	州際	starpvalsts	州際	N;GEN;FEM;PL	N
savākt	收集	savākt	收集	V;POS;NFIN	V
savākt	收集	savākt	收集	V;POS;NFIN	V
skatīties	觀看	skatīties	觀看	V;POS;REFL;NFIN	V
pārkāpums	違約	pārkāpums	違約	N;NOM;MASC;SG	N
pastiprināta	強化	pastiprināt	強化	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
pastiprināta	加強	pastiprināt	加強	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
pastiprināta	增強	pastiprināt	增強	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
žēlastības	慈悲	žēlastība	慈悲	N;NOM;FEM;SG	N
žēlastības	仁慈	žēlastība	仁慈	N;NOM;FEM;SG	N
vads	電纜	vads	電纜	N;NOM;MASC;SG	N
sadursme	衝突	sadursme	衝突	N;NOM;FEM;SG	N
izplatīties	傳播	izplatīties	傳播	V;POS;REFL;NFIN	V
izplatīties	散播	izplatīties	散播	V;POS;REFL;NFIN	V
samazināta	減少	samazināt	減少	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
uzņēmēja	主機	uzņēmējs	主機	N;GEN;MASC;SG	N
spriežot	判斷	spriest	判斷	V;V.CVB	V
birža	交流	birzs	交流	N;NOM;FEM;SG	N
atoms	原子	atoms	原子	N;NOM;MASC;SG	N
standarti	標準	standarts	標準	N;NOM;MASC;PL	N
glečers	冰川	glečers	冰川	N;NOM;MASC;SG	N
dzesēšanas	冷卻	dzesēšana	冷卻	N;NOM;FEM;SG	N
dzesēšanas	制冷	dzesēšana	制冷	N;NOM;FEM;SG	N
vingrošana	體操	vingrošana	體操	N;NOM;FEM;SG	N
laimi	幸福	laime	幸福	N;ACC;FEM;SG	N
kundze	夫人	kundze	夫人	N;NOM;FEM;SG	N
boksa	拳擊	bokss	拳擊	N;NOM;MASC;SG	N
monēta	硬幣	monēta	硬幣	N;NOM;FEM;SG	N
monēta	錢幣	monēta	錢幣	N;NOM;FEM;SG	N
likteņa	天命	liktenis	天命	N;GEN;MASC;SG	N
likteņa	命運	liktenis	命運	N;GEN;MASC;SG	N
likteņa	命運	liktenis	命運	N;GEN;MASC;SG	N
veicinot	促進	veicināt	促進	V;V.CVB	V
caurumu	洞口	caurums	洞口	N;ACC;MASC;SG	N
stingra	嚴謹	stingra	嚴謹	ADJ;NOM;FEM;SG	ADJ
ciešanas	苦難	ciešana	苦難	N;NOM;FEM;PL	N
ciešanas	痛苦	ciešana	痛苦	N;NOM;FEM;PL	N
izplata	分布	izplatīt	分布	V;FH;IND;3;POS;PRS;FIN;ACT	V
kvalifikāciju	資歷	kvalifikācija	資歷	N;ACC;FEM;SG	N
sintēze	合成	sintēze	合成	N;NOM;FEM;SG	N
alianses	聯盟	alianse	聯盟	N;NOM;FEM;PL	N
alianses	同盟	alianse	同盟	N;NOM;FEM;PL	N
alianses	聯盟	alianse	聯盟	N;NOM;FEM;PL	N
alianses	同盟	alianse	同盟	N;NOM;FEM;PL	N
standartus	標準	standarts	標準	N;ACC;MASC;PL	N
baterija	電池	baterija	電池	N;NOM;FEM;SG	N
baterija	電量	baterija	電量	N;NOM;FEM;SG	N
dobumos	洞穴	dobums	洞穴	N;ESS;MASC;PL	N
dobumos	岩	dobums	岩	N;ESS;MASC;PL	N
pamesta	廢棄	pamest	廢棄	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
pamesta	遺棄	pamest	遺棄	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V
izskaidro	解釋	izskaidrot	解釋	V;FH;IND;3;POS;PRS;FIN;ACT	V
navigation	航行	navigation	航行	N;NOM;MASC;PL	N
navigation	導航	navigation	導航	N;NOM;MASC;PL	N
loģistikas	後勤	loģistika	後勤	N;NOM;FEM;PL	N
niķeļa	鎳	niķelt	鎳	N;NOM;MASC;SG	N
augsne	泥土	augsne	泥土	N;NOM;FEM;SG	N
augsne	土壤	augsne	土壤	N;NOM;FEM;SG	N
augsne	土	augsne	土	N;NOM;FEM;SG	N
augsne	土壤	augsne	土壤	N;NOM;FEM;SG	N
stiprums	力氣	stiprums	力氣	N;NOM;MASC;SG	N
stiprums	強度	stiprums	強度	N;NOM;MASC;SG	N
stiprums	實力	stiprums	實力	N;NOM;MASC;SG	N
stiprums	力量	stiprums	力量	N;NOM;MASC;SG	N
stiprums	體力	stiprums	體力	N;NOM;MASC;SG	N
parkos	公園	parks	公園	N;ESS;MASC;PL	N
bārda	鬍子	bārda	鬍子	N;NOM;FEM;SG	N
bārda	鬍	bārda	鬍	N;NOM;FEM;SG	N
ceļo	遊記	ceļot	遊記	V;FH;IND;SG;2;POS;PRS;FIN;ACT	V
valdi	董事	valde	董事	N;ACC;FEM;SG	N
matrica	母體	matrica	母體	N;NOM;FEM;SG	N
matrica	矩陣	matrica	矩陣	N;NOM;FEM;SG	N
dāvanu	禮物	dāvana	禮物	N;ACC;FEM;SG	N
dāvanu	禮品	dāvana	禮品	N;ACC;FEM;SG	N
dāvanu	天賦	dāvana	天賦	N;ACC;FEM;SG	N
norma	規範	norma	規範	N;NOM;FEM;SG	N
medūzas	水母	medoza	水母	N;NOM;FEM;PL	N
teorēma	定理	teorēms	定理	N;NOM;FEM;SG	N
partneriem	夥伴	partneris	夥伴	N;DAT;MASC;PL	N
šķiedru	纖維	šķiedrs	纖維	N;ACC;MASC;SG	N
tēja	茶葉	tēja	茶葉	N;NOM;FEM;SG	N
tēja	茶	tēja	茶	N;NOM;FEM;SG	N
vainags	冠	vainags	冠	N;NOM;MASC;SG	N
vainags	皇冠	vainags	皇冠	N;NOM;MASC;SG	N
delegācija	代表	delegācija	代表	N;NOM;FEM;SG	N
bads	飢饉	bads	飢饉	N;NOM;MASC;SG	N
bads	飢荒	bads	飢荒	N;NOM;MASC;SG	N
bads	飢餓	bads	飢餓	N;NOM;MASC;SG	N
bads	飢餓	bads	飢餓	N;NOM;MASC;SG	N
dekrētu	法令	dekrēt	法令	N;ACC;FEM;SG	N
dekrētu	政令	dekrēt	政令	N;ACC;FEM;SG	N
nosacījumi	條件	nosacījums	條件	N;NOM;MASC;PL	N
vadīšanas	傳導	vadīšana	傳導	N;NOM;FEM;PL	N
senču	祖先	sencis	祖先	N;GEN;MASC;PL	N
skunkss	臭鼬	skunkss	臭鼬	N;NOM;MASC;SG	N
apdrošināšana	保險	apdrošināšana	保險	N;NOM;FEM;SG	N
apdrošināšana	保險	apdrošināšana	保險	N;NOM;FEM;SG	N
dvīņu	孿生	dvīņa	孿生	N;GEN;FEM;PL	N
dimants	金剛	dimants	金剛	N;NOM;MASC;SG	N
dimants	鑽石	dimants	鑽石	N;NOM;MASC;SG	N
krēslas	黃昏	krēsla	黃昏	N;NOM;FEM;PL	N
oracle	先知	oracle	先知	N;NOM;FEM;SG	N
jenots	浣熊	jenot	浣熊	N;NOM;MASC;SG	N
skatītājiem	觀眾	skatītājs	觀眾	N;DAT;MASC;PL	N
skatītājiem	觀眾	skatītājs	觀眾	N;DAT;MASC;PL	N
skatītājiem	觀眾	skatītājs	觀眾	N;DAT;MASC;PL	N
ārstēšana	治療	ārstēšana	治療	N;NOM;FEM;SG	N
ieradušies	抵達	ierasties	抵達	V;PFV;NOM;INDF;MASC;PL;REFL;PST;V.PTCP	V
ieradušies	到	ierasties	到	V;PFV;NOM;INDF;MASC;PL;REFL;PST;V.PTCP	V
pierādījums	證據	pierādījums	證據	N;NOM;MASC;SG	N
pierādījums	證據	pierādījums	證據	N;NOM;MASC;SG	N
aizstāv	捍衛	aizstāvēt	捍衛	V;FH;IND;3;POS;PRS;FIN;ACT	V
oriģināls	原文	oriģināls	原文	N;NOM;MASC;SG	N
oriģināls	原件	oriģināls	原件	N;NOM;MASC;SG	N
oriģināls	原創	oriģināls	原創	N;NOM;MASC;SG	N
oriģināls	原始	oriģināls	原始	N;NOM;MASC;SG	N
nopietnas	嚴重	nopietna	嚴重	ADJ;NOM;FEM;PL	ADJ
nopietnas	嚴肅	nopietna	嚴肅	ADJ;NOM;FEM;PL	ADJ
atbrīvoties	丟棄	atbrīvoties	丟棄	V;POS;REFL;NFIN	V
atbrīvoties	放棄	atbrīvoties	放棄	V;POS;REFL;NFIN	V
atbrīvoties	捨棄	atbrīvoties	捨棄	V;POS;REFL;NFIN	V
dzelzi	鋼鐵	dzelze	鋼鐵	N;ACC;FEM;SG	N
pasniedzēja	老師	pasniedzēt	老師	N;NOM;FEM;SG	N
pasniedzēja	教師	pasniedzēt	教師	N;NOM;FEM;SG	N
banknotes	紙幣	banknote	紙幣	N;NOM;FEM;PL	N
banknotes	鈔	banknote	鈔	N;NOM;FEM;PL	N
atgādinot	回顧	atgādināt	回顧	V;V.CVB	V
magnija	鎂	magnija	鎂	N;NOM;FEM;SG	N
ugunsdzēsēju	消防	ugunsdzēsēja	消防	N;ACC;FEM;SG	N
griezes	力	grieze	力	N;NOM;FEM;PL	N
griezes	扭矩	grieze	扭矩	N;NOM;FEM;PL	N
griezes	扭力	grieze	扭力	N;NOM;FEM;PL	N
šūna	細胞	šūna	細胞	N;NOM;FEM;SG	N
šūna	牢房	šūna	牢房	N;NOM;FEM;SG	N
nemiernieku	叛亂	nemiernieks	叛亂	N;ACC;MASC;SG	N
nemiernieku	叛軍	nemiernieks	叛軍	N;ACC;MASC;SG	N
sektors	部門	sektors	部門	N;NOM;MASC;SG	N
prātā	頭腦	prāts	頭腦	N;ESS;MASC;SG	N
prātā	心靈	prāts	心靈	N;ESS;MASC;SG	N
postenis	項目	postenis	項目	N;NOM;MASC;SG	N
rūpes	關愛	rūpes	關愛	N;NOM;FEM	N
rūpes	愛心	rūpes	愛心	N;NOM;FEM	N
rūpes	關心	rūpes	關心	N;NOM;FEM	N
hipotēzes	假說	hipotēze	假說	N;NOM;FEM;PL	N
atzīmēt	標示	atzīmēt	標示	V;POS;NFIN	V
mutē	嘴	mute	嘴	N;ESS;FEM;SG	N
mutē	口	mute	口	N;ESS;FEM;SG	N
mutē	嘴	mute	嘴	N;ESS;FEM;SG	N
mutē	口腔	mute	口腔	N;ESS;FEM;SG	N
raptors	猛禽	raptors	猛禽	N;NOM;MASC;SG	N
