par	אודות	par	אודות		
grupa	חבורה	grupa	חבורה	N;NOM;FEM;SG	N;FEM;SG
grupa	קבוצה	grupa	קבוצה	N;NOM;FEM;SG	N;FEM;SG
piedalījās	השתתפו	piedalīties	השתתף	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;PL;3;PST
piedalījās	השתתפה	piedalīties	השתתף	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST
piedalījās	השתתף	piedalīties	השתתף	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST
šis	זה	šis	זה	PRO;NOM;MASC;SG	PRO;MASC;SG;3
šīs	אלו	šī	אלו	PRO;NOM;FEM;PL	PRO;PL;3
šīs	אלה	šī	אלה	PRO;NOM;FEM;PL	PRO;MASC;PL;3
valoda	שפה	valoda	שפה	N;NOM;FEM;SG	N;FEM;SG
sugas	מינים	suga	מין	N;NOM;FEM;PL	N;MASC;PL
pasaulē	עולם	pasaule	עולם	N;ESS;FEM;SG	N;MASC;SG
ciems	כפר	ciems	כפר	N;NOM;MASC;SG	N;MASC;SG
skaits	ספירה	skaits	ספירה	N;NOM;MASC;SG	N;FEM;SG
skaits	מספר	skaits	מספר	N;NOM;MASC;SG	N;MASC;SG
aptuveni	בקירוב	aptuveni	בקירוב	ADV	ADV
apriņķis	מחוז	apriņķis	מחוז	N;NOM;MASC;SG	N;MASC;SG
komanda	פיקוד	komanda	פיקוד	N;NOM;FEM;SG	N;MASC;SG
komanda	פקודה	komanda	פקודה	N;NOM;FEM;SG	N;FEM;SG
komanda	מפקדה	komanda	מפקדה	N;NOM;FEM;SG	N;FEM;SG
komanda	צוות	komanda	צוות	N;NOM;FEM;SG	N;FEM;SG
komanda	קבוצה	komanda	קבוצה	N;NOM;FEM;SG	N;FEM;SG
martā	צעדה	marts	צעדה	N;ESS;MASC;SG	N;FEM;SG
amerikāņu	אמריקאים	amerikānis	אמריקני	N;GEN;MASC;PL	N;MASC;PL
dienas	ימים	diena	יום	N;NOM;FEM;PL	N;MASC;PL
dienas	הימים	diena	הימה	N;NOM;FEM;PL	N;MASC;PL
armijas	צבאות	armija	צבא	N;NOM;FEM;PL	N;MASC;PL
klubs	מועדון	klubs	מועדון	N;NOM;MASC;SG	N;MASC;SG
cilvēku	אדם	cilvēks	אדם	N;ACC;MASC;SG	N;MASC;SG
sākās	התחיל	sākties	התחיל	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST
sākās	התחילה	sākties	התחיל	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST
sākās	החלה	sākties	החל	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
dzelzceļa	מעקה	dzelzceļš	מעקה	N;GEN;MASC;SG	N;MASC;SG
iespējams	אפשרי	iespējams	אפשרי	ADJ;NOM;MASC;SG	ADJ;MASC;SG
gadus	שנים	gads	שנה	N;ACC;MASC;PL	N;FEM;PL
impērijas	אימפריות	impērija	אימפריה	N;NOM;FEM;PL	N;FEM;PL
daļas	חלקים	daļa	חלק	N;NOM;FEM;PL	N;MASC;PL
kultūras	יבולים	kultūra	יבול	N;NOM;FEM;PL	N;MASC;PL
kultūras	תרבויות	kultūra	תרבות	N;NOM;FEM;PL	N;FEM;PL
rietumu	מערב	rietumi	מערב	N;ACC;MASC;SG	N;MASC;SG
rietumu	מערב	rietumi	מערב	N;ACC;MASC;SG	N;MASC;SG
dzimums	מגדר	dzimums	מגדר	N;NOM;MASC;SG	N;MASC;SG
tagad	כעת	tagad	כעת	ADV	ADV
tagad	עכשיו	tagad	עכשיו	ADV	ADV
baznīcas	כנסיות	baznīca	כנסיה	N;NOM;FEM;PL	N;FEM;PL
auto	הרכב	auto	הרכב	N	N;MASC;SG
auto	מכונית	auto	מכונית	N	N;FEM;SG
auto	רכב	auto	רכב	N	N;MASC;SG
auto	משאית	auto	משאית	N	N;FEM;SG
baznīca	כנסייה	baznīca	כנסייה	N;NOM;FEM;SG	N;FEM;SG
dzīvo	לחיות	dzīvot	None	V;FH;IND;3;POS;PRS;FIN;ACT	V;NFIN
sporta	ספורטיבי	sports	ספורטיבי	N;GEN;MASC;SG	N;MASC;SG
sporta	ספורט	sports	ספורט	N;GEN;MASC;SG	N;MASC;SG
sporta	ספורט	sports	ספורט	N;GEN;MASC;SG	N;MASC;SG
mājaslapa	אתר	mājaslaps	אתר	N;NOM;FEM;SG	N;MASC;SG
franču	צרפתים	francis	צרפתי	N;GEN;MASC;PL	N;MASC;PL
mājas	בתים	māja	בית	N;NOM;FEM;PL	N;MASC;PL
mājas	בתים	māja	בית	N;NOM;FEM;PL	N;MASC;PL
diskusija	דיון	diskusija	דיון	N;NOM;FEM;SG	N;MASC;SG
gandrīz	כמעט	gandrīz	כמעט	ADV	ADV
gandrīz	כמעט	gandrīz	כמעט	ADV	ADV
pasta	דואר	pasts	דואר	N;NOM;MASC;SG	N;MASC;SG
albums	אלבום	albums	אלבום	N;NOM;MASC;SG	N;MASC;SG
prezidents	נשיא	prezidents	נשיא	N;NOM;MASC;SG	N;MASC;SG
gadi	שנים	gads	שנה	N;NOM;MASC;PL	N;FEM;PL
karalis	מלך	karalis	מלך	N;NOM;MASC;SG	N;MASC;SG
nodarbošanās	עיסוק	nodarbošanās	עיסוק	N;NOM;FEM;SG	N;MASC;SG
nodarbošanās	מקצוע	nodarbošanās	מקצוע	N;NOM;FEM;SG	N;MASC;SG
nodarbošanās	כיבוש	nodarbošanās	כיבוש	N;NOM;FEM;SG	N;MASC;SG
galvenokārt	בעיקר	galvenokārt	בעיקר	ADV	ADV
galvenokārt	בעיקר	galvenokārt	בעיקר	ADV	ADV
stacijas	תחנות	stacija	תחנה	N;NOM;FEM;PL	N;FEM;PL
stacijas	התחנות	stacija	התחנה	N;NOM;FEM;PL	N;FEM;PL
politiķis	פוליטיקאי	politiķis	פוליטיקאי	N;NOM;MASC;SG	N;MASC;SG
šeit	פה	šeit	פה	ADV	ADV
šeit	כאן	šeit	כאן	ADV	ADV
universitātes	אוניברסיטאות	universitāte	אוניברסיטה	N;NOM;FEM;PL	N;FEM;PL
darba	עובדת	darbs	עובדה	N;GEN;MASC;SG	N;FEM;SG
republikas	רפובליקות	republika	רפובליקה	N;NOM;FEM;PL	N;FEM;PL
būtu	צריך	būt	צריך	V;COND;POS;FIN;ACT	V;MASC;SG
gadiem	שנים	gads	שנה	N;DAT;MASC;PL	N;FEM;PL
apgabals	מחוז	apgabals	מחוז	N;NOM;MASC;SG	N;MASC;SG
apgabals	מחוז	apgabals	מחוז	N;NOM;MASC;SG	N;MASC;SG
apgabals	אזור	apgabals	אזור	N;NOM;MASC;SG	N;MASC;SG
apgabals	איזור	apgabals	איזור	N;NOM;MASC;SG	N;MASC;SG
apgabals	שטח	apgabals	שטח	N;NOM;MASC;SG	N;MASC;SG
darbības	פעולות	darbība	פעולה	N;NOM;FEM;PL	N;FEM;PL
darbības	מבצעים	darbība	מבצע	N;NOM;FEM;PL	N;MASC;PL
darbības	פעילויות	darbība	פעילות	N;NOM;FEM;PL	N;FEM;PL
darbības	מעשים	darbība	מעשה	N;NOM;FEM;PL	N;MASC;PL
darbības	פעולות	darbība	פעולה	N;NOM;FEM;PL	N;FEM;PL
cilvēki	אנשים	cilvēks	איש	N;NOM;MASC;PL	N;MASC;PL
izlase	מדגם	izlase	מדגם	N;NOM;FEM;SG	N;MASC;SG
izlase	דגימה	izlase	דגימה	N;NOM;FEM;SG	N;FEM;SG
izlase	בחירה	izlase	בחירה	N;NOM;FEM;SG	N;FEM;SG
izlase	מבחר	izlase	מבחר	N;NOM;FEM;SG	N;MASC;SG
tur	שם	tur	שם	ADV	ADV
viņi	הן	viņš	הוא	PRO;NOM;MASC;PL;3	PRO;FEM;PL;3
viņi	הם	viņš	הוא	PRO;NOM;MASC;PL;3	PRO;MASC;PL;3
īpaši	במיוחד	īpaši	במיוחד	ADV	ADV
īpaši	במיוחד	īpaši	במיוחד	ADV	ADV
dienvidu	דרום	dienvidi	דרום	N;ACC;MASC;SG	N;MASC;SG
dienvidu	דרום	dienvidi	דרום	N;ACC;MASC;SG	N;MASC;SG
partija	מפלגה	partija	מפלגה	N;NOM;FEM;SG	N;FEM;SG
partija	מפלגת	partija	מפלגה	N;NOM;FEM;SG	N;FEM;SG
informācija	מידע	informācija	מידע	N;NOM;FEM;SG	N;MASC;SG
informācija	אינפורמציה	informācija	אינפורמציה	N;NOM;FEM;SG	N;FEM;SG
kluba	מועדון	klubs	מועדון	N;NOM;MASC;SG	N;MASC;SG
dzimusi	נולדת	dzimt	נולדת	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;FEM;SG;V.PTCP;MID
dzimusi	נולדתי	dzimt	נולדתי	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;SG;1;PST;MID
dzimusi	נולד	dzimt	נולד	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;MASC;SG;3;PST;MID
dzimusi	נולדה	dzimt	נולד	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
teritorijas	שטחים	teritorija	שטח	N;NOM;FEM;PL	N;MASC;PL
teritorijas	השטחים	teritorija	השטח	N;NOM;FEM;PL	N;MASC;PL
teritorijas	אזורים	teritorija	אזור	N;NOM;FEM;PL	N;MASC;PL
teritorijas	תחומים	teritorija	תחום	N;NOM;FEM;PL	N;MASC;PL
rajons	חטיבה	rajons	חטיבה	N;NOM;MASC;SG	N;FEM;SG
rajons	דיוויזיה	rajons	דיוויזיה	N;NOM;MASC;SG	N
rajons	חלוקה	rajons	חלוקה	N;NOM;MASC;SG	N;FEM;SG
rajons	מחוז	rajons	מחוז	N;NOM;MASC;SG	N;MASC;SG
medaļu	מדליית	medaļa	מדליה	N;ACC;FEM;SG	N;PSSD;FEM;SG
medaļu	עיטור	medaļa	עיטור	N;ACC;FEM;SG	N;MASC;SG
medaļu	מדליה	medaļa	מדליה	N;ACC;FEM;SG	N;FEM;SG
lielā	גדול	liels	גדול	ADJ;NOM;FEM;SG	ADJ;MASC;SG
lielā	גדולה	liels	גדול	ADJ;NOM;FEM;SG	ADJ;FEM;SG
lielā	גדול	liels	גדול	ADJ;NOM;FEM;SG	ADJ;MASC;SG
lielā	גדולה	liels	גדול	ADJ;NOM;FEM;SG	ADJ;FEM;SG
ielas	הרחובות	iela	הרחובה	N;NOM;FEM;PL	N;FEM;PL
katoļu	קתולים	katolis	קתולי	N;GEN;MASC;PL	N;MASC;PL
sistēmas	מערכות	sistēma	מערכת	N;NOM;FEM;PL	N;FEM;PL
pusē	צד	puse	צד	N;ESS;FEM;SG	N;MASC;SG
līga	ליגה	līga	ליגה	N;NOM;FEM;SG	N;FEM;SG
divi	שני	divi	שני	NUM;NOM;MASC;PL	NUM;MASC;PL
divi	שניים	divi	שניים	NUM;NOM;MASC;PL	NUM;MASC;PL
nāves	מוות	nāve	מוות	N;NOM;FEM;SG	N;MASC;SG
padomes	מועצות	padome	מועצה	N;NOM;FEM;PL	N;FEM;PL
universitāte	אוניברסיטה	universitāte	אוניברסיטה	N;NOM;FEM;SG	N;FEM;SG
universitāte	האוניברסיטה	universitāte	האוניברסיטה	N;NOM;FEM;SG	N;FEM;SG
uzvarēja	זכה	uzvarēt	זכה	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
uzvarēja	ניצח	uzvarēt	ניצח	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
uzvarēja	ניצחו	uzvarēt	ניצח	V;FH;IND;3;POS;PST;FIN;ACT	V;PL;3;PST;ACT
nodaļa	פרק	nodaļa	פרק	N;NOM;FEM;SG	N;MASC;SG
liela	גדול	liela	גדול	ADJ;NOM;FEM;SG	ADJ;MASC;SG
liela	גדולה	liela	גדול	ADJ;NOM;FEM;SG	ADJ;FEM;SG
liela	גדול	liela	גדול	ADJ;NOM;FEM;SG	ADJ;MASC;SG
liela	גדולה	liela	גדול	ADJ;NOM;FEM;SG	ADJ;FEM;SG
liela	נהדר	liela	נהדר	ADJ;NOM;FEM;SG	ADJ;MASC;SG
liela	גדול	liela	גדול	ADJ;NOM;FEM;SG	ADJ;MASC;SG
stacija	תחנה	stacija	תחנה	N;NOM;FEM;SG	N;FEM;SG
stacija	תחנת	stacija	תחנה	N;NOM;FEM;SG	N;FEM;SG
rakstnieks	סופר	rakstnieks	סופר	N;NOM;MASC;SG	N;MASC;SG
universitātē	אוניברסיטה	universitāte	אוניברסיטה	N;ESS;FEM;SG	N;FEM;SG
universitātē	האוניברסיטה	universitāte	האוניברסיטה	N;ESS;FEM;SG	N;FEM;SG
virs	מעל	virs	מעל	ADP	ADP
dziesmas	שירים	dziesma	שיר	N;NOM;FEM;PL	N;MASC;PL
dziesmas	השירים	dziesma	השיר	N;NOM;FEM;PL	N;MASC;PL
zem	מתחת	zem	מתחת	ADP	ADP
zem	מתחת	zem	מתחת	ADP	ADP
zem	תחת	zem	תחת	ADP	ADP
zem	מתחת	zem	מתחת	ADP	ADP
sākotnēji	בתחילה	sākotnēji	בתחילה	ADV	ADV
piedalījies	השתתפה	piedalīties	השתתף	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP	V;FEM;SG;3;PST
piedalījies	השתתפתי	piedalīties	השתתף	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP	V;SG;1;PST
piedalījies	השתתף	piedalīties	השתתף	V;PFV;NOM;INDF;MASC;SG;REFL;PST;V.PTCP	V;MASC;SG;3;PST
filma	סרט	filma	סרט	N;NOM;FEM;SG	N;MASC;SG
filma	קולנוע	filma	קולנוע	N;NOM;FEM;SG	N;MASC;SG
filma	סרט	filma	סרט	N;NOM;FEM;SG	N;MASC;SG
filmas	סרטים	filma	סרט	N;NOM;FEM;PL	N;MASC;PL
filmas	סרטים	filma	סרט	N;NOM;FEM;PL	N;MASC;PL
atkal	שוב	atkal	שוב	ADV	ADV
devās	הלך	doties	הלך	V;FH;IND;3;POS;REFL;PST;FIN;ACT	V;MASC;SG;3;PST
autors	סופרת	autors	סופר	N;NOM;MASC;SG	N;FEM;SG
autors	סופר	autors	סופר	N;NOM;MASC;SG	N;MASC;SG
dzīvoja	התגורר	dzīvot	התגורר	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST
zeme	אדמה	zeme	אדמה	N;NOM;FEM;SG	N;FEM;SG
zeme	ארץ	zeme	ארץ	N;NOM;FEM;SG	N;FEM;SG
zeme	אדמה	zeme	אדמה	N;NOM;FEM;SG	N;FEM;SG
zeme	ארץ	zeme	ארץ	N;NOM;FEM;SG	N;FEM;SG
zeme	קרקע	zeme	קרקע	N;NOM;FEM;SG	N;FEM;SG
zeme	קרקע	zeme	קרקע	N;NOM;FEM;SG	N;FEM;SG
labi	ובכן	labi	ובכן	ADV	ADV
labi	טובה	labi	None	ADV	ADV
dibināta	נוסדה	dibināt	נוסד	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
dibināta	נוסד	dibināt	נוסד	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;MASC;SG;3;PST;MID
ķermeņa	גוף	ķermenis	גוף	N;GEN;MASC;SG	N;MASC;SG
ķermeņa	גופה	ķermenis	גופה	N;GEN;MASC;SG	N;FEM;SG
stadions	אצטדיון	stadions	אצטדיון	N;NOM;MASC;SG	N;MASC;SG
karš	מלחמה	karš	מלחמה	N;NOM;MASC;SG	N;FEM;SG
iedzīvotāji	תושבים	iedzīvotājs	תושב	N;NOM;MASC;PL	N;MASC;PL
iedzīvotāji	תושבים	iedzīvotājs	תושב	N;NOM;MASC;PL	N;MASC;PL
iedzīvotāji	אזרחים	iedzīvotājs	אזרח	N;NOM;MASC;PL	N;MASC;PL
iedzīvotāji	אזרחי	iedzīvotājs	אזרח	N;NOM;MASC;PL	N;MASC;PL
laiks	זמן	laiks	זמן	N;NOM;MASC;SG	N;MASC;SG
laiks	עת	laiks	עת	N;NOM;MASC;SG	N;FEM;SG
saņēma	התקבלה	saņemt	התקבל	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST
saņēma	שהתקבלו	saņemt	שהתקבל	V;FH;IND;3;POS;PST;FIN;ACT	V;PL;3;PST
saņēma	התקבל	saņemt	התקבל	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST
saņēma	קיבל	saņemt	קיבל	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
saņēma	התקבלו	saņemt	התקבל	V;FH;IND;3;POS;PST;FIN;ACT	V;PL;3;PST
ģimenē	משפחה	ģimene	משפחה	N;ESS;FEM;SG	N;FEM;SG
valstis	מדינות	valsts	מדינה	N;NOM;FEM;PL	N;FEM;PL
valstis	מדינות	valsts	מדינה	N;NOM;FEM;PL	N;FEM;PL
valstis	ארצות	valsts	ארץ	N;NOM;FEM;PL	N;FEM;PL
uzsāka	השיק	uzsākt	השיק	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
skolas	לימודים	skola	לימודים	N;NOM;FEM;PL	N;MASC;PL
diena	יום	diena	יום	N;NOM;FEM;SG	N;MASC;SG
temperatūra	טמפרטורה	temperatūra	טמפרטורה	N;NOM;FEM;SG	N;FEM;SG
aktieris	שחקן	aktieris	שחקן	N;NOM;MASC;SG	N;MASC;SG
ciema	כפר	ciems	כפר	N;GEN;MASC;SG	N;MASC;SG
darbi	יצירות	darbs	יצירה	N;NOM;MASC;PL	N;FEM;PL
darbi	עבודות	darbs	עבודה	N;NOM;MASC;PL	N;FEM;PL
darbi	משרות	darbs	משרה	N;NOM;MASC;PL	N;FEM;PL
čempionāts	אליפות	čempionāts	אליפות	N;NOM;MASC;SG	N;FEM;SG
izveidota	נוצרה	izveidot	נוצר	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
izveidota	נוצר	izveidot	נוצר	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;MASC;SG;3;PST;MID
strādāja	עבדה	strādāt	עבד	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST
strādāja	עבד	strādāt	עבד	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST
