interior	интерьер	interior	интерьер	N;SG	N;INAN;NOM;MASC;SG
marsekal	маршал	marsekal	маршал	N	N;ANIM;NOM;MASC;SG
marsekal	маршалов	marsekal	маршал	N	N;ANIM;GEN;MASC;PL
acak	случайный	acak	случайный	ADJ;SG	ADJ;NOM;MASC;SG
acak	случайная	acak	случайный	ADJ;SG	ADJ;NOM;FEM;SG
acak	случайное	acak	случайный	ADJ;SG	ADJ;NOM;NEUT;SG
terkejut	удивлена	terkejut	удивленный	V;SG;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
terkejut	удивлен	terkejut	удивить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
terkejut	шокирован	terkejut	шокировать	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
botol	бутылка	botol	бутылка	N;SG	N;INAN;NOM;FEM;SG
botol	бутылку	botol	бутылка	N;SG	N;INAN;ACC;FEM;SG
syuting	съемки	syuting	съемка	N	N;INAN;NOM;FEM;PL
syuting	съёмки	syuting	съемка	N	N;INAN;NOM;FEM;PL
syuting	съемка	syuting	съемка	N	N;INAN;NOM;FEM;SG
kehancuran	разрушение	kehancuran	разрушение	N;SG	N;INAN;NOM;NEUT;SG
kehancuran	уничтожения	kehancuran	уничтожение	N;SG	N;INAN;GEN;NEUT;SG
kehancuran	уничтожение	kehancuran	уничтожение	N;SG	N;INAN;NOM;NEUT;SG
kenangan	память	kenangan	память	N;SG	N;INAN;NOM;FEM;SG
kenangan	воспоминание	kenangan	воспоминание	N;SG	N;INAN;NOM;NEUT;SG
kenangan	памяти	kenangan	память	N;SG	N;INAN;GEN;FEM;SG
ditembak	застрелен	ditembak	застрелить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
dam	дам	dam	дать		
pukulan	удар	pukulan	удар	N;SG	N;INAN;NOM;MASC;SG
romantis	романтика	romantis	романтика	N;SG	N;INAN;NOM;FEM;SG
romantis	романтик	romantis	романтик	N;SG	N;ANIM;NOM;MASC;SG
romantis	романтика	romantis	романтика	N;SG	N;INAN;NOM;FEM;SG
beri	отдать	beri	отдать	V;SG;ACT	V;PFV;NFIN;ACT
beri	дать	beri	дать	V;SG;ACT	V;PFV;NFIN;ACT
beri	дай	beri	дать	V;SG;ACT	V;PFV;IMP;SG;2;FIN;ACT
bersembunyi	скрывает	bersembunyi	скрывать	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
bersembunyi	скрываю	bersembunyi	скрывать	V;SG;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
membatalkan	отменил	menbatalkan	отменить	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
perlombaan	гонка	perlombaan	гонка	N;SG	N;INAN;NOM;FEM;SG
perlombaan	раса	perlombaan	раса	N;SG	N;INAN;NOM;FEM;SG
serigala	волков	serigala	волк	N	N;ANIM;GEN;MASC;PL
serigala	волки	serigala	волк	N	N;ANIM;NOM;FEM;PL
serigala	вульф	serigala	вульф	N	N;ANIM;NOM;FEM;SG
serigala	вулф	serigala	вулф	N	N;INAN;NOM;FEM;SG
serigala	волка	serigala	волк	N	N;ANIM;ACC;MASC;SG
serigala	вольф	serigala	вольфа	N	N;ANIM;NOM;MASC;SG
serigala	волк	serigala	волк	N	N;ANIM;NOM;MASC;SG
taksi	такси	taksi	такси	N;SG	N;INAN;NOM;NEUT;SG
taksi	такси	taksi	такси	N;SG	N;INAN;NOM;NEUT;SG
taksi	такси	taksi	такси	N;SG	N;INAN;NOM;NEUT;SG
wabah	вспышка	wabah	вспышка	N;SG	N;INAN;NOM;FEM;SG
wabah	чума	wabah	чума	N;SG	N;INAN;NOM;FEM;SG
wabah	эпидемия	wabah	эпидемия	N;SG	N;INAN;NOM;FEM;SG
wabah	эпидемию	wabah	эпидемия	N;SG	N;INAN;ACC;FEM;SG
financial	финансы	financial	финансы	N	N;INAN;NOM;MASC;PL
bala	бала	bala	бал	N;SG	N;INAN;NOM;MASC;SG
lilin	свечу	lilin	свеча	N;SG	N;INAN;ACC;FEM;SG
lilin	свеча	lilin	свеча	N;SG	N;INAN;NOM;FEM;SG
lilin	воск	lilin	воск	N;SG	N;INAN;NOM;MASC;SG
laras	ствол	laras	ствол	N	N;INAN;NOM;MASC;SG
dibuktikan	доказана	dibuktikan	доказать	V;SG;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
dibuktikan	доказано	dibuktikan	доказать	V;SG;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
patroli	патрулирование	patroli	патрулирование	N;SG	N;INAN;NOM;NEUT;SG
patroli	патруль	patroli	патруль	N;SG	N;INAN;NOM;MASC;SG
patroli	патрулирование	patroli	патрулирование	N;SG	N;INAN;NOM;NEUT;SG
mutlak	абсолютной	mutlak	абсолютный	ADJ;SG	ADJ;INS;FEM;SG
mutlak	абсолютный	mutlak	абсолютный	ADJ;SG	ADJ;NOM;MASC;SG
mutlak	абсолютная	mutlak	абсолютный	ADJ;SG	ADJ;NOM;FEM;SG
mutlak	абсолютное	mutlak	абсолютный	ADJ;SG	ADJ;NOM;NEUT;SG
plasma	плазмы	plasma	плазма	N	N;INAN;NOM;FEM;PL
produktif	производственного	produktif	производственный	ADJ;SG	ADJ;GEN;MASC;SG
produktif	продуктивным	produktif	продуктивный	ADJ;SG	ADJ;INS;NEUT;SG
bandingkan	сравнить	bandingkan	сровнять	V;SG;ACT	V;PFV;NFIN;ACT
bandingkan	сравнивать	bandingkan	сравнивать	V;SG;ACT	V;IPFV;NFIN;ACT
tertangkap	пойман	tertangkap	поймать	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
tertangkap	захвачен	tertangkap	захватить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
tertangkap	пойман	tertangkap	поймать	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
pelaut	моряк	penlaut	моряк	N;SG	N;ANIM;NOM;MASC;SG
pelaut	матрос	penlaut	матрос	N;SG	N;ANIM;NOM;MASC;SG
perkantoran	кабинет	perkantoran	кабинет	N;SG	N;INAN;NOM;MASC;SG
perkantoran	канцелярия	perkantoran	канцелярия	N;SG	N;INAN;NOM;FEM;SG
perkantoran	офис	perkantoran	офис	N;SG	N;INAN;NOM;MASC;SG
utang	долг	utang	долг	N;SG	N;INAN;NOM;MASC;SG
utang	задолженность	utang	задолженность	N;SG	N;INAN;NOM;FEM;SG
pecinta	любовник	pecinta	любовник	N;SG	N;ANIM;NOM;MASC;SG
tayangan	впечатление	tayangan	впечатление	N;SG	N;INAN;NOM;NEUT;SG
hikayat	сага	hikayat	саг	N	N;INAN;NOM;FEM;SG
kelanjutan	продолжение	kelanjutan	продолжение	N;SG	N;INAN;NOM;NEUT;SG
menyelidiki	расследовать	menselidiki	расследовать	V;SG;ACT	V;IPFV;NFIN;ACT
orientasi	ориентация	orientasi	ориентация	N;SG	N;INAN;NOM;FEM;SG
orientasi	направленность	orientasi	направленность	N;SG	N;INAN;NOM;FEM;SG
mangga	манго	mangga	манго	N	N;INAN;NOM;MASC;SG
mangga	манго	mangga	манго	N	N;INAN;NOM;MASC;SG
bir	пива	bir	пиво	N;SG	N;INAN;GEN;NEUT;SG
bir	пиво	bir	пиво	N;SG	N;INAN;NOM;NEUT;SG
bir	пива	bir	пиво	N;SG	N;INAN;GEN;NEUT;SG
bir	пиво	bir	пиво	N;SG	N;INAN;NOM;NEUT;SG
rusa	олень	rusa	олень	N	N;ANIM;NOM;MASC;SG
rusa	оленя	rusa	олень	N	N;ANIM;ACC;MASC;SG
rusa	лось	rusa	лось	N	N;ANIM;NOM;MASC;SG
rusa	мус	rusa	муса	N	N;INAN;NOM;MASC;SG
rusa	олень	rusa	олень	N	N;ANIM;NOM;MASC;SG
bahu	плечом	bahu	плечо	N;SG	N;INAN;INS;NEUT;SG
bahu	плечо	bahu	плечо	N;SG	N;INAN;NOM;NEUT;SG
berlari	побежал	berlari	побежать	V;SG;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
berlari	бегать	berlari	бегать	V;SG;ACT	V;IPFV;NFIN;ACT
residen	резидент	residen	резидент	N	N;ANIM;NOM;MASC;SG
residen	резидента	residen	резидент	N	N;ANIM;ACC;MASC;SG
residen	житель	residen	житель	N	N;ANIM;NOM;MASC;SG
residen	резиденты	residen	резидент	N	N;ANIM;NOM;MASC;PL
residen	префект	residen	префект	N	N;ANIM;NOM;MASC;SG
anggrek	орхидея	anggrek	орхидеть	N;SG	N;INAN;NOM;FEM;SG
referendum	референдум	referendum	референдум	N	N;INAN;NOM;MASC;SG
berinteraksi	взаимодействовать	berinteraksi	взаимодействовать	V;SG;ACT	V;IPFV;NFIN;ACT
michelle	мишель	michelle	мишель	N	N;ANIM;NOM;FEM;SG
michelle	микеле	michelle	микел	N	N;ANIM;NOM;MASC;SG
michelle	мишель	michelle	мишель	N	N;ANIM;NOM;FEM;SG
seminari	семинаристов	seminari	семинарист	N	N;ANIM;ACC;MASC;PL
seminari	семинарии	seminari	семинария	N	N;INAN;NOM;FEM;PL
sindrom	синдром	sindrom	синдром	N	N;INAN;NOM;MASC;SG
sajak	рифма	sajak	рифма	N	N;INAN;NOM;FEM;SG
kejayaan	триумф	kejayaan	триумф	N;SG	N;INAN;NOM;MASC;SG
elit	элита	elit	элита	N;SG	N;INAN;NOM;FEM;SG
jujur	честным	jujur	честный	ADJ;SG	ADJ;INS;NEUT;SG
jujur	честное	jujur	честный	ADJ;SG	ADJ;NOM;NEUT;SG
jujur	честный	jujur	честный	ADJ;SG	ADJ;NOM;MASC;SG
jujur	честная	jujur	честный	ADJ;SG	ADJ;NOM;FEM;SG
instalasi	установка	instalasi	установка	N;SG	N;INAN;NOM;FEM;SG
instalasi	установка	instalasi	установка	N;SG	N;INAN;NOM;FEM;SG
cabai	чили	cabai	чили	N;SG	N;INAN;NOM;MASC;SG
lencana	значок	lencana	значок	N;SG	N;INAN;NOM;MASC;SG
lembar	лист	lembar	лист	N;SG	N;INAN;NOM;MASC;SG
faksi	группировка	faksi	группировка	N;SG	N;INAN;NOM;FEM;SG
bayangan	тень	bayangan	тень	N;SG	N;INAN;NOM;FEM;SG
keberadaannya	существование	keberadaan	существование	N;SG	N;INAN;NOM;NEUT;SG
keberadaannya	бытие	keberadaan	бытие	N;SG	N;INAN;NOM;NEUT;SG
waris	наследник	waris	наследник	N;SG	N;ANIM;NOM;MASC;SG
waris	наследника	waris	наследник	N;SG	N;ANIM;ACC;MASC;SG
keterbatasan	ограниченность	keterbatasan	ограниченность	N;SG	N;INAN;NOM;FEM;SG
keterbatasan	ограничение	keterbatasan	ограничение	N;SG	N;INAN;NOM;NEUT;SG
torpedo	торпеда	torpedo	торпед	N	N;INAN;NOM;FEM;SG
torpedo	торпеды	torpedo	торпед	N	N;INAN;NOM;FEM;PL
busur	поклон	busur	поклон	N;SG	N;INAN;NOM;MASC;SG
busur	лук	busur	лук	N;SG	N;INAN;NOM;MASC;SG
kantong	карман	kantong	карман	N;SG	N;INAN;NOM;MASC;SG
kantong	кармане	kantong	карман	N;SG	N;INAN;ESS;MASC;SG
kantong	пакет	kantong	пакет	N;SG	N;INAN;NOM;MASC;SG
kantong	мешок	kantong	мешок	N;SG	N;INAN;NOM;MASC;SG
kantong	сумку	kantong	сумка	N;SG	N;INAN;ACC;FEM;SG
kantong	сумка	kantong	сумка	N;SG	N;INAN;NOM;FEM;SG
kantong	мешочек	kantong	мешочек	N;SG	N;INAN;NOM;MASC;SG
fisikawan	физик	fisikawan	физик	N;MASC;SG	N;ANIM;NOM;MASC;SG
robinson	робинсон	robinson	робинсон	N	N;ANIM;NOM;MASC;SG
depresi	депрессия	depresi	депрессия	N;SG	N;INAN;NOM;FEM;SG
depresi	депрессия	depresi	депрессия	N;SG	N;INAN;NOM;FEM;SG
pembaruan	обновление	penbaruan	обновление	N;SG	N;INAN;NOM;NEUT;SG
pengecualian	исключение	pengecualian	исключение	N;SG	N;INAN;NOM;NEUT;SG
pengecualian	исключением	pengecualian	исключение	N;SG	N;INAN;INS;NEUT;SG
pengecualian	исключение	pengecualian	исключение	N;SG	N;INAN;NOM;NEUT;SG
pengecualian	отчуждение	pengecualian	отчуждение	N;SG	N;INAN;NOM;NEUT;SG
sintesis	синтез	sintesis	синтез	N;SG	N;INAN;NOM;MASC;SG
sintesis	обобщение	sintesis	обобщение	N;SG	N;INAN;NOM;NEUT;SG
keterlibatan	вовлечение	keterlibatan	вовлечение	N;SG	N;INAN;NOM;NEUT;SG
keterlibatan	вовлечение	keterlibatan	вовлечение	N;SG	N;INAN;NOM;NEUT;SG
keterlibatan	участие	keterlibatan	участие	N;SG	N;INAN;NOM;NEUT;SG
keterlibatan	соучастие	keterlibatan	соучастие	N;SG	N;INAN;NOM;NEUT;SG
tendangan	удар	tendangan	удар	N;SG	N;INAN;NOM;MASC;SG
enak	вкусно	enak	вкусный	ADJ;SG	ADJ;NEUT;SG
kesimpulan	заключение	kesimpulan	заключение	N;SG	N;INAN;NOM;NEUT;SG
kesimpulan	вывод	kesimpulan	вывод	N;SG	N;INAN;NOM;MASC;SG
menyembuhkan	лечит	mensembuhkan	лечить	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
menyembuhkan	исцелить	mensembuhkan	исцелить	V;SG;ACT	V;PFV;NFIN;ACT
menyembuhkan	вылечить	mensembuhkan	вылечить	V;SG;ACT	V;PFV;NFIN;ACT
kebijaksanaan	усмотрению	kebijaksanaan	усмотрение	N;SG	N;INAN;DAT;NEUT;SG
kebijaksanaan	мудрость	kebijaksanaan	мудрость	N;SG	N;INAN;NOM;FEM;SG
striker	нападающий	striker	нападающий	N;SG	N;ANIM;NOM;MASC;SG
ringkasan	резюме	ringkasan	резюме	N;SG	N;INAN;NOM;MASC;SG
ringkasan	сводка	ringkasan	сводка	N;SG	N;INAN;NOM;FEM;SG
perkemahan	кэмп	perkemahan	кэмп	N	N;INAN;NOM;MASC;SG
perkemahan	лагерь	perkemahan	лагерь	N	N;INAN;NOM;MASC;SG
perkemahan	лагерях	perkemahan	лагерь	N	N;INAN;ESS;MASC;PL
perkemahan	лагеря	perkemahan	лагерь	N	N;INAN;NOM;MASC;PL
perkemahan	лагерей	perkemahan	лагерь	N	N;INAN;GEN;MASC;PL
persemakmuran	содружества	persemakmuran	содружество	N	N;INAN;NOM;NEUT;PL
persemakmuran	содружество	persemakmuran	содружество	N	N;INAN;NOM;NEUT;SG
pemujaan	культ	penpujaan	культ	N;SG	N;INAN;NOM;MASC;SG
survey	обследование	survey	обследование	N	N;INAN;NOM;NEUT;SG
survey	опрос	survey	опрос	N	N;INAN;NOM;MASC;SG
survey	обследования	survey	обследование	N	N;INAN;NOM;NEUT;PL
diperluas	расширенная	diperluas	расширить	V;SG;PASS	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
diperluas	расширенный	diperluas	расширить	V;SG;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
diperluas	расширена	diperluas	расширный	V;SG;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
diperluas	расширенный	diperluas	расширить	V;SG;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
diperluas	расширенная	diperluas	расширить	V;SG;PASS	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
diperluas	расширенное	diperluas	расширить	V;SG;PASS	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
diperluas	продлен	diperluas	продлить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
terganggu	обеспокоен	terganggu	обеспокоить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
terganggu	нарушена	terganggu	нарушить	V;SG;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
kutukan	проклятие	kutukan	проклятие	N;SG	N;INAN;NOM;NEUT;SG
kutukan	проклятье	kutukan	проклятье	N;SG	N;INAN;NOM;NEUT;SG
temuan	открытие	temuan	открытие	N;SG	N;INAN;NOM;NEUT;SG
temuan	обнаружение	temuan	обнаружение	N;SG	N;INAN;NOM;NEUT;SG
pentas	ступень	pentas	ступень	N	N;INAN;NOM;FEM;SG
pentas	этап	pentas	этап	N	N;INAN;NOM;MASC;SG
pentas	стадия	pentas	стадия	N	N;INAN;NOM;FEM;SG
pentas	этапе	pentas	этап	N	N;INAN;ESS;MASC;SG
antarmuka	интерфейс	antarmuka	интерфейс	N;SG	N;INAN;NOM;MASC;SG
petang	вечер	petang	вечер	N;SG	N;INAN;NOM;MASC;SG
diagram	диаграмма	diagram	диаграмма	N;SG	N;INAN;NOM;FEM;SG
diagram	диаграмма	diagram	диаграмма	N;SG	N;INAN;NOM;FEM;SG
tempuh	эмилия	tempuh	эмилия	N;SG;ACT	N;ANIM;NOM;FEM;SG
elektro	электро	elektro	электрический	N;SG	N;INAN;NOM;MASC;SG
sandi	пароль	sandi	пароль	N;SG	N;INAN;NOM;MASC;SG
sandi	шифр	sandi	шифр	N;SG	N;INAN;NOM;MASC;SG
administrator	администратора	administrator	администратор	N;SG	N;ANIM;ACC;MASC;SG
administrator	администратор	administrator	администратор	N;SG	N;ANIM;NOM;MASC;SG
mewarisi	наследует	menwarisi	наследовать	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mewarisi	наследовать	menwarisi	наследовать	V;SG;ACT	V;IPFV;NFIN;ACT
mewarisi	наследовать	menwarisi	наследовать	V;SG;ACT	V;IPFV;NFIN;ACT
mewarisi	унаследовал	menwarisi	унаследовать	V;SG;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
susah	трудно	susah	трудный	ADJ;SG	ADJ;NEUT;SG
susah	жёсткий	susah	жёсткий	ADJ;SG	ADJ;NOM;MASC;SG
susah	сложно	susah	сложный	ADJ;SG	ADJ;NEUT;SG
susah	тяжело	susah	тяжелый	ADJ;SG	ADJ;NEUT;SG
susah	трудно	susah	трудный	ADJ;SG	ADJ;NEUT;SG
susah	трудное	susah	трудный	ADJ;SG	ADJ;NOM;NEUT;SG
susah	сложно	susah	сложный	ADJ;SG	ADJ;NEUT;SG
susah	трудный	susah	трудный	ADJ;SG	ADJ;NOM;MASC;SG
dilepaskan	выпущено	dilepaskan	выпустить	V;SG;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
dilepaskan	выпущен	dilepaskan	выпустить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
dilepaskan	выпущена	dilepaskan	выпустить	V;SG;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
penomoran	нумерацию	pennomoran	нумерация	N;SG	N;INAN;ACC;FEM;SG
penomoran	нумерация	pennomoran	нумерация	N;SG	N;INAN;NOM;FEM;SG
mediterania	средиземноморья	mediterania	средиземноморья	N;SG	N;INAN;NOM;NEUT;SG
mediterania	средиземноморье	mediterania	средиземноморье	N;SG	N;INAN;NOM;NEUT;SG
adventure	приключения	adventure	приключение	N	N;INAN;NOM;NEUT;PL
adventure	приключение	adventure	приключение	N	N;INAN;NOM;NEUT;SG
ketegangan	напряжение	ketegangan	напряжение	N;SG	N;INAN;NOM;NEUT;SG
ketegangan	напряженность	ketegangan	напряженность	N;SG	N;INAN;NOM;FEM;SG
ketegangan	напряженности	ketegangan	напряженность	N;SG	N;INAN;NOM;FEM;SG
ketegangan	напряжении	ketegangan	напряжение	N;SG	N;INAN;ESS;NEUT;SG
petir	гром	petir	гром	N;SG	N;INAN;NOM;MASC;SG
petir	молния	petir	молния	N;SG	N;INAN;NOM;FEM;SG
desainer	дизайнер	desainer	дизайнер	N;SG	N;ANIM;NOM;MASC;SG
kecerdasan	интеллект	kecerdasan	интеллект	N;SG	N;INAN;NOM;MASC;SG
kecerdasan	разведка	kecerdasan	разведка	N;SG	N;INAN;NOM;FEM;SG
kecerdasan	разведки	kecerdasan	разведка	N;SG	N;INAN;NOM;FEM;SG
kecerdasan	интеллект	kecerdasan	интеллект	N;SG	N;INAN;NOM;MASC;SG
modul	модуль	modul	модуль	N;SG	N;INAN;NOM;MASC;SG
kecewa	недоволен	kecewa	недовольный	ADJ;SG	ADJ;MASC;SG
kecewa	неудовлетворительным	kecewa	неудовлетворительный	ADJ;SG	ADJ;INS;NEUT;SG
vandalisme	вандализма	vandalisme	вандализм	N;SG	N;INAN;GEN;MASC;SG
tinju	бокс	tinju	бокс	N;SG	N;INAN;NOM;MASC;SG
tinju	кулак	tinju	кулак	N;SG	N;INAN;NOM;MASC;SG
manufaktur	производителей	manufaktur	производитель	N	N;ANIM;ACC;MASC;PL
manufaktur	производители	manufaktur	производитель	N	N;ANIM;NOM;MASC;PL
manufaktur	производство	manufaktur	производство	N	N;INAN;NOM;NEUT;SG
manufaktur	изготовление	manufaktur	изготовление	N	N;INAN;NOM;NEUT;SG
manufaktur	изготовитель	manufaktur	изготовитель	N	N;ANIM;NOM;MASC;SG
manufaktur	производитель	manufaktur	производитель	N	N;ANIM;NOM;MASC;SG
manufaktur	изготовителем	manufaktur	изготовитель	N	N;ANIM;INS;MASC;SG
potret	портрет	potret	портрет	N;SG	N;INAN;NOM;MASC;SG
propaganda	пропаганда	propaganda	пропаганда	N;SG	N;INAN;NOM;FEM;SG
propaganda	пропаганду	propaganda	пропаганда	N;SG	N;INAN;ACC;FEM;SG
mempercepat	ускорить	menpercepat	ускорить	V;SG;ACT	V;PFV;NFIN;ACT
geng	банда	geng	банда	N;SG	N;INAN;NOM;FEM;SG
suster	сёстры	suster	сестра	N	N;ANIM;NOM;MASC;PL
suster	сестры	suster	сестра	N	N;ANIM;NOM;FEM;PL
suster	сестра	suster	сестра	N	N;ANIM;NOM;FEM;SG
suster	сестра	suster	сестра	N	N;ANIM;NOM;FEM;SG
suster	медсестра	suster	медсестр	N	N;ANIM;NOM;FEM;SG
mengejutkan	удивляет	menkejutkan	удивлять	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
mengejutkan	шокирует	menkejutkan	шокировать	V;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
memutar	повернуть	menputar	повернуть	V;SG;ACT	V;PFV;NFIN;ACT
fighter	боец	fighter	боец	N	N;ANIM;NOM;MASC;SG
geometri	геометрия	geometri	геометрия	N	N;INAN;NOM;FEM;SG
kelainan	аномалия	kelainan	аномалия	N;SG	N;INAN;NOM;FEM;SG
kelainan	аберрация	kelainan	аберрация	N;SG	N;INAN;NOM;FEM;SG
kelainan	расстройство	kelainan	расстройство	N;SG	N;INAN;NOM;NEUT;SG
kelainan	деформация	kelainan	деформация	N;SG	N;INAN;NOM;FEM;SG
gaji	оклад	gaji	оклад	N;SG	N;INAN;NOM;MASC;SG
gaji	зарплата	gaji	зарплата	N;SG	N;INAN;NOM;FEM;SG
diarahkan	направленное	diarahkan	направить	V;SG;PASS	V;PFV;NOM;NEUT;SG;PST;V.PTCP;PASS
diarahkan	направленный	diarahkan	направить	V;SG;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
lada	перец	lada	перец	N;SG	N;INAN;NOM;MASC;SG
lada	пеппер	lada	пеппер	N;SG	N;ANIM;NOM;MASC;SG
lada	лада	lada	лад	N;SG	N;INAN;NOM;FEM;SG
pengurangan	уменьшение	penkurangan	уменьшение	N;SG	N;INAN;NOM;NEUT;SG
pengurangan	сокращение	penkurangan	сокращение	N;SG	N;INAN;NOM;NEUT;SG
pengurangan	вычитание	penkurangan	вычитание	N;SG	N;INAN;NOM;NEUT;SG
direbut	захвачен	direbut	захватить	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
direbut	пойман	direbut	поймать	V;SG;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
anggun	элегантный	anggun	элегантный	ADJ;SG	ADJ;NOM;MASC;SG
inspektur	инспектор	inspektur	инспектор	N	N;ANIM;NOM;MASC;SG
