voor	priekš	voor	priekš	ADP	ADP
had	bija	hebben	būt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
zou	būtu	zullen	būt	V;SG;PST;FIN	V;COND;POS;FIN;ACT
waar	kur	waar	kur	ADV	ADV
veel	daudziem	veel	daudzi	PRO	PRO;DAT;MASC;PL
veel	daudzi	veel	daudzi	PRO	PRO;NOM;MASC;PL
veel	daudzus	veel	daudzi	PRO	PRO;ACC;MASC;PL
veel	daudzas	veel	daudzas	PRO	PRO;NOM;FEM;PL
hun	viņu	hun	viņš	PRO;ACC;3	PRO;ACC;MASC;SG;3
komt	nāk	komen	nākt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
komt	atnāk	komen	atnākt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
tegen	pret	tegen	pret	ADP	ADP
tweede	otrais	twee	otrais	ADJ	ADJ;NOM;DEF;MASC;SG
tweede	otrie	twee	otrais	ADJ	ADJ;NOM;DEF;MASC;PL
tweede	otrā	twee	otrā	ADJ	ADJ;NOM;DEF;FEM;SG
kunnen	var	kunnen	varēt	V;PL;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
kunnen	varam	kunnen	varēt	V;PL;PRS;FIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
zie	redz	zien	redzēt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
zie	skatīt	zien	skatīt	V;SG;PRS;FIN	V;POS;NFIN
geslacht	dzimumu	geslacht	dzimums	N;NEUT;SG	N;ACC;MASC;SG
geslacht	dzimums	geslacht	dzimums	N;NEUT;SG	N;NOM;MASC;SG
geslacht	sekss	geslacht	sekss	N;NEUT;SG	N;NOM;MASC;SG
geslacht	dzimums	geslacht	dzimums	N;NEUT;SG	N;NOM;MASC;SG
grote	lielie	groot	liels	ADJ	ADJ;NOM;MASC;PL
grote	liels	groot	liels	ADJ	ADJ;NOM;MASC;SG
grote	lielas	groot	liela	ADJ	ADJ;NOM;FEM;PL
grote	lieli	groot	liels	ADJ	ADJ;NOM;MASC;PL
grote	liela	groot	liela	ADJ	ADJ;NOM;FEM;SG
grote	lielā	groot	liels	ADJ	ADJ;NOM;FEM;SG
grote	liels	groot	liels	ADJ	ADJ;NOM;MASC;SG
grote	lielais	groot	liels	ADJ	ADJ;NOM;MASC;SG
grote	lieli	groot	liels	ADJ	ADJ;NOM;MASC;PL
grote	liela	groot	liela	ADJ	ADJ;NOM;FEM;SG
grote	lielā	groot	liels	ADJ	ADJ;NOM;FEM;SG
bar	bārs	bar	bārs	N;MASC+FEM;SG	N;NOM;MASC;SG
bar	stienis	bar	stienis	N;MASC+FEM;SG	N;NOM;MASC;SG
aantal	numuru	aantal	numurs	N;NEUT;SG	N;ACC;MASC;SG
aantal	numurs	aantal	numurs	N;NEUT;SG	N;NOM;MASC;SG
aantal	skaitlis	aantal	skaitlis	N;NEUT;SG	N;NOM;MASC;SG
aantal	skaits	aantal	skaits	N;NEUT;SG	N;NOM;MASC;SG
telt	skaitās	tellen	skaitīties	V;SG;PRS;FIN	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
nieuwe	jauna	nieuw	jauns	ADJ	ADJ;NOM;FEM;SG
nieuwe	jauni	nieuw	jauns	ADJ	ADJ;NOM;MASC;PL
nieuwe	jauns	nieuw	jauns	ADJ	ADJ;NOM;MASC;SG
nieuwe	jaunais	nieuw	jauns	ADJ	ADJ;NOM;MASC;SG
nieuwe	jaunas	nieuw	jauna	ADJ	ADJ;NOM;FEM;PL
zij	viņa	zij	viņa	PRO;NOM;3	PRO;NOM;FEM;SG;3
zij	viņi	zij	viņš	PRO;NOM;3	PRO;NOM;MASC;PL;3
jaren	gadus	jaar	gads	N;PL	N;ACC;MASC;PL
jaren	gadi	jaar	gads	N;PL	N;NOM;MASC;PL
jaren	gadiem	jaar	gads	N;PL	N;DAT;MASC;PL
later	vēlākā	laat	vēla	ADJ;CMPR	ADJ;NOM;CMPR;FEM;SG
artikel	raksts	artikel	raksts	N;NEUT;SG	N;NOM;MASC;SG
artikel	izstrādājums	artikel	izstrādājums	N;NEUT;SG	N;NOM;MASC;SG
artikel	pants	artikel	pants	N;NEUT;SG	N;NOM;MASC;SG
via	caur	via	caur	ADP	ADP
gebied	zona	gebied	zons	N;NEUT;SG	N;NOM;FEM;SG
gebied	teritorija	gebied	teritorija	N;NEUT;SG	N;NOM;FEM;SG
gebied	platība	gebied	platība	N;NEUT;SG	N;NOM;FEM;SG
gebied	apgabals	gebied	apgabals	N;NEUT;SG	N;NOM;MASC;SG
gebied	laukums	gebied	laukums	N;NEUT;SG	N;NOM;MASC;SG
hem	viņu	hem	viņš	PRO;ACC;3	PRO;ACC;MASC;SG;3
stad	pilsēta	stad	pilsēta	N;MASC+FEM;SG	N;NOM;FEM;SG
stad	pilsēta	stad	pilsēta	N;MASC+FEM;SG	N;NOM;FEM;SG
lijst	sarakstu	lijst	saraksts	N;MASC+FEM;SG	N;ACC;MASC;SG
lijst	saraksta	lijst	saraksts	N;MASC+FEM;SG	N;GEN;MASC;SG
lijst	uzskaitījums	lijst	uzskaitījums	N;MASC+FEM;SG	N;NOM;MASC;SG
lijst	saraksts	lijst	saraksts	N;MASC+FEM;SG	N;NOM;MASC;SG
hier	šeit	hier	šeit	ADV	ADV
hier	te	hier	te	ADV	ADV
omdat	jo	omdat	jo	CONJ	CONJ
links	kreisais	links	kreiss	ADJ	ADJ;NOM;MASC;SG
links	kreisā	links	kreisa	ADJ	ADJ;NOM;FEM;SG
tijd	laiks	tijd	laiks	N;MASC+FEM;SG	N;NOM;MASC;SG
tijd	laika	tijd	laiks	N;MASC+FEM;SG	N;GEN;MASC;SG
daar	tur	daar	tur	ADV	ADV
drie	trim	drie	trīs	NUM	NUM;DAT;MASC;PL
drie	trīs	drie	trīs	NUM	NUM;NOM;MASC;PL
kwam	atnācu	komen	atnākt	V;SG;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
kwam	atnāca	komen	atnākt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
provincie	province	provincie	province	N;MASC+FEM;SG	N;NOM;FEM;SG
provincie	ils	provincie	ils	N;MASC+FEM;SG	N;ESS;MASC;SG
link	saikne	link	saikne	N;MASC+FEM;SG	N;NOM;FEM;SG
link	saite	link	saite	N;MASC+FEM;SG	N;NOM;FEM;SG
http	http	ht	http	N;MASC+FEM;SG	N
gebruikt	izmanto	gebruiken	izmantot	V;V.PTCP	V;IMP;SG;2;POS;FIN;ACT
gebruikt	lietots	gebruiken	lietot	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gebruikt	izmantotais	gebruiken	izmantot	V;V.PTCP	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
gebruikt	izmantots	gebruiken	izmantot	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gebruikt	lietoti	gebruiken	lietot	V;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gebruikt	lietota	gebruiken	lietot	V;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
eeuw	gadsimts	eeuw	gadsimts	N;MASC+FEM;SG	N;NOM;MASC;SG
vlinder	tauriņu	vlinder	tauriņš	N;MASC+FEM;SG	N;ACC;MASC;SG
club	klubā	club	klubs	N;MASC+FEM;SG	N;ESS;MASC;SG
club	klubs	club	klubs	N;MASC+FEM;SG	N;NOM;MASC;SG
club	kluba	club	klubs	N;MASC+FEM;SG	N;NOM;MASC;SG
sinds	kopš	sinds	kopš	ADP	ADP
samen	kopā	samen	kopā	ADV	ADV
één	viens	één	viens	NUM	NUM;NOM;MASC;SG
één	viena	één	viena	NUM	NUM;NOM;FEM;SG
één	vienu	één	viens	NUM	NUM;ACC;MASC;SG
maakt	padara	maken	padarīt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
moet	būtu	moeten	būt	V;SG;PRS;FIN	V;COND;POS;FIN;ACT
maken	padarot	maken	padarīt	V;NFIN	V;V.CVB
maken	izveidot	maken	izveidot	V;NFIN	V;POS;NFIN
maken	radīt	maken	radīt	V;NFIN	V;POS;NFIN
maken	veidot	maken	veidot	V;NFIN	V;POS;NFIN
maken	padarīt	maken	padarīt	V;NFIN	V;POS;NFIN
maken	padarītu	maken	padarīt	V;NFIN	V;COND;POS;FIN;ACT
enkele	dažas	enkele	daža	PRO	PRO;NOM;FEM;PL
enkele	dažiem	enkele	dažs	PRO	PRO;DAT;MASC;PL
enkele	daži	enkele	dažs	PRO	PRO;NOM;MASC;PL
verschillende	dažādi	verschillend	dažāds	ADJ	ADJ;NOM;MASC;PL
verschillende	atšķirīgs	verschillend	atšķirīgs	ADJ	ADJ;NOM;MASC;SG
verschillende	dažādas	verschillend	dažāda	ADJ	ADJ;NOM;FEM;PL
bestaat	pastāv	bestaan	pastāvēt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
bestaat	eksistē	bestaan	eksistēt	V;SG;PRS;FIN	V;IMP;SG;2;POS;PRS;FIN;ACT
seizoen	sezonai	seizoen	sezona	N;NEUT;SG	N;DAT;FEM;SG
seizoen	sezonu	seizoen	sezona	N;NEUT;SG	N;ACC;FEM;SG
seizoen	sezonā	seizoen	sezona	N;NEUT;SG	N;ESS;FEM;SG
seizoen	sezona	seizoen	sezona	N;NEUT;SG	N;NOM;FEM;SG
volgende	nākamais	volgen	nākt	V;V.PTCP	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
volgende	nākamā	volgen	nākt	V;V.PTCP	V;NOM;DEF;FEM;SG;PRS;V.PTCP;PASS
volgende	nākamo	volgen	nākt	V;V.PTCP	V;ACC;DEF;MASC;SG;PRS;V.PTCP;PASS
volgende	nākošais	volgen	nākt	V;V.PTCP	V;IPFV;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
weg	prom	weg	prom	ADV	ADV
insect	kļūdu	insect	kļūda	N;NEUT;SG	N;ACC;FEM;SG
film	filma	film	filma	N;MASC+FEM;SG	N;NOM;FEM;SG
film	filmu	film	filma	N;MASC+FEM;SG	N;ACC;FEM;SG
film	plēve	film	plēve	N;MASC+FEM;SG	N;NOM;FEM;SG
film	filma	film	filma	N;MASC+FEM;SG	N;NOM;FEM;SG
terug	atpakaļ	terug	atpakaļ	ADV	ADV
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	N;NOM;MASC;SG
land	valsts	land	valsts	N;NEUT;SG	N;NOM;FEM;SG
land	zemi	land	zeme	N;NEUT;SG	N;ACC;FEM;SG
land	zeme	land	zeme	N;NEUT;SG	N;NOM;FEM;SG
ging	aizgāja	gaan	aiziet	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
ging	devās	gaan	doties	V;SG;PST;FIN	V;FH;IND;3;POS;REFL;PST;FIN;ACT
ging	gāja	gaan	iet	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
kreeg	saņēmu	krijgen	saņemt	V;SG;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
werk	darbs	werk	darbs	N;NEUT;SG	N;NOM;MASC;SG
website	mājaslapa	website	mājaslaps	N;MASC+FEM;SG	N;NOM;FEM;SG
website	mājaslapā	website	mājaslaps	N;MASC+FEM;SG	N;ESS;MASC;SG
goed	laba	goed	laba	ADJ	ADJ;NOM;FEM;SG
goed	labas	goed	laba	ADJ	ADJ;NOM;FEM;PL
goed	labs	goed	labs	ADJ	ADJ;NOM;MASC;SG
goed	labais	goed	labs	ADJ	ADJ;NOM;MASC;SG
bestand	faila	bestand	faila	N;NEUT;SG	N;NOM;MASC;SG
bestand	fails	bestand	fails	N;NEUT;SG	N;NOM;MASC;SG
bestand	failu	bestand	fails	N;NEUT;SG	N;ACC;MASC;SG
mensen	cilvēkiem	mens	cilvēks	N;PL	N;DAT;MASC;PL
mensen	cilveki	mens	cilveks	N;PL	N;NOM;MASC;PL
mensen	cilvēki	mens	cilvēks	N;PL	N;NOM;MASC;PL
mensen	cilvēkiem	mens	cilvēks	N;PL	N;DAT;MASC;PL
gaan	braucam	gaan	braukt	V;PRS;NFIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
vaak	kopējo	vaak	kopēja	ADJ	ADJ;ACC;MASC;SG
orde	pasūtījums	orde	pasūtījums	N;MASC+FEM;SG	N;NOM;MASC;SG
orde	kārtība	orde	kārtība	N;MASC+FEM;SG	N;NOM;FEM;SG
orde	rīkojums	orde	rīkojums	N;MASC+FEM;SG	N;NOM;MASC;SG
orde	secība	orde	secība	N;MASC+FEM;SG	N;NOM;FEM;SG
groot	lielie	groot	liels	ADJ	ADJ;NOM;MASC;PL
groot	liels	groot	liels	ADJ	ADJ;NOM;MASC;SG
groot	lielas	groot	liela	ADJ	ADJ;NOM;FEM;PL
groot	lieli	groot	liels	ADJ	ADJ;NOM;MASC;PL
groot	liela	groot	liela	ADJ	ADJ;NOM;FEM;SG
groot	lielā	groot	liels	ADJ	ADJ;NOM;FEM;SG
groot	liels	groot	liels	ADJ	ADJ;NOM;MASC;SG
groot	lielais	groot	liels	ADJ	ADJ;NOM;MASC;SG
groot	lieli	groot	liels	ADJ	ADJ;NOM;MASC;PL
groot	liela	groot	liela	ADJ	ADJ;NOM;FEM;SG
groot	lielā	groot	liels	ADJ	ADJ;NOM;FEM;SG
groot	liels	groot	liels	ADJ	ADJ;NOM;MASC;SG
groot	liela	groot	liela	ADJ	ADJ;NOM;FEM;SG
groot	lieliska	groot	lieliska	ADJ	ADJ;NOM;FEM;SG
vooral	īpaši	vooral	īpaši	ADV	ADV
vooral	galvenokārt	vooral	galvenokārt	ADV	ADV
kerk	baznīca	kerk	baznīca	N;MASC+FEM;SG	N;NOM;FEM;SG
kerk	baznīcā	kerk	baznīca	N;MASC+FEM;SG	N;ESS;FEM;SG
regio	reģions	regio	reģions	N;MASC+FEM;SG	N;NOM;MASC;SG
oppervlakte	teritorija	oppervlakte	teritorija	N;MASC+FEM;SG	N;NOM;FEM;SG
oppervlakte	platība	oppervlakte	platība	N;MASC+FEM;SG	N;NOM;FEM;SG
oppervlakte	apgabals	oppervlakte	apgabals	N;MASC+FEM;SG	N;NOM;MASC;SG
oppervlakte	laukums	oppervlakte	laukums	N;MASC+FEM;SG	N;NOM;MASC;SG
genoemd	pieminēts	noemen	pieminēt	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
genoemd	minēts	noemen	minēt	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
genoemd	pieminēja	noemen	pieminēt	V;V.PTCP	V;FH;IND;3;POS;PST;FIN;ACT
genoemd	nosaukta	noemen	nosaukt	V;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
genoemd	nosaukts	noemen	nosaukt	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
genoemd	saucās	noemen	saukties	V;V.PTCP	V;FH;IND;3;POS;REFL;PST;FIN;ACT
genoemd	saukts	noemen	saukt	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
komen	nāk	komen	nākt	V;NFIN	V;FH;IND;3;POS;PRS;FIN;ACT
ongeveer	aptuveni	ongeveer	aptuveni	ADV	ADV
ongeveer	apmēram	ongeveer	apmēram	ADV	ADV
speelde	spēlējis	spelen	spēlēt	V;SG;PST;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
speelde	spēlēja	spelen	spēlēt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
dorp	ciema	dorp	ciems	N;NEUT;SG	N;GEN;MASC;SG
dorp	ciemata	dorp	ciemats	N;NEUT;SG	N;GEN;MASC;SG
dorp	ciems	dorp	ciems	N;NEUT;SG	N;NOM;MASC;SG
dorp	ciematu	dorp	ciemats	N;NEUT;SG	N;ACC;MASC;SG
dorp	ciemu	dorp	ciems	N;NEUT;SG	N;ACC;MASC;SG
dorp	ciemats	dorp	ciemats	N;NEUT;SG	N;NOM;MASC;SG
plaatsen	vietām	plaats	vieta	N;PL	N;DAT;FEM;PL
plaatsen	vietas	plaats	vieta	N;PL	N;NOM;FEM;PL
leven	dzīve	leven	dzīve	N;NEUT;SG	N;NOM;FEM;SG
leven	dzīvi	leven	dzīve	N;NEUT;SG	N;ACC;FEM;SG
leven	dzīvība	leven	dzīvība	N;NEUT;SG	N;NOM;FEM;SG
leven	dzīvi	leven	dzīve	N;NEUT;SG	N;ACC;FEM;SG
leven	tiešraide	leven	tiešraide	N;NEUT;SG	N;NOM;FEM;SG
register	reģistrā	register	reģistrs	N;NEUT;SG	N;ESS;MASC;SG
register	reģistrs	register	reģistrs	N;NEUT;SG	N;NOM;MASC;SG
register	reģistrs	register	reģistrs	N;NEUT;SG	N;NOM;MASC;SG
register	kanceleja	register	kanceleja	N;NEUT;SG	N;NOM;FEM;SG
meter	metru	meter	metrs	N;MASC+FEM;SG	N;ACC;MASC;SG
meter	mērītājs	meter	mērītājs	N;MASC+FEM;SG	N;NOM;MASC;SG
vier	četri	vier	četri	NUM	NUM;NOM;MASC;PL
vier	četras	vier	četras	NUM	NUM;NOM;FEM;PL
vier	četriem	vier	četri	NUM	NUM;DAT;MASC;PL
vier	četrus	vier	četri	NUM	NUM;ACC;MASC;PL
toch	vēl	toch	vēl	ADV	ADV
zeer	ļoti	zeer	ļoti	ADV	ADV
zeer	loti	zeer	loti	ADV	ADV
top	tops	top	tops	N;MASC+FEM;SG	N;NOM;MASC;SG
top	samitā	top	samita	N;MASC+FEM;SG	N;ESS;FEM;SG
top	samits	top	samits	N;MASC+FEM;SG	N;NOM;MASC;SG
oude	vecā	oud	veca	ADJ	ADJ;NOM;FEM;SG
oude	veca	oud	veca	ADJ	ADJ;NOM;FEM;SG
oude	veci	oud	vecs	ADJ	ADJ;NOM;MASC;PL
oude	vecs	oud	vecs	ADJ	ADJ;NOM;MASC;SG
zonder	bez	zonder	bez	ADP	ADP
ronde	kārta	ronde	kārta	N;MASC+FEM;SG	N;NOM;FEM;SG
gemaakt	izgatavots	maken	izgatavot	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gemaakt	radīta	maken	radīt	V;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
gemaakt	radīts	maken	radīt	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gemaakt	izveidots	maken	izveidot	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gemaakt	radīti	maken	radīt	V;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
gemaakt	izveidota	maken	izveidot	V;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
groep	grupu	groep	grupa	N;MASC+FEM;SG	N;ACC;FEM;SG
groep	grupa	groep	grupa	N;MASC+FEM;SG	N;NOM;FEM;SG
won	uzvarēja	winnen	uzvarēt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
won	uzvarējis	winnen	uzvarēt	V;SG;PST;FIN	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
won	ieguva	winnen	iegūt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
goals	mērķus	goal	mērķis	N;PL	N;ACC;MASC;PL
gebruik	lietošana	gebruik	lietošana	N;NEUT;SG	N;NOM;FEM;SG
gebruik	izmantošana	gebruik	izmantošana	N;NEUT;SG	N;NOM;FEM;SG
gebruik	lietojums	gebruik	lietojums	N;NEUT;SG	N;NOM;MASC;SG
gebruik	lietošana	gebruik	lietošana	N;NEUT;SG	N;NOM;FEM;SG
gebruik	lietojums	gebruik	lietojums	N;NEUT;SG	N;NOM;MASC;SG
gebruik	izmantošana	gebruik	izmantošana	N;NEUT;SG	N;NOM;FEM;SG
werken	strādāt	werken	strādāt	V;NFIN	V;POS;NFIN
werken	strādājam	werken	strādāt	V;NFIN	V;FH;IND;PL;1;POS;PRS;FIN;ACT
werken	strādā	werken	strādāt	V;NFIN	V;FH;IND;3;POS;PRS;FIN;ACT
derde	trešā	drie	trešā	ADJ	ADJ;NOM;DEF;FEM;SG
derde	trešais	drie	trešais	ADJ	ADJ;NOM;DEF;MASC;SG
kleine	mazas	klein	maza	ADJ	ADJ;NOM;FEM;PL
kleine	mazās	klein	maza	ADJ	ADJ;NOM;FEM;PL
kleine	mazie	klein	mazs	ADJ	ADJ;NOM;MASC;PL
kleine	maza	klein	maza	ADJ	ADJ;NOM;FEM;SG
kleine	mazs	klein	mazs	ADJ	ADJ;NOM;MASC;SG
kleine	maza	klein	maza	ADJ	ADJ;NOM;FEM;SG
kleine	mazais	klein	mazs	ADJ	ADJ;NOM;MASC;SG
eens	vienreiz	eens	vienreiz	ADV	ADV
eens	reiz	eens	reiz	ADV	ADV
zien	redz	zien	redzēt	V;NFIN	V;FH;IND;3;POS;PRS;FIN;ACT
zien	skatīt	zien	skatīt	V;NFIN	V;POS;NFIN
album	albuma	album	albums	N;NEUT;SG	N;GEN;MASC;SG
album	albums	album	albums	N;NEUT;SG	N;NOM;MASC;SG
album	albumu	album	albums	N;NEUT;SG	N;ACC;MASC;SG
mogelijk	iespējams	mogelijk	iespējams	ADJ	ADJ;NOM;MASC;SG
mogelijk	iespējamie	mogelijk	iespējams	ADJ	ADJ;NOM;MASC;PL
mogelijk	iespējams	mogelijk	iespējams	ADJ	ADJ;NOM;MASC;SG
mogelijk	iespējamā	mogelijk	iespējama	ADJ	ADJ;NOM;FEM;SG
mogelijk	iespējama	mogelijk	iespējama	ADJ	ADJ;NOM;FEM;SG
wil	grib	willen	gribēt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
wil	vēlas	willen	vēlēties	V;SG;PRS;FIN	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
wil	gribu	willen	gribēt	V;SG;PRS;FIN	V;FH;IND;SG;1;POS;PRS;FIN;ACT
wil	gribi	willen	gribēt	V;SG;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
wil	grib	willen	gribēt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
staten	valstis	state	valsts	N;PL	N;NOM;FEM;PL
nam	ieņēma	nemen	ieņemt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
nam	paņēma	nemen	paņemt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
nam	ņēma	nemen	ņemt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
station	stacija	station	stacija	N;NEUT;SG	N;NOM;FEM;SG
