que	ότι	que	ότι	CONJ	CONJ
mismo	ίδια	mismo	ίδιος	ADJ;MASC;SG	ADJ;NOM;FEM;SG
mismo	ίδιο	mismo	ίδιος	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
nueva	νέο	nuevo	νέος	ADJ;FEM;SG	ADJ;ACC;NEUT;SG
nueva	νέος	nuevo	νέος	ADJ;FEM;SG	ADJ;NOM;MASC;SG
historia	ιστορία	historia	ιστορία	N;FEM;SG	N;NOM;FEM;SG
historia	ιστορια	historia	ιστορια	N;FEM;SG	N;NOM;FEM;SG
historia	ιστορία	historia	ιστορία	N;FEM;SG	N;NOM;FEM;SG
historia	ιστορια	historia	ιστορια	N;FEM;SG	N;NOM;FEM;SG
club	λέσχη	club	λέσχω	N;MASC;SG	N;NOM;FEM;SG
cual	που	cual	που	PRO;SG	PRO;ACC;NEUT;SG;3
universidad	πανεπιστήμιο	universidad	πανεπιστήμιο	N;FEM;SG	N;NOM;NEUT;SG
universidad	πανεπιστημιο	universidad	πανεπιστημιο	N;FEM;SG	N;NOM;NEUT;SG
universidad	κολλέγιο	universidad	κολλέγιο	N;FEM;SG	N;NOM;NEUT;SG
universidad	κολέγιο	universidad	κολέγιο	N;FEM;SG	N;NOM;NEUT;SG
forma	σχήμα	forma	σχήμα	N;FEM;SG	N;NOM;NEUT;SG
forma	μορφη	forma	μορφη	N;FEM;SG	N;NOM;FEM;SG
forma	μορφή	forma	μορφή	N;FEM;SG	N;NOM;FEM;SG
forma	έντυπο	forma	έντυπο	N;FEM;SG	N;NOM;NEUT;SG
forma	φόρμα	forma	φόρμα	N;FEM;SG	N;ACC;FEM;SG
tres	τρεις	tres	τρεις	NUM;PL	NUM;NOM;MASC;PL
tres	τρία	tres	τρεις	NUM;PL	NUM;NOM;NEUT;PL
tres	τρια	tres	τρεις	NUM;PL	NUM
grupo	όμιλος	grupo	όμιλος	N;MASC;SG	N;NOM;MASC;SG
grupo	ομαδα	grupo	ομαδα	N;MASC;SG	N;NOM;FEM;SG
grupo	ομάδα	grupo	ομάδα	N;MASC;SG	N;ACC;FEM;SG
general	στρατηγός	general	στρατηγός	N;SG	N;NOM;MASC;SG
guerra	πόλεμος	guerra	πόλεμος	N;FEM;SG	N;NOM;MASC;SG
guerra	πόλεμο	guerra	πόλεμος	N;FEM;SG	N;ACC;MASC;SG
familia	οικογενεια	familia	οικογενεια	N;FEM;SG	N;ACC;FEM;SG
familia	οικογένεια	familia	οικογένεια	N;FEM;SG	N;NOM;FEM;SG
además	επισης	además	επισης	ADV	ADV
además	επίσης	además	επίσης	ADV	ADV
sur	νοτια	sur	νοτίος	N;MASC;SG	N;NOM;FEM;SG
sur	νότος	sur	νότος	N;MASC;SG	N;NOM;MASC;SG
tiempo	καιρός	tiempo	καιρός	N;MASC;SG	N;NOM;MASC;SG
tiempo	χρόνος	tiempo	χρόνος	N;MASC;SG	N;NOM;MASC;SG
tiempo	ώρα	tiempo	ώρα	N;MASC;SG	N;ACC;FEM;SG
tiempo	φορά	tiempo	φορά	N;MASC;SG	N;ACC;FEM;SG
tiempo	ωρα	tiempo	ωρα	N;MASC;SG	N;ACC;FEM;SG
tiempo	χρόνο	tiempo	χρόνος	N;MASC;SG	N;ACC;MASC;SG
provincia	επαρχία	provincia	επαρχία	N;FEM;SG	N;NOM;FEM;SG
partido	πάρτυ	partido	πάρτυ	N;MASC;SG	N;NOM;NEUT;SG
partido	κόμμα	partido	κόμμα	N;MASC;SG	N;NOM;NEUT;SG
partido	πάρτι	partido	πάρτι	N;MASC;SG	N;NOM;NEUT;SG
partido	αντιστοιχία	partido	αντιστοιχία	N;MASC;SG	N;NOM;FEM;SG
partido	αγώνα	partido	αγώνας	N;MASC;SG	N;ACC;MASC;SG
partido	ταίριασμα	partido	ταίριασμα	N;MASC;SG	N;NOM;NEUT;SG
partido	αγώνας	partido	αγώνας	N;MASC;SG	N;NOM;MASC;SG
contra	εναντίον	contra	εναντίον	ADP	ADP
encuentra	βρίσκει	encontrar	βρίσκω	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
municipio	δήμος	municipio	δήμος	N;MASC;SG	N;NOM;MASC;SG
otras	άλλες	otro	άλλος	PRO;FEM;PL	PRO;NOM;FEM;PL;3
otras	άλλα	otro	άλλος	PRO;FEM;PL	PRO;NOM;NEUT;PL;3
otras	άλλους	otro	άλλος	PRO;FEM;PL	PRO;NOM;MASC;PL;3
otras	άλλοι	otro	άλλος	PRO;FEM;PL	PRO;NOM;MASC;PL;3
otras	αλλοι	otro	αλλος	PRO;FEM;PL	PRO;NOM;MASC;PL;3
otras	άλλα	otro	άλλος	PRO;FEM;PL	PRO;NOM;NEUT;PL;3
todos	ολοι	todo	ολος	PRO;MASC;PL	PRO;NOM;MASC;PL;3
todos	ολοι	todo	ολος	PRO;MASC;PL	PRO;NOM;MASC;PL;3
bajo	υπό	bajo	υπό	ADP	ADP
serie	σειρά	serie	σειρά	N;FEM;SG	N;ACC;FEM;SG
serie	σειρα	serie	σειρα	N;FEM;SG	N;NOM;FEM;SG
serie	αύξοντα	serie	αύξον	N;FEM;SG	N;ACC;MASC;SG
serie	αύξων	serie	αύξος	N;FEM;SG	N;NOM;MASC;SG
fútbol	ποδόσφαιρο	fútbol	ποδόσφαιρος	N;MASC;SG	N;NOM;NEUT;SG
fútbol	ποδόσφαιρο	fútbol	ποδόσφαιρος	N;MASC;SG	N;NOM;NEUT;SG
equipo	εξοπλισμού	equipo	εξοπλισμός	N;MASC;SG	N;GEN;MASC;SG
equipo	εξοπλισμός	equipo	εξοπλισμός	N;MASC;SG	N;NOM;MASC;SG
equipo	ομαδα	equipo	ομαδα	N;MASC;SG	N;NOM;FEM;SG
equipo	ομάδα	equipo	ομάδα	N;MASC;SG	N;ACC;FEM;SG
norte	βορρά	norte	βορράς	N;MASC;SG	N;ACC;MASC;SG
norte	βορεια	norte	βορεια	N;MASC;SG	N;NOM;FEM;SG
norte	βορράς	norte	βορράς	N;MASC;SG	N;NOM;MASC;SG
norte	βορεια	norte	βορεια	N;MASC;SG	N;NOM;FEM;SG
río	ποταμός	río	ποταμός	N;MASC;SG	N;NOM;MASC;SG
río	ποτάμι	río	ποτάμι	N;MASC;SG	N;NOM;NEUT;SG
argentina	αργεντινής	argentino	αργεντινός	ADJ;FEM;SG	ADJ;GEN;FEM;SG
argentina	αργεντινής	argentino	αργεντινός	ADJ;FEM;SG	ADJ;GEN;FEM;SG
nuevo	νέο	nuevo	νέος	ADJ;MASC;SG	ADJ;ACC;NEUT;SG
nuevo	νέος	nuevo	νέος	ADJ;MASC;SG	ADJ;NOM;MASC;SG
septiembre	σεπτεμβρίου	septiembre	σεπτέμβριο	N	N;GEN;MASC;SG
septiembre	σεπτέμβριος	septiembre	σεπτέμβριος	N	N;NOM;MASC;SG
septiembre	σεπτέμβριο	septiembre	σεπτέμβριο	N	N
octubre	οκτώβριος	octubre	οκτώβριος	N	N;NOM;MASC;SG
octubre	οκτώβριο	octubre	οκτώβριο	N	N
octubre	οκτωβρίου	octubre	οκτώβριος	N	N;GEN;MASC;SG
discusión	συζητηση	discusión	συζητηση	N;FEM;SG	N;ACC;FEM;SG
discusión	συζήτηση	discusión	συζήτηση	N;FEM;SG	N;ACC;FEM;SG
gobierno	διακυβέρνηση	gobierno	διακυβέρνηση	N;MASC;SG	N;ACC;FEM;SG
gobierno	κυβερνηση	gobierno	κυβερνηση	N;MASC;SG	N;ACC;FEM;SG
gobierno	κυβέρνηση	gobierno	κυβέρνηση	N;MASC;SG	N;NOM;FEM;SG
condado	κομητεία	condado	κομητείο	N;MASC;SG	N;NOM;FEM;SG
final	λήξη	final	λήξη	N;MASC;SG	N;ACC;FEM;SG
final	φινάλε	final	φινάλλω	N;MASC;SG	N;NOM;NEUT;SG
final	τελικο	final	τελικο	N;MASC;SG	N;NOM;NEUT;SG
final	τελικο	final	τελικο	N;MASC;SG	N;NOM;NEUT;SG
vida	ζωή	vida	ζωή	N;FEM;SG	N;ACC;FEM;SG
vida	ζωη	vida	ζωη	N;FEM;SG	N;ACC;FEM;SG
vida	βίντα	vida	βίντα	N;FEM;SG	N
personas	ατομα	persona	ατομα	N;FEM;PL	N;NOM;NEUT;PL
personas	πρόσωπα	persona	πρόσωπο	N;FEM;PL	N;NOM;NEUT;PL
personas	άτομα	persona	άτομο	N;FEM;PL	N;NOM;NEUT;PL
personas	ατομα	persona	ατομα	N;FEM;PL	N;NOM;NEUT;PL
personas	ανθρωποι	persona	ανθρώπος	N;FEM;PL	N;NOM;MASC;PL
personas	άνθρωποι	persona	άνθρωπος	N;FEM;PL	N;NOM;MASC;PL
personas	άτομα	persona	άτομο	N;FEM;PL	N;NOM;NEUT;PL
personas	ανθρώπους	persona	άνθρωπος	N;FEM;PL	N;ACC;MASC;PL
centro	κέντρο	centro	κέντρο	N;MASC;SG	N;NOM;NEUT;SG
centro	κεντρο	centro	κεντρο	N;MASC;SG	N;NOM;NEUT;SG
centro	κέντρο	centro	κέντρο	N;MASC;SG	N;NOM;NEUT;SG
julio	ιούλιο	julio	ιούλιος	N	N;ACC;MASC;SG
julio	ιουλίου	julio	ιούλιος	N	N;GEN;NEUT;SG
julio	ιουλιος	julio	ιουλιος	N	N;NOM;MASC;SG
lincoln	λίνκολν	lincoln	λίνκολν	N;MASC;SG	N;NOM;NEUT;SG
país	χωρα	país	χωρα	N;MASC;SG	N;ACC;FEM;SG
país	χώρα	país	χώρα	N;MASC;SG	N;NOM;FEM;SG
mientras	ενώ	mientras	ενώ	CONJ	CONJ
web	ιστοσελίδα	web	ιστοσελίδα	N;FEM;SG	N;NOM;FEM;SG
web	ιστότοπος	web	ιστότοπος	N;FEM;SG	N;NOM;MASC;SG
internacional	διεθνής	internacional	διεθνής	ADJ;SG	ADJ;NOM;FEM;SG
internacional	διεθνές	internacional	διεθνής	ADJ;SG	ADJ;NOM;NEUT;SG
santa	άγιος	santo	άγιος	ADJ;FEM;SG	ADJ;NOM;MASC;SG
antes	νωρίτερα	antes	νωρίς	ADV	ADV;CMPR
antes	πριν	antes	πριν	ADV	ADV
oficial	επίσημο	oficial	επίσημος	ADJ;SG	ADJ;NOM;NEUT;SG
oficial	επίσημη	oficial	επίσημος	ADJ;SG	ADJ;NOM;FEM;SG
oficial	αξιωματικός	oficial	αξιωματικός	ADJ;SG	ADJ;NOM;MASC;SG
mundo	κόσμο	mundo	κόσμος	N;MASC;SG	N;ACC;MASC;SG
mundo	κόσμος	mundo	κόσμος	N;MASC;SG	N;NOM;MASC;SG
mayo	μάιος	mayo	μάιος	N	N;NOM;MASC;SG
mayo	μάης	mayo	μάος	N	N;NOM;MASC;SG
mayo	μαγιονέζα	mayo	μαγιονέζα	N	N;NOM;FEM;SG
algunos	μερικές	alguno	μερικοί	PRO;MASC;PL	PRO;NOM;FEM;PL;3
algunos	κάποια	alguno	κάποιος	PRO;MASC;PL	PRO;NOM;NEUT;PL;3
algunos	κάποιοι	alguno	κάποιος	PRO;MASC;PL	PRO;NOM;MASC;PL;3
algunos	μερικοί	alguno	μερικοί	PRO;MASC;PL	PRO;NOM;MASC;PL;3
algunos	μερικά	alguno	μερικοί	PRO;MASC;PL	PRO;NOM;NEUT;PL;3
temporada	εποχή	temporada	εποχή	N;FEM;SG	N;ACC;FEM;SG
temporada	σαιζόν	temporada	σαιζός	N;FEM;SG	N;NOM;FEM;SG
temporada	σεζόν	temporada	σεζόν	N;FEM;SG	N;ACC;FEM;SG
mejor	καλύτερα	mejor	καλά	ADV	ADV;CMPR
mejor	καλυτερα	mejor	καλυτερα	ADV	ADV
mejor	καλύτερα	mejor	καλά	ADV	ADV;CMPR
luego	τότε	luego	τότε	ADV	ADV
luego	μετά	luego	μετά	ADV	ADV
marzo	μαρτίου	marzo	μάρτιος	N	N;GEN;MASC;SG
marzo	μάρτιος	marzo	μάρτιος	N	N;NOM;MASC;SG
marzo	μάρτιο	marzo	μάρτιο	N	N
día	μερα	día	μερα	N;MASC;SG	N;NOM;FEM;SG
día	ημερα	día	ημερα	N;MASC;SG	N;NOM;FEM;SG
día	ημέρα	día	ημέρα	N;MASC;SG	N;NOM;FEM;SG
día	μέρα	día	μέρα	N;MASC;SG	N;ACC;FEM;SG
enero	ιανουάριο	enero	ιανουάριο	N	N
enero	ιανουάριος	enero	ιανουάριος	N	N;NOM;MASC;SG
número	αριθμός	número	αριθμός	N;MASC;SG	N;NOM;MASC;SG
número	νούμερο	número	νούμερος	N;MASC;SG	N
agosto	αύγουστος	agosto	αύγουστος	N	N;NOM;MASC;SG
agosto	αύγουστο	agosto	αύγουστος	N	N
agosto	αυγούστου	agosto	αυγούστος	N	N;GEN;MASC;SG
diciembre	δεκέμβριο	diciembre	δεκέμβριος	N	N
diciembre	δεκέμβριος	diciembre	δεκέμβριος	N	N;NOM;MASC;SG
diciembre	δεκεμβρίου	diciembre	δεκέμβριο	N	N;GEN;MASC;SG
artículo	αρθρο	artículo	αρθρο	N;MASC;SG	N;NOM;NEUT;SG
artículo	άρθρο	artículo	άρθρο	N;MASC;SG	N;NOM;NEUT;SG
artículo	στοιχείο	artículo	στοιχείο	N;MASC;SG	N;NOM;NEUT;SG
artículo	αντικείμενο	artículo	αντικείμενο	N;MASC;SG	N;NOM;NEUT;SG
noviembre	νοεμβρίου	noviembre	νόεμβριος	N	N;GEN;MASC;SG
noviembre	νοέμβριο	noviembre	νοέμβριος	N	N;NOM;MASC;SG
noviembre	νοέμβριος	noviembre	νοέμβριος	N	N;NOM;MASC;SG
noviembre	νοε	noviembre	νοε	N	N
estos	αυτά	este	αυτός	PRO;MASC;PL	PRO;NOM;NEUT;PL;3
estos	αυτές	este	αυτός	PRO;MASC;PL	PRO;NOM;FEM;PL;3
estos	αυτα	este	αυτός	PRO;MASC;PL	PRO;NOM;NEUT;PL;3
abril	απρίλιος	abril	απρίλιος	N	N;NOM;MASC;SG
abril	απρίλιο	abril	απρίλιο	N	N
abril	απρίλη	abril	απρίλιος	N	N
abril	απριλίου	abril	απρίλιος	N	N;GEN;MASC;SG
abril	έιπριλ	abril	έιπριλ	N	N
región	περιφέρεια	región	περιφέρεια	N;FEM;SG	N;NOM;FEM;SG
región	περιοχή	región	περιοχή	N;FEM;SG	N;NOM;FEM;SG
sistema	συστημα	sistema	συστημα	N;MASC;SG	N;NOM;NEUT;SG
sistema	σύστημα	sistema	σύστημα	N;MASC;SG	N;NOM;NEUT;SG
habitantes	κάτοικοι	habitante	κάτοικος	N;PL	N;NOM;MASC;PL
habitantes	κατοίκους	habitante	κάτοικος	N;PL	N;ACC;MASC;PL
habitantes	κάτοικοι	habitante	κάτοικος	N;PL	N;NOM;MASC;PL
habitantes	κατοίκους	habitante	κάτοικος	N;PL	N;ACC;MASC;PL
maría	μαίρη	maría	μαίρης	N;FEM;SG	N;NOM;FEM;SG
real	πραγματικός	real	πραγματικός	ADJ;SG	ADJ;NOM;MASC;SG
real	πραγματικό	real	πραγματικός	ADJ;SG	ADJ;NOM;NEUT;SG
real	βασιλικός	real	βασιλικός	ADJ;SG	ADJ;NOM;MASC;SG
real	βασιλικό	real	βασιλικός	ADJ;SG	ADJ;NOM;NEUT;SG
real	βασιλική	real	βασιλικός	ADJ;SG	ADJ;NOM;FEM;SG
página	σελίδα	página	σελίδα	N;FEM;SG	N;NOM;FEM;SG
página	σελιδα	página	σελιδα	N;FEM;SG	N;ACC;FEM;SG
esto	αυτο	este	αυτός	PRO;SG	PRO;NOM;NEUT;SG;3
esto	αυτό	este	αυτός	PRO;SG	PRO;NOM;NEUT;SG;3
mundial	παγκόσμια	mundial	παγκόσμιος	ADJ;SG	ADJ;NOM;FEM;SG
mundial	παγκόσμια	mundial	παγκόσμιος	ADJ;SG	ADJ;NOM;FEM;SG
mundial	παγκόσμιο	mundial	παγκόσμιος	ADJ;SG	ADJ;NOM;NEUT;SG
música	μουσικη	música	μουσίκη	N;FEM;SG	N;NOM;FEM;SG
presidente	πρόεδρος	presidente	πρόεδρος	N;MASC;SG	N;ACC;MASC;SG
presidente	πρόεδρε	presidente	πρόεδρος	N;MASC;SG	N;VOC;MASC;SG
presidente	πρόεδρο	presidente	πρόεδρος	N;MASC;SG	N;ACC;MASC;SG
casa	σπιτι	casa	σπιτι	N;FEM;SG	N;NOM;NEUT;SG
casa	σπίτι	casa	σπίτι	N;FEM;SG	N;NOM;NEUT;SG
casa	πατρίδα	casa	πατρίδα	N;FEM;SG	N;ACC;FEM;SG
casa	σπιτι	casa	σπιτι	N;FEM;SG	N;NOM;NEUT;SG
casa	σπίτι	casa	σπίτι	N;FEM;SG	N;NOM;NEUT;SG
sólo	μόνον	sólo	μόνο	ADV	ADV
sólo	μόνο	sólo	μόνο	ADV	ADV
sólo	μονο	sólo	μονο	ADV	ADV
sólo	απλα	sólo	απλά	ADV	ADV
sólo	απλά	sólo	απλά	ADV	ADV
sólo	απλώς	sólo	απλά	ADV	ADV
álbum	δίσκος	álbum	δίσκος	N;MASC;SG	N;NOM;MASC;SG
álbum	άλμπουμ	álbum	άλμπουμ	N;MASC;SG	N;MASC;SG
debido	οφειλόμενη	debido	οφειλόμενος	ADJ	ADJ;NOM;FEM;SG
cuenta	μετράει	contar	μετρώ	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
junio	ιουνίου	junio	ιούνιος	N	N;GEN;MASC;SG
febrero	φεβρουάριος	febrero	φεβρουάριος	N	N;NOM;MASC;SG
febrero	φεβρουάριο	febrero	φεβρουάριο	N	N
febrero	φεβρουαρίου	febrero	φεβρουάριο	N	N;GEN;MASC;SG
varios	αρκετές	varios	αρκετός	PRO;MASC;PL	PRO;NOM;FEM;PL;3
varios	αρκετοί	varios	αρκετός	PRO;MASC;PL	PRO;NOM;MASC;PL;3
solo	μόνον	solo	μόνο	ADV	ADV
solo	μόνο	solo	μόνο	ADV	ADV
solo	μονο	solo	μονο	ADV	ADV
solo	απλα	solo	απλά	ADV	ADV
solo	απλά	solo	απλά	ADV	ADV
solo	απλώς	solo	απλά	ADV	ADV
tipo	τύπου	tipo	τύπος	N;MASC;SG	N;GEN;MASC;SG
tipo	τύπος	tipo	τύπος	N;MASC;SG	N;NOM;MASC;SG
tipo	είδος	tipo	είδος	N;MASC;SG	N;NOM;NEUT;SG
obra	έργο	obra	έργο	N;FEM;SG	N;NOM;NEUT;SG
obra	δουλειά	obra	δουλειά	N;FEM;SG	N;NOM;FEM;SG
obra	εργασία	obra	εργασία	N;FEM;SG	N;NOM;FEM;SG
obra	δουλεια	obra	δουλεια	N;FEM;SG	N;ACC;FEM;SG
iglesia	τσερτς	iglesia	τσερτς	N;FEM;SG	N
iglesia	εκκλησία	iglesia	εκκλησία	N;FEM;SG	N;NOM;FEM;SG
iglesia	εκκλησια	iglesia	εκκλησιος	N;FEM;SG	N;NOM;FEM;SG
película	ταινία	película	ταινία	N;FEM;SG	N;NOM;FEM;SG
película	ταινια	película	ταινιά	N;FEM;SG	N;NOM;FEM;SG
película	μεμβράνη	película	μεμβράνη	N;FEM;SG	N;NOM;FEM;SG
película	ταινία	película	ταινία	N;FEM;SG	N;NOM;FEM;SG
película	ταινια	película	ταινιά	N;FEM;SG	N;NOM;FEM;SG
película	φιλμ	película	φιλμ	N;FEM;SG	N;NOM;NEUT;SG
entonces	τότε	entonces	τότε	ADV	ADV
entonces	μετά	entonces	μετά	ADV	ADV
banda	ορχήστρα	banda	ορχήστρα	N;FEM;SG	N;NOM;FEM;SG
banda	συγκρότημα	banda	συγκρότημα	N;FEM;SG	N;NOM;NEUT;SG
banda	μπάντα	banda	μπάντα	N;FEM;SG	N;NOM;FEM;SG
banda	συμμορία	banda	συμμορία	N;FEM;SG	N;NOM;FEM;SG
cuatro	τέσσερις	cuatro	τέσσερις	NUM;PL	NUM;NOM;MASC;PL
cuatro	τέσσερα	cuatro	τέσσερις	NUM;PL	NUM;NOM;NEUT;PL
zona	ζώνη	zona	ζώνη	N;FEM;SG	N;NOM;FEM;SG
zona	ζωνη	zona	ζωνη	N;FEM;SG	N;NOM;FEM;SG
zona	έκταση	zona	έκταση	N;FEM;SG	N;ACC;FEM;SG
zona	εμβαδόν	zona	εμβαδόν	N;FEM;SG	N;NOM;NEUT;SG
zona	περιοχή	zona	περιοχή	N;FEM;SG	N;NOM;FEM;SG
zona	περιοχη	zona	περιοχος	N;FEM;SG	N;NOM;FEM;SG
televisión	τηλεόραση	televisión	τηλεόραση	N;FEM;SG	N;ACC;FEM;SG
televisión	τηλεοραση	televisión	τηλεοραση	N;FEM;SG	N;ACC;FEM;SG
tuvo	είχε	tener	έχω	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
carlos	καρλ	carlo	καρλ	N;MASC;SG	N
carlos	κάρολος	carlo	κάρολος	N;MASC;SG	N;NOM;MASC;SG
carlos	καρλ	carlo	καρλ	N;MASC;SG	N
