پَوڑھنا	descansa	پَوڑھنا	descansar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پِھرتا	retornar	پِھرتا	retornar	V;IPFV;MASC;SG;V.PTCP;ACT	V;NFIN
پِھرنا	retornar	پِھر	retornar	V;MASC;SG;NFIN;ACT	V;NFIN
پِھرنا	canvia	پِھر	canviar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پِھرنا	renega	پِھر	renegar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پِھرنا	replega	پِھر	replegar	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پُھکنا	cremar	پُھک	cremar	V;NFIN;ACT	V;NFIN
پھل	retorn	پھل	retorn	N;NOM;MASC;SG;3	N;MASC;SG
پھل	devolució	پھل	devolució	N;NOM;MASC;SG;3	N;FEM;SG
پھل	efecte	پھل	efecte	N;NOM;MASC;SG;3	N;MASC;SG
پھل	descendència	پھل	descendència	N;NOM;MASC;SG;3	N;FEM;SG
پھل	guany	پھل	guany	N;NOM;MASC;SG;3	N;MASC;SG
پھل	recompensa	پھل	recompensa	N;NOM;MASC;SG;3	N;FEM;SG
پھل	fruit	پھل	fruit	N;NOM;MASC;SG;3	N;MASC;SG
پھل	fruita	پھل	fruita	N;NOM;MASC;SG;3	N;FEM;SG
پھل	conseqüència	پھل	conseqüència	N;NOM;MASC;SG;3	N;FEM;SG
پھُل	flor	پھُل	flor		
پھلانگ	salta	پھلانگ	saltar	V;ACT	V;IND;SG;3;PRS;FIN
پھلی	bucle	پھلا	bucle	N;NOM;MASC;SG;3	N;MASC;SG
پھلی	escut	پھلا	escat	N;NOM;MASC;SG;3	N;MASC;SG
پھند	trampa	پھند	trampa		
پُھوٹنا	disparar	پُھوٹنا	disparar	V;NFIN;ACT	V;NFIN
پُھوٹنا	divideix	پُھوٹنا	dividir	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
پُھوٹنا	germinen	پُھوٹنا	germinar	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
پھوڑنا	divideix	پھوڑ	dividir	V;NFIN;ACT	V;IND;SG;3;PRS;FIN
پھوڑنا	divulgar	پھوڑ	divulgar	V;NFIN;ACT	V;NFIN
پھوک	buit	پھوک	buit		
پھوک	lees	پھوک	el		
پھوک	buit	پھوک	buit		
پھوک	lees	پھوک	el		
پھیٹنا	barreja	پھیٹ	barrejar	V;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
پھیر	retornar	پھیر	retornar	V;ACT	V;NFIN
پھیر	doblegar	پھیر	doblegar	V;ACT	V;NFIN
پھیر	canvia	پھیر	canviar	V;ACT	V;IND;SG;3;PRS;FIN
پھیر	ronda	پھیر	rondar	V;ACT	V;IND;SG;3;PRS;FIN
پھیرا	ronda	پھیرا	rondar	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
پھیرا	visiteu	پھیرا	visiteu	V;MASC;SG;V.PTCP;ACT	V;IND;SG;1;PRS;FIN
پھیرا	visita	پھیرا	visitar	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
پِھینچنا	estreny	پِھینچ	estreny	V;MASC;SG;NFIN;ACT	V;IND;SG;3;PRS;FIN
تِ	valldoreix	تِ	valldorir		
تاب	convulsió	تاب	convulsió	N;NOM;MASC;SG;3	N;FEM;SG
تاب	potència	تاب	potència	N;NOM;MASC;SG;3	N;FEM;SG
تاب	gir	تاب	gir	N;NOM;MASC;SG;3	N;MASC;SG
تاب	plegat	تاب	plegat	N;NOM;MASC;SG;3	N
تاپ	calor	تاپ	calor		
تاتار	tartar	تاتار	tartar		
تاتار	tàrtar	تاتار	tàrtar		
تاخت	atac	تاخت	atac	N;NOM;MASC;SG;3	N;MASC;SG
تاخت	incursió	تاخت	incursió	N;NOM;MASC;SG;3	N;FEM;SG
تاخت	invasió	تاخت	invasió	N;NOM;MASC;SG;3	N;FEM;SG
تاَخُّر	retard	تاَخُّر	retard	N	N;MASC;SG
تاَخُّر	endarreriment	تاَخُّر	endarreriment	N	N;MASC;SG
تاَخُّر	ajornament	تاَخُّر	ajornament	N	N;MASC;SG
تاخیر	retard	تاخیر	retard	N;NOM;MASC;SG;3	N;MASC;SG
تاخیر	endarreriment	تاخیر	endarreriment	N;NOM;MASC;SG;3	N;MASC;SG
تادیبی	disciplinari	تادیبی	disciplinari	ADJ	ADJ;MASC;SG
تار	continuació	تار	continuació	N;NOM;MASC;SG;3	N;FEM;SG
تار	telegrama	تار	telegrama	N;NOM;MASC;SG;3	N;MASC;SG
تار	filferro	تار	filferro	N;NOM;MASC;SG;3	N;MASC;SG
تار	cable	تار	cable	N;NOM;MASC;SG;3	N;MASC;SG
تار	telègraf	تار	telègraf	N;NOM;MASC;SG;3	N;MASC;SG
تارِنفس	respiració	تارِنفس	respiració	N;NOM;MASC;SG;3	N;FEM;SG
تارک	top	تارک	top		
تاریخ	crònica	تاریخ	crònica	N;NOM;MASC;SG;3	N;FEM;SG
تاریخ	data	تاریخ	data	N;NOM;MASC;SG;3	N;FEM;SG
تاریخ	història	تاریخ	història	N;NOM;MASC;SG;3	N;FEM;SG
تاریخی	històric	تاریخی	històric	ADJ	ADJ;MASC;SG
تاریخی	històrica	تاریخی	històric	ADJ	ADJ;FEM;SG
تاڑ	ogle	تاڑ	ogle		
تاڑن	càstig	تاڑن	càstig		
تاز	assalt	تاز	assalt		
تازگی	innovació	تازگی	innovació	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	renovació	تازگی	renovació	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	innovació	تازگی	innovació	N;NOM;MASC;SG;3	N;FEM;SG
تازگی	renovació	تازگی	renovació	N;NOM;MASC;SG;3	N;FEM;SG
تازہ	nova	تازہ	nou	ADJ	ADJ;FEM;SG
تازہ	nou	تازہ	nou	ADJ	ADJ;MASC;SG
تازہ	noves	تازہ	nou	ADJ	ADJ;FEM;PL
تازہ	fresques	تازہ	fresc	ADJ	ADJ;FEM;PL
تازہ	fresca	تازہ	fresc	ADJ	ADJ;FEM;SG
تازہ	frescos	تازہ	fresc	ADJ	ADJ;MASC;PL
تازہ	feliç	تازہ	feliç	ADJ	ADJ;SG
تازہ	nova	تازہ	nou	ADJ	ADJ;FEM;SG
تازہ	nou	تازہ	nou	ADJ	ADJ;MASC;SG
تازہ	noves	تازہ	nou	ADJ	ADJ;FEM;PL
تازہ	fresques	تازہ	fresc	ADJ	ADJ;FEM;PL
تازہ	fresca	تازہ	fresc	ADJ	ADJ;FEM;SG
تازہ	frescos	تازہ	fresc	ADJ	ADJ;MASC;PL
تازہ	feliç	تازہ	feliç	ADJ	ADJ;SG
تاغ	magrana	تاغ	magrana		
تاک	rellotge	تاک	rellotge		
تاکنا	tria	تاکنا	triar		
تاکنا	peep	تاکنا	peep		
تاکنا	look	تاکنا	look		
تاکنا	tria	تاکنا	triar		
تاکنا	peep	تاکنا	peep		
تاکنا	look	تاکنا	look		
تاکید	èmfasi	تاکید	èmfasi	N;NOM;MASC;SG;3	N;MASC;SG
تاکید	accent	تاکید	accent	N;NOM;MASC;SG;3	N;MASC;SG
تاکید	pressió	تاکید	pressió	N;NOM;MASC;SG;3	N;FEM;SG
تاکید	estrès	تاکید	estrès	N;NOM;MASC;SG;3	N;MASC;SG
تاکیداً	estrictament	تاکیداً	estrictament	ADV	ADV
تاگا	fil	تاگا	fil		
تال	tanc	تال	tanc	N;NOM;MASC;SG;3	N;MASC;SG
تال	mesura	تال	mesura	N;NOM;MASC;SG;3	N;FEM;SG
تال	piscina	تال	piscina	N;NOM;MASC;SG;3	N;FEM;SG
تال	estany	تال	estany	N;NOM;MASC;SG;3	N;MASC;SG
تال	pond	تال	pond	N;NOM;MASC;SG;3	N;MASC;SG
تالاب	tanc	تالاب	tanc	N;NOM;MASC;SG;3	N;MASC;SG
تالاب	estany	تالاب	estany	N;NOM;MASC;SG;3	N;MASC;SG
تالاب	pond	تالاب	pond	N;NOM;MASC;SG;3	N;MASC;SG
تالاب	piscina	تالاب	piscina	N;NOM;MASC;SG;3	N;FEM;SG
تالیف	conciliació	تالیف	conciliació	N;NOM;MASC;SG;3	N;FEM;SG
تالیف	composició	تالیف	composició	N;NOM;MASC;SG;3	N;FEM;SG
تالیف	compilació	تالیف	compilació	N;NOM;MASC;SG;3	N;FEM;SG
تالیف	recopilatori	تالیف	recopilatori	N;NOM;MASC;SG;3	N;MASC;SG
تالیف	conciliació	تالیف	conciliació	N;NOM;MASC;SG;3	N;FEM;SG
تالیف	composició	تالیف	composició	N;NOM;MASC;SG;3	N;FEM;SG
تام	foscor	تام	foscor		
تام	tenebres	تام	tenebra		
تاَمّاً	plenament	تاَمّاً	plenament	ADV	ADV
تاَمّاً	totalment	تاَمّاً	totalment	ADV	ADV
تان	sintonia	تان	sintonia	N;NOM;MASC;SG;3	N;FEM;SG
تان	tram	تان	tram	N;NOM;MASC;SG;3	N;MASC;SG
تان	tensió	تان	tensió	N;NOM;MASC;SG;3	N;FEM;SG
تانتا	successió	تان	successió	N;NOM;MASC;SG;3	N;FEM;SG
تانس	avís	تانس	avís		
تاننا	erigir	تان	erigir	V;SG;NFIN;ACT	V;NFIN
تاننا	provocar	تان	provocar	V;SG;NFIN;ACT	V;NFIN
تاوان	sanció	تاوان	sanció	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	penalització	تاوان	penalització	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	pena	تاوان	pena	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	compensació	تاوان	compensació	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	indemnització	تاوان	indemnització	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	sanció	تاوان	sanció	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	penalització	تاوان	penalització	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	pena	تاوان	pena	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	compensació	تاوان	compensació	N;NOM;MASC;SG;3	N;FEM;SG
تاوان	indemnització	تاوان	indemnització	N;NOM;MASC;SG;3	N;FEM;SG
تائو	rotllo	تائو	rotllo		
تائو	rotlle	تائو	rotlle		
تائو	calor	تائو	calor		
تائو	curl	تائو	curl		
تائید	confirmació	تائید	confirmació	N;NOM;MASC;SG;3	N;FEM;SG
تائید	confirmació	تائید	confirmació	N;NOM;MASC;SG;3	N;FEM;SG
تب	calor	تب	calor		
تب	lluint	تب	lluir		
تبار	tribu	تبار	tribu		
تبار	familia	تبار	familia		
تباغُض	hostilitat	تباغُض	hostilitat	N;NOM;MASC;SG;3	N;FEM;SG
تباہ	malvat	تباہ	malvar	ADJ	ADJ;MASC;SG
تباہ	consentida	تباہ	consentit	ADJ	ADJ;FEM;SG;V.PTCP
تباہ	arruïnat	تباہ	arruïnat	ADJ	ADJ;MASC;SG;V.PTCP
تباہی	destrucció	تباہی	destrucció	N;NOM;MASC;SG;3	N;FEM;SG
تباہی	ruïna	تباہی	ruïna	N;NOM;MASC;SG;3	N;FEM;SG
تباہی	devastació	تباہی	devastació	N;NOM;MASC;SG;3	N;FEM;SG
تبحُّر	beca	تبحُّر	beca	N;NOM;MASC;SG;3	N;FEM;SG
تبحُّر	erudició	تبحُّر	erudició	N;NOM;MASC;SG;3	N;FEM;SG
تبخیر	vaporització	تبخیر	vaporització	N;NOM;MASC;SG;3	N;FEM;SG
تبخیر	evaporació	تبخیر	evaporació	N;NOM;MASC;SG;3	N;FEM;SG
تبخیر	vaporització	تبخیر	vaporització	N;NOM;MASC;SG;3	N;FEM;SG
تبدیل	alteració	تبدیل	alteració	N;NOM;MASC;SG;3	N;FEM;SG
تبدیل	mutació	تبدیل	mutació	N;NOM;MASC;SG;3	N;FEM;SG
تبدیل	conversió	تبدیل	conversió	N;NOM;MASC;SG;3	N;FEM;SG
تبدیل	modificació	تبدیل	modificació	N;NOM;MASC;SG;3	N;FEM;SG
تبدیل	variació	تبدیل	variació	N;NOM;MASC;SG;3	N;FEM;SG
تبدیلی	traspàs	تبدیلی	traspàs	N;NOM;FEM;SG;3	N;MASC;SG
تبدیلی	transferència	تبدیلی	transferència	N;NOM;FEM;SG;3	N;FEM;SG
تبدیلی	trasllat	تبدیلی	trasllat	N;NOM;FEM;SG;3	N;MASC;SG
تبدیلی	alteració	تبدیلی	alteració	N;NOM;FEM;SG;3	N;FEM;SG
تبدیلی	traspàs	تبدیلی	traspàs	N;NOM;FEM;SG;3	N;MASC;SG
تبدیلی	transferència	تبدیلی	transferència	N;NOM;FEM;SG;3	N;FEM;SG
تبدیلی	trasllat	تبدیلی	trasllat	N;NOM;FEM;SG;3	N;MASC;SG
تبذُّر	fissió	تبذُّر	fissió	N;NOM;MASC;SG;3	N;FEM;SG
تبذُّر	extravagància	تبذُّر	extravagància	N;NOM;MASC;SG;3	N;FEM;SG
تبر	atxa	تبر	atxa		
تبر	destral	تبر	destral		
تبر	atxa	تبر	atxa		
تبّڑ	familia	تبّڑ	familia		
تبصرہ	revisió	تبصرہ	revisió	N;NOM;MASC;SG;3	N;FEM;SG
تبصرہ	crítica	تبصرہ	crítica	N;NOM;MASC;SG;3	N;FEM;SG
تبصرہ	comentari	تبصرہ	comentari	N;NOM;MASC;SG;3	N;MASC;SG
تبلیغ	comunicació	تبلیغ	comunicació	N;NOM;MASC;SG;3	N;FEM;SG
تِبن	palla	تِبن	palla		
تپ	colera	تپ	colera		
تپاں	calent	تپاں	calent		
تپن	calor	تپن	calor		
تت	true	تت	true		
تتّا	calent	تتّا	calent		
تتّا	warm	تتّا	warm		
تِتربِتّر	dispersos	تِتربِتّر	dispers	ADJ	ADJ;MASC;PL
تثلیث	fill	تثلیث	fill	N;NOM;MASC;SG;3	N;MASC;SG
تجاذُبی	gravitatòria	تجاذُبی	gravitatòria	ADJ	ADJ;FEM;SG
تِجارت	trànsit	تِجارت	trànsit	N;NOM;MASC;SG;3	N;MASC;SG
تِجارت	tràfic	تِجارت	tràfic	N;NOM;MASC;SG;3	N;MASC;SG
تِجارت	comerç	تِجارت	comerç	N;NOM;MASC;SG;3	N;MASC;SG
تِجارت	negoci	تِجارت	negoci	N;NOM;MASC;SG;3	N;MASC;SG
تِجارتی	comercial	تِجارتی	comercial	ADJ;NOM	ADJ;SG
تِجارتی	mercantils	تِجارتی	mercantil	ADJ;NOM	ADJ;PL
تِجارتی	comercials	تِجارتی	comercial	ADJ;NOM	ADJ;PL
تجانُس	homogeneïtat	تجانُس	homogeneïtat	N;NOM;MASC;SG;3	N;FEM;SG
تجدید	novetat	تجدید	novetat	N;NOM;MASC;SG;3	N;FEM;SG
تجدید	novetat	تجدید	novetat	N;NOM;MASC;SG;3	N;FEM;SG
تجدید	renovació	تجدید	renovació	N;NOM;MASC;SG;3	N;FEM;SG
تجرباتی	experimental	تجرباتی	experimental	ADJ;NOM	ADJ;SG
تجربہ	experiencia	تجربہ	experiencia	N;NOM;MASC;SG;3	N;FEM;SG
تجربہ	experiència	تجربہ	experiència	N;NOM;MASC;SG;3	N;FEM;SG
تجربہ	experiment	تجربہ	experiment	N;NOM;MASC;SG;3	N;MASC;SG
تجربہ	judici	تجربہ	judici	N;NOM;MASC;SG;3	N;MASC;SG
تجریدی	imaginari	تجریدی	imaginari	ADJ	ADJ;MASC;SG
تجریدی	ideals	تجریدی	ideal	ADJ	ADJ;PL
تجریدی	ideal	تجریدی	ideal	ADJ	ADJ;SG
تجریدی	obscur	تجریدی	obscur	ADJ	ADJ;MASC;SG
تجریدی	místic	تجریدی	místic	ADJ	ADJ;MASC;SG
تجزیاتی	analítiques	تجزیاتی	analítica	ADJ;NOM	ADJ;FEM;PL
تجزیہ	anàlisi	تجزیہ	anàlisi	N;NOM;MASC;SG;3	N;FEM;SG
تجسُّس	curiositat	تجسُّس	curiositat	N;NOM;MASC;SG;3	N;FEM;SG
تجسیم	encarnació	تجسیم	encarnació	N;NOM;MASC;SG;3	N;FEM;SG
داب	orgull	داب	orgull		
داب	custom	داب	custom		
داب	força	داب	força		
داب	pes	داب	pes		
داب	codi	داب	codi		
داب	poder	داب	poder		
تجویز	opinió	تجویز	opinió	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	dictamen	تجویز	dictamen	N;NOM;FEM;SG;3	N;MASC;SG
تجویز	decisió	تجویز	decisió	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	deliberació	تجویز	deliberació	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	fallada	تجویز	fallada	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	resolució	تجویز	resolució	N;NOM;FEM;SG;3	N;FEM;SG
تجویز	proposta	تجویز	proposta	N;NOM;FEM;SG;3	N;FEM;SG
