nov	nov	nov	nov		
luther	lutero	luther	lutero	N	N;MASC;SG
menerjemahkan	traducir	menterjemahkan	traducir	V;SG;ACT	V;NFIN
menerjemahkan	traduciendo	menterjemahkan	traducir	V;SG;ACT	V;V.MSDR
menerjemahkan	traducir	menterjemahkan	traducir	V;SG;ACT	V;NFIN
menerjemahkan	traduzca	menterjemahkan	traducir	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
menerjemahkan	traduce	menterjemahkan	traducir	V;SG;ACT	V;IND;SG;3;PRS;FIN
menerjemahkan	traduce	menterjemahkan	traducir	V;SG;ACT	V;IND;SG;3;PRS;FIN
taktik	táctica	taktik	táctica	N;SG	N;FEM;SG
taktik	táctica	taktik	táctica	N;SG	N;FEM;SG
emosi	emoción	emosi	emoción	N;SG	N;FEM;SG
debu	polvo	debu	polvo	N;SG	N;MASC;SG
drummer	baterista	drummer	baterista	N	N;SG
drummer	bateristas	drummer	baterista	N	N;PL
penyusunan	redacción	pensusunan	redacción	N;SG	N;FEM;SG
penalti	sanción	penalti	sanción	N;SG	N;FEM;SG
penalti	pena	penalti	pena	N;SG	N;FEM;SG
penalti	penalización	penalti	penalización	N;SG	N;FEM;SG
percakapan	conversación	percakapan	conversación	N;SG	N;FEM;SG
parasit	parásito	parasit	parásito	N	N;MASC;SG
parasit	parásitos	parasit	parásito	N	N;MASC;PL
parasit	parásito	parasit	parásito	N	N;MASC;SG
parasit	parásitos	parasit	parásito	N	N;MASC;PL
kelaparan	hambre	kelaparan	hambre	N;SG	N;FEM;SG
ajaib	milagrosa	ajaib	milagroso	ADJ;SG	ADJ;FEM;SG
ajaib	milagroso	ajaib	milagroso	ADJ;SG	ADJ;MASC;SG
ajaib	mágica	ajaib	mágico	ADJ;SG	ADJ;FEM;SG
ajaib	mágico	ajaib	mágico	ADJ;SG	ADJ;MASC;SG
ajaib	mágico	ajaib	mágico	ADJ;SG	ADJ;MASC;SG
ajaib	mágica	ajaib	mágico	ADJ;SG	ADJ;FEM;SG
ajaib	magico	ajaib	magico	ADJ;SG	ADJ;MASC;SG
dirayakan	celebró	dirayakan	celebrar	V;SG;PASS	V;IND;SG;3;PST;FIN
filosofi	filosofía	filosofi	filosofía	N;SG	N;FEM;SG
mandat	mandato	mandat	mandato	N;SG	N;MASC;SG
meriah	festiva	meriah	festivo	ADJ;SG	ADJ;FEM;SG
meriah	festivo	meriah	festivo	ADJ;SG	ADJ;MASC;SG
mainan	juguete	mainan	juguete	N;SG	N;MASC;SG
kewarganegaraan	ciudadanía	kewarganegaraan	ciudadanía	N;SG	N;FEM;SG
kewarganegaraan	nacionalidad	kewarganegaraan	nacionalidad	N;SG	N;FEM;SG
kewarganegaraan	civic	kewarganegaraan	civic	N;SG	N;MASC;SG
kewarganegaraan	nacionalidad	kewarganegaraan	nacionalidad	N;SG	N;FEM;SG
kecenderungan	predisposición	kecenderungan	predisposición	N;SG	N;FEM;SG
kecenderungan	tendencia	kecenderungan	tendencia	N;SG	N;FEM;SG
topi	gorro	topi	gorro	N;SG	N;MASC;SG
topi	sombrero	topi	sombrero	N;SG	N;MASC;SG
topi	hat	topi	haber	N;SG	N
topi	gorra	topi	gorra	N;SG	N;FEM;SG
topi	topi	topi	topi	N;SG	N;MASC;SG
kesetiaan	fidelidad	kesetiaan	fidelidad	N;SG	N;FEM;SG
kesetiaan	lealtad	kesetiaan	lealtad	N;SG	N;FEM;SG
kapoor	kapoor	kapoor	kapoor	N	N;MASC;SG
buddhisme	budismo	buddhisme	budismo	N	N;MASC;SG
buddhisme	budismo	buddhisme	budismo	N	N;MASC;SG
buddhisme	budistas	buddhisme	budista	N	N;PL
mengontrol	controlar	menkontrol	controlar	V;SG;ACT	V;NFIN
mengontrol	controlando	menkontrol	controlar	V;SG;ACT	V;V.MSDR
mengontrol	controlar	menkontrol	controlar	V;SG;ACT	V;NFIN
mengontrol	controla	menkontrol	controlar	V;SG;ACT	V;IND;SG;3;PRS;FIN
proton	protón	proton	protón	N;SG	N;MASC;SG
platinum	platinum	platinum	platinum	N	N;SG
platinum	platino	platinum	platino	N	N;MASC;SG
pemburu	cazador	penburu	cazador	N;SG	N;MASC;SG
pemburu	cazadora	penburu	cazadora	N;SG	N;FEM;SG
pemburu	hunter	penburu	hunter	N;SG	N
ilustrasi	ilustración	ilustrasi	ilustración	N;SG	N;FEM;SG
cap	sellos	cap	sello	N	N;MASC;PL
cap	estampilla	cap	estampilla	N	N;FEM;SG
cap	sello	cap	sello	N	N;MASC;SG
cap	tapa	cap	tapa	N	N;FEM;SG
cap	pac	cap	pac	N	N;MASC;SG
cap	gorra	cap	gorra	N	N;FEM;SG
cap	gorras	cap	gorra	N	N;FEM;PL
cap	gorros	cap	gorro	N	N;MASC;PL
ekspres	express	ekspres	express	N;SG	N;MASC
mengakses	acceder	menakses	acceder	V;SG;ACT	V;NFIN
mengakses	accediendo	menakses	acceder	V;SG;ACT	V;V.MSDR
bros	broche	bros	broche	N	N;MASC;SG
bros	bros	bros	bros	N	N;MASC;SG
bros	broche	bros	broche	N	N;MASC;SG
minimum	mínima	minimum	mínimo	ADJ;SG	ADJ;FEM;SG
minimum	mínimo	minimum	mínimo	ADJ;SG	ADJ;MASC;SG
rekreasi	esparcimiento	rekreasi	esparcimiento	N;SG	N;MASC;SG
rekreasi	ocio	rekreasi	ocio	N;SG	N;MASC;SG
rekreasi	recreo	rekreasi	recreo	N;SG	N;MASC;SG
rekreasi	recreación	rekreasi	recreación	N;SG	N;FEM;SG
rekreasi	recreativo	rekreasi	recreativo	N;SG	N;MASC;SG
terkesan	impresionar	terkesan	impresionar	V;SG;PASS	V;NFIN
terkesan	impresiona	terkesan	impresionar	V;SG;PASS	V;IND;SG;3;PRS;FIN
hiasan	adorno	hiasan	adorno	N;SG	N;MASC;SG
hiasan	decoración	hiasan	decoración	N;SG	N;FEM;SG
hiasan	decoración	hiasan	decoración	N;SG	N;FEM;SG
hiasan	guarnición	hiasan	guarnición	N;SG	N;FEM;SG
argo	argo	argo	argo	N	N;FEM;SG
kegubernuran	gobernación	kegubernuran	gobernación	N;SG	N;FEM;SG
ekologi	ecología	ekologi	ecología	N;SG	N;FEM;SG
menyentuh	tocar	mensentuh	tocar	V;SG;ACT	V;NFIN
menyentuh	tocando	mensentuh	tocar	V;SG;ACT	V;V.MSDR
melampaui	trasciende	menlampaui	trascender	V;SG;ACT	V;IND;SG;3;PRS;FIN
melampaui	trascender	menlampaui	trascender	V;SG;ACT	V;NFIN
melampaui	exceda	menlampaui	exceder	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
melampaui	sobrepasar	menlampaui	sobrepasar	V;SG;ACT	V;NFIN
melampaui	exceder	menlampaui	exceder	V;SG;ACT	V;NFIN
skema	esquema	skema	esquema	N;SG	N;MASC;SG
skema	régimen	skema	régimen	N;SG	N;MASC;SG
skema	esquema	skema	esquema	N;SG	N;MASC;SG
uzbekistan	uzbeko	uzbekistan	uzbeko	N	N;MASC;SG
mendefinisikan	definir	mendefinisikan	definir	V;SG;ACT	V;NFIN
mendefinisikan	defina	mendefinisikan	definir	V;SG;ACT	V;IMP;SG;3;FIN
mendefinisikan	define	mendefinisikan	definir	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	definiendo	mendefinisikan	defenir	V;SG;ACT	V;V.MSDR
mendefinisikan	definir	mendefinisikan	definir	V;SG;ACT	V;NFIN
mendefinisikan	define	mendefinisikan	definir	V;SG;ACT	V;IND;SG;3;PRS;FIN
sumbu	wick	sumbu	wick	N;SG	N;MASC;SG
sumbu	wicks	sumbu	wicks	N;SG	N
sumbu	eje	sumbu	eje	N;SG	N;MASC;SG
meneliti	investigando	menteliti	investigar	V;SG;ACT	V;V.MSDR
lidah	lengua	lidah	lengua	N;SG	N;FEM;SG
sup	sopa	sup	sopa	N;SG	N;FEM;SG
demam	fiebre	demam	fiebre	N;SG	N;FEM;SG
dicabut	levantó	dicabut	levantar	V;SG;PASS	V;IND;SG;3;PST;FIN
pengujian	test	penujian	test	N;SG	N;MASC;SG
pengujian	prueba	penujian	prueba	N;SG	N;FEM;SG
pengujian	ensayo	penujian	ensayo	N;SG	N;MASC;SG
pengujian	ensayo	penujian	ensayo	N;SG	N;MASC;SG
hilangnya	desaparición	hilang	desaparición	N;SG	N;FEM;SG
email	correo	email	correo	N	N;MASC;SG
email	email	email	email	N	N;MASC;SG
email	emails	email	emails	N	N;MASC;PL
email	correos	email	correo	N	N;MASC;PL
athletic	athletic	athletic	athletic	N	N;MASC;SG
athletic	atlético	athletic	atlético	N	N;MASC;SG
paralel	paralelismo	paralel	paralelismo	N	N;MASC;SG
paralel	paralelismo	paralel	paralelismo	N	N;MASC;SG
kuburan	tumba	kuburan	tumba	N;SG	N;FEM;SG
kuburan	cementerio	kuburan	cementerio	N;SG	N;MASC;SG
kuburan	cementerio	kuburan	cementerio	N;SG	N;MASC;SG
kuburan	tumba	kuburan	tumba	N;SG	N;FEM;SG
benih	semilla	benih	semilla	N;SG	N;FEM;SG
benih	semilla	benih	semilla	N;SG	N;FEM;SG
lockheed	lockheed	lockheed	lockheed	N	N;MASC;SG
penolakan	rechazo	pentolakan	rechazo	N;SG	N;MASC;SG
interior	interior	interior	interior	N;SG	N;MASC;SG
enterprise	empresa	enterprise	empresa	N	N;FEM;SG
enterprise	enterprise	enterprise	enterprir	N	N;SG
integrasi	integración	integrasi	integración	N;SG	N;FEM;SG
staff	staff	staff	staff	N	N;MASC;SG
output	producción	output	producción	N	N;FEM;SG
output	salida	output	salida	N	N;FEM;SG
mengkritik	critica	menkritik	criticar	V;SG;ACT	V;IND;SG;3;PRS;FIN
mengkritik	criticar	menkritik	criticar	V;SG;ACT	V;NFIN
fisiologi	fisiología	fisiologi	fisiología	N	N;FEM;SG
mengingatkan	recordando	meningatkan	recordar	V;SG;ACT	V;V.MSDR
mengingatkan	recordarle	meningatkan	recordarle	V;SG;ACT	V;SBJV;SG;3;IPFV;FIN
dinamis	dinámico	dinamis	dinámico	ADJ;SG	ADJ;MASC;SG
animation	animaciones	animation	animación	N	N;FEM;PL
animation	animación	animation	animación	N	N;FEM;SG
cacing	gusano	cacing	gusano	N;SG	N;MASC;SG
cacing	lombriz	cacing	lombriz	N;SG	N;FEM;SG
highland	altiplano	highland	altiplano	N	N;MASC;SG
highland	highland	highland	highland	N	N;MASC;SG
orangtua	progenitor	orangtua	progenitor	N;SG	N;MASC;SG
gandum	grano	gandum	grano	N;SG	N;MASC;SG
gandum	trigo	gandum	trigo	N;SG	N;MASC;SG
digit	dígito	digit	dígito	N;SG	N;MASC;SG
krim	krim	krim	krim	N;SG	N;FEM;SG
krim	nata	krim	nata	N;SG	N;FEM;SG
krim	cream	krim	cream	N;SG	N
krim	crema	krim	crema	N;SG	N;FEM;SG
cerah	luminoso	cerah	luminoso	ADJ;SG	ADJ;MASC;SG
cerah	brillante	cerah	brillante	ADJ;SG	ADJ;SG
cerah	soleado	cerah	soleado	ADJ;SG	ADJ;MASC;SG;V.PTCP
cerah	soleada	cerah	soleada	ADJ;SG	ADJ;FEM;SG;V.PTCP
rupanya	aparentemente	rupa	aparentemente	ADV;SG	ADV
berikan	dar	berrikan	dar	V;SG;ACT	V;NFIN
transformasi	transformación	transformasi	transformación	N;SG	N;FEM;SG
transformasi	transformación	transformasi	transformación	N;SG	N;FEM;SG
kekacauan	caos	kekacauan	caos	N;SG	N;MASC
kekacauan	desmadre	kekacauan	desmadre	N;SG	N;MASC;SG
kekacauan	pandemonium	kekacauan	pandemonium	N;SG	N;MASC;SG
mengenang	recordando	menkenang	recordar	V;SG;ACT	V;V.MSDR
mengenang	recordar	menkenang	recordar	V;SG;ACT	V;NFIN
mengenang	recordando	menkenang	recordar	V;SG;ACT	V;V.MSDR
pilih	elija	pilih	elegir	V;SG;ACT	V;IND;SG;3;PRS;FIN
pilih	escoja	pilih	escoger	V;SG;ACT	V;SBJV;SG;3;PRS;FIN
pilih	elegir	pilih	elegir	V;SG;ACT	V;NFIN
pilih	elige	pilih	elegir	V;SG;ACT	V;IND;SG;3;PRS;FIN
pilih	seleccione	pilih	seleccionar	V;SG;ACT	V;IMP;SG;3;FIN
pilih	seleccione	pilih	seleccionar	V;SG;ACT	V;IMP;SG;3;FIN
pilih	seleccionar	pilih	seleccionar	V;SG;ACT	V;NFIN
pilih	selecciona	pilih	seleccionar	V;SG;ACT	V;IND;SG;3;PRS;FIN
impor	importación	impor	importación	N;SG;ACT	N;FEM;SG
impor	importación	impor	importación	N;SG;ACT	N;FEM;SG
kesan	impresión	kesan	impresión	N;SG	N;FEM;SG
marsekal	alguacil	marsekal	alguacil	N	N;MASC;SG
marsekal	mariscal	marsekal	mariscal	N	N;MASC;SG
marsekal	marshal	marsekal	marshal	N	N;SG
marsekal	comisario	marsekal	comisario	N	N;MASC;SG
marsekal	alguaciles	marsekal	alguacil	N	N;MASC;PL
acak	aleatorio	acak	aleatorio	ADJ;SG	ADJ;MASC;SG
acak	aleatoria	acak	aleatoria	ADJ;SG	ADJ;FEM;SG
botol	frasco	botol	frasco	N;SG	N;MASC;SG
botol	biberón	botol	biberón	N;SG	N;MASC;SG
botol	botella	botol	botella	N;SG	N;FEM;SG
syuting	filmación	syuting	filmación	N	N;FEM;SG
syuting	rodaje	syuting	rodaje	N	N;MASC;SG
kehancuran	devastación	kehancuran	devastación	N;SG	N;FEM;SG
kehancuran	ruina	kehancuran	ruina	N;SG	N;FEM;SG
kehancuran	destrucción	kehancuran	destrucción	N;SG	N;FEM;SG
kenangan	retroceso	kenangan	retroceso	N;SG	N;MASC;SG
kenangan	memoria	kenangan	memoria	N;SG	N;FEM;SG
pukulan	ponche	pukulan	ponche	N;SG	N;MASC;SG
pukulan	puñetazo	pukulan	puñetazo	N;SG	N;MASC;SG
pukulan	punch	pukulan	punch	N;SG	N
mendesak	urge	mendesak	urge	V;SG;ACT	V;IND;SG;3;PRS;FIN
romantis	romance	romantis	romance	N;SG	N;MASC;SG
romantis	romanticismo	romantis	romanticismo	N;SG	N;MASC;SG
beri	dar	beri	dar	V;SG;ACT	V;NFIN
mendatang	próximo	mendatang	próximo	ADJ;SG	ADJ;MASC;SG
agregat	agregación	agregat	agregación	N;SG	N;FEM;SG
bersembunyi	escondiendo	bersembunyi	esconder	V;SG;ACT	V;V.MSDR
bersembunyi	ocultar	bersembunyi	ocultar	V;SG;ACT	V;NFIN
bersembunyi	ocultando	bersembunyi	ocultar	V;SG;ACT	V;V.MSDR
perlombaan	race	perlombaan	race	N;SG	N
perlombaan	carrera	perlombaan	carrera	N;SG	N;FEM;SG
perlombaan	raza	perlombaan	raza	N;SG	N;FEM;SG
serigala	lobos	serigala	lobo	N	N;MASC;PL
serigala	loba	serigala	loba	N	N;FEM;SG
serigala	wolf	serigala	wolf	N	N
serigala	lobo	serigala	lobo	N	N;MASC;SG
serigala	lobos	serigala	lobo	N	N;MASC;PL
ruas	fields	ruas	fields	N;SG	N
taksi	taxi	taksi	taxi	N;SG	N;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;MASC;SG
taksi	cabina	taksi	cabina	N;SG	N;FEM;SG
wabah	brote	wabah	brote	N;SG	N;MASC;SG
wabah	peste	wabah	peste	N;SG	N;FEM;SG
wabah	plaga	wabah	plaga	N;SG	N;FEM;SG
wabah	epidemia	wabah	epidemia	N;SG	N;FEM;SG
bala	bala	bala	bala	N;SG	N;FEM;SG
lilin	vela	lilin	vela	N;SG	N;FEM;SG
lilin	cera	lilin	cera	N;SG	N;FEM;SG
menyerbu	invadir	menserbu	invadir	V;SG;ACT	V;NFIN
menyerbu	invadiendo	menserbu	invadir	V;SG;ACT	V;V.MSDR
menyerbu	invadió	menserbu	invadir	V;SG;ACT	V;IND;SG;3;PST;FIN
laras	cañón	laras	cañón	N	N;MASC;SG
laras	barril	laras	barril	N	N;MASC;SG
akademisi	academia	akademisi	academia	N;SG	N;FEM;SG
patroli	patrullaje	patroli	patrullaje	N;SG	N;MASC;SG
patroli	patrulla	patroli	patrulla	N;SG	N;FEM;SG
patroli	patrullaje	patroli	patrullaje	N;SG	N;MASC;SG
mutlak	absoluta	mutlak	absoluto	ADJ;SG	ADJ;FEM;SG
mutlak	absoluto	mutlak	absoluto	ADJ;SG	ADJ;MASC;SG
mendaftar	registrarse	mendaftar	registrar	V;SG;ACT	V;SBJV;SG;3;IPFV;FIN
plasma	plasma	plasma	plasma	N	N;SG
volkswagen	volkswagen	volkswagen	volkswagen	N	N;MASC;SG
produktif	productivo	produktif	productivo	ADJ;SG	ADJ;MASC;SG
produktif	productiva	produktif	productivo	ADJ;SG	ADJ;FEM;SG
bandingkan	comparar	bandingkan	comparar	V;SG;ACT	V;NFIN
bandingkan	compare	bandingkan	comparar	V;SG;ACT	V;IMP;SG;3;FIN
bandingkan	compara	bandingkan	comparar	V;SG;ACT	V;IND;SG;3;PRS;FIN
pelaut	marinero	penlaut	marinero	N;SG	N;MASC;SG
pelaut	marinera	penlaut	marinero	N;SG	N;FEM;SG
pelaut	marino	penlaut	marino	N;SG	N;MASC;SG
perkantoran	oficina	perkantoran	oficina	N;SG	N;FEM;SG
perkantoran	office	perkantoran	office	N;SG	N;SG
perkantoran	despacho	perkantoran	despacho	N;SG	N;MASC;SG
utang	endeudamiento	utang	endeudamiento	N;SG	N;MASC;SG
utang	deuda	utang	deuda	N;SG	N;FEM;SG
pecinta	amante	pecinta	amante	N;SG	N;SG
pecinta	lover	pecinta	lover	N;SG	N
tayangan	impresión	tayangan	impresión	N;SG	N;FEM;SG
hikayat	saga	hikayat	sagar	N	N;FEM;SG
kelanjutan	continuación	kelanjutan	continuación	N;SG	N;FEM;SG
menyelidiki	investigando	menselidiki	investigar	V;SG;ACT	V;V.MSDR
menyelidiki	investigar	menselidiki	investigar	V;SG;ACT	V;NFIN
menyelidiki	investiga	menselidiki	investigar	V;SG;ACT	V;IND;SG;3;PRS;FIN
menyelidiki	investigue	menselidiki	investigar	V;SG;ACT	V;IMP;SG;3;FIN
orientasi	orientación	orientasi	orientación	N;SG	N;FEM;SG
diperhatikan	notó	diperhatikan	notar	V;SG;PASS	V;IND;SG;3;PST;FIN
mangga	mangos	mangga	mango	N	N;MASC;PL
mangga	mango	mangga	mango	N	N;MASC;SG
mangga	mangos	mangga	mango	N	N;MASC;PL
bir	cerveza	bir	cerveza	N;SG	N;FEM;SG
rusa	ciervo	rusa	ciervo	N	N;MASC;SG
rusa	alces	rusa	alz	N	N;MASC;PL
rusa	moose	rusa	moose	N	N;MASC
rusa	ciervos	rusa	ciervo	N	N;MASC;PL
rusa	ciervo	rusa	ciervo	N	N;MASC;SG
bahu	hombro	bahu	hombro	N;SG	N;MASC;SG
berlari	corrió	berlari	correr	V;SG;ACT	V;IND;SG;3;PST;FIN
berlari	ejecutando	berlari	ejecutar	V;SG;ACT	V;V.MSDR
berlari	corriendo	berlari	correr	V;SG;ACT	V;V.MSDR
berlari	correr	berlari	correr	V;SG;ACT	V;NFIN
residen	residente	residen	residente	N	N;SG
residen	residentes	residen	residente	N	N;PL
residen	prefecto	residen	prefecto	N	N;MASC;SG
anggrek	orquídea	anggrek	orquídea	N;SG	N;FEM;SG
referendum	referéndum	referendum	referéndum	N	N;MASC;SG
referendum	plebiscito	referendum	plebiscito	N	N;MASC;SG
referendum	referendo	referendum	referendo	N	N;MASC;SG
referendum	referendos	referendum	referendo	N	N;MASC;PL
berinteraksi	interactuar	berinteraksi	interactuar	V;SG;ACT	V;NFIN
berinteraksi	interactúa	berinteraksi	interactúa	V;SG;ACT	V;IND;SG;3;PRS;FIN
berinteraksi	interactuando	berinteraksi	interactuar	V;SG;ACT	V;V.MSDR
berinteraksi	interactuar	berinteraksi	interactuar	V;SG;ACT	V;NFIN
arwah	aguardiente	arwah	aguardiente	N;SG	N;MASC;SG
michelle	michelle	michelle	michelle	N	N;FEM;SG
seminari	seminaristas	seminari	seminarista	N	N;PL
seminari	seminario	seminari	seminario	N	N;MASC;SG
seminari	seminarista	seminari	seminarista	N	N;MASC;SG
sindrom	síndrome	sindrom	síndrome	N	N;MASC;SG
sajak	rima	sajak	rima	N	N;FEM;SG
sajak	rima	sajak	rima	N	N;FEM;SG
sajak	rimas	sajak	rima	N	N;FEM;PL
kejayaan	triunfo	kejayaan	triunfo	N;SG	N;MASC;SG
elit	élite	elit	élite	N;SG	N;FEM;SG
elit	elite	elit	elite	N;SG	N;FEM;SG
jujur	sincero	jujur	sincero	ADJ;SG	ADJ;MASC;SG
jujur	honesto	jujur	honesto	ADJ;SG	ADJ;MASC;SG
jujur	honesta	jujur	honesta	ADJ;SG	ADJ;FEM;SG
instalasi	instalación	instalasi	instalación	N;SG	N;FEM;SG
instalasi	montaje	instalasi	montaje	N;SG	N;MASC;SG
instalasi	instalación	instalasi	instalación	N;SG	N;FEM;SG
cabai	chili	cabai	chili	N;SG	N
lencana	placa	lencana	placa	N;SG	N;FEM;SG
lencana	insignia	lencana	insignia	N;SG	N;FEM;SG
lembar	hoja	lembar	hoja	N;SG	N;FEM;SG
lembar	chapa	lembar	chapa	N;SG	N;FEM;SG
lembar	sábana	lembar	sábana	N;SG	N;FEM;SG
mengarahkan	dirigiendo	menkarahkan	dirigir	V;SG;ACT	V;V.MSDR
mengarahkan	dirigir	menkarahkan	dirigir	V;SG;ACT	V;NFIN
faksi	facción	faksi	facción	N;SG	N;FEM;SG
kelautan	marino	kelautan	marino	N;SG	N;MASC;SG
kelautan	marina	kelautan	marina	N;SG	N;FEM;SG
kelautan	marine	kelautan	marine	N;SG	N
bayangan	sombra	bayangan	sombra	N;SG	N;FEM;SG
bayangan	sombra	bayangan	sombra	N;SG	N;FEM;SG
bayangan	shadow	bayangan	shadow	N;SG	N
keberadaannya	existencia	keberadaan	existencia	N;SG	N;FEM;SG
waris	heredera	waris	heredera	N;SG	N;FEM;SG
waris	heredero	waris	heredero	N;SG	N;MASC;SG
waris	waris	waris	waris	N;SG	N;SG
dirasakan	sentí	dirasakan	sentir	V;SG;PASS	V;IND;SG;1;PST;FIN
