年	イヤー	年	イヤー	N	N
盃	コップ	盃	コップ	N	N
文字	テキスト	文字	テキスト	N	N
民族	国籍	民族	国籍	N	N
主席	大統領	主席	大統領	N	N
主席	社長	主席	社長	N	N
主席	会長	主席	会長	N	N
主席	議長	主席	議長	N	N
主席	会長	主席	会長	N	N
主席	議長	主席	議長	N	N
文物	アーティファクト	文物	アーティファクト	N	N
文物	遺物	文物	遺物	N	N
女子	女性	女子	女性	N	N
選	ピック	選	ピック	N	N
世紀	世紀	世紀	世紀	N	N
世紀	センチュリー	世紀	センチュリー	N	N
票	切符	票	切符	N	N
票	チケット	票	チケット	N	N
票	切符	票	切符	N	N
票	チケット	票	チケット	N	N
動畫	アニメ	動畫	アニメ	N	N
關係	リレーション	關係	リレーション	N	N
關係	関係	關係	関係	N	N
關係	リレーション	關係	リレーション	N	N
關係	関係	關係	関係	N	N
關係	リレーション	關係	リレーション	N	N
能力	定員	能力	定員	N	N
能力	容量	能力	容量	N	N
能力	能力	能力	能力	N	N
網站	ウェブ	網站	ウェブ	N	N
網站	サイト	網站	サイト	N	N
網站	敷地	網站	敷地	N	N
網站	ウェブ	網站	ウェブ	N	N
模板	テンプレート	模板	テンプレート	N	N
模板	テンプレート	模板	テンプレート	N	N
頭	ヘッド	頭	ヘッド	N	N
頭	頭部	頭	頭部	N	N
個人	パーソナル	個人	パーソナル	N	N
個人	個人	個人	個人	N	N
個人	個人	個人	個人	N	N
擁有	占有	擁有	占有	V	V
擁有	所持	擁有	所持	V	V
擁有	所有	擁有	所有	V	V
學生	生徒	學生	生徒	N	N
學生	学生	學生	学生	N	N
學生	生徒	學生	生徒	N	N
學生	学生	學生	学生	N	N
鎮	タウン	鎮	タウン	N	N
南部	サザン	南部	サザン	N	N
南部	南部	南部	南部	N	N
語言	言語	語言	言語	N	N
語言	言語	語言	言語	N	N
模式	モード	模式	モード	N	N
模式	パターン	模式	パターン	N	N
模式	パターン	模式	パターン	N	N
模式	モード	模式	モード	N	N
相關	関連	相關	関連	V	V
相關	関連	相關	関連	V	V
決定	決める	決定	決める	V	V
決定	決断	決定	決断	V	V
決定	決定	決定	決定	V	V
決定	決定	決定	決定	V	V
方向	方向	方向	方向	N	N
方向	道	方向	道	N	N
方向	方向	方向	方向	N	N
方向	方向	方向	方向	N	N
方向	向き	方向	向き	N	N
方向	オリエンテーション	方向	オリエンテーション	N	N
方法	方法	方法	方法	N	N
影響	影響	影響	影響	V	V
影響	影響	影響	影響	V	V
見	見る	見	見る	V	V
只	ちょうど	只	ちょうど	ADV	ADV
結束	終了	結束	終了	V	V
出版	出版	出版	出版	V	V
提名	指名	提名	指名	V	V
保護	保護	保護	保護	V	V
保護	保護	保護	保護	V	V
保護	保護	保護	保護	V	V
加上	追加	加上	追加	V	V
加上	加算	加上	加算	V	V
獨立	インディー	獨立	インディー	N	N
獨立	インディペンデント	獨立	インディペンデント	N	N
包含	含む	包含	含む	V	V
社會	社会	社會	社会	N	N
社會	社会	社會	社会	N	N
社會	ソーシャル	社會	ソーシャル	N	N
兩	二	兩	二	NUM	NUM
兩	二	兩	二	NUM	NUM
公尺	メートル	公尺	メートル	N	N
公尺	メーター	公尺	メーター	N	N
公尺	メートル	公尺	メートル	N	N
公尺	メーター	公尺	メーター	N	N
鐵路	鉄道	鐵路	鉄道	N	N
鐵路	鉄道	鐵路	鉄道	N	N
鐵路	鉄道	鐵路	鉄道	N	N
鐵路	鉄道	鐵路	鉄道	N	N
居民	住民	居民	住民	N	N
功能	機能	功能	機能	N	N
功能	関数	功能	関数	N	N
功能	機能	功能	機能	N	N
功能	特徴	功能	特徴	N	N
功能	機能	功能	機能	N	N
功能	特徴	功能	特徴	N	N
功能	機能	功能	機能	N	N
聯盟	ユニオン	聯盟	ユニオン	N	N
聯盟	リーグ	聯盟	リーグ	N	N
聯盟	アライアンス	聯盟	アライアンス	N	N
利用	使用	利用	使用	V	V
雙	二	雙	二	NUM	NUM
再次	再び	再次	再び	ADV	ADV
網	ウェブ	網	ウェブ	N	N
網	ネットワーク	網	ネットワーク	N	N
網	ネット	網	ネット	N	N
量	数量	量	数量	N	N
演員	キャスト	演員	キャスト	N	N
演員	ギプス	演員	ギプス	N	N
演員	俳優	演員	俳優	N	N
演員	女優	演員	女優	N	N
演員	俳優	演員	俳優	N	N
演員	俳優	演員	俳優	N	N
全球	グローブ	全球	グローブ	N	N
北部	北方	北部	北方	N	N
運動	スポーツ	運動	スポーツ	N	N
運動	モーション	運動	モーション	N	N
運動	スポーツ	運動	スポーツ	N	N
運動	ムーブメント	運動	ムーブメント	N	N
運動	楽章	運動	楽章	N	N
直到	まで	直到	まで	ADP	ADP
名字	名前	名字	名前	N	N
名字	氏名	名字	氏名	N	N
名字	名称	名字	名称	N	N
戰爭	戦争	戰爭	戦争	N	N
戰爭	戦争	戰爭	戦争	N	N
紅	赤色	紅	赤色	N	N
紅	レッド	紅	レッド	N	N
唱片	レコード	唱片	レコード	N	N
安全	金庫	安全	金庫	N	N
安全	セキュア	安全	セキュア	N	N
學院	アカデミー	學院	アカデミー	N	N
學院	カレッジ	學院	カレッジ	N	N
學院	大学	學院	大学	N	N
學院	カレッジ	學院	カレッジ	N	N
學院	大学	學院	大学	N	N
原因	理由	原因	理由	N	N
原因	理由	原因	理由	N	N
原因	理性	原因	理性	N	N
原因	原因	原因	原因	N	N
選舉	選任	選舉	選任	V	V
辛	シン	辛	シン	N	N
法律	法律	法律	法律	N	N
法律	法学	法律	法学	N	N
法律	法律	法律	法律	N	N
革命	革命	革命	革命	N	N
革命	レボリューション	革命	レボリューション	N	N
男性	オス	男性	オス	N	N
男性	男性	男性	男性	N	N
男性	オス	男性	オス	N	N
男性	男性	男性	男性	N	N
男性	メン	男性	メン	N	N
目的	目的	目的	目的	N	N
形式	形式	形式	形式	N	N
形式	フォーマット	形式	フォーマット	N	N
形式	書式	形式	書式	N	N
基本	基本	基本	基本	N	N
基本	ベーシック	基本	ベーシック	N	N
單位	単位	單位	単位	N	N
單位	ユニット	單位	ユニット	N	N
單位	単位	單位	単位	N	N
單位	ユニット	單位	ユニット	N	N
修	修正	修	修正	V	V
科技	技術	科技	技術	N	N
科技	テクノロジー	科技	テクノロジー	N	N
科技	テック	科技	テック	N	N
青年	青年	青年	青年	N	N
青年	若者	青年	若者	N	N
青年	ユース	青年	ユース	N	N
青年	青春	青年	青春	N	N
流	フロー	流	フロー	N	N
流	ストリーム	流	ストリーム	N	N
流	ストリーム	流	ストリーム	N	N
流	渓流	流	渓流	N	N
結果	結果	結果	結果	N	N
結果	結果	結果	結果	N	N
解放	解放	解放	解放	V	V
體	本文	體	本文	N	N
體	身体	體	身体	N	N
體	本体	體	本体	N	N
體	ボディ	體	ボディ	N	N
球隊	チーム	球隊	チーム	N	N
球隊	チーム	球隊	チーム	N	N
左	左側	左	左側	N	N
戴	ダイ	戴	ダイ	N	N
戴	摩耗	戴	摩耗	N	N
自然	ナチュラル	自然	ナチュラル	N	N
自然	ネイチャー	自然	ネイチャー	N	N
新	新しい	新	新しい	ADJ	ADJ
新	新規	新	新規	ADJ	ADJ
經濟	経済	經濟	経済	N	N
快速	クイック	快速	クイック	N	N
學	ラーニング	學	ラーニング	N	N
學	学問	學	学問	N	N
職業	職業	職業	職業	N	N
職業	経歴	職業	経歴	N	N
職業	キャリア	職業	キャリア	N	N
職業	職業	職業	職業	N	N
職業	キャリア	職業	キャリア	N	N
職業	求人	職業	求人	N	N
職業	職業	職業	職業	N	N
團	連隊	團	連隊	N	N
相同	同	相同	同	ADJ	ADJ
相同	同じ	相同	同じ	ADJ	ADJ
類	階級	類	階級	N	N
類	クラス	類	クラス	N	N
兵	兵士	兵	兵士	N	N
兵	兵隊	兵	兵隊	N	N
發	ヘアー	發	ヘアー	N	N
發	髪	發	髪	N	N
發	ヘア	發	ヘア	N	N
發	毛髪	發	毛髪	N	N
政策	ポリシー	政策	ポリシー	N	N
政策	政策	政策	政策	N	N
政策	方針	政策	方針	N	N
政策	ポリシー	政策	ポリシー	N	N
政策	方針	政策	方針	N	N
銀	シルバー	銀	シルバー	N	N
單曲	シングルス	單曲	シングルス	N	N
普通	普通	普通	普通	ADJ	ADJ
男子	男性	男子	男性	N	N
男子	メン	男子	メン	N	N
共和	共和制	共和	共和制	N	N
共和	共和国	共和	共和国	N	N
理由	理由	理由	理由	N	N
理由	理由	理由	理由	N	N
理由	理性	理由	理性	N	N
總統	大統領	總統	大統領	N	N
總統	社長	總統	社長	N	N
公分	センチメートル	公分	センチメートル	N	N
標準	基準	標準	基準	N	N
標準	条件	標準	条件	N	N
標準	基準	標準	基準	N	N
標準	規格	標準	規格	N	N
標準	基準	標準	基準	N	N
標準	スタンダード	標準	スタンダード	N	N
標準	標準	標準	標準	N	N
行動	アクション	行動	アクション	N	N
行動	作戦	行動	作戦	N	N
行動	オペレーション	行動	オペレーション	N	N
行動	アクション	行動	アクション	N	N
博士	医師	博士	医師	N	N
博士	ドクター	博士	ドクター	N	N
博士	先生	博士	先生	N	N
博士	医者	博士	医者	N	N
尾	尾翼	尾	尾翼	N	N
熱帶	熱帯	熱帶	熱帯	N	N
熱帶	熱帯	熱帶	熱帯	N	N
議員	議員	議員	議員	N	N
議員	参事官	議員	参事官	N	N
漫畫	漫画	漫畫	漫画	N	N
漫畫	コミック	漫畫	コミック	N	N
漫畫	コミック	漫畫	コミック	N	N
漫畫	漫画	漫畫	漫画	N	N
漫畫	マンガ	漫畫	マンガ	N	N
漫畫	カートゥーン	漫畫	カートゥーン	N	N
生物	生物	生物	生物	N	N
生物	生き物	生物	生き物	N	N
生物	生き物	生物	生き物	N	N
城鎮	タウン	城鎮	タウン	N	N
春	スプリング	春	スプリング	N	N
海軍	海軍	海軍	海軍	N	N
海軍	ネイビー	海軍	ネイビー	N	N
公路	道路	公路	道路	N	N
公路	道路	公路	道路	N	N
公路	ハイウェイ	公路	ハイウェイ	N	N
公路	公道	公路	公道	N	N
冠	クラウン	冠	クラウン	N	N
作家	作家	作家	作家	N	N
作家	ライター	作家	ライター	N	N
作家	作家	作家	作家	N	N
牛	ウシ	牛	ウシ	N	N
火	火事	火	火事	N	N
火	ファイア	火	ファイア	N	N
火	火災	火	火災	N	N
攻擊	攻撃	攻擊	攻撃	V	V
攻擊	攻撃	攻擊	攻撃	V	V
攻擊	暴行	攻擊	暴行	V	V
值	バリュー	值	バリュー	N	N
值	価額	值	価額	N	N
十二	十二	十二	十二	NUM	NUM
西部	ウエスト	西部	ウエスト	N	N
西部	西部	西部	西部	N	N
西部	ウエスタン	西部	ウエスタン	N	N
土	ダート	土	ダート	N	N
土	土壌	土	土壌	N	N
速度	速度	速度	速度	N	N
速度	速度	速度	速度	N	N
速度	スピード	速度	スピード	N	N
合併	合併	合併	合併	V	V
合併	統合	合併	統合	V	V
合併	合併	合併	合併	V	V
建築	建物	建築	建物	N	N
建築	建物	建築	建物	N	N
建築	建築物	建築	建築物	N	N
建築	アーキテクチャ	建築	アーキテクチャ	N	N
建築	建築	建築	建築	N	N
道路	道路	道路	道路	N	N
道路	道路	道路	道路	N	N
發表	出版	發表	出版	V	V
發表	公開	發表	公開	V	V
色	カラー	色	カラー	N	N
