got	got	got	got	N;MASC+FEM;SG	N;NOM;MASC;SG
naburige	sosednje	naburig	sosednji	ADJ	ADJ;NOM;FEM;PL
naburige	sosednji	naburig	sosednji	ADJ	ADJ;NOM;DEF;MASC;SG
sergio	sergio	sergio	sergia	N;MASC+FEM;SG	N;NOM;MASC;SG
atmosfeer	ozračje	atmosfeer	ozračje	N;MASC+FEM;SG	N;NOM;NEUT;SG
atmosfeer	atmosfera	atmosfeer	atmosfer	N;MASC+FEM;SG	N;NOM;FEM;SG
atmosfeer	atmosfero	atmosfeer	atmosfer	N;MASC+FEM;SG	N;ACC;FEM;SG
atmosfeer	vzdušje	atmosfeer	vzdušje	N;MASC+FEM;SG	N;NOM;NEUT;SG
phoenix	phoenix	phoenix	phoenixa	N;MASC+FEM;SG	N;NOM;MASC;SG
palm	dlan	palm	dlan	N;MASC+FEM;SG	N;ACC;FEM;SG
palm	dlani	palm	dlan	N;MASC+FEM;SG	N;NOM;FEM;SG
palm	palm	palm	palm	N;MASC+FEM;SG	N;NOM;MASC;SG
ambtenaren	uradniki	ambtenaar	uradnik	N;PL	N;NOM;MASC;PL
percentage	odstotek	percentage	odstotek	N;NEUT;SG	N;NOM;MASC;SG
martinus	martinus	martinus	martinus	N;MASC+FEM;SG	N;NOM;MASC;SG
bourbon	bourbon	bourbon	bourbon	N;MASC+FEM;SG	N;NOM;MASC;SG
culturen	kulture	cultuur	kultura	N;PL	N;NOM;FEM;PL
culturen	kultur	cultuur	kultura	N;PL	N;GEN;FEM;PL
schat	otrok	schat	otrok	N;MASC+FEM;SG	N;NOM;MASC;SG
schat	punčka	schat	punčka	N;MASC+FEM;SG	N;NOM;FEM;SG
schat	dojenček	schat	dojenček	N;MASC+FEM;SG	N;NOM;MASC;SG
schat	zaklad	schat	zaklad	N;MASC+FEM;SG	N;NOM;MASC;SG
schat	bejba	schat	bejba	N;MASC+FEM;SG	N;NOM;FEM;SG
rachel	rachel	rachel	rachel	N;MASC+FEM;SG	N;NOM;FEM;SG
afmetingen	mere	afmeting	mera	N;PL	N;NOM;FEM;PL
afmetingen	dimenzije	afmeting	dimenzija	N;PL	N;NOM;FEM;PL
moskee	mošeji	moskee	mošej	N;MASC+FEM;SG	N;NOM;FEM;SG
robot	robota	robot	robot	N;MASC+FEM;SG	N;NOM;MASC;SG
robot	robot	robot	robot	N;MASC+FEM;SG	N;NOM;MASC;SG
bewustzijn	ozaveščenost	bewustzijn	ozaveščenost	N;NEUT;SG	N;NOM;FEM;SG
bewustzijn	zavedanje	bewustzijn	zavedanje	N;NEUT;SG	N;NOM;NEUT;SG
bewustzijn	zavest	bewustzijn	zavest	N;NEUT;SG	N;NOM;FEM;SG
bewustzijn	zavest	bewustzijn	zavest	N;NEUT;SG	N;NOM;FEM;SG
rico	rico	rico	rica	N;MASC+FEM;SG	N;NOM;MASC;SG
drugs	droge	drug	droga	N;PL	N;NOM;FEM;PL
drugs	mamila	drug	mamilo	N;PL	N;NOM;NEUT;PL
drugs	zdravila	drug	zdravilo	N;PL	N;NOM;NEUT;PL
kolonisten	kolonisti	kolonist	kolonist	N;PL	N;NOM;MASC;PL
kolonisten	naseljenci	kolonist	naseljenec	N;PL	N;NOM;MASC;PL
pot	lonec	pot	lonec	N;MASC+FEM;SG	N;NOM;MASC;SG
pot	travo	pot	trava	N;MASC+FEM;SG	N;ACC;FEM;SG
pot	kozarec	pot	kozarec	N;MASC+FEM;SG	N;NOM;MASC;SG
chaos	kaos	chaos	kaos	N;MASC+FEM;SG	N;NOM;MASC;SG
schaduw	senc	schaduw	senca	N;MASC+FEM;SG	N;NOM;FEM;SG
schaduw	senca	schaduw	senca	N;MASC+FEM;SG	N;NOM;FEM;SG
schaduw	senco	schaduw	senca	N;MASC+FEM;SG	N;ACC;FEM;SG
schaduw	senci	schaduw	senca	N;MASC+FEM;SG	N;DAT;FEM;SG
schaduw	senca	schaduw	senca	N;MASC+FEM;SG	N;NOM;FEM;SG
schaduw	senci	schaduw	senca	N;MASC+FEM;SG	N;DAT;FEM;SG
schaduw	senco	schaduw	senca	N;MASC+FEM;SG	N;ACC;FEM;SG
schaduw	odtenek	schaduw	odtenek	N;MASC+FEM;SG	N;NOM;MASC;SG
ladies	dame	ladie	dama	N;PL	N;NOM;FEM;PL
turnhout	turnhout	turnhout	turnhout	N;NEUT;SG	N;NOM;MASC;SG
duke	vojvodo	duk	vojvoda	N;MASC+FEM;SG	N;ACC;FEM;SG
duke	duke	duk	duka	N;MASC+FEM;SG	N;NOM;MASC;SG
duke	knez	duk	knez	N;MASC+FEM;SG	N;NOM;MASC;SG
duke	vojvoda	duk	vojvoda	N;MASC+FEM;SG	N;NOM;MASC;SG
gevangenschap	ujetništvu	gevangenschap	ujetništvo	N;MASC+FEM;SG	N;DAT;NEUT;SG
handschrift	pisava	handschrift	pisava	N;NEUT;SG	N;NOM;FEM;SG
handschrift	rokopis	handschrift	rokopis	N;NEUT;SG	N;NOM;MASC;SG
agenten	zastopniki	agent	zastopnik	N;PL	N;NOM;MASC;PL
agenten	agentje	agent	agent	N;PL	N;NOM;MASC;PL
agenten	agenti	agent	agent	N;PL	N;NOM;MASC;PL
agenten	častniki	agent	častnik	N;PL	N;NOM;MASC;PL
agenten	policisti	agent	policist	N;PL	N;NOM;MASC;PL
agenten	oficirji	agent	oficir	N;PL	N;NOM;MASC;PL
pink	pink	pink	pink	N;MASC+FEM;SG	N;NOM;MASC;SG
pink	roza	pink	roza	N;MASC+FEM;SG	N;NOM;FEM;SG
pink	pinky	pink	pinky	N;MASC+FEM;SG	N;NOM;MASC;SG
violist	violinist	violist	violinist	N;MASC+FEM;SG	N;NOM;MASC;SG
apparatuur	opremo	apparatuur	oprema	N;MASC+FEM;SG	N;ACC;FEM;SG
apparatuur	oprema	apparatuur	oprema	N;MASC+FEM;SG	N;NOM;FEM;SG
rebellen	upornikov	rebel	upornik	N;PL	N;GEN;MASC;PL
rebellen	uporniki	rebel	upornik	N;PL	N;NOM;MASC;PL
jamie	jamie	jamie	jamia	N;MASC+FEM;SG	N;NOM;MASC;SG
pantser	oklep	pantser	oklep	N;NEUT;SG	N;NOM;MASC;SG
pantser	oklep	pantser	oklep	N;NEUT;SG	N;NOM;MASC;SG
zoute	slana	zout	slan	ADJ	ADJ;NOM;FEM;SG
zoute	slane	zout	slan	ADJ	ADJ;NOM;FEM;PL
bonaparte	bonaparte	bonapart	bonaparta	N;MASC+FEM;SG	N;ACC;MASC;SG
lima	lima	lima	lima	N;MASC+FEM;SG	N;NOM;FEM;SG
illustraties	ilustracije	illustratie	ilustracija	N;PL	N;NOM;FEM;PL
illustraties	umetnine	illustratie	umetnina	N;PL	N;NOM;FEM;PL
conventie	konvencija	conventie	konvencija	N;MASC+FEM;SG	N;NOM;FEM;SG
conventie	konvencijo	conventie	konvencija	N;MASC+FEM;SG	N;ACC;FEM;SG
dun	tanke	dun	tanek	ADJ	ADJ;NOM;FEM;PL
dun	tanka	dun	tanek	ADJ	ADJ;NOM;FEM;SG
dun	tanek	dun	tanek	ADJ	ADJ;NOM;INDF;MASC;SG
motto	moto	motto	moto	N;NEUT;SG	N;NOM;MASC;SG
essay	spis	essay	spis	N;NEUT;SG	N;NOM;MASC;SG
essay	esej	essay	esaj	N;NEUT;SG	N;NOM;MASC;SG
karakters	liki	karakter	lik	N;PL	N;NOM;MASC;PL
karakters	znaki	karakter	znak	N;PL	N;NOM;MASC;PL
karakters	znakov	karakter	znak	N;PL	N;GEN;MASC;PL
gebogen	uklonili	buigen	ukloniti	V;V.PTCP	V;PFV;MASC;PL;V.PTCP
structuren	konstrukcije	structuur	konstrukcija	N;PL	N;NOM;FEM;PL
structuren	strukture	structuur	struktura	N;PL	N;NOM;FEM;PL
catalogus	katalog	catalogus	kataloga	N;MASC+FEM;SG	N;NOM;MASC;SG
catalogus	katalog	catalogus	kataloga	N;MASC+FEM;SG	N;NOM;MASC;SG
catalogus	kataloga	catalogus	kataloga	N;MASC+FEM;SG	N;GEN;MASC;SG
zege	zmaga	zege	zmaga	N;MASC+FEM;SG	N;NOM;FEM;SG
zege	zmago	zege	zmaga	N;MASC+FEM;SG	N;ACC;FEM;SG
siberië	sibiriji	siberië	sibirij	N;NEUT;SG	N;DAT;FEM;SG
uitvinding	izum	uitvinding	izum	N;MASC+FEM;SG	N;NOM;MASC;SG
sean	sean	sean	sean	N;MASC+FEM;SG	N;NOM;MASC;SG
logica	logika	logica	logika	N;MASC+FEM;SG	N;NOM;FEM;SG
logica	logiko	logica	logika	N;MASC+FEM;SG	N;ACC;FEM;SG
diamond	diamant	diamond	diamant	N;MASC+FEM;SG	N;NOM;MASC;SG
achtbaan	podstavek	achtbaan	podstavek	N;MASC+FEM;SG	N;NOM;MASC;SG
achtbaan	podlogo	achtbaan	podloga	N;MASC+FEM;SG	N;ACC;FEM;SG
groenland	grenlandijo	groenland	grenlandija	N;NEUT;SG	N;ACC;FEM;SG
antieke	starinski	antiek	starinski	ADJ	ADJ;NOM;DEF;MASC;SG
bezetter	okupatorju	bezetter	okupator	N;MASC+FEM;SG	N;DAT;MASC;SG
beton	beton	beton	beton	N;NEUT;SG	N;NOM;MASC;SG
pearl	biser	pearl	biser	N;MASC+FEM;SG	N;NOM;MASC;SG
monsters	pošastmi	monster	pošast	N;PL	N;NOM;FEM;PL
monsters	pošasti	monster	pošast	N;PL	N;NOM;FEM;PL
monsters	vzorce	monster	vzorec	N;PL	N;ACC;MASC;PL
monsters	vzorcev	monster	vzorec	N;PL	N;GEN;MASC;PL
monsters	vzorci	monster	vzorec	N;PL	N;NOM;MASC;PL
noodzaak	potrebo	noodzaak	potreba	N;MASC+FEM;SG	N;ACC;FEM;SG
noodzaak	potreba	noodzaak	potreba	N;MASC+FEM;SG	N;NOM;FEM;SG
noodzaak	nujnost	noodzaak	nujnost	N;MASC+FEM;SG	N;NOM;FEM;SG
noodzaak	potreba	noodzaak	potreba	N;MASC+FEM;SG	N;NOM;FEM;SG
godsdienst	religija	godsdienst	religija	N;MASC+FEM;SG	N;NOM;FEM;SG
godsdienst	religijo	godsdienst	religija	N;MASC+FEM;SG	N;ACC;FEM;SG
godsdienst	vera	godsdienst	vera	N;MASC+FEM;SG	N;NOM;FEM;SG
norm	norma	norm	norma	N;MASC+FEM;SG	N;NOM;FEM;SG
norm	norm	norm	norm	N;MASC+FEM;SG	N;NOM;FEM;SG
norm	standard	norm	standard	N;MASC+FEM;SG	N;NOM;MASC;SG
gisteren	včeraj	gisteren	včeraj	ADV	ADV
familieleden	sorodniki	familielid	sorodnik	N;PL	N;NOM;MASC;PL
chelsea	chelsea	chelsea	chelse	N;MASC+FEM;SG	N;NOM;MASC;SG
banner	banner	banner	banner	N;MASC+FEM;SG	N;NOM;MASC;SG
klant	stranka	klant	stranka	N;MASC+FEM;SG	N;NOM;FEM;SG
klant	odjemalec	klant	odjemalec	N;MASC+FEM;SG	N;NOM;MASC;SG
klant	stranka	klant	stranka	N;MASC+FEM;SG	N;NOM;FEM;SG
klant	odjemalec	klant	odjemalec	N;MASC+FEM;SG	N;NOM;MASC;SG
jesse	jesse	jesse	jesse	N;MASC+FEM;SG	N;NOM;MASC;SG
gogh	gogh	gogh	gogh	N;MASC+FEM;SG	N;NOM;MASC;SG
maximiliaan	maximilian	maximiliaan	maximilian	N;MASC+FEM;SG	N;NOM;MASC;SG
botanicus	botanik	botanicus	botanik	N;MASC+FEM;SG	N;NOM;MASC;SG
landgenoot	rojak	landgenoot	rojak	N;MASC+FEM;SG	N;NOM;MASC;SG
landgenoot	rojak	landgenoot	rojak	N;MASC+FEM;SG	N;NOM;MASC;SG
bres	kršitev	bres	kršitev	N;MASC+FEM;SG	N;NOM;FEM;SG
bres	vdor	bres	vdor	N;MASC+FEM;SG	N;NOM;MASC;SG
klaus	klaus	klaus	klaus	N;MASC+FEM;SG	N;NOM;MASC;SG
dylan	dylan	dylan	dylan	N;MASC+FEM;SG	N;NOM;MASC;SG
grafische	grafični	grafisch	grafičen	ADJ	ADJ;NOM;MASC;SG
grafische	grafično	grafisch	grafičen	ADJ	ADJ;NOM;NEUT;SG
humor	humor	humor	humor	N;MASC+FEM;SG	N;NOM;MASC;SG
humor	humor	humor	humor	N;MASC+FEM;SG	N;NOM;MASC;SG
normen	norme	norm	norma	N;PL	N;NOM;FEM;PL
normen	standarde	norm	standard	N;PL	N;ACC;MASC;PL
normen	standardi	norm	standard	N;PL	N;NOM;MASC;PL
kunstwerken	umetnine	kunstwerk	umetnina	N;PL	N;NOM;FEM;PL
vlekken	madeže	vlek	madež	N;PL	N;NOM;FEM;PL
vlekken	madeži	vlek	madež	N;PL	N;NOM;MASC;PL
vlekken	pege	vlek	pega	N;PL	N;NOM;FEM;PL
referendum	referendumu	referendum	referendum	N;NEUT;SG	N;DAT;MASC;SG
referendum	referendum	referendum	referendum	N;NEUT;SG	N;NOM;MASC;SG
referendum	referenduma	referendum	referendum	N;NEUT;SG	N;NOM;MASC;SG
berry	jagoda	berry	jagod	N;MASC+FEM;SG	N;NOM;FEM;SG
spirit	duh	spirit	duh	N;MASC+FEM;SG	N;NOM;MASC;SG
pond	funt	pond	funt	N;NEUT;SG	N;NOM;MASC;SG
oplossingen	rešitve	oplossing	rešitev	N;PL	N;NOM;FEM;PL
oplossingen	raztopine	oplossing	raztopina	N;PL	N;NOM;FEM;PL
göteborg	göteborgu	göteborg	güteborg	N;NEUT;SG	N;DAT;MASC;SG
castro	castra	castro	castra	N;MASC+FEM;SG	N;NOM;MASC;SG
castro	castro	castro	castro	N;MASC+FEM;SG	N;NOM;MASC;SG
plezier	užitek	plezier	užitek	N;NEUT;SG	N;NOM;MASC;SG
plezier	zadovoljstvo	plezier	zadovoljstvo	N;NEUT;SG	N;NOM;NEUT;SG
variaties	različice	variatie	različica	N;PL	N;NOM;FEM;PL
variaties	variacije	variatie	variacija	N;PL	N;NOM;FEM;PL
mechanische	mehanska	mechanisch	mehanski	ADJ	ADJ;NOM;FEM;SG
mechanische	mehanski	mechanisch	mehanski	ADJ	ADJ;NOM;MASC;PL
mechanische	mehanske	mechanisch	mehanski	ADJ	ADJ;NOM;FEM;PL
digitaal	digitalno	digitaal	digitalen	ADJ	ADJ;NOM;NEUT;SG
digitaal	digitalnega	digitaal	digitalen	ADJ	ADJ;GEN;NEUT;SG
digitaal	digitalna	digitaal	digitalen	ADJ	ADJ;NOM;FEM;SG
digitaal	digitalno	digitaal	digitalen	ADJ	ADJ;NOM;NEUT;SG
digitaal	digitalni	digitaal	digitalen	ADJ	ADJ;NOM;MASC;SG
digitaal	digitalne	digitaal	digitalen	ADJ	ADJ;NOM;FEM;PL
zoo	zoo	zullen	zoo	N;MASC+FEM;SG	N;NOM;MASC;SG
vert	vert	verl	verta	N;MASC+FEM;SG	N;NOM;MASC;SG
australis	australis	australis	australis	N;MASC+FEM;SG	N;NOM;MASC;SG
fanfare	pompom	fanfaar	pompem	N;MASC+FEM;SG	N;DAT;MASC;SG
besteed	prebil	besteden	prebiti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
ferreira	ferreira	ferreira	ferreir	N;MASC+FEM;SG	N;NOM;MASC;SG
geleerd	naučil	leren	naučiti	V;V.PTCP	V;PFV;MASC;SG;V.PTCP
ontmoeten	spoznaj	ontmoeten	spoznaj	V;NFIN	V;IND;SG;3;PRS;FIN
uitsterven	izumrtje	uitsterven	izumrtje	N;NEUT;SG	N;NOM;NEUT;SG
elegans	elegans	elegans	elegans	N;MASC+FEM;SG	N;NOM;MASC;SG
nabijheid	bližina	nabijheid	bližina	N;MASC+FEM;SG	N;NOM;FEM;SG
nabijheid	bližina	nabijheid	bližina	N;MASC+FEM;SG	N;NOM;FEM;SG
producties	produkcije	productie	produkcija	N;PL	N;NOM;FEM;PL
vormgeving	zasnova	vormgeving	zasnova	N;MASC+FEM;SG	N;NOM;FEM;SG
vormgeving	oblikovanje	vormgeving	oblikovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
vormgeving	dizajn	vormgeving	dizajno	N;MASC+FEM;SG	N;NOM;MASC;SG
vormgeving	oblikovanje	vormgeving	oblikovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
knop	gumb	knop	gumb	N;MASC+FEM;SG	N;NOM;MASC;SG
knop	button	knop	button	N;MASC+FEM;SG	N;NOM;MASC;SG
leonardo	leonardo	leonardo	leonardo	N;MASC+FEM;SG	N;NOM;MASC;SG
aanwijzing	določitev	aanwijzing	določitev	N;MASC+FEM;SG	N;NOM;FEM;SG
aanwijzing	označba	aanwijzing	označba	N;MASC+FEM;SG	N;NOM;FEM;SG
aanwijzing	poimenovanje	aanwijzing	poimenovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
aanwijzing	namig	aanwijzing	namig	N;MASC+FEM;SG	N;NOM;MASC;SG
pier	pomolu	pier	pomol	N;MASC+FEM;SG	N;DAT;MASC;SG
pier	pomol	pier	pomol	N;MASC+FEM;SG	N;NOM;MASC;SG
synthese	sintezo	synthese	sinteza	N;MASC+FEM;SG	N;ACC;FEM;SG
sonic	sonic	sonic	sonica	N;MASC+FEM;SG	N;NOM;MASC;SG
uitzonderingen	izjeme	uitzondering	izjema	N;PL	N;NOM;FEM;PL
uitzonderingen	oprostitve	uitzondering	oprostitev	N;PL	N;NOM;FEM;PL
uitzonderingen	izjeme	uitzondering	izjema	N;PL	N;NOM;FEM;PL
abc	abc	abc	abca	N;MASC+FEM;SG	N;NOM;MASC;SG
exploitatie	izkoriščanje	exploitatie	izkoriščanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
exploitatie	delovanje	exploitatie	delovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
exploitatie	operacija	exploitatie	operacija	N;MASC+FEM;SG	N;NOM;FEM;SG
exploitatie	operacijo	exploitatie	operacija	N;MASC+FEM;SG	N;ACC;FEM;SG
exploitatie	obratovanje	exploitatie	obratovanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
justin	justin	justin	justin	N;MASC+FEM;SG	N;NOM;MASC;SG
sud	sud	sud	sud	N;MASC+FEM;SG	N;NOM;MASC;SG
aandoening	pogoj	aandoening	pogoj	N;MASC+FEM;SG	N;NOM;MASC;SG
aandoening	stanje	aandoening	stanje	N;MASC+FEM;SG	N;NOM;NEUT;SG
