ideale	ذہنی	ideal	ذہنی	ADJ;NOM;FEM;SG	ADJ
dumm	احمقانہ	dumm	احمقانہ	ADJ	ADJ
dumm	احمقانہ	dumm	احمقانہ	ADJ	ADJ
hass	بغض.	hassen	بغض.		
hass	بغض.	hassen	بغض.		
diamond	الماس	diamond	الماس		
flammen	چمکنا	flammen	چمک	V;NFIN	V;MASC;SG;NFIN;ACT
flammen	چمکنا	flammen	چمک	V;NFIN	V;MASC;SG;NFIN;ACT
flammen	لپٹ	flammen	لپٹ	V;NFIN	V;ACT
vielfältige	متعدد.	vielfältig	متعدد.	ADJ;NOM;FEM;PL	ADJ
vielfältige	متنوع	vielfältig	متنوع	ADJ;NOM;FEM;PL	ADJ
vielfältige	مختلف	vielfältig	مختلف	ADJ;NOM;FEM;PL	ADJ
vielfältige	متنوع	vielfältig	متنوع	ADJ;NOM;FEM;PL	ADJ
testen	جانچنا	testen	جانچ	V;NFIN	V;MASC;SG;NFIN;ACT
absurd	نامعقول	absurd	نامعقول	ADJ	ADJ
psychologische	ذہنی	psychologisch	ذہنی	ADJ;NOM;FEM;PL	ADJ
graue	فاختئی	grau	فاختئی	ADJ;NOM;PL	ADJ
graue	فاختئی	grau	فاختئی	ADJ;NOM;PL	ADJ
schwangerschaft	پُرتخیّل	schwangerschaft	پُرتخیّل	ADJ	ADJ
schwangerschaft	پُرمغز	schwangerschaft	پُرمغز	ADJ	ADJ
zahn	سن	zahn	سن		
zahn	سن	zahn	سن		
günstigen	موزوں	günstig	موزوں	ADJ	ADJ
günstigen	موافق	günstig	موافق	ADJ	ADJ
günstigen	مثبت	günstig	مثبت	ADJ	ADJ
günstigen	متفق	günstig	متفق	ADJ	ADJ
langsamer	تدریجی	langsam	تدریجی	ADJ	ADJ
langsamer	تدریجی	langsam	تدریجی	ADJ	ADJ
mächtige	طاقتور	mächtig	طاقتور	ADJ;NOM;FEM;PL	ADJ
mächtige	قوی	mächtig	قوی	ADJ;NOM;FEM;PL	ADJ
mächtige	زبردست	mächtig	زبردست	ADJ;NOM;FEM;PL	ADJ
mächtige	طاقتور	mächtig	طاقتور	ADJ;NOM;FEM;PL	ADJ
illegalen	مخفی	illegal	مخفی	ADJ;PL	ADJ
illegalen	پوشیدہ	illegal	پوشیدہ	ADJ;PL	ADJ
illegalen	مخفی	illegal	مخفی	ADJ;PL	ADJ
illegalen	پوشیدہ	illegal	پوشیدہ	ADJ;PL	ADJ
vergehen	گزرنا	vergehen	گزر	V;V.PTCP	V;MASC;SG;NFIN;ACT
raumfahrt	وقفہ.	raumfahren	وقفہ.		
wartung	استقرار.	wartung	استقرار.	N;NOM;SG	N;NOM;MASC;SG;3
wartung	پرورش	wartung	پرورش	N;NOM;SG	N;NOM;FEM;SG;3
zutreffend	موزوں	zutreffend	موزوں	ADJ	ADJ
zutreffend	مناسب	zutreffend	مناسب	ADJ	ADJ
zutreffend	مناسب	zutreffend	مناسب	ADJ	ADJ
zutreffend	مناسب	zutreffend	مناسب	ADJ	ADJ
zutreffend	صحیح	zutreffend	صحیح	ADJ	ADJ
entführung	اغوا	entführung	اغوا	N;NOM;FEM;SG	N;NOM;MASC;SG;3
akzeptanz	(	akzeptanz	(		
paket	بخرہ	paket	بخرہ		
paket	قطعہ.	paket	قطعہ.		
paket	off	paket	off		
paket	off	paket	off		
paket	بنڈل	paket	بنڈل		
mechanisch	آلاتی	mechanisch	آلا	ADJ	ADJ
mechanisch	آلاتی	mechanisch	آلا	ADJ	ADJ
mechanisch	مشینی	mechanisch	مشینی	ADJ	ADJ
bereitschaft	مستعدی	bereitschaft	مستعدی	ADJ	ADJ
bereitschaft	تیار	bereitschaft	تیار	ADJ	ADJ
unglücklich	خستہ	unglücklich	خستہ	ADJ	ADJ
beantragen	چلانا	beantragen	چلا	V;NFIN	V;MASC;SG;NFIN;ACT
neueste	حالیہ	neu	حالیہ	ADJ;NOM;FEM;PL	ADJ
neueste	جدید	neu	جدید	ADJ;NOM;FEM;PL	ADJ
too	مناسب	too	مناسب	ADJ	ADJ
too	معقول	too	معقول	ADJ	ADJ
too	مزید	too	مزید	ADJ	ADJ
too	جائز	too	جائز	ADJ	ADJ
abfrage	سوال	abfrage	سوال	N;NOM;FEM;SG	N;NOM;MASC;SG;3
abfrage	استفسار.	abfrage	استفسار.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konstante	مستقل	konstant	مستقل	ADJ;NOM;FEM;SG	ADJ
konstante	جاری	konstant	جاری	ADJ;NOM;FEM;SG	ADJ
konstante	متواتر	konstant	متواتر	ADJ;NOM;FEM;SG	ADJ
systematischen	عادی	systematisch	عادی	ADJ	ADJ
systematischen	باقاعدہ	systematisch	باقاعدہ	ADJ	ADJ
krank	ناموافق	krank	ناموافق	ADJ	ADJ
krank	ناپختہ.	krank	ناپختہ.	ADJ	ADJ
krank	خراب	krank	خراب	ADJ	ADJ
krank	ناقص	krank	ناقص	ADJ	ADJ
krank	ناموافق	krank	ناموافق	ADJ	ADJ
krank	خرابی	krank	خرابی	ADJ	ADJ
krank	ناپختہ.	krank	ناپختہ.	ADJ	ADJ
krank	خراب	krank	خراب	ADJ	ADJ
krank	ناقص	krank	ناقص	ADJ	ADJ
krank	بیمار	krank	بیمار	ADJ	ADJ
möbel	لوازم	möbel	لوازم		
möbel	قبضے.	möbel	قبضے.		
eden	عیش	eden	عیش		
dynamische	فعال	dynamisch	فعال	ADJ;NOM;FEM;PL	ADJ
extremen	جابرانہ	extrem	جابرانہ	ADJ	ADJ
extremen	آخری	extrem	آخری	ADJ	ADJ
extremen	سخت	extrem	سخت	ADJ	ADJ
steinkohle	زغال.	steinkohl	زغال.		
steinkohle	انگارہ	steinkohl	انگارہ		
riesen	جن.	riesen	جن.		
riesen	وقیع	riesen	وقیع		
riesen	وقیع	riesen	وقیع		
sprachlichen	لسانی	sprachlich	لسانی	ADJ	ADJ
führender	نمایاں	führend	نمایاں	ADJ	ADJ
beheben	باندھنا	beheben	باندھنا	V;NFIN	V;NFIN;ACT
beheben	ٹھونکنا	beheben	ٹھونکنا	V;NFIN	V;SG;NFIN;ACT
beheben	باندھنا	beheben	باندھنا	V;NFIN	V;NFIN;ACT
beheben	ٹھہرانا	beheben	ٹھہرانا	V;NFIN	V;MASC;SG;NFIN;ACT
beheben	ٹھونکنا	beheben	ٹھونکنا	V;NFIN	V;SG;NFIN;ACT
beheben	جمانا	beheben	جمانا	V;NFIN	V;PFV;MASC;SG;V.PTCP;ACT
markieren	چپکانا	markieren	چپکا	V;NFIN	V;MASC;SG;V.PTCP;ACT
markieren	بتانا.	markieren	بتاناؤ	V;NFIN	V;MASC;SG;NFIN;ACT
markieren	منانا	markieren	منا	V;NFIN	V;SG;NFIN;ACT
auffallend	منفرد	auffallend	منفرد	ADJ	ADJ
auffallend	واضح	auffallend	واضح	ADJ	ADJ
auffallend	ممتاز	auffallend	ممتاز	ADJ	ADJ
spaltung	تقسیم	spaltung	تقسیم	N;FEM;SG	N;NOM;FEM;SG;3
akzeptabel	کافی	akzeptabel	کافی	ADJ	ADJ
gnade	عفو	gnade	عفو		
gnade	درگزر.	gnade	درگزر.		
gnade	عفو	gnade	عفو		
gnade	درگزر.	gnade	درگزر.		
gnade	چھوٹ	gnade	چھوٹ		
gnade	مرحمت	gnade	مرحمت		
sing	(	sein	(		
sing	(	sein	(		
wilder	قدیم	wilder	قدیم	ADJ	ADJ
wilder	ظالمانہ	wilder	ظالمانہ	ADJ	ADJ
wilder	قدرتی	wilder	قدرتی	ADJ	ADJ
wilder	صحرائی	wilder	صحرائی	ADJ	ADJ
wilder	قدیم	wilder	قدیم	ADJ	ADJ
wilder	جنگلی	wilder	جنگلی	ADJ	ADJ
wilder	ظالمانہ	wilder	ظالمانہ	ADJ	ADJ
wilder	قدرتی	wilder	قدرتی	ADJ	ADJ
wilder	صحرائی	wilder	صحرائی	ADJ	ADJ
weltlichen	مذہبی	weltlich	مذہبی	ADJ	ADJ
weltlichen	روحانی	weltlich	روحانی	ADJ	ADJ
heftige	شدید	heftig	شدید	ADJ;NOM;FEM;PL	ADJ
heftige	سخت	heftig	سخت	ADJ;NOM;FEM;PL	ADJ
büste	تڑخنا	büsen	تڑخنا		
büste	معطّل.	büsen	معطّل.		
feierlich	رسمی	feierlich	رسمی	ADJ	ADJ
feierlich	فہمیدہ	feierlich	فہمیدہ	ADJ	ADJ
feierlich	رسمی	feierlich	رسمی	ADJ	ADJ
feierlich	فہمیدہ	feierlich	فہمیدہ	ADJ	ADJ
feierlich	سنجیدہ	feierlich	سنجیدہ	ADJ	ADJ
feierlich	درباری	feierlich	درباری	ADJ	ADJ
feierlich	رسمی	feierlich	رسمی	ADJ	ADJ
feierlich	پُرتکلف	feierlich	پُرتکلف	ADJ	ADJ
stehend	ممتاز	stehend	ممتاز	ADJ	ADJ
stehend	بند	stehend	بند	ADJ	ADJ
entschlossen	چُکانے	entschlossen	چُکا	V;V.PTCP	V;ACC;NFIN
knappen	کمیاب	knapp	کمیاب	ADJ	ADJ
rich	(	reihen	(		
rich	in	reihen	in		
rich	وافر	reihen	وافر		
innenausstattung	داخلی	innenausstattung	داخلی	ADJ	ADJ
innenausstattung	اندرونی	innenausstattung	اندرونی	ADJ	ADJ
lügen	ڈھونگ	lügen	ڈھونگ	V;NFIN	V;SG;ACT
lügen	مکر	lügen	مکر	V;NFIN	V;ACT
hase	ہدف.	haben	ہدف.		
tägliche	معمولی	täglich	معمولی	ADJ;NOM;FEM;PL	ADJ
tägliche	مستقل	täglich	مستقل	ADJ;NOM;FEM;PL	ADJ
tägliche	متواتر	täglich	متواتر	ADJ;NOM;FEM;PL	ADJ
freundes	دوست	freund	دوست	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
freundes	مرد	freund	مرد	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
gruppierung	فلم	gruppierung	فلم	N;NOM;FEM;SG	N;NOM;FEM;SG;3
gruppierung	فلم	gruppierung	فلم	N;NOM;FEM;SG	N;NOM;FEM;SG;3
gruppierung	گروہ	gruppierung	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gruppierung	جمعیت	gruppierung	جمعیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gruppierung	گروہ	gruppierung	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gruppierung	جمعیت	gruppierung	جمعیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gruppierung	جماعت	gruppierung	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
tödliche	مہلک	tödlich	مہلک	ADJ;NOM;FEM;PL	ADJ
tödliche	مہلک	tödlich	مہلک	ADJ;NOM;FEM;PL	ADJ
tödliche	شدید	tödlich	شدید	ADJ;NOM;FEM;PL	ADJ
tödliche	ممکن	tödlich	ممکن	ADJ;NOM;FEM;PL	ADJ
tödliche	سخت	tödlich	سخت	ADJ;NOM;FEM;PL	ADJ
tödliche	شدید	tödlich	شدید	ADJ;NOM;FEM;PL	ADJ
tödliche	ممکن	tödlich	ممکن	ADJ;NOM;FEM;PL	ADJ
tödliche	سخت	tödlich	سخت	ADJ;NOM;FEM;PL	ADJ
warm	مشتاقانہ.	warm	مشتاقانہ.	ADJ	ADJ
warm	برانگیختہ	warm	برانگیختہ	ADJ	ADJ
warm	سرگرم	warm	سرگرم	ADJ	ADJ
warm	مخلصانہ-	warm	مخلصانہ-	ADJ	ADJ
warm	عاشقانہ	warm	عاشقانہ	ADJ	ADJ
warm	گلابی	warm	گلابی	ADJ	ADJ;NOM
warm	دوستانہ	warm	دوستانہ	ADJ	ADJ
warm	دشوار	warm	دشوار	ADJ	ADJ
warm	گرم	warm	گرم	ADJ	ADJ
warm	مخلصانہ-	warm	مخلصانہ-	ADJ	ADJ
warm	عاشقانہ	warm	عاشقانہ	ADJ	ADJ
warm	گلابی	warm	گلابی	ADJ	ADJ;NOM
warm	دوستانہ	warm	دوستانہ	ADJ	ADJ
warm	دشوار	warm	دشوار	ADJ	ADJ
exakte	صحیح	exakt	صحیح	ADJ;NOM;FEM;PL	ADJ
günstig	موزوں	günstig	موزوں	ADJ	ADJ
günstig	موافق	günstig	موافق	ADJ	ADJ
günstig	مثبت	günstig	مثبت	ADJ	ADJ
günstig	متفق	günstig	متفق	ADJ	ADJ
günstig	معمولی	günstig	معمولی	ADJ	ADJ
günstig	کمتر	günstig	کمتر	ADJ	ADJ
günstig	معمولی	günstig	معمولی	ADJ	ADJ
günstig	کمتر	günstig	کمتر	ADJ	ADJ
günstig	گھٹیا	günstig	گھٹیا	ADJ	ADJ
abweichende	منحرف	abweichend	منحرف	ADJ;NOM;FEM;PL	ADJ
anwenden	چلانا	anwenden	چلا	V;NFIN	V;MASC;SG;NFIN;ACT
reduzierung	مرتبہ	Reduzierung	مرتبہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
reduzierung	درجہ	Reduzierung	درجہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
generalgouverneur	آجر	generalgouverneur	آجر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
generalgouverneur	آجر	generalgouverneur	آجر	N;NOM;MASC;SG	N;NOM;MASC;SG;3
enorm	زبردست	enorm	زبردست	ADJ	ADJ
enorm	خوفناک.	enorm	خوفناک.	ADJ	ADJ
enorm	غیرمعمولی	enorm	غیرمعمولی	ADJ	ADJ
enorm	زبردست	enorm	زبردست	ADJ	ADJ
konzession	اسلحہ	konzession	اسلحہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konzession	اجازت	konzession	اجازت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
konzession	اجازہ	konzession	اجازہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konzession	اشاعت	konzession	اشاعت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konzession	رخصت	konzession	رخصت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
konzession	صداقت.	konzession	صداقت.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
konzession	سند	konzession	سند	N;NOM;FEM;SG	N;NOM;MASC;SG;3
lineare	لمبا	linear	لمبا	ADJ;NOM;FEM;PL	ADJ;NOM;MASC
vernünftige	متوازن	vernünftig	متوازن	ADJ;NOM;FEM;PL	ADJ
vernünftige	واضح	vernünftig	واضح	ADJ;NOM;FEM;PL	ADJ
vernünftige	متوازن	vernünftig	متوازن	ADJ;NOM;FEM;PL	ADJ
vernünftige	واضح	vernünftig	واضح	ADJ;NOM;FEM;PL	ADJ
vernünftige	معقول	vernünftig	معقول	ADJ;NOM;FEM;PL	ADJ
visuelle	عینی.	visuell	عینی.	ADJ;NOM;FEM;PL	ADJ
visuelle	عینی.	visuell	عینی.	ADJ;NOM;FEM;PL	ADJ
umweltschutz	ماحولیاتی	umweltschutz	ماحولیاتی	ADJ	ADJ;NOM
interessanter	دلچسپ	interessant	دلچسپ	ADJ	ADJ
spin	گھمائو.	spin	گھمائو.		
spin	(	spin	(		
vertreiben	بکھیرنا	vertreiben	بکھیر	V;NFIN	V;NFIN;ACT
zucht	(	zucht	(		
lot	پانسہ	lot	پانسہ		
lot	پانسہ	lot	پانسہ		
etymologie	اشتقاق	etymologie	اشتقاق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
männlich	مردانہ	männlich	مردانہ	ADJ	ADJ
modernes	رائج	modern	رائج	ADJ;NOM;NEUT;SG	ADJ
modernes	رواں	modern	رواں	ADJ;NOM;NEUT;SG	ADJ
orientalist	مستشرق	orientalist	مستشرق	ADJ	ADJ
laute	اونچا	laut	اونچا	ADJ	ADJ;MASC;SG
laute	تیز	laut	تیز	ADJ	ADJ
zunahme	آبادی	zunahme	آبادی	N;SG	N;NOM;FEM;SG;3
zunahme	اضافہ	zunahme	اضافہ	N;SG	N;NOM;MASC;SG;3
zunahme	بڑھوتری	zunahme	بڑھوتری	N;SG	N;NOM;MASC;SG;3
zunahme	خوبی	zunahme	خوبی	N;SG	N;NOM;MASC;SG;3
zunahme	ترقی	zunahme	ترقی	N;SG	N;NOM;FEM;SG;3
zunahme	نفری	zunahme	نفری	N;SG	N;NOM;MASC;SG;3
zunahme	جسامت	zunahme	جسامت	N;SG	N;NOM;MASC;SG;3
zunahme	آبادی	zunahme	آبادی	N;SG	N;NOM;FEM;SG;3
zunahme	اضافہ	zunahme	اضافہ	N;SG	N;NOM;MASC;SG;3
zunahme	بڑھوتری	zunahme	بڑھوتری	N;SG	N;NOM;MASC;SG;3
zunahme	خوبی	zunahme	خوبی	N;SG	N;NOM;MASC;SG;3
zunahme	ترقی	zunahme	ترقی	N;SG	N;NOM;FEM;SG;3
zunahme	نفری	zunahme	نفری	N;SG	N;NOM;MASC;SG;3
zunahme	جسامت	zunahme	جسامت	N;SG	N;NOM;MASC;SG;3
zunahme	زراعت	zunahme	زراعت	N;SG	N;NOM;FEM;SG;3
zunahme	نمو	zunahme	نمو	N;SG	N;NOM;MASC;SG;3
kenn	سیکھا	kenn	سیکھ	V;IND;SG;3;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kenn	سیکھا	kenn	سیکھ	V;IND;SG;3;FIN	V;PFV;MASC;SG;V.PTCP;ACT
kenn	جاننا	kenn	جان	V;IND;SG;3;FIN	V;MASC;SG;NFIN;ACT
koordination	منضبط	koordination	منضبط	N;NOM;FEM;SG	N;NOM;MASC;SG;3
koordination	تطبیق	koordination	تطبیق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
singular	نادر	singular	نادر	ADJ	ADJ
singular	عجیب	singular	عجیب	ADJ	ADJ
erdöl	دُہن	erdöl	دُہن		
religiös	محتاط	religiös	محتاط	ADJ	ADJ
religiös	متقی	religiös	متقی	ADJ	ADJ
nimm	پانا	nehmen	پانا	V;IND;SG;2;PRS;FIN	V;SG;NFIN;ACT
nimm	کھانا	nehmen	کھا	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
nimm	سمجھنا	nehmen	سمجھ	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
nimm	پکڑنا	nehmen	پکڑ	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
nimm	چُننا	nehmen	چُن	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
nimm	آزمانا	nehmen	آزما	V;IND;SG;2;PRS;FIN	V;SG;ACT
nimm	ڈالنا	nehmen	ڈال	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
nimm	کمانا	nehmen	کمانا	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
nimm	چاہنا	nehmen	چاہ	V;IND;SG;2;PRS;FIN	V;MASC;SG;NFIN;ACT
außerordentlich	ممتاز	außerordentlich	ممتاز	ADJ	ADJ
intensiver	زوردار	intensiv	زوردار	ADJ	ADJ
intensiver	پُرزور	intensiv	پُرزور	ADJ	ADJ
intensiver	قوی	intensiv	قوی	ADJ	ADJ
intensiver	پُرزور	intensiv	پُرزور	ADJ	ADJ
intensiver	قوی	intensiv	قوی	ADJ	ADJ
intensiver	شدید	intensiv	شدید	ADJ	ADJ
schein	(	schein	(		
schein	(	schein	(		
schein	تبر	schein	تبر		
anthologie	کشکول	anthologie	کشکول	N;NOM;FEM;SG	N;NOM;MASC;SG;3
gewöhnlichen	عادی	gewöhnlich	عادی	ADJ	ADJ
gewöhnlichen	باقاعدہ	gewöhnlich	باقاعدہ	ADJ	ADJ
pilze	فطر	pilz	فطر		
wiegt	تولنا	wiegen	تولنا	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
schöpfer	the	schöpfer	the		
schöpfer	(	schöpfer	(		
schöpfer	خدا.	schöpfer	خدا.		
schöpfer	خالق.	schöpfer	خالق.		
ländliche	مضافاتی	ländlich	مضافاتی	ADJ;NOM;FEM;PL	ADJ;NOM
ländliche	دیہاتی	ländlich	دیہاتی	ADJ;NOM;FEM;PL	ADJ
ländliche	مضافاتی	ländlich	مضافاتی	ADJ;NOM;FEM;PL	ADJ;NOM
geruch	لحاظ	geruch	لحاظ	N	N;NOM;MASC;SG;3
geruch	لحاظ	geruch	لحاظ	N	N;NOM;MASC;SG;3
geruch	بدبو	geruch	بدبو	N	N;NOM;MASC;SG;3
geruch	خوشبو	geruch	خوشبو	N	N;NOM;FEM;SG;3
geruch	بدبو	geruch	بدبو	N	N;NOM;MASC;SG;3
geruch	خوشبو	geruch	خوشبو	N	N;NOM;FEM;SG;3
geruch	خوشبو	geruch	خوشبو	N	N;NOM;FEM;SG;3
erdgas	گاز	erdgas	گاز		
feindlichen	ناموافق.	feindlich	ناموافق.	ADJ	ADJ
effektiv	نافذ	effektiv	نافذ	ADJ	ADJ
öffentlichkeitsarbeit	عنصر	öffentlichkeitsarbeit	عنصر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
öffentlichkeitsarbeit	رسوائی.	öffentlichkeitsarbeit	رسوائی.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
öffentlichkeitsarbeit	تشہیر	öffentlichkeitsarbeit	تشہیر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
öffentlichkeitsarbeit	رسوائی.	öffentlichkeitsarbeit	رسوائی.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
intellektuellen	معقول.	intellektuell	معقول.	ADJ	ADJ
intellektuellen	پختہ	intellektuell	پختہ	ADJ	ADJ
intellektuellen	ذہنی	intellektuell	ذہنی	ADJ	ADJ
konsum	خرچ	konsum	خرچ	N;SG	N;NOM;MASC;SG;3
fünfzig	50	fünfzig	50	NUM	NUM
heiß	مشتاقانہ.	heiß	مشتاقانہ.	ADJ	ADJ
heiß	برانگیختہ	heiß	برانگیختہ	ADJ	ADJ
heiß	سرگرم	heiß	سرگرم	ADJ	ADJ
shuttle	نال	shuttle	نال		
bestellung	قسم	bestellung	قسم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bestellung	فرمان	bestellung	فرمان	N;NOM;FEM;SG	N;NOM;MASC;SG;3
bestellung	ترتیب	bestellung	ترتیب	N;NOM;FEM;SG	N;NOM;FEM;SG;3
bestellung	قسم	bestellung	قسم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
fürchte	دھڑکا	fürchen	دھڑکا	V;IND;SG;3;PRS;FIN	V;PFV;MASC;SG;V.PTCP;ACT
spezies	زمرہ.	spezies	زمرہ.		
spezies	روکڑ	spezies	روکڑ		
populäre	مقبول	populär	مقبول	ADJ;NOM;FEM;PL	ADJ
eiserne	سخت	eisern	سخت	ADJ;NOM;FEM;PL	ADJ
ban	(	ban	(		
ban	(	ban	(		
zunge	جیبھ	zung	جیبھ		
edge	into	edg	into		
chat	(	chat	(		
subjektiv	موضوعی	subjektiv	موضوعی	ADJ	ADJ
volksabstimmung	طبقے	volksabstimmung	طبقہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	رکاوٹ	beschränkung	رکاوٹ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	مزاحمت	beschränkung	مزاحمت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	پابندی	beschränkung	پابندی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	رکاوٹ	beschränkung	رکاوٹ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	تحدید	beschränkung	تحدید	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	مزاحمت	beschränkung	مزاحمت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	معذوری	beschränkung	معذوری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	تحدید	beschränkung	تحدید	N;NOM;FEM;SG	N;NOM;MASC;SG;3
beschränkung	رکاوٹ	beschränkung	رکاوٹ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
betonung	زور	Betonung	زور	N;FEM;SG	N;NOM;MASC;SG;3
betonung	بیان	Betonung	بیان	N;FEM;SG	N;NOM;MASC;SG;3
betonung	سختی	Betonung	سختی	N;FEM;SG	N;NOM;MASC;SG;3
einführen	بلانا	einführen	بلانا	V;NFIN	V;MASC;SG;NFIN;ACT
ion	رواں.	ion	رواں.		
formell	ظاہری	formell	ظاہری	ADJ	ADJ
formell	واضح	formell	واضح	ADJ	ADJ
formell	اصولی	formell	اصولی	ADJ	ADJ
formell	رسمی	formell	رسمی	ADJ	ADJ
formell	ظاہری	formell	ظاہری	ADJ	ADJ
formell	واضح	formell	واضح	ADJ	ADJ
formell	اصولی	formell	اصولی	ADJ	ADJ
wanderer	سیلانی	wander	سیلانی	ADJ	ADJ
wanderer	سیلانی	wander	سیلانی	ADJ	ADJ
kostenlose	خالی	kostenlos	خالی	ADJ;NOM;FEM;PL	ADJ
lüge	into	lügen	into		
lüge	(	lügen	(		
variation	معیار	variation	معیار	N;SG	N;NOM;MASC;SG;3
variation	قیمت	variation	قیمت	N;SG	N;NOM;FEM;SG;3
heben	اٹھنے	heben	اٹھ	V;NFIN	V;NFIN;ACT
heben	ابھرنے	heben	ابھر	V;NFIN	V;NFIN
heben	ابھرنا	heben	ابھر	V;NFIN	V;MASC;SG;NFIN;ACT
verringern	گھٹانا	verringern	گھٹا	V;NFIN	V;SG;NFIN;ACT
dampf	(	dampf	(		
antiker	قدیم	antik	قدیم	ADJ	ADJ
antiker	متروک	antik	متروک	ADJ	ADJ
haufen	تودہ.	haufen	تودہ.		
haufen	in	haufen	in		
haufen	on	haufen	on		
haufen	اون.	haufen	اون.		
versehentlich	غیرمتوقع.	versehentlich	غیرمتوقع.	ADJ	ADJ
versehentlich	حادثاتی	versehentlich	حادثاتی	ADJ	ADJ
versehentlich	عارضی	versehentlich	عارضی	ADJ	ADJ
versehentlich	غیرارادی	versehentlich	غیرارادی	ADJ	ADJ
