van	din	van	din	ADP	ADP;ACC
inwoners	locuitori	inwoner	locuitor	N;PL	N;INDF;MASC;PL
inwoners	locuitori	inwoner	locuitor	N;PL	N;INDF;MASC;PL
inwoners	locuitorii	inwoner	locuitor	N;PL	N;DEF;MASC;PL
inwoners	rezidenti	inwoner	rezidenti	N;PL	N;INDF;MASC;PL
deel	parte	deel	parte	N;NEUT;SG	N;INDF;FEM;SG
deel	partea	deel	parte	N;NEUT;SG	N;DEF;FEM;SG
deel	cota	deel	cotă	N;NEUT;SG	N;DEF;FEM;SG
externe	extern	extern	extern	ADJ	ADJ;INDF;MASC;SG
externe	externe	extern	extern	ADJ	ADJ;INDF;FEM;PL
externe	externi	extern	extern	ADJ	ADJ;INDF;MASC;PL
externe	externa	extern	externa	ADJ	ADJ;DEF;FEM;SG
overleg	consultare	overleg	consultare	N;NEUT;SG	N;INDF;FEM;SG
overleg	consultarea	overleg	consultare	N;NEUT;SG	N;DEF;FEM;SG
overleg	consultare	overleg	consultare	N;NEUT;SG	N;INDF;FEM;SG
had	avut	hebben	avea	V;SG;PST;FIN	V;MASC;SG;V.PTCP
zou	ar	zullen	avea	V;SG;PST;FIN	V;3
waar	unde	waar	unde	ADV	ADV
veel	multe	veel	mult	PRO	PRO;FEM;PL;3
komt	vine	komen	veni	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
kunnen	pot	kunnen	putea	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
zie	vezi	zien	vedea	V;SG;PRS;FIN	V;IND;SG;2;PRS;FIN
geslacht	sexul	geslacht	sex	N;NEUT;SG	N;DEF;MASC;SG
geslacht	gen	geslacht	gen	N;NEUT;SG	N;INDF;MASC;SG
geslacht	sex	geslacht	sex	N;NEUT;SG	N;INDF;MASC;SG
geslacht	sexul	geslacht	sex	N;NEUT;SG	N;DEF;MASC;SG
geslacht	sex	geslacht	sex	N;NEUT;SG	N;INDF;MASC;SG
grote	mare	groot	mare	ADJ	ADJ;INDF;MASC;SG
grote	mari	groot	mare	ADJ	ADJ;INDF;PL
bar	barul	bar	bar	N;MASC+FEM;SG	N;DEF;MASC;SG
bar	bar	bar	bar	N;MASC+FEM;SG	N;INDF;MASC;SG
aantal	numar	aantal	numar	N;NEUT;SG	N;INDF;MASC;SG
aantal	numar	aantal	numar	N;NEUT;SG	N;INDF;MASC;SG
aantal	numarul	aantal	numar	N;NEUT;SG	N;DEF;MASC;SG
nieuwe	nou	nieuw	nou	ADJ	ADJ;INDF;MASC;SG
nieuwe	noua	nieuw	nou	ADJ	ADJ;DEF;FEM;SG
nieuwe	noua	nieuw	nou	ADJ	ADJ;DEF;FEM;SG
jaren	ani	jaar	an	N;PL	N;INDF;MASC;PL
jaren	anii	jaar	an	N;PL	N;DEF;MASC;PL
artikel	articolul	artikel	articol	N;NEUT;SG	N;DEF;MASC;SG
artikel	articol	artikel	articol	N;NEUT;SG	N;INDF;MASC;SG
gebied	zona	gebied	zonă	N;NEUT;SG	N;DEF;FEM;SG
gebied	zona	gebied	zonă	N;NEUT;SG	N;DEF;FEM;SG
gebied	zona	gebied	zonă	N;NEUT;SG	N;DEF;FEM;SG
gebied	zona	gebied	zonă	N;NEUT;SG	N;DEF;FEM;SG
gebied	suprafata	gebied	suprafată	N;NEUT;SG	N;DEF;FEM;SG
nederlandse	olandezi	nederlands	olandez	ADJ	ADJ;INDF;MASC;PL
nederlandse	olandez	nederlands	olandez	ADJ	ADJ;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	orasul	stad	oras	N;MASC+FEM;SG	N;DEF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	city	stad	city	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	oras	stad	oras	N;MASC+FEM;SG	N;INDF;MASC;SG
stad	orasul	stad	oras	N;MASC+FEM;SG	N;DEF;MASC;SG
stad	orasul	stad	oras	N;MASC+FEM;SG	N;DEF;MASC;SG
lijst	lista	lijst	listă	N;MASC+FEM;SG	N;DEF;FEM;SG
lijst	lista	lijst	listă	N;MASC+FEM;SG	N;DEF;FEM;SG
hier	aici	hier	aici	ADV	ADV
omdat	deoarece	omdat	deoarece	CONJ	CONJ;POS
tijd	timp	tijd	timp	N;MASC+FEM;SG	N;INDF;MASC;SG
tijd	ora	tijd	oră	N;MASC+FEM;SG	N;DEF;FEM;SG
tijd	timpul	tijd	timp	N;MASC+FEM;SG	N;DEF;MASC;SG
daar	acolo	daar	acolo	ADV	ADV
drie	trei	drie	trei	NUM	NUM;PL
vanaf	din	vanaf	din	ADP	ADP;ACC
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N
provincie	provincie	provincie	provincie	N;MASC+FEM;SG	N;INDF;FEM;SG
provincie	provincia	provincie	provincie	N;MASC+FEM;SG	N;DEF;FEM;SG
link	legatura	link	legatură	N;MASC+FEM;SG	N;DEF;FEM;SG
link	legatura	link	legatură	N;MASC+FEM;SG	N;DEF;FEM;SG
link	link	link	link	N;MASC+FEM;SG	N;INDF;MASC;SG
link	linkul	link	link	N;MASC+FEM;SG	N;DEF;MASC;SG
http	http	ht	http	N;MASC+FEM;SG	N
alleen	doar	alleen	doar	ADV	ADV
alleen	numai	alleen	numai	ADV	ADV
nederlands	olandezi	nederland	olandez	ADJ	ADJ;INDF;MASC;PL
nederlands	olandez	nederland	olandez	ADJ	ADJ;INDF;MASC;SG
eeuw	secolul	eeuw	secol	N;MASC+FEM;SG	N;DEF;MASC;SG
eeuw	secol	eeuw	secol	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	butterfly	vlinder	butterfly	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	fluture	vlinder	fluture	N;MASC+FEM;SG	N;INDF;MASC;SG
vlinder	fluturele	vlinder	fluture	N;MASC+FEM;SG	N;DEF;MASC;SG
bekend	cunoscut	bekend	cunoscut	ADJ	ADJ;INDF;MASC;SG
bekend	cunoscuta	bekend	cunoscuta	ADJ	ADJ;DEF;FEM;SG
bekend	cunoscute	bekend	cunoscut	ADJ	ADJ;INDF;FEM;PL
bekend	familiara	bekend	familiar	ADJ	ADJ;DEF;FEM;SG
bekend	familiare	bekend	familiar	ADJ	ADJ;INDF;FEM;PL
club	club	club	club	N;MASC+FEM;SG	N;INDF;MASC;SG
club	clubul	club	club	N;MASC+FEM;SG	N;DEF;MASC;SG
één	unu	één	unu	NUM	NUM;MASC;SG
maken	creeaza	maken	creează	V;NFIN	V;IND;SG;3;IPFV;FIN
maken	face	maken	face	V;NFIN	V;IND;SG;3;PRS;FIN
amerikaanse	american	amerikaans	american	ADJ	ADJ;INDF;MASC;SG
enkele	unele	enkele	unul	PRO	PRO;FEM;PL;3
enkele	unii	enkele	unul	PRO	PRO;MASC;PL;3
verschillende	diferit	verschillend	diferit	ADJ	ADJ;INDF;MASC;SG
verschillende	diferite	verschillend	diferit	ADJ	ADJ;INDF;FEM;PL
verschillende	diferita	verschillend	diferita	ADJ	ADJ;DEF;FEM;SG
verschillende	diferita	verschillend	diferita	ADJ	ADJ;DEF;FEM;SG
verschillende	diverse	verschillend	divers	ADJ	ADJ;INDF;FEM;PL
seizoen	anotimpul	seizoen	anotimp	N;NEUT;SG	N;DEF;MASC;SG
seizoen	sezonul	seizoen	sezon	N;NEUT;SG	N;DEF;MASC;SG
seizoen	sezon	seizoen	sezon	N;NEUT;SG	N;INDF;MASC;SG
seizoen	anotimp	seizoen	anotimp	N;NEUT;SG	N;INDF;MASC;SG
eigen	proprie	eigen	propriu	ADJ	ADJ;INDF;FEM;SG
eigen	proprii	eigen	propriu	ADJ	ADJ;INDF;PL
weg	departe	weg	departe	ADV	ADV
insect	insecta	insect	insecta	N;NEUT;SG	N;DEF;FEM;SG
insect	insecta	insect	insecta	N;NEUT;SG	N;DEF;FEM;SG
insect	bug	insect	bug	N;NEUT;SG	N;INDF;MASC;SG
insect	gandac	insect	gandac	N;NEUT;SG	N;INDF;MASC;SG
film	film	film	film	N;MASC+FEM;SG	N;INDF;MASC;SG
film	pelicula	film	pelicula	N;MASC+FEM;SG	N;DEF;FEM;SG
film	film	film	film	N;MASC+FEM;SG	N;INDF;MASC;SG
franse	francezi	frans	francez	ADJ	ADJ;INDF;MASC;PL
franse	francez	frans	francez	ADJ	ADJ;INDF;MASC;SG
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	N;DEF;FEM;SG
land	tara	land	tară	N;NEUT;SG	N;DEF;FEM;SG
land	tara	land	tară	N;NEUT;SG	N;DEF;FEM;SG
land	tara	land	tară	N;NEUT;SG	N;DEF;FEM;SG
land	tara	land	tară	N;NEUT;SG	N;DEF;FEM;SG
land	tara	land	tară	N;NEUT;SG	N;DEF;FEM;SG
land	teren	land	teren	N;NEUT;SG	N;INDF;MASC;SG
land	land	land	land	N;NEUT;SG	N;INDF;MASC;SG
werk	munca	werk	muncă	N;NEUT;SG	N;DEF;FEM;SG
werk	lucru	werk	lucru	N;NEUT;SG	N;INDF;MASC;SG
werk	munca	werk	muncă	N;NEUT;SG	N;DEF;FEM;SG
goed	buna	goed	bun	ADJ	ADJ;DEF;FEM;SG
goed	bun	goed	bun	ADJ	ADJ;INDF;MASC;SG
duitse	german	duits	german	ADJ	ADJ;INDF;MASC;SG
bestand	fisierul	bestand	fisier	N;NEUT;SG	N;DEF;MASC;SG
bestand	fisier	bestand	fisier	N;NEUT;SG	N;INDF;MASC;SG
bestand	fisier	bestand	fisier	N;NEUT;SG	N;INDF;MASC;SG
bestand	dosar	bestand	dosar	N;NEUT;SG	N;INDF;MASC;SG
mensen	oamenii	mens	om	N;PL	N;DEF;MASC;PL
mensen	oamenii	mens	om	N;PL	N;DEF;MASC;PL
mensen	oameni	mens	om	N;PL	N;INDF;MASC;PL
mensen	persoane	mens	persoană	N;PL	N;INDF;FEM;PL
vaak	comun	vaak	comun	ADJ	ADJ;INDF;MASC;SG
vaak	frecvente	vaak	frecvent	ADJ	ADJ;INDF;FEM;PL
orde	comanda	orde	comandă	N;MASC+FEM;SG	N;DEF;FEM;SG
orde	ordinea	orde	ordine	N;MASC+FEM;SG	N;DEF;FEM;SG
orde	comanda	orde	comandă	N;MASC+FEM;SG	N;DEF;FEM;SG
orde	ordine	orde	ordine	N;MASC+FEM;SG	N;INDF;FEM;SG
orde	ordin	orde	ordin	N;MASC+FEM;SG	N;INDF;MASC;SG
groot	mare	groot	mare	ADJ	ADJ;INDF;MASC;SG
groot	mari	groot	mare	ADJ	ADJ;INDF;PL
groot	mare	groot	mare	ADJ	ADJ;INDF;MASC;SG
marine	marina	marine	marină	N;MASC+FEM;SG	N;DEF;FEM;SG
marine	navy	marine	navy	N;MASC+FEM;SG	N;INDF;MASC;SG
marine	marina	marine	marină	N;MASC+FEM;SG	N;DEF;FEM;SG
kerk	biserica	kerk	biserică	N;MASC+FEM;SG	N;DEF;FEM;SG
kerk	biserica	kerk	biserică	N;MASC+FEM;SG	N;DEF;FEM;SG
regio	regiunea	regio	regiune	N;MASC+FEM;SG	N;DEF;FEM;SG
regio	regiune	regio	regiune	N;MASC+FEM;SG	N;INDF;FEM;SG
oppervlakte	zona	oppervlakte	zonă	N;MASC+FEM;SG	N;DEF;FEM;SG
oppervlakte	zona	oppervlakte	zonă	N;MASC+FEM;SG	N;DEF;FEM;SG
oppervlakte	suprafata	oppervlakte	suprafată	N;MASC+FEM;SG	N;DEF;FEM;SG
komen	venind	komen	veni	V;NFIN	V;V.MSDR
komen	vin	komen	veni	V;NFIN	V;IND;PL;3;PRS;FIN
ongeveer	aproximativ	ongeveer	aproximativ	ADV	ADV
php	php	php	php	N;MASC+FEM;SG	N
dorp	satul	dorp	sat	N;NEUT;SG	N;DEF;MASC;SG
dorp	satului	dorp	sat	N;NEUT;SG	N;DEF;MASC;SG
dorp	sat	dorp	sat	N;NEUT;SG	N;INDF;MASC;SG
plaatsen	localuri	plaats	local	N;PL	N;INDF;FEM;PL
plaatsen	locuri	plaats	loc	N;PL	N;INDF;FEM;PL
leven	viata	leven	viată	N;NEUT;SG	N;DEF;FEM;SG
leven	viata	leven	viată	N;NEUT;SG	N;DEF;FEM;SG
leven	viata	leven	viată	N;NEUT;SG	N;DEF;FEM;SG
leven	viata	leven	viată	N;NEUT;SG	N;DEF;FEM;SG
leven	viata	leven	viată	N;NEUT;SG	N;DEF;FEM;SG
leven	traiasca	leven	traiască	N;NEUT;SG	N;DEF;FEM;SG
register	registru	register	registru	N;NEUT;SG	N;INDF;MASC;SG
register	inregistrare	register	inregistrare	N;NEUT;SG	N;INDF;FEM;SG
register	registru	register	registru	N;NEUT;SG	N;INDF;MASC;SG
zal	va	zullen	vrea	V;SG;PRS;FIN	V;SG;3
meter	metru	meter	metru	N;MASC+FEM;SG	N;INDF;MASC;SG
meter	contor	meter	contor	N;MASC+FEM;SG	N;INDF;MASC;SG
meter	metru	meter	metru	N;MASC+FEM;SG	N;INDF;MASC;SG
vier	patru	vier	patru	NUM	NUM;PL
zeer	foarte	zeer	foarte	ADV	ADV
top	top	top	top	N;MASC+FEM;SG	N;INDF;MASC;SG
top	topul	top	top	N;MASC+FEM;SG	N;DEF;MASC;SG
top	summitul	top	summit	N;MASC+FEM;SG	N;DEF;MASC;SG
top	summit	top	summit	N;MASC+FEM;SG	N;INDF;MASC;SG
oude	vechi	oud	vechi	ADJ	ADJ;INDF;MASC;SG
oude	veche	oud	vechi	ADJ	ADJ;INDF;FEM;SG
ronde	runda	ronde	runda	N;MASC+FEM;SG	N;DEF;FEM;SG
ronde	rotunda	ronde	rotunda	N;MASC+FEM;SG	N;DEF;FEM;SG
ronde	runda	ronde	runda	N;MASC+FEM;SG	N;DEF;FEM;SG
groep	grupa	groep	grupă	N;MASC+FEM;SG	N;DEF;FEM;SG
groep	grup	groep	grup	N;MASC+FEM;SG	N;INDF;MASC;SG
groep	grupul	groep	grup	N;MASC+FEM;SG	N;DEF;MASC;SG
groep	grupa	groep	grupă	N;MASC+FEM;SG	N;DEF;FEM;SG
goals	obiectivele	goal	obiectiv	N;PL	N;DEF;FEM;PL
goals	goluri	goal	gol	N;PL	N;INDF;FEM;PL
goals	obiective	goal	obiectiv	N;PL	N;INDF;FEM;PL
gebruik	utilizare	gebruik	utilizare	N;NEUT;SG	N;INDF;FEM;SG
gebruik	folosire	gebruik	folosire	N;NEUT;SG	N;INDF;FEM;SG
gebruik	utilizarea	gebruik	utilizare	N;NEUT;SG	N;DEF;FEM;SG
gebruik	utilizare	gebruik	utilizare	N;NEUT;SG	N;INDF;FEM;SG
werken	muncind	werken	munci	V;NFIN	V;V.MSDR
werken	functioneaza	werken	functiona	V;NFIN	V;IND;SG;3;IPFV;FIN
iets	ceva	iets	ceva	PRO;3	PRO;SG;3
kleine	mic	klein	mic	ADJ	ADJ;INDF;MASC;SG
kleine	mica	klein	mic	ADJ	ADJ;DEF;FEM;SG
kleine	mici	klein	mic	ADJ	ADJ;INDF;PL
kleine	mic	klein	mic	ADJ	ADJ;INDF;MASC;SG
zien	vezi	zien	vedea	V;NFIN	V;IND;SG;2;PRS;FIN
album	album	album	album	N;NEUT;SG	N;INDF;MASC;SG
album	albumul	album	album	N;NEUT;SG	N;DEF;MASC;SG
mogelijk	posibile	mogelijk	posibil	ADJ	ADJ;INDF;FEM;PL
mogelijk	posibila	mogelijk	posibil	ADJ	ADJ;DEF;FEM;SG
mogelijk	posibila	mogelijk	posibil	ADJ	ADJ;DEF;FEM;SG
wil	vrei	willen	vrea	V;SG;PRS;FIN	V;IND;SG;2;PRS;FIN
wil	vreau	willen	vrea	V;SG;PRS;FIN	V;IND;SG;1;PRS;FIN
staten	statele	state	stat	N;PL	N;DEF;FEM;PL
staten	state	state	stat	N;PL	N;INDF;FEM;PL
staten	stari	state	stare	N;PL	N;INDF;FEM;PL
station	statie	station	statie	N;NEUT;SG	N;INDF;FEM;SG
station	gara	station	gară	N;NEUT;SG	N;DEF;FEM;SG
station	statia	station	statie	N;NEUT;SG	N;DEF;FEM;SG
station	statie	station	statie	N;NEUT;SG	N;INDF;FEM;SG
station	statie	station	statie	N;NEUT;SG	N;INDF;FEM;SG
station	gara	station	gară	N;NEUT;SG	N;DEF;FEM;SG
zoon	fiul	zoon	fiu	N;MASC+FEM;SG	N;DEF;MASC;SG
zoon	fiu	zoon	fiu	N;MASC+FEM;SG	N;INDF;MASC;SG
man	barbat	man	barbat	N;MASC+FEM;SG	N;INDF;MASC;SG
man	om	man	om	N;MASC+FEM;SG	N;INDF;MASC;SG
man	omul	man	om	N;MASC+FEM;SG	N;DEF;MASC;SG
man	barbat	man	barbat	N;MASC+FEM;SG	N;INDF;MASC;SG
water	apa	water	apă	N;NEUT;SG	N;DEF;FEM;SG
water	apa	water	apă	N;NEUT;SG	N;DEF;FEM;SG
begin	start	begin	start	N;NEUT;SG	N;INDF;MASC;SG
begin	pornire	begin	pornire	N;NEUT;SG	N;INDF;FEM;SG
till	pana	till	pană	N;MASC+FEM;SG	N;DEF;FEM;SG
koning	regele	koning	rege	N;MASC+FEM;SG	N;DEF;MASC;SG
koning	king	koning	king	N;MASC+FEM;SG	N;INDF;MASC;SG
koning	rege	koning	rege	N;MASC+FEM;SG	N;INDF;MASC;SG
slechts	doar	slechts	doar	ADV	ADV
slechts	numai	slechts	numai	ADV	ADV
periode	perioada	periode	perioadă	N;MASC+FEM;SG	N;DEF;FEM;SG
periode	perioada	periode	perioadă	N;MASC+FEM;SG	N;DEF;FEM;SG
volkstelling	recensamantului	volkstelling	recensamant	N;MASC+FEM;SG	N;DEF;MASC;SG
volkstelling	recensamantul	volkstelling	recensamant	N;MASC+FEM;SG	N;DEF;MASC;SG
volkstelling	recensamant	volkstelling	recensamant	N;MASC+FEM;SG	N;INDF;MASC;SG
officiële	oficial	officeel	oficial	ADJ	ADJ;INDF;MASC;SG
officiële	oficiale	officeel	oficial	ADJ	ADJ;INDF;FEM;PL
officiële	oficiala	officeel	oficială	ADJ	ADJ;DEF;FEM;SG
officiële	oficiala	officeel	oficială	ADJ	ADJ;DEF;FEM;SG
lid	membru	lid	membru	N;NEUT;SG	N;INDF;MASC;SG
lid	membra	lid	membră	N;NEUT;SG	N;DEF;FEM;SG
lid	membrul	lid	membru	N;NEUT;SG	N;DEF;MASC;SG
titel	caption	titel	caption	N;MASC+FEM;SG	N;INDF;MASC;SG
titel	descriere	titel	descriere	N;MASC+FEM;SG	N;INDF;FEM;SG
titel	legenda	titel	legendă	N;MASC+FEM;SG	N;DEF;FEM;SG
titel	titlul	titel	titlu	N;MASC+FEM;SG	N;DEF;MASC;SG
titel	titlu	titel	titlu	N;MASC+FEM;SG	N;INDF;MASC;SG
nieuw	nou	nieuw	nou	ADJ	ADJ;INDF;MASC;SG
nieuw	noua	nieuw	nou	ADJ	ADJ;DEF;FEM;SG
nieuw	noua	nieuw	nou	ADJ	ADJ;DEF;FEM;SG
nummer	numar	nummer	numar	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	numar	nummer	numar	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	numarul	nummer	numar	N;MASC+FEM;SG	N;DEF;MASC;SG
nummer	cantec	nummer	cantec	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	song	nummer	song	N;MASC+FEM;SG	N;INDF;MASC;SG
nummer	melodie	nummer	melodie	N;MASC+FEM;SG	N;INDF;FEM;SG
nummer	cantec	nummer	cantec	N;MASC+FEM;SG	N;INDF;MASC;SG
lang	lung	lang	lung	ADJ	ADJ;INDF;MASC;SG
lang	lunga	lang	lung	ADJ	ADJ;DEF;FEM;SG
tekst	text	tekst	text	N;MASC+FEM;SG	N;INDF;MASC;SG
tekst	textul	tekst	text	N;MASC+FEM;SG	N;DEF;MASC;SG
vinden	gaseste	vinden	gaseste	V;NFIN	V;IND;SG;3;PRS;FIN
vinden	gaseste	vinden	gaseste	V;NFIN	V;IND;SG;3;PRS;FIN
pagina	paginii	pagina	pagină	N;MASC+FEM;SG	N;DEF;FEM;SG
pagina	pagina	pagina	pagină	N;MASC+FEM;SG	N;DEF;FEM;SG
pagina	pagina	pagina	pagină	N;MASC+FEM;SG	N;DEF;FEM;SG
noord	nordul	noord	nord	N;NEUT;SG	N;DEF;MASC;SG
noord	nord	noord	nord	N;NEUT;SG	N;INDF;MASC;SG
noord	noord	noord	noord	N;NEUT;SG	N;INDF;MASC;SG
bron	sursa	bron	sursă	N;MASC+FEM;SG	N;DEF;FEM;SG
bron	sursa	bron	sursă	N;MASC+FEM;SG	N;DEF;FEM;SG
district	districtul	district	district	N;NEUT;SG	N;DEF;MASC;SG
district	district	district	district	N;NEUT;SG	N;INDF;MASC;SG
daarna	atunci	daarna	atunci	ADV	ADV
daarna	apoi	daarna	apoi	ADV	ADV
band	trupa	band	trupă	N;MASC+FEM;SG	N;DEF;FEM;SG
band	trupa	band	trupă	N;MASC+FEM;SG	N;DEF;FEM;SG
band	formatie	band	formatie	N;MASC+FEM;SG	N;INDF;FEM;SG
band	formatie	band	formatie	N;MASC+FEM;SG	N;INDF;FEM;SG
west	vest	west	vest	N;MASC+FEM;SG	N;INDF;MASC;SG
west	occident	west	occident	N;MASC+FEM;SG	N;INDF;MASC;SG
west	vestul	west	vest	N;MASC+FEM;SG	N;DEF;MASC;SG
soorten	specii	soort	specie	N;PL	N;INDF;FEM;PL
soorten	tipuri	soort	tip	N;PL	N;INDF;FEM;PL
soorten	tipurile	soort	tip	N;PL	N;DEF;FEM;PL
dec	dec	dec	dec	N;MASC+FEM;SG	N;INDF;MASC
boven	deasupra	boven	deasupra	ADP	ADP;GEN
vorm	forma	vorm	formă	N;MASC+FEM;SG	N;DEF;FEM;SG
vorm	forma	vorm	formă	N;MASC+FEM;SG	N;DEF;FEM;SG
vorm	formular	vorm	formular	N;MASC+FEM;SG	N;INDF;MASC;SG
vorm	forma	vorm	formă	N;MASC+FEM;SG	N;DEF;FEM;SG
vorm	forma	vorm	formă	N;MASC+FEM;SG	N;DEF;FEM;SG
vorm	formularul	vorm	formular	N;MASC+FEM;SG	N;DEF;MASC;SG
beschreven	descrise	beschrijven	descrie	V;V.PTCP	V;IND;SG;3;PST;FIN
huidige	actual	huidig	actual	ADJ	ADJ;INDF;MASC;SG
huidige	actuala	huidig	actual	ADJ	ADJ;DEF;FEM;SG
actief	active	actief	activ	ADJ	ADJ;INDF;FEM;PL
actief	activi	actief	activ	ADJ	ADJ;INDF;MASC;PL
actief	activ	actief	activ	ADJ	ADJ;INDF;MASC;SG
actief	activa	actief	activa	ADJ	ADJ;DEF;FEM;SG
hoe	cum	hoe	cum	ADV	ADV
klasse	clasa	klasse	clasă	N;MASC+FEM;SG	N;DEF;FEM;SG
klasse	clasa	klasse	clasă	N;MASC+FEM;SG	N;DEF;FEM;SG
dag	dag	dag	da	N;MASC+FEM;SG	N;INDF;MASC;SG
dag	zi	dag	zi	N;MASC+FEM;SG	N;INDF;FEM;SG
dag	ziua	dag	zi	N;MASC+FEM;SG	N;DEF;FEM;SG
artikelen	articolele	artikel	articol	N;PL	N;DEF;FEM;PL
artikelen	articole	artikel	articol	N;PL	N;INDF;FEM;PL
universiteit	facultate	universiteit	facultate	N;MASC+FEM;SG	N;INDF;FEM;SG
universiteit	university	universiteit	university	N;MASC+FEM;SG	N;INDF;MASC;SG
universiteit	universitate	universiteit	universitate	N;MASC+FEM;SG	N;INDF;FEM;SG
universiteit	universitatea	universiteit	universitate	N;MASC+FEM;SG	N;DEF;FEM;SG
universiteit	facultate	universiteit	facultate	N;MASC+FEM;SG	N;INDF;FEM;SG
universiteit	facultatea	universiteit	facultate	N;MASC+FEM;SG	N;DEF;FEM;SG
universiteit	colegiul	universiteit	colegiu	N;MASC+FEM;SG	N;DEF;MASC;SG
universiteit	colegiu	universiteit	colegiu	N;MASC+FEM;SG	N;INDF;MASC;SG
zelfs	chiar	zelfs	chiar	ADV	ADV
vader	tata	vader	tată	N;MASC+FEM;SG	N;DEF;MASC;SG
vader	tata	vader	tată	N;MASC+FEM;SG	N;DEF;MASC;SG
vader	tata	vader	tată	N;MASC+FEM;SG	N;DEF;MASC;SG
vader	tata	vader	tată	N;MASC+FEM;SG	N;DEF;MASC;SG
belgische	belgiana	belgisch	belgiană	ADJ	ADJ;DEF;FEM;SG
belgische	belgieni	belgisch	belgian	ADJ	ADJ;INDF;MASC;PL
