スクロール	свитък	スクロール	свитък	N	N;INDF;MASC;SG
従兄弟	братовчедка	従兄弟	братовчедка	N	N;INDF;FEM;SG
痴漢	опипване	痴漢	опипване	N	N;INDF;NEUT;SG
用心	бияч	用心	бияч	N	N;INDF;FEM;SG
ギルド	гилдията	ギルド	гилдия	N	N;DEF;FEM;SG
ギルド	гилдия	ギルド	гилд	N	N;INDF;FEM;SG
ギルド	гилдии	ギルド	гилдия	N	N;INDF;FEM;PL
字体	глиф	字体	глиф	N	N;INDF;MASC;SG
ルクス	люкс	ルクス	люкс	N	N;INDF;MASC;SG
ルクス	лукс	ルクス	лукс	N	N;INDF;MASC;SG
ステッカー	лепенка	ステッカー	лепенка	N	N;INDF;FEM;SG
ステッカー	стикер	ステッカー	стикер	N	N;INDF;MASC;SG
ステッカー	стикери	ステッカー	стикер	N	N;INDF;MASC;PL
ステッカー	лепенки	ステッカー	лепенка	N	N;INDF;FEM;PL
浅い	повърхностен	浅い	повърхностен	ADJ	ADJ;INDF;MASC;SG
浅い	повърхностни	浅い	повърхностен	ADJ	ADJ;INDF;PL
浅い	повърхностна	浅い	повърхностен	ADJ	ADJ;INDF;FEM;SG
カブ	ряпа	カブ	ряп	N	N;INDF;FEM;SG
故人	покойник	故人	покойник	N	N;INDF;MASC;SG
ハンド	хандбал	ハンド	хандбал	N	N;INDF;FEM;SG
エッグ	яйца	エッグ	яйце	N	N;INDF;NEUT;PL
エッグ	яйцата	エッグ	яйце	N	N;DEF;NEUT;PL
エッグ	яйцето	エッグ	яйце	N	N;DEF;NEUT;SG
エッグ	яйца	エッグ	яйце	N	N;INDF;NEUT;PL
エッグ	яйце	エッグ	яйце	N	N;INDF;NEUT;SG
スキン	кожи	スキン	кожа	N	N;INDF;FEM;PL
スキン	кожата	スキン	кожа	N	N;DEF;FEM;SG
スキン	кожа	スキン	кожа	N	N;INDF;FEM;SG
ピンチ	щипка	ピンチ	щипка	N	N;INDF;FEM;SG
ヌード	голотата	ヌード	голота	N	N;DEF;FEM;SG
ヌード	голота	ヌード	голота	N	N;INDF;FEM;SG
ヌード	голо	ヌード	гол	N	N;INDF;NEUT;SG
ヌード	гола	ヌード	гол	N	N;INDF;MASC;SG
公害	замърсяване	公害	замърсяване	N	N;INDF;NEUT;SG
インフルエンザ	грип	インフルエンザ	грип	N	N;INDF;MASC;SG
インフルエンザ	инфлуенца	インフルエンザ	инфлуенц	N	N;INDF;FEM;SG
インフルエンザ	грип	インフルエンザ	грип	N	N;INDF;MASC;SG
関税	тарифата	関税	тарифа	N	N;DEF;FEM;SG
関税	тарифа	関税	тарифа	N	N;INDF;FEM;SG
毒性	токсичност	毒性	токсичност	N	N;INDF;FEM;SG
メカニズム	механизмите	メカニズム	механизъм	N	N;DEF;MASC;PL
メカニズム	механизми	メカニズム	механизъм	N	N;INDF;MASC;PL
メカニズム	механизъм	メカニズム	механизъм	N	N;INDF;MASC;SG
ファンタジア	фантазия	ファンタジア	фантазия	N	N;INDF;FEM;SG
ネギ	праз	ネギ	праз	N	N;INDF;MASC;SG
体質	конституция	体質	конституция	N	N;INDF;FEM;SG
体質	конституцията	体質	конституция	N	N;DEF;FEM;SG
イヌ	куче	イヌ	куче	N	N;INDF;NEUT;SG
イヌ	кучето	イヌ	куче	N	N;DEF;NEUT;SG
イヌ	дог	イヌ	дог	N	N;INDF;MASC;SG
苦しみ	страда	苦しむ	страдам	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
キノコ	гъби	キノコ	гъба	N	N;INDF;FEM;PL
キノコ	гъби	キノコ	гъба	N	N;INDF;FEM;PL
キノコ	гъба	キノコ	гъба	N	N;INDF;FEM;SG
厚い	дебела	厚い	дебел	ADJ	ADJ;INDF;FEM;SG
厚い	плътна	厚い	плътна	ADJ	ADJ;INDF;FEM;SG
厚い	дебел	厚い	дебел	ADJ	ADJ;INDF;MASC;SG
終着	терминус	終着	терминус	N	N;INDF;MASC;SG
ヤンキー	янки	ヤンキー	янки	N	N;INDF;MASC;SG
証人	свидетелите	証人	свидетел	N	N;DEF;MASC;PL
証人	свидетели	証人	свидетел	N	N;INDF;MASC;PL
証人	очевидци	証人	очевидец	N	N;INDF;MASC;PL
証人	свидетел	証人	свидетел	N	N;INDF;MASC;SG
証人	свидетели	証人	свидетел	N	N;INDF;MASC;PL
石碑	стелата	石碑	стела	N	N;DEF;FEM;SG
シリアル	сериен	シリアル	сериен	N	N;INDF;MASC;SG
ウィンドウ	прозореца	ウィンドウ	прозорец	N	N;DEF;MASC;SG
ウィンドウ	прозорецът	ウィンドウ	прозорец	N	N;DEF;MASC;SG
ウィンドウ	прозорец	ウィンドウ	прозорец	N	N;INDF;MASC;SG
乱闘	кавга	乱闘	кавга	N	N;INDF;FEM;SG
乱闘	сбиване	乱闘	сбиване	N	N;INDF;NEUT;SG
水分	влажност	水分	влажност	N	N;INDF;FEM;SG
水分	влага	水分	влага	N	N;INDF;FEM;SG
遊ぶ	играе	遊ぶ	играя	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
遊ぶ	играй	遊ぶ	играй	V	V;IPFV;IMP;SG;2;FIN
遊ぶ	свири	遊ぶ	свиря	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
決済	плащания	決済	плащане	N	N;INDF;NEUT;PL
決済	сетълмент	決済	сетълмент	N	N;INDF;MASC;SG
決済	уреждане	決済	уреждане	N	N;INDF;NEUT;SG
決済	селище	決済	селище	N	N;INDF;NEUT;SG
決済	заплащане	決済	заплащане	N	N;INDF;NEUT;SG
決済	плащане	決済	плащане	N	N;INDF;NEUT;SG
サニー	слънчев	サニー	слънчев	N	N;INDF;MASC;SG
ディスコ	дискотека	ディスコ	дискотека	N	N;INDF;FEM;SG
ディスコ	диско	ディスコ	диско	N	N;INDF;MASC;SG
ブタ	прасета	ブタ	прасе	N	N;INDF;NEUT;PL
ブタ	свине	ブタ	свина	N	N;INDF;MASC;PL
ブタ	прасе	ブタ	прасе	N	N;INDF;NEUT;SG
ブタ	свиня	ブタ	свиням-(се)	N	N;INDF;FEM;SG
ノーマン	норман	ノーマン	норман	N	N;INDF;MASC;SG
尾翼	опашка	尾翼	опашка	N	N;INDF;FEM;SG
尾翼	опашката	尾翼	опашка	N	N;DEF;FEM;SG
悪意	злоба	悪意	злоб	N	N;INDF;FEM;SG
オタク	зубър	オタク	зубър	N	N;INDF;MASC;SG
オタク	зубър	オタク	зубър	N	N;INDF;MASC;SG
屋台	сергии	屋台	сергия	N	N;INDF;FEM;PL
伝導	проводимост	伝導	проводимост	N	N;INDF;FEM;SG
ベストセラー	бестселър	ベストセラー	бестселър	N	N;INDF;MASC;SG
ピコ	пико	ピコ	пико	N	N;INDF;MASC;SG
壁画	стенопис	壁画	стенопис	N	N;INDF;MASC;SG
エンブレム	емблеми	エンブレム	емблема	N	N;INDF;FEM;PL
エンブレム	герб	エンブレム	герб	N	N;INDF;MASC;SG
エンブレム	емблема	エンブレム	емблем	N	N;INDF;FEM;SG
素敵	прекрасен	素敵	прекрасен	ADJ	ADJ;INDF;MASC;SG
素敵	прекрасни	素敵	прекрасен	ADJ	ADJ;INDF;PL
素敵	прекрасна	素敵	прекрасна	ADJ	ADJ;INDF;FEM;SG
素敵	хубав	素敵	хубав	ADJ	ADJ;INDF;MASC;SG
素敵	хубава	素敵	хубав	ADJ	ADJ;INDF;FEM;SG
思想家	мислители	思想家	мислител	N	N;INDF;MASC;PL
ピクセル	пиксел	ピクセル	пиксел	N	N;INDF;MASC;SG
ピクセル	пиксели	ピクセル	пиксел	N	N;INDF;FEM;PL
コントローラ	контролери	コントローラ	контролер	N	N;INDF;FEM;PL
コントローラ	контрольор	コントローラ	контрольор	N	N;INDF;MASC;SG
コントローラ	контролер	コントローラ	контролер	N	N;INDF;MASC;SG
外科	хирург	外科	хирург	N	N;INDF;MASC;SG
外科	хирургът	外科	хирург	N	N;DEF;MASC;SG
気体	бензин	気体	бензин	N	N;INDF;MASC;SG
気体	газове	気体	газ	N	N;INDF;MASC;PL
気体	газ	気体	газ	N	N;INDF;MASC;SG
気体	газове	気体	газ	N	N;INDF;MASC;PL
処罰	накаже	処罰	накажа	V	V;PFV;IND;SG;3;PST;FIN;ACT
ロータス	лотос	ロータス	лотос	N	N;INDF;MASC;SG
ロータス	лотус	ロータス	лотус	N	N;INDF;MASC;SG
キャンセル	отмени	キャンセル	отменя	V	V;PFV;IMP;SG;2;FIN
キャンセル	отменена	キャンセル	отменя	V	V;PFV;INDF;FEM;SG;V.PTCP;PASS
キャンセル	отменени	キャンセル	отменя	V	V;PFV;INDF;PL;V.PTCP;PASS
キャンセル	отменено	キャンセル	отменя	V	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
キャンセル	отменен	キャンセル	отменя	V	V;PFV;INDF;MASC;SG;V.PTCP;PASS
キャンセル	отменена	キャンセル	отменя	V	V;PFV;INDF;FEM;SG;V.PTCP;PASS
キャンセル	отменени	キャンセル	отменя	V	V;PFV;INDF;PL;V.PTCP;PASS
キャンセル	отменено	キャンセル	отменя	V	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
キャンセル	отменен	キャンセル	отменя	V	V;PFV;INDF;MASC;SG;V.PTCP;PASS
不完全	несъвършен	不完全	несъвършен	ADJ	ADJ;INDF;MASC;SG
幼虫	ларвите	幼虫	ларва	N	N;DEF;FEM;PL
幼虫	ларви	幼虫	ларвя	N	N;INDF;FEM;PL
悪	кошмари	悪	кошмар	N	N;INDF;MASC;PL
悪	кошмарите	悪	кошмар	N	N;DEF;MASC;PL
悪	кошмар	悪	кошмар	N	N;INDF;MASC;SG
悪	кошмари	悪	кошмар	N	N;INDF;MASC;PL
演目	програми	演目	програма	N	N;INDF;FEM;PL
解読	дешифрира	解読	дешифрирам	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
出血	кърви	出血	кървю	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
タンゴ	танго	タンゴ	танго	N	N;INDF;NEUT;SG
キックボクシング	кикбокс	キックボクシング	кикбокс	N	N;INDF;MASC;SG
諮問	консултация	諮問	консултация	N	N;INDF;FEM;SG
諮問	консултиране	諮問	консултиране	N	N;INDF;NEUT;SG
諮問	консултации	諮問	консултация	N	N;INDF;FEM;PL
火事	огън	火事	огън	N	N;INDF;MASC;SG
火事	пожар	火事	пожар	N	N;INDF;MASC;SG
赤道	екватора	赤道	екватор	N	N;DEF;MASC;SG
国々	държави	国々	държава	N	N;INDF;FEM;PL
国々	страни	国々	страна	N	N;INDF;FEM;PL
タコ	октопод	タコ	октопод	N	N;INDF;MASC;SG
内訳	разбивка	内訳	разбивка	N	N;INDF;FEM;SG
内訳	срив	内訳	срив	N	N;INDF;MASC;SG
ジャイアント	гигант	ジャイアント	гигант	N	N;INDF;MASC;SG
銃弾	куршум	銃弾	куршум	N	N;INDF;MASC;SG
グラミー	трихогастер	グラミー	трихогастер	N	N;INDF;MASC;SG
グラミー	грами	グラミー	грам	N	N;INDF;FEM;PL
抗体	антитела	抗体	антител	N	N;DEF;MASC;SG
抗体	антителата	抗体	антител	N	N;DEF;FEM;SG
抗体	имуноглобулин	抗体	имуноглобулин	N	N;INDF;MASC;SG
抗体	антитела	抗体	антител	N	N;DEF;MASC;SG
風船	балон	風船	балон	N	N;INDF;MASC;SG
風船	балони	風船	балон	N	N;INDF;MASC;PL
おばさん	леля	おばさん	леля	N	N;INDF;FEM;SG
リターン	връщане	リターン	връщане	N	N;INDF;NEUT;SG
リターン	завръщане	リターン	завръщане	N	N;INDF;NEUT;SG
安定	стабилност	安定	стабилност	N	N;INDF;FEM;SG
安定	устойчивост	安定	устойчивост	N	N;INDF;FEM;SG
コメディアン	комедиант	コメディアン	комедиант	N	N;INDF;MASC;SG
コメディアン	комик	コメディアン	комик	N	N;INDF;MASC;SG
コメディアン	комици	コメディアン	комица	N	N;INDF;MASC;PL
副官	адютант	副官	адютант	N	N;INDF;MASC;SG
エレクトロニクス	електроника	エレクトロニクス	електроника	N	N;INDF;FEM;SG
エレクトロニクス	електрониката	エレクトロニクス	електроника	N	N;DEF;FEM;SG
パトロール	патрул	パトロール	патрул	N	N;INDF;MASC;SG
チャット	чата	チャット	чата	N	N;DEF;MASC;SG
チャット	чат	チャット	чат	N	N;INDF;MASC;SG
糖尿病	диабет	糖尿病	диабет	N	N;INDF;MASC;SG
バーガー	бургер	バーガー	бургер	N	N;INDF;MASC;SG
バーガー	хамбургер	バーガー	хамбургер	N	N;INDF;MASC;SG
バーガー	бъргър	バーガー	бъргър	N	N;INDF;MASC;SG
カリウム	калиев	カリウム	калиев	N	N;INDF;MASC;SG
カリウム	калий	カリウム	калий	N	N;INDF;MASC;SG
サバイバル	преживяемост	サバイバル	преживяемост	N	N;INDF;FEM;SG
サバイバル	оцеляване	サバイバル	оцеляване	N	N;INDF;NEUT;SG
サバイバル	оцеляването	サバイバル	оцеляване	N	N;DEF;NEUT;SG
蛍光	флуоресценция	蛍光	флуоресценция	N	N;INDF;FEM;SG
可愛い	сладка	可愛い	сладка	ADJ	ADJ;INDF;FEM;SG
可愛い	сладък	可愛い	сладък	ADJ	ADJ;INDF;MASC;SG
可愛い	хубава	可愛い	хубав	ADJ	ADJ;INDF;FEM;SG
スピリット	дух	スピリット	дух	N	N;INDF;MASC;SG
民兵	милиция	民兵	милиция	N	N;INDF;FEM;SG
民兵	милицията	民兵	милиция	N	N;DEF;FEM;SG
側室	наложница	側室	наложница	N	N;INDF;FEM;SG
側室	наложници	側室	наложник	N	N;INDF;MASC;PL
コンボ	комбинация	コンボ	комбинация	N	N;INDF;FEM;SG
感度	чувствителност	感度	чувствителност	N	N;INDF;FEM;SG
正午	обяд	正午	обяд	N	N;INDF;MASC;SG
正午	обед	正午	обед	N	N;INDF;MASC;SG
正午	обед	正午	обед	N	N;INDF;MASC;SG
口座	сметка	口座	сметка	N	N;INDF;FEM;SG
口座	акаунт	口座	акаунт	N	N;INDF;MASC;SG
説教	проповядва	説教	проповядвам-(се)	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
フルーツ	плодове	フルーツ	плод	N	N;INDF;MASC;PL
フルーツ	плод	フルーツ	плод	N	N;INDF;MASC;SG
フルーツ	плодове	フルーツ	плод	N	N;INDF;MASC;PL
著しい	забележителен	著しい	забележителен	ADJ	ADJ;INDF;MASC;SG
著しい	забележителна	著しい	забележителен	ADJ	ADJ;INDF;FEM;SG
チャネル	канали	チャネル	канал	N	N;INDF;MASC;PL
チャネル	канал	チャネル	канал	N	N;INDF;MASC;SG
チャネル	каналът	チャネル	канал	N	N;DEF;MASC;SG
尾根	хребет	尾根	хребет	N	N;INDF;MASC;SG
鋭い	остри	鋭い	остър	ADJ	ADJ;INDF;PL
お茶	чай	お茶	чай	N	N;INDF;MASC;SG
クローズ	затваряне	クローズ	затваряне	N	N;INDF;NEUT;SG
ダイナマイト	динамит	ダイナマイト	динамит	N	N;INDF;MASC;PL
飲む	пиеш	飲む	пия	V	V;IPFV;IND;SG;2;PRS;FIN;ACT
飲む	пия	飲む	пия	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
飲む	пие	飲む	пия	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
飲む	пийте	飲む	пийта	V	V;IPFV;IND;PL;2;PRS;FIN;ACT
オークション	търг	オークション	търг	N	N;INDF;MASC;SG
オークション	търгове	オークション	търг	N	N;INDF;MASC;PL
オークション	търговете	オークション	търг	N	N;DEF;MASC;PL
ポータブル	преносим	ポータブル	преноса	N	N;INDF;MASC;SG
ポータブル	преносимост	ポータブル	преносимост	N	N;INDF;FEM;SG
トラップ	клопка	トラップ	клопка	N	N;INDF;FEM;SG
トラップ	капан	トラップ	капан	N	N;INDF;MASC;SG
トラップ	капани	トラップ	капан	N	N;INDF;MASC;PL
同値	еквивалентност	同値	еквивалентност	N	N;INDF;FEM;SG
プリズム	призмата	プリズム	призмата	N	N;DEF;FEM;SG
フェアリー	феята	フェアリー	фея	N	N;DEF;FEM;SG
フェアリー	фея	フェアリー	фея	N	N;INDF;FEM;SG
ポット	трева	ポット	трева	N	N;INDF;FEM;SG
ポット	гърне	ポット	гърне	N	N;INDF;NEUT;SG
ポット	тенджера	ポット	тенджера	N	N;INDF;FEM;SG
カルト	култ	カルト	култ	N	N;INDF;MASC;SG
カルト	секта	カルト	сект	N	N;INDF;FEM;SG
家事	камериерката	家事	камериерка	N	N;DEF;FEM;SG
家事	камериерка	家事	камериерка	N	N;INDF;FEM;SG
テンション	напрежение	テンション	напрежение	N	N;INDF;NEUT;SG
フォーカス	концентрация	フォーカス	концентрация	N	N;INDF;FEM;SG
フォーカス	фокус	フォーカス	фокус	N	N;INDF;MASC;SG
ウエスタン	уестърн	ウエスタン	уестърн	N	N;INDF;MASC;SG
ウエスタン	western	ウエスタン	western	N	N;INDF;MASC;SG
酢酸	ацетат	酢酸	ацетат	N	N;INDF;FEM;SG
スタンプ	печат	スタンプ	печат	N	N;INDF;MASC;SG
スタンプ	стикери	スタンプ	стикер	N	N;INDF;MASC;PL
スタンプ	лепенки	スタンプ	лепенка	N	N;INDF;FEM;PL
スタンプ	лепенка	スタンプ	лепенка	N	N;INDF;FEM;SG
スタンプ	стикер	スタンプ	стикер	N	N;INDF;MASC;SG
スタンプ	пън	スタンプ	пън	N	N;INDF;MASC;SG
おいしい	вкусен	おいしい	вкусен	ADJ	ADJ;INDF;MASC;SG
おいしい	вкусна	おいしい	вкусен	ADJ	ADJ;INDF;FEM;SG
おいしい	вкусен	おいしい	вкусен	ADJ	ADJ;INDF;MASC;SG
おいしい	вкусна	おいしい	вкусен	ADJ	ADJ;INDF;FEM;SG
おいしい	вкусни	おいしい	вкусен	ADJ	ADJ;INDF;PL
ハンドブック	наръчник	ハンドブック	наръчник	N	N;INDF;MASC;SG
パッド	площадка	パッド	площадка	N	N;INDF;FEM;SG
パッド	подложка	パッド	подложка	N	N;INDF;FEM;SG
マナー	обноски	マナー	обноска	N	N;INDF;FEM;PL
マナー	маниери	マナー	маниера	N	N;INDF;FEM;PL
タイル	плочка	タイル	плочка	N	N;INDF;FEM;SG
タイル	плочки	タイル	плочка	N	N;INDF;FEM;PL
タイル	плочки	タイル	плочка	N	N;INDF;FEM;PL
レジスタ	регистрите	レジスタ	регистър	N	N;DEF;MASC;PL
レジスタ	регистри	レジスタ	регистър	N	N;INDF;MASC;PL
レジスタ	регистър	レジスタ	регистър	N	N;INDF;MASC;SG
蒸留	дестилация	蒸留	дестилация	N	N;INDF;FEM;SG
ブーツ	ботуш	ブーツ	ботуш	N	N;INDF;MASC;SG
ブーツ	ботуша	ブーツ	ботуш	N	N;INDF;FEM;SG
ブーツ	ботуши	ブーツ	ботуш	N	N;INDF;MASC;PL
ブーツ	ботушите	ブーツ	ботуш	N	N;DEF;MASC;PL
出版物	публикации	出版物	публикация	N	N;INDF;FEM;PL
出版物	публикация	出版物	публикация	N	N;INDF;FEM;SG
出版物	публикуване	出版物	публикуване	N	N;INDF;NEUT;SG
連帯	солидарност	連帯	солидарност	N	N;INDF;FEM;SG
千鳥	чидори	千鳥	чидор	N	N;INDF;MASC;SG
メイキング	правене	メイキング	правене	N	N;INDF;NEUT;SG
エフェクト	последици	エフェクト	последица	N	N;INDF;FEM;PL
エフェクト	въздействие	エフェクト	въздействие	N	N;INDF;NEUT;SG
エフェクト	ефекти	エフェクト	ефект	N	N;INDF;MASC;PL
エフェクト	ефект	エフェクト	ефект	N	N;INDF;MASC;SG
エフェクト	ефект	エフェクト	ефект	N	N;INDF;MASC;SG
エフェクト	въздействие	エフェクト	въздействие	N	N;INDF;NEUT;SG
バター	маслото	バター	масло	N	N;DEF;NEUT;SG
バター	масло	バター	масло	N	N;INDF;NEUT;SG
教職員	преподаватели	教職員	преподавател	N	N;INDF;MASC;PL
教職員	факултета	教職員	факултет	N	N;DEF;MASC;SG
教職員	факултет	教職員	факултет	N	N;INDF;MASC;SG
結核	туберкулоза	結核	туберкулоза	N	N;INDF;FEM;SG
結核	туберкулозата	結核	туберкулога	N	N;DEF;FEM;SG
コバルト	кобалт	コバルト	кобалт	N	N;INDF;MASC;SG
ソフトボール	софтбол	ソフトボール	софтбол	N	N;INDF;MASC;SG
欠陥	недостатък	欠陥	недостатък	N	N;INDF;MASC;SG
欠陥	дефект	欠陥	дефект	N	N;INDF;MASC;SG
欠陥	несъвършенство	欠陥	несъвършенство	N	N;INDF;NEUT;SG
コブラ	кобрата	コブラ	кобра	N	N;DEF;FEM;SG
コブラ	кобра	コブラ	кобър	N	N;INDF;FEM;SG
グリル	решетка	グリル	решетка	N	N;INDF;FEM;SG
グリル	скара	グリル	скарам-(се)	N	N;INDF;FEM;SG
グリル	грил	グリル	грил	N	N;INDF;MASC;SG
脂肪	мазнина	脂肪	мазнина	N	N;INDF;FEM;SG
脂肪	мазнини	脂肪	мазнин	N	N;INDF;FEM;PL
眠る	спя	眠る	спя	V	V;IPFV;IND;SG;1;PRS;FIN;ACT
眠る	спим	眠る	спя	V	V;IPFV;IND;PL;1;PRS;FIN;ACT
眠る	спи	眠る	спи	V	V;IPFV;IND;SG;3;PRS;FIN;ACT
天台	тендай	天台	тендай	N	N;INDF;MASC;SG
迫害	преследвана	迫害	преследвам	V	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
迫害	преследван	迫害	преследвам	V	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
迫害	преследвани	迫害	преследвам	V	V;IPFV;INDF;PL;V.PTCP;PASS
左	сакон	左	сакон	N	N;INDF;MASC;SG
手数	комисия	手数	комисия	N	N;INDF;FEM;SG
手数	хонорар	手数	хонорар	N	N;INDF;MASC;SG
手数	такса	手数	такса	N	N;INDF;FEM;SG
手数	хонорари	手数	хонорар	N	N;INDF;MASC;PL
手数	такси	手数	такса	N	N;INDF;FEM;PL
バドミントン	бадминтон	バドミントン	бадминтон	N	N;INDF;MASC;SG
陶器	керамика	陶器	керамика	N	N;INDF;FEM;SG
スクリプト	сценарии	スクリプト	сценарий	N	N;INDF;MASC;PL
スクリプト	сценарий	スクリプト	сценарий	N	N;INDF;MASC;SG
スクリプト	сценарии	スクリプト	сценарий	N	N;INDF;MASC;PL
トライアングル	триъгълника	トライアングル	триъгълника	N	N;DEF;MASC;SG
トライアングル	триъгълник	トライアングル	триъгълник	N	N;INDF;MASC;SG
溶岩	лавата	溶岩	лав	N	N;DEF;FEM;SG
溶岩	лава	溶岩	лав	N	N;INDF;FEM;SG
異端	ерес	異端	ерес	N	N;INDF;FEM;SG
真似	имитират	真似る	имитирам	V	V;IPFV;IND;PL;3;PRS;FIN;ACT
ハス	лотос	ハス	лотос	N	N;INDF;MASC;SG
ハス	лотус	ハス	лотус	N	N;INDF;MASC;SG
流体	течност	流体	течност	N	N;INDF;FEM;SG
流体	флуиди	流体	флуида	N	N;INDF;MASC;PL
流体	течности	流体	течност	N	N;INDF;FEM;PL
お	сладкиши	お	сладкиша	N	N;INDF;FEM;PL
お	сладки	お	сладък	N	N;INDF;FEM;PL
共生	симбиоза	共生	симбиоз	N	N;INDF;FEM;SG
チューブ	тръбичка	チューブ	тръбичка	N	N;INDF;FEM;SG
チューブ	туба	チューブ	туб	N	N;INDF;FEM;SG
チューブ	тръба	チューブ	тръба	N	N;INDF;FEM;SG
