sound	geluid	sound	geluid	N	N;NEUT;SG
inés	agnes	inés	agne	N;FEM;SG	N;MASC+FEM;SG
prototipo	prototype	prototipo	prototype	N;MASC;SG	N;NEUT;SG
dinámica	dynamics	dinámica	dynamics	N;FEM;SG	N;MASC+FEM;SG
dinámica	dynamiek	dinámica	dynamiek	N;FEM;SG	N;MASC+FEM;SG
dinámica	dynamic	dinámica	dynamic	N;FEM;SG	N;MASC+FEM;SG
dinámica	dynamiek	dinámica	dynamiek	N;FEM;SG	N;MASC+FEM;SG
variación	variantie	variación	variantie	N;FEM;SG	N;MASC+FEM;SG
variación	variatie	variación	variatie	N;FEM;SG	N;MASC+FEM;SG
variación	wijziging	variación	wijziging	N;FEM;SG	N;MASC+FEM;SG
variación	verandering	variación	verandering	N;FEM;SG	N;MASC+FEM;SG
variación	variatie	variación	variatie	N;FEM;SG	N;MASC+FEM;SG
latitud	breedtegraad	latitud	breedtegraad	N;FEM;SG	N;MASC+FEM;SG
trío	trio	trío	trio	N;MASC;SG	N;NEUT;SG
trío	trio	trío	trio	N;MASC;SG	N;NEUT;SG
óleo	olieverf	óleo	olieverf	N;MASC;SG	N;MASC+FEM;SG
óleo	aardolie	óleo	aardolie	N;MASC;SG	N;MASC+FEM;SG
óleo	olie	óleo	olie	N;MASC;SG	N;MASC+FEM;SG
usted	jij	tú	jij	PRO;SG;2;FORM	PRO;NOM;2
usted	jou	tú	jou	PRO;SG;2;FORM	PRO;ACC;2
alfa	alpha	alfa	alpha	N;FEM;SG	N;MASC+FEM;SG
alfa	alfa	alfa	alfa	N;FEM;SG	N;MASC+FEM;SG
alfa	alfa	alfa	alfa	N;FEM;SG	N;MASC+FEM;SG
caudal	caudal	caudal	caudal	N;MASC;SG	N;MASC+FEM;SG
caudal	flow	caudal	flow	N;MASC;SG	N;MASC+FEM;SG
antecedentes	achtergronden	antecedente	achtergrond	N;MASC;PL	N;PL
irlandés	ler	irlandés	ler	N;MASC;SG	N;MASC+FEM;SG
irlandés	ier	irlandés	ier	N;MASC;SG	N;MASC+FEM;SG
asiático	aziatische	asiático	aziatisch	ADJ;MASC;SG	ADJ
asiático	aziatisch	asiático	aziatisch	ADJ;MASC;SG	ADJ
anchura	breedte	anchura	breedte	N;FEM;SG	N;MASC+FEM;SG
utilidad	bruikbaarheid	utilidad	bruikbaarheid	N;FEM;SG	N;MASC+FEM;SG
utilidad	nut	utilidad	nut	N;FEM;SG	N;NEUT;SG
utilidad	bruikbaarheid	utilidad	bruikbaarheid	N;FEM;SG	N;MASC+FEM;SG
utilidad	nut	utilidad	nut	N;FEM;SG	N;NEUT;SG
utilidad	hulpprogramma	utilidad	hulpprogramma	N;FEM;SG	N;NEUT;SG
manchester	manchester	manchester	manchester	N;MASC;SG	N;MASC+FEM;SG
beatles	beatles	beatle	beatle	N;MASC;PL	N;PL
receptor	receptor	receptor	receptor	N;MASC;SG	N;MASC+FEM;SG
receptor	ontvanger	receptor	ontvanger	N;MASC;SG	N;MASC+FEM;SG
receptor	geadresseerde	receptor	geadresseerde	N;MASC;SG	N;MASC+FEM;SG
receptor	ontvanger	receptor	ontvanger	N;MASC;SG	N;MASC+FEM;SG
desapareció	verdwenen	desaparecer	verdwijnen	V;IND;SG;3;PST;FIN	V;V.PTCP
desapareció	verdween	desaparecer	verdwijnen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
desapareció	verdwenen	desaparecer	verdwijnen	V;IND;SG;3;PST;FIN	V;V.PTCP
desapareció	verdween	desaparecer	verdwijnen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
prólogo	voorwoord	prólogo	voorwoord	N;MASC;SG	N;NEUT;SG
prólogo	voorwoord	prólogo	voorwoord	N;MASC;SG	N;NEUT;SG
prólogo	proloog	prólogo	proloog	N;MASC;SG	N;MASC+FEM;SG
xbox	xbox	xbox	xbox	N	N;MASC+FEM;SG
force	kracht	force	kracht	N	N;MASC+FEM;SG
tramos	tranches	tramo	tranches	N;MASC;PL	N;PL
tramos	afdelingen	tramo	afdeling	N;MASC;PL	N;PL
tramos	secties	tramo	sectie	N;MASC;PL	N;PL
contemporáneos	tijdgenoten	contemporáneo	tijdgenoot	N;MASC;PL	N;PL
campeona	kampioen	campeona	kampioen	N;FEM;SG	N;MASC+FEM;SG
campeona	champ	campeona	champ	N;FEM;SG	N;MASC+FEM;SG
campeona	kampioen	campeona	kampioen	N;FEM;SG	N;MASC+FEM;SG
lgbt	lgbt	lgbt	lgbt	N;SG	N;MASC+FEM;SG
centre	centrum	centre	centrum	N;MASC;SG	N;NEUT;SG
pacheco	pacheco	pacheco	pacheco	N;MASC;SG	N;MASC+FEM;SG
necesarias	noodzakelijke	necesario	noodzakelijk	ADJ;FEM;PL	ADJ
necesarias	nodig	necesario	nodig	ADJ;FEM;PL	ADJ
necesarias	noodzakelijk	necesario	noodzakelijk	ADJ;FEM;PL	ADJ
colaboradores	partners	colaborador	partner	N;MASC;PL	N;PL
colaboradores	bijdragers	colaborador	bijdrager	N;MASC;PL	N;PL
baterista	drummer	baterista	drummer	N;SG	N;MASC+FEM;SG
caras	gezichten	cara	gezicht	N;FEM;PL	N;PL
supercopa	supercup	supercopa	supercup	N;FEM;SG	N;MASC+FEM;SG
supercopa	supercopa	supercopa	supercopa	N;FEM;SG	N;MASC+FEM;SG
turín	torino	turín	torino	N;MASC;SG	N;MASC+FEM;SG
turín	turijn	turín	turijn	N;MASC;SG	N;NEUT;SG
turín	turijn	turín	turijn	N;MASC;SG	N;NEUT;SG
lesiones	laesies	lesión	laesie	N;FEM;PL	N;PL
lesiones	letsels	lesión	letsel	N;FEM;PL	N;PL
lesiones	letsels	lesión	letsel	N;FEM;PL	N;PL
lesiones	blessures	lesión	blessure	N;FEM;PL	N;PL
lesiones	verwondingen	lesión	verwonding	N;FEM;PL	N;PL
lesiones	letsels	lesión	letsel	N;FEM;PL	N;PL
disminución	achteruitgang	disminución	achteruitgang	N;FEM;SG	N;MASC+FEM;SG
disminución	verval	disminución	verval	N;FEM;SG	N;NEUT;SG
disminución	afname	disminución	afname	N;FEM;SG	N;MASC+FEM;SG
disminución	daling	disminución	daling	N;FEM;SG	N;MASC+FEM;SG
disminución	vermindering	disminución	vermindering	N;FEM;SG	N;MASC+FEM;SG
apoyó	gesteund	apoyar	steunen	V;IND;SG;3;PST;FIN	V;V.PTCP
apoyó	ondersteunde	apoyar	ondersteunen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
apoyó	ondersteund	apoyar	ondersteunen	V;IND;SG;3;PST;FIN	V;V.PTCP
apoyó	gesteunde	apoyar	steunen	V;IND;SG;3;PST;FIN	V;V.PTCP
aceptación	acceptatie	aceptación	acceptatie	N;FEM;SG	N;MASC+FEM;SG
aceptación	aanvaarding	aceptación	aanvaarding	N;FEM;SG	N;MASC+FEM;SG
facilidad	gemak	facilidad	gemak	N;FEM;SG	N;NEUT;SG
libras	ponden	libra	pond	N;MASC;PL	N;PL
modificar	aanpassen	modificar	aanpassen	V;NFIN	V;NFIN
modificar	wijzigen	modificar	wijzigen	V;NFIN	V;NFIN
modificar	amenderen	modificar	amenderen	V;NFIN	V;NFIN
land	grond	land	grond	N	N;MASC+FEM;SG
land	land	land	land	N	N;NEUT;SG
contribuyó	bijgedragen	contribuir	bijdragen	V;IND;SG;3;PST;FIN	V;V.PTCP
contribuyó	bijdroeg	contribuir	bijdraag	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
rara	zeldzame	raro	zeldzaam	ADJ;FEM;SG	ADJ
rara	zeldzaam	raro	zeldzaam	ADJ;FEM;SG	ADJ
soviéticos	sovjets	soviético	sovjets	N;MASC;PL	N;PL
figueroa	figueroa	figueroa	figueroa	N;MASC;SG	N;MASC+FEM;SG
fantasía	fantasy	fantasía	fantasy	N;FEM;SG	N;MASC+FEM;SG
fantasía	fantasie	fantasía	fantasie	N;FEM;SG	N;MASC+FEM;SG
fantasía	fantasia	fantasía	fantasia	N;FEM;SG	N;MASC+FEM;SG
fenómenos	fenomenen	fenómeno	fenomenen	N;MASC;PL	N;PL
fenómenos	verschijnselen	fenómeno	verschijnselen	N;MASC;PL	N;PL
fenómenos	freaks	fenómeno	freaks	N;MASC;PL	N;PL
conecta	verbind	conectar	verbind	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
conecta	verbinden	conectar	verbinden	V;IND;SG;3;PRS;FIN	V;NFIN
conecta	verbindt	conectar	verbinden	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
bus	bus	bus	bus	N;MASC;SG	N;MASC+FEM;SG
master	master	master	master	N;MASC;SG	N;MASC+FEM;SG
master	meester	master	meester	N;MASC;SG	N;MASC+FEM;SG
africano	afrikaanse	africano	afrikaans	ADJ;MASC;SG	ADJ
africano	afrikaans	africano	afrikaans	ADJ;MASC;SG	ADJ
poética	poëtische	poética	povtisch	ADJ;FEM;SG	ADJ
poética	poëtisch	poética	poëtisch	ADJ;FEM;SG	ADJ
robinson	robinson	robinson	robinson	N;MASC;SG	N;MASC+FEM;SG
otomano	ottomaanse	otomano	ottomaans	N;MASC;SG	N;NEUT;SG
finanzas	financien	finanzas	financien	N;FEM;PL	N;PL
finanzas	financiën	finanzas	financiën	N;FEM;PL	N;PL
finanzas	financiën	finanzas	financiën	N;FEM;PL	N;PL
sinfónica	symfonische	sinfónico	symfonisch	ADJ;FEM;SG	ADJ
boxeo	boks	boxeo	boks	N;MASC;SG	N;MASC+FEM;SG
ocupada	druk	ocupado	druk	ADJ;FEM;SG;V.PTCP	ADJ
ocupada	bezig	ocupado	bezig	ADJ;FEM;SG;V.PTCP	ADJ
renault	renault	renault	renault	N;MASC;SG	N;MASC+FEM;SG
raymond	raymond	raymond	raymond	N;MASC;SG	N;MASC+FEM;SG
comparte	delen	compartir	delen	V;IND;SG;3;PRS;FIN	V;NFIN
jerry	jerry	jerry	jerry	N;MASC;SG	N;MASC+FEM;SG
jerry	mof	jerry	mof	N;MASC;SG	N;MASC+FEM;SG
árbitro	scheidsrechter	árbitro	scheidsrechter	N;MASC;SG	N;MASC+FEM;SG
árbitro	scheidsrechter	árbitro	scheidsrechter	N;MASC;SG	N;MASC+FEM;SG
árbitro	arbiter	árbitro	arbiter	N;MASC;SG	N;MASC+FEM;SG
árbitro	scheidsrechter	árbitro	scheidsrechter	N;MASC;SG	N;MASC+FEM;SG
árbitro	ref	árbitro	ref	N;MASC;SG	N;MASC+FEM;SG
antropología	antropologie	antropología	antropologie	N;FEM;SG	N;MASC+FEM;SG
favorable	gunstig	favorable	gunstig	ADJ;SG	ADJ
favorable	gunstige	favorable	gunstig	ADJ;SG	ADJ
favorable	gunstige	favorable	gunstig	ADJ;SG	ADJ
favorable	gunstig	favorable	gunstig	ADJ;SG	ADJ
bizantino	byzantijnse	bizantino	byzantijns	ADJ;MASC;SG	ADJ
significativa	betekenisvolle	significativo	betekenisvol	ADJ;FEM;SG	ADJ
significativa	zinvolle	significativo	zinvol	ADJ;FEM;SG	ADJ
significativa	zinvol	significativo	zinvol	ADJ;FEM;SG	ADJ
significativa	betekenisvol	significativo	betekenisvol	ADJ;FEM;SG	ADJ
fiel	trouwe	fiel	trouw	ADJ;SG	ADJ
fiel	trouw	fiel	trouw	ADJ;SG	ADJ
rodaje	schietpartij	rodaje	schietpartij	N;MASC;SG	N;MASC+FEM;SG
escalera	trap	escalera	trap	N;FEM;SG	N;MASC+FEM;SG
escalera	trappenhuis	escalera	trappenhuis	N;FEM;SG	N;NEUT;SG
escalera	trap	escalera	trap	N;FEM;SG	N;MASC+FEM;SG
escalera	ladder	escalera	ladder	N;FEM;SG	N;MASC+FEM;SG
escalera	trap	escalera	trap	N;FEM;SG	N;MASC+FEM;SG
heinrich	heinrich	heinrich	heinrich	N;MASC;SG	N;MASC+FEM;SG
reglamento	regelgeving	reglamento	regelgeving	N;MASC;SG	N;MASC+FEM;SG
reglamento	regulering	reglamento	regulering	N;MASC;SG	N;MASC+FEM;SG
reglamento	verordening	reglamento	verordening	N;MASC;SG	N;MASC+FEM;SG
arabia	arabië	arabia	arabië	N;FEM;SG	N;NEUT;SG
gigantes	reuzen	gigante	reus	N;PL	N;PL
experimentos	experimenten	experimento	experiment	N;MASC;PL	N;PL
experimentos	proefnemingen	experimento	proefneming	N;MASC;PL	N;PL
experimentos	experimenten	experimento	experiment	N;MASC;PL	N;PL
paisajes	landschappen	paisaje	landschap	N;MASC;PL	N;PL
mito	mythe	mito	mythe	N;MASC;SG	N;MASC+FEM;SG
dispuesto	gewillig	dispuesto	gewillig	ADJ;MASC;SG;V.PTCP	ADJ
dispuesto	bereid	dispuesto	bereid	ADJ;MASC;SG;V.PTCP	ADJ
dei	dei	dei	dei	N;MASC	N;MASC+FEM;SG
robot	robot	robot	robot	N;MASC;SG	N;MASC+FEM;SG
sra	sra	ser	sra	N;FEM;SG	N;MASC+FEM;SG
sra	mevrouw	ser	mevrouw	N;FEM;SG	N;MASC+FEM;SG
cuota	vergoeding	cuota	vergoeding	N;FEM;SG	N;MASC+FEM;SG
cuota	honorarium	cuota	honorarium	N;FEM;SG	N;NEUT;SG
cuota	contingent	cuota	contingent	N;FEM;SG	N;NEUT;SG
cuota	quota	cuota	quota	N;FEM;SG	N;MASC+FEM;SG
cuota	quotum	cuota	quotum	N;FEM;SG	N;NEUT;SG
obreros	werkers	obrero	werker	N;MASC;PL	N;PL
obreros	arbeiders	obrero	arbeider	N;MASC;PL	N;PL
obreros	werknemers	obrero	werknemer	N;MASC;PL	N;PL
sagrada	heilig	sagrado	heilig	ADJ;FEM;SG	ADJ
sagrada	heilige	sagrado	heilige	ADJ;FEM;SG	ADJ
primarias	voorverkiezingen	primaria	voorverkiezing	N;FEM;PL	N;PL
interpretaciones	interpretaties	interpretación	interpretatie	N;FEM;PL	N;PL
hembra	vrouw	hembra	vrouw	N;FEM;SG	N;MASC+FEM;SG
hembra	vrouwtje	hembra	vrouwtje	N;FEM;SG	N;NEUT;SG
añadió	toegevoegd	añadir	toevoegen	V;IND;SG;3;PST;FIN	V;V.PTCP
añadió	toegevoegde	añadir	toevoegen	V;IND;SG;3;PST;FIN	V;V.PTCP
gold	goud	gold	goud	N	N;NEUT;SG
procedimientos	procedures	procedimiento	procedure	N;MASC;PL	N;PL
dominante	dominant	dominante	dominant	ADJ;SG	ADJ
dominante	dominante	dominante	dominant	ADJ;SG	ADJ
dominante	dominant	dominante	dominant	ADJ;SG	ADJ
chaco	chaco	chaco	chaco	N;MASC;SG	N;MASC+FEM;SG
luchador	strijder	luchador	strijder	N;MASC;SG	N;MASC+FEM;SG
luchador	vechter	luchador	vechter	N;MASC;SG	N;MASC+FEM;SG
luchador	fighter	luchador	fighter	N;MASC;SG	N;MASC+FEM;SG
luchador	worstelaar	luchador	worstelaar	N;MASC;SG	N;MASC+FEM;SG
ligera	lichte	ligero	licht	ADJ;FEM;SG	ADJ
ligera	lichtgewicht	ligero	lichtgewicht	ADJ;FEM;SG	ADJ
facultades	faculteiten	facultad	faculteit	N;FEM;PL	N;PL
tocando	roerend	tocar	roerend	V;V.MSDR	V;V.PTCP
tocando	aanraken	tocar	aanraak	V;V.MSDR	V;NFIN
tocando	ontroerend	tocar	ontroerend	V;V.MSDR	V;V.PTCP
tocando	spelen	tocar	spelen	V;V.MSDR	V;NFIN
recuerdos	herinneringen	recuerdo	herinnering	N;MASC;PL	N;PL
recuerdos	souvenirs	recuerdo	souvenir	N;MASC;PL	N;PL
recuerdos	geheugen	recuerdo	heugen	N;MASC;PL	N;PL
recuerdos	herinneringen	recuerdo	herinnering	N;MASC;PL	N;PL
site	site	sitir	site	N;MASC;SG	N;MASC+FEM;SG
específicos	specifiek	específico	specifiek	ADJ;MASC;PL	ADJ
específicos	specifieke	específico	specifiek	ADJ;MASC;PL	ADJ
falla	mislukking	fallar	mislukking	N;FEM;SG	N;MASC+FEM;SG
falla	mislukkeling	fallar	mislukkeling	N;FEM;SG	N;MASC+FEM;SG
llano	plain	llano	plain	ADJ;MASC;SG	ADJ
romper	breken	romper	breken	V;NFIN	V;NFIN
romper	breken	romper	breken	V;NFIN	V;NFIN
huerta	boomgaard	huerta	boomgaard	N;FEM;SG	N;MASC+FEM;SG
huerta	huerta	huerta	huerta	N;FEM;SG	N;MASC+FEM;SG
seguimiento	tracking	seguimiento	tracking	N;MASC;SG	N;MASC+FEM;SG
seguimiento	monitoring	seguimiento	monitoring	N;MASC;SG	N;MASC+FEM;SG
seguimiento	toezicht	seguimiento	toezicht	N;MASC;SG	N;NEUT;SG
difíciles	lastig	difícil	lastig	ADJ;PL	ADJ
difíciles	moeilijk	difícil	moeilijk	ADJ;PL	ADJ
difíciles	moeilijke	difícil	moeilijk	ADJ;PL	ADJ
cerveza	biertje	cerveza	biertje	N;FEM;SG	N;NEUT;SG
cerveza	bier	cerveza	bier	N;FEM;SG	N;NEUT;SG
proyección	projectie	proyección	projectie	N;FEM;SG	N;MASC+FEM;SG
proyección	screening	proyección	screening	N;FEM;SG	N;MASC+FEM;SG
compuestas	composiet	compuesto	composiet	ADJ;FEM;PL;V.PTCP	ADJ
bloqueado	vergrendeld	bloqueado	vergrendelen	ADJ;MASC;SG;V.PTCP	ADJ
maneras	manieren	manera	manier	N;FEM;PL	N;PL
tocó	ontroerd	tocar	ontroerd	V;IND;SG;3;PST;FIN	V;V.PTCP
tocó	geroerd	tocar	roeren	V;IND;SG;3;PST;FIN	V;V.PTCP
tocó	aangeraakt	tocar	aanraken	V;IND;SG;3;PST;FIN	V;V.PTCP
infierno	hel	infierno	hel	N;MASC;SG	N;MASC+FEM;SG
infierno	hell	infierno	hell	N;MASC;SG	N;MASC+FEM;SG
infierno	inferno	infierno	inferno	N;MASC;SG	N;MASC+FEM;SG
gastos	uitgaven	gasto	uitgave	N;MASC;PL	N;PL
gastos	uitgaven	gasto	uitgave	N;MASC;PL	N;PL
gastos	uitgaven	gasto	uitgave	N;MASC;PL	N;PL
gastos	onkosten	gasto	onkosten	N;MASC;PL	N;PL
africana	afrikaanse	africano	afrikaans	ADJ;FEM;SG	ADJ
africana	afrikaans	africano	afrikaans	ADJ;FEM;SG	ADJ
depósito	deposito	depósito	deposito	N;MASC;SG	N;MASC+FEM;SG
depósito	storting	depósito	storting	N;MASC;SG	N;MASC+FEM;SG
lucio	lucio	lucio	lucio	N;MASC;SG	N;MASC+FEM;SG
lucio	pike	lucio	pike	N;MASC;SG	N;MASC+FEM;SG
lucio	lucius	lucio	lucius	N;MASC;SG	N;MASC+FEM;SG
montenegro	montenegro	montenegro	montenegro	N;FEM;SG	N;NEUT;SG
avanzada	gevorderden	avanzado	vorderen	ADJ;FEM;SG;V.PTCP	ADJ
nucleares	nucleaire	nuclear	nucleair	ADJ;PL	ADJ
nucleares	nucleair	nuclear	nucleair	ADJ;PL	ADJ
emma	emma	emma	emma	N;FEM;SG	N;MASC+FEM;SG
jornadas	dagen	jornada	dag	N;FEM;PL	N;PL
lobos	wolven	lobo	wolven	N;MASC;PL	N;PL
especialista	specialist	especialista	specialist	N;SG	N;MASC+FEM;SG
octava	achtste	octavo	acht	ADJ;FEM;SG	ADJ
realista	realistisch	realista	realistisch	ADJ;SG	ADJ
realista	realistische	realista	realistisch	ADJ;SG	ADJ
definitivo	definitief	definitivo	definitief	ADJ;MASC;SG	ADJ
definitivo	definitief	definitivo	definitief	ADJ;MASC;SG	ADJ
definitivo	definitieve	definitivo	definitief	ADJ;MASC;SG	ADJ
recordar	herinneren	recordar	herinneren	V;NFIN	V;NFIN
recordar	herinneren	recordar	herinneren	V;NFIN	V;NFIN
recordar	terugroepen	recordar	terugroepen	V;NFIN	V;NFIN
recordar	onthoud	recordar	onthoud	V;NFIN	V;SG;PRS;FIN
comenzando	beginnend	comenzar	beginnen	V;V.MSDR	V;V.PTCP
paraíso	paradijs	paraíso	paradijs	N;MASC;SG	N;NEUT;SG
paraíso	paradise	paraíso	paradise	N;MASC;SG	N;MASC+FEM;SG
autora	auteur	autora	auteur	N;FEM;SG	N;MASC+FEM;SG
autora	schrijver	autora	schrijver	N;FEM;SG	N;MASC+FEM;SG
testimonio	getuige	testimonio	getuige	N;MASC;SG	N;MASC+FEM;SG
testimonio	getuigenis	testimonio	getuigenis	N;MASC;SG	N;NEUT;SG
testimonio	getuigenis	testimonio	getuigenis	N;MASC;SG	N;NEUT;SG
malta	malt	malta	malt	N;FEM;SG	N;MASC+FEM;SG
malta	mout	malta	mout	N;FEM;SG	N;MASC+FEM;SG
malta	malta	malta	malta	N;FEM;SG	N;MASC+FEM;SG
aerolíneas	luchtvaartmaatschappijen	aerolínea	luchtvaartmaatschappij	N;FEM;PL	N;PL
aerolíneas	airlines	aerolínea	airline	N;FEM;PL	N;PL
balonmano	handbal	balonmano	handbal	N;MASC;SG	N;NEUT;SG
bloques	blokken	bloque	blok	N;MASC;PL	N;PL
positiva	positief	positivo	positief	ADJ;FEM;SG	ADJ
positiva	positieve	positivo	positief	ADJ;FEM;SG	ADJ
separa	scheidt	separar	scheiden	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
turner	turner	turner	turner	N;SG	N;MASC+FEM;SG
polvo	stof	polvo	stof	N;MASC;SG	N;MASC+FEM;SG
polvo	kruit	polvo	kruit	N;MASC;SG	N;NEUT;SG
polvo	poeder	polvo	poeder	N;MASC;SG	N;NEUT;SG
balón	bal	balón	bal	N;MASC;SG	N;MASC+FEM;SG
balón	ball	balón	ball	N;MASC;SG	N;MASC+FEM;SG
declara	uitroepen	declarar	uitroepen	V;IND;SG;3;PRS;FIN	V;NFIN
declara	verklaar	declarar	verklaar	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
declara	verklaren	declarar	verklaren	V;IND;SG;3;PRS;FIN	V;NFIN
declara	verklaart	declarar	verklaren	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
alegría	joy	alegría	joy	N;FEM;SG	N;MASC+FEM;SG
alegría	blijdschap	alegría	blijdschap	N;FEM;SG	N;MASC+FEM;SG
alegría	vreugde	alegría	vreugde	N;FEM;SG	N;MASC+FEM;SG
alegría	cheer	alegría	cheer	N;FEM;SG	N;MASC+FEM;SG
declaraciones	verklaringen	declaración	verklaring	N;FEM;PL	N;PL
declaraciones	aangiften	declaración	aangift	N;FEM;PL	N;PL
declaraciones	verklaringen	declaración	verklaring	N;FEM;PL	N;PL
reconoció	erkende	reconocer	erkennen	V;IND;SG;3;PST;FIN	V;FIN
reconoció	erkend	reconocer	erkend	V;IND;SG;3;PST;FIN	V;V.PTCP
cronología	chronologie	cronología	chronologie	N;FEM;SG	N;MASC+FEM;SG
cronología	tijdslijn	cronología	tijdslijn	N;FEM;SG	N;MASC+FEM;SG
cronología	tijdlijn	cronología	tijdlijn	N;FEM;SG	N;MASC+FEM;SG
cría	fokkerij	cría	fokkerij	N;FEM;SG	N;MASC+FEM;SG
cría	fok	cría	fok	N;FEM;SG	N;MASC+FEM;SG
ilustraciones	illustraties	ilustración	illustratie	N;FEM;PL	N;PL
cross	kruis	cross	kruis	N	N;NEUT;SG
cross	cross	cross	cross	N	N;MASC+FEM;SG
ron	ron	ron	ron	N;MASC;SG	N;MASC+FEM;SG
ron	rum	ron	rum	N;MASC;SG	N;MASC+FEM;SG
estrada	estrada	estrada	estrada	N;SG	N;MASC+FEM;SG
vital	vitale	vital	vitaal	ADJ;SG	ADJ
vital	vitaal	vital	vitaal	ADJ;SG	ADJ
comenzado	begonnen	comenzar	beginnen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
comenzado	gestart	comenzar	starten	V;MASC;SG;PST;V.PTCP	V;V.PTCP
comenzado	begon	comenzar	beginnen	V;MASC;SG;PST;V.PTCP	V;SG;PST;FIN
comenzado	opgestart	comenzar	opstarten	V;MASC;SG;PST;V.PTCP	V;V.PTCP
comenzado	begonnen	comenzar	beginnen	V;MASC;SG;PST;V.PTCP	V;V.PTCP
phoenix	feniks	phoenix	fenik	N;MASC;SG	N;MASC+FEM;SG
phoenix	phoenix	phoenix	phoenix	N;MASC;SG	N;MASC+FEM;SG
maine	maine	maine	maine	N;MASC;SG	N;MASC+FEM;SG
varsovia	warschau	varsovia	warschau	N;FEM;SG	N;NEUT;SG
masacre	massamoord	masacre	massamoord	N;FEM;SG	N;MASC+FEM;SG
masacre	slachting	masacre	slachting	N;FEM;SG	N;MASC+FEM;SG
masacre	slachtpartij	masacre	slachtpartij	N;FEM;SG	N;MASC+FEM;SG
masacre	bloedbad	masacre	bloedbad	N;FEM;SG	N;NEUT;SG
masacre	slachting	masacre	slachting	N;FEM;SG	N;MASC+FEM;SG
vinos	wijnen	vino	wijn	N;MASC;PL	N;PL
denuncia	verslag	denuncia	verslag	N;FEM;SG	N;NEUT;SG
denuncia	rapport	denuncia	rapport	N;FEM;SG	N;NEUT;SG
denuncia	klacht	denuncia	klacht	N;FEM;SG	N;MASC+FEM;SG
denuncia	opzegging	denuncia	opzegging	N;FEM;SG	N;MASC+FEM;SG
decidir	beslissen	decidir	beslissen	V;NFIN	V;NFIN
decidir	beslis	decidir	beslis	V;NFIN	V;SG;PRS;FIN
decidir	beslissen	decidir	beslissen	V;NFIN	V;NFIN
frutas	vruchten	fruta	vrucht	N;FEM;PL	N;PL
frutas	vruchten	fruta	vrucht	N;FEM;PL	N;PL
periodos	tijdvakken	periodo	tijdvak	N;MASC;PL	N;PL
periodos	perioden	periodo	period	N;MASC;PL	N;PL
periodos	periodes	periodo	periode	N;MASC;PL	N;PL
