sein	wand	sein	wand	N;NOM;SG	N;NOM;FEM;SG
koosolek	besprechung	koos_olek	besprechung	N;NOM;SG	N;SG
koosolek	sitzung	koos_olek	sitzung	N;NOM;SG	N;SG
seondub	bindet	seonduma	binden	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
surra	sterbe	surema	sterben	V;NFIN	V;IND;SG;3;FIN
surra	sterben	surema	sterben	V;NFIN	V;NFIN
design	entwurf	design	entwerfen	N;NOM;SG	N
design	gestaltung	design	gestaltung	N;NOM;SG	N;NOM;FEM;SG
design	konstruktion	design	konstruktion	N;NOM;SG	N;SG
design	design	design	design	N;NOM;SG	N;NOM;NEUT;SG
kataloog	ordner	kataloog	ordner	N;NOM;SG	N
kataloog	mappe	kataloog	mappe	N;NOM;SG	N;SG
seksuaalse	sexuell	seksuaalne	sexuell	ADJ;GEN;SG	ADJ
seksuaalse	sexuellen	seksuaalne	sexuell	ADJ;GEN;SG	ADJ
seksuaalse	geschlechtsverkehr	seksuaalne	geschlechtsverkehr	ADJ;GEN;SG	ADJ
seksuaalse	sexueller	seksuaalne	sexuell	ADJ;GEN;SG	ADJ
loogiliselt	logischerweise	loogiliselt	logischerweise	ADV	ADV
kommunistid	kommunisten	kommunist	kommunist	N;NOM;PL	N;PL
joonis	zeichnung	joonis	zeichnung	N;NOM;SG	N;NOM;FEM;SG
inseneri	technik	insener	technik	N;GEN;SG	N;SG
arvukad	zahlreiche	arvukas	zahlreich	ADJ;NOM;PL	ADJ;NOM;FEM;PL
arvukad	zahlreich	arvukas	zahlreich	ADJ;NOM;PL	ADJ
arvukad	zahlreichen	arvukas	zahlreich	ADJ;NOM;PL	ADJ;NOM;PL
nägemine	anblick	nägemine	anblick	N;NOM;SG	N
nägemine	sehvermögen	nägemine	sehvermögen	N;NOM;SG	N;NOM
nägemine	sicht	nägemine	sechen	N;NOM;SG	N;SG
nägemine	sehvermögen	nägemine	sehvermögen	N;NOM;SG	N;NOM
põhjalik	sorgfältig	põhjalik	sorgfältig	ADJ;NOM;SG	ADJ
põhjalik	gründlich	põhjalik	gründlich	ADJ;NOM;SG	ADJ
põhjalik	eingehend	põhjalik	eingehend	ADJ;NOM;SG	ADJ
põhjalik	gründlicher	põhjalik	gründlich	ADJ;NOM;SG	ADJ
põhjalik	sorgfältig	põhjalik	sorgfältig	ADJ;NOM;SG	ADJ
tutvustati	vorgestellt	tutvustama	vorstellen	V;IND;PST;FIN;PASS	V;V.PTCP
tutvustati	eingeführt	tutvustama	einführen	V;IND;PST;FIN;PASS	V;V.PTCP
põhikiri	satzung	põhi_kiri	satzung	N;NOM;SG	N
põhikiri	satzung	põhi_kiri	satzung	N;NOM;SG	N
ulatuslikud	umfangreichen	ulatuslik	umfangreich	ADJ;NOM;PL	ADJ
ulatuslikud	umfangreiche	ulatuslik	umfangreich	ADJ;NOM;PL	ADJ;NOM;FEM;PL
ulatuslikud	umfassend	ulatuslik	umfassend	ADJ;NOM;PL	ADJ
ulatuslikud	umfassende	ulatuslik	umfassend	ADJ;NOM;PL	ADJ;NOM;FEM;PL
sumeri	sumerische	sumeri	sumerische	ADJ	ADJ;NOM;FEM;PL
eemaldamine	umzug	eemaldamine	umzugen	N;NOM;SG	N;SG
eemaldamine	beseitigung	eemaldamine	Beseitigung	N;NOM;SG	N;NOM;FEM;SG
globaalne	globalen	globaalne	global	ADJ;NOM;SG	ADJ
globaalne	global	globaalne	global	ADJ;NOM;SG	ADJ
globaalne	weltweit	globaalne	weltweit	ADJ;NOM;SG	ADJ
tõestatud	belegt	tõestama	belegen	ADJ;PST;V.PTCP;PASS	ADJ;V.PTCP
jäljed	gleise	jälg	gleis	N;NOM;PL	N
kultuuriline	kultureller	kultuuriline	kulturell	ADJ;NOM;SG	ADJ
kultuuriline	kulturell	kultuuriline	kulturell	ADJ;NOM;SG	ADJ
kultuuriline	kulturellen	kultuuriline	kulturell	ADJ;NOM;SG	ADJ
kohtumised	tagungen	kohtumine	tagung	N;NOM;PL	N;NOM;FEM;PL
kohtumised	versammlungen	kohtumine	versammlingen	N;NOM;PL	N;NOM;FEM;PL
vastupidine	umgekehrten	vastu_pidine	umgekehrt	ADJ;NOM;SG	ADJ
vastupidine	umgekehrt	vastu_pidine	umgekehrt	ADJ;NOM;SG	ADJ
vastupidine	umkehrung	vastu_pidine	umkehrung	ADJ;NOM;SG	ADJ
vastupidine	umgekehrter	vastu_pidine	umgekehrter	ADJ;NOM;SG	ADJ
vastupidine	umgekehrt	vastu_pidine	umgekehrt	ADJ;NOM;SG	ADJ
vastupidine	rückseite	vastu_pidine	rückseite	ADJ;NOM;SG	ADJ
vastupidine	entgegengesetzt	vastu_pidine	entgegensetzen	ADJ;NOM;SG	ADJ;V.PTCP
kilp	abschirmung	kilp	abschirmung	N;NOM;SG	N;NOM;FEM;SG
tähelepanuväärne	bemerkenswerten	tähele_panu_väärne	bemerkenswert	ADJ;NOM;SG	ADJ
tähelepanuväärne	bemerkenswert	tähele_panu_väärne	bemerkenswert	ADJ;NOM;SG	ADJ
tähelepanuväärne	bemerkenswertes	tähele_panu_väärne	bemerkenswertes	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
tähelepanuväärne	auffallend	tähele_panu_väärne	auffallend	ADJ;NOM;SG	ADJ
vali	auswählen	valima	auswählen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vali	wählen	valima	wählen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vali	selektieren	valima	selektieren	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vali	auswählen	valima	auswählen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
vali	wählen	valima	wählen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
osalus	beteiligung	osalus	Beteiligung	N;NOM;SG	N;NOM;FEM;SG
osalus	mitwirkung	osalus	mitwirkung	N;NOM;SG	N;NOM;FEM;SG
modifitseeritud	modifizierte	modifitseeri=tud	modifizieren	ADJ;PST;V.PTCP;PASS	ADJ;SG
karm	grob	karm	grob	ADJ;NOM;SG	ADJ
karm	hart	karm	hart	ADJ;NOM;SG	ADJ
karm	rauen	karm	rauen	ADJ;NOM;SG	ADJ
karm	rau	karm	rau	ADJ;NOM;SG	ADJ
karm	schwer	karm	schwer	ADJ;NOM;SG	ADJ
karm	hart	karm	hart	ADJ;NOM;SG	ADJ
karm	schwierig	karm	schwierig	ADJ;NOM;SG	ADJ
karm	harten	karm	hart	ADJ;NOM;SG	ADJ
karm	hart	karm	hart	ADJ;NOM;SG	ADJ
karm	rauen	karm	rauen	ADJ;NOM;SG	ADJ
kauplus	geschäft	kauplus	schäfen	N;NOM;SG	N;NOM;NEUT;SG
huvid	interessen	huvi	interesse	N;NOM;PL	N;NOM;PL
huvid	interessen	huvi	interesse	N;NOM;PL	N;NOM;PL
föderatsioon	vereinigung	föderatsioon	vereinigung	N;NOM;SG	N;NOM;FEM;SG
sõltuv	abhängig	sõltuv	abhängig	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
sõltuv	abhängigen	sõltuv	abhängig	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
tunnistab	erkennt	tunnistama	erkennen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	anerkennt	tunnistama	anerkennen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	einräumt	tunnistama	einräumen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	gesteht	tunnistama	stehen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	läßt	tunnistama	lassen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	gibt	tunnistama	geben	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	zugeben	tunnistama	zugeben	V;IND;SG;3;PRS;FIN;ACT	V;NFIN
tunnistab	erkennt	tunnistama	erkennen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
tunnistab	anerkennt	tunnistama	anerkennen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kolmkümmend	dreißig	kolm_kümmend	dreißig	NUM;NOM;SG	NUM
vastutus	haftung	vastutus	haftung	N;NOM;SG	N;SG
arusaadav	verständlich	aru_saadav	verständlich	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
arusaadav	nachvollziehbar	aru_saadav	nachvollziehbar	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
arusaadav	verständlichen	aru_saadav	verständlich	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
lõpmatu	unbegrenzt	lõpmatu	unbegrenzt	ADJ;NOM;SG	ADJ
lõpmatu	unendlich	lõpmatu	unendlich	ADJ;NOM;SG	ADJ
lõpmatu	unendlichen	lõpmatu	unendlich	ADJ;NOM;SG	ADJ
dean	dekan	deadma	dekan	N;NOM;SG	N
liikuva	beweglich	liikuv	beweglich	ADJ;GEN;SG;PRS;V.PTCP;ACT	ADJ
liikuva	mobil	liikuv	mobil	ADJ;GEN;SG;PRS;V.PTCP;ACT	ADJ
liikuva	mobilgeräte	liikuv	mobilgerät	ADJ;GEN;SG;PRS;V.PTCP;ACT	ADJ
mehitatud	bemannte	mehitama	bemannt	ADJ;PST;V.PTCP;PASS	ADJ;NOM;SG
vaidlused	rechtsstreitigkeiten	vaidlus	rechtsstreitigkeit	N;NOM;PL	N;NOM;FEM;PL
vaidlused	streitigkeiten	vaidlus	streitigkeit	N;NOM;PL	N;NOM;FEM;PL
lugemine	lesung	lugemine	lesung	N;NOM;SG	N;SG
parimat	besten	parim	gut	ADJ;PRT;CMPR;SG	ADJ
peidetud	versteckte	peitma	verstecken	V;PST;V.PTCP;PASS	V;IND;SG;3;PST;FIN
peidetud	ausgeblendet	peitma	ausblenden	V;PST;V.PTCP;PASS	V;V.PTCP
edukad	erfolgreich	edukas	erfolgreich	ADJ;NOM;PL	ADJ
edukad	erfolgreichen	edukas	erfolgreich	ADJ;NOM;PL	ADJ
edukad	erfolgreiche	edukas	erfolgreich	ADJ;NOM;PL	ADJ;NOM;FEM;PL
tutvustab	stellt	tutvustama	stellen	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kirjuta	schreiben	kirjutama	schreiben	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
kirjuta	verfassen	kirjutama	verfassen	V;IMP;SG;2;PRS;FIN;ACT	V;NFIN
täpsus	genauigkeit	täpsus	genauigkeit	N;NOM;SG	N;NOM;FEM;SG
täpsus	genauigkeit	täpsus	genauigkeit	N;NOM;SG	N;NOM;FEM;SG
täpsus	korrektheit	täpsus	korrektheit	N;NOM;SG	N;NOM;FEM;SG
kombinatsioon	kombination	kombinatsioon	kombination	N;NOM;SG	N;SG
segatud	vermischt	segama	vermischen	V;PST;V.PTCP;PASS	V;V.PTCP
valley	tal	valley	tal	N;NOM;SG	N;NOM;NEUT;SG
väljuvad	ausgehenden	väljuma	ausgehend	V;IND;PL;3;PRS;FIN;ACT	V;FIN
lõigatud	schnitt	lõikama	schneiden	ADJ;PST;V.PTCP;PASS	ADJ
põhjendatud	belegt	põhjenda=tud	belegen	ADJ;PST;V.PTCP;PASS	ADJ;V.PTCP
põhjendatud	begründeter	põhjenda=tud	begründeter	ADJ;PST;V.PTCP;PASS	ADJ
põhjendatud	gerechtfertigt	põhjenda=tud	gerechtfertigt	ADJ;PST;V.PTCP;PASS	ADJ
põhjendatud	berechtigt	põhjenda=tud	berechtigen	ADJ;PST;V.PTCP;PASS	ADJ
seksuaalne	sexuell	seksuaalne	sexuell	ADJ;NOM;SG	ADJ
seksuaalne	sexuellen	seksuaalne	sexuell	ADJ;NOM;SG	ADJ
seksuaalne	geschlechtsverkehr	seksuaalne	geschlechtsverkehr	ADJ;NOM;SG	ADJ
seksuaalne	sexueller	seksuaalne	sexuell	ADJ;NOM;SG	ADJ
juurdepääs	zugang	juurde_pääs	zugang	N;NOM;SG	N
juurdepääs	zugriff	juurde_pääs	zugreifen	N;NOM;SG	N
juurdepääs	zugang	juurde_pääs	zugang	N;NOM;SG	N
juurdepääs	zugänglichkeit	juurde_pääs	zugänglichkeit	N;NOM;SG	N;NOM;FEM;SG
igavene	ewigen	igavene	ewig	ADJ;NOM;SG	ADJ;SG
igavene	ewige	igavene	ewig	ADJ;NOM;SG	ADJ;NOM;FEM;SG
igavene	ewiges	igavene	ewig	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
igavene	ewiger	igavene	ewig	ADJ;NOM;SG	ADJ
ootamatu	unerwarteten	ootamatu	unerwartet	ADJ;NOM;SG	ADJ
ootamatu	unerwartet	ootamatu	unerwartet	ADJ;NOM;SG	ADJ
ootamatu	unerwarteter	ootamatu	unerwartet	ADJ;NOM;SG	ADJ
ootamatu	unerwartetes	ootamatu	unerwartet	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
rääkides	sprechen	rääkima	sprechen	V;V.CVB	V;NFIN
rääkides	spricht	rääkima	sprechen	V;V.CVB	V;IND;SG;3;PRS;FIN
ühised	häufig	ühine	häufig	ADJ;NOM;PL	ADJ
ühised	allgemein	ühine	allgemein	ADJ;NOM;PL	ADJ
ühised	gemeinsame	ühine	gemeinsam	ADJ;NOM;PL	ADJ;NOM;FEM;PL
olend	wesen	olend	wesen	N;NOM;SG	N;NOM;NEUT;SG
neutraalne	leerlauf	neutraalne	leerlauf	ADJ;NOM;SG	ADJ
neutraalne	neutralen	neutraalne	neutral	ADJ;NOM;SG	ADJ
neutraalne	neutral	neutraalne	neutral	ADJ;NOM;SG	ADJ
neutraalne	neutraler	neutraalne	neutral	ADJ;NOM;SG	ADJ
discovery	entdeckung	discovery	entdeckung	N;NOM;SG	N;SG
omavalitsused	gemeinden	oma_valitsus	gemeinden	N;NOM;PL	N;NOM;FEM;PL
sööt	feed	sööt	feed	N;NOM;SG	N
mootorid	motoren	mootor	motor	N;NOM;PL	N;NOM;PL
mootorid	triebwerke	mootor	triebwerk	N;NOM;PL	N;NOM;FEM;PL
mootorid	motoren	mootor	motor	N;NOM;PL	N;NOM;PL
läbipaistev	durchsichtig	läbi_paistev	durchsichtig	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
läbipaistev	transparenz	läbi_paistev	transparenz	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
läbipaistev	transparent	läbi_paistev	transparent	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
läbipaistev	transparenten	läbi_paistev	transparent	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
läbipaistev	durchsichtig	läbi_paistev	durchsichtig	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ
keiserlik	kaiserlich	keiserlik	kaiserlich	ADJ;NOM;SG	ADJ
lineaarne	linearen	lineaarne	linear	ADJ;NOM;SG	ADJ
lineaarne	linear	lineaarne	linear	ADJ;NOM;SG	ADJ
lineaarne	linearer	lineaarne	linear	ADJ;NOM;SG	ADJ
illustratsioonid	illustrationen	illustratsioon	illustrationen	N;NOM;PL	N;NOM;FEM;PL
illustratsioonid	darstellungen	illustratsioon	darstellingen	N;NOM;PL	N;NOM;FEM;PL
mõõtmine	vermessung	mõõtmine	vermessung	N;NOM;SG	N;NOM;FEM;SG
mõõtmine	messung	mõõtmine	messung	N;NOM;SG	N;SG
mõõtmine	vermessung	mõõtmine	vermessung	N;NOM;SG	N;NOM;FEM;SG
mõõtmine	messung	mõõtmine	messung	N;NOM;SG	N;SG
lõhna	geruch	lõhn	geruch	N;PRT;SG	N
lõhna	duft	lõhn	duft	N;PRT;SG	N;SG
lõhna	duft	lõhn	duft	N;PRT;SG	N;SG
õnnetus	unfall	õnnetus	unfall	N;NOM;SG	N
meeli	sinne	meel	sinnen	N;NOM;SG	N
valdkond	fläche	valdkond	fläche	N;NOM;SG	N;NOM;FEM;SG
konkurentsi	wettkampf	konkurents	wettkampf	N;PRT;SG	N
jälgib	überwacht	jälgima	überwachen	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
arendab	entwickelt	arendama	entwickeln	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
ilmaliku	säkularen	ilmalik	säkular	ADJ;GEN;SG	ADJ
ilmaliku	weltlichen	ilmalik	weltlich	ADJ;GEN;SG	ADJ
odavam	günstiger	odavam	günstig	ADJ;NOM;CMPR;SG	ADJ
odavam	kostengünstiger	odavam	kostengünstiger	ADJ;NOM;CMPR;SG	ADJ
odavam	billiger	odavam	billig	ADJ;NOM;CMPR;SG	ADJ
individuaalne	einzelnen	individuaalne	einzeln	ADJ;NOM;SG	ADJ
individuaalne	einzelperson	individuaalne	einzelperson	ADJ;NOM;SG	ADJ
individuaalne	individuell	individuaalne	individuell	ADJ;NOM;SG	ADJ
litsents	konzession	litsents	konzession	N;NOM;SG	N;NOM;FEM;SG
litsents	konzession	litsents	konzession	N;NOM;SG	N;NOM;FEM;SG
säilitab	bewahrt	säilitama	bewahren	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
säilitab	konserviert	säilitama	konservieren	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
säilitab	behält	säilitama	behalten	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
säilitab	behält	säilitama	behalten	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
säilitab	unterhält	säilitama	unterhalten	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
rõõm	genuss	rõõm	genuss	N;NOM;SG	N
dünaamiline	dynamischen	dünaamiline	dynamisch	ADJ;NOM;SG	ADJ
dünaamiline	dynamischer	dünaamiline	dynamisch	ADJ;NOM;SG	ADJ
dünaamiline	dynamisch	dünaamiline	dynamisch	ADJ;NOM;SG	ADJ
terav	scharf	terav	scharf	ADJ;NOM;SG	ADJ
õpetab	lehrt	õpetama	lehren	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
õpetab	unterrichtet	õpetama	unterrichten	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
väidetud	geltend	väide=tud	geltend	ADJ;PST;V.PTCP;PASS	ADJ
traditsioonilised	traditionellen	traditsiooniline	traditionell	ADJ;NOM;PL	ADJ;NOM;MASC;PL
traditsioonilised	traditionelle	traditsiooniline	traditionell	ADJ;NOM;PL	ADJ;NOM;FEM;PL
traditsioonilised	traditionell	traditsiooniline	traditionell	ADJ;NOM;PL	ADJ
traditsioonilised	traditioneller	traditsiooniline	traditionell	ADJ;NOM;PL	ADJ
kajastab	widerspiegelt	kajastama	widerspiegeln	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kajastab	reflektiert	kajastama	reflektieren	V;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
kajastab	spiegelt	kajastama	spiegeln	V;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
täpsed	zutreffend	täpne	zutreffend	ADJ;NOM;PL	ADJ
täpsed	korrekt	täpne	korrekt	ADJ;NOM;PL	ADJ
täpsed	präzise	täpne	präzis	ADJ;NOM;PL	ADJ
täpsed	genaue	täpne	genau	ADJ;NOM;PL	ADJ;NOM
suurenemine	zunahme	suurenemine	zunahme	N;NOM;SG	N;SG
suurenemine	erhöhung	suurenemine	erhöhung	N;NOM;SG	N;NOM;FEM;SG
institutsioonid	institutionen	institutsioon	institution	N;NOM;PL	N;NOM;PL
institutsioonid	hochschulen	institutsioon	hochschulen	N;NOM;PL	N;NOM;FEM;PL
romantiline	romantischen	romantiline	romantisch	ADJ;NOM;SG	ADJ
romantiline	romantisches	romantiline	romantisch	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
romantiline	romantisch	romantiline	romantisch	ADJ;NOM;SG	ADJ
uhke	stolzer	uhke	stolz	ADJ;NOM;SG	ADJ
uhke	stolz	uhke	stolz	ADJ;NOM;SG	ADJ
uhke	stolzen	uhke	stolzen	ADJ;NOM;SG	ADJ
uhke	schick	uhke	schick	ADJ;NOM;SG	ADJ
uhke	schicke	uhke	schick	ADJ;NOM;SG	ADJ;NOM;FEM;SG
kirjutades	tippen	kirjutama	tippen	V;V.CVB	V;NFIN
haruldased	seltener	haruldane	selten	ADJ;NOM;PL	ADJ
haruldased	selten	haruldane	selten	ADJ;NOM;PL	ADJ
haruldased	seltene	haruldane	selten	ADJ;NOM;PL	ADJ;NOM;PL
haruldased	seltenheit	haruldane	seltenheit	ADJ;NOM;PL	ADJ
marianne	marianne	marianne	marianne	N;NOM;SG	N;NOM;FEM;SG
ajavahemik	periode	aja_vahemik	periode	N;NOM;SG	N;SG
standardid	standards	standard	standards	N;NOM;PL	N;NOM
albumid	alben	album	albe	N;NOM;PL	N;NOM;PL
pühendunud	gewidmet	pühenduma	widmen	V;PST;V.PTCP;ACT	V;V.PTCP
pühendunud	widmete	pühenduma	widmen	V;PST;V.PTCP;ACT	V;IND;SG;3;PST;FIN
pühendunud	engagierten	pühenduma	engagiert	V;PST;V.PTCP;ACT	V;IND;PL;3;PST;FIN
pühendunud	gewidmet	pühenduma	widmen	V;PST;V.PTCP;ACT	V;V.PTCP
pühendunud	widmen	pühenduma	widmen	V;PST;V.PTCP;ACT	V;NFIN
pühendunud	geweiht	pühenduma	weihen	V;PST;V.PTCP;ACT	V;V.PTCP
pühendunud	verpflichtet	pühenduma	verpflichten	V;PST;V.PTCP;ACT	V;V.PTCP
pühendunud	gebunden	pühenduma	binden	V;PST;V.PTCP;ACT	V;V.PTCP
pühendunud	begangen	pühenduma	begehen	V;PST;V.PTCP;ACT	V;V.PTCP
liigitada	einordnen	liigitama	einordnen	V;NFIN	V;NFIN
liigitada	klassifizieren	liigitama	klassifizieren	V;NFIN	V;NFIN
resolutsioon	auflösung	resolutsioon	auflösung	N;NOM;SG	N;NOM;FEM;SG
resolutsioon	entschließung	resolutsioon	Entschließung	N;NOM;SG	N;FEM;SG
mürgine	toxizität	mürgine	toxizität	ADJ;NOM;SG	ADJ
mürgine	toxisch	mürgine	toxisch	ADJ;NOM;SG	ADJ
mürgine	giftig	mürgine	giftig	ADJ;NOM;SG	ADJ
mürgine	giftig	mürgine	giftig	ADJ;NOM;SG	ADJ
mürgine	giftiger	mürgine	giftig	ADJ;NOM;SG	ADJ
mürgine	giftig	mürgine	giftig	ADJ;NOM;SG	ADJ
väärt	wert	väärt	wert	ADJ	ADJ
tapmine	schlachtung	tapmine	schlachtung	N;NOM;SG	N;NOM;FEM;SG
tapmine	schlachtung	tapmine	schlachtung	N;NOM;SG	N;NOM;FEM;SG
read	datensätze	rida	datensatz	N;NOM;PL	N;NOM;FEM;PL
