dihormati	respekteras	dihormati	respektera	V;SG;PASS	V;IND;PRS;FIN;PASS
cakram	skiva	cakram	skiva	N;SG	N;NOM;INDF;MASC+FEM;SG
cakram	disk	cakram	disk	N;SG	N;NOM;INDF;MASC+FEM;SG
cakram	skiva	cakram	skiva	N;SG	N;NOM;INDF;MASC+FEM;SG
penjahat	skurk	penjahat	skurk	N;SG	N;NOM;INDF;MASC+FEM;SG
penjahat	brottsling	penjahat	brottsling	N;SG	N;NOM;INDF;MASC+FEM;SG
penjahat	brottmål	penjahat	brottmål	N;SG	N;NOM;INDF;NEUT;SG
inci	tums	inci	tums	N;SG	N;NOM;INDF;MASC+FEM;SG
inci	tum	inci	tum	N;SG	N;NOM;INDF;MASC+FEM;SG
inci	tum	inci	tum	N;SG	N;NOM;INDF;MASC+FEM;SG
rincian	uppdelning	rincian	uppdelning	N;SG	N;NOM;INDF;MASC+FEM;SG
rincian	fördelning	rincian	fördelning	N;SG	N;NOM;INDF;MASC+FEM;SG
rincian	nedbrytning	rincian	nedbrytning	N;SG	N;NOM;INDF;MASC+FEM;SG
rincian	uppdelning	rincian	uppdelning	N;SG	N;NOM;INDF;MASC+FEM;SG
rincian	detalj	rincian	detalj	N;SG	N;NOM;INDF;MASC+FEM;SG
kegunaan	användning	kegunaan	användning	N;SG	N;NOM;INDF;MASC+FEM;SG
miring	lutning	miring	lutning	N;SG	N;NOM;INDF;MASC+FEM;SG
miring	sned	miring	sned	N;SG	N;NOM;INDF;MASC+FEM;SG
miring	kursiv	miring	kursiv	N;SG	N;NOM;INDF;MASC+FEM;SG
miring	kursiv	miring	kursiv	N;SG	N;NOM;INDF;MASC+FEM;SG
ukiran	gravyr	ukiran	gravyr	N;SG	N;NOM;INDF;MASC+FEM;SG
memukul	slog	menpukul	slå	V;SG;ACT	V;IMP;PST;FIN;ACT
pemirsa	målgruppen	penpirsa	målgrupp	N;SG	N;NOM;DEF;MASC+FEM;SG
pemirsa	publik	penpirsa	publik	N;SG	N;NOM;INDF;MASC+FEM;SG
pemirsa	målgrupp	penpirsa	målgrupp	N;SG	N;NOM;INDF;MASC+FEM;SG
nasihat	rådgivning	nasihat	rådgivning	N;SG	N;NOM;INDF;MASC+FEM;SG
nasihat	rådgivning	nasihat	rådgivning	N;SG	N;NOM;INDF;MASC+FEM;SG
item	varan	item	vara	N	N;NOM;DEF;MASC+FEM;SG
item	objekt	item	objekt	N	N;NOM;INDF;NEUT;SG
item	föremål	item	föremål	N	N;NOM;INDF;NEUT;SG
item	poster	item	post	N	N;NOM;INDF;MASC+FEM;PL
item	objekt	item	objekt	N	N;NOM;INDF;NEUT;SG
item	föremål	item	föremål	N	N;NOM;INDF;NEUT;SG
dipromosikan	främjas	dipromosikan	främja	V;SG;PASS	V;NFIN;PASS
dipromosikan	marknadsförs	dipromosikan	marknadsför	V;SG;PASS	V;IND;PRS;FIN;PASS
regnum	regnum	regnum	regnum	N	N;NOM;INDF;NEUT;SG
radius	radie	radius	radie	N	N;NOM;INDF;MASC+FEM;SG
menerjemahkan	översätter	menterjemahkan	översätta	V;SG;ACT	V;IND;PRS;FIN;ACT
menerjemahkan	översätta	menterjemahkan	översätta	V;SG;ACT	V;IMP;FIN;ACT
menerjemahkan	översätta	menterjemahkan	översätta	V;SG;ACT	V;IMP;FIN;ACT
menerjemahkan	översätt	menterjemahkan	översätt	V;SG;ACT	V;IMP;FIN;ACT
menerjemahkan	översätter	menterjemahkan	översätta	V;SG;ACT	V;IND;PRS;FIN;ACT
taktik	taktik	taktik	taktik	N;SG	N;NOM;INDF;MASC+FEM;SG
taktik	taktik	taktik	taktik	N;SG	N;NOM;INDF;MASC+FEM;SG
emosi	känsla	emosi	känsla	N;SG	N;NOM;INDF;MASC+FEM;SG
debu	stoft	debu	stofta	N;SG	N;NOM;INDF;NEUT;SG
debu	damm	debu	damm	N;SG	N;NOM;INDF;MASC+FEM;SG
drummer	trummis	drummer	trummis	N	N;NOM;INDF;MASC+FEM;SG
drummer	trummisar	drummer	trummis	N	N;NOM;INDF;MASC+FEM;PL
terpanjang	längsta	terpanjang	lång	ADJ;RL;SG	ADJ;NOM;DEF;RL
penalti	påföljd	penalti	påföljd	N;SG	N;NOM;INDF;MASC+FEM;SG
penalti	straff	penalti	straff	N;SG	N;NOM;INDF;NEUT;SG
penalti	påföljd	penalti	påföljd	N;SG	N;NOM;INDF;MASC+FEM;SG
penalti	straff	penalti	straff	N;SG	N;NOM;INDF;NEUT;SG
percakapan	konversation	percakapan	konversation	N;SG	N;NOM;INDF;MASC+FEM;SG
percakapan	samtal	percakapan	samtal	N;SG	N;NOM;INDF;NEUT;SG
percakapan	konversationen	percakapan	konversation	N;SG	N;NOM;DEF;MASC+FEM;SG
percakapan	samtal	percakapan	samtal	N;SG	N;NOM;INDF;NEUT;SG
parasit	parasiter	parasit	parasit	N	N;NOM;INDF;MASC+FEM;PL
parasit	parasit	parasit	parasit	N	N;NOM;INDF;MASC+FEM;SG
parasit	parasiten	parasit	parasit	N	N;NOM;DEF;MASC+FEM;SG
kelaparan	svält	kelaparan	svält	N;SG	N;NOM;INDF;MASC+FEM;SG
kelaparan	svält	kelaparan	svält	N;SG	N;NOM;INDF;MASC+FEM;SG
kelaparan	hungern	kelaparan	hung	N;SG	N;NOM;DEF;MASC+FEM;SG
kelaparan	hunger	kelaparan	hung	N;SG	N;NOM;INDF;MASC+FEM;SG
ajaib	magiskt	ajaib	magisk	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
ajaib	magisk	ajaib	magisk	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
ajaib	magiskt	ajaib	magisk	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
didik	skyddsling	didik	skyddsling	N;SG	N;NOM;INDF;MASC+FEM;SG
didik	skyddsling	didik	skyddsling	N;SG	N;NOM;INDF;MASC+FEM;SG
dirayakan	firas	dirayakan	fira	V;SG;PASS	V;IND;PRS;FIN;PASS
filosofi	filosofin	filosofi	filosofi	N;SG	N;NOM;DEF;MASC+FEM;SG
filosofi	filosofi	filosofi	filosofi	N;SG	N;NOM;INDF;MASC+FEM;SG
mandat	mandat	mandat	manda	N;SG	N;NOM;INDF;NEUT;SG
mandat	mandaten	mandat	mandat	N;SG	N;NOM;DEF;MASC+FEM;SG
mandat	mandatperiod	mandat	mandatperiod	N;SG	N;NOM;INDF;MASC+FEM;SG
mandat	mandat	mandat	manda	N;SG	N;NOM;INDF;NEUT;SG
mandat	mandatet	mandat	mandat	N;SG	N;NOM;DEF;NEUT;SG
meriah	festlig	meriah	festlig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
mainan	leksak	mainan	leksak	N;SG	N;NOM;INDF;MASC+FEM;SG
ungkapan	talesätt	ungkapan	talesätt	N;SG	N;NOM;INDF;NEUT;SG
ungkapan	ordspråk	ungkapan	ordspråk	N;SG	N;NOM;INDF;NEUT;SG
kewarganegaraan	medborgarskap	kewarganegaraan	medborgarskap	N;SG	N;NOM;INDF;NEUT;SG
kewarganegaraan	nationalitet	kewarganegaraan	nationalitet	N;SG	N;NOM;INDF;MASC+FEM;SG
kewarganegaraan	medborgarskap	kewarganegaraan	medborgarskap	N;SG	N;NOM;INDF;NEUT;SG
kecenderungan	tendens	kecenderungan	tendens	N;SG	N;NOM;INDF;MASC+FEM;SG
kecenderungan	benägenhet	kecenderungan	benägenhet	N;SG	N;NOM;INDF;MASC+FEM;SG
topi	hatten	topi	hatt	N;SG	N;NOM;DEF;MASC+FEM;SG
topi	keps	topi	keps	N;SG	N;NOM;INDF;MASC+FEM;SG
topi	mössa	topi	möss	N;SG	N;NOM;INDF;MASC+FEM;SG
topi	hatt	topi	hatt	N;SG	N;NOM;INDF;MASC+FEM;SG
kesetiaan	lojalitet	kesetiaan	lojalitet	N;SG	N;NOM;INDF;MASC+FEM;SG
kesetiaan	trohet	kesetiaan	trohet	N;SG	N;NOM;INDF;MASC+FEM;SG
kapoor	kapoor	kapoor	kapoa	N	N;NOM;INDF;MASC+FEM;SG
mengontrol	kontrollera	menkontrol	kontrollera	V;SG;ACT	V;IMP;FIN;ACT
mengontrol	kontrollerar	menkontrol	kontrollera	V;SG;ACT	V;IND;PRS;FIN;ACT
linguistik	lingvistik	linguistik	lingvistik	N	N;NOM;INDF;MASC+FEM;SG
proton	proton	proton	proton	N;SG	N;NOM;INDF;MASC+FEM;SG
platinum	platina	platinum	platin	N	N;NOM;INDF;NEUT;SG
ilustrasi	illustration	ilustrasi	illustration	N;SG	N;NOM;INDF;MASC+FEM;SG
cap	stämpel	cap	stämpel	N	N;NOM;INDF;MASC+FEM;SG
cap	cap	cap	cap	N	N;NOM;INDF;MASC+FEM;SG
cap	mössa	cap	möss	N	N;NOM;INDF;MASC+FEM;SG
cap	keps	cap	keps	N	N;NOM;INDF;MASC+FEM;SG
cap	lock	cap	lock	N	N;NOM;INDF;NEUT;SG
cap	mössor	cap	mössa	N	N;NOM;INDF;MASC+FEM;PL
bros	brosch	bros	brosch	N	N;NOM;INDF;MASC+FEM;SG
minimum	minimalt	minimum	minimal	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
rekreasi	rekreation	rekreasi	rekreation	N;SG	N;NOM;INDF;MASC+FEM;SG
rekreasi	fritid	rekreasi	fritid	N;SG	N;NOM;INDF;MASC+FEM;SG
rekreasi	rekreation	rekreasi	rekreation	N;SG	N;NOM;INDF;MASC+FEM;SG
hiasan	prydnad	hiasan	prydna	N;SG	N;NOM;INDF;MASC+FEM;SG
hiasan	dekoration	hiasan	dekoration	N;SG	N;NOM;INDF;MASC+FEM;SG
hiasan	garnering	hiasan	garnering	N;SG	N;NOM;INDF;MASC+FEM;SG
kegubernuran	guvernementet	kegubernuran	guvernement	N;SG	N;NOM;DEF;NEUT;SG
poros	skaft	poros	skaft	N;SG	N;NOM;INDF;NEUT;SG
poros	shaft	poros	shaft	N;SG	N;NOM;INDF;MASC+FEM;SG
poros	schakt	poros	schakt	N;SG	N;NOM;INDF;NEUT;SG
poros	schakt	poros	schakt	N;SG	N;NOM;INDF;NEUT;SG
ekologi	ekologi	ekologi	ekologi	N;SG	N;NOM;INDF;MASC+FEM;SG
menyentuh	vidröra	mensentuh	vidröra	V;SG;ACT	V;IMP;FIN;ACT
melampaui	överskrida	menlampaui	överskrida	V;SG;ACT	V;NFIN;ACT
melampaui	överträffa	menlampaui	överträffa	V;SG;ACT	V;IMP;FIN;ACT
melampaui	överstiga	menlampaui	överstiga	V;SG;ACT	V;IMP;FIN;ACT
melampaui	överskrider	menlampaui	överskrida	V;SG;ACT	V;IND;PRS;FIN;ACT
melampaui	överskrida	menlampaui	överskrida	V;SG;ACT	V;NFIN;ACT
melampaui	överskred	menlampaui	överskred	V;SG;ACT	V;IMP;FIN;ACT
skema	schema	skema	schema	N;SG	N;NOM;INDF;NEUT;SG
skema	schema	skema	schema	N;SG	N;NOM;INDF;NEUT;SG
uzbekistan	uzbekiska	uzbekistan	umbekisk	N	N;NOM;INDF;MASC+FEM;SG
mendefinisikan	definiera	mendefinisikan	definiera	V;SG;ACT	V;NFIN;ACT
mendefinisikan	definiera	mendefinisikan	definiera	V;SG;ACT	V;NFIN;ACT
mendefinisikan	definierar	mendefinisikan	definiera	V;SG;ACT	V;IND;PRS;FIN;ACT
mendefinisikan	definierar	mendefinisikan	definiera	V;SG;ACT	V;IND;PRS;FIN;ACT
sumbu	fnöske	sumbu	fnösk	N;SG	N;NOM;INDF;NEUT;SG
sumbu	wick	sumbu	Wå	N;SG	N;NOM;INDF;MASC+FEM;SG
sumbu	wicks	sumbu	picks	N;SG	N;NOM;INDF;MASC+FEM;SG
sumbu	axeln	sumbu	axel	N;SG	N;NOM;DEF;MASC+FEM;SG
meneliti	forskar	menteliti	forska	V;SG;ACT	V;IND;PRS;FIN;ACT
meneliti	forska	menteliti	forsk	V;SG;ACT	V;IMP;FIN;ACT
lidah	tungan	lidah	tung	N;SG	N;NOM;DEF;MASC+FEM;SG
sup	soppan	sup	soppa	N;SG	N;NOM;DEF;MASC+FEM;SG
sup	soppa	sup	soppa	N;SG	N;NOM;INDF;MASC+FEM;SG
demam	feber	demam	febe	N;SG	N;NOM;INDF;MASC+FEM;SG
dicabut	lyfts	dicabut	lyfa	V;SG;PASS	V;V.CVB;PASS
dicabut	återkallas	dicabut	återkalla	V;SG;PASS	V;IND;PRS;FIN;PASS
pengujian	test	penujian	test	N;SG	N;NOM;INDF;NEUT;SG
pengujian	provning	penujian	provning	N;SG	N;NOM;INDF;MASC+FEM;SG
pengujian	test	penujian	test	N;SG	N;NOM;INDF;NEUT;SG
pengujian	test	penujian	test	N;SG	N;NOM;INDF;NEUT;SG
pengujian	testning	penujian	testning	N;SG	N;NOM;INDF;MASC+FEM;SG
pengujian	provning	penujian	provning	N;SG	N;NOM;INDF;MASC+FEM;SG
hilangnya	försvinnandet	hilang	försvinnande	N;SG	N;NOM;DEF;NEUT;SG
email	mejl	email	mejl	N	N;NOM;INDF;NEUT;SG
dipasarkan	saluförs	dipasarkan	saluför	V;SG;PASS	V;IND;PRS;FIN;PASS
dipasarkan	marknadsförs	dipasarkan	marknadsför	V;SG;PASS	V;IND;PRS;FIN;PASS
sertifikat	intyg	sertifikat	intyg	N;SG	N;NOM;INDF;NEUT;SG
sertifikat	certifikat	sertifikat	certifika	N;SG	N;NOM;INDF;NEUT;SG
sertifikat	intyg	sertifikat	intyg	N;SG	N;NOM;INDF;NEUT;SG
sertifikat	certifikat	sertifikat	certifika	N;SG	N;NOM;INDF;NEUT;SG
paralel	parallell	paralel	parallell	N	N;NOM;INDF;MASC+FEM;SG
paralel	paralleller	paralel	parallella	N	N;NOM;INDF;MASC+FEM;PL
kuburan	begravningsplats	kuburan	begravningsplats	N;SG	N;NOM;INDF;MASC+FEM;SG
kuburan	kyrkogård	kuburan	kyrkogård	N;SG	N;NOM;INDF;MASC+FEM;SG
kuburan	begravningsplats	kuburan	begravningsplats	N;SG	N;NOM;INDF;MASC+FEM;SG
kuburan	kyrkogård	kuburan	kyrkogård	N;SG	N;NOM;INDF;MASC+FEM;SG
kuburan	kyrkogården	kuburan	kyrkogård	N;SG	N;NOM;DEF;MASC+FEM;SG
kuburan	grav	kuburan	grav	N;SG	N;NOM;INDF;MASC+FEM;SG
kuburan	graven	kuburan	grav	N;SG	N;NOM;DEF;MASC+FEM;SG
benih	seed	benih	seed	N;SG	N;NOM;INDF;NEUT;SG
benih	frö	benih	frö	N;SG	N;NOM;INDF;NEUT;SG
benih	utsäde	benih	utsäde	N;SG	N;NOM;INDF;NEUT;SG
benih	frö	benih	frö	N;SG	N;NOM;INDF;NEUT;SG
benih	utsäde	benih	utsäde	N;SG	N;NOM;INDF;NEUT;SG
penolakan	avvisning	pentolakan	avvisning	N;SG	N;NOM;INDF;MASC+FEM;SG
interior	interiör	interior	interiö	N;SG	N;NOM;INDF;MASC+FEM;SG
enterprise	företagsamhet	enterprise	företagsamhet	N	N;NOM;INDF;MASC+FEM;SG
enterprise	näringsliv	enterprise	näringsliv	N	N;NOM;INDF;NEUT;SG
enterprise	företag	enterprise	företag	N	N;NOM;INDF;NEUT;PL
enterprise	enterprise	enterprise	enterprise	N	N;NOM;INDF;NEUT;SG
berpengalaman	upplevde	berpengalaman	uppleva	V;SG;ACT	V;IND;PST;FIN;ACT
integrasi	integrering	integrasi	integrering	N;SG	N;NOM;INDF;MASC+FEM;SG
integrasi	integration	integrasi	integration	N;SG	N;NOM;INDF;MASC+FEM;SG
integrasi	integrationen	integrasi	integration	N;SG	N;NOM;DEF;MASC+FEM;SG
staff	personal	staff	personal	N	N;NOM;INDF;MASC+FEM;SG
staff	personalen	staff	personal	N	N;NOM;DEF;MASC+FEM;SG
output	output	output	output	N	N;NOM;INDF;MASC+FEM;SG
output	produktion	output	produktion	N	N;NOM;INDF;MASC+FEM;SG
output	utdata	output	utdata	N	N;NOM;INDF;NEUT;SG
output	utdata	output	utdata	N	N;NOM;INDF;NEUT;SG
mengkritik	kritisera	menkritik	kritisera	V;SG;ACT	V;IMP;FIN;ACT
mengkritik	kritiserar	menkritik	kritisera	V;SG;ACT	V;IND;PRS;FIN;ACT
fisiologi	fysiologi	fisiologi	fysiologi	N	N;NOM;INDF;MASC+FEM;SG
mengingatkan	påminde	meningatkan	påmin	V;SG;ACT	V;IND;PST;FIN;ACT
mengingatkan	påminna	meningatkan	påminna	V;SG;ACT	V;IMP;FIN;ACT
dinamis	dynamisk	dinamis	dynamisk	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
dinamis	dynamiskt	dinamis	dynamisk	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
animation	animering	animation	animering	N	N;NOM;INDF;MASC+FEM;SG
cacing	mask	cacing	mask	N;SG	N;NOM;INDF;MASC+FEM;SG
highland	highland	highland	highland	N	N;NOM;INDF;MASC+FEM;SG
orangtua	förälder	orangtua	förälder	N;SG	N;NOM;INDF;MASC+FEM;SG
gandum	säd	gandum	säd	N;SG	N;NOM;INDF;MASC+FEM;SG
gandum	spannmål	gandum	spannmål	N;SG	N;NOM;INDF;NEUT;SG
gandum	vete	gandum	vete	N;SG	N;NOM;INDF;NEUT;SG
digit	siffra	digit	siffra	N;SG	N;NOM;INDF;MASC+FEM;SG
krim	grädde	krim	gräda	N;SG	N;NOM;INDF;MASC+FEM;SG
krim	kräm	krim	kräm	N;SG	N;NOM;INDF;MASC+FEM;SG
krim	cream	krim	cream	N;SG	N;NOM;INDF;MASC+FEM;SG
cerah	ljust	cerah	ljust	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
cerah	soligt	cerah	solig	ADJ;SG	ADJ;NOM;INDF;NEUT;SG
cerah	solig	cerah	solig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
rupanya	tydligen	rupa	tydligen	ADV;SG	ADV
rupanya	uppenbarligen	rupa	uppenbarligen	ADV;SG	ADV
berikan	ge	berrikan	ge	V;SG;ACT	V;IMP;FIN;ACT
berikan	giv	berrikan	giv	V;SG;ACT	V;IMP;FIN;ACT
transformasi	omvandling	transformasi	omvandling	N;SG	N;NOM;INDF;MASC+FEM;SG
transformasi	förvandling	transformasi	förvandling	N;SG	N;NOM;INDF;MASC+FEM;SG
kekacauan	kaos	kekacauan	kaos	N;SG	N;NOM;INDF;NEUT;SG
kekacauan	kaoset	kekacauan	kaos	N;SG	N;NOM;DEF;NEUT;SG
pilih	välja	pilih	välja	V;SG;ACT	V;IMP;FIN;ACT
pilih	väljer	pilih	välja	V;SG;ACT	V;IND;PRS;FIN;ACT
pilih	välj	pilih	välj	V;SG;ACT	V;IMP;FIN;ACT
pilih	markera	pilih	markera	V;SG;ACT	V;IMP;FIN;ACT
pilih	välj	pilih	välj	V;SG;ACT	V;IMP;FIN;ACT
impor	import	impor	import	N;SG;ACT	N;NOM;INDF;MASC+FEM;SG
impor	import	impor	import	N;SG;ACT	N;NOM;INDF;MASC+FEM;SG
impor	importen	impor	import	N;SG;ACT	N;NOM;DEF;MASC+FEM;SG
kesan	intrycket	kesan	intryck	N;SG	N;NOM;DEF;NEUT;SG
kesan	intryck	kesan	intryck	N;SG	N;NOM;INDF;NEUT;SG
marsekal	marskalk	marsekal	marskalk	N	N;NOM;INDF;MASC+FEM;SG
marsekal	marshal	marsekal	marshal	N	N;NOM;INDF;MASC+FEM;SG
marsekal	sheriff	marsekal	sheriff	N	N;NOM;INDF;MASC+FEM;SG
marsekal	sheriffen	marsekal	sheriff	N	N;NOM;DEF;MASC+FEM;SG
marsekal	marshals	marsekal	marshals	N	N;NOM;INDF;MASC+FEM;SG
acak	slumpmässig	acak	slumpmässig	ADJ;SG	ADJ;NOM;INDF;MASC+FEM;SG
botol	flaska	botol	flaska	N;SG	N;NOM;INDF;MASC+FEM;SG
botol	flaskan	botol	flaska	N;SG	N;NOM;DEF;MASC+FEM;SG
botol	burk	botol	burk	N;SG	N;NOM;INDF;MASC+FEM;SG
kehancuran	förödelse	kehancuran	förödelse	N;SG	N;NOM;INDF;MASC+FEM;SG
kehancuran	ödeläggelse	kehancuran	ödeläggelse	N;SG	N;NOM;INDF;MASC+FEM;SG
kehancuran	ruin	kehancuran	ruin	N;SG	N;NOM;INDF;MASC+FEM;SG
kehancuran	förstörelse	kehancuran	förstörelse	N;SG	N;NOM;INDF;MASC+FEM;SG
kehancuran	förstöring	kehancuran	förstöring	N;SG	N;NOM;INDF;MASC+FEM;SG
kehancuran	destruktion	kehancuran	destruktion	N;SG	N;NOM;INDF;MASC+FEM;SG
kenangan	minnet	kenangan	minn	N;SG	N;NOM;DEF;NEUT;SG
kenangan	minne	kenangan	man	N;SG	N;NOM;INDF;NEUT;SG
kenangan	memory	kenangan	memory	N;SG	N;NOM;INDF;NEUT;SG
pukulan	bål	pukulan	bål	N;SG	N;MASC+FEM;SG
romantis	romans	romantis	romans	N;SG	N;NOM;INDF;MASC+FEM;SG
romantis	romantik	romantis	romantik	N;SG	N;NOM;INDF;MASC+FEM;SG
beri	ge	beri	ge	V;SG;ACT	V;IMP;FIN;ACT
beri	giv	beri	giv	V;SG;ACT	V;IMP;FIN;ACT
mendatang	förestående	mendatang	förestående	ADJ;SG	ADJ;NOM;PRS;V.PTCP
mendatang	kommande	mendatang	kommande	ADJ;SG	ADJ;NOM;PRS;V.PTCP
agregat	aggregat	agregat	aggregat	N;SG	N;NOM;INDF;NEUT;SG
agregat	sammanläggning	agregat	sammanläggning	N;SG	N;NOM;INDF;MASC+FEM;SG
bersembunyi	dölja	bersembunyi	dölja	V;SG;ACT	V;IMP;FIN;ACT
bersembunyi	döljer	bersembunyi	dölja	V;SG;ACT	V;IND;PRS;FIN;ACT
bersembunyi	gömmer	bersembunyi	gömma	V;SG;ACT	V;IND;PRS;FIN;ACT
bersembunyi	gömma	bersembunyi	gömma	V;SG;ACT	V;IMP;FIN;ACT
membatalkan	avbryter	menbatalkan	avbryta	V;SG;ACT	V;IND;PRS;FIN;ACT
perlombaan	lopp	perlombaan	lopp	N;SG	N;NOM;INDF;NEUT;SG
perlombaan	race	perlombaan	race	N;SG	N;NOM;INDF;NEUT;SG
perlombaan	ras	perlombaan	ras	N;SG	N;NOM;INDF;MASC+FEM;SG
perlombaan	tävling	perlombaan	tävling	N;SG	N;NOM;INDF;MASC+FEM;SG
serigala	vargar	serigala	varg	N	N;NOM;INDF;MASC+FEM;PL
serigala	varg	serigala	varg	N	N;NOM;INDF;MASC+FEM;SG
serigala	vargen	serigala	varg	N	N;NOM;DEF;MASC+FEM;SG
ruas	fields	ruas	field	N;SG	N;NOM;INDF;MASC+FEM;SG
ruas	fält	ruas	fält	N;SG	N;NOM;INDF;NEUT;SG
ruas	fälten	ruas	fält	N;SG	N;NOM;DEF;MASC+FEM;SG
taksi	taxi	taksi	taxi	N;SG	N;NOM;INDF;MASC+FEM;SG
taksi	taxi	taksi	taxi	N;SG	N;NOM;INDF;MASC+FEM;SG
taksi	cab	taksi	cab	N;SG	N;NOM;INDF;MASC+FEM;SG
taksi	hytt	taksi	hytt	N;SG	N;NOM;INDF;MASC+FEM;SG
taksi	taxi	taksi	taxi	N;SG	N;NOM;INDF;MASC+FEM;SG
wabah	utbrott	wabah	utbrott	N;SG	N;NOM;INDF;NEUT;SG
wabah	utbrottet	wabah	utbrott	N;SG	N;NOM;DEF;NEUT;SG
wabah	pest	wabah	pest	N;SG	N;NOM;INDF;MASC+FEM;SG
wabah	pesten	wabah	pest	N;SG	N;NOM;DEF;MASC+FEM;SG
wabah	epidemi	wabah	epidemi	N;SG	N;NOM;INDF;MASC+FEM;SG
wabah	epidemin	wabah	epidemin	N;SG	N;NOM;DEF;MASC+FEM;SG
financial	finansiell	financial	finansiell	N	N;NOM;INDF;MASC+FEM;SG
bala	bala	bala	bala	N;SG	N;NOM;INDF;MASC+FEM;SG
lilin	ljus	lilin	ljus	N;SG	N;NOM;INDF;NEUT;SG
lilin	stearinljus	lilin	stearinljus	N;SG	N;NOM;INDF;NEUT;SG
lilin	vax	lilin	vax	N;SG	N;NOM;INDF;NEUT;SG
lilin	wax	lilin	wax	N;SG	N;NOM;INDF;NEUT;SG
lilin	ljus	lilin	ljus	N;SG	N;NOM;INDF;NEUT;SG
lilin	stearinljus	lilin	stearinljus	N;SG	N;NOM;INDF;NEUT;SG
menyerbu	invadera	menserbu	invadera	V;SG;ACT	V;IMP;FIN;ACT
