رده	trieda	رده	trieda	N;SG	N;NOM;FEM;SG
مناطق	okresov	منطقه	okres	N;PL	N;INAN;GEN;MASC;PL
مناطق	obvody	منطقه	obvod	N;PL	N;INAN;NOM;MASC;PL
مناطق	plochy	منطقه	plocha	N;PL	N;NOM;FEM;PL
مناطق	oblasti	منطقه	oblasť	N;PL	N;NOM;FEM;PL
هر	každý	هر	každý	DET	DET;ANIM;NOM;MASC;SG
هر	každá	هر	každý	DET	DET;NOM;FEM;SG
هر	akékoľvek	هر	akýkoľvek	DET	DET;NOM;NEUT;SG
هر	akýkoľvek	هر	akýkoľvek	DET	DET;ANIM;NOM;MASC;SG
هر	akýchkoľvek	هر	akýkoľvek	DET	DET;GEN;MASC;PL
باشگاه	klub	باشگاه	klub	N;SG	N;INAN;NOM;MASC;SG
باشگاه	klubu	باشگاه	klub	N;SG	N;INAN;GEN;MASC;SG
باشگاه	telocvični	باشگاه	telocvičňa	N;SG	N;DAT;FEM;SG
باشگاه	fenerbahçe	باشگاه	fenerbahka	N;SG	N;INAN;NOM;MASC;SG
شهرهای	obce	شهر	obec	N;PL	N;NOM;FEM;PL
شهرهای	obcí	شهر	obec	N;PL	N;GEN;FEM;PL
دانشگاه	univerzita	دانشگاه	univerzita	N;SG	N;NOM;FEM;SG
دانشگاه	univerzite	دانشگاه	univerzite	N;SG	N;NOM;FEM;SG
دانشگاه	kolégium	دانشگاه	kolégium	N;SG	N;NOM;NEUT;SG
مورد	case	مورد	cas	N;SG	N;INAN;NOM;MASC;SG
مورد	prípade	مورد	prípad	N;SG	N;INAN;NOM;MASC;SG
مورد	prípad	مورد	prípad	N;SG	N;INAN;NOM;MASC;SG
مورد	kufrík	مورد	kufrík	N;SG	N;INAN;NOM;MASC;SG
سده	storočí	سده	storočie	N;SG	N;NOM;NEUT;SG
سده	storočie	سده	storočie	N;SG	N;NOM;NEUT;SG
ثبت	zaznamenávanie	ثبت	zaznamenávanie	N;SG	N;NOM;NEUT;SG
ثبت	ťažba	ثبت	ťažba	N;SG	N;NOM;FEM;SG
ثبت	denník	ثبت	denník	N;SG	N;INAN;NOM;MASC;SG
وجود	existenciou	وجود	existencia	N;SG	N;INS;FEM;SG
وجود	existenciu	وجود	existencia	N;SG	N;ACC;FEM;SG
وجود	existencia	وجود	existencia	N;SG	N;NOM;FEM;SG
زبان	jazyk	زبان	jazyk	N;SG	N;INAN;NOM;MASC;SG
زبان	jazyka	زبان	jazyk	N;SG	N;INAN;GEN;MASC;SG
زبان	jazyk	زبان	jazyk	N;SG	N;INAN;NOM;MASC;SG
زبان	jazyka	زبان	jazyk	N;SG	N;INAN;GEN;MASC;SG
زبان	jazyku	زبان	jazyk	N;SG	N;INAN;DAT;MASC;SG
شماره	číslo	شماره	číslo	N;SG	N;NOM;NEUT;SG
شماره	počet	شماره	počet	N;SG	N;INAN;NOM;MASC;SG
شماره	čislo	شماره	čislo	N;SG	N;NOM;NEUT;SG
کار	prácu	کار	práca	N;SG	N;ACC;FEM;SG
کار	zamestnanie	کار	zamestnanie	N;SG	N;NOM;NEUT;SG
کار	praca	کار	praca	N;SG	N;NOM;FEM;SG
کار	práca	کار	práca	N;SG	N;NOM;FEM;SG
کار	dielo	کار	dielo	N;SG	N;NOM;NEUT;SG
کار	praca	کار	praca	N;SG	N;NOM;FEM;SG
کار	práca	کار	práca	N;SG	N;NOM;FEM;SG
کار	práca	کار	práca	N;SG	N;NOM;FEM;SG
اما	ale	اما	ale	CONJ	CONJ
بازیگران	natáčania	بازیگر	natáčanie	N;PL	N;NOM;NEUT;PL
بازیگران	herci	بازیگر	herec	N;PL	N;ANIM;NOM;MASC;PL
بازیگران	aktéri	بازیگر	aktér	N;PL	N;ANIM;NOM;MASC;PL
بازیگران	aktérov	بازیگر	aktér	N;PL	N;ANIM;ACC;MASC;PL
بازیگران	hercov	بازیگر	herec	N;PL	N;ANIM;ACC;MASC;PL
فرودگاه	letisko	فرودگاه	letisko	N;SG	N;NOM;NEUT;SG
صورت	tvárou	صورت	tvár	N;SG	N;INS;FEM;SG
صورت	tvár	صورت	tvár	N;SG	N;NOM;FEM;SG
مرکز	central	مرکز	centrať	N;SG	N;NOM;NEUT;SG
مرکز	centrum	مرکز	centrum	N;SG	N;NOM;NEUT;SG
مرکز	centre	مرکز	centrum	N;SG	N;NOM;NEUT;SG
مرکز	center	مرکز	center	N;SG	N;INAN;NOM;MASC;SG
مرکز	stred	مرکز	stred	N;SG	N;INAN;NOM;MASC;SG
مرکز	centrum	مرکز	centrum	N;SG	N;NOM;NEUT;SG
مرکز	centre	مرکز	centrum	N;SG	N;NOM;NEUT;SG
مرکز	stredisko	مرکز	stredisko	N;SG	N;NOM;NEUT;SG
مرکز	stred	مرکز	stred	N;SG	N;INAN;NOM;MASC;SG
زمان	dobe	زمان	dobe	N;SG	N;DAT;FEM;SG
زمان	čas	زمان	čas	N;SG	N;INAN;NOM;MASC;SG
زمان	doba	زمان	doba	N;SG	N;NOM;FEM;SG
شرکت	firma	شرکت	firm	N;SG	N;NOM;FEM;SG
شرکت	spoločnosť	شرکت	spoločnosť	N;SG	N;NOM;FEM;SG
مقاله	esej	مقاله	esej	N;SG	N;NOM;FEM;SG
مقاله	článku	مقاله	článok	N;SG	N;INAN;GEN;MASC;SG
مقاله	článok	مقاله	článok	N;SG	N;INAN;NOM;MASC;SG
تیم	mužstvo	تیم	mužstvo	N;SG	N;NOM;NEUT;SG
تیم	tím	تیم	tím	N;SG	N;INAN;NOM;MASC;SG
مرد	muž	مرد	muž	N;SG	N;ANIM;NOM;MASC;SG
مرد	človek	مرد	človek	N;SG	N;ANIM;NOM;MASC;SG
انگلیسی	angličtina	انگلیسی	angličtina	N;SG	N;NOM;FEM;SG
انگلیسی	angličtine	انگلیسی	angličtina	N;SG	N;DAT;FEM;SG
انگلیسی	slovenčina	انگلیسی	slovenčina	N;SG	N;NOM;FEM;SG
انگلیسی	slovak	انگلیسی	slovak	N;SG	N;NOM;NEUT;SG
نظر	komentár	نظر	komentár	N;SG	N;INAN;NOM;MASC;SG
نظر	mienka	نظر	mienka	N;SG	N;NOM;FEM;SG
نظر	názor	نظر	názor	N;SG	N;INAN;NOM;MASC;SG
نظر	stanovisko	نظر	stanovisko	N;SG	N;NOM;NEUT;SG
جهانی	international	جهانی	internationať	N;SG	N;INAN;NOM;MASC;SG
جهانی	sveta	جهانی	svet	N;SG	N;INAN;GEN;MASC;SG
جهانی	svete	جهانی	svet	N;SG	N;INAN;ESS;MASC;SG
جهانی	svet	جهانی	svet	N;SG	N;INAN;NOM;MASC;SG
جهانی	svetom	جهانی	svet	N;SG	N;INAN;INS;MASC;SG
زندگی	života	زندگی	život	N;SG	N;INAN;GEN;MASC;SG
زندگی	život	زندگی	život	N;SG	N;INAN;NOM;MASC;SG
زن	žena	زن	žena	N;SG	N;NOM;FEM;SG
زن	samica	زن	samica	N;SG	N;NOM;FEM;SG
زن	žena	زن	žena	N;SG	N;NOM;FEM;SG
زن	manželku	زن	manželka	N;SG	N;ACC;FEM;SG
زن	žena	زن	žena	N;SG	N;NOM;FEM;SG
زن	manželka	زن	manželka	N;SG	N;NOM;FEM;SG
زیر	pod	زیر	pod	ADP	ADP;INS
زیر	pod	زیر	pod	ADP	ADP;INS
زیر	podľa	زیر	podľa	ADP	ADP;GEN
هستند	sú	هست	byť	V;PL;3;PRS	V;IPFV;IND;PL;3;POS;PRS;FIN
جوایز	ocenenia	جایزه	ocenenie	N;PL	N;NOM;NEUT;PL
جوایز	ceny	جایزه	cena	N;PL	N;NOM;FEM;PL
جوایز	ocenenia	جایزه	ocenenie	N;PL	N;NOM;NEUT;PL
روستا	dedinka	روستا	dedinka	N;SG	N;NOM;FEM;SG
روستا	dedine	روستا	dedina	N;SG	N;DAT;FEM;SG
روستا	dedina	روستا	dedina	N;SG	N;NOM;FEM;SG
روستا	obec	روستا	obec	N;SG	N;NOM;FEM;SG
تهران	teheráne	تهران	teherána	N;SG	N;INAN;NOM;MASC;SG
بازی	zápas	بازی	zápas	N;SG	N;INAN;NOM;MASC;SG
بازی	hra	بازی	hra	N;SG	N;NOM;FEM;SG
تاریخی	historický	تاریخی	historický	ADJ	ADJ;INAN;NOM;MASC;SG
تاریخی	historické	تاریخی	historický	ADJ	ADJ;NOM;NEUT;SG
تاریخی	historická	تاریخی	historický	ADJ	ADJ;NOM;FEM;SG
تاریخی	historický	تاریخی	historický	ADJ	ADJ;INAN;NOM;MASC;SG
تاریخی	historické	تاریخی	historický	ADJ	ADJ;NOM;NEUT;SG
تاریخی	historická	تاریخی	historický	ADJ	ADJ;NOM;FEM;SG
سرشماری	sčítanie	سرشماری	sčítanie	N;SG	N;NOM;NEUT;SG
فرانسه	francúzština	فرانسه	francúzština	N;SG	N;NOM;FEM;SG
فرانسه	francúzsky	فرانسه	francúzsky	N;SG	N;ANIM;NOM;MASC;SG
فرانسه	francúz	فرانسه	francúz	N;SG	N;ANIM;NOM;MASC;SG
فرانسه	francúzska	فرانسه	francúzsky	N;SG	N;NOM;FEM;SG
فرانسه	francúzska	فرانسه	francúzsky	N;SG	N;NOM;FEM;SG
جنگ	vojna	جنگ	vojna	N;SG	N;NOM;FEM;SG
دست	rameno	دست	rameno	N;SG	N;NOM;NEUT;SG
دست	ruka	دست	ruka	N;SG	N;NOM;FEM;SG
دست	ruku	دست	ruka	N;SG	N;ACC;FEM;SG
دست	ruka	دست	ruka	N;SG	N;NOM;FEM;SG
دست	rukou	دست	ruka	N;SG	N;INS;FEM;SG
دست	ruku	دست	ruka	N;SG	N;ACC;FEM;SG
شورای	rada	شورا	rád	N;SG	N;NOM;FEM;SG
محل	miesto	محل	miesto	N;SG	N;NOM;NEUT;SG
محل	place	محل	placať	N;SG	N;NOM;MASC;SG
محل	umiestnenie	محل	umiestnenie	N;SG	N;NOM;NEUT;SG
محل	miesto	محل	miesto	N;SG	N;NOM;NEUT;SG
محل	poloha	محل	poloha	N;SG	N;NOM;FEM;SG
محل	lokalita	محل	lokalita	N;SG	N;NOM;FEM;SG
کتاب	kniha	کتاب	kniha	N;SG	N;NOM;FEM;SG
کتاب	knižku	کتاب	knižka	N;SG	N;ACC;FEM;SG
کتاب	knihu	کتاب	kniha	N;SG	N;ACC;FEM;SG
آلمان	nemčina	آلمان	nemčina	N;SG	N;NOM;FEM;SG
سطح	povrch	سطح	povrch	N;SG	N;INAN;NOM;MASC;SG
سطح	povrchu	سطح	povrch	N;SG	N;INAN;GEN;MASC;SG
سطح	level	سطح	levieť	N;SG	N;INAN;NOM;MASC;SG
سطح	úroveň	سطح	úroveň	N;SG	N;NOM;FEM;SG
سطح	hladina	سطح	hladina	N;SG	N;NOM;FEM;SG
سطح	úrovni	سطح	úroveň	N;SG	N;DAT;FEM;SG
اصلی	hlavné	اصلی	hlavný	ADJ	ADJ;NOM;NEUT;SG
اصلی	hlavná	اصلی	hlavný	ADJ	ADJ;NOM;FEM;SG
اصلی	hlavný	اصلی	hlavný	ADJ	ADJ;ANIM;NOM;MASC;SG
اصلی	originálny	اصلی	originálny	ADJ	ADJ;INAN;NOM;MASC;SG
اصلی	pôvodný	اصلی	pôvodný	ADJ	ADJ;INAN;NOM;MASC;SG
اصلی	originálne	اصلی	originálne	ADJ	ADJ;NOM;NEUT;SG
اصلی	pôvodné	اصلی	pôvodný	ADJ	ADJ;NOM;NEUT;SG
اصلی	primárna	اصلی	primárny	ADJ	ADJ;NOM;FEM;SG
اصلی	primárny	اصلی	primárny	ADJ	ADJ;ANIM;NOM;MASC;SG
ساخت	konštrukcia	ساخت	konštrukcia	N;SG	N;NOM;FEM;SG
ساخت	výstavba	ساخت	výstavba	N;SG	N;NOM;FEM;SG
ساخت	stavba	ساخت	stavba	N;SG	N;NOM;FEM;SG
ساخت	stavebníctvo	ساخت	stavebníctvo	N;SG	N;NOM;NEUT;SG
ساخت	výroba	ساخت	výroba	N;SG	N;NOM;FEM;SG
المپیک	olympiádu	المپیک	olympiád	N;SG	N;ACC;FEM;SG
اول	prvý	اول	prvý	ADJ	ADJ;ANIM;NOM;MASC;SG
اول	prvy	اول	prva	ADJ	ADJ;INAN;NOM;MASC;SG
اول	prvé	اول	prvý	ADJ	ADJ;NOM;NEUT;SG
اول	prvá	اول	prvý	ADJ	ADJ;NOM;FEM;SG
سازمان	organizáciu	سازمان	organizácia	N;SG	N;ACC;FEM;SG
سازمان	organizácia	سازمان	organizácia	N;SG	N;NOM;FEM;SG
سازمان	organizáciu	سازمان	organizácia	N;SG	N;ACC;FEM;SG
سازمان	organizácia	سازمان	organizácia	N;SG	N;NOM;FEM;SG
سازمان	agentúra	سازمان	agentúra	N;SG	N;NOM;FEM;SG
سه	tri	سه	tri	NUM	NUM;INAN;NOM;MASC;PL
سه	troch	سه	tri	NUM	NUM;GEN;MASC;PL
سه	traja	سه	tri	NUM	NUM;ANIM;NOM;MASC;PL
دارای	preslávený	دارا	preslávený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
مرکزی	sústredené	مرکزی	sústredený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
مرکزی	sústredená	مرکزی	sústredený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
مرکزی	zameraný	مرکزی	zameraný	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
مرکزی	sústredená	مرکزی	sústredený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
مرکزی	sústredené	مرکزی	sústredený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
مرکزی	centrálna	مرکزی	centrálny	ADJ	ADJ;NOM;FEM;SG
مرکزی	stredná	مرکزی	stredný	ADJ	ADJ;NOM;FEM;SG
مرکزی	centrálny	مرکزی	centrálny	ADJ	ADJ;INAN;NOM;MASC;SG
ایالت	štátu	ایالت	štát	N;SG	N;INAN;GEN;MASC;SG
ایالت	štát	ایالت	štát	N;SG	N;INAN;NOM;MASC;SG
زنده	živá	زنده	živý	ADJ	ADJ;NOM;FEM;SG
زنده	živý	زنده	živý	ADJ	ADJ;ANIM;NOM;MASC;SG
بین	medzi	بین	medzi	ADP	ADP;INS
انگلستان	anglicka	انگلستان	anglicko	N;SG	N;NOM;FEM;SG
دوم	druhá	دوم	druhý	ADJ	ADJ;NOM;FEM;SG
دوم	druhé	دوم	druhý	ADJ	ADJ;NOM;NEUT;SG
دوم	druhe	دوم	druh	ADJ	ADJ;INAN;NOM;MASC;SG
دوم	druhý	دوم	druhý	ADJ	ADJ;INAN;NOM;MASC;SG
موسیقی	music	موسیقی	musica	N;SG	N;NOM;MASC;SG
موسیقی	hudba	موسیقی	hudba	N;SG	N;NOM;FEM;SG
موسیقی	hudbu	موسیقی	hudba	N;SG	N;ACC;FEM;SG
گروه	pásmo	گروه	pásmo	N;SG	N;NOM;NEUT;SG
گروه	kapela	گروه	kapel	N;SG	N;NOM;FEM;SG
گروه	skupinu	گروه	skupina	N;SG	N;ACC;FEM;SG
گروه	skupina	گروه	skupina	N;SG	N;NOM;FEM;SG
جایزه	bonus	جایزه	bonus	N;SG	N;INAN;NOM;MASC;SG
جایزه	ocenenie	جایزه	ocenenie	N;SG	N;NOM;NEUT;SG
جایزه	zadanie	جایزه	zadanie	N;SG	N;NOM;NEUT;SG
جنوبی	juhu	جنوبی	juh	N;SG	N;INAN;NOM;MASC;SG
جنوبی	juhu	جنوبی	juh	N;SG	N;INAN;NOM;MASC;SG
جنوبی	juh	جنوبی	juh	N;SG	N;INAN;NOM;MASC;SG
روز	deň	روز	deň	N;SG	N;INAN;NOM;MASC;SG
روز	dňa	روز	deň	N;SG	N;INAN;GEN;MASC;SG
جمهوری	republike	جمهوری	republika	N;SG	N;DAT;FEM;SG
جمهوری	republika	جمهوری	republika	N;SG	N;NOM;FEM;SG
مرگ	smrt	مرگ	smrt	N;SG	N;NOM;FEM;SG
مرگ	smrť	مرگ	smrť	N;SG	N;NOM;FEM;SG
مرگ	úmrtie	مرگ	úmrtie	N;SG	N;NOM;NEUT;SG
