цинка	جست	цинк	جست	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
преемственность	تسلسل	преемственность	تسلسل	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
огненный	متمنی	огненный	متمنی	ADJ;NOM;MASC;SG	ADJ
толстая	قریبی	толстый	قریبی	ADJ;NOM;FEM;SG	ADJ
толстая	قریبی	толстый	قریبی	ADJ;NOM;FEM;SG	ADJ
толстая	روغنی	толстый	روغنی	ADJ;NOM;FEM;SG	ADJ
толстая	زرخیز	толстый	زرخیز	ADJ;NOM;FEM;SG	ADJ
толстая	مقتدر	толстый	مقتدر	ADJ;NOM;FEM;SG	ADJ
толстая	موٹا	толстый	موٹا	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
толстая	روغنی	толстый	روغنی	ADJ;NOM;FEM;SG	ADJ
толстая	زرخیز	толстый	زرخیز	ADJ;NOM;FEM;SG	ADJ
толстая	مقتدر	толстый	مقتدر	ADJ;NOM;FEM;SG	ADJ
кап	اوپر	кап	پر		
кап	غبی	кап	غبی		
горизонт	تجربے	горизонт	تجربہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
развернуть	بچھانا	развернуть	بچھا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
резервных	مستعدی	резервный	مستعدی	ADJ;GEN;PL	ADJ
разумные	مناسب	разумный	مناسب	ADJ;NOM;PL	ADJ
разумные	متوازن	разумный	متوازن	ADJ;NOM;PL	ADJ
разумные	فہمیدہ.	разумный	فہمیدہ.	ADJ;NOM;PL	ADJ
разумные	مناسب	разумный	مناسب	ADJ;NOM;PL	ADJ
разумные	معقول	разумный	معقول	ADJ;NOM;PL	ADJ
разумные	متوازن	разумный	متوازن	ADJ;NOM;PL	ADJ
разумные	فہمیدہ.	разумный	فہمیدہ.	ADJ;NOM;PL	ADJ
простота	سادگی	простота	سادگی	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
нарушить	توڑنا	нарушить	توڑ	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
выезд	برآمدگی	выезд	برآمدگی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
выезд	اخراج	выезд	اخراج	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
выезд	آزمائش	выезд	آزمائش	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
выезд	روانگی	выезд	روانگی	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
выезд	آزمائش	выезд	آزمائش	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
смелость	ہمت	смелость	ہمت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
крайняя	جابرانہ	крайний	جابرانہ	ADJ;NOM;FEM;SG	ADJ
крайняя	آخری	крайний	آخری	ADJ;NOM;FEM;SG	ADJ
крайняя	سخت	крайний	سخت	ADJ;NOM;FEM;SG	ADJ
чувствовать	سوچنا	чувствовать	سوچ	V;IPFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
конкретная	واضح	конкретный	واضح	ADJ;NOM;FEM;SG	ADJ
конкретная	اصلی	конкретный	اصلی	ADJ;NOM;FEM;SG	ADJ
конкретная	واضح	конкретный	واضح	ADJ;NOM;FEM;SG	ADJ
пустыня	کرم	пустыня	کرم	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пустыня	سزا	пустыня	سزا	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пустыня	کرم	пустыня	کرم	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пустыня	سزا	пустыня	سزا	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
пустыня	صحرا	пустыня	صحرا	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
трансфер	ٹکٹ	трансфер	ٹکٹ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
трансфер	املاک	трансфер	ملک	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
трансфер	کلب	трансфер	کلب	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
орел	عقاب	орести	عقاب	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
конкуренция	آزمائش	конкуренция	آزمائش	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
необычно	انوکھا	необычно	انوکھا	ADJ;NEUT;SG	ADJ;NOM;MASC;SG
необычно	غیرمعمولی	необычно	غیرمعمولی	ADJ;NEUT;SG	ADJ
совместимость	موافقت	совместимость	موافقت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
стальные	مضبوطی	стальной	مضبوطی	ADJ;NOM;PL	ADJ
стальные	آہنی	стальной	آہنی	ADJ;NOM;PL	ADJ
седьмая	ساتواں	седьмой	ساتواں	ADJ;NOM;FEM;SG	ADJ
обман	دھوکا	обман	دھوکا	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
обман	چکمہ	обман	چکمہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
обман	جعل	обман	جعل	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
эффективный	لائق	эффективный	لائق	ADJ;NOM;MASC;SG	ADJ
эффективный	نافذ	эффективный	نافذ	ADJ;NOM;MASC;SG	ADJ
нехватка	کمی	нехватка	کمی	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
нехватка	کمی	нехватка	کمی	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
неполный	نامکمل	неполный	نامکمل	ADJ;NOM;MASC;SG	ADJ
разрез	شگاف	разрез	شگاف	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
обязательный	لازمی	обязательный	لازمی	ADJ;NOM;MASC;SG	ADJ
обязательный	ضروری	обязательный	ضروری	ADJ;NOM;MASC;SG	ADJ
полезное	مفید	полезный	مفید	ADJ;NOM;NEUT;SG	ADJ
эффективное	لائق	эффективный	لائق	ADJ;NOM;NEUT;SG	ADJ
эффективное	نافذ	эффективный	نافذ	ADJ;NOM;NEUT;SG	ADJ
справедливая	صاف	справедливый	صاف	ADJ;NOM;FEM;SG	ADJ
справедливая	اچھا	справедливый	اچھا	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
справедливая	منصفانہ	справедливый	منصفانہ	ADJ;NOM;FEM;SG	ADJ
справедливая	ٹھیک	справедливый	ٹھیک	ADJ;NOM;FEM;SG	ADJ
справедливая	واضح	справедливый	واضح	ADJ;NOM;FEM;SG	ADJ
справедливая	تعریفی	справедливый	تعریفی	ADJ;NOM;FEM;SG	ADJ
справедливая	عمدہ	справедливый	عمدہ	ADJ;NOM;FEM;SG	ADJ
справедливая	مکمل	справедливый	مکمل	ADJ;NOM;FEM;SG	ADJ
водород	ہائڈروجن	водород	ہائڈروجن	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
загрязнение	چھوت	загрязнение	چھوت	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
уха	سماعت	ухо	سماعت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
почва	داغ	почва	داغ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
почва	فضلہ	почва	فضلہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
почва	گندگی	почва	گندگی	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
равное	برابر	равный	برابر	ADJ;NOM;NEUT;SG	ADJ
равное	متوازن	равный	متوازن	ADJ;NOM;NEUT;SG	ADJ
равное	یکساں	равный	یکساں	ADJ;NOM;NEUT;SG	ADJ
равное	برابر	равный	برابر	ADJ;NOM;NEUT;SG	ADJ
равное	متوازن	равный	متوازن	ADJ;NOM;NEUT;SG	ADJ
миграция	مہاجرت	миграция	مہاجرت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
глупо	احمقانہ	глупый	احمقانہ	ADJ;NEUT;SG	ADJ
глупо	احمقانہ	глупый	احمقانہ	ADJ;NEUT;SG	ADJ
глупо	سادہ	глупый	سادہ	ADJ;NEUT;SG	ADJ
глупо	احمقانہ	глупый	احمقانہ	ADJ;NEUT;SG	ADJ
параллель	موازنہ	параллель	موازنہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
столбец	ستون	столбец	ستون	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
столбец	ستون	столбец	ستون	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
фашизм	فسطائیت	фашизм	فسطائیت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
отрицать	ماننے	отрицать	مان	V;IPFV;NFIN;ACT	V;ACC;NFIN
продлить	بڑھانا	продлить	بڑھا	V;PFV;NFIN;ACT	V;MASC;SG;NFIN;ACT
счастливый	مناسب	счастливый	مناسب	ADJ;NOM;MASC;SG	ADJ
счастливый	خوش	счастливый	خوش	ADJ;NOM;MASC;SG	ADJ
счастливый	مناسب	счастливый	مناسب	ADJ;NOM;MASC;SG	ADJ
уголок	کونا	уголок	کونا	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
уголок	زاویہ	уголок	زاویہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
возбуждение	جوش	возбуждение	جوش	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
возбуждение	اشتعال	возбуждение	اشتعال	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
свидетель	گواہی	свидетель	گواہی	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;3
свидетель	شہادت	свидетель	شہادت	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
свидетель	گواہی	свидетель	گواہی	N;ANIM;NOM;MASC;SG	N;NOM;FEM;SG;3
свидетель	گواہ	свидетель	گواہ	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
психологическая	ذہنی	психологический	ذہنی	ADJ;NOM;FEM;SG	ADJ
клей	ملصق	клей	ملصق	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
болен	ناموافق	больной	ناموافق	ADJ;MASC;SG	ADJ
болен	ناپختہ.	больной	ناپختہ.	ADJ;MASC;SG	ADJ
болен	خراب	больной	خراب	ADJ;MASC;SG	ADJ
болен	ناقص	больной	ناقص	ADJ;MASC;SG	ADJ
болен	ناموافق	больной	ناموافق	ADJ;MASC;SG	ADJ
болен	خرابی	больной	خرابی	ADJ;MASC;SG	ADJ
болен	ناپختہ.	больной	ناپختہ.	ADJ;MASC;SG	ADJ
болен	خراب	больной	خراب	ADJ;MASC;SG	ADJ
болен	ناقص	больной	ناقص	ADJ;MASC;SG	ADJ
болен	بیمار	больной	بیمار	ADJ;MASC;SG	ADJ
аромат	خوشبو	аромат	خوشبو	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
превышение	زیادتی	превышение	زیادتی	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;3
эквивалент	مقدار	эквивалент	مقدار	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
эквивалент	مساوی	эквивалент	مساوی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
отрицательное	ناموافق	отрицательный	ناموافق	ADJ;NOM;NEUT;SG	ADJ
отрицательное	نامساعد	отрицательный	نامساعد	ADJ;NOM;NEUT;SG	ADJ
отрицательное	ناموافق	отрицательный	ناموافق	ADJ;NOM;NEUT;SG	ADJ
отрицательное	نامساعد	отрицательный	نامساعد	ADJ;NOM;NEUT;SG	ADJ
отрицательное	منفی	отрицательный	منفی	ADJ;NOM;NEUT;SG	ADJ
флеш	شوخ	флеш	شوخ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
флеш	تازگی	флеш	تازگی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
флеш	توانائی	флеш	توانائی	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
насильно	جبراً	насильно	جبراً	ADV	ADV
вечная	غیرمبدّل	вечный	غیرمبدّل	ADJ;NOM;FEM;SG	ADJ
подросток	جوان	подросток	جوان	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
подросток	جوان	подросток	جوان	N;ANIM;NOM;MASC;SG	N;NOM;MASC;SG;3
суббота	ہفتہ	суббота	ہفتہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
мораль	کہاوت	мораль	کہاوت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
мораль	اخلاق	мораль	اخلاق	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
филд	سمندر	филд	سمندر	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
филд	برف	филд	برف	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
филд	سکّے	филд	سک	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
филд	شعبہ	филд	شعبہ	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
филд	لڑائی	филд	لڑائی	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG;3
круглая	اسطوانی	круглый	اسطوانی	ADJ;NOM;FEM;SG	ADJ;NOM
круглая	اسطوانی	круглый	اسطوانی	ADJ;NOM;FEM;SG	ADJ;NOM
взаимной	مشترک.	взаимный	مشترک.	ADJ;INS;FEM;SG	ADJ
взаимной	باہمی	взаимный	باہمی	ADJ;INS;FEM;SG	ADJ
взаимной	مشترک.	взаимный	مشترک.	ADJ;INS;FEM;SG	ADJ
дорожка	آدمی	дорожка	آدمی	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
дорожка	ٹینک	дорожка	ٹینک	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
отпечаток	نقش	отпечаток	نقش	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
навскидку	ارتجالاً	навскидка	ارتجالاً	ADV	ADV
динамических	فعال	динамический	فعال	ADJ;GEN;PL	ADJ
мудрый	عاقلانہ	мудрый	عاقلانہ	ADJ;NOM;MASC;SG	ADJ
мудрый	مستعد	мудрый	مستعد	ADJ;NOM;MASC;SG	ADJ
мудрый	عاقلانہ	мудрый	عاقلانہ	ADJ;NOM;MASC;SG	ADJ
мудрый	مستعد	мудрый	مستعد	ADJ;NOM;MASC;SG	ADJ
ретро	لباس	ретро	لباس	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
ретро	مذاق	ретро	مذاق	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
депрессия	نقاہت	депрессия	نقاہت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
депрессия	اداسی	депрессия	اداسی	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
неудача	تباہی	неудача	تباہی	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
неудача	ناکامی	неудача	ناکامی	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
неудача	تباہی	неудача	تباہی	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
неудача	پسپائی	неудача	پسپائی	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;3
неудача	رکاوٹ	неудача	رکاوٹ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
яркая	مرتعش.	яркий	مرتعش.	ADJ;NOM;FEM;SG	ADJ
яркая	روشن	яркий	روشن	ADJ;NOM;FEM;SG	ADJ
яркая	ذہین	яркий	ذہین	ADJ;NOM;FEM;SG	ADJ
минута	اہمیت	минута	اہمیت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
минута	اہمیت	минута	اہمیت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
минута	لمحہ	минута	لمحہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
минута	پل	минута	پل	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
минута	حقیر	минута	حقیر	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
челюсть	منہ	челюсть	منہ	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
челюсть	گرفت	челюсть	گرفت	N;INAN;NOM;FEM;SG	N;NOM;MASC;SG;3
суп	گوشت	суп	گوشت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
суп	یخنی	суп	یخنی	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
суп	گوشت	суп	گوشت	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
незамедлительно	فوراً	незамедлительно	فوراً	ADV	ADV
соул	روح	соул	روح	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG;3
забавно	دلچسپ	забавный	دلچسپ	ADJ;NEUT;SG	ADJ
забавно	پُرلطف	забавный	پُرلطف	ADJ;NEUT;SG	ADJ
