nie	ne	nie	ne	PART	PART
bestaan	obstajajo	bestaan	obstajati	V;PRS	V;IPFV;IND;PL;3;PRS;FIN
bestaan	obstaja	bestaan	obstajati	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
svg	svg	svg	svg	N;SG	N;NOM;MASC;SG
nasionale	nacionalna	nasionaal	nacionalen	ADJ;NOM	ADJ;NOM;FEM;SG
nasionale	nacionalno	nasionaal	nacionalen	ADJ;NOM	ADJ;NOM;NEUT;SG
nasionale	nacionalni	nasionaal	nacionalen	ADJ;NOM	ADJ;NOM;MASC;SG
maak	naredi	maak	narediti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
kom	pridi	kom	pridi	V;PRS	V;PFV;IMP;SG;2;FIN
vanaf	iz	vanaf	iz	ADP	ADP;GEN
vanaf	od	vanaf	od	ADP	ADP;GEN
saam	skupaj	saam	skupaj	ADV	ADV
veral	posebej	veral	posebej	ADV	ADV
hier	tukaj	hier	tukaj	ADV	ADV
tyd	čas	tyd	čas	N;SG	N;NOM;MASC;SG
tyd	časa	tyd	čas	N;SG	N;GEN;MASC;SG
vlag	označitev	vlag	označitev	N;SG	N;NOM;FEM;SG
vlag	zastava	vlag	zastava	N;SG	N;NOM;FEM;SG
vlag	zastavo	vlag	zastava	N;SG	N;ACC;FEM;SG
verskeie	različni	verskeie	različen	ADJ;NOM	ADJ;NOM;MASC;PL
verskeie	različne	verskeie	različen	ADJ;NOM	ADJ;NOM;FEM;PL
verskeie	razne	verskeie	razen	ADJ;NOM	ADJ;NOM;FEM;PL
verskeie	razni	verskeie	razen	ADJ;NOM	ADJ;NOM;MASC;PL
verenigde	združeni	verenig	združen	ADJ;NOM	ADJ;NOM;MASC;PL;V.PTCP
verenigde	združena	verenig	združen	ADJ;NOM	ADJ;NOM;FEM;SG;V.PTCP
verenigde	združene	verenig	združen	ADJ;NOM	ADJ;NOM;FEM;PL;V.PTCP
verenigde	združeno	verenig	združen	ADJ;NOM	ADJ;NOM;NEUT;SG;V.PTCP
mei	maj	mei	maj		
staan	stoji	staan	stati	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
staan	stati	staan	stati	V;PRS	V;IPFV;NFIN
gereformeerde	reformirana	reformeer	reformiran	ADJ;NOM	ADJ;NOM;FEM;SG;V.PTCP
dan	potem	dan	potem	ADV	ADV
bevolking	prebivalstvo	bevolking	prebivalstvo	N;SG	N;NOM;NEUT;SG
bevolking	populacija	bevolking	populacija	N;SG	N;NOM;FEM;SG
jare	letih	jaar	leto	N;PL	N;ESS;NEUT;PL
jare	let	jaar	leto	N;PL	N;GEN;NEUT;PL
amerikaanse	ameriške	amerikaans	ameriški	ADJ;NOM	ADJ;NOM;FEM;PL
amerikaanse	ameriško	amerikaans	ameriški	ADJ;NOM	ADJ;NOM;NEUT;SG
amerikaanse	ameriški	amerikaans	ameriški	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
amerikaanse	ameriška	amerikaans	ameriški	ADJ;NOM	ADJ;NOM;FEM;SG
lank	dolgo	lank	dolgo	ADV	ADV
gestig	ustanovil	stig	ustanoviti	V;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
nou	zdaj	nou	zdaj	ADV	ADV
nou	sedaj	nou	sedaj	ADV	ADV
gebore	rodil	gebore	roditi	V;PRS	V;MASC;SG;V.PTCP
provinsie	pokrajina	provinsie	pokrajina	N;SG	N;NOM;FEM;SG
provinsie	provinca	provinsie	provinca	N;SG	N;NOM;FEM;SG
provinsie	okrožje	provinsie	okrožje	N;SG	N;NOM;NEUT;SG
provinsie	okraj	provinsie	okraj	N;SG	N;NOM;MASC;SG
provinsie	okrožju	provinsie	okrožje	N;SG	N;DAT;NEUT;SG
provinsie	stanje	provinsie	stanje	N;SG	N;NOM;NEUT;SG
provinsie	država	provinsie	država	N;SG	N;NOM;FEM;SG
universiteit	univerza	universiteit	univerza	N;SG	N;NOM;FEM;SG
lewe	zivljenje	lewe	zivljenje	N;SG	N;NOM;NEUT;SG
lewe	življenje	lewe	življenje	N;SG	N;NOM;NEUT;SG
vier	praznuje	vier	praznovati	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
vier	praznujemo	vier	praznovati	V;PRS	V;IPFV;IND;PL;1;PRS;FIN
vier	praznujemo	vier	praznovati	V;PRS	V;IPFV;IND;PL;1;PRS;FIN
franse	francosko	frans	francoski	ADJ;NOM	ADJ;NOM;NEUT;SG
franse	francoska	frans	francoski	ADJ;NOM	ADJ;NOM;FEM;SG
franse	francoski	frans	francoski	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
dood	smrt	dood	smrt	N;SG	N;NOM;FEM;SG
amptelike	uradna	amptelik	uraden	ADJ;NOM	ADJ;NOM;FEM;SG
amptelike	uradni	amptelik	uraden	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
wêreld	svet	wêreld	svet	N;SG	N;NOM;MASC;SG
aantal	količina	aantal	količina	N;SG	N;NOM;FEM;SG
aantal	količino	aantal	količina	N;SG	N;ACC;FEM;SG
plaaslike	krajevna	plaaslik	krajeven	ADJ;NOM	ADJ;NOM;FEM;SG
plaaslike	krajevni	plaaslik	krajeven	ADJ;NOM	ADJ;NOM;MASC;SG
plaaslike	lokalni	plaaslik	lokalen	ADJ;NOM	ADJ;NOM;MASC;SG
plaaslike	krajevno	plaaslik	krajeven	ADJ;NOM	ADJ;NOM;NEUT;SG
dikwels	pogosto	dikwels	pogosto	ADV	ADV
internasionale	mednarodne	internasionaal	mednaroden	ADJ;NOM	ADJ;NOM;FEM;PL
internasionale	mednarodni	internasionaal	mednaroden	ADJ;NOM	ADJ;NOM;MASC;SG
internasionale	mednarodna	internasionaal	mednaroden	ADJ;NOM	ADJ;NOM;FEM;SG
internasionale	mednarodno	internasionaal	mednaroden	ADJ;NOM	ADJ;NOM;NEUT;SG
eie	lastno	eie	lasten	ADJ;NOM	ADJ;NOM;NEUT;SG
eie	lastne	eie	lasten	ADJ;NOM	ADJ;NOM;FEM;PL
eie	lastna	eie	lasten	ADJ;NOM	ADJ;NOM;FEM;SG
eie	lastni	eie	lasten	ADJ;NOM	ADJ;NOM;MASC;PL
voëls	ptic	voël	ptica	N;PL	N;GEN;FEM;PL
voëls	ptički	voël	ptiček	N;PL	N;NOM;MASC;PL
voëls	ptiči	voël	ptič	N;PL	N;NOM;MASC;PL
voëls	ptice	voël	ptica	N;PL	N;NOM;FEM;PL
voëls	ptiče	voël	ptič	N;PL	N;ACC;MASC;PL
steeds	vseeno	steeds	vseeno	ADV	ADV
groep	skupino	groep	skupina	N;SG	N;ACC;FEM;SG
groep	skupina	groep	skupina	N;SG	N;NOM;FEM;SG
stel	nastavi	stel	nastaviti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
sluit	nehal	sluit	nehati	V;PRS	V;PFV;MASC;SG;V.PTCP
sluit	zapri	sluit	zapreti	V;PRS	V;PFV;IND;SG;2;PRS;FIN
hoofstad	kapitala	hoofstad	kapital	N;SG	N;GEN;MASC;SG
hoofstad	prestolnica	hoofstad	prestolnica	N;SG	N;NOM;FEM;SG
hoofstad	kapital	hoofstad	kapital	N;SG	N;NOM;MASC;SG
state	države	staat	država	N;PL	N;NOM;FEM;PL
state	držav	staat	država	N;PL	N;GEN;FEM;PL
water	vode	water	voda	N;SG	N;GEN;FEM;SG
water	vodo	water	voda	N;SG	N;ACC;FEM;SG
water	voda	water	voda	N;SG	N;NOM;FEM;SG
water	lopatico	water	lopatica	N;SG	N;ACC;FEM;SG
einde	konec	einde	konec	N;SG	N;NOM;MASC;SG
regering	vlado	regering	vlada	N;SG	N;ACC;FEM;SG
regering	vlada	regering	vlada	N;SG	N;NOM;FEM;SG
dae	dnevi	dag	dan	N;PL	N;NOM;MASC;PL
dae	dni	dag	dan	N;PL	N;ACC;MASC;PL
dae	dneve	dag	dan	N;PL	N;ACC;MASC;PL
oorlog	vojno	oorlog	vojna	N;SG	N;ACC;FEM;SG
oorlog	vojna	oorlog	vojna	N;SG	N;NOM;FEM;SG
politieke	politični	politiek	političen	ADJ;NOM	ADJ;NOM;MASC;SG
politieke	politično	politiek	političen	ADJ;NOM	ADJ;NOM;NEUT;SG
politieke	politična	politiek	političen	ADJ;NOM	ADJ;NOM;FEM;SG
besluit	odločil	besluit	odločiti	V;PRS	V;PFV;MASC;SG;V.PTCP
besluit	odločila	besluit	odločiti	V;PRS	V;PFV;FEM;SG;V.PTCP
besluit	odločili	besluit	odločiti	V;PRS	V;PFV;MASC;PL;V.PTCP
besluit	odločite	besluit	odločiti	V;PRS	V;PFV;IND;PL;2;PRS;FIN
besluit	odloči	besluit	odločiti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
sommige	nekatere	sommige	nekateri	DET	DET;NOM;FEM;PL
sommige	nekaterim	sommige	nekateri	DET	DET;DAT;MASC;PL
sommige	nekateri	sommige	nekateri	DET	DET;NOM;MASC;PL
sommige	neki	sommige	nek	DET	DET;NOM;MASC;SG
geskiedenis	zgodovina	geskiedenis	zgodovina	N;SG	N;NOM;FEM;SG
geskiedenis	zgodovino	geskiedenis	zgodovina	N;SG	N;ACC;FEM;SG
vis	ribi	vis	riba	N;SG	N;NOM;FEM;SG
vis	riba	vis	riba	N;SG	N;NOM;FEM;SG
vis	ribo	vis	riba	N;SG	N;ACC;FEM;SG
wetenskaplike	znanstvena	wetenskaplik	znanstven	ADJ;NOM	ADJ;NOM;FEM;SG
wetenskaplike	znanstveno	wetenskaplik	znanstven	ADJ;NOM	ADJ;NOM;NEUT;SG
wetenskaplike	znanstvene	wetenskaplik	znanstven	ADJ;NOM	ADJ;NOM;FEM;PL
ontwikkel	razviti	ontwikkel	razviti	V;PRS	V;PFV;NFIN
ontwikkel	razviti	ontwikkel	razviti	V;PRS	V;PFV;NFIN
lande	države	land	država	N;PL	N;NOM;FEM;PL
seun	poba	seun	poba	N;SG	N;NOM;MASC;SG
seun	deček	seun	deček	N;SG	N;NOM;MASC;SG
seun	fant	seun	fant	N;SG	N;NOM;MASC;SG
seun	fantek	seun	fantek	N;SG	N;NOM;MASC;SG
seun	sinko	seun	sinko	N;SG	N;NOM;MASC;SG
seun	sine	seun	sine	N;SG	N;NOM;MASC;SG
seun	sin	seun	sin	N;SG	N;NOM;MASC;SG
verskillende	drugačna	verskil	drugačen	ADJ;NOM	ADJ;NOM;FEM;SG
verskillende	drugačen	verskil	drugačen	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
verskillende	drugačni	verskil	drugačen	ADJ;NOM	ADJ;NOM;MASC;PL
verskillende	drugačno	verskil	drugačen	ADJ;NOM	ADJ;NOM;NEUT;SG
belangrike	pomembno	belangrik	pomemben	ADJ;NOM	ADJ;NOM;NEUT;SG
belangrike	pomemben	belangrik	pomemben	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
belangrike	pomembna	belangrik	pomemben	ADJ;NOM	ADJ;NOM;FEM;SG
kinders	otroci	kind	otrok	N;PL	N;NOM;MASC;PL
kinders	otroci	kind	otrok	N;PL	N;NOM;MASC;PL
gedurende	med	gedurende	med	ADP	ADP;INS
neem	vzemite	neem	vzeti	V;PRS	V;PFV;IMP;PL;2;FIN
neem	vzemi	neem	vzeme	V;PRS	V;PFV;IMP;SG;2;FIN
munisipaliteit	občina	munisipaliteit	občina	N;SG	N;NOM;FEM;SG
tans	zdaj	tans	zdaj	ADV	ADV
tans	sedaj	tans	sedaj	ADV	ADV
tans	trenutno	tans	trenutno	ADV	ADV
republiek	republiko	republiek	republika	N;SG	N;ACC;FEM;SG
republiek	republika	republiek	republika	N;SG	N;NOM;FEM;SG
plek	prizorišče	plek	prizorišče	N;SG	N;NOM;NEUT;SG
plek	plac	plek	plac	N;SG	N;NOM;MASC;SG
plek	kraj	plek	kraj	N;SG	N;NOM;MASC;SG
ongeveer	približno	ongeveer	približno	ADV	ADV
binne	znotraj	binne	znotraj	ADP	ADP;GEN
binne	znotraj	binne	znotraj	ADP	ADP;GEN
europese	evropski	europees	evropski	ADJ;NOM	ADJ;NOM;MASC;SG
europese	evropska	europees	evropski	ADJ;NOM	ADJ;NOM;FEM;SG
europese	evropsko	europees	evropski	ADJ;NOM	ADJ;NOM;NEUT;SG
tydperk	trajanje	tydperk	trajanje	N;SG	N;NOM;NEUT;SG
maande	meseci	maand	mesec	N;PL	N;NOM;MASC;PL
maande	mesece	maand	mesec	N;PL	N;ACC;MASC;PL
maande	mesecev	maand	mesec	N;PL	N;GEN;MASC;PL
skool	šolo	skool	šola	N;SG	N;ACC;FEM;SG
skool	šola	skool	šola	N;SG	N;NOM;FEM;SG
vroeë	zgodnje	vroeg	zgodnji	ADJ;NOM	ADJ;NOM;NEUT;SG
vroeë	zgodnja	vroeg	zgodnja	ADJ;NOM	ADJ;NOM;FEM;SG
vroeë	zgodnji	vroeg	zgodnji	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
familie	druzina	familie	druzina	N;SG	N;NOM;FEM;SG
familie	družina	familie	družina	N;SG	N;NOM;FEM;SG
voorkom	preprečiti	voorkom	preprečiti	V;PRS	V;PFV;NFIN
voorkom	prepreči	voorkom	preprečiti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
voorkom	preprečite	voorkom	preprečiti	V;PRS	V;PFV;IMP;PL;2;FIN
geneem	vzet	neem	vzet	V;PST;V.PTCP	V;PFV;NFIN
eiland	island	eiland	island	N;SG	N;NOM;MASC;SG
eiland	otok	eiland	otok	N;SG	N;NOM;MASC;SG
eiland	otoku	eiland	otok	N;SG	N;DAT;MASC;SG
volg	sledi	volg	slediti	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
volg	sledim	volg	slediti	V;PRS	V;IPFV;IND;SG;1;PRS;FIN
vyf	pet	vyf	pet	NUM	NUM;NOM;PL
sonder	brez	sonder	brez	ADP	ADP;GEN
aarde	zemlja	aarde	zemlja	N;SG	N;NOM;FEM;SG
aarde	zemlje	aarde	zemlja	N;SG	N;NOM;FEM;SG
aarde	zemljo	aarde	zemlja	N;SG	N;ACC;FEM;SG
gee	dej	gee	daj	V;PRS	V;PFV;IMP;SG;2;FIN
gee	daj	gee	daj	V;PRS	V;PFV;IMP;SG;2;FIN
kry	dobil	kry	dobiti	V;PRS	V;PFV;MASC;SG;V.PTCP
kry	dobi	kry	dobiti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
rol	vloga	rol	vloga	N;SG	N;NOM;FEM;SG
rol	roll	rol	roll	N;SG	N;NOM;MASC;SG
vrou	ženska	vrou	ženska	N;SG	N;NOM;FEM;SG
vrou	žensko	vrou	ženska	N;SG	N;ACC;FEM;SG
vrou	žena	vrou	žena	N;SG	N;NOM;FEM;SG
vrou	zena	vrou	zena	N;SG	N;NOM;FEM;SG
vrou	soproga	vrou	soprog	N;SG	N;NOM;FEM;SG
gebiede	ozemlja	gebied	ozemlje	N;PL	N;NOM;NEUT;PL
gebiede	območja	gebied	območje	N;PL	N;NOM;NEUT;PL
gebiede	področja	gebied	področje	N;PL	N;NOM;NEUT;PL
gebiede	površine	gebied	površina	N;PL	N;NOM;FEM;PL
derde	tretje	derde	tretji	ADJ;NOM	ADJ;NOM;NEUT;SG
derde	tretji	derde	tretji	ADJ;NOM	ADJ;NOM;MASC;SG
derde	tretja	derde	tretji	ADJ;NOM	ADJ;NOM;FEM;SG
dag	dan	dag	dan	N;SG	N;NOM;MASC;SG
woord	beseda	woord	beseda	N;SG	N;NOM;FEM;SG
woord	besedo	woord	beseda	N;SG	N;ACC;FEM;SG
president	predsednik	president	predsednik	N;SG	N;NOM;MASC;SG
president	predsednica	president	predsednica	N;SG	N;NOM;FEM;SG
koninkryk	kraljestvo	koninkryk	kraljestvo	N;SG	N;NOM;NEUT;SG
koninkryk	kraljevina	koninkryk	kraljevina	N;SG	N;NOM;FEM;SG
tale	jezike	taal	jezik	N;PL	N;ACC;MASC;PL
tale	jeziki	taal	jezik	N;PL	N;NOM;MASC;PL
ontvang	prejeti	ontvang	prejeti	V;PRS	V;PFV;NFIN
ontvang	prejeti	ontvang	prejeti	V;PRS	V;PFV;NFIN
ontvang	sprejemam	ontvang	sprejemati	V;PRS	V;IPFV;IND;SG;1;PRS;FIN
amerika	ameriki	amerika	amerika	N;SG	N;DAT;FEM;SG
amerika	amerika	amerika	amerika	N;SG	N;NOM;FEM;SG
amerika	ameriko	amerika	amerika	N;SG	N;ACC;FEM;SG
amerika	america	amerika	america	N;SG	N;NOM;FEM;SG
hoewel	čeprav	hoewel	čeprav	CONJ	CONJ
staat	stanje	staat	stanje	N;SG	N;NOM;NEUT;SG
staat	država	staat	država	N;SG	N;NOM;FEM;SG
staat	lista	staat	list	N;SG	N;NOM;MASC;SG
staat	list	staat	list	N;SG	N;NOM;MASC;SG
vandag	danes	vandag	danes	ADV	ADV
daardie	tiste	daardie	tisti	DET	DET;NOM;FEM;PL
ekonomiese	ekonomski	ekonomies	ekonomski	ADJ;NOM	ADJ;NOM;MASC;PL
ekonomiese	gospodarski	ekonomies	gospodarski	ADJ;NOM	ADJ;NOM;MASC;SG
ekonomiese	gospodarsko	ekonomies	gospodarski	ADJ;NOM	ADJ;NOM;NEUT;SG
ekonomiese	ekonomske	ekonomies	ekonomski	ADJ;NOM	ADJ;NOM;FEM;PL
ekonomiese	ekonomska	ekonomies	ekonomski	ADJ;NOM	ADJ;NOM;FEM;SG
aanvaar	sprejeti	aanvaar	sprejeti	V;PRS	V;PFV;NFIN
aanvaar	sprejmi	aanvaar	sprejeti	V;PRS	V;PFV;IMP;SG;2;FIN
hou	drži	hou	držati	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
hou	obdrži	hou	obdržiti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
hou	ohrani	hou	ohran	V;PRS	V;PFV;IND;SG;3;PRS;FIN
geskryf	zažgal	skryf	zažgati	V;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
geskryf	pogorela	skryf	pogoreti	V;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
geskryf	pogorel	skryf	pogoreti	V;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
geskryf	zgorel	skryf	zgoreti	V;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
hele	cele	heel	cel	ADJ;NOM	ADJ;NOM;FEM;PL
hele	cel	heel	cel	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
hele	cela	heel	cel	ADJ;NOM	ADJ;NOM;FEM;SG
hele	celotno	heel	celoten	ADJ;NOM	ADJ;NOM;NEUT;SG
bevat	vsebuje	bevat	vsebovati	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
skrywer	pisec	skrywer	pisec	N;SG	N;NOM;MASC;SG
skrywer	pisateljica	skrywer	pisateljica	N;SG	N;NOM;FEM;SG
skrywer	pisatelj	skrywer	pisatelj	N;SG	N;NOM;MASC;SG
skrywer	avtor	skrywer	avtor	N;SG	N;NOM;MASC;SG
verander	odpovedati	verander	odpovedati	V;PRS	V;PFV;NFIN
verander	spremeni	verander	spremeniti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
verander	spremeni	verander	spremeniti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
bereik	doseči	bereik	doseči	V;PRS	V;PFV;NFIN
russiese	ruska	russies	ruski	ADJ;NOM	ADJ;NOM;FEM;SG
russiese	ruski	russies	ruski	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
russiese	rusko	russies	ruski	ADJ;NOM	ADJ;NOM;NEUT;SG
inwoners	stanovalci	inwoner	stanovalec	N;PL	N;NOM;MASC;PL
inwoners	prebivalcev	inwoner	prebivalec	N;PL	N;GEN;MASC;PL
inwoners	prebivalci	inwoner	prebivalec	N;PL	N;NOM;MASC;PL
beteken	pomeni	beteken	pomeniti	V;PRS	V;IND;SG;3;PRS;FIN
man	soprog	man	soprog	N;SG	N;NOM;MASC;SG
man	moz	man	moz	N;SG	N;NOM;MASC;SG
man	mož	man	mož	N;SG	N;NOM;MASC;SG
man	mož	man	mož	N;SG	N;NOM;MASC;SG
man	človek	man	človek	N;SG	N;NOM;MASC;SG
huis	dom	huis	dom	N;SG	N;NOM;MASC;SG
huis	hiša	huis	hiša	N;SG	N;NOM;FEM;SG
huis	hisa	huis	hisa	N;SG	N;NOM;FEM;SG
huis	hiška	huis	hiška	N;SG	N;NOM;FEM;SG
besoek	obiščite	besoek	obiščiti	V;PRS	V;PFV;IMP;PL;2;FIN
besoek	obiskal	besoek	obiskati	V;PRS	V;PFV;MASC;SG;V.PTCP
besoek	obiskala	besoek	obiskati	V;PRS	V;PFV;FEM;SG;V.PTCP
administratiewe	upravne	administratief	upraven	ADJ;NOM	ADJ;NOM;FEM;PL
administratiewe	administrativna	administratief	administrativen	ADJ;NOM	ADJ;NOM;FEM;SG
administratiewe	upravna	administratief	upraven	ADJ;NOM	ADJ;NOM;FEM;SG
bekende	slavni	bekend	slaven	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
bekende	slaven	bekend	slaven	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
bekende	znana	bekend	znan	ADJ;NOM	ADJ;NOM;FEM;SG;V.PTCP
bekende	znani	bekend	znan	ADJ;NOM	ADJ;NOM;MASC;PL;V.PTCP
bekende	znan	bekend	znan	ADJ;NOM	ADJ;NOM;INDF;MASC;SG;V.PTCP
gespeel	igral	speel	igrati	V;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
gespeel	igrala	speel	igrati	V;PST;V.PTCP	V;IPFV;FEM;SG;V.PTCP
gespeel	igralo	speel	igrati	V;PST;V.PTCP	V;IPFV;NEUT;SG;V.PTCP
kerke	cerkve	kerk	cerkev	N;PL	N;NOM;FEM;PL
skryf	napiši	skryf	napisati	V;PRS	V;PFV;IMP;SG;2;FIN
skryf	piši	skryf	pišati	V;PRS	V;IPFV;IND;SG;3;PRS;FIN
skryf	gorela	skryf	gorel	V;PRS	V;IPFV;FEM;SG;V.PTCP
skryf	zažgal	skryf	zažgati	V;PRS	V;PFV;MASC;SG;V.PTCP
skryf	zgori	skryf	zgoriti	V;PRS	V;PFV;IND;SG;3;PRS;FIN
wie	kdo	wie	kdo	PRO	PRO;NOM;MASC;SG
visse	ribe	visse	riba	N;PL	N;NOM;FEM;PL
visse	ribice	visse	ribica	N;PL	N;NOM;FEM;PL
suidelike	južna	suidelik	južen	ADJ;NOM	ADJ;NOM;FEM;SG
suidelike	južni	suidelik	južen	ADJ;NOM	ADJ;NOM;MASC;SG
romeinse	rimljan	romeins	rimljan	N;SG	N;NOM;MASC;SG
romeinse	roman	romeins	roman	N;SG	N;NOM;MASC;SG
romeinse	romana	romeins	roman	N;SG	N;NOM;MASC;SG
alhoewel	čeprav	alhoewel	čeprav	CONJ	CONJ
gekom	potoval	kom	potovati	V;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
reeks	serijo	reeks	serija	N;SG	N;ACC;FEM;SG
reeks	serija	reeks	serija	N;SG	N;NOM;FEM;SG
hoofsaaklik	primarno	hoofsaaklik	primaren	ADV	ADV
eilande	otoki	eilande	otok	N;PL	N;NOM;MASC;PL
eilande	otoke	eilande	otok	N;PL	N;ACC;MASC;PL
speel	igraj	speel	igraj	V;PRS	V;IPFV;IMP;SG;2;FIN
speel	igrajo	speel	igrati	V;PRS	V;IPFV;IND;PL;3;PRS;FIN
bou	zgradi	bou	zgraditi	V;PRS	V;PFV;IND;SG;3;PRS;FIN
bou	zgraditi	bou	zgraditi	V;PRS	V;PFV;NFIN
bou	zgradil	bou	zgraditi	V;PRS	V;PFV;MASC;SG;V.PTCP
gelei	vodil	lei	voditi	V;PST;V.PTCP	V;IPFV;MASC;SG;V.PTCP
gelei	povedel	lei	povedeti	V;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
stigting	nastanek	stigting	nastanek	N;SG	N;NOM;MASC;SG
stigting	formacijo	stigting	formacija	N;SG	N;ACC;FEM;SG
beskryf	opisati	beskryf	opisati	V;PRS	V;PFV;NFIN
beskryf	opišite	beskryf	opisati	V;PRS	V;PFV;IMP;PL;2;FIN
streek	regiji	streek	regija	N;SG	N;DAT;FEM;SG
