den	میرا	den	میں	PRO;DEF;MASC+FEM;SG	PRO;NOM;SG;1
berg	پربت	berg	پربت	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
berg	تودہ	berg	تودہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
berg	پہاڑ	berg	پہاڑ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
mars	رفتار	mars	رفتار	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
större	اہم	stor	اہم	ADJ;NOM;CMPR	ADJ
större	بڑا	stor	بڑا	ADJ;NOM;CMPR	ADJ;NOM;MASC;SG
centrala	مرکزی	central	مرکزی	ADJ;NOM;PL	ADJ;NOM
huvudsakligen	خصوصاً	huvudsakligen	خصوصاً	ADV	ADV
ovanligt	انوکھا	ovanlig	انوکھا	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
ovanligt	غیرمعمولی	ovanlig	غیرمعمولی	ADJ;NOM;INDF;NEUT;SG	ADJ
ovanligt	غیرمعمولی	ovanlig	غیرمعمولی	ADJ;NOM;INDF;NEUT;SG	ADJ
ovanligt	انوکھا	ovanlig	انوکھا	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
ovanligt	غیرمعمولی	ovanlig	غیرمعمولی	ADJ;NOM;INDF;NEUT;SG	ADJ
regionen	خطہ	region	خطہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
regionen	شعبہ	region	شعبہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
regionen	علاقہ	region	علاقہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
creek	ندی	creek	ندی	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
född	پیدا	född	پیدا	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ
född	پیدا	född	پیدا	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ
samhälle	معاشرہ	samhälle	معاشرہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
samhälle	معاشرہ	samhälle	معاشرہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
samhälle	سماج	samhälle	سماج	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
samhälle	وحدت	samhälle	وحدت	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
samhälle	گروہ	samhälle	گروہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
samhälle	جماعت	samhälle	جماعت	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
samhälle	اتحاد	samhälle	اتحاد	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
första	بنیادی	en	بنیادی	ADJ;NOM	ADJ
första	سابق	en	سابق	ADJ;NOM	ADJ
området	رقبہ	område	رقبہ	N;NOM;DEF;NEUT;SG	N;NOM;MASC;SG;3
toppen	مقدار	topp	مقدار	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	شوقین	topp	شوقین	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	برتر	topp	برتر	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	وسعت	topp	وسعت	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	مقدار	topp	مقدار	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	شوقین	topp	شوقین	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	برتر	topp	برتر	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	وسعت	topp	وسعت	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
toppen	چھت	topp	چھت	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
genom	تا	genom	تا	ADP	ADP
genom	تک	genom	تک	ADP	ADP
genom	بشمول	genom	بشمول	ADP	ADP
genom	بمطابق	genom	بمطابق	ADP	ADP
genom	نزدیک	genom	نزدیک	ADP	ADP;NOM;MASC;SG;3
genom	براہِ	genom	براہِ	ADP	ADP
också	نہایت	också	نہایت	ADV	ADV
talet	تقریر	tal	تقریر	N;NOM;DEF;NEUT;SG	N;NOM;FEM;SG;3
mot	نزدیک	mot	نزدیک	ADP	ADP;NOM;MASC;SG;3
mot	قریب	mot	قریب	ADP	ADP;NOM;MASC;SG;3
mot	خلاف	mot	خلاف	ADP	ADP
västra	مغربی	onstra	مغربی	ADJ;NOM;DEF;SG	ADJ
del	جزو	del	جزو	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
riktning	ہدایت	riktning	ہدایت	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
namn	شہرت	namn	شہرت	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
namn	افکار	namn	فکر	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
namn	جگہ	namn	جگہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
död	موت	död	موت	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
död	حتمی	död	حتمی	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
död	ساکت	död	ساکت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
död	حتمی	död	حتمی	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
död	ساکت	död	ساکت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kulle	تودہ	kulle	تودہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kommunen	بلدیہ	kommun	بلدیہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
vara	امکان	vara	امکان	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
text	موضوع	text	موضوع	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lista	فہرست	lista	فہرست	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
lista	جدول	lista	جدول	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
upp	سامنے	upp	سامنے	ADV	ADV;NOM;MASC;SG;3
inom	اندر	inom	اندر	ADP	ADP;NOM;MASC;SG;3
departementet	شعبہ	departement	شعبہ	N;NOM;DEF;NEUT;SG	N;NOM;MASC;SG;3
from	ریاکار.	from	ریاکار.	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
park	کھلاباغ	park	کھلاباغ	N;NOM;INDF;MASC+FEM;SG	N
periodiskt	متوالی	periodisk	متوالی	ADJ;NOM;INDF;NEUT;SG	ADJ
olika	علاحدہ	olik	علحدہ	ADJ;NOM;PL	ADJ
olika	مختلف	olik	مختلف	ADJ;NOM;PL	ADJ
point	سرا	point	سرا	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	تفصیل	point	تفصیل	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	نکتہ	point	نکتہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	فائدہ	point	فائدہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	خصوصیت	point	خصوصیت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	امتیاز	point	امتیاز	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	مصلحت	point	مصلحت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	محل	point	محل	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	درجہ	point	درجہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	معاملہ	point	معاملہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	سرا	point	سرا	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	تفصیل	point	تفصیل	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	نکتہ	point	نکتہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	فائدہ	point	فائدہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	خصوصیت	point	خصوصیت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	امتیاز	point	امتیاز	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	مصلحت	point	مصلحت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	محل	point	محل	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	درجہ	point	درجہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
point	معاملہ	point	معاملہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
ort	بلدیہ	ort	بلدیہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
nya	جدید	ny	جدید	ADJ;NOM;PL	ADJ
nya	جدید	ny	جدید	ADJ;NOM;PL	ADJ
score	نمبر	score	نمبر	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
score	لکیر	score	لکیر	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
score	سلسلہ	score	سلسلہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
score	سطر	score	سطر	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
score	برتر	score	برتر	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
score	نشان	score	نشان	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
score	معاملہ	score	معاملہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kom	آنا	komma	آ	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
stora	اہم	stor	اہم	ADJ;NOM;PL	ADJ
stora	نمایاں	stor	نمایاں	ADJ;NOM;PL	ADJ
omgivande	محیط	omgivande	محیط	ADJ;NOM;PRS;V.PTCP	ADJ
basen	نیچ	bas	نیچ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
basen	مادّہ	bas	مادّہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
basen	نیچ	bas	نیچ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
basen	مادّہ	bas	مادّہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
shift	فریب	shift	فریب	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
växtlighet	سبزہ	växtlighet	سبزہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
region	خطہ	region	خطہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
region	شعبہ	region	شعبہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
region	علاقہ	region	علاقہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
släkte	نسل	släkte	نسل	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
släkte	وراثت	släkte	وراثت	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
släkte	نوع	släkte	نوع	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
släkte	نسل	släkte	نسل	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
släkte	جنس	släkte	جنس	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
delstat	منصب	delstad	منصب	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
delstat	عہدہ	delstad	عہدہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
delstat	منصب	delstad	منصب	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
delstat	حالت	delstad	حالت	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
delstat	عہدہ	delstad	عہدہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mål	مقصد	mål	مقصد	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	ہدف	mål	ہدف	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
mål	نشانہ	mål	نشانہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
län	صوبہ	län	صوبہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
plats	مرتبہ	plats	مرتبہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	منصب	plats	منصب	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	احاطہ	plats	احاطہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	نشست	plats	نشست	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	مرتبہ	plats	مرتبہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	مقام	plats	مقام	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	منصب	plats	منصب	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	احاطہ	plats	احاطہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
plats	نشست	plats	نشست	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
land	ملک	land	ملک	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	ملک	land	ملک	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	قوم	land	قوم	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	پانی	land	پانی	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	قوم	land	قوم	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	پانی	land	پانی	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
land	زمین	land	زمین	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
tid	دور	tid	دور	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
tid	عہد	tid	عہد	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
tid	دور	tid	دور	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
ofta	عموماً	ofta	عموماً	ADV	ADV
ofta	عموماً	ofta	عموماً	ADV	ADV
kommer	چاہنا	komma	چاہ	V;IND;PRS;FIN;ACT	V;MASC;SG;NFIN;ACT
kommer	آنا	komma	آ	V;IND;PRS;FIN;ACT	V;MASC;SG;NFIN;ACT
kommer	پہنچ	komma	پہنچ	V;IND;PRS;FIN;ACT	V;ACT
kommer	پہنچ	komma	پہنچ	V;IND;PRS;FIN;ACT	V;ACT
stor	بڑا	stor	بڑا	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	اہم	stor	اہم	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
stor	نمایاں	stor	نمایاں	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
staden	بلدیہ	stad	بلدیہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
naturlig	ارضی	naturlig	ارضی	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	سادہ	naturlig	سادہ	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	فطری	naturlig	فطری	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	اصلی	naturlig	اصلی	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	ارضی	naturlig	ارضی	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	سادہ	naturlig	سادہ	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	طبعی	naturlig	طبعی	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
naturlig	فطری	naturlig	فطری	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
mest	عموماً	mycket	عموماً	ADV;RL	ADV
mosaik	مخلوط	mosaik	مخلوط	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
mosaik	دوغلا	mosaik	دوغلا	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
hela	پورا	hel	پورا	ADJ;NOM;DEF;SG	ADJ;NOM;MASC;SG
hela	مکمل	hel	مکمل	ADJ;NOM;DEF;SG	ADJ
hela	پورا	hel	پورا	ADJ;NOM;DEF;SG	ADJ;NOM;MASC;SG
hela	مکمل	hel	مکمل	ADJ;NOM;DEF;SG	ADJ
gör	دیکھنا	göra	دیکھ	V;IMP;FIN;ACT	V;NFIN
gör	بچارنا	göra	بچار	V;IMP;FIN;ACT	V;NFIN;ACT
gör	پکانا	göra	پکانا	V;IMP;FIN;ACT	V;MASC;SG;V.PTCP;ACT
gör	بخشنا	göra	بخشنا	V;IMP;FIN;ACT	V;SG;ACT
gör	سنوارنا	göra	سنوار	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
gör	کارروائی.	göra	کارروائی.	V;IMP;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
gör	دیکھنا	göra	دیکھ	V;IMP;FIN;ACT	V;NFIN
gör	بچارنا	göra	بچار	V;IMP;FIN;ACT	V;NFIN;ACT
gör	پکانا	göra	پکانا	V;IMP;FIN;ACT	V;MASC;SG;V.PTCP;ACT
gör	بخشنا	göra	بخشنا	V;IMP;FIN;ACT	V;SG;ACT
gör	کرنا	göra	کر	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
gör	سنوارنا	göra	سنوار	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
gör	کارروائی.	göra	کارروائی.	V;IMP;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
gör	پکانا	göra	پکانا	V;IMP;FIN;ACT	V;MASC;SG;V.PTCP;ACT
gör	سمجھنا	göra	سمجھ	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
gör	پکانا	göra	پکانا	V;IMP;FIN;ACT	V;MASC;SG;V.PTCP;ACT
gör	سمجھنا	göra	سمجھ	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
gör	بنانا	göra	بنا	V;IMP;FIN;ACT	V;MASC;SG;NFIN;ACT
kyrka	عبادت	kyrka	عبادت	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
kyrka	عبادت	kyrka	عبادت	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
fuktigt	مایوسی	fuktig	مایوسی	ADJ;NOM;INDF;NEUT;SG	ADJ
fuktigt	مایوسی	fuktig	مایوسی	ADJ;NOM;INDF;NEUT;SG	ADJ
eftersom	چونکہ	eftersom	چونکہ	CONJ	CONJ
början	سرا	början	سرا	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
bay	خانہ	bay	خانہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
bay	ضلع	bay	ضلع	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
bay	خانہ	bay	خانہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
bay	ضلع	bay	ضلع	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
ekonomiska	معاشی	ekonomisk	معاشی	ADJ;NOM;PL	ADJ
ekonomiska	عملی	ekonomisk	عملی	ADJ;NOM;PL	ADJ
ekonomiska	کاروباری	ekonomisk	کاروباری	ADJ;NOM;PL	ADJ
övrigt	دوسرا	övrigt	دوسرا	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
övrigt	متنوع	övrigt	متنوع	ADJ;NOM;INDF;NEUT;SG	ADJ
övrigt	متفرق	övrigt	متفرق	ADJ;NOM;INDF;NEUT;SG	ADJ
artikel	مضمون	artikel	مضمون	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mountain	تودہ	mountai	تودہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mountain	پربت	mountai	پربت	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mountain	تودہ	mountai	تودہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
mountain	پہاڑ	mountai	پہاڑ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
dam	مادہ	dam	مادہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
dam	مالکن	dam	مالکن	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
dam	زن	dam	زن	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
son	قبیلے	son	قبیلہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
son	بیٹا	son	بیٹا	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
son	قبیلے	son	قبیلہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
river	دریا	riva	دریا	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
känd	نامور	känd	نامور	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ
antal	ٹولی	antal	ٹولی	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
antal	کمپنی	antal	کمپنی	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
antal	گروہ	antal	گروہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
antal	جماعت	antal	جماعت	N;NOM;INDF;NEUT;SG	N;NOM;FEM;SG;3
antal	رقص	antal	رقص	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
allt	کسی	all	کوئی	PRO;INDF;NEUT;SG	PRO;NOM;SG;3
allt	کسی	all	کوئی	PRO;INDF;NEUT;SG	PRO;NOM;SG;3
lag	لحاظ	lag	لحاظ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lag	معمول	lag	معمول	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lag	قاعدہ	lag	قاعدہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lag	لحاظ	lag	لحاظ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
lag	معمول	lag	معمول	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
diskussion	مباحثہ	diskussion	مباحثہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
diskussion	گفتگو	diskussion	گفتگو	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
diskussion	مباحثہ	diskussion	مباحثہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
diskussion	گفتگو	diskussion	گفتگو	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
diskussion	بحث	diskussion	بحث	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
vidare	آگے	vidare	آگے	ADV;CMPR	ADV;NOM;MASC;SG;3
medan	اگرچہ	medan	اگرچہ	CONJ	CONJ
kyrkan	عبادت	kyrka	عبادت	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
kyrkan	عبادت	kyrka	عبادت	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
black	سفاک	black	سفاک	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
black	تاریک	black	تاریک	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
black	سفاک	black	سفاک	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
black	تاریک	black	تاریک	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
bild	نقش	bild	نقش	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
