que	که	que	که	CONJ	CONJ
historia	داستانی	historia	داستان	N;FEM;SG	N;SG
historia	قصه	historia	None	N;FEM;SG	N;SG
historia	تاریخچه	historia	تاریخچه	N;FEM;SG	N;SG
historia	تاریخ	historia	تاریخ	N;FEM;SG	N;SG
club	باشگاه	club	باشگاه	N;MASC;SG	N;SG
club	چماق	club	چماق	N;MASC;SG	N;SG
club	کلاب	club	کلاب	N;MASC;SG	N;SG
club	کلوب	club	کلوب	N;MASC;SG	N;SG
club	کلوپ	club	کلوپ	N;MASC;SG	N;SG
universidad	دانشگاه	universidad	دانشگاه	N;FEM;SG	N;SG
universidad	qom	universidad	qom	N;FEM;SG	N;SG
universidad	کالج	universidad	None	N;FEM;SG	N;SG
universidad	دانشکده	universidad	دانشکده	N;FEM;SG	N;SG
universidad	دانشگاه	universidad	دانشگاه	N;FEM;SG	N;SG
universidad	دانشگاهی	universidad	دانشگاهی	N;FEM;SG	N;SG
forma	شکل	forma	شکل	N;FEM;SG	N;SG
forma	فرم	forma	None	N;FEM;SG	N;SG
forma	شکل	forma	شکل	N;FEM;SG	N;SG
tres	سه	tres	سه	NUM;PL	NUM
grupo	گروهبندی	grupo	گروهبندی	N;MASC;SG	N;SG
grupo	گروپ	grupo	گروپ	N;MASC;SG	N;SG
grupo	گروه	grupo	گروه	N;MASC;SG	N;SG
general	ژنرال	general	ژنرال	N;SG	N;SG
general	جنرال	general	جنرال	N;SG	N;SG
guerra	جنگ	guerra	جنگ	N;FEM;SG	N;SG
guerra	جنگی	guerra	جنگی	N;FEM;SG	N;SG
aunque	هرچند	aunque	هرچند	CONJ	CONJ
aunque	اگرچه	aunque	اگرچه	CONJ	CONJ
aunque	گرچه	aunque	گرچه	CONJ	CONJ
aunque	هرچند	aunque	هرچند	CONJ	CONJ
aunque	اگرچه	aunque	اگرچه	CONJ	CONJ
aunque	گرچه	aunque	گرچه	CONJ	CONJ
familia	خانواده	familia	خانواده	N;FEM;SG	N;SG
familia	فامیل	familia	فامیل	N;FEM;SG	N;SG
familia	خانوادگی	familia	خانوادگی	N;FEM;SG	N;SG
familia	خانواده	familia	خانواده	N;FEM;SG	N;SG
sur	جنوب	sur	جنوب	N;MASC;SG	N;SG
sur	جنوبی	sur	جنوبی	N;MASC;SG	N;SG
sur	سور	sur	سور	N;MASC;SG	N;SG
sur	ساوت	sur	ساوت	N;MASC;SG	N;SG
sur	جنوب	sur	جنوب	N;MASC;SG	N;SG
sur	جنوبی	sur	جنوبی	N;MASC;SG	N;SG
mayor	عمده	mayor	عمده	ADJ;SG	ADJ
tiempo	هوای	tiempo	هوا	N;MASC;SG	N;SG
tiempo	هوا	tiempo	هوا	N;MASC;SG	N;SG
tiempo	زمان	tiempo	زمان	N;MASC;SG	N;SG
tiempo	تایم	tiempo	تایم	N;MASC;SG	N;SG
provincia	ولایت	provincia	ولایت	N;FEM;SG	N;SG
provincia	استان	provincia	استان	N;FEM;SG	N;SG
partido	مهمانی	partido	مهمان	N;MASC;SG	N;SG
partido	پارتی	partido	پارت	N;MASC;SG	N;SG
partido	مهمونی	partido	مهمونی	N;MASC;SG	N;SG
partido	حزب	partido	حزب	N;MASC;SG	N;SG
partido	جشن	partido	جشن	N;MASC;SG	N;SG
partido	تطبیق	partido	None	N;MASC;SG	N;SG
partido	مسابقه	partido	مسابقه	N;MASC;SG	N;SG
partido	کبریت	partido	کبریت	N;MASC;SG	N;SG
partido	تطابق	partido	تطابق	N;MASC;SG	N;SG
otras	دیگران	otro	دیگری	PRO;FEM;PL	PRO
bajo	تحت	bajo	تحت	ADP	ADP
bajo	زیر	bajo	زیر	ADP	ADP
serie	سری	serie	سری	N;FEM;SG	N;SG
serie	متوالی	serie	متوالی	N;FEM;SG	N;SG
serie	سریالی	serie	None	N;FEM;SG	N;SG
serie	سری	serie	سری	N;FEM;SG	N;SG
cada	هر	cada	هر	DET;SG	DET
fútbol	soccer	fútbol	soccer	N;MASC;SG	N;SG
fútbol	فوتبال	fútbol	فوتبال	N;MASC;SG	N;SG
fútbol	football	fútbol	football	N;MASC;SG	N;SG
fútbol	فوتبال	fútbol	فوتبال	N;MASC;SG	N;SG
equipo	تیم	equipo	تیم	N;MASC;SG	N;SG
equipo	تیمی	equipo	تیم	N;MASC;SG	N;SG
norte	نورت	norte	نورت	N;MASC;SG	N;SG
norte	شمالی	norte	شمالی	N;MASC;SG	N;SG
norte	نورث	norte	نورث	N;MASC;SG	N;SG
norte	شمال	norte	شمال	N;MASC;SG	N;SG
norte	شمالی	norte	شمالی	N;MASC;SG	N;SG
norte	شمال	norte	شمال	N;MASC;SG	N;SG
norte	نورد	norte	نورد	N;MASC;SG	N;SG
río	ریو	río	ریو	N;MASC;SG	N;SG
río	ریور	río	ریور	N;MASC;SG	N;SG
río	رودخانه	río	رودخانه	N;MASC;SG	N;SG
inglés	انگلیسی	inglés	انگلیسی	N;MASC;SG	N;SG
inglés	english	inglés	english	N;MASC;SG	N;SG
nuevo	نو	nuevo	نو	ADJ;MASC;SG	ADJ
nuevo	جدید	nuevo	جدید	ADJ;MASC;SG	ADJ
septiembre	september	septiembre	september	N	N;SG
septiembre	سپتامبر	septiembre	سپتامبر	N	N;SG
octubre	اکتبر	octubre	اکتبر	N	N;SG
octubre	october	octubre	None	N	N;SG
segunda	دوم	segundo	دوم	ADJ;FEM;SG	ADJ
segunda	دومی	segundo	None	ADJ;FEM;SG	ADJ
discusión	بحثش	discusión	بحثش	N;FEM;SG	N;SG
discusión	بحث	discusión	بحث	N;FEM;SG	N;SG
gobierno	حاکمیت	gobierno	حاکمیت	N;MASC;SG	N;SG
gobierno	ملکوت	gobierno	ملکوت	N;MASC;SG	N;SG
gobierno	دولتی	gobierno	دولتی	N;MASC;SG	N;SG
gobierno	حکومت	gobierno	حکومت	N;MASC;SG	N;SG
gobierno	دولت	gobierno	دولت	N;MASC;SG	N;SG
condado	شهرستان	condado	شهرستان	N;MASC;SG	N;SG
condado	کانتی	condado	کانت#کان	N;MASC;SG	N;SG
final	پایان	final	پایان	N;MASC;SG	N;SG
final	اختتامیه	final	اختتامیه	N;MASC;SG	N;SG
final	نهائی	final	نهائی	N;MASC;SG	N;SG
final	پایانی	final	پایان	N;MASC;SG	N;SG
final	فاینال	final	فاینال	N;MASC;SG	N;SG
final	فینال	final	فینال	N;MASC;SG	N;SG
vida	زندگى	vida	زندگى	N;FEM;SG	N;SG
vida	زندگی	vida	زندگی	N;FEM;SG	N;SG
vida	ویدا	vida	ویدا	N;FEM;SG	N;SG
personas	اشخاص	persona	شخص	N;FEM;PL	N;PL
personas	افراد	persona	فرد	N;FEM;PL	N;PL
personas	مردمان	persona	مردم	N;FEM;PL	N;PL
personas	آدمها	persona	آدم	N;FEM;PL	N;PL
español	اسپانیا	español	اسپانیا	N;MASC;SG	N;SG
español	اسپانیایی	español	اسپانیایی	N;MASC;SG	N;SG
centro	سنتر	centro	سنتر	N;MASC;SG	N;SG
centro	مرکزش	centro	مرکزش	N;MASC;SG	N;SG
centro	مرکز	centro	مرکز	N;MASC;SG	N;SG
centro	سنتر	centro	سنتر	N;MASC;SG	N;SG
centro	مرکز	centro	مرکز	N;MASC;SG	N;SG
julio	جولیو	julio	جولیو	N	N;SG
julio	خولیو	julio	خولیو	N	N;SG
julio	جولیوس	julio	جولیوس	N	N;SG
julio	ژولیوس	julio	ژولیوس	N	N;SG
julio	ژوئیه	julio	ژوئیه	N	N;SG
julio	جولای	julio	جولا	N	N;SG
lincoln	لینکن	lincoln	لینکن	N;MASC;SG	N;SG
lincoln	لینکولن	lincoln	لینکولن	N;MASC;SG	N;SG
lincoln	لینکلن	lincoln	لینکلن	N;MASC;SG	N;SG
país	کانتری	país	کان	N;MASC;SG	N;SG
país	کشوری	país	کشوری	N;MASC;SG	N;SG
país	کشور	país	کشور	N;MASC;SG	N;SG
país	مملکت	país	مملکت	N;MASC;SG	N;SG
país	ییلاق	país	ییلاق	N;MASC;SG	N;SG
web	سایت	web	سایت	N;FEM;SG	N;SG
web	وبگاه	web	وبگاه	N;FEM;SG	N;SG
web	وبسایت	web	وبسایت	N;FEM;SG	N;SG
web	تار	web	تار	N;FEM;SG	N;SG
web	وب	web	وب	N;FEM;SG	N;SG
web	وبی	web	وبی	N;FEM;SG	N;SG
santa	مقدس	santo	مقدس	ADJ;FEM;SG	ADJ
oficial	رسمی	oficial	رسمی	ADJ;SG	ADJ
mundo	جهان	mundo	جهان	N;MASC;SG	N;SG
mundo	دنیا	mundo	دنیا	N;MASC;SG	N;SG
mundo	جهانی	mundo	جهانی	N;MASC;SG	N;SG
mundo	موندو	mundo	موندو	N;MASC;SG	N;SG
embargo	ممنوعیت	embargo	ممنوعیت	N;MASC;SG	N;SG
embargo	تحریم	embargo	تحریم	N;MASC;SG	N;SG
mayo	مه	mayo	مه	N	N;SG
mayo	مایو	mayo	مایو	N	N;SG
algunos	برخی	alguno	برخی	PRO;MASC;PL	PRO
temporada	فصلی	temporada	فصلی	N;FEM;SG	N;SG
temporada	فصل	temporada	فصل	N;FEM;SG	N;SG
luego	پس	luego	پس	ADV	ADV
marzo	مارس	marzo	مارس	N	N;SG
marzo	پیشروی	marzo	پیشروی	N	N;SG
marzo	راهپیمایی	marzo	راهپیمایی	N	N;SG
día	روز	día	روز	N;MASC;SG	N;SG
día	روزی	día	روز	N;MASC;SG	N;SG
madrid	مادرید	madrid	مادرید	N;MASC;SG	N;SG
madrid	liverpool	madrid	liverpool	N;MASC;SG	N;SG
madrid	لیورپول	madrid	لیورپول	N;MASC;SG	N;SG
enero	jan	enero	jan	N	N;SG
enero	یان	enero	یان	N	N;SG
enero	ژانویه	enero	ژانویه	N	N;SG
número	عدد	número	عدد	N;MASC;SG	N;SG
número	شمارۀ	número	شمارۀ	N;MASC;SG	N;SG
número	شماره	número	شماره	N;MASC;SG	N;SG
agosto	آگوست	agosto	آگوست	N	N;SG
agosto	آگست	agosto	آگست	N	N;SG
agosto	اوت	agosto	اوت	N	N;SG
agosto	اوت	agosto	اوت	N	N;SG
agosto	aug	agosto	aug	N	N;SG
diciembre	دسامبر	diciembre	دسامبر	N	N;SG
artículo	مطلب	artículo	مطلب	N;MASC;SG	N;SG
artículo	مقالۀ	artículo	مقالۀ	N;MASC;SG	N;SG
artículo	مقاله	artículo	مقاله	N;MASC;SG	N;SG
artículo	فقره	artículo	None	N;MASC;SG	N;SG
noviembre	نوامبر	noviembre	نوامبر	N	N;SG
noviembre	نوامبر	noviembre	نوامبر	N	N;SG
estos	اینها	este	این	PRO;MASC;PL	PRO;PL
abril	اپریل	abril	اپریل	N	N;SG
abril	آوریل	abril	None	N	N;SG
total	کل	total	کل	ADJ;SG	ADJ
región	منطقه	región	منطقه	N;FEM;SG	N;SG
región	ناحیه	región	ناحیه	N;FEM;SG	N;SG
región	استان	región	استان	N;FEM;SG	N;SG
región	منطقۀ	región	منطقۀ	N;FEM;SG	N;SG
sistema	سامانه	sistema	سامانه	N;MASC;SG	N;SG
sistema	سیستم	sistema	سیستم	N;MASC;SG	N;SG
habitantes	ساکنین	habitante	ساکنین	N;PL	N;PL
habitantes	یاران	habitante	یار	N;PL	N;PL
maría	ماری	maría	None	N;FEM;SG	N;SG
maría	مریم	maría	مریم	N;FEM;SG	N;SG
maría	مری	maría	None	N;FEM;SG	N;SG
maría	ماریا	maría	ماریا	N;FEM;SG	N;SG
real	واقعی	real	واقعی	ADJ;SG	ADJ
página	صفحۀ	página	صفحۀ	N;FEM;SG	N;SG
página	صفحه	página	صفحه	N;FEM;SG	N;SG
música	موسیقی	música	موسیقی	N;FEM;SG	N;SG
música	موزیک	música	موزیک	N;FEM;SG	N;SG
presidente	جوبالند	presidente	جوبالند	N;MASC;SG	N;SG
casa	خانه	casa	خانه	N;FEM;SG	N;SG
casa	خانه	casa	خانه	N;FEM;SG	N;SG
casa	وطن	casa	وطن	N;FEM;SG	N;SG
casa	خونه	casa	خونه	N;FEM;SG	N;SG
casa	آغازه	casa	آغازه	N;FEM;SG	N;SG
sólo	تنها	sólo	تنها	ADV	ADV
sólo	فقط	sólo	فقط	ADV	ADV
álbum	آلبوم	álbum	آلبوم	N;MASC;SG	N;SG
junio	ژوئن	junio	None	N	N;SG
febrero	فوریه	febrero	فوریه	N	N;SG
ella	او	él	او	PRO;FEM;SG;3	PRO;SG;3
ella	او	él	او	PRO;FEM;SG;3	PRO;SG;3
solo	تنها	solo	تنها	ADV	ADV
solo	تنها	solo	تنها	ADV	ADV
solo	فقط	solo	فقط	ADV	ADV
tipo	تیپ	tipo	None	N;MASC;SG	N;SG
tipo	نوع	tipo	نوع	N;MASC;SG	N;SG
tipo	تایپ	tipo	تایپ	N;MASC;SG	N;SG
obra	کار	obra	کار	N;FEM;SG	N;SG
obra	کاری	obra	کار	N;FEM;SG	N;SG
iglesia	کلیسا	iglesia	None	N;FEM;SG	N;SG
iglesia	چرچ	iglesia	چرچ	N;FEM;SG	N;SG
iglesia	کلیسای	iglesia	None	N;FEM;SG	N;SG
película	فیلمی	película	فیلم	N;FEM;SG	N;SG
película	فیلم	película	فیلم	N;FEM;SG	N;SG
película	فیلم	película	فیلم	N;FEM;SG	N;SG
entonces	پس	entonces	پس	ADV	ADV
banda	بند	banda	بند	N;FEM;SG	N;SG
banda	گروه	banda	گروه	N;FEM;SG	N;SG
banda	باندا	banda	باندا	N;FEM;SG	N;SG
banda	گنگ	banda	گنگ	N;FEM;SG	N;SG
zona	منطقه	zona	منطقه	N;FEM;SG	N;SG
zona	زون	zona	زون	N;FEM;SG	N;SG
zona	منطقه	zona	منطقه	N;FEM;SG	N;SG
zona	مساحت	zona	مساحت	N;FEM;SG	N;SG
zona	ناحیه	zona	ناحیه	N;FEM;SG	N;SG
televisión	تلویزیون	televisión	تلویزیون	N;FEM;SG	N;SG
principal	اصلی	principal	اصلی	ADJ;SG	ADJ
carlos	شارل	carlo	شارل	N;MASC;SG	N;SG
carlos	چارلز	carlo	چارلز	N;MASC;SG	N;SG
carlos	کارلوس	carlo	کارلوس	N;MASC;SG	N;SG
carlos	اوس	carlo	اوس	N;MASC;SG	N;SG
carlos	چارلی	carlo	چارلی	N;MASC;SG	N;SG
rey	پادشاه	rey	پادشاه	N;MASC;SG	N;SG
rey	کینگ	rey	کینگ	N;MASC;SG	N;SG
rey	شاه	rey	شاه	N;MASC;SG	N;SG
premio	جایزه	premio	جایزه	N;MASC;SG	N;SG
premio	جایزه	premio	جایزه	N;MASC;SG	N;SG
edición	ویرایش	edición	ویرایش	N;FEM;SG	N;SG
edición	ورژن	edición	ورژن	N;FEM;SG	N;SG
edición	تدوین	edición	تدوین	N;FEM;SG	N;SG
edición	ویرایش	edición	ویرایش	N;FEM;SG	N;SG
premios	جوایز	premio	جایزه	N;MASC;PL	N;PL
premios	جوایز	premio	جایزه	N;MASC;PL	N;PL
sitio	سایت	sitio	سایت	N;MASC;SG	N;SG
sitio	وبگاه	sitio	وبگاه	N;MASC;SG	N;SG
sitio	وبسایت	sitio	وبسایت	N;MASC;SG	N;SG
sitio	محاصره	sitio	محاصره	N;MASC;SG	N;SG
sitio	سایت	sitio	سایت	N;MASC;SG	N;SG
bien	خوب	bien	خوب	ADV	ADV
bien	خب	bien	خب	ADV	ADV
bien	خوب	bien	خوب	ADV	ADV
segundo	دوم	segundo	دوم	ADJ;MASC;SG	ADJ
segundo	دومی	segundo	None	ADJ;MASC;SG	ADJ
mar	مار	mar	مار	N;SG	N;SG
mar	دریا	mar	دریا	N;SG	N;SG
mar	دریای	mar	دریا	N;SG	N;SG
mar	اقیانوس	mar	None	N;SG	N;SG
mar	اقیانوسی	mar	اقیانوسی	N;SG	N;SG
orden	نظم	orden	نظم	N;MASC;SG	N;SG
orden	فرمان	orden	فرمان	N;MASC;SG	N;SG
orden	دستور	orden	دستور	N;MASC;SG	N;SG
orden	سفارش	orden	None	N;MASC;SG	N;SG
orden	ترتیب	orden	ترتیب	N;MASC;SG	N;SG
estadounidense	آمریکایی	estadounidense	آمریکایی	ADJ;SG	ADJ
agua	آب	agua	آب	N;FEM;SG	N;SG
tierra	زمین	tierra	زمین	N;FEM;SG	N;SG
tierra	خشکی	tierra	خشکی	N;FEM;SG	N;SG
tierra	land	tierra	land	N;FEM;SG	N;SG
tierra	سرزمین	tierra	سرزمین	N;FEM;SG	N;SG
tierra	تیرا	tierra	تیرا	N;FEM;SG	N;SG
tierra	خاک	tierra	خاک	N;FEM;SG	N;SG
ellos	ایشان	él	ایشان	PRO;MASC;PL;3	PRO;PL;3
earth	زمین	earth	زمین	N	N;SG
están	هستند	estar	هست	V;IND;PL;3;PRS;FIN	V;PL;3;PRS
división	تقسیم	división	تقسیم	N;FEM;SG	N;SG
división	واحد	división	واحد	N;FEM;SG	N;SG
canción	نغمه	canción	نغمه	N;FEM;SG	N;SG
canción	ترانه	canción	ترانه	N;FEM;SG	N;SG
canción	اهنگ	canción	اهنگ	N;FEM;SG	N;SG
canción	آهنگ	canción	آهنگ	N;FEM;SG	N;SG
canción	آواز	canción	آواز	N;FEM;SG	N;SG
fecha	تاریخ	fecha	تاریخ	N;FEM;SG	N;SG
república	جمهوری	república	جمهوری	N;FEM;SG	N;SG
trabajo	شغل	trabajo	شغل	N;MASC;SG	N;SG
trabajo	کار	trabajo	کار	N;MASC;SG	N;SG
trabajo	ایوب	trabajo	ایوب	N;MASC;SG	N;SG
trabajo	کار	trabajo	کار	N;MASC;SG	N;SG
trabajo	کاری	trabajo	کار	N;MASC;SG	N;SG
especie	گونه	especie	گونه	N;FEM;SG	N;SG
luis	لویی	luis	لویی	N;MASC;SG	N;SG
luis	لوئی	luis	لوئی	N;MASC;SG	N;SG
luis	لوئی	luis	لوئی	N;MASC;SG	N;SG
luis	لودویگ	luis	لودویگ	N;MASC;SG	N;SG
luis	لویس	luis	لویس	N;MASC;SG	N;SG
caso	پرونده	caso	پرونده	N;MASC;SG	N;SG
caso	کیس	caso	کیس	N;MASC;SG	N;SG
caso	مورد	caso	مورد	N;MASC;SG	N;SG
color	رنگ	color	رنگ	N;MASC;SG	N;SG
color	رنگ	color	رنگ	N;MASC;SG	N;SG
distrito	منطقه	distrito	منطقه	N;MASC;SG	N;SG
distrito	ناحیه	distrito	ناحیه	N;MASC;SG	N;SG
distrito	بخش	distrito	بخش	N;MASC;SG	N;SG
superficie	سطح	superficie	سطح	N;FEM;SG	N;SG
superficie	سطحی	superficie	سطحی	N;FEM;SG	N;SG
superficie	منطقه	superficie	منطقه	N;FEM;SG	N;SG
superficie	مساحت	superficie	مساحت	N;FEM;SG	N;SG
superficie	ناحیه	superficie	ناحیه	N;FEM;SG	N;SG
copa	کوپا	copa	کوپا	N;FEM;SG	N;SG
copa	فنجان	copa	None	N;FEM;SG	N;SG
copa	جامی	copa	جام	N;FEM;SG	N;SG
copa	کاپ	copa	کاپ	N;FEM;SG	N;SG
copa	جام	copa	جام	N;FEM;SG	N;SG
línea	خط	línea	خط	N;FEM;SG	N;SG
francisco	فرانسیسکو	francisco	فرانسیسکو	N;MASC;SG	N;SG
francisco	فرانچسکو	francisco	فرانچسکو	N;MASC;SG	N;SG
francisco	فرنسیس	francisco	فرنسیس	N;MASC;SG	N;SG
francisco	فرانسیس	francisco	فرانسیس	N;MASC;SG	N;SG
área	منطقه	área	منطقه	N;FEM;SG	N;SG
área	مساحت	área	مساحت	N;FEM;SG	N;SG
área	ناحیه	área	ناحیه	N;FEM;SG	N;SG
grandes	بزرگ	grande	بزرگ	ADJ;PL	ADJ
grandes	درشت	grande	درشت	ADJ;PL	ADJ
grandes	بزرگ	grande	بزرگ	ADJ;PL	ADJ
censo	سرشماری	censo	سرشماری	N;MASC;SG	N;SG
liga	لیگ	liga	لیگ	N;FEM;SG	N;SG
liga	لیگا	liga	لیگا	N;FEM;SG	N;SG
estas	اینها	este	این	PRO;FEM;PL	PRO;PL
muerte	مرگ	muerte	مرگ	N;FEM;SG	N;SG
política	سیاست	política	سیاست	N;FEM;SG	N;SG
política	سیاست	política	سیاست	N;FEM;SG	N;SG
largo	طولانی	largo	طولانی	ADJ;MASC;SG	ADJ
largo	دراز	largo	دراز	ADJ;MASC;SG	ADJ
hijo	پسر	hijo	پسر	N;MASC;SG	N;SG
algunas	برخی	alguno	برخی	PRO;FEM;PL	PRO
carrera	حرفه	carrera	None	N;FEM;SG	N;SG
carrera	شغل	carrera	شغل	N;FEM;SG	N;SG
carrera	نژاد	carrera	نژاد	N;FEM;SG	N;SG
carrera	مسابقه	carrera	مسابقه	N;FEM;SG	N;SG
carrera	کاررا	carrera	کاررا	N;FEM;SG	N;SG
pueblo	قریه	pueblo	قریه	N;MASC;SG	N;SG
pueblo	شهر	pueblo	شهر	N;MASC;SG	N;SG
pueblo	شهرک	pueblo	شهرک	N;MASC;SG	N;SG
pueblo	پوئبلو	pueblo	پوئبلو	N;MASC;SG	N;SG
pueblo	مردم	pueblo	مردم	N;MASC;SG	N;SG
pueblo	روستای	pueblo	روستا	N;MASC;SG	N;SG
pueblo	دهکده	pueblo	دهکده	N;MASC;SG	N;SG
pueblo	ویلیج	pueblo	ویلیج	N;MASC;SG	N;SG
pueblo	روستا	pueblo	روستا	N;MASC;SG	N;SG
departamento	وزارت	departamento	وزارت	N;MASC;SG	N;SG
departamento	اداره	departamento	اداره	N;MASC;SG	N;SG
departamento	بخش	departamento	بخش	N;MASC;SG	N;SG
departamento	آپارتمان	departamento	None	N;MASC;SG	N;SG
departamento	آپارتمانی	departamento	آپارتمانی	N;MASC;SG	N;SG
localidades	مکانهایی	localidad	مکان	N;FEM;PL	N;PL
localidades	مکانها	localidad	مکان	N;FEM;PL	N;PL
localidades	مساجد	localidad	None	N;FEM;PL	N;PL
localidades	مکانهای	localidad	مکان	N;FEM;PL	N;PL
localidades	مکانها	localidad	مکان	N;FEM;PL	N;PL
localidades	محلهای	localidad	محل	N;FEM;PL	N;PL
veces	زمانهای	vez	زمان	N;FEM;PL	N;PL
veces	دفعات	vez	دفعه	N;FEM;PL	N;PL
reino	فرمانروایی	reino	فرمانروایی	N;MASC;SG	N;SG
reino	پادشاهی	reino	پادشاه	N;MASC;SG	N;SG
central	مرکزی	central	مرکزی	ADJ;SG	ADJ
ejemplo	نمونه	ejemplo	نمونه	N;MASC;SG	N;SG
ejemplo	مثلی	ejemplo	مثلی	N;MASC;SG	N;SG
ejemplo	مثال	ejemplo	مثال	N;MASC;SG	N;SG
ejemplo	نمونه	ejemplo	نمونه	N;MASC;SG	N;SG
género	ژانر	género	None	N;MASC;SG	N;SG
género	جنسیتی	género	جنسیتی	N;MASC;SG	N;SG
género	جنسیت	género	جنسیت	N;MASC;SG	N;SG
padre	پدری	padre	پدر	N;MASC;SG	N;SG
padre	پدر	padre	پدر	N;MASC;SG	N;SG
isbn	isbn	isbn	isbn	N	N;SG
campo	حومه	campo	حومه	N;MASC;SG	N;SG
campo	ییلاق	campo	ییلاق	N;MASC;SG	N;SG
campo	فیلد	campo	None	N;MASC;SG	N;SG
campo	حوزه	campo	حوزه	N;MASC;SG	N;SG
campo	اردوگاه	campo	اردوگاه	N;MASC;SG	N;SG
