ansässig	مقيمة	ansässig	مُقَيَّمَة	ADJ	ADJ;NOM;INDF;FEM;SG
zeitweilig	مؤقتا	zeitweilig	مُؤَقَّت	ADJ	ADJ;ACC;INDF;MASC;SG
zeitweilig	المؤقت	zeitweilig	مُؤَقَّت	ADJ	ADJ;NOM;DEF;MASC;SG
zeitweilig	مؤقتة	zeitweilig	مُؤَقَّت	ADJ	ADJ;NOM;INDF;FEM;SG
zeitweilig	مؤقت	zeitweilig	مُؤَقَّت	ADJ	ADJ;NOM;INDF;MASC;SG
jährlichen	سنوي	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
jährlichen	السنوي	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
jährlichen	سنوية	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
jährlichen	السنوي	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
jährlichen	السنوية	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
jährlichen	سنوي	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
jährlichen	سنوية	jährlich	سَنَوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
stimmung	مزاج	stimmung	مِزَاج	N	N;NOM;INDF;SG
stimmung	المزاج	stimmung	مِزَاج	N	N;NOM;DEF;SG
stimmung	الضبط	stimmung	ضَبط	N	N;NOM;DEF;SG
anpassung	التكيف	anpassung	تَكَيُّف	N;NOM;FEM;SG	N;NOM;DEF;SG
anpassung	التكيف	anpassung	تَكَيُّف	N;NOM;FEM;SG	N;NOM;DEF;SG
anpassung	تكيف	anpassung	كَاف	N;NOM;FEM;SG	N;NOM;INDF;SG
anpassung	تكييف	anpassung	تكييف	N;NOM;FEM;SG	N;NOM;INDF;SG
flach	مسطح	flach	مَسطَح	ADJ	ADJ;NOM;INDF;MASC;SG
flach	مسطحة	flach	مسطحة	ADJ	ADJ;NOM;INDF;FEM;SG
flach	سطحي	flach	سَطحِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
schwedisch	السويدية	schwedisch	سوِيدِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
schwedisch	سويدي	schwedisch	سويدي	ADJ	ADJ;NOM;INDF;MASC;SG
schwedisch	سويدية	schwedisch	سويدية	ADJ	ADJ;NOM;INDF;FEM;SG
kostenlos	مجانا	kostenlos	مَجَّان	ADJ	ADJ;ACC;INDF;MASC;SG
kostenlos	حرة	kostenlos	حُرّ	ADJ	ADJ;NOM;INDF;FEM;SG
kostenlos	مجاني	kostenlos	مَجَّانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
tausende	الالاف	tausende	أَلف	N;NOM;FEM;PL	N;NOM;DEF;PL
effekte	التاثيرات	effekt	تَاثِير	N;NOM;PL	N;NOM;DEF;PL
effekte	تاثيرات	effekt	تَاثِير	N;NOM;PL	N;NOM;INDF;PL
stetig	ثابتة	stetig	ثَابِت	ADJ	ADJ;NOM;INDF;FEM;SG
kontinuierlich	مستمر	kontinuierlich	مُستَمِرّ	ADJ	ADJ;NOM;INDF;MASC;SG
kontinuierlich	متواصل	kontinuierlich	مُتَوَاصِل	ADJ	ADJ;NOM;INDF;MASC;SG
kontinuierlich	مستمرة	kontinuierlich	مُستَمِرّ	ADJ	ADJ;NOM;INDF;FEM;SG
kontinuierlich	متواصلة	kontinuierlich	مُتَوَاصِل	ADJ	ADJ;NOM;INDF;FEM;SG
gleise	منصات	gleis	مِنَصَّة	N	N;NOM;INDF;PL
gleise	مسارات	gleis	مَسَار	N	N;NOM;INDF;PL
gleise	المسارات	gleis	مَسَار	N	N;NOM;DEF;PL
erobert	غزا	erobern	غَز	V;V.PTCP	V;PFV;MASC;SG;3;ACT
anfänge	البدايات	anfangen	بِدَايَة	N;NOM	N;NOM;DEF;PL
malte	رسمت	malen	رَسمَت	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
lateinisch	لاتينية	lateinisch	لاتينية	ADJ	ADJ;NOM;INDF;FEM;SG
betreuung	دعم	betreuung	دَعم	N;SG	N;NOM;INDF;SG
betreuung	الدعم	betreuung	دَعم	N;SG	N;NOM;DEF;SG
betreuung	الارشاد	betreuung	إِرشَاد	N;SG	N;NOM;DEF;SG
betreuung	التوجيه	betreuung	تَوجِيه	N;SG	N;NOM;DEF;SG
betreuung	الاشراف	betreuung	إِشرَاف	N;SG	N;NOM;DEF;SG
betreuung	عناية	betreuung	عِنَايَة	N;SG	N;NOM;INDF;SG
betreuung	العناية	betreuung	عِنَايَة	N;SG	N;NOM;DEF;SG
betreuung	الرعاية	betreuung	رِعَايَة	N;SG	N;NOM;DEF;SG
betreuung	رعاية	betreuung	رِعَايَة	N;SG	N;NOM;INDF;SG
objektiv	موضوعية	objektiv	مَوضُوعِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
objektiv	موضوعيا	objektiv	موضوعيا	ADJ	ADJ;ACC;INDF;MASC;SG
wohnsitz	مقيمة	wohnsitz	مُقَيَّمَة	ADJ	ADJ;NOM;INDF;FEM;SG
studiert	درست	studieren	دَرَس	V;V.PTCP	V;PFV;FEM;SG;3;ACT
stausee	السد	stausen	سُدّ	N;SG	N;NOM;DEF;SG
stausee	سد	stausen	سَدّ	N;SG	N;NOM;INDF;SG
stausee	سدا	stausen	سُدّ	N;SG	N;ACC;INDF;SG
stausee	بحيرة	stausen	بُحَيرَة	N;SG	N;NOM;INDF;SG
stausee	البحيرة	stausen	بُحَيرَة	N;SG	N;NOM;DEF;SG
stausee	الخزان	stausen	خَزَّان	N;SG	N;NOM;DEF;SG
stausee	خزان	stausen	خَزَّان	N;SG	N;NOM;INDF;SG
begangen	ارتكبت	begehen	اِرتَكَب	V;V.PTCP	V;PFV;FEM;SG;3;ACT
designer	المصممين	designer	مُصَمَّم	ADJ	ADJ;NOM;DEF;MASC;PL
designer	مصممة	designer	مُصَمَّم	ADJ	ADJ;NOM;INDF;FEM;SG
wirft	يلقي	werfen	أَلقَى	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
wirft	يثير	werfen	أَثَار	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
fühlt	يشعر	fühlen	شَعَر	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
gerettet	انقذت	retten	أَنقَذ	V;V.PTCP	V;PFV;FEM;SG;3;ACT
ignoriert	اهمل	ignorieren	أَهمَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
ignoriert	يتجاهل	ignorieren	تَجَاهَل	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
überwachung	رقابة	überwachung	رَقَابَة	N;SG	N;NOM;INDF;SG
überwachung	الاشراف	überwachung	إِشرَاف	N;SG	N;NOM;DEF;SG
überwachung	الرقابة	überwachung	رَقَابَة	N;SG	N;NOM;DEF;SG
überwachung	الرصد	überwachung	رَصد	N;SG	N;NOM;DEF;SG
überwachung	رصد	überwachung	رَصد	N;SG	N;NOM;INDF;SG
überwachung	الشاشة	überwachung	شَاشَّة	N;SG	N;NOM;DEF;SG
überwachung	رصد	überwachung	رَصد	N;SG	N;NOM;INDF;SG
überwachung	الاشراف	überwachung	إِشرَاف	N;SG	N;NOM;DEF;SG
überwachung	المراقبة	überwachung	مُرَاقَبَة	N;SG	N;NOM;DEF;SG
überwachung	مراقبة	überwachung	مُرَاقَبَة	N;SG	N;NOM;INDF;SG
achter	الثامن	acht	ثَامِن	ADJ	ADJ;NOM;DEF;MASC;SG
achter	ثامنا	acht	ثامنا	ADJ	ADJ;ACC;INDF;MASC;SG
achter	الثامنة	acht	ثَامِن	ADJ	ADJ;NOM;DEF;FEM;SG
chinesisch	الصينيون	chinesisch	صِينِيّ	ADJ	ADJ;NOM;DEF;MASC;PL
chinesisch	صيني	chinesisch	صِينِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
chinesisch	الصينية	chinesisch	صِينِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
chinesisch	صينية	chinesisch	صِينِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
verlangen	رغب	verlangen	رَغبَ	V;NFIN	V;PFV;MASC;SG;3;ACT
verlangen	يطالبون	verlangen	طَالَب	V;NFIN	V;IPFV;MASC;IND;PL;3;FIN;ACT
verlangen	تطالب	verlangen	طَالَب	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
angemessen	معقولة	angemessen	مَعقُول	ADJ	ADJ;NOM;INDF;FEM;SG
angeben	حدد	angeben	حَدَّد	V;V.PTCP	V;PFV;MASC;SG;3;ACT
umwandlung	تحويل	umwandlung	تَحوِيل	N;SG	N;NOM;INDF;SG
umwandlung	التحويل	umwandlung	تَحوِيل	N;SG	N;NOM;DEF;SG
umwandlung	تحويل	umwandlung	تَحوِيل	N;SG	N;NOM;INDF;SG
umwandlung	التحول	umwandlung	تَحَوُّل	N;SG	N;NOM;DEF;SG
umwandlung	التحويل	umwandlung	تَحوِيل	N;SG	N;NOM;DEF;SG
umwandlung	تحويل	umwandlung	تَحوِيل	N;SG	N;NOM;INDF;SG
umwandlung	التحول	umwandlung	تَحَوُّل	N;SG	N;NOM;DEF;SG
ansiedlung	مستوطنة	ansiedlung	مُستَوطَنَة	N;SG	N;NOM;INDF;SG
ansiedlung	الاستيطان	ansiedlung	اِستِيطَان	N;SG	N;NOM;DEF;SG
ansiedlung	التسوية	ansiedlung	تَسوِيَة	N;SG	N;NOM;DEF;SG
ansiedlung	التوطين	ansiedlung	تَوطِين	N;SG	N;NOM;DEF;SG
ansiedlung	تسوية	ansiedlung	تَسوِيَة	N;SG	N;NOM;INDF;SG
gestiftet	تبرعت	stiften	تَبَرَّع	V;V.PTCP	V;PFV;FEM;SG;3;ACT
bezahlt	يدفع	bezahlen	دَفَع	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
bezahlt	دفعت	bezahlen	دَفَع	V;V.PTCP	V;PFV;FEM;SG;3;ACT
bezahlt	دفع	bezahlen	دَفَع	V;V.PTCP	V;PFV;MASC;SG;3;ACT
hinterlassen	غادر	hinterlassen	غَادَر	V;V.PTCP	V;PFV;MASC;SG;3;ACT
dekan	دين	dekan	دِين	N	N;NOM;INDF;SG
dekan	العميد	dekan	عَمِيد	N	N;NOM;DEF;SG
dekan	عميد	dekan	عَمِيد	N	N;NOM;INDF;SG
ausgeliefert	سلمت	ausliefern	سَلِم	V;V.PTCP	V;PFV;FEM;SG;3;ACT
konzepte	المفاهيم	konzepn	مَفهُوم	N;NOM;PL	N;NOM;DEF;PL
konzepte	مفاهيم	konzepn	مَفهُوم	N;NOM;PL	N;NOM;INDF;PL
heiliger	المقدسة	heilig	مُقَدَّس	ADJ	ADJ;NOM;DEF;FEM;SG
heiliger	مقدس	heilig	مَقدَس	ADJ	ADJ;NOM;INDF;MASC;SG
heiliger	المقدسة	heilig	مُقَدَّس	ADJ	ADJ;NOM;DEF;FEM;SG
heiliger	مقدسة	heilig	مُقَدَّس	ADJ	ADJ;NOM;INDF;FEM;SG
heiliger	مقدس	heilig	مَقدَس	ADJ	ADJ;NOM;INDF;MASC;SG
beibehalten	احتفظ	beibehalten	اِحتَفَظ	V;V.PTCP	V;PFV;MASC;SG;3;ACT
österreicher	نمساوي	österreicher	نِمسَاوِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
österreicher	نمساوية	österreicher	نِمسَاوِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
kannte	عرفت	kennen	عَرَف	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
einverstanden	اتفق	einverstanden	اِتَّفَق	V;NFIN	V;PFV;MASC;SG;3;ACT
einverstanden	اتفق	einverstanden	اِتَّفَق	V;NFIN	V;PFV;MASC;SG;3;ACT
einverstanden	نتفق	einverstanden	نتفق	V;NFIN	V;IPFV;MASC;IND;PL;1;FIN;ACT
löst	يحل	lösen	حَلّ	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
soziales	اجتماعية	sozial	اِجتِمَاعِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;SG
soziales	الاجتماعية	sozial	اِجتِمَاعِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;FEM;SG
soziales	الاجتماعي	sozial	اِجتِمَاعِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
soziales	اجتماعي	sozial	اِجتِمَاعِيّ	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
sklaven	العبيد	sklaven	العبيد	N;PL	N;NOM;DEF;PL
fair	عادلة	fair	عَادِل	ADJ	ADJ;NOM;INDF;FEM;SG
scheitern	تفشل	scheitern	شَشَل	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
aussieht	يبدو	aussehen	بَدَا	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
reagieren	تتفاعل	reagieren	تَفَاعَل	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
tagebuch	يوميات	tagebuch	يَومِيّ	ADJ	ADJ;NOM;INDF;FEM;PL
tagebuch	يوميات	tagebuch	يَومِيّ	ADJ	ADJ;NOM;INDF;FEM;PL
britisch	بريطاني	britisch	برِيطَانِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
britisch	بريطانية	britisch	برِيطَانِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
britisch	البريطانية	britisch	برِيطَانِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
entdecken	اكتشف	entdecken	اِكتَشَف	V;NFIN	V;PFV;MASC;SG;3;PASS
entdecken	يكتشف	entdecken	اِكتَشَف	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
auffällig	ملحوظ	auffällig	مَلحُوظ	ADJ	ADJ;NOM;INDF;MASC;SG
wortes	كلمة	wort	كَلِمَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
wortes	الكلمة	wort	كَلِمَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
schien	بدت	scheinen	بَدَا	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
schien	بدى	scheinen	بَدَى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
modellen	النماذج	modell	نَمَاذَة	N;PL	N;NOM;DEF;PL
modellen	نماذج	modell	نَمُوذَج	N;PL	N;NOM;INDF;PL
modellen	الموديلات	modell	مُودِيلَات	N;PL	N;NOM;DEF;PL
gesendet	ارسلت	senden	أَرسَل	V;V.PTCP	V;PFV;FEM;SG;3;PASS
gesendet	ارسل	senden	أَرسَل	V;V.PTCP	V;PFV;MASC;SG;3;ACT
gesendet	نشرت	senden	نَشَر	V;V.PTCP	V;PFV;FEM;SG;3;ACT
anleitung	توجيه	anleitung	تَوجِيه	N;NOM;FEM;SG	N;NOM;INDF;SG
anleitung	ارشاد	anleitung	إِرشَاد	N;NOM;FEM;SG	N;NOM;INDF;SG
anleitung	التوجيه	anleitung	تَوجِيه	N;NOM;FEM;SG	N;NOM;DEF;SG
anleitung	دليل	anleitung	دَلِيل	N;NOM;FEM;SG	N;NOM;INDF;SG
anleitung	الدليل	anleitung	دَلِيل	N;NOM;FEM;SG	N;NOM;DEF;SG
staatsbürgerschaft	جنسية	staatsbürgerschaft	جِنسِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
zwang	اجبرت	zwingen	أَجبَر	V;SG;FIN	V;PFV;FEM;SG;3;ACT
zwang	اجبر	zwingen	أَجبَر	V;SG;FIN	V;PFV;MASC;SG;3;ACT
türme	ابراج	türm	إِبرَاج	N;NOM;PL	N;NOM;INDF;PL
hut	الكوخ	hun	الكوخ	N;SG	N;NOM;DEF;SG
hut	القبعة	hun	قِبعَة	N;SG	N;NOM;DEF;SG
hut	قبعة	hun	قِبعَة	N;SG	N;NOM;INDF;SG
kommerziellen	التجاري	kommerziell	تِجَارِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
kommerziellen	تجاري	kommerziell	تِجَارِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
kommerziellen	تجارية	kommerziell	تِجَارِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
bestände	المخزونات	beständen	مَخزُون	N;NOM	N;NOM;DEF;PL
bestände	مخزونات	beständen	مَخزُون	N;NOM	N;NOM;INDF;PL
bestände	الاسهم	beständen	سَهم	N;NOM	N;NOM;DEF;PL
bestände	المخزونات	beständen	مَخزُون	N;NOM	N;NOM;DEF;PL
bestände	المخزونات	beständen	مَخزُون	N;NOM	N;NOM;DEF;PL
bestände	الجرد	beständen	جُرد	N;NOM	N;NOM;DEF;SG
bestände	المخزون	beständen	مَخزُون	N;NOM	N;NOM;DEF;SG
bestände	قطعان	beständen	قَطعَان	N;NOM	N;NOM;INDF;PL
aktueller	الحالي	aktuell	حَالِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
klassiker	الكلاسيكية	klassik	كُلآسِيكِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
klassiker	كلاسيكي	klassik	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
klassiker	كلاسيكية	klassik	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
klassiker	الكلاسيكية	klassik	كُلآسِيكِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
klassiker	كلاسيكي	klassik	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
klassiker	كلاسيكية	klassik	كلَاسِيكِيّ	ADJ	ADJ;NOM;INDF;FEM;SG
klassiker	الكلاسيكية	klassik	كُلآسِيكِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
klassiker	تقليدي	klassik	تَقلِيدِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
erfordert	تتطلب	erfordern	تَطَلَّب	V;SG;FIN	V;IPFV;MASC;IND;SG;2;FIN;ACT
erfordert	يتطلب	erfordern	تَطَلَّب	V;SG;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
erfordert	يشترط	erfordern	اِشتَرَط	V;SG;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
ostseite	شرقي	ostseite	شَرقِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
ostseite	الشرقية	ostseite	شَرقِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
höfe	مزارع	hofen	مَزرَعَة	N;NOM;PL	N;NOM;INDF;PL
höfe	محاكم	hofen	مَحكَمَة	N;NOM;PL	N;NOM;INDF;PL
höfe	المحاكم	hofen	مَحكَمَة	N;NOM;PL	N;NOM;DEF;PL
ungarisch	الهنغارية	ungarisch	هَنغَارِيّ	ADJ	ADJ;NOM;DEF;FEM;SG
tool	الاداة	tool	إِدَاةَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
tool	اداة	tool	إِدَاةَ	N;NOM;NEUT;SG	N;NOM;INDF;SG
glatt	ناعمة	glatt	نَاعِمَة	ADJ	ADJ;NOM;INDF;FEM;SG
erwerb	شراء	erwerben	شِرَاء	N	N;NOM;INDF;SG
erwerb	الشراء	erwerben	شِرَاء	N	N;NOM;DEF;SG
erwerb	اكتساب	erwerben	اِكتِسَاب	N	N;NOM;INDF;SG
erwerb	اقتناء	erwerben	اِقتِنَاء	N	N;NOM;INDF;SG
niedriger	اقل	niedrig	أَقَلّ	ADJ	ADJ;NOM;INDF;MASC;SG
portugiesischer	البرتغالي	portugiesisch	بُرتُغَالِيّ	ADJ	ADJ;NOM;DEF;MASC;SG
bittet	يدعو	bitten	دَعَا	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
erlauben	مكن	erlauben	مَكَّن	V;NFIN	V;PFV;MASC;SG;3;ACT
gescheitert	فشلت	scheitern	فَشِل	V;V.PTCP	V;PFV;FEM;SG;3;ACT
zugewiesen	يعزى	zuweisen	أَعزَى	V;V.PTCP	V;IPFV;MASC;IND;SG;3;FIN;ACT
zugewiesen	نسبت	zuweisen	نَسَب	V;V.PTCP	V;PFV;FEM;SG;3;ACT
verschieden	مختلف	verschieden	مُختَلِف	ADJ	ADJ;NOM;INDF;MASC;SG
verschieden	مختلفة	verschieden	مُختَلِف	ADJ	ADJ;NOM;INDF;FEM;SG
verschieden	مختلفا	verschieden	مُختَلِف	ADJ	ADJ;ACC;INDF;MASC;SG
verschieden	مختلفين	verschieden	مُختَلِف	ADJ	ADJ;ACC;INDF;MASC;PL
verschieden	متنوعة	verschieden	مُتَنَوِّع	ADJ	ADJ;NOM;INDF;FEM;SG
umstände	الظروف	umstehen	ظَرف	N	N;NOM;DEF;PL
umstände	ظروف	umstehen	ظَرف	N	N;NOM;INDF;PL
umstände	الظروف	umstehen	ظَرف	N	N;NOM;DEF;PL
systematisch	منهجي	systematisch	مَنهَجِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
ehepaar	ثنائي	ehepaar	ثُنَائِيّ	ADJ	ADJ;NOM;INDF;MASC;SG
erwünscht	المطلوب	erwünscht	مَطلُوب	ADJ	ADJ;NOM;DEF;MASC;SG
erwünscht	المرغوب	erwünscht	مَرغُوب	ADJ	ADJ;NOM;DEF;MASC;SG
erwünscht	مرغوب	erwünscht	مرغوب	ADJ	ADJ;NOM;INDF;MASC;SG
erwünscht	مرغوبة	erwünscht	مَرغُوب	ADJ	ADJ;NOM;INDF;FEM;SG
erwünscht	المرغوب	erwünscht	مَرغُوب	ADJ	ADJ;NOM;DEF;MASC;SG
erwünscht	مرغوب	erwünscht	مرغوب	ADJ	ADJ;NOM;INDF;MASC;SG
erwünscht	مرغوبة	erwünscht	مَرغُوب	ADJ	ADJ;NOM;INDF;FEM;SG
erwünscht	مطلوب	erwünscht	مَطلُوب	ADJ	ADJ;NOM;INDF;MASC;SG
erstellte	خلق	erstellt	خَلَق	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
erstellte	خلقت	erstellt	خَلَق	V;IND;SG;3;PST;FIN	V;PFV;FEM;SG;3;ACT
inschriften	النقوش	inschrift	نَقوَش	N;PL	N;NOM;DEF;PL
zähne	السن	zähnen	سِنّ	N;NOM;SG	N;NOM;DEF;SG
zähne	اسنان	zähnen	إِسنَان	N;NOM;SG	N;NOM;INDF;SG
zähne	الاسنان	zähnen	الاسنان	N;NOM;SG	N;NOM;DEF;SG
basierend	قائم	basierend	قَائِم	ADJ	ADJ;NOM;INDF;MASC;SG
gültig	سارية	gültig	سَارِي	ADJ	ADJ;NOM;INDF;FEM;SG
gültig	صالحة	gültig	صَالِح	ADJ	ADJ;NOM;INDF;FEM;SG
abbruch	اجهاض	abbruch	اجهاض	N;SG	N;NOM;INDF;SG
abbruch	الاجهاض	abbruch	جَهَض	N;SG	N;NOM;DEF;SG
abbruch	هدم	abbruch	هَدم	N;SG	N;NOM;INDF;SG
abbruch	الهدم	abbruch	هَدم	N;SG	N;NOM;DEF;SG
bricht	يكسر	brechen	كَسَّر	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
verarbeitung	معالجة	verarbeitung	مُعَالَجَة	N;NOM;FEM;SG	N;NOM;INDF;SG
verarbeitung	التجهيز	verarbeitung	تَجهِيز	N;NOM;FEM;SG	N;NOM;DEF;SG
verarbeitung	المعالجة	verarbeitung	مُعَالَجَة	N;NOM;FEM;SG	N;NOM;DEF;SG
verarbeitung	تجهيز	verarbeitung	تَجهِيز	N;NOM;FEM;SG	N;NOM;INDF;SG
sechste	سادس	sechst	سَادِس	ADJ;NOM	ADJ;NOM;INDF;MASC;SG
sechste	السادسة	sechst	سَادِس	ADJ;NOM	ADJ;NOM;DEF;FEM;SG
sechste	السادس	sechst	سَادِس	ADJ;NOM	ADJ;NOM;DEF;MASC;SG
empfohlen	رحت	empfehlen	رَحَت	V;V.PTCP	V;PFV;FEM;SG;3;ACT
vernichtet	دمر	vernichten	دَمَّر	V;V.PTCP	V;PFV;MASC;SG;3;ACT
vernichtet	دمرت	vernichten	دَمَّر	V;V.PTCP	V;PFV;FEM;SG;3;ACT
vernichtet	دمر	vernichten	دَمَّر	V;V.PTCP	V;PFV;MASC;SG;3;ACT
akzeptieren	نقبل	akzeptieren	نقبل	V;NFIN	V;IPFV;MASC;IND;PL;1;FIN;ACT
akzeptieren	تقبل	akzeptieren	قَبِل	V;NFIN	V;IPFV;FEM;IND;SG;3;FIN;ACT
akzeptieren	اقبل	akzeptieren	أَقبَل	V;NFIN	V;PFV;MASC;SG;3;ACT
renovierung	الترميم	renovierung	تَرمِيم	N;NOM;FEM;SG	N;NOM;DEF;SG
renovierung	التجديد	renovierung	تَجدِيد	N;NOM;FEM;SG	N;NOM;DEF;SG
übersehen	غاب	übersehen	غَاب	V;V.PTCP	V;PFV;MASC;SG;3;ACT
übersehen	اشتقت	übersehen	اِشتَقَى	V;V.PTCP	V;PFV;FEM;SG;3;ACT
gleichung	المعادلة	gleichung	مُعَادَلَة	N;SG	N;NOM;DEF;SG
gleichung	معادلة	gleichung	مُعَادَلَة	N;SG	N;NOM;INDF;SG
erlaubte	سمح	erlauben	سَمَح	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
mögen	يحب	mögen	حَبّ	V;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
behauptete	ادعى	behaupten	اِدَّعَى	V;IND;SG;3;PST;FIN	V;PFV;MASC;SG;3;ACT
verfolgen	تتبع	verfolgen	تَبِع	V;NFIN	V;MASC;IMP;SG;FIN
verfolgen	تطارد	verfolgen	تَطَارُد	V;NFIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
