catégorie	категорія	catégorie	категорія	N;FEM;SG	N;INAN;NOM;FEM;SG
nord	північ	nord	північ	N;MASC;SG	N;INAN;NOM;FEM;SG
années	роки	année	рік	N;FEM;PL	N;INAN;NOM;MASC;PL
bien	добре	bien	добре	ADV	ADV
bien	добре	bien	добре	ADV	ADV
bien	імхо	bien	імхо	ADV	ADV
liste	перелік	liste	перелік	N;FEM;SG	N;INAN;NOM;MASC;SG
liste	список	liste	список	N;FEM;SG	N;INAN;NOM;MASC;SG
équipe	відділення	équipe	відділення	N;FEM;SG	N;INAN;NOM;NEUT;SG
équipe	загін	équipe	загін	N;FEM;SG	N;INAN;NOM;MASC;SG
équipe	команда	équipe	команда	N;FEM;SG	N;INAN;NOM;FEM;SG
club	клуб	club	клуб	N;MASC;SG	N;INAN;NOM;MASC;SG
sud	південь	sud	південь	N;MASC;SG	N;INAN;NOM;MASC;SG
partie	вечірка	partie	вечірка	N;FEM;SG	N;INAN;NOM;FEM;SG
partie	партії	partie	партія	N;FEM;SG	N;INAN;GEN;FEM;SG
partie	партія	partie	партія	N;FEM;SG	N;INAN;NOM;FEM;SG
partie	частина	partie	частина	N;FEM;SG	N;INAN;NOM;FEM;SG
avant	перед	avant	перед	ADP	ADP;INS
très	дуже	très	дуже	ADV	ADV
trois	три	trois	три	NUM	NUM;NOM
articles	статті	article	стаття	N;MASC;PL	N;INAN;NOM;FEM;PL
articles	статтями	article	стаття	N;MASC;PL	N;INAN;INS;FEM;PL
articles	статей	article	стаття	N;MASC;PL	N;INAN;GEN;FEM;PL
article	стаття	article	стаття	N;MASC;SG	N;INAN;NOM;FEM;SG
article	статтю	article	стаття	N;MASC;SG	N;INAN;ACC;FEM;SG
guerre	війна	guerre	війна	N;FEM;SG	N;INAN;NOM;FEM;SG
sans	без	sans	без	ADP	ADP;GEN
saison	сезон	saison	сезон	N;FEM;SG	N;INAN;NOM;MASC;SG
saison	сезону	saison	сезон	N;FEM;SG	N;INAN;GEN;MASC;SG
fin	кінець	fin	кінець	N;FEM;SG	N;INAN;NOM;MASC;SG
fin	закінчення	fin	закінчення	N;FEM;SG	N;INAN;NOM;NEUT;SG
année	рік	année	рік	N;FEM;SG	N;INAN;NOM;MASC;SG
temps	погода	temps	погода	N;MASC;SG	N;INAN;NOM;FEM;SG
temps	тайм	temps	тайм	N;MASC;SG	N;INAN;NOM;MASC;SG
temps	час	temps	час	N;MASC;SG	N;INAN;NOM;MASC;SG
faire	займаюся	faire	займатися	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
faire	зробити	faire	зробити	V;NFIN	V;PFV;NFIN
mars	березень	mars	березень	N;MASC;SG	N;INAN;NOM;MASC;SG
mars	березня	mars	березень	N;MASC;SG	N;INAN;GEN;MASC;SG
histoire	журнал	histoire	журнал	N;FEM;SG	N;INAN;NOM;MASC;SG
histoire	історія	histoire	історія	N;FEM;SG	N;INAN;NOM;FEM;SG
série	серія	série	серія	N;FEM;SG	N;INAN;NOM;FEM;SG
série	ряд	série	ряд	N;FEM;SG	N;INAN;NOM;MASC;SG
joueur	гравця	joueur	гравець	N;MASC;SG	N;ANIM;ACC;MASC;SG
joueur	програвач	joueur	програвач	N;MASC;SG	N;INAN;NOM;MASC;SG
joueur	гравець	joueur	гравець	N;MASC;SG	N;ANIM;NOM;MASC;SG
mai	травня	mai	травень	N;MASC;SG	N;INAN;GEN;MASC;SG
mai	травень	mai	травень	N;MASC;SG	N;INAN;NOM;MASC;SG
tour	тур	tour	тур	N;MASC;SG	N;INAN;NOM;MASC;SG
tour	вежа	tour	вежа	N;MASC;SG	N;INAN;NOM;FEM;SG
tour	башта	tour	башта	N;MASC;SG	N;INAN;NOM;FEM;SG
mort	помер	mourir	померти	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
mort	померла	mourir	померти	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
mort	помер	mourir	померти	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
mort	померла	mourir	померти	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
juin	червня	juin	червень	N;MASC;SG	N;INAN;GEN;MASC;SG
juin	червень	juin	червень	N;MASC;SG	N;INAN;NOM;MASC;SG
française	французька	français	французький	ADJ;FEM;SG	ADJ;NOM;FEM;SG
française	французькою	français	французький	ADJ;FEM;SG	ADJ;INS;FEM;SG
française	французький	français	французький	ADJ;FEM;SG	ADJ;NOM;MASC;SG
pierre	камінь	pierre	камінь	N;FEM;SG	N;INAN;NOM;MASC;SG
région	ділянку	région	ділянка	N;FEM;SG	N;INAN;ACC;FEM;SG
région	регіон	région	регіон	N;FEM;SG	N;INAN;NOM;MASC;SG
région	область	région	область	N;FEM;SG	N;INAN;NOM;FEM;SG
région	ділянка	région	ділянка	N;FEM;SG	N;INAN;NOM;FEM;SG
région	площа	région	площа	N;FEM;SG	N;INAN;NOM;FEM;SG
région	місцевість	région	місцевість	N;FEM;SG	N;INAN;NOM;FEM;SG
janvier	січень	janvier	січеня	N;MASC;SG	N;INAN;NOM;NEUT;SG
janvier	січня	janvier	січень	N;MASC;SG	N;INAN;GEN;MASC;SG
avoir	маю	avoir	мати	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN
avoir	маєш	avoir	мати	V;NFIN	V;IPFV;IND;SG;2;PRS;FIN
fois	таймс	fois	таймс	N;FEM;SG	N;INAN;NOM;MASC;SG
fois	час	fois	час	N;FEM;SG	N;INAN;NOM;MASC;SG
septembre	вересня	septembre	вересень	N;MASC;SG	N;INAN;GEN;MASC;SG
septembre	вересень	septembre	вересень	N;MASC;SG	N;INAN;NOM;MASC;SG
juillet	липень	juillet	липень	N;MASC;SG	N;INAN;NOM;MASC;SG
juillet	липня	juillet	липень	N;MASC;SG	N;INAN;GEN;MASC;SG
état	стан	état	стан	N;MASC;SG	N;INAN;NOM;MASC;SG
état	статус	état	статус	N;MASC;SG	N;INAN;NOM;MASC;SG
état	стану	état	стан	N;MASC;SG	N;INAN;GEN;MASC;SG
état	статусі	état	статус	N;MASC;SG	N;INAN;DAT;MASC;SG
état	стан	état	стан	N;MASC;SG	N;INAN;NOM;MASC;SG
état	держава	état	держава	N;MASC;SG	N;INAN;NOM;FEM;SG
état	умова	état	умова	N;MASC;SG	N;INAN;NOM;FEM;SG
église	церква	église	церква	N;FEM;SG	N;INAN;NOM;FEM;SG
église	костел	église	костел	N;FEM;SG	N;INAN;NOM;MASC;SG
octobre	жовтень	octobre	жовтень	N;MASC;SG	N;INAN;NOM;MASC;SG
octobre	жовтня	octobre	жовтень	N;MASC;SG	N;INAN;GEN;MASC;SG
octobre	жовтня	octobre	жовтень	N;MASC;SG	N;INAN;GEN;MASC;SG
place	місце	place	місце	N;FEM;SG	N;INAN;NOM;NEUT;SG
famille	сімейство	famille	сімейство	N;FEM;SG	N;INAN;NOM;NEUT;SG
famille	родина	famille	родина	N;FEM;SG	N;INAN;NOM;FEM;SG
états	стани	état	стан	N;MASC;PL	N;INAN;NOM;MASC;PL
général	генерал	général	генерал	N;MASC;SG	N;ANIM;NOM;MASC;SG
avril	квітень	avril	квітень	N;MASC;SG	N;INAN;NOM;MASC;SG
avril	квітня	avril	квітень	N;MASC;SG	N;INAN;GEN;MASC;SG
album	альбому	album	альбий	N;MASC;SG	N;INAN;GEN;MASC;SG
album	альбом	album	альбом	N;MASC;SG	N;INAN;NOM;MASC;SG
décembre	грудень	décembre	грудень	N;MASC;SG	N;INAN;NOM;MASC;SG
décembre	грудня	décembre	грудень	N;MASC;SG	N;INAN;GEN;MASC;SG
août	серпня	août	серпень	N;MASC;SG	N;INAN;GEN;MASC;SG
août	серпень	août	серпень	N;MASC;SG	N;INAN;NOM;MASC;SG
novembre	листопаді	novembre	листопад	N;MASC;SG	N;INAN;NOM;MASC;SG
novembre	листопад	novembre	листопад	N;MASC;SG	N;INAN;NOM;MASC;SG
novembre	листопада	novembre	листопад	N;MASC;SG	N;INAN;GEN;MASC;SG
prix	ціна	prix	ціна	N;MASC;SG	N;INAN;NOM;FEM;SG
nouvelle	нове	nouveau	новий	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nouvelle	нова	nouveau	новий	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nouvelle	новий	nouveau	новий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
février	лютому	février	лютий	N;MASC;SG	N;INAN;DAT;MASC;SG
février	лютого	février	лютий	N;MASC;SG	N;INAN;GEN;MASC;SG
février	лютого	février	лютий	N;MASC;SG	N;INAN;GEN;MASC;SG
département	департамент	département	департамент	N;MASC;SG	N;INAN;NOM;MASC;SG
département	відділ	département	відділ	N;MASC;SG	N;INAN;NOM;MASC;SG
grande	велике	grand	великий	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
grande	велика	grand	великий	ADJ;FEM;SG	ADJ;NOM;FEM;SG
grande	великий	grand	великий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
grande	великий	grand	великий	ADJ;FEM;SG	ADJ;NOM;MASC;SG
peu	небагато	peu	небагато	ADV	ADV
américain	американський	américain	американський	ADJ;MASC;SG	ADJ;NOM;MASC;SG
américain	американська	américain	американський	ADJ;MASC;SG	ADJ;NOM;FEM;SG
américain	американської	américain	американський	ADJ;MASC;SG	ADJ;GEN;FEM;SG
début	старт	début	старт	N;MASC;SG	N;INAN;NOM;MASC;SG
début	початок	début	початок	N;MASC;SG	N;INAN;NOM;MASC;SG
début	початок	début	початок	N;MASC;SG	N;INAN;NOM;MASC;SG
ligne	лінія	ligne	лінія	N;FEM;SG	N;INAN;NOM;FEM;SG
ligne	рядок	ligne	рядок	N;FEM;SG	N;INAN;NOM;MASC;SG
ligne	рядка	ligne	рядок	N;FEM;SG	N;INAN;GEN;MASC;SG
ligne	рядок	ligne	рядок	N;FEM;SG	N;INAN;NOM;MASC;SG
suite	комплект	suite	комплект	N;FEM;SG	N;INAN;NOM;MASC;SG
nationale	національна	national	національний	ADJ;FEM;SG	ADJ;NOM;FEM;SG
nationale	національне	national	національний	ADJ;FEM;SG	ADJ;NOM;NEUT;SG
nationale	національний	national	національний	ADJ;FEM;SG	ADJ;NOM;MASC;SG
championnat	чемпіонат	championnat	чемпіонат	N;MASC;SG	N;INAN;NOM;MASC;SG
encore	знов	encore	знов	ADV	ADV
encore	знову	encore	знову	ADV	ADV
encore	ще	encore	ще	ADV	ADV
encore	надалі	encore	надалі	ADV	ADV
encore	досі	encore	досі	ADV	ADV
image	зображення	image	зображення	N;FEM;SG	N;INAN;NOM;NEUT;SG
image	картинка	image	картинка	N;FEM;SG	N;INAN;NOM;FEM;SG
image	зображення	image	зображення	N;FEM;SG	N;INAN;NOM;NEUT;SG
vie	життя	vie	життя	N;FEM;SG	N;INAN;NOM;NEUT;SG
lien	посиланням	lien	посилання	N;MASC;SG	N;INAN;INS;NEUT;SG
lien	лінк	lien	лінк	N;MASC;SG	N;INAN;NOM;MASC;SG
football	футбол	football	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
football	футбол	football	футбол	N;MASC;SG	N;INAN;NOM;MASC;SG
jeux	ігри	jeu	ігра	N;MASC;PL	N;INAN;NOM;MASC;PL
jeux	ігри	jeu	ігра	N;MASC;PL	N;INAN;NOM;MASC;PL
moins	менше	moins	менше	ADV	ADV;CMPR
ouest	захід	ouest	захід	N;MASC;SG	N;INAN;NOM;MASC;SG
page	сторінку	page	сторінка	N;FEM;SG	N;INAN;ACC;FEM;SG
page	сторінка	page	сторінка	N;FEM;SG	N;INAN;NOM;FEM;SG
nouveau	нове	nouveau	новий	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
nouveau	нова	nouveau	новий	ADJ;MASC;SG	ADJ;NOM;FEM;SG
nouveau	новий	nouveau	новий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
vous	ви	vous	ви	PRO;PL;2	PRO;ANIM;NOM;PL;2
centre	центр	centre	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
centre	центр	centre	центр	N;MASC;SG	N;INAN;NOM;MASC;SG
cours	курс	cours	курс	N;MASC;SG	N;INAN;NOM;MASC;SG
cours	майданчик	cours	майданчик	N;MASC;SG	N;INAN;NOM;MASC;SG
cours	кур	cours	кур	N;MASC;SG	N;INAN;NOM;MASC;SG
partir	залиште	partir	залиштий	V;NFIN	V;PFV;IND;PL;2;FUT;FIN
partir	залишити	partir	залишити	V;NFIN	V;PFV;NFIN
village	село	village	село	N;MASC;SG	N;INAN;NOM;NEUT;SG
université	університет	université	університет	N;FEM;SG	N;INAN;NOM;MASC;SG
université	коледж	université	коледж	N;FEM;SG	N;INAN;NOM;MASC;SG
université	коледжі	université	коледжа	N;FEM;SG	N;INAN;NOM;MASC;SG
louis	людовик	loui	людовик	N;MASC;SG	N;ANIM;NOM;MASC;SG
nombre	число	nombre	число	N;MASC;SG	N;INAN;NOM;NEUT;SG
nombre	кількість	nombre	кількість	N;MASC;SG	N;INAN;NOM;FEM;SG
nombre	номер	nombre	номер	N;MASC;SG	N;INAN;NOM;MASC;SG
nombre	номера	nombre	номера	N;MASC;SG	N;INAN;GEN;MASC;SG
quelques	дехто	quelque	дехто	PRO;PL	PRO;ANIM;NOM
leurs	своїх	son	свій	DET;MASC;PL	DET;ANIM;ACC;PL;REFL
leurs	свої	son	свій	DET;MASC;PL	DET;NOM;PL;REFL
siècle	ст	siècle	ст.	N;MASC;SG	N;INAN;NOM;NEUT;SG
siècle	століття	siècle	століття	N;MASC;SG	N;INAN;NOM;NEUT;SG
coupe	зачіска	coupe	зачіска	N;FEM;SG	N;INAN;NOM;FEM;SG
coupe	чашка	coupe	чашка	N;FEM;SG	N;INAN;NOM;FEM;SG
coupe	чаша	coupe	чаш	N;FEM;SG	N;INAN;NOM;FEM;SG
coupe	кубок	coupe	кубок	N;FEM;SG	N;INAN;NOM;MASC;SG
coupe	вирізання	coupe	вирізання	N;FEM;SG	N;INAN;NOM;NEUT;SG
coupe	кубок	coupe	кубок	N;FEM;SG	N;INAN;NOM;MASC;SG
population	населення	population	населення	N;FEM;SG	N;INAN;NOM;NEUT;SG
connexes	схожі	connexe	схожий	ADJ;MASC;PL	ADJ;NOM;PL
homme	самець	homme	самець	N;MASC;SG	N;ANIM;NOM;MASC;SG
homme	людина	homme	людина	N;MASC;SG	N;ANIM;NOM;FEM;SG
homme	чоловік	homme	чоловік	N;MASC;SG	N;ANIM;NOM;MASC;SG
homme	мужчина	homme	мужчина	N;MASC;SG	N;ANIM;NOM;MASC;SG
communes	муніципалітетів	commune	муніципалітет	N;FEM;PL	N;ANIM;ACC;MASC;PL
division	ділення	division	ділення	N;FEM;SG	N;INAN;NOM;NEUT;SG
division	дивізіон	division	дивізіон	N;FEM;SG	N;INAN;NOM;MASC;SG
division	поділ	division	поділ	N;FEM;SG	N;INAN;NOM;MASC;SG
président	президент	président	президент	N;MASC;SG	N;ANIM;NOM;MASC;SG
président	крісло	président	крісло	N;MASC;SG	N;INAN;NOM;NEUT;SG
président	стілець	président	стілець	N;MASC;SG	N;INAN;NOM;MASC;SG
président	голова	président	голова	N;MASC;SG	N;ANIM;NOM;FEM;SG
président	головою	président	голова	N;MASC;SG	N;INAN;INS;FEM;SG
national	національна	national	національний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
national	національне	national	національний	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
national	національний	national	національний	ADJ;MASC;SG	ADJ;NOM;MASC;SG
société	суспільство	société	суспільство	N;FEM;SG	N;INAN;NOM;NEUT;SG
société	товариства	société	товариство	N;FEM;SG	N;INAN;NOM;NEUT;SG
société	товариство	société	товариство	N;FEM;SG	N;INAN;NOM;NEUT;SG
société	компанія	société	компанія	N;FEM;SG	N;INAN;NOM;FEM;SG
quatre	чотирьох	quatre	чотири	NUM	NUM;NOM
quatre	чотири	quatre	чотири	NUM	NUM;NOM
cas	регістр	cas	регістр	N;MASC;SG	N;INAN;NOM;MASC;SG
cas	справа	cas	справа	N;MASC;SG	N;INAN;NOM;FEM;SG
cas	випадок	cas	випадок	N;MASC;SG	N;INAN;NOM;MASC;SG
jeu	гра	jeu	гра	N;MASC;SG	N;INAN;NOM;FEM;SG
jeu	гру	jeu	гра	N;MASC;SG	N;INAN;ACC;FEM;SG
jeu	азарт	jeu	азарт	N;MASC;SG	N;INAN;NOM;MASC;SG
genre	жанр	genre	жанр	N;MASC;SG	N;INAN;NOM;MASC;SG
genre	стать	genre	стать	N;MASC;SG	N;INAN;NOM;FEM;SG
genre	рід	genre	рід	N;MASC;SG	N;INAN;NOM;MASC;SG
genre	зразок	genre	зразок	N;MASC;SG	N;INAN;NOM;MASC;SG
musique	музика	musique	музика	N;FEM;SG	N;INAN;NOM;FEM;SG
musique	музику	musique	музика	N;FEM;SG	N;INAN;ACC;FEM;SG
fils	дріт	fils	дріт	N;MASC;SG	N;INAN;NOM;MASC;SG
fils	дроту	fils	дріт	N;MASC;SG	N;INAN;GEN;MASC;SG
fils	сина	fils	син	N;MASC;SG	N;ANIM;NOM;MASC;SG
fils	сину	fils	син	N;MASC;SG	N;ANIM;VOC;MASC;SG
fils	син	fils	син	N;MASC;SG	N;ANIM;NOM;MASC;SG
roi	король	roi	король	N;MASC;SG	N;ANIM;NOM;MASC;SG
roi	цар	roi	цар	N;MASC;SG	N;ANIM;NOM;MASC;SG
parti	зник	partir	зник	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
parti	зникла	partir	зникнути	V;MASC;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
jour	день	jour	день	N;MASC;SG	N;INAN;NOM;MASC;SG
jour	дню	jour	день	N;MASC;SG	N;INAN;DAT;MASC;SG
jour	дня	jour	день	N;MASC;SG	N;INAN;GEN;MASC;SG
forme	форму	forme	форма	N;FEM;SG	N;INAN;ACC;FEM;SG
forme	форма	forme	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
forme	форму	forme	форма	N;FEM;SG	N;INAN;ACC;FEM;SG
forme	форма	forme	форма	N;FEM;SG	N;INAN;NOM;FEM;SG
époque	епоха	époque	епоха	N;FEM;SG	N;INAN;NOM;FEM;SG
époque	епоху	époque	епох	N;FEM;SG	N;INAN;NOM;FEM;SG
époque	епоха	époque	епоха	N;FEM;SG	N;INAN;NOM;FEM;SG
devient	стає	devenir	ставати	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN
ancien	стародавній	ancien	стародавний	ADJ;MASC;SG	ADJ;NOM;FEM;SG
ancien	давній	ancien	давній	ADJ;MASC;SG	ADJ;NOM;MASC;SG
ancien	старе	ancien	старий	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
ancien	старим	ancien	старий	ADJ;MASC;SG	ADJ;INS;NEUT;SG
ancien	стара	ancien	старий	ADJ;MASC;SG	ADJ;NOM;FEM;SG
ancien	старий	ancien	старий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
ancien	старший	ancien	старший	ADJ;MASC;SG	ADJ;NOM;CMPR;MASC;SG
ancien	старша	ancien	старша	ADJ;MASC;SG	ADJ;NOM;CMPR;FEM;SG
ancien	колишній	ancien	колишній	ADJ;MASC;SG	ADJ;NOM;MASC;SG
origine	джерело	origine	джерело	N;FEM;SG	N;INAN;NOM;NEUT;SG
origine	походження	origine	походження	N;FEM;SG	N;INAN;NOM;NEUT;SG
ordre	ордер	ordre	ордер	N;MASC;SG	N;INAN;NOM;MASC;SG
ordre	наказ	ordre	наказ	N;MASC;SG	N;INAN;NOM;MASC;SG
ordre	порядок	ordre	порядок	N;MASC;SG	N;INAN;NOM;MASC;SG
château	шато	château	шато	N;MASC;SG	N;INAN;NOM;NEUT;SG
château	замок	château	замка	N;MASC;SG	N;INAN;NOM;MASC;SG
école	школа	école	школа	N;FEM;SG	N;INAN;NOM;FEM;SG
école	училище	école	училище	N;FEM;SG	N;INAN;NOM;NEUT;SG
carrière	кар	carrière	кар.	N;FEM;SG	N;INAN;NOM;FEM;SG
part	акція	part	акція	N;FEM;SG	N;INAN;NOM;FEM;SG
part	поширення	part	поширення	N;FEM;SG	N;INAN;NOM;NEUT;SG
deuxième	другий	deuxième	другий	ADJ;MASC;SG	ADJ;NOM;MASC;SG
deuxième	друге	deuxième	другий	ADJ;MASC;SG	ADJ;NOM;NEUT;SG
bar	бар	bar	бар	N;MASC;SG	N;INAN;NOM;MASC;SG
bar	смужка	bar	смужка	N;MASC;SG	N;INAN;NOM;FEM;SG
