експлуатація	exploatering	експлуатація	exploatering	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
годинник	klockan	годинник	klocka	N;INAN;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
процесор	processor	процесор	processor	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
процесор	processor	процесор	processor	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
прогрес	progress	прогрес	progress	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
прогрес	förlopp	прогрес	förlopp	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
цивілізація	civilisation	цивілізація	civilisation	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
цивілізація	civilisationen	цивілізація	civilisation	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
цивілізація	civilisation	цивілізація	civilisation	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
цивілізація	civilisationen	цивілізація	civilisation	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
табори	lägren	табір	lägr	N;INAN;NOM;MASC;PL	N;NOM;DEF;NEUT;PL
табори	läger	табір	läga	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
рядки	raderna	рядок	rad	N;INAN;NOM;MASC;PL	N;NOM;DEF;MASC+FEM;PL
рядки	rader	рядок	rad	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
рядки	rader	рядок	rad	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
рядки	linjer	рядок	linje	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
рядки	banor	рядок	bana	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
рядки	strängar	рядок	sträng	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
взято	tagit	взяти	ta	V;PFV;IND;0;FIN	V;V.CVB;ACT
взято	togs	взяти	ta	V;PFV;IND;0;FIN	V;IND;PST;FIN;PASS
екранізації	anpassningar	екранізація	anpassning	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
сутність	väsen	сутність	väs	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
сутність	väsen	сутність	väs	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
сутність	enhet	сутність	enhet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
личинки	yngel	личинка	yngel	N;ANIM;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
личинки	larver	личинка	larv	N;ANIM;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
професії	yrken	професія	yrke	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
компонент	beståndsdel	компонент	beståndsdel	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
компонент	komponenten	компонент	komponent	N;INAN;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
компонент	komponent	компонент	komponent	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
єврейський	judiskt	єврейський	judisk	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
єврейський	judisk	єврейський	judisk	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
напади	attacker	напади	attack	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
напади	angrepp	напади	angrepp	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;PL
напади	kramper	напади	kramp	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
квартал	kvartalet	квартал	kvartal	N;INAN;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
квартал	kvartal	квартал	kvartal	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
квартал	kvart	квартал	kvart	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
квартал	fjärdedel	квартал	fjärdedel	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
математичний	matematiskt	математичний	matematisk	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
маленька	lilla	маленький	liten	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;SG
маленька	liten	маленький	liten	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
контакт	kontakt	контакт	kontakt	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
лад	läge	лад	läge	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
хмари	molnen	хмара	mol	N;INAN;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;PL
популярна	populärt	популярний	populär	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
популярна	populär	популярний	populär	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
запобігти	förebygga	запобігти	förebygga	V;PFV;NFIN	V;IMP;NFIN;ACT
запобігти	förebygger	запобігти	förebygga	V;PFV;NFIN	V;IND;PRS;FIN;ACT
запобігти	förhindrar	запобігти	förhindra	V;PFV;NFIN	V;IND;PRS;FIN;ACT
запобігти	förhindra	запобігти	förhindra	V;PFV;NFIN	V;IMP;FIN;ACT
глядачі	målgrupper	глядач	målgrupp	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
глядачі	åskådare	глядач	åskådare	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
глядачі	tittare	глядач	titta	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
глядачі	tittarna	глядач	titta	N;ANIM;NOM;MASC;PL	N;NOM;DEF;MASC+FEM;PL
перемогли	besegrade	перемогти	besegrad	V;PFV;IND;PL;PST;FIN	V;IND;PST;FIN;ACT
перемогли	besegrades	перемогти	besegra	V;PFV;IND;PL;PST;FIN	V;IND;PST;FIN;PASS
провідний	ledande	провідний	ledande	ADJ;NOM;MASC;SG	ADJ;NOM;PRS;V.PTCP
продано	såld	продати	såld	V;PFV;IND;0;FIN	V;NOM;SG;PST;V.PTCP
продано	säljs	продати	sälja	V;PFV;IND;0;FIN	V;IND;PRS;FIN;PASS
продано	sålt	продати	sålt	V;PFV;IND;0;FIN	V;V.CVB;ACT
описано	beskriver	описати	beskriva	V;PFV;IND;0;FIN	V;IND;PRS;FIN;ACT
описано	beskrivs	описати	beskriva	V;PFV;IND;0;FIN	V;IND;PRS;FIN;PASS
описано	beskrivs	описати	beskriva	V;PFV;IND;0;FIN	V;IND;PRS;FIN;PASS
акція	stock	акція	stock	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
акція	bestånd	акція	bestånd	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
акція	aktie	акція	aktie	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
зведена	reducerad	зведений	reducera	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
зведена	nedsatt	зведений	nedsätta	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
зведена	sänkt	зведений	sänka	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
зведена	reducerat	зведений	reducera	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
зведена	minskat	зведений	minska	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
істоти	varelser	істота	varelse	N;ANIM;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
угорська	ungersk	угорський	ungersk	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
оздоблення	dekoration	оздоблення	dekoration	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
виверження	utbrott	виверження	utbrott	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
відвідування	besök	відвідування	besök	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
відвідування	studiebesök	відвідування	studiebesök	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
відвідування	besök	відвідування	besök	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
дванадцять	tolv	дванадцять	tolv	NUM;NOM	NUM;NOM
окупація	yrke	окупація	yrke	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
окупація	ockupationen	окупація	ockupation	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
окупація	ockupation	окупація	ockupation	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
патрулювання	patrullen	патрулювання	patrull	N;INAN;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
патрулювання	patrull	патрулювання	patrull	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
друк	tryck	друк	tryck	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
друк	utskrift	друк	utskrift	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
друк	tryckeri	друк	tryckeri	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
друк	tryckning	друк	tryckning	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
особистість	identitet	особистість	identitet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
особистість	personlighet	особистість	personlighet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
особистість	personligheten	особистість	personlighet	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
помітив	märkte	помітив	märka	V;PFV;MASC;IND;SG;PST;FIN	V;IND;PST;FIN;ACT
закінчили	gjort	закінчити	göra	V;PFV;IND;PL;PST;FIN	V;V.CVB;ACT
мажор	majoren	мажор	major	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
мажор	major	мажор	maja	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
мажор	huvudämne	мажор	huvudämne	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
аналог	likartad	аналог	likartad	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
використана	begagnad	використаний	begagnad	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
травми	störningar	травма	störning	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
травми	skador	травма	skada	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
травми	personskador	травма	personskada	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
травми	trauman	травма	trauma	N;INAN;NOM;FEM;PL	N;NOM;INDF;NEUT;PL
адмін	administratör	адмін	administratör	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
типові	typiska	тип	typisk	ADJ;NOM;PL	ADJ;NOM;PL
стрілець	skytten	стрілець	skytt	N;ANIM;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
стрілець	skytt	стрілець	skyta	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
вождь	chef	вождь	chef	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
вождь	chief	вождь	chief	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
вождь	chefen	вождь	chef	N;ANIM;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
вождь	hövding	вождь	hövding	N;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
серйозні	allvarliga	серйозний	allvarlig	ADJ;NOM;PL	ADJ;NOM;PL
спрямування	delegation	спрямування	delegation	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
спрямування	delegationen	спрямування	delegation	N;INAN;NOM;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
начебто	tydligen	начебто	tydligen	ADV	ADV
начебто	uppenbarligen	начебто	uppenbarligen	ADV	ADV
присутня	nuvarande	присутня	nuvarande	ADJ;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
старт	start	старт	star	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
згадував	nämndes	згадувати	nämna	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;PST;FIN;PASS
згадував	nämnde	згадувати	nämna	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;PST;FIN;ACT
згадував	nämnts	згадувати	nämna	V;IPFV;MASC;IND;SG;PST;FIN	V;V.CVB;PASS
тіні	skuggor	тінь	skugga	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
змінено	byttes	змінити	byta	V;PFV;IND;0;FIN	V;IND;PST;FIN;PASS
змінено	förändrats	змінити	förändra	V;PFV;IND;0;FIN	V;V.CVB;PASS
змінено	ändrats	змінити	ändra	V;PFV;IND;0;FIN	V;V.CVB;PASS
рейх	riket	рій	rike	N;INAN;NOM;MASC;SG	N;NOM;DEF;NEUT;SG
казка	saga	казка	saga	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
казка	berättelse	казка	berättelse	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
подати	skicka	подати	skicka	V;PFV;NFIN	V;IMP;FIN;ACT
зруйновано	förstöras	зруйновано	förstöra	V;PFV;IND;0;FIN	V;NFIN;PASS
зруйновано	förstörde	зруйновано	förstöra	V;PFV;IND;0;FIN	V;IND;PST;FIN;ACT
вказати	ange	вказати	ange	V;PFV;NFIN	V;IMP;FIN;ACT
вказати	specificera	вказати	specificera	V;PFV;NFIN	V;IMP;FIN;ACT
вказати	precisera	вказати	precisera	V;PFV;NFIN	V;IMP;FIN;ACT
вказати	definiera	вказати	definiera	V;PFV;NFIN	V;NFIN;ACT
папір	paper	папір	paper	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
папір	pappers	папір	pappers	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
папір	papper	папір	papper	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
знаменитий	berömt	знаменитий	beröma	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
знаменитий	berömd	знаменитий	berömd	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
знаменитий	känd	знаменитий	känd	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
залізо	strykjärn	залізо	strykjärn	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
залізо	iron	залізо	iron	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
залізо	järn	залізо	järn	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
трофей	trophy	трофія	trophy	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
трофей	pokalen	трофія	pokal	N;INAN;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
трофей	trofén	трофія	trof	N;INAN;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
трофей	trofé	трофія	trofé	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
знищили	förstöras	знищити	förstöra	V;PFV;IND;PL;PST;FIN	V;NFIN;PASS
знищили	förstörde	знищити	förstöra	V;PFV;IND;PL;PST;FIN	V;IND;PST;FIN;ACT
родичі	syskonen	родич	syskon	N;ANIM;NOM;MASC;PL	N;NOM;DEF;NEUT;PL
родичі	syskon	родич	syskon	N;ANIM;NOM;MASC;PL	N;NOM;INDF;NEUT;PL
родичі	släktingar	родич	släkting	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
бачення	syn	бачення	syn	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
бачення	vision	бачення	vision	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
раси	raser	раса	ras	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;PL
білка	ekorre	білок	ekorr	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
чоловіча	manligt	чоловічий	manlig	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
аудіо	ljudsignal	аудіо	ljudsignal	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
аудіо	ljud	аудіо	ljud	N;INAN;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
аудіо	audio	аудіо	audio	N;INAN;NOM;NEUT;SG	N
розділена	uppdelad	розділений	uppdela	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
розділена	uppdelat	розділений	uppdela	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
розділена	delat	розділений	delad	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
розділена	delad	розділений	delad	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
розділена	delad	розділений	delad	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
дорослі	vuxna	дорослий	vuxen	ADJ;NOM;PL	ADJ;NOM;PL
дорослі	vuxna	дорослий	vuxen	ADJ;NOM;PL	ADJ;NOM;PL
перевага	ynnest	перевага	ynnest	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
перевага	gunst	перевага	gunst	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
перевага	favör	перевага	favör	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
перевага	övertag	перевага	övertag	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
перевага	fördel	перевага	fördel	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
отримано	fått	отримати	få	V;PFV;IND;0;FIN	V;V.CVB;ACT
отримано	fick	отримати	få	V;PFV;IND;0;FIN	V;IND;PST;FIN;ACT
отримано	hämtas	отримати	hämta	V;PFV;IND;0;FIN	V;NFIN;PASS
отримано	hämtas	отримати	hämta	V;PFV;IND;0;FIN	V;NFIN;PASS
сосна	pinus	сосна	pinus	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
сосна	tall	сосна	tall	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
сосна	pine	сосна	pine	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
танець	dance	танець	danc	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;SG
танець	dans	танець	dans	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
барабани	trummor	барабан	trummor	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
палата	plenisalen	палата	plenisal	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
палата	kammaren	палата	kammare	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
палата	kammare	палата	kammare	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
знищені	förstörda	знищений	förstöra	ADJ;PFV;NOM;PL;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
симфонія	symfoni	симфонія	symfoni	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
цікавий	intressant	цікавий	intressant	ADJ;NOM;MASC;SG	ADJ;NOM;INDF;NEUT;SG
трагедія	tragedin	трагедія	tragedi	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
трагедія	tragedi	трагедія	tragedi	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
маргарита	margaret	маргарит	margar	N;ANIM;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
маргарита	margareta	маргарит	margaret	N;ANIM;NOM;FEM;SG	N;NOM;DEF;NEUT;SG
маргарита	margarita	маргарит	margarit	N;ANIM;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
творець	skaparen	творець	skapare	N;ANIM;NOM;MASC;SG	N;NOM;DEF;MASC+FEM;SG
вигнання	exil	вигнання	exil	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
священики	präster	священик	präst	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
священики	präster	священик	präst	N;ANIM;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
закрита	stängd	закрита	stänga	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
закрита	sluten	закрита	slut	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
закрита	stängt	закрита	stänga	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
складність	svårighet	складність	svårighet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
складність	svårighetsgrad	складність	svårighetsgrad	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
складність	komplexitet	складність	komplexitet	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
промінь	stråle	промінь	stråle	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
зима	vintern	зима	vinter	N;INAN;NOM;FEM;SG	N;NOM;DEF;MASC+FEM;SG
зима	winter	зима	winter	N;INAN;NOM;FEM;SG	N;NOM;INDF;NEUT;SG
зима	vinter	зима	vinter	N;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
вирішувати	besluta	вирішувати	besluta	V;IPFV;NFIN	V;IMP;FIN;ACT
вирішувати	bestämma	вирішувати	bestämma	V;IPFV;NFIN	V;NFIN;ACT
професійні	professionella	професійний	professionell	ADJ;NOM;PL	ADJ;NOM;PL
спільне	gemensamt	спільний	gemensam	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
спільне	gemensam	спільний	gemensam	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
спільне	vanligt	спільний	vanlig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
спільне	gemensamt	спільний	gemensam	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
спільне	vanlig	спільний	vanlig	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC+FEM;SG
можлива	möjligt	можливий	möjlig	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;NEUT;SG
можлива	möjlig	можливий	möjlig	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG
ярмарки	mässor	ярмарка	mässa	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;PL
