geheimen	hemmelige	geheimen	hemmelig	ADJ	ADJ;PL
ständigen	permanente	ständig	permanent	ADJ	ADJ;PL
ständigen	permanent	ständig	permanent	ADJ	ADJ;INDF;NEUT;SG
bühnen	plattformer	bühnen	plattform	N;NOM;PL	N;INDF;FEM;PL
bühnen	stadier	bühnen	stadium	N;NOM;PL	N;INDF;FEM;PL
abgehalten	held	abhalten	halde	V;V.PTCP	V;IND;PRS;FIN
japanisch	japansk	japanisch	japansk	ADJ	ADJ;INDF;SG
fliehen	rømmer	fliehen	rømme	V;NFIN	V;IND;PRS;FIN
fraglich	tvilsomt	fraglich	tvilsomt	ADJ	ADJ;INDF;NEUT;SG
fraglich	diskutabelt	fraglich	diskutabel	ADJ	ADJ;INDF;NEUT;SG
fraglich	tvilsomt	fraglich	tvilsomt	ADJ	ADJ;INDF;NEUT;SG
empfangen	mottar	empfangen	motte	V;V.PTCP	V;IND;PRS;FIN
empfangen	mottok	empfangen	motta	V;V.PTCP	V;IND;PST;FIN
empfangen	mottar	empfangen	motte	V;V.PTCP	V;IND;PRS;FIN
pflicht	obligatorisk	pflicht	obligatorisk	ADJ	ADJ;INDF;NEUT;SG
nummern	tall	nummern	tall	N	N;INDF;NEUT;SG
nummern	numre	nummern	numr	N	N;INDF;NEUT;SG
schnellen	raskt	schnell	rask	ADJ	ADJ;INDF;NEUT;SG
schnellen	rask	schnell	rask	ADJ	ADJ;INDF;SG
schnellen	hurtig	schnell	hurtig	ADJ	ADJ;INDF;NEUT;SG
schnellen	raske	schnell	rask	ADJ	ADJ;PL
schnellen	fort	schnell	fort	ADJ	ADJ;INDF;NEUT;SG
wusste	visste	wissen	vite	V;IND;SG;3;PST;FIN	V;IND;PST;FIN
hinreichend	tilstrekkelig	hinreichend	tilstrekkelig	ADJ	ADJ;INDF;NEUT;SG
theoretisch	teoretisk	theoretisch	teoretisk	ADJ	ADJ;INDF;NEUT;SG
theoretisch	teoretisk	theoretisch	teoretisk	ADJ	ADJ;INDF;NEUT;SG
persönlicher	personlig	persönlich	personlig	ADJ	ADJ;INDF;NEUT;SG
persönlicher	personlige	persönlich	personlig	ADJ	ADJ;PL
ernährung	ernæring	Ernährung	ernæring	N;NOM;FEM;SG	N;INDF;FEM;SG
ernährung	kosthold	Ernährung	kosthold	N;NOM;FEM;SG	N;INDF;MASC;SG
ernährung	dietten	Ernährung	diett	N;NOM;FEM;SG	N;DEF;MASC;SG
ernährung	diett	Ernährung	diett	N;NOM;FEM;SG	N;INDF;MASC;SG
lebensweise	lifestyle	lebensweise	lifestyle	N	N;INDF;MASC;SG
lebensweise	livsstil	lebensweise	livsstil	N	N;INDF;MASC;SG
lebensweise	livsstil	lebensweise	livsstil	N	N;INDF;MASC;SG
anerkannte	gjenkjent	anerkannt	gjenkjent	ADJ;SG	ADJ;INDF;NEUT;SG;V.PTCP
anerkannte	anerkjent	anerkannt	anerkjent	ADJ;SG	ADJ;INDF;SG;V.PTCP
anerkannte	anerkjent	anerkannt	anerkjent	ADJ;SG	ADJ;INDF;SG;V.PTCP
anerkannte	gjenkjent	anerkannt	gjenkjent	ADJ;SG	ADJ;INDF;NEUT;SG;V.PTCP
anerkannte	anerkjent	anerkannt	anerkjent	ADJ;SG	ADJ;INDF;SG;V.PTCP
springen	sprang	springen	springe	V;NFIN	V;IND;PST;FIN
passieren	skje	passieren	skje	V;NFIN	V;IMP;NFIN
ära	æra	ära	ære	N;NOM;FEM;SG	N;DEF;MASC;SG
ära	era	ära	ere	N;NOM;FEM;SG	N
ära	epoke	ära	epoke	N;NOM;FEM;SG	N;INDF;MASC;SG
annehmen	godtar	annehmen	godt	V;NFIN	V;IND;PRS;FIN
annehmen	godta	annehmen	godta	V;NFIN	V;NFIN
annehmen	akseptere	annehmen	akseptere	V;NFIN	V;NFIN
annehmen	aksepterer	annehmen	akseptere	V;NFIN	V;IND;PRS;FIN
abteilungen	departementer	abteilingen	departement	N;NOM;FEM;PL	N;INDF;NEUT;PL
abteilungen	avdelinger	abteilingen	avdeling	N;NOM;FEM;PL	N;INDF;FEM;PL
erläutert	forklarte	erläutern	forklare	V;V.PTCP	V;IND;PST;FIN
erläutert	forklarer	erläutern	forklare	V;V.PTCP	V;IND;PRS;FIN
nachweisbar	påviselige	nachweisbar	påviselig	ADJ	ADJ;PL
kritischen	kritisk	kritisch	kritisk	ADJ	ADJ;INDF;NEUT;SG
kritischen	kritiske	kritisch	kritisk	ADJ	ADJ;PL
teilgenommen	deltok	teilnehmen	delta	V;V.PTCP	V;IND;PST;FIN
teilgenommen	deltok	teilnehmen	delta	V;V.PTCP	V;IND;PST;FIN
shakespeare	shakespeare	shakespeare	shakespeare	N;NOM;MASC;SG	N;INDF;MASC;SG
hang	skråning	hang	skråning	N	N;INDF;FEM;SG
berühmt	berømte	berühmt	berømt	ADJ	ADJ;PL
berühmt	berømt	berühmt	berømme	ADJ	ADJ;INDF;SG
restaurierung	restaurering	restaurierung	restaurering	N;NOM;FEM;SG	N;INDF;FEM;SG
restaurierung	restaurasjonen	restaurierung	restaurasjon	N;NOM;FEM;SG	N;DEF;MASC;SG
restaurierung	renovering	restaurierung	renovering	N;NOM;FEM;SG	N;INDF;FEM;SG
restaurierung	oppussing	restaurierung	oppussing	N;NOM;FEM;SG	N;INDF;FEM;SG
umzug	flytting	umzugen	flytting	N;SG	N;INDF;FEM;SG
umzug	flytting	umzugen	flytting	N;SG	N;INDF;FEM;SG
umzug	paraden	umzugen	parad	N;SG	N;DEF;MASC;SG
umzug	parade	umzugen	parad	N;SG	N;INDF;MASC;SG
umzug	opptog	umzugen	opptog	N;SG	N;INDF;NEUT;SG
umzug	fjerningen	umzugen	fjerning	N;SG	N;DEF;MASC;SG
umzug	fjerning	umzugen	fjerning	N;SG	N;INDF;FEM;SG
niedrigen	lavt	niedrig	levje	ADJ	ADJ;INDF;NEUT;SG
weichen	brytere	weichen	brytere	V;NFIN	V;NFIN
erhöhung	øk	erhöhung	øk	N;NOM;FEM;SG	N;INDF;NEUT;SG
erhöhung	økning	erhöhung	økning	N;NOM;FEM;SG	N;INDF;FEM;SG
verkauften	solgte	verkaufen	solgje	V;IND;PL;3;PST;FIN	V;IND;PST;FIN
polizisten	politifolk	polizist	politifolk	N;PL	N;INDF;NEUT;PL
polizisten	politimenn	polizist	politimenn.	N;PL	N;INDF;MASC;PL
polizisten	politifolk	polizist	politifolk	N;PL	N;INDF;NEUT;PL
polizisten	politimenn	polizist	politimenn.	N;PL	N;INDF;MASC;PL
polizisten	betjenter	polizist	betjenter	N;PL	N;INDF;FEM;PL
polizisten	offiserene	polizist	offiser	N;PL	N;DEF;FEM;PL
latein	latinske	latein	latinsk	ADJ	ADJ;PL
latein	latinsk	latein	latinsk	ADJ	ADJ;INDF;SG
tschechische	tsjekkiske	tschechisch	tsjekkisk	ADJ;NOM;FEM;PL	ADJ;PL
politisches	politisk	politisch	politisk	ADJ;NOM;NEUT;SG	ADJ;INDF;NEUT;SG
selbständige	uavhengige	selbständig	uavhengig	ADJ;NOM;FEM;PL	ADJ;PL
alternativen	alternative	alternativ	alternativ	ADJ	ADJ;PL
herrscht	rår	herrschen	rå	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
schaffung	skapelsen	schaffung	skapelse	N	N;DEF;MASC;SG
schaffung	oppretting	schaffung	oppretting	N	N;INDF;FEM;SG
schaffung	skapning	schaffung	skapning	N	N;INDF;MASC;SG
schaffung	skaperverk	schaffung	skaperverk	N	N;INDF;NEUT;SG
schaffung	skapelse	schaffung	skapelse	N	N;INDF;MASC;SG
schaffung	opprettelse	schaffung	opprettelse	N	N;INDF;MASC;SG
interessante	interessante	interessant	interessant	ADJ;NOM;FEM;PL	ADJ;PL
ausserdem	òg	ausserdem	òg	ADV	ADV
ausserdem	også	ausserdem	også	ADV	ADV
schlage	foreslår	schlage	foreslå	V;SG;FIN	V;IND;PRS;FIN
schwanz	mynt	schwanzen	mynt	N	N;INDF;MASC;SG
schwanz	haler	schwanzen	hale	N	N;INDF;FEM;PL
schwanz	halen	schwanzen	hal	N	N;DEF;MASC;SG
schwanz	hale	schwanzen	hale	N	N;INDF;MASC;SG
schwanz	dick	schwanzen	dick	N	N;INDF;MASC;SG
schwanz	pikk	schwanzen	pikk	N	N;INDF;MASC;SG
schwanz	kukk	schwanzen	kukk	N	N;INDF;MASC;SG
schwanz	kuk	schwanzen	kuk	N	N;INDF;MASC;SG
beteiligen	delta	beteiligen	delta	V;NFIN	V;NFIN
untergrund	underjordisk	untergrund	underjordisk	ADJ	ADJ;INDF;NEUT;SG
aufsätze	stilene	aufsätzen	stile	N;NOM;PL	N;DEF;FEM;PL
fränkischen	frankiske	fränkischen	frankisk	ADJ;NOM;PL	ADJ;PL
bahnhöfe	stasjoner	bahnhöfen	stasjon	N;NOM;MASC;PL	N;INDF;MASC;PL
bahnhöfe	stasjonene	bahnhöfen	stasjon	N;NOM;MASC;PL	N;DEF;FEM;PL
tests	tester	tests	tester	N	N;INDF;FEM;PL
tests	test	tests	test	N	N;INDF;MASC;SG
tests	testing	tests	testing	N	N;INDF;FEM;SG
tests	tester	tests	tester	N	N;INDF;FEM;PL
sorgt	sikrer	sorgen	sikre	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
läßt	innrømmer	lassen	innrømme	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
staffeln	årstider	staffeln	årstid	N;NOM;FEM;PL	N;INDF;FEM;PL
staffeln	årstidene	staffeln	årstid	N;NOM;FEM;PL	N;DEF;FEM;PL
staffeln	sesongene	staffeln	sesong	N;NOM;FEM;PL	N;DEF;MASC;PL
staffeln	skvadroner	staffeln	skvadron	N;NOM;FEM;PL	N;INDF;FEM;PL
trasse	sti	trassen	sti	N	N;INDF;MASC;SG
rechnen	forventer	rechnen	forventer	V;NFIN	V;IND;PRS;FIN
rechnen	forvente	rechnen	forvente	V;NFIN	V;NFIN
bemerkenswert	bemerkelsesverdige	bemerkenswert	bemerkelsesverdig	ADJ	ADJ;PL
bemerkenswert	merkverdig	bemerkenswert	merkverdig	ADJ	ADJ;INDF;NEUT;SG
bemerkenswert	bemerkelsesverdig	bemerkenswert	bemerkelsesverdig	ADJ	ADJ;INDF;NEUT;SG
produzieren	produserer	produzieren	produsere	V;NFIN	V;IND;PRS;FIN
produzieren	produserer	produzieren	produsere	V;NFIN	V;IND;PRS;FIN
produzieren	produsere	produzieren	produsere	V;NFIN	V;NFIN
öffentlicher	offentleg	öffentlich	offentleg	ADJ	ADJ;INDF;NEUT;SG
öffentlicher	offentlige	öffentlich	offentlige	ADJ	ADJ;PL
öffentlicher	offentlig	öffentlich	offentlig	ADJ	ADJ;INDF;NEUT;SG
toll	flott	toll	flott	ADJ	ADJ;INDF;NEUT;SG
toll	supert	toll	super	ADJ	ADJ;INDF;NEUT;SG
toll	flotte	toll	flott	ADJ	ADJ;PL
toll	kjempefint	toll	kjempefint	ADJ	ADJ;INDF;NEUT;SG
tropischen	tropisk	tropisch	tropisk	ADJ	ADJ;INDF;NEUT;SG
vertretung	representasjon	vertretung	representasjon	N;FEM;SG	N;INDF;MASC;SG
vertretung	rep	vertretung	rep	N;FEM;SG	N;INDF;MASC;SG
vertretung	representant	vertretung	representant	N;FEM;SG	N;INDF;MASC;SG
abriss	riving	abreißen	riving	N	N;INDF;FEM;SG
breiter	bredt	breit	bredt	ADJ	ADJ;INDF;NEUT;SG
breiter	bredt	breit	bredt	ADJ	ADJ;INDF;NEUT;SG
breiter	brei	breit	brei	ADJ	ADJ;INDF;SG
breiter	vid	breit	vid	ADJ	ADJ;INDF;SG
steuerung	kontrollerende	steuerung	kontrollerende	ADJ	ADJ;PL
vortrag	forelesning	vortragen	forelesning	N;SG	N;INDF;FEM;SG
vortrag	tale	vortragen	tale	N;SG	N;INDF;FEM;SG
vortrag	talen	vortragen	tale	N;SG	N;DEF;MASC;SG
vortrag	presentasjon	vortragen	presentasjon	N;SG	N;INDF;MASC;SG
vortrag	snakkes	vortragen	snakkes	N;SG	N;INDF;NEUT;SG
vortrag	snakk	vortragen	snakk	N;SG	N;INDF;NEUT;SG
vortrag	talk	vortragen	talk	N;SG	N;INDF;MASC;SG
dienstleistungen	tjenester	dienstleistungen	tjeneste	N;NOM;FEM;PL	N;INDF;FEM;PL
standorte	beliggenhet	standort	beliggenhet	N;NOM	N;DEF;MASC;SG
standorte	lokalisering	standort	lokalisering	N;NOM	N;INDF;FEM;SG
standorte	lokasjon	standort	lokasjon	N;NOM	N;INDF;MASC;SG
standorte	posisjon	standort	posisjon	N;NOM	N;INDF;MASC;SG
standorte	plassering	standort	plassering	N;NOM	N;INDF;FEM;SG
standorte	posisjoner	standort	posisjon	N;NOM	N;INDF;MASC;SG
standorte	plasseringer	standort	plasseringe	N;NOM	N;INDF;FEM;PL
standorte	steder	standort	stede	N;NOM	N;INDF;MASC;PL
standorte	nettsteder	standort	nettstede	N;NOM	N;INDF;MASC;SG
werfen	slenger	werfen	slenge	V;NFIN	V;IND;PRS;FIN
ländlichen	landlige	ländlich	landlig	ADJ	ADJ;PL
ländlichen	bygd	ländlich	byggje	ADJ	ADJ;INDF;SG;V.PTCP
vielfalt	overvåkings	vielfalt	overvåkings	N;NOM;FEM;SG	N;INDF;MASC;SG
vielfalt	mangfold	vielfalt	mangfold	N;NOM;FEM;SG	N;INDF;NEUT;SG
vielfalt	variasjon	vielfalt	variasjon	N;NOM;FEM;SG	N;INDF;MASC;SG
stellungnahme	oppfatning	stellungnahme	oppfatning	N;NOM;FEM;SG	N;INDF;FEM;SG
stellungnahme	mening	stellungnahme	mening	N;NOM;FEM;SG	N;INDF;FEM;SG
hierher	her	hierher	her	ADV	ADV
gerechtfertigt	forsvarlig	gerechtfertigt	forsvarlig	ADJ	ADJ;INDF;NEUT;SG
beratung	råd	beratung	råd	N;NOM;FEM;SG	N;INDF;FEM;SG
beratung	melding	beratung	melding	N;NOM;FEM;SG	N;INDF;FEM;SG
beratung	consulting	beratung	consulting	N;NOM;FEM;SG	N
beratung	konsulent	beratung	konsulent	N;NOM;FEM;SG	N;INDF;MASC;SG
beschäftigung	sysselsetting	Beschäftigung	sysselsetting	N;NOM;FEM;SG	N;INDF;FEM;SG
orientierung	orientering	orientierung	orientering	N;NOM;FEM;SG	N;INDF;FEM;SG
orientierung	legning	orientierung	legning	N;NOM;FEM;SG	N;INDF;FEM;SG
elektronischen	elektroniske	elektronisch	elektronisk	ADJ	ADJ;PL
elektronischen	elektronisk	elektronisch	elektronisk	ADJ	ADJ;INDF;NEUT;SG
untergang	undergang	untergehen	undergang	N	N;INDF;MASC;SG
untergang	bortgang	untergehen	bortgang	N	N;INDF;MASC;SG
untergang	ve	untergehen	ve	N	N;INDF;NEUT;SG
untergang	doom	untergehen	doom	N	N;INDF;MASC;SG
rache	hevn	rachen	hevn	N;NOM;SG	N;INDF;SG
rache	hevnen	rachen	havn	N;NOM;SG	N;DEF;MASC;SG
rache	hevn	rachen	hevn	N;NOM;SG	N;INDF;SG
rache	hevn	rachen	hevn	N;NOM;SG	N;INDF;SG
kategorisierung	kategorisering	kategorisierung	kategorisering	N;NOM;FEM;SG	N;INDF;FEM;SG
finanziell	økonomiske	finanziell	økonomisk	ADJ	ADJ;PL
finanziell	økonomisk	finanziell	økonomisk	ADJ	ADJ;INDF;NEUT;SG
beamter	offisielt	beamt	offisiell	ADJ	ADJ;INDF;NEUT;SG
beamter	offisiell	beamt	offisiell	ADJ	ADJ;INDF;SG
beamter	offisielle	beamt	offisiell	ADJ	ADJ;PL
allgemeines	generell	allgemein	generell	ADJ;NOM;NEUT;SG	ADJ;INDF;SG
allgemeines	generelt	allgemein	generell	ADJ;NOM;NEUT;SG	ADJ;INDF;NEUT;SG
identifiziert	identifiserer	identifizieren	identifisere	V;V.PTCP	V;IND;PRS;FIN
behauptungen	påstår	behauptehen	påstå	V;NFIN	V;IND;PRS;FIN
behauptungen	hevder	behauptehen	hevde	V;NFIN	V;IND;PRS;FIN
gerecht	rettferdig	rechen	rettferdig	ADJ	ADJ;INDF;NEUT;SG
gerecht	rimelige	rechen	rimelig	ADJ	ADJ;PL
zerstörte	ødelagt	zerstört	ødeleggje	ADJ;NOM;FEM;SG	ADJ;INDF;NEUT;SG;V.PTCP
zerstörte	tilintetgjort	zerstört	tilintetgjere	ADJ;NOM;FEM;SG	ADJ;INDF;NEUT;SG
vermitteln	kommunisere	vermitteln	kommunisere	V;NFIN	V;NFIN
vermitteln	kommuniserer	vermitteln	kommunisere	V;NFIN	V;IND;PRS;FIN
vermitteln	formidle	vermitteln	formidle	V;NFIN	V;NFIN
argentinischer	argentinsk	argentinisch	argentinsk	ADJ	ADJ;INDF;SG
positiven	positivt	positiv	positiv	ADJ	ADJ;INDF;NEUT;SG
positiven	positive	positiv	positiv	ADJ	ADJ;PL
positiven	positiv	positiv	positiv	ADJ	ADJ;INDF;SG
dunkle	mørke	dunkel	mørk	ADJ;NOM;FEM;PL	ADJ;PL
margarete	margaret	margaret	margar	N;NOM;FEM;SG	N;DEF;NEUT;SG
margarete	margareth	margaret	margareth	N;NOM;FEM;SG	N;INDF;NEUT;SG
margarete	margrete	margaret	margrete	N;NOM;FEM;SG	N;INDF;MASC;SG
deutet	indikerer	deuten	indikere	V;IND;SG;3;PRS;FIN	V;IND;PRS;FIN
religionen	religioner	religion	religion	N;NOM;PL	N;INDF;FEM;PL
mitwirkung	deltakelse	mitwirkung	deltakels	N;NOM;FEM;SG	N;INDF;MASC;SG
mitwirkung	deltagelse	mitwirkung	deltagelse	N;NOM;FEM;SG	N;INDF;MASC;SG
weißer	kaukasisk	weiß	kaukasisk	ADJ	ADJ;INDF;NEUT;SG
afrikanischen	afrikansk	afrikanisch	afrikansk	ADJ;ACC;MASC;SG	ADJ;INDF;SG
externen	ekstern	extern	ekstern	ADJ	ADJ;INDF;SG
externen	eksternt	extern	eksternt	ADJ	ADJ;INDF;NEUT;SG
externen	eksterne	extern	ekstern	ADJ	ADJ;PL
auswertung	tolkning	auswertung	tolkning	N;FEM;SG	N;INDF;FEM;SG
auswertung	evaluering	auswertung	evaluering	N;FEM;SG	N;INDF;FEM;SG
auswertung	analyse	auswertung	analyse	N;FEM;SG	N;INDF;MASC;SG
messung	måling	messung	måling	N;SG	N;INDF;FEM;SG
schlagen	slå	schlagen	slå	V;NFIN	V;IMP;FIN
inszenierung	iscenesettelse	inszenierung	iscenesettels	N;NOM;FEM;SG	N;INDF;MASC;SG
erkrankungen	sykdommer	erkrankung	sykdom	N;NOM;FEM;PL	N;INDF;FEM;PL
blüte	blossom	blüt	blossom	N;NOM;FEM;SG	N;INDF;MASC;SG
blüte	blomstrende	blüt	blomstrende	N;NOM;FEM;SG	N;INDF;FEM;SG
blüte	blomst	blüt	bloms	N;NOM;FEM;SG	N;INDF;MASC;SG
blüte	flower	blüt	flower	N;NOM;FEM;SG	N;INDF;NEUT;SG
blüte	blomstre	blüt	blomstre	N;NOM;FEM;SG	N;INDF;MASC;SG
