από	من	από	مِن	ADP	ADP
ομάδες	فرق	ομάδα	فِرقَة	N;NOM;FEM;PL	N;NOM;INDF;PL
έργο	مشروع	έργο	مَشرُوع	N;NOM;NEUT;SG	N;NOM;INDF;SG
έργο	المشروع	έργο	مَشرُوع	N;NOM;NEUT;SG	N;NOM;DEF;SG
έργο	العمل	έργο	عَمَل	N;NOM;NEUT;SG	N;NOM;DEF;SG
έργο	عمل	έργο	عَمَل	N;NOM;NEUT;SG	N;NOM;INDF;SG
όχι	لا	όχι	لَا	PART	PART
ελληνική	يوناني	ελληνικός	يُونَانِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
ελληνική	يونانية	ελληνικός	يُونَانِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
ελληνική	اليوناني	ελληνικός	يُونَانِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
ελληνική	اليونانية	ελληνικός	يُونَانِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
μεγάλη	الكبير	μεγάλος	كَبِير	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
μεγάλη	كبيرة	μεγάλος	كَبِير	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
μεγάλη	كبير	μεγάλος	كَبِير	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
υπό	تحت	υπό	تَحتَ	ADP	ADP;ACC
ταινία	الفيلم	ταινία	فِيلم	N;NOM;FEM;SG	N;NOM;DEF;SG
ταινία	فيلم	ταινία	فِيلم	N;NOM;FEM;SG	N;NOM;INDF;SG
ταινία	الفلم	ταινία	فَلَّم	N;NOM;FEM;SG	N;NOM;DEF;SG
ταινία	الشريط	ταινία	شَرِيط	N;NOM;FEM;SG	N;NOM;DEF;SG
ταινία	شريط	ταινία	شَرِيط	N;NOM;FEM;SG	N;NOM;INDF;SG
ταινία	الفيلم	ταινία	فِيلم	N;NOM;FEM;SG	N;NOM;DEF;SG
ταινία	فيلم	ταινία	فِيلم	N;NOM;FEM;SG	N;NOM;INDF;SG
τμήμα	القسم	τμήμα	قِسم	N;NOM;NEUT;SG	N;NOM;DEF;SG
τμήμα	قسم	τμήμα	قِسم	N;NOM;NEUT;SG	N;NOM;INDF;SG
τμήμα	الادارة	τμήμα	إِدَارَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
τμήμα	القسم	τμήμα	قِسم	N;NOM;NEUT;SG	N;NOM;DEF;SG
τμήμα	قسم	τμήμα	قِسم	N;NOM;NEUT;SG	N;NOM;INDF;SG
τμήμα	الفرع	τμήμα	فَرع	N;NOM;NEUT;SG	N;NOM;DEF;SG
εκεί	هناك	εκεί	هُنَاكَ	ADV	ADV
στοιχεία	عناصر	στοιχείο	عُنصُر	N;NOM;NEUT;PL	N;NOM;INDF;PL
στοιχεία	العناصر	στοιχείο	عُنصُر	N;NOM;NEUT;PL	N;NOM;DEF;PL
στοιχεία	البيانات	στοιχείο	بَيَان	N;NOM;NEUT;PL	N;NOM;DEF;PL
στοιχεία	بيانات	στοιχείο	بَيَان	N;NOM;NEUT;PL	N;NOM;INDF;PL
πολλές	الكثيرون	πολύς	كَثِير	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;PL
πολλές	كثيرون	πολύς	كَثِير	ADJ;NOM;FEM;PL	ADJ;NOM;INDF;MASC;PL
σύστημα	نظام	σύστημα	نِظَام	N;NOM;NEUT;SG	N;NOM;INDF;SG
σύστημα	النظام	σύστημα	نِظَام	N;NOM;NEUT;SG	N;NOM;DEF;SG
σύστημα	المنظومة	σύστημα	مَنظُومَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
φορές	اوقات	φορά	وَقت	N;NOM;FEM;PL	N;NOM;INDF;PL
φορές	المرات	φορά	مَرَّة	N;NOM;FEM;PL	N;NOM;DEF;PL
φορές	مرات	φορά	مَرَّة	N;NOM;FEM;PL	N;NOM;INDF;PL
φορές	الاوقات	φορά	وَقت	N;NOM;FEM;PL	N;NOM;DEF;PL
ίδια	مماثل	ίδιος	مُمَاثِل	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
ίδια	متطابقة	ίδιος	مُتَطَابِق	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
ιουλίου	يوليو	ιούλιος	يُولِيُو	N;GEN;NEUT;SG	N;GEN;INDF;SG
ιουλίου	تموز	ιούλιος	تَمُّوز	N;GEN;NEUT;SG	N;GEN;INDF;SG
χώρα	بلد	χώρα	بَلَد	N;NOM;FEM;SG	N;NOM;INDF;SG
χώρα	البلد	χώρα	بَلَد	N;NOM;FEM;SG	N;NOM;DEF;SG
αποτέλεσμα	نتيجة	αποτέλεσμα	نَتِيجَة	N;ACC;NEUT;SG	N;ACC;INDF;SG
οκτωβρίου	اكتوبر	οκτώβριος	أُكتُوبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
σεπτεμβρίου	سبتمبر	σεπτέμβριο	سِبتَمبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
νοεμβρίου	نوفمبر	νόεμβριος	نُوفِمبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
αγώνες	المباريات	αγώνας	مُبَارَاة	N;NOM;MASC;PL	N;NOM;DEF;PL
αγώνες	مباريات	αγώνας	مُبَارَاة	N;NOM;MASC;PL	N;NOM;INDF;PL
αγώνες	المباريات	αγώνας	مُبَارَاة	N;NOM;MASC;PL	N;NOM;DEF;PL
αγώνες	الالعاب	αγώνας	لَعب	N;NOM;MASC;PL	N;NOM;DEF;PL
αγώνες	مباريات	αγώνας	مُبَارَاة	N;NOM;MASC;PL	N;NOM;INDF;PL
ταινίες	الافلام	ταινία	فِيلم	N;NOM;FEM;PL	N;NOM;DEF;PL
ταινίες	افلام	ταινία	فِيلم	N;NOM;FEM;PL	N;NOM;INDF;PL
ταινίες	الافلام	ταινία	فِيلم	N;NOM;FEM;PL	N;NOM;DEF;PL
ταινίες	افلام	ταινία	فِيلم	N;NOM;FEM;PL	N;NOM;INDF;PL
μέσω	عبر	μέσω	عَبرَ	ADP	ADP;ACC
μέσω	عبر	μέσω	عَبرَ	ADP	ADP;ACC
μέσω	خلال	μέσω	خِلَالَ	ADP	ADP;ACC
μαρτίου	مارس	μάρτιος	مَارِس	N;GEN;MASC;SG	N;GEN;INDF;SG
γεννήθηκε	ولدت	γεννώ	وَلَد	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;SG;3;PASS
ιουνίου	يونيو	ιούνιος	يُونِيُو	N;GEN;MASC;SG	N;GEN;INDF;SG
πολλά	الكثيرون	πολύς	كَثِير	ADJ;NOM;NEUT;PL	ADJ;NOM;DEF;MASC;PL
πολλά	كثيرون	πολύς	كَثِير	ADJ;NOM;NEUT;PL	ADJ;NOM;INDF;MASC;PL
απριλίου	ابريل	απρίλιος	أَبرِيل	N;GEN;MASC;SG	N;GEN;INDF;SG
τρεις	ثلاثة	τρεις	ثَلَاثَة	NUM;NOM;MASC;PL	NUM;NOM;INDF;MASC
τρεις	ثلاث	τρεις	ثَلَاثَة	NUM;NOM;MASC;PL	NUM;NOM;INDF;FEM
αυγούστου	اغسطس	αυγούστος	أَغُسطُس	N;GEN;MASC;SG	N;GEN;INDF;SG
έργα	اشغال	έργο	شُغل	N;NOM;NEUT;PL	N;NOM;INDF;PL
έργα	المشروعات	έργο	مَشرُوع	N;NOM;NEUT;PL	N;NOM;DEF;PL
έργα	المشاريع	έργο	مَشرُوع	N;NOM;NEUT;PL	N;NOM;DEF;PL
έργα	مشاريع	έργο	مَشرُوع	N;NOM;NEUT;PL	N;NOM;INDF;PL
έργα	مشروعات	έργο	مَشرُوع	N;NOM;NEUT;PL	N;NOM;INDF;PL
δεκεμβρίου	ديسمبر	δεκέμβριο	دِيسَمبِر	N;GEN;MASC;SG	N;GEN;INDF;SG
πολιτική	السياسة	πολιτική	سِيَاسَة	N;NOM;FEM;SG	N;NOM;DEF;SG
πολιτική	سياسة	πολιτική	سِيَاسَة	N;NOM;FEM;SG	N;NOM;INDF;SG
πολιτική	السياسة	πολιτική	سِيَاسَة	N;NOM;FEM;SG	N;NOM;DEF;SG
πολιτική	سياسة	πολιτική	سِيَاسَة	N;NOM;FEM;SG	N;NOM;INDF;SG
εκλογές	الانتخابات	εκλογή	اِنتِخَاب	N;NOM;FEM;PL	N;NOM;DEF;PL
εκλογές	انتخابات	εκλογή	اِنتِخَاب	N;NOM;FEM;PL	N;NOM;INDF;PL
εκλογές	الانتخابات	εκλογή	اِنتِخَاب	N;NOM;FEM;PL	N;NOM;DEF;PL
εκλογές	انتخابات	εκλογή	اِنتِخَاب	N;NOM;FEM;PL	N;NOM;INDF;PL
μέλη	الاعضاء	μέλος	عُضو	N;NOM;NEUT;PL	N;NOM;DEF;PL
μέλη	اعضاء	μέλος	عُضو	N;NOM;NEUT;PL	N;NOM;INDF;PL
μέλος	عضوة	μέλος	عُضوَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
μέλος	عضو	μέλος	عُضو	N;NOM;NEUT;SG	N;NOM;INDF;SG
μέλος	العضو	μέλος	عُضو	N;NOM;NEUT;SG	N;NOM;DEF;SG
χωριό	قرية	χωριό	قَريَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
χωριό	القرية	χωριό	قَريَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
περίοδος	الفترة	περίοδος	فَترَة	N;NOM;FEM;SG	N;NOM;DEF;SG
περίοδος	فترة	περίοδος	فَترَة	N;NOM;FEM;SG	N;NOM;INDF;SG
δήμος	البلدية	δήμος	بَلَدِيَّة	N;NOM;MASC;SG	N;NOM;DEF;SG
δήμος	بلدية	δήμος	بَلَدِيَّة	N;NOM;MASC;SG	N;NOM;INDF;SG
κύπελλο	كوب	κύπελλος	كُوب	N;NOM;NEUT;SG	N;NOM;INDF;SG
κύπελλο	فنجان	κύπελλος	فنجان	N;NOM;NEUT;SG	N;NOM;INDF;SG
κύπελλο	الكوب	κύπελλος	كُوب	N;NOM;NEUT;SG	N;NOM;DEF;SG
έδρα	المقر	έδρα	مَقَرّ	N;NOM;FEM;SG	N;NOM;DEF;SG
έδρα	مقعد	έδρα	مَقعَد	N;NOM;FEM;SG	N;NOM;INDF;SG
έδρα	المقعد	έδρα	مَقعَد	N;NOM;FEM;SG	N;NOM;DEF;SG
περιλαμβάνει	يشمل	περιλαμβάνω	شَمِل	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
περιλαμβάνει	يتضمن	περιλαμβάνω	تَضَمَّن	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;MASC;IND;SG;3;FIN;ACT
περιλαμβάνει	تتضمن	περιλαμβάνω	تَضَمَّن	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
περιλαμβάνει	تشمل	περιλαμβάνω	شَمِل	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;FEM;IND;SG;3;FIN;ACT
μεγάλο	كبيرة	μεγάλος	كَبِير	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;SG
μεγάλο	الكبير	μεγάλος	كَبِير	ADJ;NOM;NEUT;SG	ADJ;NOM;DEF;MASC;SG
μεγάλο	كبيرة	μεγάλος	كَبِير	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;FEM;SG
μεγάλο	كبير	μεγάλος	كَبِير	ADJ;NOM;NEUT;SG	ADJ;NOM;INDF;MASC;SG
κέντρο	المركز	κέντρο	مَركَز	N;NOM;NEUT;SG	N;NOM;DEF;SG
κέντρο	المنتصف	κέντρο	مُنتَصَف	N;NOM;NEUT;SG	N;NOM;DEF;SG
κέντρο	الوسط	κέντρο	وَسط	N;NOM;NEUT;SG	N;NOM;DEF;SG
κέντρο	مركز	κέντρο	مَركَز	N;NOM;NEUT;SG	N;NOM;INDF;SG
κέντρο	المركز	κέντρο	مَركَز	N;NOM;NEUT;SG	N;NOM;DEF;SG
κέντρο	مركز	κέντρο	مَركَز	N;NOM;NEUT;SG	N;NOM;INDF;SG
γεννήσεις	المواليد	γεννήση	مَولُود	N;NOM;FEM;PL	N;NOM;DEF;PL
γεννήσεις	الولادات	γεννήση	وِلَادَة	N;NOM;FEM;PL	N;NOM;DEF;PL
φεβρουαρίου	فبراير	φεβρουάριο	فِبرَايِر	N;GEN;MASC;SG	N;GEN;INDF;SG
μορφή	شكل	μορφή	شَكل	N;NOM;FEM;SG	N;NOM;INDF;SG
μορφή	الشكل	μορφή	شَكل	N;NOM;FEM;SG	N;NOM;DEF;SG
μορφή	استمارة	μορφή	اِستِمَارَة	N;NOM;FEM;SG	N;NOM;INDF;SG
μορφή	النموذج	μορφή	نَمُوذَج	N;NOM;FEM;SG	N;NOM;DEF;SG
μορφή	نسق	μορφή	نَسَق	N;NOM;FEM;SG	N;NOM;INDF;SG
μορφή	الشكل	μορφή	شَكل	N;NOM;FEM;SG	N;NOM;DEF;SG
μορφή	تنسيق	μορφή	تَنسِيق	N;NOM;FEM;SG	N;NOM;INDF;SG
κόμμα	حفلة	κόμμα	حَفلَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
κόμμα	الطرف	κόμμα	طَرَف	N;NOM;NEUT;SG	N;NOM;DEF;SG
κόμμα	حزب	κόμμα	حِزب	N;NOM;NEUT;SG	N;NOM;INDF;SG
κόμμα	حفل	κόμμα	حَفل	N;NOM;NEUT;SG	N;NOM;INDF;SG
κόμμα	الحزب	κόμμα	حِزب	N;NOM;NEUT;SG	N;NOM;DEF;SG
άλμπουμ	الالبوم	άλμπουμ	أَلبُوم	N;MASC;SG	N;NOM;DEF;SG
αρχές	سلطات	αρχή	سُلطَة	N;NOM;FEM;PL	N;NOM;INDF;PL
αρχές	السلطات	αρχή	سُلطَة	N;NOM;FEM;PL	N;NOM;DEF;PL
αρχές	مبادئ	αρχή	مَبدَأ	N;NOM;FEM;PL	N;NOM;INDF;PL
αρχές	المبادئ	αρχή	مَبدَأ	N;NOM;FEM;PL	N;NOM;DEF;PL
ονομασία	اسم	ονομασία	اِسم	N;NOM;FEM;SG	N;NOM;INDF;SG
ονομασία	الاسم	ονομασία	اِسم	N;NOM;FEM;SG	N;NOM;DEF;SG
έκανε	صنع	κάνω	صَنَع	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
έκανε	جعل	κάνω	جَعَل	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
ξεκίνησε	بدات	ξεκινώ	بَدَأ	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
ξεκίνησε	بدا	ξεκινώ	بَدَا	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
κυβέρνηση	الحكومة	κυβέρνηση	حُكُومَة	N;NOM;FEM;SG	N;NOM;DEF;SG
κυβέρνηση	حكومة	κυβέρνηση	حُكُومَة	N;NOM;FEM;SG	N;NOM;INDF;SG
πήρε	اخذت	παίρνω	أَخَذ	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
γλώσσα	لسان	γλώσσα	لِسَان	N;NOM;FEM;SG	N;NOM;INDF;SG
γλώσσα	اللسان	γλώσσα	لِسَان	N;NOM;FEM;SG	N;NOM;DEF;SG
γλώσσα	لغة	γλώσσα	لُغَة	N;NOM;FEM;SG	N;NOM;INDF;SG
γλώσσα	اللغة	γλώσσα	لُغَة	N;NOM;FEM;SG	N;NOM;DEF;SG
γιος	الابن	γιος	اِبن	N;NOM;MASC;SG	N;NOM;DEF;SG
πανεπιστήμιο	جامعة	πανεπιστήμιο	جَامِعَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
πανεπιστήμιο	الجامعة	πανεπιστήμιο	جَامِعَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
περιοχές	مناطق	περιοχή	مِنطَقَة	N;NOM;FEM;PL	N;NOM;INDF;PL
περιοχές	المناطق	περιοχή	مِنطَقَة	N;NOM;FEM;PL	N;NOM;DEF;PL
περιοχές	المجالات	περιοχή	مَجَال	N;NOM;FEM;PL	N;NOM;DEF;PL
περιοχές	مجالات	περιοχή	مَجَال	N;NOM;FEM;PL	N;NOM;INDF;PL
περιοχές	مناطق	περιοχή	مِنطَقَة	N;NOM;FEM;PL	N;NOM;INDF;PL
περιοχές	المناطق	περιοχή	مِنطَقَة	N;NOM;FEM;PL	N;NOM;DEF;PL
συμμετοχές	المشاركات	συμμετοχή	المشاركات	N;NOM;FEM;PL	N;NOM;DEF;PL
παράδειγμα	مثال	παράδειγμα	مِثَال	N;NOM;NEUT;SG	N;NOM;INDF;SG
παράδειγμα	المثال	παράδειγμα	مِثَال	N;NOM;NEUT;SG	N;NOM;DEF;SG
άρθρο	مقالة	άρθρο	مَقَالَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
άρθρο	مقال	άρθρο	مَقَال	N;NOM;NEUT;SG	N;NOM;INDF;SG
άρθρο	المقالة	άρθρο	مُقَال	N;NOM;NEUT;SG	N;NOM;DEF;SG
άρθρο	المادة	άρθρο	مَادَّة	N;NOM;NEUT;SG	N;NOM;DEF;SG
εικόνα	صورة	εικόνα	صُورَة	N;NOM;FEM;SG	N;NOM;INDF;SG
εικόνα	الصورة	εικόνα	صُورَة	N;NOM;FEM;SG	N;NOM;DEF;SG
εικόνα	صورة	εικόνα	صُورَة	N;NOM;FEM;SG	N;NOM;INDF;SG
εικόνα	الصورة	εικόνα	صُورَة	N;NOM;FEM;SG	N;NOM;DEF;SG
έλαβε	استقبل	λαμβάνω	اِستَقبَل	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;3;ACT
έλαβε	تلقت	λαμβάνω	تَلَقَّى	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
έλαβε	وردت	λαμβάνω	وَرَد	V;PFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;3;ACT
επίσημη	رسمي	επίσημος	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
επίσημη	الرسمي	επίσημος	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
επίσημη	رسمية	επίσημος	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
επίσημη	رسمي	επίσημος	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;MASC;SG
επίσημη	الرسمي	επίσημος	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
επίσημη	رسمية	επίσημος	رَسمِيّ	ADJ;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
πηγές	مصادر	πηγή	مَصدَر	N;NOM;FEM;PL	N;NOM;INDF;PL
πηγές	المصادر	πηγή	مَصدَر	N;NOM;FEM;PL	N;NOM;DEF;PL
πόλεις	البلدات	πόλη	بَلدَة	N;NOM;FEM;PL	N;NOM;DEF;PL
πόλεις	المدن	πόλη	مَدِينَة	N;NOM;FEM;PL	N;NOM;DEF;PL
πόλεις	بلدات	πόλη	بَلدَة	N;NOM;FEM;PL	N;NOM;INDF;PL
πόλεις	مدن	πόλη	مَدِينَة	N;NOM;FEM;PL	N;NOM;INDF;PL
πόλεις	المدن	πόλη	مَدِينَة	N;NOM;FEM;PL	N;NOM;DEF;PL
πόλεις	مدن	πόλη	مَدِينَة	N;NOM;FEM;PL	N;NOM;INDF;PL
γεγονός	مناسبة	γεγονός	مُنَاسَبَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
γεγονός	الحدث	γεγονός	حَدَث	N;NOM;NEUT;SG	N;NOM;DEF;SG
γεγονός	المناسبة	γεγονός	مُنَاسَبَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
γεγονός	حقيقة	γεγονός	حَقِيقَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
σελίδα	صفحة	σελίδα	صَفحَة	N;NOM;FEM;SG	N;NOM;INDF;SG
σελίδα	الصفحة	σελίδα	صَفحَة	N;NOM;FEM;SG	N;NOM;DEF;SG
θέμα	السمة	θέμα	سِمَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
θέμα	سمة	θέμα	سِمَّة	N;NOM;NEUT;SG	N;NOM;INDF;SG
θέμα	الموضوع	θέμα	مَوضُوع	N;NOM;NEUT;SG	N;NOM;DEF;SG
θέμα	موضوع	θέμα	مَوضُوع	N;NOM;NEUT;SG	N;NOM;INDF;SG
θέμα	الموضوع	θέμα	مَوضُوع	N;NOM;NEUT;SG	N;NOM;DEF;SG
ηλικία	السن	ηλικία	سِنّ	N;NOM;FEM;SG	N;NOM;DEF;SG
ηλικία	العمر	ηλικία	عُمر	N;NOM;FEM;SG	N;NOM;DEF;SG
μέγεθος	المقاس	μέγεθος	مَقَاس	N;NOM;NEUT;SG	N;NOM;DEF;SG
μέγεθος	الحجم	μέγεθος	حَجم	N;NOM;NEUT;SG	N;NOM;DEF;SG
μέγεθος	حجم	μέγεθος	حَجم	N;NOM;NEUT;SG	N;NOM;INDF;SG
εδώ	هنا	εδώ	هُنَا	ADV	ADV
σημείο	نقطة	σημείο	نُقطَة	N;NOM;NEUT;SG	N;NOM;INDF;SG
σημείο	النقطة	σημείο	نُقطَة	N;NOM;NEUT;SG	N;NOM;DEF;SG
ένωση	النقابة	ένωση	نِقَابَة	N;NOM;FEM;SG	N;NOM;DEF;SG
ένωση	نقابة	ένωση	نِقَابَة	N;NOM;FEM;SG	N;NOM;INDF;SG
ένωση	الاتحاد	ένωση	اِتِّحَاد	N;NOM;FEM;SG	N;NOM;DEF;SG
ένωση	جمعية	ένωση	جَمعِيَّة	N;NOM;FEM;SG	N;NOM;INDF;SG
ένωση	الرابطة	ένωση	رَابِطَة	N;NOM;FEM;SG	N;NOM;DEF;SG
ένωση	رابطة	ένωση	رَابِطَة	N;NOM;FEM;SG	N;NOM;INDF;SG
ένωση	الجمعية	ένωση	جَمعِيَّة	N;NOM;FEM;SG	N;NOM;DEF;SG
εκκλησία	كنيسة	εκκλησία	كَنِيسَة	N;NOM;FEM;SG	N;NOM;INDF;SG
εκκλησία	الكنيسة	εκκλησία	كَنِيسَة	N;NOM;FEM;SG	N;NOM;DEF;SG
