not	ne	not	ne	PART	PART
people	lidí	people	člověk	N;PL	N;ANIM;GEN;MASC;PL;POS
people	lidi	people	člověk	N;PL	N;ANIM;NOM;MASC;PL;POS
people	lidé	people	člověk	N;PL	N;ANIM;NOM;MASC;PL;POS
people	lidem	people	člověk	N;PL	N;ANIM;DAT;MASC;PL;POS
after	poté	after	poté	ADV	ADV
other	ostatní	other	ostatní	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
other	jiná	other	jiný	ADJ	ADJ;NOM;FEM;SG;POS
other	jiné	other	jiný	ADJ	ADJ;NOM;NEUT;SG;POS
other	jiný	other	jiný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
two	dva	two	dva	NUM	NUM;NOM;MASC;PL
two	dvě	two	dva	NUM	NUM;NOM;PL
score	skóre	score	skóre	N;SG	N;NOM;NEUT;SG;POS
her	ji	she	on	PRO;ACC;FEM;SG;3	PRO;ACC;FEM;SG;3
would	by	would	být	V;FIN	V;COND;FIN
she	ona	she	on	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
time	čas	time	čas	N;SG	N;INAN;NOM;MASC;SG;POS
time	doba	time	doba	N;SG	N;NOM;FEM;SG;POS
time	time	time	time	N;SG	N;INAN;NOM;MASC;SG;POS
team	mužstvo	team	mužstvo	N;SG	N;NOM;NEUT;SG;POS
team	tým	team	tým	N;SG	N;INAN;NOM;MASC;SG;POS
team	team	team	team	N;SG	N;INAN;NOM;MASC;SG;POS
american	americká	american	americký	ADJ	ADJ;NOM;FEM;SG;POS
american	americké	american	americký	ADJ	ADJ;NOM;MASC;PL;POS
american	americký	american	americký	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
discussion	diskuse	discussion	diskuse	N;SG	N;NOM;FEM;SG;POS
discussion	diskuze	discussion	diskuse	N;SG	N;NOM;FEM;SG;POS
links	odkazy	link	odkaz	N;PL	N;INAN;NOM;MASC;PL;POS
only	jedině	only	jedině	ADV	ADV;POS
only	pouze	only	pouze	ADV	ADV
some	nějaké	some	nějaký	DET	DET;NOM;NEUT;PL
some	některý	some	některý	DET	DET;NOM;MASC;SG
some	někteří	some	některý	DET	DET;ANIM;NOM;MASC;PL
some	některé	some	některý	DET	DET;NOM;MASC;PL
some	některým	some	některý	DET	DET;DAT;PL
see	viz	see	viz	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
years	léta	year	rok	N;PL	N;NOM;NEUT;PL;POS
years	roků	year	rok	N;PL	N;INAN;GEN;MASC;PL;POS
years	let	year	rok	N;PL	N;GEN;NEUT;PL;POS
years	roky	year	rok	N;PL	N;INAN;NOM;MASC;PL;POS
school	školu	school	škola	N;SG	N;ACC;FEM;SG;POS
school	škola	school	škola	N;SG	N;NOM;FEM;SG;POS
world	svět	world	svět	N;SG	N;INAN;NOM;MASC;SG;POS
university	univerzita	university	univerzita	N;SG	N;NOM;FEM;SG;POS
out	ven	out	ven	ADV	ADV
out	venku	out	venku	ADV	ADV
state	stát	state	stát	N;SG	N;INAN;NOM;MASC;SG;POS
states	státy	state	stát	N;PL	N;INAN;NOM;MASC;PL;POS
national	vnitrostátní	national	vnitrostátní	ADJ	ADJ;NOM;MASC;SG;POS
national	celostátní	national	celostátní	ADJ	ADJ;NOM;MASC;SG;POS
national	národní	national	národní	ADJ	ADJ;NOM;MASC;SG;POS
wikipedia	wikipedie	wikipedia	wikipedie	N;SG	N;NOM;FEM;SG;POS
year	roku	year	rok	N;SG	N;INAN;GEN;MASC;SG;POS
year	rok	year	rok	N;SG	N;INAN;NOM;MASC;SG;POS
year	ročník	year	ročník	N;SG	N;INAN;NOM;MASC;SG;POS
year	roce	year	rok	N;SG	N;INAN;GEN;MASC;SG;POS
city	město	city	město	N;SG	N;NOM;NEUT;SG;POS
then	pak	then	pak	ADV	ADV
county	hrabství	county	hrabství	N;SG	N;NOM;NEUT;SG;POS
county	okres	county	okres	N;SG	N;INAN;NOM;MASC;SG;POS
external	externí	external	externí	ADJ	ADJ;NOM;MASC;SG;POS
external	externích	external	externí	ADJ	ADJ;GEN;MASC;PL;POS
external	vnější	external	vnější	ADJ	ADJ;NOM;MASC;SG;POS
delete	odstranit	delete	odstranit	V;IMP;FIN	V;PFV;POS;NFIN
delete	vymazat	delete	vymazat	V;IMP;FIN	V;PFV;POS;NFIN
any	jakékoliv	any	jakýkoliv	DET	DET;NOM;NEUT;PL
any	jakýkoliv	any	jakýkoliv	DET	DET;NOM;MASC;SG
any	jakoukoli	any	jakýkoliv	DET	DET;ACC;FEM;SG
any	jakoukoliv	any	jakýkoliv	DET	DET;ACC;FEM;SG
any	jakékoli	any	jakýkoliv	DET	DET;NOM;NEUT;PL
being	být	be	být	V;V.MSDR	V;POS;NFIN
film	film	film	film	N;SG	N;INAN;NOM;MASC;SG;POS
him	ho	he	on	PRO;ACC;MASC;SG;3	PRO;ACC;SG;3
many	mnohé	many	mnohý	ADJ	ADJ;NOM;MASC;PL;POS
many	mnozí	many	mnohý	ADJ	ADJ;ANIM;NOM;MASC;PL;POS
three	tři	three	tři	NUM	NUM;NOM;PL
use	použijte	use	použít	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
use	použít	use	použít	V;IMP;FIN	V;POS;NFIN
war	válka	war	válka	N;SG	N;NOM;FEM;SG;POS
war	válce	war	válka	N;SG	N;DAT;FEM;SG;POS
war	válku	war	válka	N;SG	N;ACC;FEM;SG;POS
born	narodil	bear	narodit	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
link	link	link	link	N;SG	N;INAN;NOM;MASC;SG;POS
link	odkaz	link	odkaz	N;SG	N;INAN;NOM;MASC;SG;POS
link	souvislost	link	souvislost	N;SG	N;NOM;FEM;SG;POS
while	zatímco	while	zatímco	CONJ	CONJ
later	později	later	pozdě	ADV	ADV;CMPR;POS
part	part	part	part	N;SG	N;INAN;NOM;MASC;SG;POS
part	část	part	část	N;SG	N;NOM;FEM;SG;POS
players	hráče	player	hráč	N;PL	N;ANIM;ACC;MASC;PL;POS
players	hráčů	player	hráč	N;PL	N;ANIM;GEN;MASC;PL;POS
players	hráči	player	hráč	N;PL	N;ANIM;NOM;MASC;PL;POS
players	přehrávače	player	přehrávač	N;PL	N;INAN;NOM;MASC;PL;POS
list	seznam	list	seznam	N;SG	N;INAN;NOM;MASC;SG;POS
following	následuje	follow	následovat	V;V.MSDR	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
name	jméno	name	jméno	N;SG	N;NOM;NEUT;SG;POS
name	jmeno	name	jmeno	N;SG	N;NOM;MASC;SG;POS
name	name	name	můj	N;SG	N;NOM;MASC;SG;POS
name	název	name	název	N;SG	N;INAN;NOM;MASC;SG;POS
group	skupinu	group	skupina	N;SG	N;ACC;FEM;SG;POS
group	skupina	group	skupina	N;SG	N;NOM;FEM;SG;POS
history	dějepis	history	dějepis	N;SG	N;INAN;NOM;MASC;SG;POS
history	historie	history	historie	N;SG	N;NOM;FEM;SG;POS
history	historii	history	historie	N;SG	N;ACC;FEM;SG;POS
series	seriál	series	seriál	N;SG	N;INAN;NOM;MASC;SG;POS
series	řada	series	řada	N;SG	N;NOM;FEM;SG;POS
series	série	series	série	N;SG	N;NOM;FEM;SG;POS
just	prostě	just	prostě	ADV	ADV;POS
work	práce	work	práce	N;SG	N;NOM;FEM;SG;POS
work	prace	work	prace	N;SG	N;NOM;FEM;SG;POS
work	práci	work	práce	N;SG	N;ACC;FEM;SG;POS
before	předtím	before	předtím	ADV	ADV
season	sezóna	season	sezóna	N;SG	N;NOM;FEM;SG;POS
season	sezónu	season	sezóna	N;SG	N;ACC;FEM;SG;POS
season	sezona	season	sezóna	N;SG	N;NOM;FEM;SG;POS
high	vysoký	high	vysoký	ADJ	ADJ;INAN;NOM;MASC;SG;POS
high	vysoké	high	vysoký	ADJ	ADJ;NOM;MASC;PL;POS
high	vysoká	high	vysoký	ADJ	ADJ;NOM;FEM;SG;POS
district	okres	district	okres	N;SG	N;INAN;NOM;MASC;SG;POS
district	okrsek	district	okrsek	N;SG	N;INAN;NOM;MASC;SG;POS
now	nyní	now	nyní	ADV	ADV
now	teď	now	teď	ADV	ADV
comments	připomínky	comment	připomínka	N;PL	N;NOM;FEM;PL;POS
comments	komentáře	comment	komentář	N;PL	N;INAN;NOM;MASC;PL;POS
comments	poznámky	comment	poznámka	N;PL	N;NOM;FEM;PL;POS
because	protože	because	protože	CONJ	CONJ
football	fotbal	football	fotbal	N;SG	N;INAN;NOM;MASC;SG;POS
music	hudbu	music	hudba	N;SG	N;ACC;FEM;SG;POS
music	hudba	music	hudba	N;SG	N;NOM;FEM;SG;POS
diff	rozdíl	diff	rozdíl	N;SG	N;INAN;NOM;MASC;SG;POS
diff	diff	diff	diff	N;SG	N;INAN;NOM;MASC;SG;POS
century	století	century	století	N;SG	N;NOM;NEUT;SG;POS
edits	úpravy	edit	úprava	N;PL	N;NOM;FEM;PL;POS
edits	úprav	edit	úprava	N;PL	N;GEN;FEM;PL;POS
debate	debata	debate	debata	N;SG	N;NOM;FEM;SG;POS
debate	diskuse	debate	diskuse	N;SG	N;NOM;FEM;SG;POS
debate	rozprava	debate	rozprava	N;SG	N;NOM;FEM;SG;POS
title	nadpis	title	nadpis	N;SG	N;INAN;NOM;MASC;SG;POS
title	titul	title	titul	N;SG	N;INAN;NOM;MASC;SG;POS
title	název	title	název	N;SG	N;INAN;NOM;MASC;SG;POS
articles	předměty	article	předmět	N;PL	N;INAN;NOM;MASC;PL;POS
articles	článků	article	článek	N;PL	N;INAN;GEN;MASC;PL;POS
articles	výrobky	article	výrobek	N;PL	N;INAN;NOM;MASC;PL;POS
articles	články	article	článek	N;PL	N;INAN;NOM;MASC;PL;POS
same	stejné	same	stejný	ADJ	ADJ;NOM;NEUT;SG;POS
same	stejný	same	stejný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
same	stejná	same	stejný	ADJ	ADJ;NOM;FEM;SG;POS
album	album	album	album	N;SG	N;NOM;NEUT;SG;POS
number	číslo	number	číslo	N;SG	N;NOM;NEUT;SG;POS
number	počet	number	počet	N;SG	N;INAN;NOM;MASC;SG;POS
against	proti	against	proti	ADP	ADP;DAT
family	rodina	family	rodina	N;SG	N;NOM;FEM;SG;POS
family	rodinka	family	rodina	N;SG	N;NOM;FEM;SG;POS
user	uživatelem	user	uživatel	N;SG	N;ANIM;INS;MASC;SG;POS
user	uživatel	user	uživatel	N;SG	N;ANIM;NOM;MASC;SG;POS
area	oblast	area	oblast	N;SG	N;NOM;FEM;SG;POS
area	plocha	area	plocha	N;SG	N;NOM;FEM;SG;POS
life	zivot	life	zivot	N;SG	N;NOM;MASC;SG;POS
life	život	life	život	N;SG	N;INAN;NOM;MASC;SG;POS
british	britská	british	britský	ADJ	ADJ;NOM;FEM;SG;POS
british	britský	british	britský	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
british	british	british	british	ADJ	ADJ;POS
british	britské	british	britský	ADJ	ADJ;NOM;MASC;SG;POS
international	mezinárodní	international	mezinárodní	ADJ	ADJ;NOM;MASC;SG;POS
game	hru	game	hra	N;SG	N;ACC;FEM;SG;POS
game	zápas	game	zápas	N;SG	N;INAN;NOM;MASC;SG;POS
game	hra	game	hra	N;SG	N;NOM;FEM;SG;POS
club	klub	club	klub	N;SG	N;INAN;NOM;MASC;SG;POS
club	klubu	club	klub	N;SG	N;INAN;DAT;MASC;SG;POS
until	dokud	until	dokud	CONJ	CONJ
early	časně	early	časně	ADV	ADV;POS
early	brzy	early	brzy	ADV	ADV;POS
best	nejlepší	best	dobrý	ADJ;RL	ADJ;NOM;RL;MASC;SG;POS
best	nejlepsi	best	lepsi	ADJ;RL	ADJ;NOM;RL;MASC;SG;POS
house	sněmovna	house	sněmovna	N;SG	N;NOM;FEM;SG;POS
house	domeček	house	domeček	N;SG	N;INAN;NOM;MASC;SG;POS
house	dům	house	dům	N;SG	N;INAN;NOM;MASC;SG;POS
company	firma	company	firma	N;SG	N;NOM;FEM;SG;POS
company	společnost	company	společnost	N;SG	N;NOM;FEM;SG;POS
general	všeobecné	general	všeobecný	ADJ	ADJ;NOM;MASC;SG;POS
general	obecné	general	obecný	ADJ	ADJ;NOM;MASC;SG;POS
very	velice	very	velice	ADV	ADV
very	velmi	very	velmi	ADV	ADV
here	zde	here	zde	ADV	ADV
here	tady	here	tady	ADV	ADV
living	bydlení	living	bydlení	N;SG	N;NOM;NEUT;SG;POS
day	dne	day	den	N;SG	N;INAN;GEN;MASC;SG;POS
day	den	day	den	N;SG	N;INAN;NOM;MASC;SG;POS
place	místo	place	místo	N;SG	N;NOM;NEUT;SG;POS
place	misto	place	misto	N;SG	N;NOM;MASC;SG;POS
party	večírek	party	večírek	N;SG	N;INAN;NOM;MASC;SG;POS
party	strana	party	strana	N;SG	N;NOM;FEM;SG;POS
result	výsledek	result	výsledek	N;SG	N;INAN;NOM;MASC;SG;POS
result	výsledkem	result	výsledek	N;SG	N;INAN;INS;MASC;SG;POS
keep	udržujte	keep	udržovat	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
keep	zachovat	keep	zachovat	V;IMP;FIN	V;POS;NFIN
appropriate	vhodný	appropriate	vhodný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
appropriate	vhodná	appropriate	vhodný	ADJ	ADJ;NOM;FEM;SG;POS
appropriate	vhodné	appropriate	vhodný	ADJ	ADJ;NOM;NEUT;SG;POS
four	čtyři	four	čtyři	NUM	NUM;NOM;PL
subsequent	následná	subsequent	následný	ADJ	ADJ;NOM;FEM;SG;POS
subsequent	následné	subsequent	následný	ADJ	ADJ;NOM;NEUT;SG;POS
even	dokonce	even	dokonce	ADV	ADV
class	třída	class	třída	N;SG	N;NOM;FEM;SG;POS
government	vládou	government	vláda	N;SG	N;INS;FEM;SG;POS
government	vláda	government	vláda	N;SG	N;NOM;FEM;SG;POS
called	volal	call	volat	V;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
called	zavolal	call	zavolat	V;PST;V.PTCP	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
called	volala	call	volat	V;PST;V.PTCP	V;IPFV;POS;PST;V.PTCP;ACT
called	volali	call	volat	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP;ACT
each	každý	each	každý	DET	DET;ANIM;NOM;MASC;SG;POS
each	každé	each	každý	DET	DET;NOM;NEUT;SG;POS
each	každá	each	každý	DET	DET;NOM;FEM;SG;POS
center	centrum	center	centrum	N;SG	N;NOM;NEUT;SG;POS
center	střed	center	střed	N;SG	N;INAN;NOM;MASC;SG;POS
style	styl	style	styl	N;SG	N;INAN;NOM;MASC;SG;POS
style	stylu	style	styl	N;SG	N;INAN;GEN;MASC;SG;POS
long	dlouho	long	dlouho	ADV	ADV;POS
country	zemi	country	země	N;SG	N;ACC;FEM;SG;POS
country	země	country	země	N;SG	N;NOM;FEM;SG;POS
back	zpět	back	zpět	ADV	ADV
back	zpátky	back	zpátky	ADV	ADV
way	způsob	way	způsob	N;SG	N;INAN;NOM;MASC;SG;POS
www	www	wwwiw	www	N;SG	N;INAN;NOM;MASC;SG;POS
modify	pozměnit	modify	pozměnit	V;IMP;FIN	V;PFV;POS;NFIN
modify	upravit	modify	upravit	V;IMP;FIN	V;PFV;POS;NFIN
end	konec	end	konec	N;SG	N;INAN;NOM;MASC;SG;POS
make	učinit	make	učinit	V;IMP;FIN	V;PFV;POS;NFIN
make	udělat	make	udělat	V;IMP;FIN	V;PFV;POS;NFIN
make	vyrobit	make	vyrobit	V;IMP;FIN	V;PFV;POS;NFIN
public	veřejné	public	veřejný	ADJ	ADJ;NOM;NEUT;SG;POS
public	veřejný	public	veřejný	ADJ	ADJ;INAN;NOM;MASC;SG;POS
public	veřejná	public	veřejný	ADJ	ADJ;NOM;FEM;SG;POS
played	hrála	play	hrát	V;PST;V.PTCP	V;POS;PST;V.PTCP;ACT
played	hrál	play	hrát	V;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
played	hráli	play	hrát	V;PST;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
won	vyhrála	win	vyhrát	V;PST;FIN	V;POS;PST;V.PTCP;ACT
won	vyhráli	win	vyhrát	V;PST;FIN	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
won	vyhrál	win	vyhrát	V;PST;FIN	V;MASC;SG;POS;PST;V.PTCP;ACT
support	podporu	support	podpora	N;SG	N;ACC;FEM;SG;POS
support	podpory	support	podpora	N;SG	N;NOM;FEM;SG;POS
support	podpora	support	podpora	N;SG	N;NOM;FEM;SG;POS
games	hry	game	hra	N;PL	N;NOM;FEM;PL;POS
games	hrách	game	hra	N;PL	N;DAT;FEM;PL;POS
former	bývalý	former	bývalý	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
former	bývalé	former	bývalý	ADJ	ADJ;NOM;NEUT;SG;POS
former	bývalá	former	bývalý	ADJ	ADJ;NOM;FEM;SG;POS
films	filmy	film	film	N;PL	N;INAN;NOM;MASC;PL;POS
church	kostela	church	kostel	N;SG	N;INAN;GEN;MASC;SG;POS
church	kostel	church	kostel	N;SG	N;INAN;NOM;MASC;SG;POS
church	církev	church	církev	N;SG	N;NOM;FEM;SG;POS
line	čára	line	čára	N;SG	N;NOM;FEM;SG;POS
line	řádek	line	řádek	N;SG	N;INAN;NOM;MASC;SG;POS
line	linka	line	linka	N;SG	N;NOM;FEM;SG;POS
line	linie	line	linie	N;SG	N;NOM;FEM;SG;POS
members	členové	member	člen	N;PL	N;ANIM;NOM;MASC;PL;POS
members	členy	member	člen	N;PL	N;ANIM;ACC;MASC;PL;POS
members	poslanci	member	poslanec	N;PL	N;ANIM;NOM;MASC;PL;POS
members	členů	member	člen	N;PL	N;ANIM;GEN;MASC;PL;POS
good	dobrý	good	dobrý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
image	obrázek	image	obrázek	N;SG	N;INAN;NOM;MASC;SG;POS
image	image	image	image	N;SG	N;FEM;POS
image	obraz	image	obraz	N;SG	N;INAN;NOM;MASC;SG;POS
show	ukázat	show	ukázat	V;IMP;FIN	V;POS;NFIN
show	zobrazit	show	zobrazit	V;IMP;FIN	V;PFV;POS;NFIN
still	stále	still	stále	ADV	ADV
still	pořád	still	pořád	ADV	ADV
still	ještě	still	ještě	ADV	ADV
below	níže	below	nízko	ADV	ADV;CMPR;POS
tow	město	tow	město	N;SG	N;NOM;NEUT;SG;POS
tow	městečko	tow	městečko	N;SG	N;NOM;NEUT;SG;POS
last	poslední	last	poslední	ADJ	ADJ;NOM;MASC;SG;POS
system	systém	system	systém	N;SG	N;INAN;NOM;MASC;SG;POS
system	system	system	system	N;SG	N;INAN;NOM;MASC;SG;POS
system	systému	system	systém	N;SG	N;INAN;GEN;MASC;SG;POS
right	vpravo	right	vpravo	ADV	ADV
right	správně	right	správně	ADV	ADV;POS
song	písnička	song	písnička	N;SG	N;NOM;FEM;SG;POS
song	skladba	song	skladba	N;SG	N;NOM;FEM;SG;POS
song	píseň	song	píseň	N;SG	N;NOM;FEM;SG;POS
song	song	song	song	N;SG	N;INAN;NOM;MASC;SG;POS
section	sekci	section	sekce	N;SG	N;ACC;FEM;SG;POS
section	úsek	section	úsek	N;SG	N;INAN;NOM;MASC;SG;POS
section	oddíl	section	oddíl	N;SG	N;INAN;NOM;MASC;SG;POS
section	sekce	section	sekce	N;SG	N;NOM;FEM;SG;POS
single	svobodná	single	svobodný	ADJ	ADJ;NOM;FEM;SG;POS
single	jednotné	single	jednotný	ADJ	ADJ;NOM;NEUT;SG;POS
single	svobodný	single	svobodný	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
align	sladit	align	sladit	V;IMP;FIN	V;PFV;POS;NFIN
home	domov	home	domov	N;SG	N;INAN;NOM;MASC;SG;POS
women	ženy	woman	žena	N;PL	N;NOM;FEM;PL;POS
television	tv	television	televizní	N;SG	N;FEM;POS
television	televize	television	televize	N;SG	N;NOM;FEM;SG;POS
seed	osiva	seed	osivo	N;SG	N;NOM;NEUT;SG;POS
seed	semeno	seed	semeno	N;SG	N;NOM;NEUT;SG;POS
seed	osivo	seed	osivo	N;SG	N;NOM;NEUT;SG;POS
member	členka	member	členka	N;SG	N;NOM;FEM;SG;POS
member	člena	member	člen	N;SG	N;ANIM;ACC;MASC;SG;POS
member	poslanec	member	poslanec	N;SG	N;ANIM;NOM;MASC;SG;POS
member	člen	member	člen	N;SG	N;ANIM;NOM;MASC;SG;POS
goals	cíle	goal	cíl	N;PL	N;INAN;NOM;MASC;PL;POS
goals	branky	goal	branka	N;PL	N;NOM;FEM;PL;POS
goals	góly	goal	gól	N;PL	N;INAN;NOM;MASC;PL;POS
sources	zdroje	source	zdroj	N;PL	N;INAN;NOM;MASC;PL;POS
book	kniha	book	kniha	N;SG	N;NOM;FEM;SG;POS
book	knihu	book	kniha	N;SG	N;ACC;FEM;SG;POS
book	knížka	book	knížka	N;SG	N;NOM;FEM;SG;POS
station	nádraží	station	nádraží	N;SG	N;NOM;NEUT;SG;POS
station	stanice	station	stanice	N;SG	N;NOM;FEM;SG;POS
order	pořádek	order	pořádek	N;SG	N;INAN;NOM;MASC;SG;POS
order	řád	order	řád	N;SG	N;INAN;NOM;MASC;SG;POS
order	pořadí	order	pořadí	N;SG	N;NOM;NEUT;SG;POS
order	objednávka	order	objednávka	N;SG	N;NOM;FEM;SG;POS
old	starý	old	starý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
old	staré	old	starý	ADJ	ADJ;NOM;MASC;PL;POS
old	stará	old	starý	ADJ	ADJ;NOM;FEM;SG;POS
information	informování	information	informování	N;SG	N;NOM;NEUT;SG;POS
set	nastavit	set	nastavit	V;FIN	V;PFV;POS;NFIN
own	vlastní	own	vlastní	ADJ	ADJ;NOM;MASC;SG;POS
text	text	text	text	N;SG	N;INAN;NOM;MASC;SG;POS
band	band	band	banda	N;SG	N;INAN;NOM;MASC;SG;POS
band	kapela	band	kapela	N;SG	N;NOM;FEM;SG;POS
band	pásmo	band	pásmo	N;SG	N;NOM;NEUT;SG;POS
point	bod	point	bod	N;SG	N;INAN;NOM;MASC;SG;POS
local	lokální	local	lokální	ADJ	ADJ;NOM;MASC;SG;POS
local	místní	local	místní	ADJ	ADJ;NOM;MASC;SG;POS
river	řece	river	řeka	N;SG	N;DAT;FEM;SG;POS
river	řeka	river	řeka	N;SG	N;NOM;FEM;SG;POS
top	top	top	top	N;SG	N;MASC;POS
top	vrchol	top	vrchol	N;SG	N;INAN;NOM;MASC;SG;POS
main	hlavní	main	hlavní	ADJ	ADJ;NOM;MASC;SG;POS
language	jazyk	language	jazyk	N;SG	N;INAN;NOM;MASC;SG;POS
french	francouzské	french	francouzský	ADJ	ADJ;NOM;NEUT;SG;POS
french	francouzská	french	francouzský	ADJ	ADJ;NOM;FEM;SG;POS
https	https	http	https	N;SG	N;INAN;NOM;MASC;SG;POS
named	pojmenoval	name	pojmenovat	V;PST;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
note	poznámka	note	poznámka	N;SG	N;NOM;FEM;SG;POS
career	kariéra	career	kariéra	N;SG	N;NOM;FEM;SG;POS
career	kariéru	career	kariéra	N;SG	N;ACC;FEM;SG;POS
original	originální	original	originální	ADJ	ADJ;NOM;MASC;SG;POS
original	původní	original	původní	ADJ	ADJ;NOM;MASC;SG;POS
age	stáří	age	stáří	N;SG	N;NOM;NEUT;SG;POS
age	věk	age	věk	N;SG	N;INAN;NOM;MASC;SG;POS
age	věku	age	věk	N;SG	N;INAN;GEN;MASC;SG;POS
service	služba	service	služba	N;SG	N;NOM;FEM;SG;POS
service	servis	service	servis	N;SG	N;INAN;NOM;MASC;SG;POS
service	obsluha	service	obsluha	N;SG	N;NOM;FEM;SG;POS
said	řekla	say	říci	V;IND;PST;FIN	V;PFV;POS;PST;V.PTCP;ACT
said	řekl	say	říci	V;IND;PST;FIN	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
said	říkal	say	říkat	V;IND;PST;FIN	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
website	web	website	web	N;SG	N;INAN;NOM;MASC;SG;POS
population	obyvatelstvo	population	obyvatelstvo	N;SG	N;NOM;NEUT;SG;POS
population	populace	population	populace	N;SG	N;NOM;FEM;SG;POS
air	vzduchu	air	vzduch	N;SG	N;INAN;GEN;MASC;SG;POS
air	ovzduší	air	ovzduší	N;SG	N;NOM;NEUT;SG;POS
air	vzduch	air	vzduch	N;SG	N;INAN;NOM;MASC;SG;POS
air	air	air	air	N;SG	N;INAN;NOM;MASC;SG;POS
german	německý	german	německý	ADJ	ADJ;ANIM;NOM;MASC;SG;POS
german	německá	german	německý	ADJ	ADJ;NOM;FEM;SG;POS
german	německé	german	německý	ADJ	ADJ;NOM;MASC;PL;POS
law	právo	law	právo	N;SG	N;NOM;NEUT;SG;POS
law	zákon	law	zákon	N;SG	N;INAN;NOM;MASC;SG;POS
military	vojenský	military	vojenský	ADJ	ADJ;INAN;NOM;MASC;SG;POS
military	vojenská	military	vojenský	ADJ	ADJ;NOM;FEM;SG;POS
military	vojenské	military	vojenský	ADJ	ADJ;NOM;MASC;PL;POS
great	skvělý	great	skvělý	ADJ	ADJ;INAN;NOM;MASC;SG;POS
clubs	kluby	club	klub	N;PL	N;INAN;NOM;MASC;PL;POS
clubs	hole	club	hůl	N;PL	N;NOM;FEM;PL;POS
clubs	klubů	club	klub	N;PL	N;INAN;GEN;MASC;PL;POS
published	publikoval	publish	publikovat	V;PST;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
park	parku	park	park	N;SG	N;INAN;GEN;MASC;SG;POS
park	park	park	park	N;SG	N;INAN;NOM;MASC;SG;POS
