tudi	بھی	tudi	بھی	PART	PART
delo	روزگار	delo	روزگار	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
delo	شغل	delo	شغل	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
delo	کام	delo	کام	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
delo	دھندا	delo	دھندا	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
delo	روزگار	delo	روزگار	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
ker	چونکہ	ker	چونکہ	CONJ	CONJ
drugi	دوسرا	drug	دوسرا	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
število	ٹولی	število	ٹولی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
število	کمپنی	število	کمپنی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
število	گروہ	število	گروہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
število	جماعت	število	جماعت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
število	رقص	število	رقص	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
samo	صرف	samo	صرف	PART	PART
samo	صرف	samo	صرف	PART	PART
samo	صرف	samo	صرف	PART	PART
samo	صرف	samo	صرف	PART	PART
maj	مئی.	maj	مئی.		
stran	دور	stran	دور	N;NOM;FEM;SG	N;NOM;MASC;SG;3
svetovno	متوسط	svetoven	متوسط	ADJ;NOM;NEUT;SG	ADJ
leto	زمانہ	leto	زمانہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
leto	برس	leto	برس	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
cerkev	عبادت	cerkev	عبادت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
cerkev	عبادت	cerkev	عبادت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
primer	حادثہ	primer	حادثہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
primer	واقعہ	primer	واقعہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
primer	معاملہ	primer	معاملہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	یوم	dan	یوم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	دن	dan	دن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	دور	dan	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	یوم	dan	یوم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	دن	dan	دن	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	دور	dan	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dan	روز	dan	روز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
velika	اہم	velik	اہم	ADJ;NOM;FEM;SG	ADJ
velika	نمایاں	velik	نمایاں	ADJ;NOM;FEM;SG	ADJ
velika	بڑا	velik	بڑا	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
vedno	ہمیشہ	vedno	ہمیشہ	ADV	ADV
občina	بلدیہ	občina	بلدیہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
drugo	دوسرا	drug	دوسرا	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
vojna	بیماری	vojna	بیماری	N;NOM;FEM;SG	N;NOM;FEM;SG;3
veliki	اہم	velik	اہم	ADJ;NOM;DEF;MASC;SG	ADJ
veliki	نمایاں	velik	نمایاں	ADJ;NOM;DEF;MASC;SG	ADJ
slika	نقش	slika	نقش	N;NOM;FEM;SG	N;NOM;MASC;SG;3
slika	خاکہ	slika	خاکہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
prva	بنیادی	prvi	بنیادی	ADJ;NOM;FEM;SG	ADJ
prva	سابق	prvi	سابق	ADJ;NOM;FEM;SG	ADJ
druga	دوسرا	drug	دوسرا	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
pogosto	عموماً	pogosto	عموماً	ADV	ADV
pogosto	عموماً	pogosto	عموماً	ADV	ADV
življenje	زندگی	življenje	زندگی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
življenje	موقع	življenje	موقع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
življenje	اتفاق	življenje	اتفاق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
življenje	اعمال	življenje	اعمال	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
življenje	زندگی	življenje	زندگی	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
življenje	موقع	življenje	موقع	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
življenje	اتفاق	življenje	اتفاق	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
življenje	اعمال	življenje	اعمال	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
življenje	حیات	življenje	شریک_حیات	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prvo	بنیادی	prvi	بنیادی	ADJ;ACC;NEUT;SG	ADJ
prvo	سابق	prvi	سابق	ADJ;ACC;NEUT;SG	ADJ
skupina	گروہ	skupina	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
skupina	جمعیت	skupina	جمعیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
skupina	گروہ	skupina	گروہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
skupina	جمعیت	skupina	جمعیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
skupina	جماعت	skupina	جماعت	N;NOM;FEM;SG	N;NOM;FEM;SG;3
nagrada	انعام	nagrada	انعام	N;NOM;FEM;SG	N;NOM;MASC;SG;3
nagrada	سزا	nagrada	سزا	N;NOM;FEM;SG	N;NOM;MASC;SG;3
čeprav	اگرچہ	čeprav	اگرچہ	CONJ	CONJ
izvirno	تخلیقی	izviren	تخلیقی	ADJ;NOM;NEUT;SG	ADJ
izvirno	نیا	izviren	نیا	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
izvirno	انوکھا	izviren	انوکھا	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
francoski	بری	francoski	بری	ADJ;NOM;DEF;MASC;SG	ADJ;FEM
divizija	جنس	divizija	جنس	N;NOM;FEM;SG	N;NOM;MASC;SG;3
divizija	اختلاف	divizija	اختلاف	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pomeni	دلالت.	pomeniti	دلالت.	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
pomeni	دلالت.	pomeniti	دلالت.	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;SG;V.PTCP;ACT
čas	دور	čas	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
čas	عہد	čas	عہد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
čas	دور	čas	دور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
skozi	تا	skozi	تا	ADP;ACC	ADP
skozi	تک	skozi	تک	ADP;ACC	ADP
skozi	بشمول	skozi	بشمول	ADP;ACC	ADP
ponovno	دوبارہ	ponovno	دوبارہ	ADV	ADV
novo	جدید	nov	جدید	ADJ;NOM;NEUT;SG	ADJ
novo	جدید	nov	جدید	ADJ;NOM;NEUT;SG	ADJ
pesem	نظم	pesem	نظم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pesem	گیت	pesem	گیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pesem	شاعری	pesem	شاعری	N;NOM;FEM;SG	N;NOM;MASC;SG;3
krog	مدّت	krog	مدّت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	عرصہ	krog	عرصہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	مدّت	krog	مدّت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	حلقہ	krog	حلقہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	عرصہ	krog	عرصہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	لباس	krog	لباس	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	حدود	krog	حد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	گول	krog	گول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
krog	حدود	krog	حد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
red	قسم	red	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
red	فرمان	red	فرمان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
red	ترتیب	red	ترتیب	N;NOM;MASC;SG	N;NOM;FEM;SG;3
red	قسم	red	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
član	ٹکڑا	član	ٹکڑا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
glavni	ممتاز	glaven	ممتاز	ADJ;NOM;DEF;MASC;SG	ADJ
glavni	ممتاز	glaven	ممتاز	ADJ;NOM;DEF;MASC;SG	ADJ
glavni	خاص	glaven	خاص	ADJ;NOM;DEF;MASC;SG	ADJ
sam	صرف	samo	صرف	PART	PART
skoraj	تقریباً	skoraj	تقریباً	PART	PART
skoraj	تقریباً	skoraj	تقریباً	PART	PART
knjiga	رسالہ	knjiga	رسالہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
knjiga	جریدہ	knjiga	جریدہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
knjiga	لیبل	knjiga	لیبل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
sistem	تنظیم	sistem	تنظیم	N;NOM;MASC;SG	N;NOM;FEM;SG;3
sistem	ترتیب	sistem	ترتیب	N;NOM;MASC;SG	N;NOM;FEM;SG;3
večinoma	خصوصاً	večinoma	خصوصاً	ADV	ADV
večinoma	عموماً	večinoma	عموماً	ADV	ADV
grad	حصار	grad	حصار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
grad	حصار	grad	حصار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kmalu	فوراً	kmalu	فوراً	ADV	ADV
način	طور	način	طور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	انداز	način	انداز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	طور	način	طور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	شان	način	شان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	انداز	način	انداز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	کاروبار	način	کاروبار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	لحاظ	način	لحاظ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	قسم	način	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	پیشہ	način	پیشہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	سڑک	način	سڑک	N;NOM;MASC;SG	N;NOM;FEM;SG;3
način	کاروبار	način	کاروبار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	لحاظ	način	لحاظ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	قسم	način	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	راستہ	način	راستہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	پیشہ	način	پیشہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
način	سڑک	način	سڑک	N;NOM;MASC;SG	N;NOM;FEM;SG;3
način	طریقہ	način	طریقہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
film	فلم	film	فلم	N;NOM;MASC;SG	N;NOM;FEM;SG;3
sveta	کونسل	svet	کونسل	N;NOM;MASC;SG	N;NOM;FEM;SG;3
svetovna	متوسط	svetoven	متوسط	ADJ;NOM;FEM;SG	ADJ
sin	قبیلے	sin	قبیلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sin	بیٹا	sin	بیٹا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sin	قبیلے	sin	قبیلہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
verjetno	غالباً	verjetno	غالباً	ADV	ADV
pot	کاروبار	pot	کاروبار	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	لحاظ	pot	لحاظ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	قسم	pot	قسم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	پیشہ	pot	پیشہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	سڑک	pot	سڑک	N;NOM;FEM;SG	N;NOM;FEM;SG;3
pot	کاروبار	pot	کاروبار	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	لحاظ	pot	لحاظ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	قسم	pot	قسم	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	راستہ	pot	راستہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	پیشہ	pot	پیشہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pot	سڑک	pot	سڑک	N;NOM;FEM;SG	N;NOM;FEM;SG;3
pot	طریقہ	pot	طریقہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
umrl	اکتانا	umreti	اکتانا	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;NFIN;ACT
večina	اکثریت.	večina	اکثریت.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
večina	اکثریت.	večina	اکثریت.	N;NOM;FEM;SG	N;NOM;MASC;SG;3
pogovor	مباحثہ	pogovor	مباحثہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	گفتگو	pogovor	گفتگو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	مباحثہ	pogovor	مباحثہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	گفتگو	pogovor	گفتگو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	بحث	pogovor	بحث	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	گفتگو	pogovor	گفتگو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	گفتگو	pogovor	گفتگو	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	چرچا	pogovor	چرچا	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pogovor	زور	pogovor	زور	N;NOM;MASC;SG	N;NOM;MASC;SG;3
razvoj	تکمیل	razvoj	تکمیل	N;NOM;MASC;SG	N;NOM;MASC;SG;3
razvoj	گیس	razvoj	گیس	N;NOM;MASC;SG	N;NOM;MASC;SG;3
velike	اہم	velik	اہم	ADJ;NOM;FEM;PL	ADJ
velike	نمایاں	velik	نمایاں	ADJ;NOM;FEM;PL	ADJ
album	البم	album	البم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
ampak	لیکن	ampak	لیکن	CONJ	CONJ
roman	ناول	roman	ناول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
roman	ناول	roman	ناول	N;NOM;MASC;SG	N;NOM;MASC;SG;3
dobil	سیکھنا	dobiti	سیکھ	V;PFV;MASC;SG;V.PTCP	V;SG;NFIN;ACT
dobil	سمجھنا	dobiti	سمجھ	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;NFIN;ACT
dobil	کمانا	dobiti	کمانا	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;NFIN;ACT
dobil	پانا	dobiti	پانا	V;PFV;MASC;SG;V.PTCP	V;SG;NFIN;ACT
dobil	سیکھنا	dobiti	سیکھ	V;PFV;MASC;SG;V.PTCP	V;SG;NFIN;ACT
dobil	سمجھنا	dobiti	سمجھ	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;NFIN;ACT
dobil	کمانا	dobiti	کمانا	V;PFV;MASC;SG;V.PTCP	V;MASC;SG;NFIN;ACT
vojska	فوجی	vojska	فوجی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
vojska	فوجی	vojska	فوجی	N;NOM;FEM;SG	N;NOM;MASC;SG;3
vojska	تنظیم	vojska	تنظیم	N;NOM;FEM;SG	N;NOM;FEM;SG;3
znan	نامور	znan	نامور	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ
pisatelj	کلرک	pisatelj	کلرک	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pisatelj	کاتب	pisatelj	کاتب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pisatelj	ادیب	pisatelj	ادیب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pisatelj	کلرک	pisatelj	کلرک	N;NOM;MASC;SG	N;NOM;MASC;SG;3
pisatelj	کاتب	pisatelj	کاتب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
običajno	عموماً	običajno	عموماً	ADV	ADV
svet	زمانے	svet	زمانہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
svet	کونسل	svet	کونسل	N;NOM;MASC;SG	N;NOM;FEM;SG;3
nove	جدید	nov	جدید	ADJ;NOM;FEM;PL	ADJ
nove	جدید	nov	جدید	ADJ;NOM;FEM;PL	ADJ
novi	جدید	nov	جدید	ADJ;NOM;DEF;MASC;SG	ADJ
novi	جدید	nov	جدید	ADJ;NOM;DEF;MASC;SG	ADJ
posebej	خصوصاً	posebej	خصوصاً	ADV	ADV
jezik	زبان	jezik	زبان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jezik	زبان	jezik	زبان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
jezik	زبان	jezik	زبان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
velik	اہم	velik	اہم	ADJ;NOM;INDF;MASC;SG	ADJ
velik	نمایاں	velik	نمایاں	ADJ;NOM;INDF;MASC;SG	ADJ
klub	گروہ	klub	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
klub	گروہ	klub	گروہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sedež	چوتڑ	sedež	چوتڑ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sedež	گاڑی	sedež	گاڑی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
sedež	نشست	sedež	نشست	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sedež	چوتڑ	sedež	چوتڑ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sedež	گاڑی	sedež	گاڑی	N;NOM;MASC;SG	N;NOM;FEM;SG;3
sedež	نشست	sedež	نشست	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	مرتبہ	kraj	مرتبہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	منصب	kraj	منصب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	احاطہ	kraj	احاطہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	نشست	kraj	نشست	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	مرتبہ	kraj	مرتبہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	مقام	kraj	مقام	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	منصب	kraj	منصب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	احاطہ	kraj	احاطہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
kraj	نشست	kraj	نشست	N;NOM;MASC;SG	N;NOM;MASC;SG;3
članek	مضمون	članek	مضمون	N;NOM;MASC;SG	N;NOM;MASC;SG;3
oče	باپ	oče	باپ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
oče	موجد	oče	موجد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
oče	والد	oče	والد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
igralec	کھلاڑی.	igralec	کھلاڑی.	N;NOM;MASC;SG	N;NOM;MASC;SG;3
toda	لیکن	toda	لیکن	CONJ	CONJ
list	اخبار	list	اخبار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
list	پارچہ	list	پارچہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
različne	مختلف	različen	مختلف	ADJ;NOM;FEM;PL	ADJ
povprečna	عام	povprečen	عام	ADJ;NOM;FEM;SG	ADJ
tretji	تیسرا	tretji	تیسرا	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
zveza	تعلق	zveza	تعلق	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zveza	رشتہ	zveza	رشتہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
povprečno	عام	povprečen	عام	ADJ;NOM;NEUT;SG	ADJ
konec	قبضہ	konec	قبضہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
konec	ختم	konec	ختم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
konec	تباہی	konec	تباہی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
konec	جواز	konec	جواز	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vrh	چھت	vrh	چھت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vrh	قیمت	vrh	قیمت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
vrh	شرح	vrh	شرح	N;NOM;MASC;SG	N;NOM;FEM;SG;3
vrh	خوبی	vrh	خوبی	N;NOM;MASC;SG	N;NOM;MASC;SG;3
vrh	قسم	vrh	قسم	N;NOM;MASC;SG	N;NOM;MASC;SG;3
podatki	خبریں	podatek	خبر	N;NOM;MASC;PL	N;NOM;MASC;PL;3
starost	عمر	starost	عمر	N;NOM;FEM;SG	N;NOM;MASC;SG;3
naprej	فوراً	naprej	فوراً	ADV	ADV
naprej	آگے	naprej	آگے	ADV	ADV;NOM;MASC;SG;3
naprej	فوراً	naprej	فوراً	ADV	ADV
naprej	آگے	naprej	آگے	ADV	ADV;NOM;MASC;SG;3
britanski	برطانوی	britanski	برطانوی	ADJ;NOM;MASC;SG	ADJ
cesar	شہنشاہ	cesar	شہنشاہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
zgodovina	تذکرہ	zgodovina	تذکرہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
zgodovina	تواریخ	zgodovina	تواریخ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
znani	نامور	znan	نامور	ADJ;NOM;MASC;PL;V.PTCP	ADJ
območje	رقبہ	območje	رقبہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
podobno	مثنٰی	podoben	مثنٰی	ADJ;NOM;NEUT;SG	ADJ
vojaški	عسکری	vojaški	عسکری	ADJ;NOM;MASC;SG	ADJ
zadnji	سابقہ	zadnji	سابقہ	ADJ;NOM;DEF;MASC;SG	ADJ
zadnji	واحد	zadnji	واحد	ADJ;NOM;DEF;MASC;SG	ADJ
zadnji	سابقہ	zadnji	سابقہ	ADJ;NOM;DEF;MASC;SG	ADJ
zadnji	واحد	zadnji	واحد	ADJ;NOM;DEF;MASC;SG	ADJ
letalo	علم	letalo	علم	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
prostor	طباعت	prostor	طباعت	N;NOM;MASC;SG	N;NOM;MASC;SG;3
podjetje	گروہ	podjetje	گروہ	N;NOM;NEUT;SG	N;NOM;MASC;SG;3
podjetje	صحبت	podjetje	صحبت	N;NOM;NEUT;SG	N;NOM;FEM;SG;3
izraz	اصطلاح	izraz	اصطلاح	N;NOM;MASC;SG	N;NOM;MASC;SG;3
izraz	b	izraz	b	N;NOM;MASC;SG	N;NOM;MASC;SG;3
izraz	اظہار	izraz	اظہار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
izraz	بیان	izraz	بیان	N;NOM;MASC;SG	N;NOM;MASC;SG;3
izraz	تصریح	izraz	تصریح	N;NOM;MASC;SG	N;NOM;MASC;SG;3
moč	زور	moč	زور	N;NOM;FEM;SG	N;NOM;MASC;SG;3
moč	صلاحیت	moč	صلاحیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
moč	صلاحیت	moč	صلاحیت	N;NOM;FEM;SG	N;NOM;MASC;SG;3
moč	بل	moč	بل	N;NOM;FEM;SG	N;NOM;MASC;SG;3
potrebno	جبری	potreben	جبری	ADJ;NOM;NEUT;SG	ADJ
potrebno	لازمی	potreben	لازمی	ADJ;NOM;NEUT;SG	ADJ
znana	نامور	znan	نامور	ADJ;NOM;FEM;SG;V.PTCP	ADJ
otrok	اختراع	otrok	اختراع	N;NOM;MASC;SG	N;NOM;MASC;SG;3
otrok	منصب	otrok	منصب	N;NOM;MASC;SG	N;NOM;MASC;SG;3
otrok	بچہ	otrok	بچہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
otrok	اولاد	otrok	اولاد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
sedaj	فوراً	sedaj	فوراً	ADV	ADV
sedaj	جلد	sedaj	جلد	ADV	ADV
sedaj	فوراً	sedaj	فوراً	ADV	ADV
sedaj	جلد	sedaj	جلد	ADV	ADV
glavno	ممتاز	glaven	ممتاز	ADJ;NOM;NEUT;SG	ADJ
glavno	ممتاز	glaven	ممتاز	ADJ;NOM;NEUT;SG	ADJ
glavno	خاص	glaven	خاص	ADJ;NOM;NEUT;SG	ADJ
vrsta	طبقہ	vrsta	طبقہ	N;NOM;FEM;SG	N;NOM;MASC;SG;3
vrsta	نوع	vrsta	نوع	N;NOM;FEM;SG	N;NOM;MASC;SG;3
avtor	کائنات	avtor	کائنات	N;NOM;MASC;SG	N;NOM;MASC;SG;3
avtor	موجد	avtor	موجد	N;NOM;MASC;SG	N;NOM;MASC;SG;3
položaj	مرتبہ	položaj	مرتبہ	N;NOM;MASC;SG	N;NOM;MASC;SG;3
položaj	موقف	položaj	موقف	N;NOM;MASC;SG	N;NOM;MASC;SG;3
položaj	ترتیب	položaj	ترتیب	N;NOM;MASC;SG	N;NOM;FEM;SG;3
položaj	روزگار	položaj	روزگار	N;NOM;MASC;SG	N;NOM;MASC;SG;3
položaj	کیفیت	položaj	کیفیت	N;NOM;MASC;SG	N;NOM;FEM;SG;3
