एक	ühe	एक	üks	NUM	NUM;GEN;SG
प्रयोग	eksperiment	प्रयोग	eksperiment	N;NOM;MASC;SG;3	N;NOM;SG
स्थान	toimumiskoht	स्थान	toimumis_koht	N;NOM;MASC;SG;3	N;NOM;SG
स्थान	koht	स्थान	koht	N;NOM;MASC;SG;3	N;NOM;SG
स्थान	asukoht	स्थान	asu_koht	N;NOM;MASC;SG;3	N;NOM;SG
प्रमुख	ülemus	प्रमुख	ülemus	N;NOM;MASC;SG;3	N;NOM;SG
प्रमुख	pealik	प्रमुख	pealik	N;NOM;MASC;SG;3	N;NOM;SG
प्रमुख	ülem	प्रमुख	ülem	N;NOM;MASC;SG;3	N;NOM;SG
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	N;NOM;SG
प्रमुख	põhi	प्रमुख	põhi	N;NOM;MASC;SG;3	N;NOM;SG
प्रमुख	main	प्रमुख	mai	N;NOM;MASC;SG;3	N;NOM;SG
बीच	keskele	बीच	keskele	ADV;NOM;MASC;SG;3	ADV
बीच	keskel	बीच	keskel	ADV;NOM;MASC;SG;3	ADV
गए	läinud	जा	minema	V;PFV;MASC;PL;V.PTCP;ACT	V;PST;V.PTCP;ACT
कार्य	töö	कार्य	töö	N;NOM;MASC;SG;3	N;NOM;SG
कार्य	töökoht	कार्य	töö_koht	N;NOM;MASC;SG;3	N;NOM;SG
कार्य	töö	कार्य	töö	N;NOM;MASC;SG;3	N;NOM;SG
कार्य	ülesanne	कार्य	üles_anne	N;NOM;MASC;SG;3	N;NOM;SG
नगर	linn	नगर	linn	N;NOM;MASC;SG;3	N;NOM;SG
नगर	linn	नगर	linn	N;NOM;MASC;SG;3	N;NOM;SG
नगर	city	नगर	city	N;NOM;MASC;SG;3	N;NOM;SG
उपयोग	kasutamine	उपयोग	kasutamine	N;NOM;MASC;SG;3	N;NOM;SG
उपयोग	kasutus	उपयोग	kasutus	N;NOM;MASC;SG;3	N;NOM;SG
उपयोग	use	उपयोग	uks	N;NOM;MASC;SG;3	N;NOM;SG
उपयोग	kasutamine	उपयोग	kasutamine	N;NOM;MASC;SG;3	N;NOM;SG
उपयोग	kasutus	उपयोग	kasutus	N;NOM;MASC;SG;3	N;NOM;SG
आधार	baas	आधार	baas	N;NOM;MASC;SG;3	N;NOM;SG
आधार	alus	आधार	alus	N;NOM;MASC;SG;3	N;NOM;SG
आधार	eeldus	आधार	eeldus	N;NOM;MASC;SG;3	N;NOM;SG
आधार	alus	आधार	alus	N;NOM;MASC;SG;3	N;NOM;SG
काम	töö	काम	töö	N;NOM;MASC;SG;3	N;NOM;SG
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	N;NOM;SG
जीवन	elu	जीवन	elu	N;NOM;MASC;SG;3	N;NOM;SG
विश्व	maailm	विश्व	maa_ilm	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	loomine	निर्माण	loomine	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	looming	निर्माण	looming	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	ehitamine	निर्माण	ehitamine	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	ehitus	निर्माण	ehitus	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	konstruktsioon	निर्माण	konstruktsioon	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	ehitamine	निर्माण	ehitamine	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	valmistamine	निर्माण	valmistamine	N;NOM;MASC;SG;3	N;NOM;SG
निर्माण	tootmine	निर्माण	tootmine	N;NOM;MASC;SG;3	N;NOM;SG
गई	läks	जा	minema	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	N;NOM;SG
जानकारी	teave	जानकारी	teave	N;NOM;FEM;SG;3	N;NOM;SG
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	N;NOM;SG
जानकारी	informatsioon	जानकारी	informatsioon	N;NOM;FEM;SG;3	N;NOM;SG
पोर्टल	portaal	पोर्टल	portaal	N;NOM;MASC;SG;3	N;NOM;SG
शहर	kesklinn	शहर	kesk_linn	N;NOM;MASC;SG;3	N;NOM;SG
शहर	linn	शहर	linn	N;NOM;MASC;SG;3	N;NOM;SG
शहर	city	शहर	city	N;NOM;MASC;SG;3	N;NOM;SG
बार	baar	बार	baar	N;NOM;FEM;SG;3	N;NOM;SG
बार	bar	बार	bar	N;NOM;FEM;SG;3	N;NOM;SG
फिल्म	film	फिल्म	film	N;NOM;FEM;SG;3	N;NOM;SG
फिल्म	kile	फिल्म	kile	N;NOM;FEM;SG;3	N;NOM;SG
फिल्म	film	फिल्म	film	N;NOM;FEM;SG;3	N;NOM;SG
प्रसिद्ध	kuulsad	प्रसिद्ध	kuulma	ADJ	ADJ;NOM;PL
विकास	arendamine	विकास	arendamine	N;NOM;MASC;SG;3	N;NOM;SG
विकास	arendus	विकास	arendus	N;NOM;MASC;SG;3	N;NOM;SG
विकास	areng	विकास	areng	N;NOM;MASC;SG;3	N;NOM;SG
विकास	kasv	विकास	kasv	N;NOM;MASC;SG;3	N;NOM;SG
विकास	majanduskasv	विकास	majandus_kasv	N;NOM;MASC;SG;3	N;NOM;SG
देश	riik	देश	riik	N;NOM;MASC;SG;3	N;NOM;SG
देश	rahvus	देश	rahvus	N;NOM;MASC;SG;3	N;NOM;SG
वेबसाइट	koduleht	वेबसाइट	kodu_leht	N;NOM;FEM;SG;3	N;NOM;SG
वेबसाइट	veebileht	वेबसाइट	veebi_leht	N;NOM;FEM;SG;3	N;NOM;SG
वेबसाइट	veebisait	वेबसाइट	veebi_sait	N;NOM;FEM;SG;3	N;NOM;SG
वेबसाइट	kodulehekülg	वेबसाइट	kodu_lehe_külg	N;NOM;FEM;SG;3	N;NOM;SG
अलग	erinevad	अलग	erinev	ADJ	ADJ;NOM;PL;PRS;V.PTCP;ACT
अलग	erinev	अलग	erinev	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
अलग	eraldi	अलग	eraldi	ADJ	ADJ
विशेष	eksklusiivne	विशेष	eks_klusiivne	ADJ;NOM	ADJ;NOM;SG
विशेष	erilised	विशेष	eriline	ADJ;NOM	ADJ;NOM;PL
विशेष	eriline	विशेष	eriline	ADJ;NOM	ADJ;NOM;SG
दी	andis	दे	andma	V;PFV;FEM;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN;ACT
पृष्ठ	leht	पृष्ठ	leht	N;NOM;MASC;SG;3	N;NOM;SG
पृष्ठ	lehekülg	पृष्ठ	lehe_külg	N;NOM;MASC;SG;3	N;NOM;SG
पृष्ठ	page	पृष्ठ	page	N;NOM;MASC;SG;3	N;NOM;SG
शब्द	sõna	शब्द	sõna	N;NOM;MASC;SG;3	N;NOM;SG
फिर	seejärel	फिर	see_järel	ADV	ADV
फिर	siis	फिर	siis	ADV	ADV
तीन	kolm	तीन	kolm	NUM	NUM;NOM;SG
पुरस्कार	auhind	पुरस्कार	au_hind	N;NOM;MASC;SG;3	N;NOM;SG
पुरस्कार	auhind	पुरस्कार	au_hind	N;NOM;MASC;SG;3	N;NOM;SG
पुरस्कार	tasu	पुरस्कार	tasu	N;NOM;MASC;SG;3	N;NOM;SG
लेख	artikkel	लेख	artikkel	N;NOM;MASC;SG;3	N;NOM;SG
मंदिर	tempel	मंदिर	tema	N;NOM;MASC;SG;3	N;NOM;SG
मंदिर	temple	मंदिर	tema	N;NOM;MASC;SG;3	N;NOM;SG
स्थल	toimumiskoht	स्थल	toimumis_koht	N;NOM;MASC;SG;3	N;NOM;SG
इतिहास	ajalugu	इतिहास	aja_lugu	N;NOM;MASC;SG;3	N;NOM;SG
फ़िल्म	film	फ़िल्म	film	N;NOM;FEM;SG;3	N;NOM;SG
फ़िल्म	kile	फ़िल्म	kile	N;NOM;FEM;SG;3	N;NOM;SG
फ़िल्म	film	फ़िल्म	film	N;NOM;FEM;SG;3	N;NOM;SG
क्योंकि	kuna	क्योंकि	kuna	CONJ	CONJ
क्योंकि	sest	क्योंकि	sest	CONJ	CONJ
विस्तृत	detailne	विस्तृत	detailne	ADJ	ADJ;NOM;SG
विस्तृत	üksikasjalikud	विस्तृत	üksik_asjalik	ADJ	ADJ;NOM;PL
विस्तृत	üksikasjalik	विस्तृत	üksikasjalik	ADJ	ADJ;NOM;SG
विस्तृत	ammendav	विस्तृत	ammendav	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
विस्तृत	arenenud	विस्तृत	arenenud	ADJ	ADJ;PST;V.PTCP;ACT
विस्तृत	täiustatud	विस्तृत	täiusta=tud	ADJ	ADJ;PST;V.PTCP;PASS
दिन	päev	दिन	päev	N;NOM;MASC;SG;3	N;NOM;SG
दिन	päev	दिन	päev	N;NOM;MASC;SG;3	N;NOM;SG
कृषि	põllumajandus	कृषि	põllu_majandus	N;NOM;FEM;SG;3	N;NOM;SG
व्यक्ति	inimene	व्यक्ति	inimene	N;NOM;MASC;SG;3	N;NOM;SG
व्यक्ति	isik	व्यक्ति	isik	N;NOM;MASC;SG;3	N;NOM;SG
व्यक्ति	individualism	व्यक्ति	individualism	N;NOM;MASC;SG;3	N;NOM;SG
विज्ञान	teadus	विज्ञान	teadus	N;NOM;MASC;SG;3	N;NOM;SG
सदस्य	liikmed	सदस्य	liige	N;NOM;MASC;PL;3	N;NOM;PL
सदस्य	parlamendiliikmed	सदस्य	parlamendi_liige	N;NOM;MASC;PL;3	N;NOM;PL
हालांकि	kuigi	हालांकि	kuigi	CONJ	CONJ
हालांकि	ehkki	हालांकि	ehkki	CONJ	CONJ
हालांकि	kuigi	हालांकि	kuigi	CONJ	CONJ
संख्या	number	संख्या	number	N;NOM;FEM;SG;3	N;NOM;SG
संख्या	arv	संख्या	arv	N;NOM;FEM;SG;3	N;NOM;SG
अपना	oma	अपना	oma	PRO;NOM;MASC;SG	PRO;NOM;SG
बात	asi	बात	asi	N;NOM;FEM;SG;3	N;NOM;SG
बात	jutt	बात	jutt	N;NOM;FEM;SG;3	N;NOM;SG
साहित्य	kirjandus	साहित्य	kirjandus	N;NOM;MASC;SG;3	N;NOM;SG
शिक्षा	haridus	शिक्षा	haridus	N;NOM;FEM;SG;3	N;NOM;SG
शिक्षा	õppemaksu	शिक्षा	õppe_maks	N;NOM;FEM;SG;3	N;NOM;SG
धर्म	religioon	धर्म	religioon	N;NOM;MASC;SG;3	N;NOM;SG
धर्म	dharma	धर्म	dharma	N;NOM;MASC;SG;3	N;NOM;SG
मूल	päritolu	मूल	pärit_olu	N;NOM;MASC;SG;3	N;NOM;SG
मूल	originaal	मूल	originaal	N;NOM;MASC;SG;3	N;NOM;SG
मूल	põhi	मूल	põhi	N;NOM;MASC;SG;3	N;NOM;SG
युद्ध	lahing	युद्ध	lahing	N;NOM;MASC;SG;3	N;NOM;SG
युद्ध	sõda	युद्ध	sõda	N;NOM;MASC;SG;3	N;NOM;SG
नदी	river	नदी	river	N;NOM;FEM;SG;3	N;NOM;SG
नदी	jõgi	नदी	jõgi	N;NOM;FEM;SG;3	N;NOM;SG
काल	kõne	काल	kõne	N;NOM;MASC;SG;3	N;NOM;SG
काल	periood	काल	periood	N;NOM;MASC;SG;3	N;NOM;SG
काल	ajavahemik	काल	aja_vahemik	N;NOM;MASC;SG;3	N;NOM;SG
वर्षों	aastad	वर्ष	aasta	N;NOM;MASC;PL;3	N;NOM;PL
स्टेशन	jaam	स्टेशन	jaam	N;NOM;MASC;SG;3	N;NOM;SG
स्टेशन	jaama	स्टेशन	jaam	N;NOM;MASC;SG;3	N;NOM;SG
बड़े	suured	बडा	suur	ADJ;NOM;MASC;PL	ADJ;NOM;PL
बड़े	suured	बडा	suur	ADJ;NOM;MASC;PL	ADJ;NOM;PL
राजा	raja	राजा	rada	N;NOM;MASC;SG;3	N;NOM;SG
राजा	king	राजा	king	N;NOM;MASC;SG;3	N;NOM;SG
राजा	kuningas	राजा	kuningas	N;NOM;MASC;SG;3	N;NOM;SG
राजा	kunn	राजा	kunn	N;NOM;MASC;SG;3	N;NOM;SG
प्रथम	esimene	प्रथम	esimene	ADJ	ADJ;NOM;SG
विश्वविद्यालय	ülikool	विश्वविद्यालय	üli_kool	N;NOM;MASC;SG;3	N;NOM;SG
महत्वपूर्ण	tähtis	महत्वपूर्ण	tähtis	ADJ	ADJ;NOM;SG
महत्वपूर्ण	tähtsad	महत्वपूर्ण	tähtis	ADJ	ADJ;NOM;PL
महत्वपूर्ण	olulised	महत्वपूर्ण	oluline	ADJ	ADJ;NOM;PL
महत्वपूर्ण	oluline	महत्वपूर्ण	oluline	ADJ	ADJ;NOM;SG
महत्वपूर्ण	kriitiline	महत्वपूर्ण	kriitiline	ADJ	ADJ;NOM;SG
महत्वपूर्ण	kriitilised	महत्वपूर्ण	kriitiline	ADJ	ADJ;NOM;PL
प्रामाणिक	autentne	प्रामाणिक	autentne	ADJ;NOM	ADJ;NOM;SG
आप	sina	आप	sina	PRO;NOM;SG;2;FORM	PRO;NOM;SG;2
समूह	kogudus	समूह	kogudus	N;NOM;MASC;SG;3	N;NOM;SG
समूह	rühm	समूह	rühm	N;NOM;MASC;SG;3	N;NOM;SG
समूह	grupp	समूह	grupp	N;NOM;MASC;SG;3	N;NOM;SG
वर्तमान	olevik	वर्तमान	olevik	N;NOM;MASC;SG;3	N;NOM;SG
वर्तमान	kingitus	वर्तमान	kingitus	N;NOM;MASC;SG;3	N;NOM;SG
अध्ययन	õppimine	अध्ययन	õppimine	N;NOM;MASC;SG;3	N;NOM;SG
अध्ययन	uuring	अध्ययन	uuring	N;NOM;MASC;SG;3	N;NOM;SG
विभाग	osakond	विभाग	osakond	N;NOM;MASC;SG;3	N;NOM;SG
विभाग	diviis	विभाग	diviis	N;NOM;MASC;SG;3	N;NOM;SG
विभाग	rajoon	विभाग	rajoon	N;NOM;MASC;SG;3	N;NOM;SG
विभाग	osakond	विभाग	osakond	N;NOM;MASC;SG;3	N;NOM;SG
आम	ühise	आम	ühine	ADJ	ADJ;GEN;SG
आम	ühised	आम	ühine	ADJ	ADJ;NOM;PL
स्थिति	staatus	स्थिति	staatus	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	seisund	स्थिति	seisund	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	olek	स्थिति	olek	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	asukoht	स्थिति	asu_koht	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	positsioon	स्थिति	positsioon	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	asend	स्थिति	asend	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	riik	स्थिति	riik	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	olek	स्थिति	olek	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	osariik	स्थिति	osa_riik	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	seisukord	स्थिति	seisu_kord	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	tingimus	स्थिति	tingimus	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	seisund	स्थिति	seisund	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	olukord	स्थिति	olu_kord	N;NOM;FEM;SG;3	N;NOM;SG
स्थिति	situatsioon	स्थिति	situatsioon	N;NOM;FEM;SG;3	N;NOM;SG
प्रभाव	kokkupõrge	प्रभाव	kokku_põrge	N;NOM;MASC;SG;3	N;NOM;SG
प्रभाव	mõju	प्रभाव	mõju	N;NOM;MASC;SG;3	N;NOM;SG
प्रभाव	mõju	प्रभाव	mõju	N;NOM;MASC;SG;3	N;NOM;SG
प्रभाव	toime	प्रभाव	toime	N;NOM;MASC;SG;3	N;NOM;SG
प्रभाव	efekt	प्रभाव	efekt	N;NOM;MASC;SG;3	N;NOM;SG
प्रभाव	mõju	प्रभाव	mõju	N;NOM;MASC;SG;3	N;NOM;SG
प्रभाव	toime	प्रभाव	toime	N;NOM;MASC;SG;3	N;NOM;SG
साल	aasta	साल	aasta	N;NOM;MASC;SG;3	N;NOM;SG
पहली	esimene	पहला	esimene	ADJ;NOM;FEM;SG	ADJ;NOM;SG
संगीत	muusika	संगीत	muusika	N;NOM;MASC;SG;3	N;NOM;SG
सेवा	teenindus	सेवा	teenindus	N;NOM;FEM;SG;3	N;NOM;SG
सेवा	teenus	सेवा	teenus	N;NOM;FEM;SG;3	N;NOM;SG
स्थापित	asutatud	स्थापित	asuta=tud	ADJ	ADJ;PST;V.PTCP;PASS
स्थापित	paigaldatud	स्थापित	paigalda=tud	ADJ	ADJ;PST;V.PTCP;PASS
स्थापित	asutatud	स्थापित	asuta=tud	ADJ	ADJ;PST;V.PTCP;PASS
चाहिए	peaks	चाहिए	pidama	V;ACT	V;COND;PRS;FIN;ACT
देता	annab	दे	andma	V;IPFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN;ACT
उपलब्ध	saadaval	उपलब्ध	saadaval	ADJ	ADJ;AT+ESS
;SG;PRS;V.PTCP;ACT
उपलब्ध	kättesaadav	उपलब्ध	kätte_saadav	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
बड़ी	suur	बडा	suur	ADJ;NOM;FEM;SG	ADJ;NOM;SG
बड़ी	suur	बडा	suur	ADJ;NOM;FEM;SG	ADJ;NOM;SG
चार	neli	चार	neli	NUM	NUM;NOM;SG
शक	kahtlus	शक	kahtlus	N;NOM;MASC;SG;3	N;NOM;SG
श्री	sri	श्री	sri	N;NOM;MASC;SG;3	N;NOM;SG
उदाहरण	näidis	उदाहरण	näidima	N;NOM;MASC;SG;3	N;NOM;SG
उदाहरण	näide	उदाहरण	näide	N;NOM;MASC;SG;3	N;NOM;SG
उदाहरण	illustratsioon	उदाहरण	illustratsioon	N;NOM;MASC;SG;3	N;NOM;SG
ले	võtke	ले	võtma	V;ACT	V;IMP;PL;2;PRS;FIN;ACT
ले	võta	ले	võtma	V;ACT	V;IMP;SG;2;PRS;FIN;ACT
स्थापना	paigaldus	स्थापना	paigaldus	N;NOM;FEM;SG;3	N;NOM;SG
स्थापना	paigaldamine	स्थापना	paigaldamine	N;NOM;FEM;SG;3	N;NOM;SG
स्थापना	rajatis	स्थापना	rajatis	N;NOM;FEM;SG;3	N;NOM;SG
स्थापना	paigaldamine	स्थापना	paigaldamine	N;NOM;FEM;SG;3	N;NOM;SG
स्थापना	asutamine	स्थापना	asutamine	N;NOM;FEM;SG;3	N;NOM;SG
स्थापना	kehtestamine	स्थापना	kehtestamine	N;NOM;FEM;SG;3	N;NOM;SG
कंपनी	äriühing	कंपनी	äri_ühing	N;NOM;FEM;SG;3	N;NOM;SG
कंपनी	ettevõte	कंपनी	ette_võte	N;NOM;FEM;SG;3	N;NOM;SG
कंपनी	seltskond	कंपनी	seltskond	N;NOM;FEM;SG;3	N;NOM;SG
बड़ा	suur	बड़ा	suur	ADJ;NOM;MASC;SG	ADJ;NOM;SG
बड़ा	suur	बड़ा	suur	ADJ;NOM;MASC;SG	ADJ;NOM;SG
बड़ा	suurem	बड़ा	suurem	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;SG
बड़ा	suurem	बड़ा	suurem	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;SG
स्तर	tase	स्तर	tase	N;NOM;MASC;SG;3	N;NOM;SG
स्तर	tasand	स्तर	tasand	N;NOM;MASC;SG;3	N;NOM;SG
जारी	jätkuv	जारी	jätkuv	ADJ	ADJ;NOM;SG;PRS;V.PTCP;ACT
जारी	emiteeritud	जारी	emiteerima	ADJ	ADJ;PST;V.PTCP;PASS
चित्र	pilt	चित्र	pilt	N;NOM;MASC;SG;3	N;NOM;SG
चित्र	pilt	चित्र	pilt	N;NOM;MASC;SG;3	N;NOM;SG
प्रणाली	süsteem	प्रणाली	süsteem	N;NOM;FEM;SG;3	N;NOM;SG
प्रणाली	system	प्रणाली	system	N;NOM;FEM;SG;3	N;NOM;SG
सरकारी	ametlik	सरकारी	ametlik	ADJ;NOM	ADJ;NOM;SG
जल	vesi	जल	vesi	N;NOM;MASC;SG;3	N;NOM;SG
सूची	nimekiri	सूची	nime_kiri	N;NOM;FEM;SG;3	N;NOM;SG
सूची	loetelu	सूची	loetelu	N;NOM;FEM;SG;3	N;NOM;SG
सूची	loend	सूची	loend	N;NOM;FEM;SG;3	N;NOM;SG
विचार	idee	विचार	idee	N;NOM;MASC;SG;3	N;NOM;SG
विचार	mõte	विचार	mõte	N;NOM;MASC;SG;3	N;NOM;SG
छोटे	väikesed	छोटा	väike	ADJ;NOM;MASC;PL	ADJ;NOM;PL
ऊपर	ülal	ऊपर	ülal	ADV;NOM;MASC;SG;3	ADV
ऊपर	ülalt	ऊपर	ülalt	ADV;NOM;MASC;SG;3	ADV
ऊपर	eespool	ऊपर	ees_pool	ADV;NOM;MASC;SG;3	ADV
ऊपर	ülalpool	ऊपर	ülal_pool	ADV;NOM;MASC;SG;3	ADV
ऊपर	ülal	ऊपर	ülal	ADV;NOM;MASC;SG;3	ADV
पानी	vesi	पानी	vesi	N;NOM;MASC;SG;3	N;NOM;SG
सामान्य	kindral	सामान्य	kindral	N;NOM;MASC;SG;3	N;NOM;SG
आगे	ettepoole	आगे	ette_poole	ADV;NOM;MASC;SG;3	ADV
आगे	edasi	आगे	edasi	ADV;NOM;MASC;SG;3	ADV
आगे	edasi	आगे	edasi	ADV;NOM;MASC;SG;3	ADV
