den	la	den	él	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;FEM;SG;3
her	acá	her	acá	ADV	ADV
kommune	comuna	kommune	comuna	N;INDF;MASC+FEM;SG	N;FEM;SG
kommune	municipalidad	kommune	municipalidad	N;INDF;MASC+FEM;SG	N;FEM;SG
kommune	municipio	kommune	municipio	N;INDF;MASC+FEM;SG	N;MASC;SG
død	fallecimiento	død	fallecimiento	N;INDF;MASC+FEM;SG	N;MASC;SG
død	death	død	death	N;INDF;MASC+FEM;SG	N
død	muerte	død	muerte	N;INDF;MASC+FEM;SG	N;FEM;SG
død	defunción	død	defunción	N;INDF;MASC+FEM;SG	N;FEM;SG
død	dead	død	dead	N;INDF;MASC+FEM;SG	N
dem	ellas	de	él	PRO;ACC;PL;3	PRO;FEM;PL;3
dem	ellos	de	él	PRO;ACC;PL;3	PRO;MASC;PL;3
findes	existir	findes	existir	V;IND;PRS;FIN;ACT	V;NFIN
findes	existo	findes	existir	V;IND;PRS;FIN;ACT	V;IND;SG;1;PRS;FIN
findes	existen	findes	existir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
findes	existe	findes	existir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
august	agosto	august	agosto	N;INDF;MASC+FEM;SG	N
gang	hora	gang	hora	N;INDF;MASC+FEM;SG	N;FEM;SG
gang	tiempo	gang	tiempo	N;INDF;MASC+FEM;SG	N;MASC;SG
gang	time	gang	time	N;INDF;MASC+FEM;SG	N
forskellige	diferentes	forskellig	diferente	ADJ;PL	ADJ;PL
tid	hora	tid	hora	N;INDF;MASC+FEM;SG	N;FEM;SG
tid	tiempo	tid	tiempo	N;INDF;MASC+FEM;SG	N;MASC;SG
tid	time	tid	time	N;INDF;MASC+FEM;SG	N
nye	nuevas	ny	nuevo	ADJ;PL	ADJ;FEM;PL
nye	nuevos	ny	nuevo	ADJ;PL	ADJ;MASC;PL
både	tanto	både	tanto	ADV	ADV
januar	enero	januar	enero	N;INDF;MASC+FEM;SG	N
stor	grande	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;SG
stor	grande	stor	grande	ADJ;INDF;MASC+FEM;SG	ADJ;SG
stor	gran	stor	gran	ADJ;INDF;MASC+FEM;SG	ADJ;SG
stor	grandioso	stor	grandioso	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
stor	genial	stor	genial	ADJ;INDF;MASC+FEM;SG	ADJ;SG
stor	estupendo	stor	estupendo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
stor	gran	stor	gran	ADJ;INDF;MASC+FEM;SG	ADJ;SG
hold	sostenga	holde	sostener	V;IMP	V;IMP;SG;3;FIN
når	cuando	når	cuando	CONJ	CONJ
juni	junio	juni	junio	N;INDF;MASC+FEM;SG	N
kendt	conocida	kendt	conocido	ADJ;INDF;SG	ADJ;FEM;SG;V.PTCP
kendt	conocido	kendt	conocido	ADJ;INDF;SG	ADJ;MASC;SG;V.PTCP
kendt	famosa	kendt	famoso	ADJ;INDF;SG	ADJ;FEM;SG
kendt	famoso	kendt	famoso	ADJ;INDF;SG	ADJ;MASC;SG
før	antes	før	antes	ADV	ADV
sogn	parroquia	sogn	parroquia	N;INDF;NEUT;SG	N;FEM;SG
september	setiembre	september	setiembre	N;INDF;MASC+FEM;SG	N
september	septiembre	september	septiembre	N;INDF;MASC+FEM;SG	N
april	abril	april	abril	N;INDF;MASC+FEM;SG	N
oktober	octubre	oktober	octubre	N;INDF;MASC+FEM;SG	N
marts	marcha	marts	marcha	N;INDF;MASC+FEM;SG	N;FEM;SG
marts	marzo	marts	marzo	N;INDF;MASC+FEM;SG	N
hele	entera	hel	entero	ADJ;DEF;SG	ADJ;FEM;SG
hele	entero	hel	entero	ADJ;DEF;SG	ADJ;MASC;SG
juli	julio	juli	julio	N;INDF;MASC+FEM;SG	N
kirke	iglesia	kirke	iglesia	N;INDF;MASC+FEM;SG	N;FEM;SG
række	hilera	række	haler	N;INDF;MASC+FEM;SG	N;FEM;SG
række	fila	række	fila	N;INDF;MASC+FEM;SG	N;FEM;SG
navn	nombre	navn	nombre	N;INDF;NEUT;SG	N;MASC;SG
navn	name	navn	name	N;INDF;NEUT;SG	N
navn	denominación	navn	denominación	N;INDF;NEUT;SG	N;FEM;SG
ofte	frecuentemente	ofte	frecuentemente	ADV	ADV
ofte	frecuentemente	ofte	frecuentemente	ADV	ADV
november	noviembre	november	noviembre	N;INDF;MASC+FEM;SG	N
december	diciembre	december	diciembre	N;INDF;MASC+FEM;SG	N
først	primero	først	primero	ADV	ADV
mål	objetivo	mål	objetivo	N;INDF;NEUT;SG	N;MASC;SG
mål	target	mål	target	N;INDF;NEUT;SG	N;SG
mål	objetivo	mål	objetivo	N;INDF;NEUT;SG	N;MASC;SG
mål	gol	mål	gol	N;INDF;NEUT;SG	N;MASC;SG
mål	meta	mål	meta	N;INDF;NEUT;SG	N;FEM;SG
mål	objetivo	mål	objetivo	N;INDF;NEUT;SG	N;MASC;SG
mål	portería	mål	portería	N;INDF;NEUT;SG	N;FEM;SG
film	films	film	film	N;INDF;MASC+FEM;PL	N;MASC;PL
film	peliculas	film	pelicula	N;INDF;MASC+FEM;PL	N;FEM;PL
film	películas	film	película	N;INDF;MASC+FEM;PL	N;FEM;PL
film	peliculas	film	pelicula	N;INDF;MASC+FEM;PL	N;FEM;PL
film	películas	film	película	N;INDF;MASC+FEM;PL	N;FEM;PL
sidste	último	sidste	último	ADJ	ADJ;MASC;SG
sidste	últimos	sidste	último	ADJ	ADJ;MASC;PL
sidste	última	sidste	último	ADJ	ADJ;FEM;SG
blive	convertirse	blive	convertir	V;NFIN;ACT	V;SBJV;SG;3;PRS;FIN
noget	algo	nogen	algo	PRO;NEUT;SG	PRO;SG
gik	caminó	gå	caminar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
februar	febrero	februar	febrero	N;INDF;MASC+FEM;SG	N
fire	cuatro	fire	cuatro	NUM	NUM;PL
vandt	ganó	vinde	ganar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
vandt	gané	vinde	ganar	V;IND;PST;FIN;ACT	V;IND;SG;1;PST;FIN
inden	antes	inden	antes	ADV	ADV
mindre	menos	mindre	menos	ADV;CMPR	ADV
frem	adelante	frem	adelante	ADV	ADV
hjemmeside	website	hjemmeside	website	N;INDF;MASC+FEM;SG	N;MASC;SG
hjemmeside	web	hjemmeside	web	N;INDF;MASC+FEM;SG	N;FEM;SG
hjemmeside	sitio	hjemmeside	sitio	N;INDF;MASC+FEM;SG	N;MASC;SG
side	pagina	side	pagina	N;INDF;MASC+FEM;SG	N;FEM;SG
side	página	side	página	N;INDF;MASC+FEM;SG	N;FEM;SG
side	page	side	pager	N;INDF;MASC+FEM;SG	N
side	lateral	side	lateral	N;INDF;MASC+FEM;SG	N;SG
side	lado	side	lado	N;INDF;MASC+FEM;SG	N;MASC;SG
medlem	miembro	medlem	miembro	N;INDF;NEUT;SG	N;MASC;SG
spillede	jugaron	spille	jugar	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
spillede	jugó	spille	jugar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
igen	nuevamente	igen	nuevamente	ADV	ADV
søn	hijo	søn	hijo	N;INDF;MASC+FEM;SG	N;MASC;SG
grund	razón	grund	razón	N;INDF;NEUT;SG	N;FEM;SG
grund	motivo	grund	motivo	N;INDF;NEUT;SG	N;MASC;SG
grund	razon	grund	razon	N;INDF;NEUT;SG	N;FEM;SG
tog	entrenar	tage	entrenar	V;IND;PST;FIN;ACT	V;NFIN
tog	tomaron	tage	tomar	V;IND;PST;FIN;ACT	V;IND;PL;3;PST;FIN
tog	tomó	tage	tomar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
amerikansk	americano	amerikansk	americano	ADJ;INDF;SG	ADJ;MASC;SG
amerikansk	estadounidense	amerikansk	estadounidense	ADJ;INDF;SG	ADJ;SG
amerikansk	americana	amerikansk	americana	ADJ;INDF;SG	ADJ;FEM;SG
lille	pequeño	lille	pequeño	ADJ;SG	ADJ;MASC;SG
lille	pequeña	lille	pequeño	ADJ;SG	ADJ;FEM;SG
lille	pequeño	lille	pequeño	ADJ;SG	ADJ;MASC;SG
lille	pequeña	lille	pequeño	ADJ;SG	ADJ;FEM;SG
lille	poquito	lille	poquito	ADJ;SG	ADJ;MASC;SG
hendes	su	hendes	su	DET;3	DET;SG;3
nord	norte	nord	norte	N;INDF	N;MASC;SG
nord	norte	nord	norte	N;INDF	N;MASC;SG
kort	corta	kort	corto	ADJ;INDF;SG	ADJ;FEM;SG
kort	corto	kort	corto	ADJ;INDF;SG	ADJ;MASC;SG
kort	breve	kort	breve	ADJ;INDF;SG	ADJ;SG
artikler	articulos	artikel	articulo	N;INDF;MASC+FEM;PL	N;MASC;PL
artikler	artículos	artikel	artículo	N;INDF;MASC+FEM;PL	N;MASC;PL
begyndte	comenzó	begynde	comenzar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
begyndte	comenzado	begynde	comenzar	V;IND;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
begyndte	empezó	begynde	empezar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
begyndte	comenzó	begynde	comenzar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
helt	totalmente	helt	totalmente	ADV	ADV
helt	completamente	helt	completamente	ADV	ADV
gamle	viejos	gammel	viejo	ADJ;PL	ADJ;MASC;PL
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	N
gange	tiempos	gang	tiempo	N;INDF;MASC+FEM;PL	N;MASC;PL
gange	veces	gang	vez	N;INDF;MASC+FEM;PL	N;FEM;PL
gange	épocas	gang	época	N;INDF;MASC+FEM;PL	N;FEM;PL
gange	times	gang	time	N;INDF;MASC+FEM;PL	N
bedste	mejores	god	mejor	ADJ;DEF;RL	ADJ;PL
tysk	alemana	tysk	alemán	ADJ;INDF;SG	ADJ;FEM;SG
meter	metros	meter	metro	N;INDF;MASC+FEM;PL	N;MASC;PL
meter	contadores	meter	contador	N;INDF;MASC+FEM;PL	N;MASC;PL
meter	metros	meter	metro	N;INDF;MASC+FEM;PL	N;MASC;PL
meter	medidores	meter	medidor	N;INDF;MASC+FEM;PL	N;MASC;PL
meter	metros	meter	metro	N;INDF;MASC+FEM;PL	N;MASC;PL
gruppe	grupo	gruppe	grupo	N;INDF;MASC+FEM;SG	N;MASC;SG
gruppe	group	gruppe	group	N;INDF;MASC+FEM;SG	N
stedet	lugar	sted	lugar	N;DEF;NEUT;SG	N;MASC;SG
stedet	place	sted	place	N;DEF;NEUT;SG	N
lige	directamente	lige	directamente	ADV	ADV
lige	igual	lige	igual	ADV	ADV
spillet	jugó	spille	jugar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;PST;FIN
forbindelse	conexion	forbindelse	conexion	N;INDF;MASC+FEM;SG	N;FEM;SG
forbindelse	conexión	forbindelse	conexión	N;INDF;MASC+FEM;SG	N;FEM;SG
allerede	ya	allerede	ya	ADV	ADV
ingen	ninguna	ingen	ninguno	PRO;MASC+FEM;SG	PRO;FEM;SG
ingen	ninguno	ingen	ninguno	PRO;MASC+FEM;SG	PRO;MASC;SG
ingen	nadie	ingen	nadie	PRO;MASC+FEM;SG	PRO;SG
historie	historia	historie	historia	N;INDF;MASC+FEM;SG	N;FEM;SG
historie	story	historie	story	N;INDF;MASC+FEM;SG	N
historie	historia	historie	historia	N;INDF;MASC+FEM;SG	N;FEM;SG
historie	historial	historie	historial	N;INDF;MASC+FEM;SG	N;MASC;SG
århundrede	siglo	århundrede	siglo	N;INDF;NEUT;SG	N;MASC;SG
stadig	todavía	stadig	todavía	ADV	ADV
stadig	aún	stadig	aún	ADV	ADV
sted	lugar	sted	lugar	N;INDF;NEUT;SG	N;MASC;SG
sted	place	sted	place	N;INDF;NEUT;SG	N
sted	lugar	sted	lugar	N;INDF;NEUT;SG	N;MASC;SG
sted	ubicacion	sted	ubicacion	N;INDF;NEUT;SG	N;FEM;SG
sted	ubicación	sted	ubicación	N;INDF;NEUT;SG	N;FEM;SG
sted	emplazamiento	sted	emplazamiento	N;INDF;NEUT;SG	N;MASC;SG
sted	localización	sted	localización	N;INDF;NEUT;SG	N;FEM;SG
gift	casada	gift	casado	ADJ;INDF;SG	ADJ;FEM;SG;V.PTCP
gift	casado	gift	casado	ADJ;INDF;SG	ADJ;MASC;SG;V.PTCP
center	centro	center	centro	N;INDF;NEUT;SG	N;MASC;SG
center	center	center	center	N;INDF;NEUT;SG	N;MASC;SG
center	centro	center	centro	N;INDF;NEUT;SG	N;MASC;SG
center	centre	center	centre	N;INDF;NEUT;SG	N;MASC;SG
forhold	coeficiente	forhold	coeficiente	N;INDF;NEUT;SG	N;MASC;SG
forhold	ratio	forhold	ratio	N;INDF;NEUT;SG	N;MASC;SG
forhold	proporción	forhold	proporción	N;INDF;NEUT;SG	N;FEM;SG
forhold	cociente	forhold	cociente	N;INDF;NEUT;SG	N;MASC;SG
forhold	parentesco	forhold	parentesco	N;INDF;NEUT;SG	N;MASC;SG
forhold	relación	forhold	relación	N;INDF;NEUT;SG	N;FEM;SG
forhold	relacion	forhold	relacion	N;INDF;NEUT;SG	N;FEM;SG
spiller	juega	spille	jugar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
spiller	jugando	spille	jugar	V;IND;PRS;FIN;ACT	V;V.MSDR
spiller	tocando	spille	tocar	V;IND;PRS;FIN;ACT	V;V.MSDR
spiller	jugar	spille	jugar	V;IND;PRS;FIN;ACT	V;NFIN
kommer	viene	komme	venir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kommer	viene	komme	venir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kommer	llegando	komme	llegar	V;IND;PRS;FIN;ACT	V;V.MSDR
kommer	venir	komme	venir	V;IND;PRS;FIN;ACT	V;NFIN
især	particularmente	især	particularmente	ADV	ADV
især	especialmente	især	especialmente	ADV	ADV
især	especialmente	især	especialmente	ADV	ADV
kampe	cerillas	kamp	cerilla	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	fósforos	kamp	fósforo	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	coincidencias	kamp	coincidencia	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	partidos	kamp	partido	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	peleas	kamp	pelea	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	luchas	kamp	lucha	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	combates	kamp	combate	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	peleas	kamp	pelea	N;INDF;MASC+FEM;PL	N;FEM;PL
kampe	fighting	kamp	fighting	N;INDF;MASC+FEM;PL	N
kampe	juegos	kamp	juego	N;INDF;MASC+FEM;PL	N;MASC;PL
kampe	batallas	kamp	batalla	N;INDF;MASC+FEM;PL	N;FEM;PL
går	caminar	gå	caminar	V;IND;PRS;FIN;ACT	V;NFIN
går	caminando	gå	caminar	V;IND;PRS;FIN;ACT	V;V.MSDR
går	pasear	gå	pasear	V;IND;PRS;FIN;ACT	V;NFIN
går	paseando	gå	pasear	V;IND;PRS;FIN;ACT	V;V.MSDR
går	va	gå	ir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
går	yendo	gå	ir	V;IND;PRS;FIN;ACT	V;V.MSDR
går	camina	gå	camina	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
fordi	porque	fordi	porque	CONJ	CONJ
syd	sur	syd	sur	N;INDF	N;MASC;SG
syd	syd	syd	syd	N;INDF	N;SG
består	consta	bestå	constar	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
består	consisten	bestå	consistir	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
består	consiste	bestå	consistir	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
ned	abajo	ned	abajo	ADV	ADV
form	forma	form	forma	N;INDF;MASC+FEM;SG	N;FEM;SG
form	forma	form	forma	N;INDF;MASC+FEM;SG	N;FEM;SG
form	formulario	form	formulario	N;INDF;MASC+FEM;SG	N;MASC;SG
gjorde	hizo	gøre	hacer	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
nogen	alguien	nogen	alguien	PRO;MASC+FEM;SG	PRO;SG
nogen	cualquiera	nogen	cualquiera	PRO;MASC+FEM;SG	PRO;SG
nogen	alguien	nogen	alguien	PRO;MASC+FEM;SG	PRO;SG
nogen	alguien	nogen	alguien	PRO;MASC+FEM;SG	PRO;SG
godt	bien	godt	bien	ADV	ADV
arbejde	obra	arbejde	obra	N;INDF;NEUT;SG	N;FEM;SG
arbejde	trabajo	arbejde	trabajo	N;INDF;NEUT;SG	N;MASC;SG
land	pais	land	pais	N;INDF;NEUT;SG	N;MASC;SG
land	país	land	país	N;INDF;NEUT;SG	N;MASC;SG
land	land	land	land	N;INDF;NEUT;SG	N
land	terreno	land	terreno	N;INDF;NEUT;SG	N;MASC;SG
land	tierra	land	tierra	N;INDF;NEUT;SG	N;FEM;SG
landet	pais	land	pais	N;DEF;NEUT;SG	N;MASC;SG
landet	país	land	país	N;DEF;NEUT;SG	N;MASC;SG
børn	ninos	barn	nino	N;INDF;NEUT;PL	N;MASC;PL
børn	niños	barn	niño	N;INDF;NEUT;PL	N;MASC;PL
børn	kids	barn	kids	N;INDF;NEUT;PL	N
børn	ninos	barn	nino	N;INDF;NEUT;PL	N;MASC;PL
børn	niños	barn	niño	N;INDF;NEUT;PL	N;MASC;PL
http	http	http	http	N;INDF;MASC+FEM;SG	N
lidt	levemente	lidt	levemente	ADV	ADV
lidt	ligeramente	lidt	ligeramente	ADV	ADV
verden	mundo	verden	mundo	N;INDF;MASC+FEM;SG	N;MASC;SG
verden	world	verden	world	N;INDF;MASC+FEM;SG	N
lang	largo	lang	largo	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;SG
lang	larga	lang	largo	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;SG
plads	asiento	plads	asiento	N;INDF;MASC+FEM;SG	N;MASC;SG
plads	seat	plads	seat	N;INDF;MASC+FEM;SG	N;MASC;SG
plads	lugar	plads	lugar	N;INDF;MASC+FEM;SG	N;MASC;SG
plads	place	plads	place	N;INDF;MASC+FEM;SG	N
plads	space	plads	spacer	N;INDF;MASC+FEM;SG	N
plads	espacio	plads	espacio	N;INDF;MASC+FEM;SG	N;MASC;SG
får	recibiendo	få	recibir	V;IND;PRS;FIN;ACT	V;V.MSDR
får	consiguiendo	få	conseguir	V;IND;PRS;FIN;ACT	V;V.MSDR
får	obteniendo	få	obtener	V;IND;PRS;FIN;ACT	V;V.MSDR
samtidig	simultáneamente	samtidig	simultáneamente	ADV	ADV
samtidig	simultáneamente	samtidig	simultáneamente	ADV	ADV
stort	grande	stor	grande	ADJ;INDF;NEUT;SG	ADJ;SG
stort	grande	stor	grande	ADJ;INDF;NEUT;SG	ADJ;SG
stort	gran	stor	gran	ADJ;INDF;NEUT;SG	ADJ;SG
derefter	luego	derefter	luego	ADV	ADV
derefter	entonces	derefter	entonces	ADV	ADV
indeholder	conteniendo	indeholde	contener	V;IND;PRS;FIN;ACT	V;V.MSDR
indeholder	contiene	indeholde	contener	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
indeholder	contener	indeholde	contener	V;IND;PRS;FIN;ACT	V;NFIN
indeholder	contienen	indeholde	contener	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
sprog	lengua	sprog	lengua	N;INDF;NEUT;SG	N;FEM;SG
sprog	idioma	sprog	idioma	N;INDF;NEUT;SG	N;MASC;SG
sprog	lenguaje	sprog	lenguaje	N;INDF;NEUT;SG	N;MASC;SG
endnu	aún	endnu	aún	ADV	ADV
gav	dio	give	dar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
gav	dió	give	dar	V;IND;PST;FIN;ACT	V;IND;SG;3;PST;FIN
kilder	fuentes	kilde	fuente	N;INDF;MASC+FEM;PL	N;FEM;PL
mand	macho	mand	macho	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	varón	mand	varón	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	marido	mand	marido	N;INDF;MASC+FEM;SG	N;MASC;SG
mand	esposo	mand	esposo	N;INDF;MASC+FEM;SG	N;MASC;SG
