tradución	تقریر	tradución	تقریر	N	N;NOM;FEM;SG;3
secundaria	اونچا	secundario	اونچا	ADJ	ADJ;MASC;SG
secundaria	شدید	secundario	شدید	ADJ	ADJ
secundaria	خراب	secundario	خراب	ADJ	ADJ
secundaria	اعلیٰ	secundario	اعلیٰ	ADJ	ADJ
secundaria	اونچا	secundario	اونچا	ADJ	ADJ;MASC;SG
secundaria	شدید	secundario	شدید	ADJ	ADJ
secundaria	خراب	secundario	خراب	ADJ	ADJ
secundaria	اعلیٰ	secundario	اعلیٰ	ADJ	ADJ
secundaria	ثانوی	secundario	ثانوی	ADJ	ADJ
universidades	عرصے	universidade	عرصہ	N	N;NOM;MASC;SG;3
universidades	حدود	universidade	حد	N	N;NOM;MASC;SG;3
universidades	مکان	universidade	مکان	N	N;NOM;MASC;SG;3
universidades	ترتیب	universidade	ترتیب	N	N;NOM;FEM;SG;3
universidades	داخل	universidade	داخل	N	N;NOM;MASC;SG;3
universidades	ذیل	universidade	ذیل	N	N;NOM;MASC;SG;3
universidades	گاڑی	universidade	گاڑی	N	N;NOM;FEM;SG;3
universidades	ذات	universidade	ذات	N	N;NOM;FEM;SG;3
universidades	عرصے	universidade	عرصہ	N	N;NOM;MASC;SG;3
universidades	حدود	universidade	حد	N	N;NOM;MASC;SG;3
universidades	مکان	universidade	مکان	N	N;NOM;MASC;SG;3
universidades	ترتیب	universidade	ترتیب	N	N;NOM;FEM;SG;3
universidades	داخل	universidade	داخل	N	N;NOM;MASC;SG;3
universidades	ذیل	universidade	ذیل	N	N;NOM;MASC;SG;3
universidades	گاڑی	universidade	گاڑی	N	N;NOM;FEM;SG;3
universidades	ذات	universidade	ذات	N	N;NOM;FEM;SG;3
podre	گرنے	podre	گر	V	V;ACC;NFIN
podre	جھڑنے	podre	جھڑ	V	V;NFIN
podre	گرنے	podre	گر	V	V;ACC;NFIN
podre	جھڑنے	podre	جھڑ	V	V;NFIN
buscamos	بننے	buscar	بن	V	V;NFIN
necesarias	جبری	necesario	جبری	ADJ	ADJ
necesarias	لازمی	necesario	لازمی	ADJ	ADJ
sermos	امکان	sermo	امکان	N	N;NOM;MASC;SG;3
posiblemente	شاید	posible	شاید	ADV	ADV
delicado	شائستہ(	delicar	شائستہ(	ADJ	ADJ;NOM
delicado	ہلکا	delicar	ہلکا	ADJ	ADJ;NOM;MASC;SG
delicado	شائستہ(	delicar	شائستہ(	ADJ	ADJ;NOM
repito	دہرانا	repito	دہرانا	V	V;MASC;SG;V.PTCP;ACT
repito	لیٹنے	repito	لیٹ	V	V;ACC;NFIN
respiro	وقفہ	respiro	وقفہ	N	N;NOM;MASC;SG;3
respiro	عہد	respiro	عہد	N	N;NOM;MASC;SG;3
respiro	رخنہ	respiro	رخنہ	N	N;NOM;MASC;SG;3
respiro	چوک	respiro	چوک	N	N;NOM;MASC;SG;3
respiro	وعدہ	respiro	وعدہ	N	N;NOM;MASC;SG;3
respiro	وقفہ	respiro	وقفہ	N	N;NOM;MASC;SG;3
respiro	عہد	respiro	عہد	N	N;NOM;MASC;SG;3
respiro	رخنہ	respiro	رخنہ	N	N;NOM;MASC;SG;3
respiro	چوک	respiro	چوک	N	N;NOM;MASC;SG;3
respiro	خلل	respiro	خلل	N	N;NOM;MASC;SG;3
respiro	وعدہ	respiro	وعدہ	N	N;NOM;MASC;SG;3
respiro	دم	respiro	دم	N	N;NOM;MASC;SG;3
respiro	ساکت	respiro	ساکت	N	N;NOM;MASC;SG;3
respiro	تعطل	respiro	تعطل	N	N;NOM;MASC;SG;3
respiro	کام	respiro	کام	N	N;NOM;MASC;SG;3
respiro	نیند	respiro	نیند	N	N;NOM;FEM;SG;3
respiro	محنت	respiro	محنت	N	N;NOM;FEM;SG;3
combustible	لکڑی	combustible	لکڑی	N	N;NOM;MASC;SG;3
sutil	ہلکا	sutil	ہلکا	ADJ	ADJ;NOM;MASC;SG
sutil	عیارانہ	sutil	عیارانہ	ADJ	ADJ
sutil	چالاک	sutil	چالاک	ADJ	ADJ;NOM;MASC;SG
sutil	ہلکا	sutil	ہلکا	ADJ	ADJ;NOM;MASC;SG
sutil	نازک	sutil	نازک	ADJ	ADJ
sutil	عیارانہ	sutil	عیارانہ	ADJ	ADJ
sutil	چالاک	sutil	چالاک	ADJ	ADJ;NOM;MASC;SG
mortalidade	موت	mortalidade	موت	N	N;NOM;FEM;SG;3
accidentes	اتفاق	accidente	اتفاق	N	N;NOM;MASC;SG;3
accidentes	حادثہ	accidente	حادثہ	N	N;NOM;MASC;SG;3
materias	سرد	materia	سرد	N	N;NOM;MASC;SG;3
materias	خالص	materia	خالص	N	N;NOM;MASC;SG;3
materias	نفاست	materia	نفاست	N	N;NOM;MASC;SG;3
materias	سرد	materia	سرد	N	N;NOM;MASC;SG;3
materias	خالص	materia	خالص	N	N;NOM;MASC;SG;3
materias	نفاست	materia	نفاست	N	N;NOM;MASC;SG;3
xesucristo	حیرت	xesucristo	حیرت	N	N;NOM;MASC;SG;3
tradicións	اقوال	tradición	اقوال	N	N;NOM;MASC;PL;3
tradicións	روایت	tradición	روایت	N	N;NOM;FEM;SG;3
tradicións	ریت	tradición	ریت	N	N;NOM;MASC;SG;3
tradicións	رواج	tradición	رواج	N	N;NOM;MASC;SG;3
tradicións	عادت	tradición	عادت	N	N;NOM;FEM;SG;3
alivio	یکسانیت	alivio	یکسانیت	N	N;NOM;MASC;SG;3
alivio	مصیبت	alivio	مصیبت	N	N;NOM;FEM;SG;3
alivio	وضاحت	alivio	وضاحت	N	N;NOM;MASC;SG;3
alivio	صفائی-	alivio	صفائی-	N	N;NOM;MASC;SG;3
duelo	مقابلہ	duelo	مقابلہ	N	N;NOM;MASC;SG;3
duelo	مناظرہ	duelo	مناظرہ	N	N;NOM;MASC;SG;3
mares	سمندر	mar	سمندر	N	N;NOM;MASC;SG;3
vivas	موجودہ.	vivo	موجودہ.	ADJ	ADJ
vivas	رواں	vivo	رواں	ADJ	ADJ
artística	ہدایت	artístico	ہدایت	N	N;NOM;FEM;SG;3
marxe	اوطاق	marxe	اوطاق	N	N;NOM;MASC;SG;3
marxe	اوطاق	marxe	اوطاق	N	N;NOM;MASC;SG;3
marxe	سمائی	marxe	سمائی	N	N;NOM;MASC;SG;3
sigamos	بٹھانا	sigar	بٹھا	V	V;MASC;SG;NFIN;ACT
sigamos	اتارنا	sigar	اتار	V	V;NFIN;ACT
feixe	قسمت	feixe	قسمت	N	N;NOM;FEM;SG;3
feixe	تقدیر	feixe	تقدیر	N	N;NOM;FEM;SG;3
feixe	قسمت	feixe	قسمت	N	N;NOM;FEM;SG;3
subín	بڑھانا	subir	بڑھا	V	V;MASC;SG;NFIN;ACT
sétimo	ساتواں	sétimo	ساتواں	ADJ	ADJ
creceu	بڑھانا	crecer	بڑھا	V	V;MASC;SG;NFIN;ACT
evento	واقعہ	evento	واقعہ	N	N;NOM;MASC;SG;3
tiran	پھینکنے	ter	پھینک	V	V;ACC;NFIN
tiran	جھاڑنا.	ter	جھاڑن	V	V;SG;NFIN;ACT
tiran	پھینکنے	ter	پھینک	V	V;ACC;NFIN
tiran	جھاڑنا.	ter	جھاڑن	V	V;SG;NFIN;ACT
tiran	پھینکنا	ter	پھینکنا	V	V;NFIN;ACT
separar	کاٹنا	separar	کاٹنا	V	V;MASC;SG;NFIN;ACT
separar	چھنٹائی	separar	چھنٹائی	V	V;PFV;FEM;SG;V.PTCP;ACT
separar	کاٹنا	separar	کاٹنا	V	V;MASC;SG;NFIN;ACT
separar	چھنٹائی	separar	چھنٹائی	V	V;PFV;FEM;SG;V.PTCP;ACT
pito	سگریٹ	pito	سگریٹ	N	N;NOM;MASC;SG;3
censura	احتساب	censura	احتساب	N	N;NOM;MASC;SG;3
cualificación	قسم	cualificación	قسم	N	N;NOM;MASC;SG;3
cualificación	سرزنش	cualificación	سرزنش	N	N;NOM;MASC;SG;3
liberal	فیاضانہ	liberal	فیاضانہ	ADJ	ADJ
liberal	بھرپور	liberal	بھرپور	ADJ	ADJ
escuros	چالاک	escuro	چالاک	ADJ	ADJ;NOM;MASC;SG
escuros	اونچا	escuro	اونچا	ADJ	ADJ;MASC;SG
escuros	شدید	escuro	شدید	ADJ	ADJ
escuros	چالاک	escuro	چالاک	ADJ	ADJ;NOM;MASC;SG
escuros	اونچا	escuro	اونچا	ADJ	ADJ;MASC;SG
escuros	شدید	escuro	شدید	ADJ	ADJ
escuros	گہرا	escuro	گہرا	ADJ	ADJ;NOM;MASC;SG
escuros	ناخواندہ	escuro	ناخواندہ	ADJ	ADJ
escuros	افسردہ	escuro	افسردہ	ADJ	ADJ
escuros	رنجیدہ	escuro	رنجیدہ	ADJ	ADJ
escuros	نامعلوم	escuro	نامعلوم	ADJ	ADJ
escuros	نابلد	escuro	نابلد	ADJ	ADJ
escuros	پراسرار	escuro	پراسرار	ADJ	ADJ
escuros	تاریکی	escuro	تاریکی	ADJ	ADJ
internacionais	واقع	internacional	واقع	ADJ	ADJ
internacionais	مستعمل	internacional	مستعمل	ADJ	ADJ
socio	ساتھی	socio	ساتھی	N	N;NOM;MASC;SG;3
socio	ساتھی	socio	ساتھی	N	N;NOM;MASC;SG;3
socio	صحبت	socio	صحبت	N	N;NOM;FEM;SG;3
extrema	اختتامی.	extremo	اختتامی.	N	N;NOM;MASC;SG;3
escoitarme	ماننا	escoitarme	مان	V	V;MASC;SG;NFIN
escoitarme	سُنایا	escoitarme	سُنا	V	V;PFV;MASC;SG;V.PTCP;ACT
rabia	غصہ	rabia	غصہ	N	N;NOM;MASC;SG;3
rabia	جنگ	rabia	جنگ	N	N;NOM;FEM;SG;3
rabia	طیش	rabia	طیش	N	N;NOM;MASC;SG;3
rabia	ڈانٹ	rabia	ڈانٹ	N	N;NOM;MASC;SG;3
rabia	دور	rabia	دور	N	N;NOM;MASC;SG;3
rabia	ڈانٹ	rabia	ڈانٹ	N	N;NOM;MASC;SG;3
rabia	دور	rabia	دور	N	N;NOM;MASC;SG;3
caros	مہنگا	caro	مہنگا	ADJ	ADJ
católica	جامع	católico	جامع	ADJ	ADJ
buscaba	بننے	buscar	بن	V	V;NFIN
suor	عرق	suor	عرق	N	N;NOM;MASC;SG;3
suor	مشقت	suor	مشقت	N	N;NOM;MASC;SG;3
suor	عرق	suor	عرق	N	N;NOM;MASC;SG;3
suor	پسینہ	suor	پسینہ	N	N;NOM;MASC;SG;3
suor	مشقت	suor	مشقت	N	N;NOM;MASC;SG;3
merca	خریداری	merca	خرید	N	N;NOM;FEM;SG;3
merca	خریداری	merca	خرید	N	N;NOM;FEM;SG;3
recto	نظر	recto	نظر	N	N;NOM;MASC;SG;3
recto	طریقہ.	recto	طریقہ.	N	N;NOM;MASC;SG;3
recto	نظر	recto	نظر	N	N;NOM;MASC;SG;3
recto	طریقہ.	recto	طریقہ.	N	N;NOM;MASC;SG;3
saúda	شرکت	saúda	شرکت	N	N;NOM;MASC;SG;3
falabamos	لگاتار	falabar	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
falabamos	لگاتار	falabar	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
abrazo	معانقہ	abrazo	معانقہ	N	N;NOM;MASC;SG;3
dicircho	کہنا	dicircho	کہہ	V	V;MASC;NFIN
inspección	معائنہ	inspección	معائنہ	N	N;NOM;MASC;SG;3
inspección	جانچ	inspección	جانچ	N	N;NOM;MASC;SG;3
inspección	جائزہ	inspección	جائزہ	N	N;NOM;MASC;SG;3
cambiaches	بدلنا	cambiaches	بدل	V	V;MASC;SG;NFIN;ACT
interesan	چالو	interesar	چالو	V	V;ACT
interesan	چالو	interesar	چالو	V	V;ACT
peitos	چھاتی	peito	چھا	N	N;NOM;FEM;SG;3
baleiras	خالی	baleira	خالی	ADJ	ADJ
furioso	متشدّد.	furioso	متشدّد.	ADJ	ADJ
sacalo	موقع	sacalo	موقع	N	N;NOM;MASC;SG;3
sacalo	موقع	sacalo	موقع	N	N;NOM;MASC;SG;3
sacalo	ڈانٹ	sacalo	ڈانٹ	N	N;NOM;MASC;SG;3
sacalo	دور	sacalo	دور	N	N;NOM;MASC;SG;3
sacalo	ڈانٹ	sacalo	ڈانٹ	N	N;NOM;MASC;SG;3
sacalo	دور	sacalo	دور	N	N;NOM;MASC;SG;3
unida	لگاتار	unir	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
unida	لگاتار	unir	لگاتار	V	V;IPFV;MASC;SG;V.PTCP;ACT
retiro	سبکدوشی	retiro	سبکدوش	N	N;NOM;MASC;SG;3
cranio	کھوپڑی	cranio	کھوپڑی	N	N;NOM;MASC;SG;3
cranio	سر	cranio	سر	N	N;NOM;MASC;SG;3
cranio	کھوپڑی	cranio	کھوپڑی	N	N;NOM;MASC;SG;3
fique	چالو	fique	چالو	V	V;ACT
valentía	ہمت	valentía	ہمت	N	N;NOM;MASC;SG;3
defende	بننے	defender	بن	V	V;NFIN
cheguemos	سیکھنا	cheguer	سیکھ	V	V;SG;NFIN;ACT
cheguemos	سمجھنا	cheguer	سمجھ	V	V;MASC;SG;NFIN;ACT
cheguemos	کمانا	cheguer	کمانا	V	V;MASC;SG;NFIN;ACT
cheguemos	پانا	cheguer	پانا	V	V;SG;NFIN;ACT
cheguemos	سیکھنا	cheguer	سیکھ	V	V;SG;NFIN;ACT
cheguemos	سمجھنا	cheguer	سمجھ	V	V;MASC;SG;NFIN;ACT
cheguemos	کمانا	cheguer	کمانا	V	V;MASC;SG;NFIN;ACT
atoparei	خزانے	atopar	خزانہ	V	V;FIN;ACT
atoparei	لانا	atopar	لا	V	V;MASC;SG;NFIN;ACT
chamarme	جگانا	chamarme	جگا	V	V;MASC;SG;NFIN;ACT
chamarme	رکھنا	chamarme	رکھ	V	V;MASC;SG;NFIN;ACT
chamarme	چیخ	chamarme	چیخ	V	V;ACT
chamarme	سمجھنا	chamarme	سمجھ	V	V;MASC;SG;NFIN;ACT
chamarme	پکار	chamarme	پکار	V	V;SG;ACT
coñeciches	خط	coñeciche	خط	N	N;NOM;MASC;SG;3
pau	مجہول	pau	مجہول	N	N;NOM;MASC;SG;3
pau	مذمت	pau	مذمت	N	N;NOM;MASC;SG;3
filliña	حیرت	filliña	حیرت	N	N;NOM;MASC;SG;3
filliña	خوف	filliña	خوف	N	N;NOM;MASC;SG;3
filliña	حیرت	filliña	حیرت	N	N;NOM;MASC;SG;3
filliña	خوف	filliña	خوف	N	N;NOM;MASC;SG;3
filliña	لڑکی	filliña	لڑکی	N	N;NOM;FEM;SG;3
andabas	دھوکا	andaba	دھوکا	N	N;NOM;MASC;SG;3
andabas	استعداد	andaba	استعداد	N	N;NOM;MASC;SG;3
escribo	لکھنا	escribir	لکھ	V	V;MASC;SG;NFIN;ACT
punk	خام	punk	خام	N	N;NOM;MASC;SG;3
inspiración	اصول	inspiración	اصول	N	N;NOM;MASC;SG;3
inspiración	شخص	inspiración	شخص	N	N;NOM;MASC;SG;3
inspiración	وحی	inspiración	وحی	N	N;NOM;MASC;SG;3
estudamos	پڑھائی	estudar	پڑھا	V	V;PFV;FEM;SG;V.PTCP;ACT
ministerio	مہربانی	ministerio	مہربانی	N	N;NOM;MASC;SG;3
ministerio	عہدہ	ministerio	عہدہ	N	N;NOM;MASC;SG;3
ministerio	مہربانی	ministerio	مہربانی	N	N;NOM;MASC;SG;3
ministerio	دفتر	ministerio	دفتر	N	N;NOM;MASC;SG;3
ministerio	عہدہ	ministerio	عہدہ	N	N;NOM;MASC;SG;3
seguise	بٹھانا	seguir	بٹھا	V	V;MASC;SG;NFIN;ACT
seguise	اتارنا	seguir	اتار	V	V;NFIN;ACT
seguise	پانا	seguir	پانا	V	V;SG;NFIN;ACT
seguise	کھانا	seguir	کھا	V	V;MASC;SG;NFIN;ACT
seguise	سمجھنا	seguir	سمجھ	V	V;MASC;SG;NFIN;ACT
seguise	پکڑنا	seguir	پکڑ	V	V;MASC;SG;NFIN;ACT
