egy	een	egy	een	DET;INDF	DET;INDF
végeredmény	uitkomst	végeredmény	uitkomst	N;NOM;SG	N;MASC+FEM;SG
végeredmény	resultaat	végeredmény	resultaat	N;NOM;SG	N;NEUT;SG
először	eerst	először	eerst	ADV	ADV
szövetség	covenant	szövetség	covenant	N;NOM;SG	N;MASC+FEM;SG
szövetség	convenant	szövetség	convenant	N;NOM;SG	N;NEUT;SG
szövetség	alliance	szövetség	alliance	N;NOM;SG	N;MASC+FEM;SG
szövetség	bondgenootschap	szövetség	bondgenootschap	N;NOM;SG	N;NEUT;SG
szövetség	alliantie	szövetség	alliantie	N;NOM;SG	N;MASC+FEM;SG
szövetség	federatie	szövetség	federatie	N;NOM;SG	N;MASC+FEM;SG
szövetség	vereniging	szövetség	vereniging	N;NOM;SG	N;MASC+FEM;SG
szövetség	associatie	szövetség	associatie	N;NOM;SG	N;MASC+FEM;SG
része	deel	rész	deel	N;NOM;SG	N;NEUT;SG
része	gedeelte	rész	gedeelte	N;NOM;SG	N;NEUT;SG
jobbra	juist	jobbra	juist	ADV	ADV
olimpiai	olympisch	olimpiai	Olympisch	ADJ;NOM;SG	ADJ
nagyon	zeer	nagyon	zeer	ADV	ADV
kis	kleine	kis	klein	ADJ;NOM;SG	ADJ
kis	klein	kis	klein	ADJ;NOM;SG	ADJ
kis	smal	kis	smal	ADJ;NOM;SG	ADJ
kis	kleine	kis	klein	ADJ;NOM;SG	ADJ
kis	klein	kis	klein	ADJ;NOM;SG	ADJ
ott	daar	ott	daar	ADV	ADV
ott	er	ott	er	ADV	ADV
templom	tempel	templom	tempel	N;NOM;SG	N;MASC+FEM;SG
templom	kerk	templom	kerk	N;NOM;SG	N;MASC+FEM;SG
elhunyt	doorgegeven	el+huny	doorgeven	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	geslaagd	el+huny	slagen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
elhunyt	overleden	el+huny	overlijden	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
hivatkozások	verwijzingen	hivatkozás	verwijzing	N;NOM;PL	N;PL
hivatkozások	referenties	hivatkozás	referentie	N;NOM;PL	N;PL
kapott	ontvangen	kap	ontvangen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
római	romeinse	római	romeins	ADJ;NOM;SG	ADJ
római	romeins	római	romein	ADJ;NOM;SG	ADJ
legnagyobb	grootste	nagy	groot	ADJ;NOM;RL;SG	ADJ;RL
legnagyobb	grootste	nagy	groot	ADJ;NOM;RL;SG	ADJ;RL
legnagyobb	grootst	nagy	groot	ADJ;NOM;RL;SG	ADJ;RL
legnagyobb	grootste	nagy	groot	ADJ;NOM;RL;SG	ADJ;RL
óta	sinds	óta	sinds	ADP	ADP
óta	sedert	óta	sedert	ADP	ADP
egyesült	verenigde	egyesül	verenigen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
egyesült	verenigd	egyesül	verenigen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
család	familie	család	familie	N;NOM;SG	N;MASC+FEM;SG
család	gezin	család	gezin	N;NOM;SG	N;NEUT;SG
falu	dorpje	falu	dorp	N;NOM;SG	N;NEUT;SG
falu	dorp	falu	dorp	N;NOM;SG	N;NEUT;SG
neve	naam	név	naam	N;NOM;SG	N;MASC+FEM;SG
bár	hoewel	bár	hoewel	CONJ	CONJ
bár	hoewel	bár	hoewel	CONJ	CONJ
szett	set	szett	set	N;NOM;SG	N;MASC+FEM;SG
készült	gemaakt	készül	maken	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
film	filmpje	film	filmp	N;NOM;SG	N;NEUT;SG
film	film	film	film	N;NOM;SG	N;MASC+FEM;SG
film	film	film	film	N;NOM;SG	N;MASC+FEM;SG
kapcsolódó	verwant	kapcsolódó	verwant	ADJ;NOM;SG	ADJ
kapcsolódó	verwante	kapcsolódó	verwant	ADJ;NOM;SG	ADJ
négy	vier	négy	vier	NUM;NOM;SG	NUM
éve	jaar	év	jaar	N;NOM;SG	N;NEUT;SG
áll	staande	áll	staan	V;INDF;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
áll	staand	áll	staand	V;INDF;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
adott	gegeven	ad	geven	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
adott	gaf	ad	geven	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
györgy	joris	györgy	joris	N;NOM;SG	N;MASC+FEM;SG
györgy	george	györgy	georg	N;NOM;SG	N;MASC+FEM;SG
györgy	györgy	györgy	györgy	N;NOM;SG	N;MASC+FEM;SG
nagyobb	groter	nagy	groot	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	groter	nagy	groot	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	grotere	nagy	groot	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	groter	nagy	groot	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	hogere	nagy	hoog	ADJ;NOM;CMPR;SG	ADJ;CMPR
nagyobb	hoger	nagy	hoog	ADJ;NOM;CMPR;SG	ADJ;CMPR
európai	europese	európai	Europees	ADJ;NOM;SG	ADJ
európai	europees	európai	europees	ADJ;NOM;SG	ADJ
jegyzőkönyv	protocol	jegyzőkönyv	protocol	N;NOM;SG	N;NEUT;SG
őket	hen	ők	hen	PRO;ACC;PL;3	PRO;ACC;3
vett	kocht	vesz	kopen	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
vett	gekocht	vesz	kopen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
károly	károly	károly	károly	N;NOM;SG	N;MASC+FEM;SG
károly	karel	károly	karel	N;NOM;SG	N;MASC+FEM;SG
károly	karl	károly	karl	N;NOM;SG	N;MASC+FEM;SG
bajnokság	kampioenschap	bajnokság	kampioenschap	N;NOM;SG	N;NEUT;SG
bajnokság	toernooi	bajnokság	toernooi	N;NOM;SG	N;NEUT;SG
bajnokság	tournament	bajnokság	tournament	N;NOM;SG	N;MASC+FEM;SG
bajnokság	tornooi	bajnokság	tornooi	N;NOM;SG	N;NEUT;SG
szó	woord	szó	woord	N;NOM;SG	N;NEUT;SG
belül	binnen	belül	binnen	ADP	ADP
belül	binnen	belül	binnen	ADP	ADP
kiadó	uitgeverij	kiadó	uitgeverij	N;NOM;SG	N;MASC+FEM;SG
kiadó	uitgever	kiadó	uitgever	N;NOM;SG	N;MASC+FEM;SG
kiadó	publicatie	kiadó	publicatie	N;NOM;SG	N;MASC+FEM;SG
kiadó	uitgeverij	kiadó	uitgeverij	N;NOM;SG	N;MASC+FEM;SG
wikipédia	wikipedia	wikipédia	wikipedia	N;NOM;SG	N;MASC+FEM;SG
tudományos	wetenschappelijk	tudományos	wetenschappelijk	ADJ;NOM;SG	ADJ
sorozat	serie	sorozat	serie	N;NOM;SG	N;MASC+FEM;SG
sorozat	reeks	sorozat	reeks	N;NOM;SG	N;MASC+FEM;SG
sorozat	serienummer	sorozat	serienummer	N;NOM;SG	N;NEUT;SG
lap	vel	lap	vel	N;NOM;SG	N;NEUT;SG
lap	tijdschrift	lap	tijdschrift	N;NOM;SG	N;NEUT;SG
lap	dagboek	lap	dagboek	N;NOM;SG	N;NEUT;SG
lap	tabblad	lap	tabblad	N;NOM;SG	N;NEUT;SG
lap	tab	lap	tab	N;NOM;SG	N;MASC+FEM;SG
hazai	binnenlands	hazai	binnenlands	ADJ;NOM;SG	ADJ
hazai	huiselijk	hazai	huiselijk	ADJ;NOM;SG	ADJ
hazai	huishoudelijk	hazai	huishoudelijk	ADJ;NOM;SG	ADJ
cikk	artikel	cikk	artikel	N;NOM;SG	N;NEUT;SG
éves	jaarlijks	éves	jaarlijks	ADJ;NOM;SG	ADJ
éves	jaarlijks	éves	jaarlijks	ADJ;NOM;SG	ADJ
száma	nummer	szám	nummer	N;NOM;SG	N;MASC+FEM;SG
száma	aantal	szám	aantal	N;NOM;SG	N;NEUT;SG
száma	getal	szám	getal	N;NOM;SG	N;NEUT;SG
nélkül	zonder	nélkül	zonder	ADP	ADP
csoport	groep	csoport	groep	N;NOM;SG	N;MASC+FEM;SG
csoport	fractie	csoport	fractie	N;NOM;SG	N;MASC+FEM;SG
író	schrijver	író	schrijver	N;NOM;SG	N;MASC+FEM;SG
író	schrijfster	író	schrijfster	N;NOM;SG	N;MASC+FEM;SG
író	auteur	író	auteur	N;NOM;SG	N;MASC+FEM;SG
író	schrijver	író	schrijver	N;NOM;SG	N;MASC+FEM;SG
most	nu	most	nu	ADV	ADV
épült	gebouwde	épül	bouwen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
épült	gebouwd	épül	bouwen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
férfi	male	férfi	maal	N;NOM;SG	N;MASC+FEM;SG
férfi	mannetje	férfi	mannetje	N;NOM;SG	N;NEUT;SG
férfi	man	férfi	man	N;NOM;SG	N;MASC+FEM;SG
szerzett	verkregen	szerzett	verkrijgen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
szerzett	verworven	szerzett	verwerven	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
ember	mens	ember	mens	N;NOM;SG	N;MASC+FEM;SG
ember	man	ember	man	N;NOM;SG	N;MASC+FEM;SG
vissza	terug	vissza	terug	ADV	ADV
egyéb	overig	egyéb	overig		
teljesen	volledig	teljes	volledig	ADJ;FRML;SG	ADJ
teljesen	volledig	teljes	volledig	ADJ;FRML;SG	ADJ
teljesen	compleet	teljes	compleet	ADJ;FRML;SG	ADJ
fontos	belangrijke	fontos	belangrijk	ADJ;NOM;SG	ADJ
fontos	belangrijk	fontos	belangrijk	ADJ;NOM;SG	ADJ
faj	race	faj	race	N;NOM;SG	N;MASC+FEM;SG
faj	ras	faj	ras	N;NOM;SG	N;NEUT;SG
faj	diersoort	faj	diersoort	N;NOM;SG	N;MASC+FEM;SG
faj	soort	faj	soort	N;NOM;SG	N;SG
állt	stond	áll	staan	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
mindig	altijd	mindig	altijd	ADV	ADV
korábban	eerder	korán	eerder	ADV	ADV
korábban	voordien	korán	voordien	ADV	ADV
korábban	voorheen	korán	voorheen	ADV	ADV
korábban	eerder	korán	eerder	ADV	ADV
újra	alweer	újra	alweer	ADV	ADV
újra	opnieuw	újra	opnieuw	ADV	ADV
újra	nogmaals	újra	nogmaals	ADV	ADV
török	turkse	török	turks	ADJ;NOM;SG	ADJ
török	turks	török	turk	ADJ;NOM;SG	ADJ
stadion	stadion	stadion	stadion	N;NOM;SG	N;NEUT;SG
stadion	stadion	stadion	stadion	N;NOM;SG	N;NEUT;SG
stadion	stadium	stadion	stadium	N;NOM;SG	N;NEUT;SG
kisebb	kleiner	kis	klein	ADJ;NOM;CMPR;SG	ADJ;CMPR
kisebb	kleinere	kis	klein	ADJ;NOM;CMPR;SG	ADJ;CMPR
fia	fia	fia	fia	N;NOM;SG	N;MASC+FEM;SG
inkább	liever	inkább	liever	ADV	ADV
álló	stationair	álló	stationair	ADJ;NOM;SG	ADJ
álló	stilstaand	álló	stilstaand	ADJ;NOM;SG	ADJ
álló	stationaire	álló	stationair	ADJ;NOM;SG	ADJ
maradt	verbleef	marad	verblijven	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
maradt	verbleven	marad	verblijven	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
körül	rondom	körül	rondom	ADP	ADP
körül	rond	körül	rond	ADP	ADP
rendező	directeur	rendező	directeur	N;NOM;SG	N;MASC+FEM;SG
rendező	director	rendező	director	N;NOM;SG	N;MASC+FEM;SG
rendező	regisseur	rendező	regisseur	N;NOM;SG	N;MASC+FEM;SG
helyszín	lokatie	helyszín	lokatie	N;NOM;SG	N;MASC+FEM;SG
helyszín	locatie	helyszín	locatie	N;NOM;SG	N;MASC+FEM;SG
helyszín	ligging	helyszín	ligging	N;NOM;SG	N;MASC+FEM;SG
helyszín	site	helyszín	site	N;NOM;SG	N;MASC+FEM;SG
megjelent	verscheen	megjelent	verschijnen	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
megjelent	verschenen	megjelent	verschijnen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
politikai	politieke	politikai	politiek	ADJ;NOM;SG	ADJ
nyelv	tong	nyelv	tong	N;NOM;SG	N;MASC+FEM;SG
nyelv	taal	nyelv	taal	N;NOM;SG	N;MASC+FEM;SG
nyelv	taalgebruik	nyelv	taalgebruik	N;NOM;SG	N;NEUT;SG
háború	oorlog	háború	oorlog	N;NOM;SG	N;MASC+FEM;SG
írt	schreef	ír	schrijven	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
jobb	beter	jó	goed	ADJ;NOM;CMPR;SG	ADJ;CMPR
alá	onder	alá	onder	ADP	ADP
dátum	datum	dátum	datum	N;NOM;SG	N;MASC+FEM;SG
egyetem	universiteit	egyetem	universiteit	N;NOM;SG	N;MASC+FEM;SG
egyetem	college	egyetem	college	N;NOM;SG	N;NEUT;SG
egyetem	hogeschool	egyetem	hogeschool	N;NOM;SG	N;MASC+FEM;SG
egyetem	universiteit	egyetem	universiteit	N;NOM;SG	N;MASC+FEM;SG
hely	plaats	hely	plaats	N;NOM;SG	N;MASC+FEM;SG
hely	lokatie	hely	lokatie	N;NOM;SG	N;MASC+FEM;SG
hely	locatie	hely	locatie	N;NOM;SG	N;MASC+FEM;SG
hely	ligging	hely	ligging	N;NOM;SG	N;MASC+FEM;SG
hasonló	vergelijkbaar	hasonló	vergelijkbaar	ADJ;NOM;SG	ADJ
hasonló	vergelijkbare	hasonló	vergelijkbaar	ADJ;NOM;SG	ADJ
hasonló	soortgelijk	hasonló	soortgelijk	ADJ;NOM;SG	ADJ
hasonló	soortgelijke	hasonló	soortgelijk	ADJ;NOM;SG	ADJ
hasonló	gelijkaardig	hasonló	gelijkaardig	ADJ;NOM;SG	ADJ
lista	lijstje	lista	lijst	N;NOM;SG	N;NEUT;SG
lista	lijst	lista	lijst	N;NOM;SG	N;MASC+FEM;SG
országos	nationaal	országos	nationaal	ADJ;NOM;SG	ADJ
országos	nationale	országos	nationaal	ADJ;NOM;SG	ADJ
katonai	militair	katonai	militair	ADJ;NOM;SG	ADJ
katonai	militaire	katonai	militair	ADJ;NOM;SG	ADJ
utca	straat	utca	straat	N;NOM;SG	N;MASC+FEM;SG
sikerült	beheerde	sikerül	beheren	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
sikerült	beheerd	sikerül	beheren	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	gelukt	sikerül	lukken	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
sikerült	geslaagd	sikerül	slagen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
szám	nummer	szám	nummer	N;NOM;SG	N;MASC+FEM;SG
szám	aantal	szám	aantal	N;NOM;SG	N;NEUT;SG
szám	getal	szám	getal	N;NOM;SG	N;NEUT;SG
újabb	nieuwere	új	nieuw	ADJ;NOM;CMPR;SG	ADJ;CMPR
újabb	nieuwer	új	nieuwer	ADJ;NOM;CMPR;SG	ADJ;CMPR
nap	zon	nap	zon	N;NOM;SG	N;MASC+FEM;SG
nap	dag	nap	dag	N;NOM;SG	N;MASC+FEM;SG
nap	dagje	nap	dag	N;NOM;SG	N;NEUT;SG
változott	veranderde	változik	veranderen	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
változott	gewijzigd	változik	wijzigen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
változott	veranderd	változik	veranderen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
története	verhaal	történet	verhaal	N;NOM;SG	N;NEUT;SG
története	story	történet	story	N;NOM;SG	N;MASC+FEM;SG
vette	nam	vesz	nemen	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
látható	zichtbaar	látható	zichtbaar	ADJ;NOM;SG	ADJ
látható	zichtbare	látható	zichtbaar	ADJ;NOM;SG	ADJ
ellenére	ondanks	ellenére	ondanks	ADP	ADP
múzeum	museum	múzeum	museum	N;NOM;SG	N;NEUT;SG
közben	intussen	közben	intussen	ADV	ADV
közben	ondertussen	közben	ondertussen	ADV	ADV
tartozott	verschuldigd	tartozik	verschuldigd	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
tartozott	behoord	tartozik	behoren	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
tartozott	behoorde	tartozik	behoren	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
forrás	bron	forrás	bron	N;NOM;SG	N;MASC+FEM;SG
forrás	hulpbron	forrás	hulpbron	N;NOM;SG	N;MASC+FEM;SG
forrás	resource	forrás	resource	N;NOM;SG	N;MASC+FEM;SG
html	html	html	html	N;NOM;SG	N;MASC+FEM;SG
név	naam	név	naam	N;NOM;SG	N;MASC+FEM;SG
dolgozott	werkte	dolgozik	werken	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
dolgozott	gewerkt	dolgozik	werken	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
kupa	kopje	kupa	kopje	N;NOM;SG	N;NEUT;SG
kupa	beker	kupa	beker	N;NOM;SG	N;MASC+FEM;SG
játszott	gespeelde	játszik	spelen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
játszott	speelde	játszik	spelen	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
játszott	afgespeeld	játszik	afspelen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
játszott	gespeeld	játszik	spelen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
terület	grondgebied	terület	grondgebied	N;NOM;SG	N;NEUT;SG
terület	territorium	terület	territorium	N;NOM;SG	N;NEUT;SG
terület	gebied	terület	gebied	N;NOM;SG	N;NEUT;SG
terület	oppervlakte	terület	oppervlakte	N;NOM;SG	N;MASC+FEM;SG
végzett	afgestudeerd	végez	afstuderen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
végzett	geslaagd	végez	slagen	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
herceg	duke	herceg	duk	N;NOM;SG	N;MASC+FEM;SG
herceg	hertog	herceg	hertog	N;NOM;SG	N;MASC+FEM;SG
herceg	prince	herceg	prince	N;NOM;SG	N;MASC+FEM;SG
herceg	prins	herceg	prins	N;NOM;SG	N;MASC+FEM;SG
magas	hoog	magas	hoog	ADJ;NOM;SG	ADJ
magas	hoge	magas	hoog	ADJ;NOM;SG	ADJ
színház	bioscoop	színház	bioscoop	N;NOM;SG	N;MASC+FEM;SG
színház	theater	színház	theater	N;NOM;SG	N;NEUT;SG
színház	theater	színház	theater	N;NOM;SG	N;NEUT;SG
köztársaság	republiek	köztársaság	republiek	N;NOM;SG	N;MASC+FEM;SG
vendég	klant	vendég	klant	N;NOM;SG	N;MASC+FEM;SG
vendég	afnemer	vendég	afnemer	N;NOM;SG	N;MASC+FEM;SG
vendég	gast	vendég	gast	N;NOM;SG	N;MASC+FEM;SG
zoltán	zoltan	zoltán	zoltan	N;NOM;SG	N;MASC+FEM;SG
zoltán	zoltán	zoltán	zolt	N;NOM;SG	N;MASC+FEM;SG
oldal	bladzijde	oldal	bladzijde	N;NOM;SG	N;MASC+FEM;SG
oldal	pagina	oldal	pagina	N;NOM;SG	N;MASC+FEM;SG
idő	tijd	idő	tijd	N;NOM;SG	N;MASC+FEM;SG
rendszer	systeem	rendszer	systeem	N;NOM;SG	N;NEUT;SG
rendszer	stelsel	rendszer	stelsel	N;NOM;SG	N;NEUT;SG
mikor	wanneer	mikor	wanneer	ADV	ADV
írta	geschreven	ír	schrijven	V;DEF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
írta	schreef	ír	schrijven	V;DEF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
album	album	album	album	N;NOM;SG	N;NEUT;SG
református	hervormde	református	hervormen	N;NOM;SG	N;MASC+FEM;SG
tanár	leraar	tanár	leraar	N;NOM;SG	N;MASC+FEM;SG
tanár	onderwijzer	tanár	onderwijzer	N;NOM;SG	N;MASC+FEM;SG
tanár	docent	tanár	docent	N;NOM;SG	N;MASC+FEM;SG
tanár	leerkracht	tanár	leerkracht	N;NOM;SG	N;MASC+FEM;SG
tanár	lerares	tanár	lerares	N;NOM;SG	N;MASC+FEM;SG
szerkesztő	uitgever	szerkesztő	uitgever	N;NOM;SG	N;MASC+FEM;SG
szerkesztő	hoofdredacteur	szerkesztő	hoofdredacteur	N;NOM;SG	N;MASC+FEM;SG
szerkesztő	redacteur	szerkesztő	redacteur	N;NOM;SG	N;MASC+FEM;SG
szerkesztő	editor	szerkesztő	editor	N;NOM;SG	N;MASC+FEM;SG
szerkesztő	bewerker	szerkesztő	bewerker	N;NOM;SG	N;MASC+FEM;SG
gazdasági	economische	gazdasági	economisch	ADJ;NOM;SG	ADJ
gazdasági	economisch	gazdasági	economisch	ADJ;NOM;SG	ADJ
élt	woonde	él	wonen	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
élt	leefde	él	leven	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;PST;FIN
méter	meter	méter	meter	N;NOM;SG	N;MASC+FEM;SG
méter	meter	méter	meter	N;NOM;SG	N;MASC+FEM;SG
méter	meter	méter	meter	N;NOM;SG	N;MASC+FEM;SG
méter	meter	méter	meter	N;NOM;SG	N;MASC+FEM;SG
színész	actor	színész	actor	N;NOM;SG	N;MASC+FEM;SG
színész	acteur	színész	acteur	N;NOM;SG	N;MASC+FEM;SG
ház	huis	ház	huis	N;NOM;SG	N;NEUT;SG
