for	для	for	для	ADP	ADP;GEN
havde	мав	have	мати	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
under	нижче	under	нижче	ADV	ADV;CMPR
under	знизу	under	знизу	ADV	ADV
over	вище	over	вище	ADV	ADV;CMPR
første	перша	første	перший	ADJ	ADJ;NOM;FEM;SG
første	перший	første	перший	ADJ	ADJ;NOM;MASC;SG
henvisninger	посилання	henvisning	посилання	N;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;PL
dansk	данська	dansk	данський	ADJ;INDF;SG	ADJ;NOM;FEM;SG
mod	мужність	mod	мужність	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
hun	вона	hun	вона	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;FEM;SG;3
del	частина	del	частина	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
del	акція	del	акція	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
del	поширення	del	поширення	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
født	народився	føde	народитися	V;INDF;SG;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN
født	народилась	føde	народитися	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
født	народилася	føde	народитися	V;INDF;SG;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN
mellem	між	mellem	між	ADP	ADP;INS
deres	своїх	deres	свій	DET;3	DET;ANIM;ACC;PL;REFL
deres	свої	deres	свій	DET;3	DET;NOM;PL;REFL
deres	їхнє	deres	їхній	DET;3	DET;NOM;NEUT;SG;3
deres	їхнє	deres	їхній	DET;3	DET;NOM;NEUT;SG;3
deres	їхні	deres	їхній	DET;3	DET;NOM;PL;3
team	команда	team	команда	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
kunne	зміг	kunne	змогти	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
kunne	могла	kunne	могти	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
kunne	змогли	kunne	змогти	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
kunne	вдалось	kunne	вдатися	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
kunne	міг	kunne	могти	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
senere	згодом	senere	згодом	ADV;CMPR	ADV
senere	пізніше	senere	пізніше	ADV;CMPR	ADV;CMPR
tidligere	раніше	tidligere	раніше	ADV;CMPR	ADV;CMPR
tidligere	раніше	tidligere	раніше	ADV;CMPR	ADV;CMPR
siden	відтоді	siden	відтоді	ADV	ADV
skal	мусить	skulle	мусити	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
skal	має	skulle	мати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
have	маю	have	мати	V;NFIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
have	маєш	have	мати	V;NFIN;ACT	V;IPFV;IND;SG;2;PRS;FIN
mere	більше	mere	більше	ADV;CMPR	ADV;CMPR
store	великі	stor	великий	ADJ;PL	ADJ;NOM;PL
store	великих	stor	великий	ADJ;PL	ADJ;ANIM;ACC;PL
store	великі	stor	великий	ADJ;PL	ADJ;NOM;PL
været	був	være	бути	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
været	було	være	бути	V;INDF;SG;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN
sammen	разом	sammen	разом	ADV	ADV
bliver	залишаюся	blive	залишатися	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
bliver	перебуваючи	blive	перебувати	V;IND;PRS;FIN;ACT	V;IPFV;PRS;V.CVB
samme	однаковий	samme	однаковий	ADJ	ADJ;NOM;MASC;SG
samme	однакові	samme	однаковий	ADJ	ADJ;NOM;PL
vil	вимагаємо	ville	вимагати	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;1;PRS;FIN
vil	хочу	ville	хотіти	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
vil	хочеш	ville	хотіти	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN
ham	нього	han	він	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;MASC;SG;3
ham	його	han	він	PRO;ACC;MASC+FEM;SG;3	PRO;ACC;MASC;SG;3
omkring	приблизно	omkring	приблизно	ADV	ADV
omkring	довкола	omkring	довкола	ADV	ADV
kom	приїхала	komme	приїхати	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
kom	приїхав	komme	приїхати	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
kom	прилетіли	komme	прилетіти	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
kom	зайшла	komme	зайти	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
kom	прийшло	komme	прийти	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
kom	прийшов	komme	прийти	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
tre	три	tre	три	NUM	NUM;NOM
blandt	серед	blandt	серед	ADP	ADP;GEN
blandt	серед	blandt	серед	ADP	ADP;GEN
byen	містечко	by	містечко	N;DEF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
byen	місто	by	місто	N;DEF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
byen	місто	by	місто	N;DEF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
nogle	дехто	nogen	дехто	PRO;PL	PRO;ANIM;NOM
maj	травня	maj	травень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
maj	травень	maj	травень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
dag	день	dag	день	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
dag	дню	dag	день	N;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG
dag	дня	dag	день	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
her	тут	her	тут	ADV	ADV
tilbage	назад	tilbage	назад	ADV	ADV
tilbage	ззаду	tilbage	ззаду	ADV	ADV
kommune	муніципалітет	kommune	муніципалітет	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
kommune	край	kommune	край	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
død	смерть	død	смерть	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
dem	їх	de	вони	PRO;ACC;PL;3	PRO;ACC;PL;3
findes	існують	findes	існувати	V;IND;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
findes	існує	findes	існувати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
findes	існує	findes	існувати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
august	серпня	august	серпень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
august	серпень	august	серпень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
gang	тайм	gang	тайм	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
gang	час	gang	час	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
forskellige	різні	forskellig	різний	ADJ;PL	ADJ;NOM;PL
forskellige	різних	forskellig	різний	ADJ;PL	ADJ;ACC;PL
forskellige	відмінні	forskellig	відмінний	ADJ;PL	ADJ;NOM;PL
forskellige	різноманітні	forskellig	різноманітний	ADJ;PL	ADJ;NOM;PL
forskellige	різні	forskellig	різний	ADJ;PL	ADJ;NOM;PL
tid	тайм	tid	тайм	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
tid	час	tid	час	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
nye	нові	ny	новий	ADJ;PL	ADJ;NOM;PL
januar	січень	januar	січеня	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
januar	січня	januar	січень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
gennem	наскрізь	gennem	наскрізь	ADV	ADV
stor	велике	stor	великий	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
stor	велика	stor	великий	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
stor	великий	stor	великий	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
stor	великий	stor	великий	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
hold	затримати	holde	затримати	V;IMP	V;PFV;NFIN
hold	тримай	holde	тримай	V;IMP	V;IPFV;IMP;SG;2;FIN
juni	червня	juni	червень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
juni	червень	juni	червень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
kendt	відома	kendt	відомий	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kendt	відоме	kendt	відомий	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
kendt	відома	kendt	відомий	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kendt	відомий	kendt	відомий	ADJ;INDF;SG	ADJ;NOM;MASC;SG
kendt	знаменитий	kendt	знаменитий	ADJ;INDF;SG	ADJ;NOM;MASC;SG
sogn	парафія	sogn	парафія	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
september	вересня	september	вересень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
september	вересень	september	вересень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
mest	найцікавіше	mest	найцікавіше	ADV;RL	ADV;RL
april	квітень	april	квітень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
april	квітня	april	квітень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
oktober	жовтень	oktober	жовтень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
oktober	жовтня	oktober	жовтень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
marts	березень	marts	березень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
marts	березня	marts	березень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
hele	цілу	hel	цілий	ADJ;DEF;SG	ADJ;ACC;FEM;SG
hele	цілий	hel	цілий	ADJ;DEF;SG	ADJ;NOM;MASC;SG
hele	ціла	hel	цілий	ADJ;DEF;SG	ADJ;NOM;FEM;SG
juli	липень	juli	липень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
juli	липня	juli	липень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
kirke	церква	kirke	церква	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
kirke	костел	kirke	костел	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
række	рядок	række	рядок	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
derfor	тому	derfor	тому	ADV	ADV
navn	назва	navn	назва	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
ofte	часто	ofte	часто	ADV	ADV
ofte	часто	ofte	часто	ADV	ADV
november	листопаді	november	листопад	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
november	листопад	november	листопад	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
november	листопада	november	листопад	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
december	грудень	december	грудень	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
december	грудня	december	грудень	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
først	перше	først	перше	ADV	ADV
mål	призначення	mål	призначення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
mål	ціль	mål	ціль	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
mål	ціллю	mål	цілий	N;INDF;NEUT;SG	N;INAN;INS;FEM;SG
mål	ціль	mål	ціль	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
mål	мета	mål	мета	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
mål	мета	mål	мета	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
film	фільми	film	фільм	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
film	фільмів	film	фільм	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
film	фільми	film	фільм	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
sidste	останній	sidste	останній	ADJ	ADJ;NOM;MASC;SG
sidste	остання	sidste	останній	ADJ	ADJ;NOM;FEM;SG
sidste	останнє	sidste	останній	ADJ	ADJ;NOM;NEUT;SG
blive	стануть	blive	стати	V;NFIN;ACT	V;PFV;IND;PL;3;FUT;FIN
blive	стати	blive	стати	V;NFIN;ACT	V;PFV;NFIN
blive	стають	blive	ставати	V;NFIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
noget	щось	nogen	щось	PRO;NEUT;SG	PRO;INAN;NOM;NEUT;SG
noget	чимось	nogen	щось	PRO;NEUT;SG	PRO;INAN;INS;NEUT;SG
gik	поїхала	gå	поїхати	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
gik	ходив	gå	ходити	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
gik	поїхав	gå	поїхати	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
gik	йшли	gå	йти	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
gik	йшов	gå	йти	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
februar	лютому	februar	лютий	N;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG
februar	лютого	februar	лютий	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;SG
fire	чотирьох	fire	чотири	NUM	NUM;NOM
fire	чотири	fire	чотири	NUM	NUM;NOM
vandt	переміг	vinde	перемогти	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
vandt	виграв	vinde	виграти	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
vandt	виграли	vinde	виграти	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
mindre	менше	mindre	менше	ADV;CMPR	ADV;CMPR
mindre	менше	mindre	менше	ADV;CMPR	ADV;CMPR
største	найбільші	stor	найбільший	ADJ;DEF;RL	ADJ;NOM;RL;PL
største	найбільша	stor	найбільший	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
største	найбільшу	stor	найбільший	ADJ;DEF;RL	ADJ;ACC;RL;FEM;SG
største	найбільшим	stor	найбільший	ADJ;DEF;RL	ADJ;INS;RL;NEUT;SG
største	найбільших	stor	найбільший	ADJ;DEF;RL	ADJ;GEN;RL;PL
største	найбільші	stor	найбільший	ADJ;DEF;RL	ADJ;NOM;RL;PL
største	найбільша	stor	найбільший	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
hjemmeside	сайті	hjemmeside	сайт	N;INDF;MASC+FEM;SG	N;INAN;DAT;MASC;SG
hjemmeside	сайт	hjemmeside	сайт	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
side	сторінку	side	сторінка	N;INDF;MASC+FEM;SG	N;INAN;ACC;FEM;SG
side	сторінка	side	сторінка	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
side	сторона	side	сторона	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
side	бік	side	бік	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
medlem	член	medlem	член	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
medlem	учасник	medlem	учасник	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
medlem	учасника	medlem	учасник	N;INDF;NEUT;SG	N;ANIM;ACC;MASC;SG
medlem	члена	medlem	член	N;INDF;NEUT;SG	N;ANIM;ACC;MASC;SG
større	більший	stor	більший	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
større	більшого	stor	більший	ADJ;CMPR	ADJ;GEN;CMPR;MASC;SG
større	більший	stor	більший	ADJ;CMPR	ADJ;NOM;CMPR;MASC;SG
spillede	грали	spille	грати	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
spillede	грала	spille	грати	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
spillede	грав	spille	грати	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
igen	знов	igen	знов	ADV	ADV
igen	знову	igen	знову	ADV	ADV
søn	сина	søn	син	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
søn	сину	søn	син	N;INDF;MASC+FEM;SG	N;ANIM;VOC;MASC;SG
søn	син	søn	син	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
grund	причина	grund	причина	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
grund	привід	grund	привід	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
tog	взяли	tage	взяти	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
tog	забрали	tage	забрати	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
tog	взяв	tage	взяти	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
tog	забрала	tage	забрати	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
tog	забрав	tage	забрати	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
amerikansk	американський	amerikansk	американський	ADJ;INDF;SG	ADJ;NOM;MASC;SG
amerikansk	американська	amerikansk	американський	ADJ;INDF;SG	ADJ;NOM;FEM;SG
amerikansk	американської	amerikansk	американський	ADJ;INDF;SG	ADJ;GEN;FEM;SG
lille	малий	lille	малий	ADJ;SG	ADJ;NOM;MASC;SG
lille	маленька	lille	маленький	ADJ;SG	ADJ;NOM;FEM;SG
lille	маленький	lille	маленький	ADJ;SG	ADJ;NOM;MASC;SG
nord	північ	nord	північ	N;INDF	N;INAN;NOM;FEM;SG
kort	короткий	kort	короткий	ADJ;INDF;SG	ADJ;NOM;MASC;SG
kort	коротка	kort	короткий	ADJ;INDF;SG	ADJ;NOM;FEM;SG
kort	коротке	kort	короткий	ADJ;INDF;SG	ADJ;NOM;NEUT;SG
artikler	статті	artikel	стаття	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;PL
artikler	статтями	artikel	стаття	N;INDF;MASC+FEM;PL	N;INAN;INS;FEM;PL
artikler	статей	artikel	стаття	N;INDF;MASC+FEM;PL	N;INAN;GEN;FEM;PL
begyndte	почалося	begynde	початися	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
begyndte	почалось	begynde	початися	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
begyndte	почали	begynde	почати	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
begyndte	розпочато	begynde	розпочати	V;IND;PST;FIN;ACT	V;PFV;IND;0;FIN
begyndte	почався	begynde	початися	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
begyndte	почалось	begynde	початися	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
begyndte	почався	begynde	початися	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
udgivet	випущено	udgive	випустити	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;FIN
udgivet	оприлюднено	udgive	оприлюднити	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;FIN
udgivet	опубліковано	udgive	опубліковано	V;INDF;SG;PST;V.PTCP	V;PFV;IND;0;FIN
helt	цілком	helt	цілком	ADV	ADV
helt	повністю	helt	повністю	ADV	ADV
gamle	старі	gammel	старий	ADJ;PL	ADJ;NOM;PL
gange	часи	gang	час	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
bedste	найкраща	god	найкращий	ADJ;DEF;RL	ADJ;NOM;RL;FEM;SG
bedste	найкращі	god	найкращий	ADJ;DEF;RL	ADJ;NOM;RL;PL
amerikanske	американські	amerikansk	американський	ADJ;PL	ADJ;NOM;PL
tysk	німецька	tysk	німецький	ADJ;INDF;SG	ADJ;NOM;FEM;SG
tysk	німецькою	tysk	німецький	ADJ;INDF;SG	ADJ;INS;FEM;SG
tysk	німецький	tysk	німецький	ADJ;INDF;SG	ADJ;NOM;MASC;SG
meter	метрах	meter	метр	N;INDF;MASC+FEM;PL	N;INAN;ESS;MASC;PL
meter	метрів	meter	метр	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
meter	метри	meter	метр	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
meter	метрів	meter	метр	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
meter	метри	meter	метр	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
gruppe	група	gruppe	група	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
gruppe	групу	gruppe	група	N;INDF;MASC+FEM;SG	N;INAN;ACC;FEM;SG
gruppe	спільнота	gruppe	спільнота	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
stedet	місце	sted	місце	N;DEF;NEUT;SG	N;INAN;NOM;NEUT;SG
lige	прямо	lige	прямо	ADV	ADV
spillet	грала	spille	грати	V;INDF;SG;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN
spillet	грав	spille	грати	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN
allerede	уже	allerede	уже	ADV	ADV
allerede	вже	allerede	вже	ADV	ADV
historie	історія	historie	історія	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
historie	сюжет	historie	сюжет	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
historie	розповідь	historie	розповідь	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
historie	публікація	historie	публікація	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
historie	журнал	historie	журнал	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
historie	історія	historie	історія	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
engelsk	англійською	engelsk	англійський	ADJ;INDF;SG	ADJ;INS;FEM;SG
engelsk	англійська	engelsk	англійський	ADJ;INDF;SG	ADJ;NOM;FEM;SG
århundrede	сторіччя	århundrede	сторіччя	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
århundrede	століття	århundrede	століття	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
århundrede	ст	århundrede	ст.	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
århundrede	століття	århundrede	століття	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
stadig	ще	stadig	ще	ADV	ADV
stadig	надалі	stadig	надалі	ADV	ADV
stadig	досі	stadig	досі	ADV	ADV
sted	місце	sted	місце	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
sted	розміщення	sted	розміщення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
sted	місцезнаходження	sted	місцезнаходження	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
sted	локація	sted	локація	N;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
sted	місце	sted	місце	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
sted	розташування	sted	розташування	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
gift	одружена	gift	одружений	ADJ;INDF;SG	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
gift	одружений	gift	одружений	ADJ;INDF;SG	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
center	центр	center	центр	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
center	центр	center	центр	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
forhold	коефіцієнт	forhold	коефіцієнт	N;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
forhold	співвідношення	forhold	співвідношення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
forhold	взаємовідношення	forhold	взаємовідношення	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;SG
spiller	грає	spille	грати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
spiller	відтворює	spille	відтворювати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
spiller	грає	spille	грати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
kommer	приходить	komme	приходити	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
kommer	іду	komme	іти	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
kommer	наближається	komme	наближатися	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
især	особливо	især	особливо	ADV	ADV
især	особливо	især	особливо	ADV	ADV
kampe	матчів	kamp	матч	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;PL
kampe	сірники	kamp	сірник	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
kampe	поєдинки	kamp	поєдинка	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;PL
kampe	бої	kamp	бій	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
kampe	образи	kamp	образ	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;PL
