蛍光	fluoresenssi	蛍光	fluoresyn	N	N;NOM;SG
チャネル	kanavalla	チャネル	kanava	N	N;AT+ESS
;SG
チャネル	kanavan	チャネル	kanava	N	N;GEN;SG
鋭い	terävää	鋭い	terävä	ADJ	ADJ;PRT;SG
鋭い	terävä	鋭い	terävä	ADJ	ADJ;NOM;SG
鋭い	terävät	鋭い	terävä	ADJ	ADJ;NOM;PL
お茶	tea	お茶	tea	N	N;NOM;SG
お茶	teetä	お茶	tee	N	N;PRT;SG
ダイナマイト	dynamiittia	ダイナマイト	dynamiitti	N	N;PRT;SG
飲む	juo	飲む	juoda	V	V;IMP;SG;2;FIN;ACT
飲む	juoda	飲む	juoda	V	V;SG;NFIN;ACT
飲む	juo	飲む	juoda	V	V;IMP;SG;2;FIN;ACT
飲む	juoda	飲む	juoda	V	V;SG;NFIN;ACT
オークション	huutokauppa	オークション	huuto#kauppa	N	N;NOM;SG
オークション	huutokaupan	オークション	huuto#kauppa	N	N;GEN;SG
オークション	huutokaupassa	オークション	huuto#kauppa	N	N;IN+ESS;SG
産卵	kutu	産卵	kutu	N	N;NOM;SG
トラップ	ansa	トラップ	ansa	N	N;NOM;SG
トラップ	ansoja	トラップ	ansa	N	N;PRT;PL
同値	vastaavuutta	同値	vastaavuus	N	N;PRT;SG
同値	vastaavuus	同値	vastaavuus	N	N;NOM;SG
同値	vastaavuuden	同値	vastaavuus	N	N;GEN;SG
プリズム	prisma	プリズム	prisma	N	N;NOM;SG
フェアリー	keiju	フェアリー	keiju	N	N;NOM;SG
ポット	pata	ポット	pata	N	N;NOM;SG
ポット	potti	ポット	potti	N	N;NOM;SG
ポット	pilveä	ポット	pilveä	N	N;PRT;SG
カルト	kultti	カルト	kultti	N	N;NOM;SG
家事	siivooja	家事	siivooja	N	N;NOM;SG
消える	katoavan	消える	kadota	V	V;GEN;SG;V.PTCP;ACT
消える	katoavat	消える	kadota	V	V;IND;PL;3;PRS;FIN;ACT
消える	katoaa	消える	kadota	V	V;IND;SG;3;PRS;FIN;ACT
消える	kadota	消える	kadota	V	V;SG;NFIN;ACT
消える	katoa	消える	kadota	V	V;IMP;SG;2;FIN;ACT
テンション	jännitys	テンション	jännitys	N	N;NOM;SG
テンション	jännite	テンション	jännite	N	N;NOM;SG
テンション	jännitteitä	テンション	jännite	N	N;PRT;PL
テンション	jännitteet	テンション	jännite	N	N;NOM;PL
フォーカス	keskittyminen	フォーカス	keskittyminen	N	N;NOM;SG
ウエスタン	länsi	ウエスタン	länteä	N	N;NOM;SG
酢酸	asetaatti	酢酸	asetaatti	N	N;NOM;SG
スタンプ	leima	スタンプ	leima	N	N;NOM;SG
スタンプ	tarroja	スタンプ	tarra	N	N;PRT;PL
スタンプ	tarra	スタンプ	tarra	N	N;NOM;SG
スタンプ	stump	スタンプ	stump	N	N;NOM;SG
おいしい	herkullinen	おいしい	herkullinen	ADJ	ADJ;NOM;SG
スリップ	livahtaa	スリップ	livahtaa	V	V;IND;SG;3;PRS;FIN;ACT
ハンドブック	käsikirjan	ハンドブック	käsi#kirja	N	N;GEN;SG
ハンドブック	käsikirja	ハンドブック	käsi#kirja	N	N;NOM;SG
パッド	kämppä	パッド	kämppä	N	N;NOM;SG
マナー	etiketti	マナー	etiketti	N	N;NOM;SG
マナー	tapoja	マナー	tapa	N	N;PRT;PL
マナー	tavat	マナー	tavata	N	N;NOM;PL
太陽光	auringonvaloa	太陽光	auringon#valo	N	N;PRT;SG
タイル	laatta	タイル	laatta	N	N;NOM;SG
タイル	laatat	タイル	laattaa	N	N;NOM;PL
螺旋	helix	螺旋	helix	N	N;NOM;SG
レジスタ	rekisterit	レジスタ	rekisteri	N	N;NOM;PL
レジスタ	rekisterien	レジスタ	rekisteri	N	N;GEN;PL
レジスタ	rekisteriin	レジスタ	rekisteri	N	N;IN+ALL;SG
レジスタ	rekisteri	レジスタ	rekisteri	N	N;NOM;SG
ブーツ	boot	ブーツ	boot	N	N;NOM;SG
ブーツ	saappaat	ブーツ	saapas	N	N;NOM;PL
出版物	julkaisuja	出版物	julkaisu	N	N;PRT;PL
出版物	julkaisut	出版物	julkaisu	N	N;NOM;PL
出版物	julkaiseminen	出版物	julkaiseminen	N	N;NOM;SG
出版物	julkaisu	出版物	julkaisu	N	N;NOM;SG
連帯	solidaarisuus	連帯	solidaarisuus	N	N;NOM;SG
連帯	solidaarisuutta	連帯	solidaarisuus	N	N;PRT;SG
メイキング	tekeminen	メイキング	tekeminen	N	N;NOM;SG
メイキング	tekoa	メイキング	teko	N	N;PRT;SG
エフェクト	seuraukset	エフェクト	seuraus	N	N;NOM;PL
エフェクト	vaikutus	エフェクト	vaikutus	N	N;NOM;SG
エフェクト	vaikutuksia	エフェクト	vaikutus	N	N;PRT;PL
エフェクト	vaikutukset	エフェクト	vaikutus	N	N;NOM;PL
エフェクト	vaikutusta	エフェクト	vaikutus	N	N;PRT;SG
エフェクト	vaikutus	エフェクト	vaikutus	N	N;NOM;SG
エフェクト	seuraus	エフェクト	seuraus	N	N;NOM;SG
エフェクト	vaikutukset	エフェクト	vaikutus	N	N;NOM;PL
教職員	tiedekunnan	教職員	tiede#kunta	N	N;GEN;SG
結核	tuberkuloosin	結核	tuber#kuloosi	N	N;GEN;SG
結核	tuberkuloosi	結核	tuber#kuloosi	N	N;NOM;SG
コバルト	koboltti	コバルト	koboltti	N	N;NOM;SG
ソフトボール	softball	ソフトボール	softball	N	N;NOM;SG
欠陥	vika	欠陥	vika	N	N;NOM;SG
コブラ	cobra	コブラ	cobra	N	N;NOM;SG
グリル	grilli	グリル	grilli	N	N;NOM;SG
グリル	grillin	グリル	grilli	N	N;GEN;SG
脂肪	rasvaa	脂肪	rasva	N	N;PRT;SG
脂肪	rasva	脂肪	rasva	N	N;NOM;SG
脂肪	läski	脂肪	läski	N	N;NOM;SG
眠る	nuku	眠る	nukkua	V	V;IMP;SG;2;FIN;ACT
眠る	nukkua	眠る	nukkua	V	V;SG;NFIN;ACT
迫害	vainotaan	迫害	vainotta	V	V;IND;PRS;FIN;PASS
手数	komission	手数	komissio	N	N;GEN;SG
手数	komissio	手数	komissio	N	N;NOM;SG
手数	maksu	手数	maksu	N	N;NOM;SG
手数	palkkio	手数	palkkio	N	N;NOM;SG
手数	maksua	手数	maksu	N	N;PRT;SG
手数	maksuja	手数	maksu	N	N;PRT;PL
手数	maksut	手数	maksu	N	N;NOM;PL
手数	palkkiot	手数	palkkio	N	N;NOM;PL
バドミントン	sulkapallo	バドミントン	sulka#pallo	N	N;NOM;SG
陶器	keramiikka	陶器	keramiikka	N	N;NOM;SG
スクリプト	skriptit	スクリプト	skripti	N	N;NOM;PL
スクリプト	käsikirjoitus	スクリプト	käsi#kirjoitus	N	N;NOM;SG
トライアングル	kolmion	トライアングル	kolmio	N	N;GEN;SG
トライアングル	kolmio	トライアングル	kolmio	N	N;NOM;SG
溶岩	laavaa	溶岩	laava	N	N;PRT;SG
フィニッシュ	loppuun	フィニッシュ	loppu	N	N;IN+ALL;SG
フン	hun	フン	hun	N	N;NOM;SG
ハス	lotus	ハス	lotus	N	N;NOM;SG
ハング	hirteen	ハング	hirre	N	N;IN+ALL;SG
流体	nestettä	流体	neste	N	N;PRT;SG
流体	nesteen	流体	neste	N	N;GEN;SG
流体	nesteiden	流体	nesti	N	N;GEN;PL
流体	nesteet	流体	neste	N	N;NOM;PL
流体	nesteitä	流体	neste	N	N;PRT;PL
チューブ	putken	チューブ	putki	N	N;GEN;SG
チューブ	putki	チューブ	putki	N	N;NOM;SG
チューブ	letku	チューブ	letku	N	N;NOM;SG
ヒゲ	parrat	ヒゲ	parra	N	N;NOM;PL
林業	metsätalouden	林業	metsä#talous	N	N;GEN;SG
林業	metsätalous	林業	metsä#talous	N	N;NOM;SG
変装	naamioitu	変装	naamioida	V	V;NOM;SG;V.PTCP;PASS
軍需	aseistus	軍需	aseistus	N	N;NOM;SG
シグナル	signaalit	シグナル	signaali	N	N;NOM;PL
シグナル	signaaleja	シグナル	signaali	N	N;PRT;PL
シグナル	signaalin	シグナル	signaali	N	N;GEN;SG
シグナル	signaali	シグナル	signaali	N	N;NOM;SG
オリーブ	oliivien	オリーブ	olla	N	N;GEN;PL
オリーブ	oliiveja	オリーブ	oliivi	N	N;PRT;PL
面接	haastatteluun	面接	haastattelu	N	N;IN+ALL;SG
面接	haastattelussa	面接	haastattelu	N	N;IN+ESS;SG
面接	haastattelun	面接	haastattelu	N	N;GEN;SG
面接	haastattelu	面接	haastattelu	N	N;NOM;SG
ダイエット	ruokavalio	ダイエット	ruoka#valio	N	N;NOM;SG
ダイエット	ruokavaliota	ダイエット	ruoka#valio	N	N;PRT;SG
信念	uskomuksia	信念	uskomus	N	N;PRT;PL
ワイヤー	lanka	ワイヤー	lanka	N	N;NOM;SG
ワイヤー	johtoja	ワイヤー	johto	N	N;PRT;PL
ワイヤー	johdot	ワイヤー	johto	N	N;NOM;PL
バレル	piippu	バレル	piippu	N	N;NOM;SG
バレル	tynnyri	バレル	tynnyri	N	N;NOM;SG
審判	tuomari	審判	tuomari	N	N;NOM;SG
スレッド	keskustelua	スレッド	keskustelu	N	N;PRT;SG
スレッド	keskustelu	スレッド	keskustelu	N	N;NOM;SG
スレッド	keskustelun	スレッド	keskustelu	N	N;GEN;SG
スレッド	säikeet	スレッド	säie	N	N;NOM;PL
スレッド	lanka	スレッド	lanka	N	N;NOM;SG
スレッド	lankaa	スレッド	langa	N	N;PRT;SG
スレッド	keskustelut	スレッド	keskustelu	N	N;NOM;PL
スレッド	keskusteluja	スレッド	keskustelu	N	N;PRT;PL
桟橋	laiturille	桟橋	laituri	N	N;AT+ALL;SG
桟橋	laituri	桟橋	laituri	N	N;NOM;SG
亜鉛	sinkki	亜鉛	sinkki	N	N;NOM;SG
語彙	sanasto	語彙	sanasto	N	N;NOM;SG
コーディネーター	koordinaattori	コーディネーター	koordinaattori	N	N;NOM;SG
充電	lataus	充電	lataus	N	N;NOM;SG
充電	syyte	充電	syyte	N	N;NOM;SG
ワクチン	rokotteet	ワクチン	rokote	N	N;NOM;PL
ワクチン	rokotteiden	ワクチン	rokote	N	N;GEN;PL
ワクチン	rokote	ワクチン	rokote	N	N;NOM;SG
ワクチン	rokotteen	ワクチン	rokote	N	N;GEN;SG
ワクチン	rokotetta	ワクチン	rokote	N	N;PRT;SG
ワクチン	rokotus	ワクチン	rokotus	N	N;NOM;SG
監獄	vankila	監獄	vankila	N	N;NOM;SG
監獄	vankilassa	監獄	vankila	N	N;IN+ESS;SG
監獄	vankiloissa	監獄	vankila	N	N;IN+ESS;PL
監獄	vankilat	監獄	vankila	N	N;NOM;PL
売る	myy	売る	myydä	V	V;IMP;SG;2;FIN;ACT
売る	myydä	売る	myydä	V	V;SG;NFIN;ACT
売る	myydään	売る	myydä	V	V;IND;PRS;FIN;PASS
破片	romua	破片	romu	N	N;PRT;SG
買い物	ostoksille	買い物	ostos	N	N;AT+ALL;PL
買い物	ostokset	買い物	ostos	N	N;NOM;PL
買い物	ostoksia	買い物	ostos	N	N;PRT;PL
買い物	ostoksilla	買い物	ostos	N	N;AT+ESS
;PL
チョーク	liitu	チョーク	liittu	N	N;NOM;SG
四十	neljäkymmentä	四十	neljä#kymmenen	NUM	NUM;PRT;SG
エコー	kaiku	エコー	kaiku	N	N;NOM;SG
エコー	echon	エコー	echo	N	N;NOM;SG
トラクター	traktoreita	トラクター	traktori	N	N;PRT;PL
トラクター	traktorin	トラクター	traktori	N	N;GEN;SG
トラクター	traktori	トラクター	traktori	N	N;NOM;SG
カリスマ	karismaa	カリスマ	karisma	N	N;PRT;SG
吹く	puhaltaa	吹く	puhaltaa	V	V;IND;SG;3;PRS;FIN;ACT
下着	alushousut	下着	alus#housut	N	N;NOM;PL
下着	kalsarit	下着	kalsarit	N	N;NOM;PL
下着	alusvaatteita	下着	alus#vaate	N	N;PRT;PL
分泌	eritystä	分泌	eritys	N	N;PRT;SG
廃墟	rauniot	廃墟	raunio	N	N;NOM;PL
深度	syvyys	深度	syvyys	N	N;NOM;SG
深度	syvyyteen	深度	syvyys	N	N;IN+ALL;SG
配当	osinko	配当	osa	N	N;NOM;SG
配当	jakelu	配当	jakelu	N	N;NOM;SG
配当	jakauma	配当	jakaa	N	N;NOM;SG
配当	jakautuminen	配当	jakautuminen	N	N;NOM;SG
配当	osingot	配当	osinko	N	N;NOM;PL
預言	ennustuksen	預言	ennustus	N	N;GEN;SG
預言	ennustus	預言	ennustus	N	N;NOM;SG
掲示	lähettämistä	掲示	lähettää	V	V;IN+ABL;PL;V.PTCP;ACT
掲示	julkaistaan	掲示	julkaista	V	V;IND;PRS;FIN;PASS
パスポート	passit	パスポート	passi	N	N;NOM;PL
パスポート	passeja	パスポート	passi	N	N;PRT;PL
パスポート	passin	パスポート	passi	N	N;GEN;SG
パスポート	passi	パスポート	passi	N	N;NOM;SG
ヘビ	käärme	ヘビ	käärme	N	N;NOM;SG
ヘビ	käärmeitä	ヘビ	käärme	N	N;PRT;PL
ヘビ	käärmeet	ヘビ	käärme	N	N;NOM;PL
バッジ	merkit	バッジ	merkki	N	N;NOM;PL
残酷	julma	残酷	julma	ADJ	ADJ;NOM;SG
残酷	julmaa	残酷	julma	ADJ	ADJ;PRT;SG
残酷	julman	残酷	julma	ADJ	ADJ;GEN;SG
ペナルティ	seuraamus	ペナルティ	seuraamus	N	N;NOM;SG
ペナルティ	rangaistus	ペナルティ	rangaistus	N	N;NOM;SG
フェンス	aitaa	フェンス	aita	N	N;PRT;SG
フェンス	aita	フェンス	aitta	N	N;NOM;SG
フェンス	aidan	フェンス	aita	N	N;GEN;SG
船員	merimies	船員	meri#mies	N	N;NOM;SG
フォレスト	metsän	フォレスト	metsä	N	N;GEN;SG
フォレスト	metsät	フォレスト	metsä	N	N;NOM;PL
フォレスト	metsää	フォレスト	metsä	N	N;PRT;SG
フォレスト	metsä	フォレスト	metsä	N	N;NOM;SG
クラッチ	kytkin	クラッチ	kytkin	N	N;NOM;SG
黙示	maailmanloppu	黙示	maailman#loppu	N	N;NOM;SG
黙示	maailmanlopun	黙示	maailman#loppu	N	N;GEN;SG
枢機	kardinaali	枢機	kardinaali	N	N;NOM;SG
賭博	uhkapelejä	賭博	uhka#peli	N	N;PRT;PL
賭博	vedonlyönti	賭博	vedonlyönti	N	N;NOM;SG
賭博	uhkapeli	賭博	uhka#peli	N	N;NOM;SG
賭博	pelaaminen	賭博	pelaaminen	N	N;NOM;SG
賭博	uhkapeliä	賭博	uhka#peli	N	N;PRT;SG
コップ	kuppi	コップ	kuppi	N	N;NOM;SG
コップ	kuppia	コップ	kuppi	N	N;PRT;SG
コップ	muki	コップ	muki	N	N;NOM;SG
コップ	cupin	コップ	cup	N	N;GEN;SG
コップ	cup	コップ	cup	N	N;NOM;SG
視界	näkyvyyttä	視界	näkyvyys	N	N;PRT;SG
視界	näkyvyys	視界	näkyvyys	N	N;NOM;SG
反響	kaiku	反響	kaiku	N	N;NOM;SG
反響	echon	反響	echo	N	N;NOM;SG
洗浄	pesu	洗浄	pesu	N	N;NOM;SG
洗浄	puhdistaminen	洗浄	puhdistaminen	N	N;NOM;SG
洗浄	siivous	洗浄	siivous	N	N;NOM;SG
洗浄	pesu	洗浄	pesu	N	N;NOM;SG
洗浄	puhdistus	洗浄	puhdistus	N	N;NOM;SG
不祥事	skandaalin	不祥事	skandaali	N	N;GEN;SG
不祥事	skandaali	不祥事	skandaali	N	N;NOM;SG
不祥事	skandaaleja	不祥事	skandaali	N	N;PRT;PL
手当	avustus	手当	avustus	N	N;NOM;SG
ヤギ	vuohen	ヤギ	vuohi	N	N;GEN;SG
ヤギ	vuohi	ヤギ	vuohi	N	N;NOM;SG
ヤギ	vuohet	ヤギ	vuoha	N	N;NOM;PL
ヤギ	vuohia	ヤギ	vuoha	N	N;PRT;PL
ヤギ	vuohet	ヤギ	vuoha	N	N;NOM;PL
ワークショップ	työpajoja	ワークショップ	työ#paja	N	N;PRT;PL
ワークショップ	työpaja	ワークショップ	työ#paja	N	N;NOM;SG
金庫	turvassa	金庫	turva	N	N;IN+ESS;SG
金庫	kassakaappi	金庫	kassa#kaappi	N	N;NOM;SG
被告人	syytetyt	被告人	syytetty	N	N;NOM;PL
被告人	vastaaja	被告人	vastaaja	N	N;NOM;SG
睡眠	uni	睡眠	uni	N	N;NOM;SG
ツル	kurki	ツル	kurki	N	N;NOM;SG
裏側	selkä	裏側	selkä	N	N;NOM;SG
レズビアン	lesbo	レズビアン	lesbo	N	N;NOM;SG
芸者	geisha	芸者	geisha	N	N;NOM;SG
祝福	siunattu	祝福	siunata	V	V;NOM;SG;V.PTCP;PASS
林	applen	林	appli	N	N;GEN;SG
林	omenaa	林	omena	N	N;PRT;SG
林	omenan	林	omena	N	N;GEN;SG
林	omena	林	omena	N	N;NOM;SG
視力	näköä	視力	näkö	N	N;PRT;SG
ランニング	juoksu	ランニング	juoksu	N	N;NOM;SG
ランニング	käynnissä	ランニング	käynti	N	N;IN+ESS;SG
レスキュー	pelastus	レスキュー	pelastus	N	N;NOM;SG
レスキュー	pelastaminen	レスキュー	pelastaminen	N	N;NOM;SG
お気に入り	suosikki	お気に入り	suosikki	N	N;NOM;SG
お気に入り	lempi	お気に入り	lempi	N	N;NOM;SG
お気に入り	suosikkeja	お気に入り	suosikki	N	N;PRT;PL
お気に入り	suosikki	お気に入り	suosikki	N	N;NOM;SG
お気に入り	lempi	お気に入り	lempi	N	N;NOM;SG
お気に入り	suosikit	お気に入り	suosikki	N	N;NOM;PL
ロッカー	kaappi	ロッカー	kaappi	N	N;NOM;SG
トゥルー	true	トゥルー	true	N	N;NOM;SG
ヨット	jahti	ヨット	jahtaa	N	N;NOM;SG
ダイナミック	dynaamisia	ダイナミック	dynaaminen	ADJ	ADJ;PRT;PL
ダイナミック	dynaamiset	ダイナミック	dynaaminen	ADJ	ADJ;NOM;PL
ダイナミック	dynaaminen	ダイナミック	dynaaminen	ADJ	ADJ;NOM;SG
飛行船	ilmalaiva	飛行船	ilma#laiva	N	N;NOM;SG
陶芸	keramiikka	陶芸	keramiikka	N	N;NOM;SG
フットサル	futsal	フットサル	futsal	N	N;NOM;SG
消去	pyyhkii	消去	pyyhkiä	V	V;IND;SG;3;PRS;FIN;ACT
ストライカー	hyökkääjä	ストライカー	hyökkääjä	N	N;NOM;SG
ストライカー	striker	ストライカー	striker	N	N;NOM;SG
バイザー	visiiri	バイザー	visiiri	N	N;NOM;SG
テント	telttoja	テント	teltta	N	N;PRT;PL
テント	teltta	テント	teltta	N	N;NOM;SG
テント	teltan	テント	teltta	N	N;GEN;SG
リソース	voimavara	リソース	voima#vara	N	N;NOM;SG
リソース	resurssien	リソース	resurssi	N	N;GEN;PL
リソース	varat	リソース	vara	N	N;NOM;PL
リソース	voimavarat	リソース	voima#vara	N	N;NOM;PL
リソース	resursseja	リソース	resurssi	N	N;PRT;PL
リソース	resurssit	リソース	resurssi	N	N;NOM;PL
崇拝	palvovat	崇拝	palvoa	V	V;PL;FIN;ACT
値段	hinta	値段	hinta	N	N;NOM;SG
値段	hinnan	値段	hinta	N	N;GEN;SG
値段	hintaa	値段	hinta	N	N;PRT;SG
快適	mukavat	快適	mukava	ADJ	ADJ;NOM;PL
足跡	jalanjälki	足跡	jalan#jälki	N	N;NOM;SG
足跡	jalanjälkiä	足跡	jalan#jälki	N	N;PRT;PL
獣	veteraanit	獣	veteraani	N	N;NOM;PL
獣	eläinlääkäri	獣	eläin#lääkäri	N	N;NOM;SG
獣	eläinlääkärin	獣	eläin#lääkäri	N	N;GEN;SG
獣	eläinlääkäri	獣	eläin#lääkäri	N	N;NOM;SG
和音	sointu	和音	sointua	N	N;NOM;SG
帝政	imperiumin	帝政	imperiumi	N	N;GEN;SG
帝政	valtakunta	帝政	valta#kunta	N	N;NOM;SG
帝政	imperiumi	帝政	imperiumi	N	N;NOM;SG
動揺	järkyttynyt	動揺	järkyttyä	V	V;NOM;SG;V.PTCP;ACT
タブレット	tabletti	タブレット	tabletti	N	N;NOM;SG
タブレット	tabletit	タブレット	tabletti	N	N;NOM;PL
麻酔	anestesia	麻酔	anestenen	N	N;NOM;SG
人魚	merenneito	人魚	meren#neito	N	N;NOM;SG
ジュエル	jalokivi	ジュエル	jalo#kivi	N	N;NOM;SG
目的	määränpää	目的	määrä	N	N;NOM;SG
マルチメディア	multimedia	マルチメディア	multimedia	N	N;NOM;SG
年数	vuotta	年数	vuosi	N	N;PRT;SG
年数	vuodet	年数	vuosi	N	N;NOM;PL
年数	vuosien	年数	vuosi	N	N;GEN;PL
年数	vuosia	年数	vuosi	N	N;PRT;PL
サイコロ	noppaa	サイコロ	noppa	N	N;IN+ABL;SG
コロナ	corona	コロナ	corona	N	N;NOM;SG
切符	liput	切符	lippu	N	N;NOM;PL
切符	lippuja	切符	lippu	N	N;PRT;PL
切符	lippujen	切符	lippu	N	N;GEN;PL
切符	lippu	切符	lippu	N	N;NOM;SG
教義	dogma	教義	dogma	N	N;NOM;SG
オメガ	omega	オメガ	omega	N	N;NOM;SG
両面	duplex	両面	duplex	N	N;NOM;SG
地雷	miinoja	地雷	miina	N	N;PRT;PL
ホッケー	jääkiekko	ホッケー	jää#kiekko	N	N;NOM;SG
ホッケー	jääkiekkoa	ホッケー	jää#kiekko	N	N;PRT;SG
かもめ	lokki	かもめ	lokki	N	N;NOM;SG
事績	saavutuksia	事績	saavutus	N	N;PRT;PL
事績	saavutukset	事績	saavutus	N	N;NOM;PL
事績	saavutus	事績	saavutus	N	N;NOM;SG
事績	saavuttaminen	事績	saavuttaa	N	N;NOM;SG
カートリッジ	patruunat	カートリッジ	patruuna	N	N;NOM;PL
カートリッジ	säiliö	カートリッジ	säiliö	N	N;NOM;SG
トレイル	polkua	トレイル	polku	N	N;PRT;SG
臓器	elinten	臓器	elin	N	N;GEN;PL
臓器	elimet	臓器	elin	N	N;NOM;PL
臓器	elinten	臓器	elin	N	N;GEN;PL
臓器	elin	臓器	elin	N	N;NOM;SG
臓器	elimet	臓器	elin	N	N;NOM;PL
水銀	elohopea	水銀	elohopea	N	N;NOM;SG
水銀	elohopeaa	水銀	elohopea	N	N;PRT;SG
ホモ	homo	ホモ	homo	N	N;NOM;SG
ユニーク	ainutlaatuinen	ユニーク	ainutlaatuinen	ADJ	ADJ;NOM;SG
ユニーク	ainutlaatuista	ユニーク	ainutlaatu	ADJ	ADJ;PRT;SG
ユニーク	yksilöllinen	ユニーク	yksilöllinen	ADJ	ADJ;NOM;SG
ユニーク	yksilölliset	ユニーク	yksilöllinen	ADJ	ADJ;NOM;PL
ステアリング	ohjaus	ステアリング	ohjaus	N	N;NOM;SG
ステアリング	ohjauksen	ステアリング	ohjaus	N	N;GEN;SG
城郭	linnoja	城郭	linno	N	N;PRT;PL
浄化	puhdistaa	浄化	puhdistaa	V	V;IND;SG;3;PRS;FIN;ACT
浄化	puhdistaa	浄化	puhdistaa	V	V;IND;SG;3;PRS;FIN;ACT
音節	tavu	音節	tavu	N	N;NOM;SG
音節	tavua	音節	tavuta	N	N;PRT;SG
炎	tulehdus	炎	tulehdus	N	N;NOM;SG
摩擦	kitkaa	摩擦	kitka	N	N;PRT;SG
芝生	nurmikon	芝生	nurmikko	N	N;GEN;SG
芝生	nurmikko	芝生	nurmikko	N	N;NOM;SG
悪役	roisto	悪役	roisto	N	N;NOM;SG
悪役	konna	悪役	konna	N	N;NOM;SG
実効	tehokkuutta	実効	tehokkuus	N	N;PRT;SG
実効	tehokkuus	実効	tehokkuus	N	N;NOM;SG
実効	tehokkuuden	実効	tehokkuus	N	N;GEN;SG
イングリッシュ	englanti	イングリッシュ	englanti	N	N;NOM;SG
イングリッシュ	englantia	イングリッシュ	englanti	N	N;PRT;SG
イングリッシュ	englanniksi	イングリッシュ	englanti	N	N;TRANS;SG
イングリッシュ	englannin	イングリッシュ	englanti	N	N;GEN;SG
マッサージ	hierontaa	マッサージ	hieronta	N	N;PRT;SG
マッサージ	hierontaa	マッサージ	hieronta	N	N;PRT;SG
マッサージ	hieronnan	マッサージ	hieronta	N	N;GEN;SG
マッサージ	hieronta	マッサージ	hieronta	N	N;NOM;SG
捕鯨	valaanpyynti	捕鯨	valaan#pyynti	N	N;NOM;SG
工具	työkalun	工具	työ#kalu	N	N;GEN;SG
工具	väline	工具	väline	N	N;NOM;SG
工具	työkalu	工具	työ#kalu	N	N;NOM;SG
ラーマ	lama	ラーマ	lama	N	N;NOM;SG
サンプリング	näytettä	サンプリング	näyte	N	N;PRT;SG
サンプリング	otos	サンプリング	otos	N	N;NOM;SG
サンプリング	näytteen	サンプリング	näyte	N	N;GEN;SG
サンプリング	otanta	サンプリング	ottaa	N	N;NOM;SG
サンプリング	näyte	サンプリング	näyte	N	N;NOM;SG
サンプリング	näytteenotto	サンプリング	näytteen#otto	N	N;NOM;SG
サンプリング	otanta	サンプリング	ottaa	N	N;NOM;SG
失効	raukeaa	失効	raueta	V	V;IND;SG;3;PRS;FIN;ACT
失効	vanhentunut	失効	vanhentua	V	V;NOM;SG;V.PTCP;ACT
失効	vanhentuneet	失効	vanhentua	V	V;NOM;PL;V.PTCP;ACT
失効	päättynyt	失効	päättyä	V	V;NOM;SG;V.PTCP;ACT
ねずみ	hiiri	ねずみ	hiiri	N	N;NOM;SG
ねずみ	hiirtä	ねずみ	hiirtää	N	N;PRT;SG
ねずみ	hiiren	ねずみ	hiire	N	N;GEN;SG
経典	sutra	経典	sutra	N	N;NOM;SG
