was	бе	be	съм	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PST;FIN;ACT
high	високи	high	висок	ADJ	ADJ;INDF;PL
district	окръг	district	окръг	N;SG	N;INDF;MASC;SG
district	област	district	област	N;SG	N;INDF;FEM;SG
district	район	district	район	N;SG	N;INDF;MASC;SG
now	сега	now	сега	ADV	ADV
comments	забележки	comment	забележка	N;PL	N;INDF;FEM;PL
comments	коментари	comment	коментар	N;PL	N;INDF;MASC;PL
comments	мнения	comment	мнение	N;PL	N;INDF;NEUT;PL
football	футбол	football	футбол	N;SG	N;INDF;MASC;SG
music	музиката	music	музика	N;SG	N;DEF;FEM;SG
music	музика	music	музика	N;SG	N;INDF;FEM;SG
diff	разлика	diff	разлика	N;SG	N;INDF;FEM;SG
century	век	century	век	N;SG	N;INDF;MASC;SG
century	века	century	век	N;SG	N;DEF;MASC;SG
edits	редакции	edit	редакция	N;PL	N;INDF;FEM;PL
debate	разискване	debate	разискване	N;SG	N;INDF;NEUT;SG
debate	дебат	debate	дебат	N;SG	N;INDF;MASC;SG
title	заглавие	title	заглавие	N;SG	N;INDF;NEUT;SG
title	дял	title	дял	N;SG	N;INDF;MASC;SG
title	титла	title	титла	N;SG	N;INDF;FEM;SG
articles	изделия	article	изделие	N;PL	N;INDF;NEUT;PL
articles	статии	article	статия	N;PL	N;INDF;FEM;PL
articles	артикули	article	артикул	N;PL	N;INDF;MASC;PL
same	същият	same	същ	ADJ	ADJ;DEF;MASC;SG
same	същата	same	същ	ADJ	ADJ;DEF;FEM;SG
same	същото	same	същ	ADJ	ADJ;DEF;NEUT;SG
album	албум	album	албум	N;SG	N;INDF;MASC;SG
number	брой	number	брой	N;SG	N;INDF;MASC;SG
number	число	number	число	N;SG	N;INDF;NEUT;SG
number	номер	number	номер	N;SG	N;INDF;MASC;SG
against	срещу	against	срещу	ADP	ADP
against	против	against	против	ADP	ADP
family	семейство	family	семейство	N;SG	N;INDF;NEUT;SG
family	семейството	family	семейство	N;SG	N;DEF;NEUT;SG
user	потребител	user	потребител	N;SG	N;INDF;MASC;SG
user	ползвател	user	ползвател	N;SG	N;INDF;MASC;SG
based	базирана	base	базирам	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
area	зона	area	зона	N;SG	N;INDF;FEM;SG
area	площ	area	площ	N;SG	N;INDF;FEM;SG
area	област	area	област	N;SG	N;INDF;FEM;SG
area	район	area	район	N;SG	N;INDF;MASC;SG
life	живот	life	живот	N;SG	N;INDF;MASC;SG
life	живота	life	живот	N;SG	N;DEF;MASC;SG
life	лайф	life	лайф	N;SG	N;INDF;MASC;SG
life	животът	life	живот	N;SG	N;DEF;MASC;SG
british	британска	british	британски	ADJ	ADJ;INDF;FEM;SG
british	британски	british	британски	ADJ	ADJ;INDF;MASC;SG
international	международен	international	международен	ADJ	ADJ;INDF;MASC;SG
international	международни	international	международен	ADJ	ADJ;INDF;PL
international	международна	international	международен	ADJ	ADJ;INDF;FEM;SG
game	мач	game	мач	N;SG	N;INDF;MASC;SG
game	гейм	game	гейм	N;SG	N;INDF;MASC;SG
game	играта	game	игра	N;SG	N;DEF;FEM;SG
game	игра	game	игра	N;SG	N;INDF;FEM;SG
above	отгоре	above	отгоре	ADV	ADV
club	клуб	club	клуб	N;SG	N;INDF;MASC;SG
club	клубът	club	клуб	N;SG	N;DEF;MASC;SG
until	докато	until	докато	CONJ	CONJ
early	рано	early	рано	ADV	ADV
west	западно	west	западно	ADV	ADV
house	house	house	house	N;SG	N;INDF;MASC;SG
house	къща	house	къща	N;SG	N;INDF;FEM;SG
house	къщата	house	къща	N;SG	N;DEF;FEM;SG
house	хаус	house	хаус	N;SG	N;INDF;MASC;SG
company	дружество	company	дружество	N;SG	N;INDF;NEUT;SG
company	компания	company	компания	N;SG	N;INDF;FEM;SG
company	рота	company	рота	N;SG	N;INDF;FEM;SG
company	фирма	company	фирма	N;SG	N;INDF;FEM;SG
general	обща	general	общ	ADJ	ADJ;INDF;FEM;SG
general	общи	general	общ	ADJ	ADJ;INDF;PL
very	много	very	много	ADV	ADV;INDF;PL
here	тук	here	там	ADV	ADV
day	денят	day	ден	N;SG	N;DEF;MASC;SG
day	ден	day	ден	N;SG	N;INDF;MASC;SG
place	място	place	място	N;SG	N;INDF;NEUT;SG
party	парти	party	парта	N;SG	N;INDF;NEUT;SG
party	купон	party	купон	N;SG	N;INDF;MASC;SG
party	партия	party	партия	N;SG	N;INDF;FEM;SG
college	колежа	college	колеж	N;SG	N;DEF;MASC;SG
college	колежът	college	колеж	N;SG	N;DEF;MASC;SG
college	колеж	college	колеж	N;SG	N;INDF;MASC;SG
result	резултат	result	резултат	N;SG	N;INDF;MASC;SG
result	резултата	result	резултат	N;SG	N;DEF;MASC;SG
keep	запази	keep	запазя-(се)	V;IMP;FIN	V;PFV;IMP;SG;2;FIN
appropriate	подходящ	appropriate	подходящ	ADJ	ADJ;INDF;MASC;SG
appropriate	подходяща	appropriate	подходящ	ADJ	ADJ;INDF;FEM;SG
appropriate	подходящи	appropriate	подходящ	ADJ	ADJ;INDF;PL
four	четири	four	четири	NUM	NUM;INDF;PL
four	четирима	four	четирима	NUM	NUM;INDF;PL
subsequent	последващ	subsequent	последвам	ADJ	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
subsequent	последваща	subsequent	последвам	ADJ	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
class	клас	class	клас	N;SG	N;INDF;MASC;SG
class	класа	class	клас	N;SG	N;DEF;MASC;SG
government	правителство	government	правителство	N;SG	N;INDF;NEUT;SG
how	как	how	как	ADV	ADV
called	наречен	call	нарека-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
called	наречена	call	нарека-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
each	всяка	each	всеки	DET	DET;FEM;SG
found	намерено	find	намеря-(се)	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
found	намерени	find	намеря-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
found	открит	find	открия-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
found	намерена	find	намеря-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
found	намерен	find	намеря-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
center	център	center	център	N;SG	N;INDF;MASC;SG
style	стил	style	стил	N;SG	N;INDF;MASC;SG
com	ком	com	ком	N;SG	N;INDF;MASC;SG
long	дълго	long	дълго	ADV	ADV
country	държава	country	държава	N;SG	N;INDF;FEM;SG
country	страна	country	страна	N;SG	N;INDF;FEM;SG
back	назад	back	назад	ADV	ADV
back	обратно	back	обратно	ADV	ADV
way	начин	way	начин	N;SG	N;INDF;MASC;SG
www	www	wwwiw	www	N;SG	N;INDF;MASC;SG
make	направи	make	направя-(се)	V;IMP;FIN	V;PFV;IMP;SG;2;FIN
public	публични	public	публичен	ADJ	ADJ;INDF;PL
public	публична	public	публичен	ADJ	ADJ;INDF;FEM;SG
public	публичен	public	публичен	ADJ	ADJ;INDF;MASC;SG
public	обществени	public	обществен	ADJ	ADJ;INDF;PL
played	играха	play	играя	V;PST;V.PTCP	V;IPFV;IND;PL;3;PST;FIN;ACT
played	играл	play	играя	V;PST;V.PTCP	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
won	спечели	win	спечеля	V;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
released	освободена	release	освободя-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
released	освободен	release	освободя-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
released	освободени	release	освободя-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
added	добавена	add	добавя	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
added	добавен	add	добавен	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
added	добавени	add	добавя	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
added	добавено	add	добавя	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
support	подпомагане	support	подпомагане	N;SG	N;INDF;NEUT;SG
support	подкрепа	support	подкрепа	N;SG	N;INDF;FEM;SG
support	поддръжка	support	поддръжка	N;SG	N;INDF;FEM;SG
games	игри	game	игра	N;PL	N;INDF;FEM;PL
former	бивши	former	бивш	ADJ	ADJ;INDF;PL
former	бивша	former	бивш	ADJ	ADJ;INDF;FEM;SG
films	филми	film	филм	N;PL	N;INDF;MASC;PL
church	църква	church	църква	N;SG	N;INDF;FEM;SG
church	църквата	church	църква	N;SG	N;DEF;FEM;SG
line	реплика	line	реплика	N;SG	N;INDF;FEM;SG
line	линия	line	линия	N;SG	N;INDF;FEM;SG
members	членове	member	член	N;PL	N;INDF;MASC;PL
members	членовете	member	член	N;PL	N;DEF;MASC;PL
good	добър	good	добър	ADJ	ADJ;INDF;MASC;SG
image	имидж	image	имидж	N;SG	N;INDF;MASC;SG
image	картинка	image	картинка	N;SG	N;INDF;FEM;SG
image	образ	image	образ	N;SG	N;INDF;MASC;SG
image	изображение	image	изображение	N;SG	N;INDF;NEUT;SG
show	покажи	show	покажа-(се)	V;IMP;FIN	V;PFV;IMP;SG;2;FIN
still	още	still	още	ADV	ADV
think	мисли	think	мисля	V;IMP;FIN	V;IPFV;IMP;SG;2;FIN
think	помисли	think	помисля	V;IMP;FIN	V;PFV;IMP;SG;2;FIN
below	долу	below	долу	ADV	ADV
below	отдолу	below	отдолу	ADV	ADV
tow	град	tow	град	N;SG	N;INDF;MASC;SG
tow	градът	tow	град	N;SG	N;DEF;MASC;SG
tow	градче	tow	градче	N;SG	N;INDF;NEUT;SG
last	последен	last	последен	ADJ	ADJ;INDF;MASC;SG
last	последни	last	последен	ADJ	ADJ;INDF;PL
last	последна	last	последен	ADJ	ADJ;INDF;FEM;SG
system	система	system	система	N;SG	N;INDF;FEM;SG
system	системата	system	система	N;SG	N;DEF;FEM;SG
right	правилно	right	правилно	ADV	ADV
song	песен	song	песен	N;SG	N;INDF;FEM;SG
song	песничка	song	песничка	N;SG	N;INDF;FEM;SG
section	сечение	section	сечение	N;SG	N;INDF;NEUT;SG
section	секция	section	секция	N;SG	N;INDF;FEM;SG
section	раздел	section	раздел	N;SG	N;INDF;MASC;SG
single	необвързан	single	необвързан	ADJ	ADJ;INDF;MASC;SG
single	единична	single	единичен	ADJ	ADJ;INDF;FEM;SG
single	необвързана	single	побвържа	ADJ	ADJ;INDF;FEM;SG
single	единичен	single	единичен	ADJ	ADJ;INDF;MASC;SG
included	включени	include	включа-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
included	включено	include	включа-(се)	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
included	включена	include	включа-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
included	включен	include	включа-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
home	дом	home	дом	N;SG	N;INDF;MASC;SG
women	жени	woman	жена	N;PL	N;INDF;FEM;PL
women	жените	woman	жена	N;PL	N;DEF;FEM;PL
television	телевизия	television	телевизия	N;SG	N;INDF;FEM;SG
television	телевизията	television	телевизия	N;SG	N;DEF;FEM;SG
television	телевизор	television	телевизор	N;SG	N;INDF;MASC;SG
seed	семе	seed	семе	N;SG	N;INDF;NEUT;SG
member	член	member	член	N;SG	N;INDF;MASC;SG
goals	голове	goal	гол	N;PL	N;INDF;MASC;PL
goals	цели	goal	цел	N;PL	N;INDF;FEM;PL
sources	източници	source	източник	N;PL	N;INDF;MASC;PL
book	тефтер	book	тефтер	N;SG	N;INDF;MASC;SG
book	книга	book	книга	N;SG	N;INDF;FEM;SG
station	станция	station	станция	N;SG	N;INDF;FEM;SG
station	station	station	station	N;SG	N;INDF;MASC;SG
station	гара	station	гара	N;SG	N;INDF;FEM;SG
order	ред	order	ред	N;SG	N;INDF;MASC;SG
order	поръчка	order	поръчка	N;SG	N;INDF;FEM;SG
old	стари	old	стар	ADJ	ADJ;INDF;PL
old	стар	old	стар	ADJ	ADJ;INDF;MASC;SG
old	стара	old	стар	ADJ	ADJ;INDF;FEM;SG
information	информация	information	информация	N;SG	N;INDF;FEM;SG
information	информиране	information	информиране	N;SG	N;INDF;NEUT;SG
own	собствен	own	собствен	ADJ	ADJ;INDF;MASC;SG
own	собствена	own	собствен	ADJ	ADJ;INDF;FEM;SG
own	собствени	own	собствен	ADJ	ADJ;INDF;PL
text	текст	text	текст	N;SG	N;INDF;MASC;SG
band	група	band	група	N;SG	N;INDF;FEM;SG
band	оркестър	band	оркестър	N;SG	N;INDF;MASC;SG
band	банда	band	банда	N;SG	N;INDF;FEM;SG
band	лента	band	лента	N;SG	N;INDF;FEM;SG
point	точка	point	точка	N;SG	N;INDF;FEM;SG
local	локална	local	локален	ADJ	ADJ;INDF;FEM;SG
local	местна	local	местен	ADJ	ADJ;INDF;FEM;SG
local	местни	local	местен	ADJ	ADJ;INDF;PL
around	наоколо	around	наоколо	ADV	ADV
river	ривър	river	ривър	N;SG	N;INDF;MASC;SG
river	река	river	река	N;SG	N;INDF;FEM;SG
river	реката	river	река	N;SG	N;DEF;FEM;SG
top	топ	top	топ	N;SG	N;INDF;MASC;SG
top	върха	top	връх	N;SG	N;DEF;MASC;SG
main	основни	main	основен	ADJ	ADJ;INDF;PL
main	основна	main	основен	ADJ	ADJ;INDF;FEM;SG
main	главна	main	главен	ADJ	ADJ;INDF;FEM;SG
main	главен	main	главен	ADJ	ADJ;INDF;MASC;SG
main	главни	main	главен	ADJ	ADJ;INDF;PL
language	езикът	language	език	N;SG	N;DEF;MASC;SG
language	езика	language	език	N;SG	N;DEF;MASC;SG
language	език	language	език	N;SG	N;INDF;MASC;SG
french	френска	french	френски	ADJ	ADJ;INDF;FEM;SG
french	френски	french	френски	ADJ	ADJ;INDF;MASC;SG
note	забележка	note	забележка	N;SG	N;INDF;FEM;SG
note	бележка	note	бележка	N;SG	N;INDF;FEM;SG
career	кариера	career	кариера	N;SG	N;INDF;FEM;SG
original	оригинални	original	оригинален	ADJ	ADJ;INDF;PL
original	оригинална	original	оригинален	ADJ	ADJ;INDF;FEM;SG
original	оригинален	original	оригинален	ADJ	ADJ;INDF;MASC;SG
age	възраст	age	възраст	N;SG	N;INDF;FEM;SG
service	услуга	service	услуга	N;SG	N;INDF;FEM;SG
service	служба	service	служба	N;SG	N;INDF;FEM;SG
service	сервиз	service	сервиз	N;SG	N;INDF;MASC;SG
service	обслужване	service	обслужване	N;SG	N;INDF;NEUT;SG
established	установен	establish	установя-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
established	установена	establish	установя-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
established	установени	establish	установя-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
established	установено	establish	установя-(се)	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
located	разположена	locate	разположа-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
located	разположен	locate	разположа-(се)	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
located	разположени	locate	разположа-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
located	разположено	locate	разположа-(се)	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
said	каза	say	кажа	V;IND;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
website	уебсайт	website	уебсайт	N;SG	N;INDF;MASC;SG
website	сайт	website	сайт	N;SG	N;INDF;MASC;SG
population	популация	population	популация	N;SG	N;INDF;FEM;SG
population	население	population	население	N;SG	N;INDF;NEUT;SG
air	air	air	air	N;SG	N;INDF;MASC;SG
air	въздуха	air	въздух	N;SG	N;DEF;MASC;SG
air	въздушен	air	въздуша	N;SG	N;INDF;MASC;SG
air	въздух	air	въздух	N;SG	N;INDF;MASC;SG
german	германски	german	германски	ADJ	ADJ;INDF;MASC;SG
german	немски	german	немски	ADJ	ADJ;INDF;MASC;SG
german	немска	german	немски	ADJ	ADJ;INDF;FEM;SG
german	германска	german	германски	ADJ	ADJ;INDF;FEM;SG
law	закон	law	закон	N;SG	N;INDF;MASC;SG
military	военен	military	военен	ADJ	ADJ;INDF;MASC;SG
military	военна	military	военен	ADJ	ADJ;INDF;FEM;SG
military	военни	military	военен	ADJ	ADJ;INDF;PL
clubs	клубове	club	клуб	N;PL	N;INDF;MASC;PL
clubs	клубовете	club	клуб	N;PL	N;DEF;MASC;PL
clubs	стикове	club	стик	N;PL	N;INDF;MASC;PL
published	публикувани	publish	публикувам	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
published	публикуван	publish	публикувам	V;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
published	публикувана	publish	публикувам	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
published	публикувано	publish	публикувам	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
park	парк	park	парк	N;SG	N;INDF;MASC;SG
case	случай	case	случай	N;SG	N;INDF;MASC;SG
case	дело	case	дело	N;SG	N;INDF;NEUT;SG
case	кейс	case	кейс	N;SG	N;INDF;MASC;SG
case	случаят	case	случай	N;SG	N;DEF;MASC;SG
case	каса	case	каса	N;SG	N;INDF;FEM;SG
times	времена	time	време	N;PL	N;INDF;NEUT;PL
small	малка	small	малък	ADJ	ADJ;INDF;FEM;SG
small	малки	small	малък	ADJ	ADJ;INDF;PL
small	малък	small	малък	ADJ	ADJ;INDF;MASC;SG
small	дребен	small	дребен	ADJ	ADJ;INDF;MASC;SG
third	трето	third	трето	ADV	ADV
different	различна	different	различен	ADJ	ADJ;INDF;FEM;SG
different	различни	different	различен	ADJ	ADJ;INDF;PL
different	различен	different	различен	ADJ	ADJ;INDF;MASC;SG
due	дължима	due	дължим	ADJ	ADJ;INDF;FEM;SG
due	дължими	due	дължим	ADJ	ADJ;INDF;PL
village	село	village	село	N;SG	N;INDF;NEUT;SG
closed	затворена	close	затворя-(се)	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
closed	затворено	close	затворя-(се)	V;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
closed	затворени	close	затворя-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
art	арт	art	арт	N;SG	N;INDF;NEUT;SG
art	изкуството	art	изкуство	N;SG	N;DEF;NEUT;SG
art	art	art	art	N;SG	N;INDF;MASC;SG
art	изкуство	art	изкуство	N;SG	N;INDF;NEUT;SG
player	плеър	player	плеър	N;SG	N;INDF;MASC;SG
player	играч	player	играч	N;SG	N;INDF;MASC;SG
final	краен	final	краен	ADJ	ADJ;INDF;MASC;SG
community	общност	community	общност	N;SG	N;INDF;FEM;SG
community	общността	community	общност	N;SG	N;DEF;FEM;SG
again	отново	again	отново	ADV	ADV
again	пак	again	пак	ADV	ADV
army	армията	army	армия	N;SG	N;DEF;FEM;SG
army	армеец	army	армеец	N;SG	N;INDF;MASC;SG
army	армия	army	армия	N;SG	N;INDF;FEM;SG
award	възлагане	award	възлагане	N;SG	N;INDF;NEUT;SG
award	награда	award	награда	N;SG	N;INDF;FEM;SG
death	смърт	death	смърт	N;SG	N;INDF;FEM;SG
death	смъртта	death	смърт	N;SG	N;DEF;FEM;SG
built	построени	build	построя-(се)	V;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
built	изградена	build	изградя	V;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
