mdr	mdr	mdr	mdr		
fragt	pyta	fragen	pytać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
fragt	prosi	fragen	prosić	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
planungen	planuje	planung	planować	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
publikation	wydawnictwa	publikation	wydawnictwo	N;NOM;FEM;SG	N;NOM;NEUT;SG
publikation	publikacja	publikation	publikacja	N;NOM;FEM;SG	N;NOM;FEM;SG
publikation	publikowanie	publikation	publikowanie	N;NOM;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
ernsthaft	poważna	ernsthaft	poważny	ADJ	ADJ;NOM;FEM;SG
ernsthaft	poważne	ernsthaft	poważny	ADJ	ADJ;NOM;NEUT;SG
ernsthaft	poważny	ernsthaft	poważny	ADJ	ADJ;NOM;MASC;SG
rief	krzyknął	rufen	krzyknąć	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
rief	dzwonił	rufen	dzwonić	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
rief	płakał	rufen	płakać	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
entlassung	absolutorium	entlassung	absolutorium	N;NOM;FEM;SG	N;NOM;NEUT;SG
entlassung	oddalenie	entlassung	oddalić	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
entlassung	zwolnienie	entlassung	zwolnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG;V.MSDR
entlassung	zwolnienia	entlassung	zwolnienie	N;NOM;FEM;SG	N;NOM;NEUT;SG
stämme	plemion	stammen	plemion		
siebten	siódmy	siebt	siódmy	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
siebten	siódma	siebt	siódmy	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
grob	surowy	grob	surowy	ADJ	ADJ;NOM;MASC;SG
grob	prymitywne	grob	prymitywny	ADJ	ADJ;NOM;NEUT;SG
grob	surowe	grob	surowy	ADJ	ADJ;NOM;NEUT;SG
grob	naftowej	grob	naftowy	ADJ	ADJ;GEN;FEM;SG
grob	surowa	grob	surowy	ADJ	ADJ;NOM;FEM;SG
grob	szorstki	grob	szorstki	ADJ	ADJ;NOM;MASC;SG
beachtung	uwaga	beachtung	uwaga		
technischer	techniczne	technisch	techniczny	ADJ	ADJ;NOM;NEUT;SG
technischer	techniczny	technisch	techniczny	ADJ	ADJ;NOM;MASC;SG
technischer	techniczna	technisch	techniczny	ADJ	ADJ;NOM;FEM;SG
grimm	grimm	greimen	grić		
merkmal	charakterystyczne	merkmal	charakterystyczny	ADJ	ADJ;NOM;NEUT;SG
orthodoxen	prawosławny	orthodox	prawosławny	ADJ	ADJ;NOM;MASC;SG
epoche	epoka	epoch	epoka	N;SG	N;NOM;FEM;SG
konsul	konsul	konsul	konsul		
wertung	punktacji	wertung	punktacja	N;FEM;SG	N;GEN;FEM;SG
wertung	ranking	wertung	ranking	N;FEM;SG	N;NOM;MASC;SG
eintragen	wejdź	eintragen	wejść	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
ähnelt	przypomina	ähneln	przypominać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
dünn	chuda	dünn	chudy	ADJ	ADJ;NOM;FEM;SG
dünn	chudy	dünn	chudy	ADJ	ADJ;NOM;MASC;SG
dünn	szczupła	dünn	szczupło	ADJ	ADJ;NOM;FEM;SG
dünn	cienkie	dünn	cienki	ADJ	ADJ;NOM;NEUT;SG
dünn	cienka	dünn	cienki	ADJ	ADJ;NOM;FEM;SG
dünn	chudy	dünn	chudy	ADJ	ADJ;NOM;MASC;SG
dünn	cienki	dünn	cienki	ADJ	ADJ;NOM;MASC;SG
dünn	nieliczne	dünn	nieliczny	ADJ	ADJ;NOM;NEUT;SG
berechnet	obliczono	berechnen	obliczyć	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
verlieren	utrata	verlieren	utratać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
verlieren	traci	verlieren	tracić	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
verlieren	przegra	verlieren	przegrać	V;NFIN	V;PFV;IND;SG;3;FUT;FIN;ACT
verlieren	przegrywa	verlieren	przegrywać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
verlieren	przegrać	verlieren	przegrać	V;NFIN	V;PFV;NFIN;ACT
verlieren	stracić	verlieren	stracić	V;NFIN	V;PFV;NFIN;ACT
teufel	hell	teufel	hell		
teufel	szatana	teufel	szatan		
vorhaben	project	vorhaben	project		
gültigen	ważny	gültig	ważny	ADJ	ADJ;NOM;MASC;SG
gültigen	ważne	gültig	ważny	ADJ	ADJ;NOM;NEUT;SG
gültigen	poprawny	gültig	poprawny	ADJ	ADJ;NOM;MASC;SG
gültigen	ważna	gültig	ważny	ADJ	ADJ;NOM;FEM;SG
funktionieren	funkcjonuje	funktionieren	funkcjonować	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
wohnen	żyj	wohnen	żyć	V;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
zeichnen	rysować	zeichnen	rysować	V;NFIN	V;IPFV;NFIN;ACT
zeichnen	wyciągnąć	zeichnen	wyciągnąć	V;NFIN	V;PFV;NFIN;ACT
wilde	wild	wilden	wild		
wilde	dziko	wilden	dziko		
wilde	dzika	wilden	dziki		
wilde	wilde	wilden	wilda		
wilde	savage	wilden	savaga		
österreichisch	austriackie	österreichisch	austriacki	ADJ	ADJ;NOM;NEUT;SG
klarer	jaśniejsze	klar	jasny	ADJ	ADJ;NOM;CMPR;NEUT;SG
anfangen	zacznij	anfangen	zacząć	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
anfangen	rozpocząć	anfangen	rozpocząć	V;NFIN	V;PFV;NFIN;ACT
lyrik	lyric	lyrik	lyrica		
lyrik	poezji	lyrik	poezja		
lyrik	poezja	lyrik	poezja		
ankunft	dojazd	ankunft	dojazd	N;FEM;SG	N;NOM;MASC;SG
ankunft	przybycie	ankunft	przybyć	N;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ankunft	przyjazd	ankunft	przyjazd	N;FEM;SG	N;NOM;MASC;SG
verändern	zmodyfikować	verändern	zmodyfikować	V;NFIN	V;PFV;NFIN;ACT
stürmer	strajkujących	stürm	strajkować	ADJ	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
heller	jaśniejsze	hell	jasny	ADJ	ADJ;NOM;CMPR;NEUT;SG
befreit	uwolnił	befreien	uwolnić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
anliegen	obawy	anliegen	obawa		
kohle	węgla	kohl	węgiel		
kohle	ciasto	kohl	ciasto		
erteilt	wydano	erteilen	wydać	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
erteilt	przyznano	erteilen	przyznać	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
konzern	corporation	konzern	corporation		
nordischen	nordyckiej	nordisch	nordycki	ADJ	ADJ;GEN;FEM;SG
gebeten	zapytała	bitten	zapytać	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
gebeten	poprosił	bitten	poprosić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
gebeten	pytał	bitten	pytać	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
gebeten	zapytał	bitten	zapytać	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
gebeten	modły	bitten	moda	V;V.PTCP	V;IPFV;MASC;IND;PL;PST;FIN;ACT
manga	manga	manga	manga		
demo	demo	demo	demo		
kritisierte	skrytykował	kritisieren	skrytykować	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
kritisierte	skrytykował	kritisieren	skrytykować	V;IND;SG;3;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
jemals	kiedykolwiek	jemals	kiedykolwiek	ADV	ADV
verschwunden	odszedł	verschwinden	odejść	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
verschwunden	zniknął	verschwinden	zniknąć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
estland	tallinn	estlind	tallinny		
estland	estonii	estlind	estonia		
estland	estonia	estlind	estonia		
startet	uruchamia	starten	uruchamiać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
älterer	starsza	alt	stary	ADJ	ADJ;NOM;CMPR;FEM;SG
älterer	starsze	alt	stary	ADJ	ADJ;NOM;CMPR;NEUT;SG
älterer	starsi	alt	stary	ADJ	ADJ;NOM;CMPR;MASC;PL
älterer	starszy	alt	stary	ADJ	ADJ;NOM;CMPR;MASC;SG
erwachsenen	dorosłych	erwachsen	dorosły	ADJ	ADJ;GEN;MASC;PL
erwachsenen	dorosłych	erwachsen	dorosły	ADJ	ADJ;GEN;MASC;PL
garde	garde	garde	gardy		
trennen	odłączyć	trennen	odłączyć	V;NFIN	V;PFV;NFIN;ACT
zwingend	obowiązkowe	zwingend	obowiązkowy	ADJ	ADJ;NOM;NEUT;SG
zwingend	obowiązkowy	zwingend	obowiązkowy	ADJ	ADJ;NOM;MASC;SG
zwingend	obowiązkowa	zwingend	obowiązkowy	ADJ	ADJ;NOM;FEM;SG
zwingend	obowiązkowe	zwingend	obowiązkowy	ADJ	ADJ;NOM;NEUT;SG
zwingend	obowiązkowa	zwingend	obowiązkowy	ADJ	ADJ;NOM;FEM;SG
zwingend	obowiązkowy	zwingend	obowiązkowy	ADJ	ADJ;NOM;MASC;SG
zwingend	obowiązkowe	zwingend	obowiązkowy	ADJ	ADJ;NOM;NEUT;SG
zwingend	obowiązkowy	zwingend	obowiązkowy	ADJ	ADJ;NOM;MASC;SG
zwingend	obowiązkowa	zwingend	obowiązkowy	ADJ	ADJ;NOM;FEM;SG
innenraum	wewnętrzne	innenraum	wewnętrzny	ADJ	ADJ;NOM;NEUT;SG
germanistik	germańskie	germanistik	germański	ADJ	ADJ;NOM;NEUT;SG
singen	śpiewaj	singen	śpiewać	V;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
singen	śpiewać	singen	śpiewać	V;NFIN	V;IPFV;NFIN;ACT
singen	śpiewa	singen	śpiewać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
singen	śpiewam	singen	śpiewać	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
camp	camp	camp	campa		
minden	minden	minden	minden		
gefecht	bitwa	fechen	bitwo		
gefecht	battle	fechen	battla		
gefecht	bitwy	fechen	bitwa		
beine	nóżki	bein	nóżka		
beine	nóg	bein	noga		
asteroiden	asteroid	asteroiden	asteroid		
asteroiden	asteroidy	asteroiden	asteroida		
woher	jak	woher	jak	ADV	ADV
überprüfung	recenzja	überprüfung	recenzja	N;NOM;FEM;SG	N;NOM;FEM;SG
überprüfung	rewizja	überprüfung	rewizja	N;NOM;FEM;SG	N;NOM;FEM;SG
überprüfung	sprawdzenie	überprüfung	sprawdzenie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
überprüfung	weryfikacja	überprüfung	weryfikacja	N;NOM;FEM;SG	N;NOM;FEM;SG
böden	gleby	böden	gleba		
böden	gleb	böden	gleb		
böden	podłóg	böden	podłóg		
böden	gleby	böden	gleba		
stade	stade	stade	stade		
ständigen	stałego	ständig	stały	ADJ	ADJ;ACC;MASC;SG
ständigen	stojący	ständig	stać	ADJ	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
bühnen	etapy	bühnen	etap	N;NOM;PL	N;NOM;MASC;PL
vermehrt	rozmnażane	vermehrt	rozmnażany	ADJ	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
japanisch	japońska	japanisch	japoński	ADJ	ADJ;NOM;FEM;SG
japanisch	japoński	japanisch	japoński	ADJ	ADJ;NOM;MASC;SG
japanisch	japońskie	japanisch	japoński	ADJ	ADJ;NOM;NEUT;SG
japanisch	japończycy	japanisch	japończyk	ADJ	ADJ;NOM;MASC;PL
sat	sat	sat	sat		
fliehen	uciec	fliehen	uciec	V;NFIN	V;PFV;NFIN;ACT
stoffe	substancje	stoffen	substancja	N;NOM;PL	N;NOM;FEM;PL
fraglich	wątpliwe	fraglich	wątpliwy	ADJ	ADJ;NOM;NEUT;SG
fraglich	dyskusyjne	fraglich	dyskusyjny	ADJ	ADJ;NOM;NEUT;SG
fraglich	wątpliwe	fraglich	wątpliwy	ADJ	ADJ;NOM;NEUT;SG
empfangen	otrzymywać	empfangen	otrzymywać	V;V.PTCP	V;IPFV;NFIN;ACT
empfangen	odbierać	empfangen	odbierać	V;V.PTCP	V;IPFV;NFIN;ACT
empfangen	otrzymać	empfangen	otrzymać	V;V.PTCP	V;PFV;NFIN;ACT
empfangen	otrzymała	empfangen	otrzymać	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
empfangen	otrzymano	empfangen	otrzymać	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
diff	diff	diff	diff		
pflicht	obowiązkowe	pflicht	obowiązkowy	ADJ	ADJ;NOM;NEUT;SG
pflicht	obowiązkowy	pflicht	obowiązkowy	ADJ	ADJ;NOM;MASC;SG
pflicht	obowiązkowa	pflicht	obowiązkowy	ADJ	ADJ;NOM;FEM;SG
pflicht	obowiązkowe	pflicht	obowiązkowy	ADJ	ADJ;NOM;NEUT;SG
pflicht	obowiązkowa	pflicht	obowiązkowy	ADJ	ADJ;NOM;FEM;SG
pflicht	obowiązkowy	pflicht	obowiązkowy	ADJ	ADJ;NOM;MASC;SG
pflicht	obowiązkowe	pflicht	obowiązkowy	ADJ	ADJ;NOM;NEUT;SG
pflicht	obowiązkowy	pflicht	obowiązkowy	ADJ	ADJ;NOM;MASC;SG
pflicht	obowiązkowa	pflicht	obowiązkowy	ADJ	ADJ;NOM;FEM;SG
türkisch	turecka	türkisch	turecka	ADJ	ADJ;NOM;FEM;SG
türkisch	tureckie	türkisch	turecki	ADJ	ADJ;NOM;NEUT;SG
türkisch	turecki	türkisch	turecka	ADJ	ADJ;NOM;MASC;SG
nummern	numery	nummern	numer	N	N;NOM;MASC;PL
nummern	liczby	nummern	liczba	N	N;ACC;FEM;SG
schnellen	szybkie	schnell	szybki	ADJ	ADJ;NOM;NEUT;SG
schnellen	szybki	schnell	szybki	ADJ	ADJ;NOM;MASC;SG
schnellen	szybka	schnell	szybki	ADJ	ADJ;NOM;FEM;SG
wusste	wiedział	wissen	wiedzieć	V;IND;SG;3;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
dichtung	poezji	dichtung	poezja		
dichtung	poezja	dichtung	poezja		
hinreichend	wystarczające	hinreichend	wystarczający	ADJ	ADJ;NOM;NEUT;SG
hinreichend	wystarczająca	hinreichend	wystarczający	ADJ	ADJ;NOM;FEM;SG
hinreichend	wystarczający	hinreichend	wystarczający	ADJ	ADJ;NOM;MASC;SG
theoretisch	teoretyczne	theoretisch	teoretyczny	ADJ	ADJ;NOM;NEUT;SG
persönlicher	osobiste	persönlich	osobisty	ADJ	ADJ;NOM;NEUT;SG
persönlicher	osobista	persönlich	osobisty	ADJ	ADJ;NOM;FEM;SG
persönlicher	osobisty	persönlich	osobisty	ADJ	ADJ;NOM;MASC;SG
mien	mien	mienen	mien		
ernährung	dieta	Ernährung	dieta	N;NOM;FEM;SG	N;NOM;FEM;SG
vergleichen	porównaj	vergleichen	porównać	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
vergleichen	porównać	vergleichen	porównać	V;NFIN	V;PFV;NFIN;ACT
vergleichen	porównując	vergleichen	porównywać	V;NFIN	V;IPFV;PRS;V.CVB;ACT
gestrichen	usunięto	gestrechen	usunąć	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
gestrichen	zniosła	gestrechen	znieść	V;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
gestrichen	zniósł	gestrechen	znieść	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
verabschiedet	przyjęto	verabschieden	przyjąć	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
anerkannte	uznane	anerkannt	uznać	ADJ;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
anerkannte	uznawane	anerkannt	uznawać	ADJ;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
anerkannte	uznany	anerkannt	uznać	ADJ;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
anerkannte	uznana	anerkannt	uznać	ADJ;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
anerkannte	uznany	anerkannt	uznać	ADJ;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
anerkannte	uznawane	anerkannt	uznawać	ADJ;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
anerkannte	uznane	anerkannt	uznać	ADJ;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
anerkannte	uznana	anerkannt	uznać	ADJ;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
springen	skacze	springen	skakać	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
ära	epoka	ära	epoka	N;NOM;FEM;SG	N;NOM;FEM;SG
annehmen	zakładać	annehmen	zakładać	V;NFIN	V;IPFV;NFIN;ACT
annehmen	zakładaj	annehmen	zakładać	V;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
annehmen	zaakceptować	annehmen	zaakceptować	V;NFIN	V;PFV;NFIN;ACT
annehmen	akceptuje	annehmen	akceptować	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
annehmen	akceptuję	annehmen	akceptować	V;NFIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
annehmen	przyjmij	annehmen	przyjmie	V;NFIN	V;PFV;IMP;SG;2;FIN;ACT
abteilungen	dywizje	abteilingen	dywizja	N;NOM;FEM;PL	N;NOM;FEM;PL
abteilungen	podziały	abteilingen	podział	N;NOM;FEM;PL	N;NOM;MASC;PL
erläutert	wyjaśnił	erläutern	wyjaśnić	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
erläutert	wyjaśniono	erläutern	wyjaśnić	V;V.PTCP	V;PFV;IND;0;PST;FIN;ACT
erläutert	wyjaśnia	erläutern	wyjaśniać	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
erläutert	tłumaczy	erläutern	tłumaczyć	V;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
kritischen	krytyczne	kritisch	krytyczny	ADJ	ADJ;NOM;NEUT;SG
kritischen	krytyczna	kritisch	krytyczny	ADJ	ADJ;NOM;FEM;SG
kritischen	krytyczny	kritisch	krytyczny	ADJ	ADJ;NOM;MASC;SG
kritischen	krytycznych	kritisch	krytyczny	ADJ	ADJ;GEN;MASC;PL
sturz	jesień	sturz	jesień		
amazon	amazon	amazon	amazon		
teilgenommen	uczestniczył	teilnehmen	uczestniczyć	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
teilgenommen	uczęszczał	teilnehmen	uczęszczać	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
teilgenommen	uczestniczyło	teilnehmen	uczestniczyć	V;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
teilgenommen	uczestniczył	teilnehmen	uczestniczyć	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
teilgenommen	udział	teilnehmen	udział	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
teilgenommen	uczestniczyły	teilnehmen	uczestniczyć	V;V.PTCP	V;IPFV;FEM;IND;PL;PST;FIN;ACT
teilgenommen	uczestniczyła	teilnehmen	uczestniczyć	V;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
shakespeare	szekspir	shakespeare	szekspir	N;NOM;MASC;SG	N;NOM;MASC;SG
hang	nachylenie	hang	nachylenie	N	N;NOM;NEUT;SG
löscht	usuwa	löschen	usuwać	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
beantwortet	odpowiedział	beantworten	odpowiedzieć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
beantwortet	odpowiedział	beantworten	odpowiedzieć	V;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
oberste	najwyższa	ober	wysoki	ADJ;NOM	ADJ;NOM;CMPR;FEM;SG
oberste	najwyższy	ober	wysoki	ADJ;NOM	ADJ;NOM;CMPR;MASC;SG
schwäbisch	szwabskiej	schwäbisch	szwabski	ADJ	ADJ;GEN;FEM;SG
berühmt	sławne	berühmt	sławny	ADJ	ADJ;NOM;NEUT;SG
berühmt	sławny	berühmt	sławny	ADJ	ADJ;NOM;MASC;SG
berühmt	sławna	berühmt	sławna	ADJ	ADJ;NOM;FEM;SG
berühmt	sławna	berühmt	sławna	ADJ	ADJ;NOM;FEM;SG
restaurierung	przywrócenie	restaurierung	przywrócenie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
restaurierung	odtworzenie	restaurierung	odtworzyć	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
restaurierung	remont	restaurierung	remont	N;NOM;FEM;SG	N;NOM;MASC;SG
restaurierung	przywrócenie	restaurierung	przywrócenie	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
umzug	przemieszczenie	umzugen	przemieszczenie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
umzug	przenoszenie	umzugen	przenosić	N;SG	N;NOM;NEUT;SG;POS;V.MSDR
umzug	przeniesienie	umzugen	przeniesienie	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
umzug	przenoszenie	umzugen	przenosić	N;SG	N;NOM;NEUT;SG;POS;V.MSDR
umzug	przeprowadzka	umzugen	przeprowadzka	N;SG	N;NOM;FEM;SG
umzug	parada	umzugen	parada	N;SG	N;NOM;FEM;SG
umzug	paradę	umzugen	parada	N;SG	N;ACC;FEM;SG
umzug	pochód	umzugen	pochód	N;SG	N;NOM;MASC;SG
umzug	usunięcie	umzugen	usunąć	N;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
umzug	usuwanie	umzugen	usuwać	N;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
niedrigen	niskie	niedrig	niski	ADJ	ADJ;NOM;NEUT;SG
niedrigen	niski	niedrig	niski	ADJ	ADJ;NOM;MASC;SG
ski	nart	ski	narta		
ski	narty	ski	narta		
ski	narty	ski	narta		
ski	ski	ski	skiot		
gezielt	ukierunkowana	gezielt	ukierunkować	ADJ	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
gezielt	ukierunkowane	gezielt	ukierunkować	ADJ	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
erhöhung	zwiększenie	erhöhung	zwiększyć	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
erhöhung	wzrost	erhöhung	wzrost	N;NOM;FEM;SG	N;NOM;MASC;SG
erhöhung	wzmocnienie	erhöhung	wzmocnić	N;NOM;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
silbernen	srebrzyste	silbern	srebrzysty	ADJ	ADJ;NOM;NEUT;SG
wüste	pustyni	wüst	pustynia		
wüste	pustynia	wüst	pustynia		
wüste	pustynie	wüst	pustynąć		
polizisten	gliniarze	polizist	gliniarz	N;PL	N;NOM;MASC;PL
polizisten	policjanci	polizist	policjant	N;PL	N;NOM;MASC;PL
polizisten	policjantów	polizist	policjant	N;PL	N;ACC;MASC;PL
polizisten	policjanci	polizist	policjant	N;PL	N;NOM;MASC;PL
polizisten	funkcjonariusze	polizist	funkcjonariusz	N;PL	N;NOM;MASC;PL
polizisten	oficerowie	polizist	oficer	N;PL	N;NOM;MASC;PL
polizisten	oficerów	polizist	oficer	N;PL	N;ACC;MASC;PL
latein	łacińskiej	latein	łaciński	ADJ	ADJ;GEN;FEM;SG
fortgesetzt	kontynuował	fortsetzen	kontynuować	V;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
politisches	polityczny	politisch	polityczny	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG
politisches	polityczne	politisch	polityczny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
politisches	polityczna	politisch	polityczny	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG
antwerpen	antwerpen	antwerpen	antwerpen		
güterverkehr	towarowy	güterverkehr	towarowy	ADJ	ADJ;NOM;MASC;SG
alternativen	alternatywna	alternativ	alternatywny	ADJ	ADJ;NOM;FEM;SG
alternativen	alternatywne	alternativ	alternatywny	ADJ	ADJ;NOM;NEUT;SG
alternativen	alternatywny	alternativ	alternatywny	ADJ	ADJ;NOM;MASC;SG
abc	abc	abc	abc		
