mac	maca	mac	maca	N;NOM;MASC;SG	N;NOM;FEM;SG
rođak	príbuzný	rođak	príbuzný	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
rođak	sesternica	rođak	sesternica	N;NOM;MASC;SG	N;NOM;FEM;SG
rođak	bratranec	rođak	bratranec	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
reformi	reformy	reforma	reforma	N;NOM;FEM;PL	N;NOM;FEM;PL
završi	dokončiť	završiti	dokončiť	V;IND;SG;3;PRS;FIN	V;PFV;POS;NFIN
slava	chvála	slava	chválať	N;NOM;FEM;SG	N;NOM;FEM;SG
slava	sláva	slava	slávať	N;NOM;FEM;SG	N;NOM;FEM;SG
slava	sláva	slava	slávať	N;NOM;FEM;SG	N;NOM;FEM;SG
odabrao	vybrala	odabrati	vybrať	V;MASC;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
odabrao	vybral	odabrati	vybrať	V;MASC;SG;PST;V.PTCP;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
odabrao	vyberal	odabrati	vyberať	V;MASC;SG;PST;V.PTCP;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
odabrao	vyberala	odabrati	vyberať	V;MASC;SG;PST;V.PTCP;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
jača	silnejšia	jak	silný	ADJ;NOM;DEF;CMPR;FEM;SG	ADJ;NOM;CMPR;FEM;SG
jača	silnejší	jak	silný	ADJ;NOM;DEF;CMPR;FEM;SG	ADJ;ANIM;NOM;CMPR;MASC;SG
pustinja	púšť	pustinje	púšť	N;NOM;FEM;SG	N;NOM;FEM;SG
zaklada	nadácia	zaklada	nadácia	N;NOM;FEM;SG	N;NOM;FEM;SG
zaklada	základ	zaklada	základ	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
trup	trup	trup	trup	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
evanđelje	evanjelium	evanđelje	evanjelium	N;NOM;NEUT;SG	N;NOM;NEUT;SG
zmaja	draka	zma	drak	N;ACC;MASC;SG	N;ANIM;ACC;MASC;SG
domaća	vnútroštátna	domaći	vnútroštátny	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
domaća	domáca	domaći	domáci	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
domaća	domáce	domaći	domáci	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
domaća	domáce	domaći	domáci	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
atentat	atentát	atentat	atentát	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
atentat	vražda	atentat	vražda	N;NOM;MASC;SG	N;NOM;FEM;SG
zločini	zločiny	zločin	zločin	N;NOM;MASC;PL	N;NOM;FEM;PL
jupiter	jupiter	jupiter	jupiter	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
pomogla	pomohlo	pomoći	pomôcť	V;FEM;SG;PST;V.PTCP;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
pomogla	pomohol	pomoći	pomôcť	V;FEM;SG;PST;V.PTCP;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
pomogla	pomohla	pomoći	pomôcť	V;FEM;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
strategija	stratégia	strategija	stratégia	N;NOM;FEM;SG	N;NOM;FEM;SG
balkan	balkán	balkan	balkán	N;NOM;MASC;SG	N;NOM;FEM;SG
balkan	balkán	balkan	balkán	N;NOM;MASC;SG	N;NOM;FEM;SG
peć	sporák	peć	sporák	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
peć	kotol	peć	kotol	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
peć	pec	peć	pec	N;NOM;FEM;SG	N;NOM;FEM;SG
peć	trúba	peć	trúba	N;NOM;FEM;SG	N;NOM;FEM;SG
peć	pec	peć	pec	N;NOM;FEM;SG	N;NOM;FEM;SG
peć	rúra	peć	rúra	N;NOM;FEM;SG	N;NOM;FEM;SG
ramena	plecia	ramen	plece	N;NOM;MASC;PL	N;NOM;NEUT;PL
ramena	ramená	ramen	rameno	N;NOM;MASC;PL	N;NOM;NEUT;PL
regionalni	regionálne	regionalan	regionálny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
regionalni	regionálny	regionalan	regionálny	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
regionalni	regionálna	regionalan	regionálny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
predaja	odovzdanie	predaja	odovzdanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
pretrpio	vydržala	pretrpiti	vydržať	V;MASC;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;POS;PST;V.PTCP
pretrpio	trpela	pretrpiti	trpieť	V;MASC;SG;PST;V.PTCP;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
pretrpio	trpel	pretrpiti	trpel	V;MASC;SG;PST;V.PTCP;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
pretrpio	utrpelo	pretrpiti	utrpieť	V;MASC;SG;PST;V.PTCP;ACT	V;PFV;NEUT;SG;POS;PST;V.PTCP
pretrpio	utrpel	pretrpiti	utrpieť	V;MASC;SG;PST;V.PTCP;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
anemone	anemone	anemon	anemon	N;NOM;FEM;SG	N;ANIM;NOM;MASC;SG
pojavljivanje	vzhľad	pojavljivanje	vzhľad	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
izvoz	export	izvoz	export	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
izvoz	vývoz	izvoz	vývoz	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
izvoz	export	izvoz	export	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
izvoz	vývoz	izvoz	vývoz	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
godišnjice	výročia	godišnjica	výročiť	N;NOM;FEM;PL	N;NOM;NEUT;PL
blokada	blokáda	blokada	blokádať	N;NOM;FEM;SG	N;NOM;FEM;SG
adaptacija	prispôsobenie	adaptacija	prispôsobenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
adaptacija	prispôsobovanie	adaptacija	prispôsobovanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
izumitelj	vynálezca	izumitelj	vynálezca	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
zaštitni	ochranný	zaštitan	ochranný	ADJ;NOM;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG
zaštitni	ochranná	zaštitan	ochranný	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
zaštitni	ochranné	zaštitan	ochranný	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
leti	letieť	leti	letieť	V;IND;SG;3;PRS;FIN	V;IPFV;POS;NFIN
leti	lietať	leti	lietať	V;IND;SG;3;PRS;FIN	V;IPFV;POS;NFIN
leti	lieta	leti	lieto	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
leti	letí	leti	letieť	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
socijalno	spoločensky	socijalno	spoločensky	ADV	ADV
objašnjenja	vysvetlenia	objašnjenje	vysvetlenie	N;NOM;NEUT;PL	N;NOM;NEUT;PL
objašnjenja	vysvetlivky	objašnjenje	vysvetlivka	N;NOM;NEUT;PL	N;NOM;FEM;PL
preuzimanje	stiahnutie	preuzimanje	stiahnutie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
preuzimanje	sťahovanie	preuzimanje	sťahovanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
preuzimanje	sťahovanie	preuzimanje	sťahovanie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
preuzimanje	prevzatie	preuzimanje	prevzatie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
unuka	vnučka	unuk	vnučko	N;NOM;MASC;SG	N;NOM;FEM;SG
unuka	vnuk	unuk	vnuk	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
opstanak	prežívanie	opstanak	prežívanie	N;NOM;MASC;SG	N;NOM;NEUT;SG
opstanak	prežitie	opstanak	prežitie	N;NOM;MASC;SG	N;NOM;NEUT;SG
lud	blázon	lud	blázon	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
lud	šialenstvo	lud	šialenstvo	N;NOM;MASC;SG	N;NOM;NEUT;SG
minimalno	minimálne	minimalno	minimálne	ADV	ADV
minimalno	minimálne	minimalno	minimálne	ADV	ADV
dramu	drámu	dram	dráma	N;ACC;FEM;SG	N;ACC;FEM;SG
azija	ázia	azija	ázia	N;NOM;FEM;SG	N;NOM;FEM;SG
prijetnja	ohrozenie	prijetnja	ohrozenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
prijetnja	hrozba	prijetnja	hrozba	N;NOM;FEM;SG	N;NOM;FEM;SG
datoteke	súbory	datoteka	súbor	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
admin	admin	admin	admin	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
admin	administrátor	admin	administrátor	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
vjerojatnost	pravdepodobnosť	vjerojatnost	pravdepodobnosť	N;NOM;FEM;SG	N;NOM;FEM;SG
plaća	mzda	plaća	mzda	N;NOM;FEM;SG	N;NOM;FEM;SG
plaća	plat	plaća	plat	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
plaća	plat	plaća	plat	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
terapija	liečba	terapija	liečba	N;NOM;FEM;SG	N;NOM;FEM;SG
terapija	terapia	terapija	terapia	N;NOM;FEM;SG	N;NOM;FEM;SG
statut	štatút	statut	štatút	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
platforma	plošina	platforma	plošina	N;NOM;FEM;SG	N;NOM;FEM;SG
platforma	platforma	platforma	platforma	N;NOM;FEM;SG	N;NOM;FEM;SG
misa	hmota	misa	hmota	N;NOM;FEM;SG	N;NOM;FEM;SG
misa	hmotnosť	misa	hmotnosť	N;NOM;FEM;SG	N;NOM;FEM;SG
misa	misa	misa	misa	N;NOM;FEM;SG	N;NOM;FEM;SG
kat	podlaha	kat	podlaha	N;NOM;MASC;SG	N;NOM;FEM;SG
kat	poschodie	kat	poschodie	N;NOM;MASC;SG	N;NOM;NEUT;SG
miris	vôňa	miris	vôňa	N;NOM;MASC;SG	N;NOM;FEM;SG
miris	čuch	miris	čuch	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
miris	vôňa	miris	vôňa	N;NOM;MASC;SG	N;NOM;FEM;SG
miris	zápach	miris	zápach	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
miris	vôňa	miris	vôňa	N;NOM;MASC;SG	N;NOM;FEM;SG
potrošnje	výdavky	potrošnja	výdavka	N;NOM;FEM;PL	N;NOM;FEM;PL
potrošnje	spotreby	potrošnja	spotreby	N;NOM;FEM;PL	N;NOM;FEM;PL
sadržavati	obsahovať	sadržavati	obsahovať	V;NFIN	V;IPFV;POS;NFIN
sadržavati	obsahujú	sadržavati	obsahovať	V;NFIN	V;IPFV;IND;PL;3;POS;PRS;FIN
kombinacije	kombinácie	kombinacija	kombinácia	N;NOM;FEM;PL	N;NOM;FEM;PL
trake	kazety	traka	kazeta	N;NOM;FEM;PL	N;NOM;FEM;PL
trake	pásky	traka	páska	N;NOM;FEM;PL	N;NOM;FEM;PL
dizel	naftu	dizel	nafta	N;NOM;MASC;SG	N;NOM;FEM;SG
dizel	diesel	dizel	diesť	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
dizel	nafta	dizel	nafta	N;NOM;MASC;SG	N;NOM;FEM;SG
stražnji	zadné	stražnji	zadný	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;SG
stražnji	zadná	stražnji	zadný	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
stražnji	zadný	stražnji	zadný	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
tiskana	vytlačené	tiskana	vytlačený	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tiskana	potlačené	tiskana	potlačený	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tiskana	tlačené	tiskana	tlačený	ADJ;NOM;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG
fan	ventilátor	fan	ventilátor	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
fan	fanúšik	fan	fanúšik	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
očeve	otcov	očeva	otcov	N;NOM;FEM;PL	N;ANIM;NOM;MASC;PL
očeve	otcovia	očeva	otec	N;NOM;FEM;PL	N;ANIM;NOM;MASC;PL
dopuštenje	povolenie	dopuštenje	povolenie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
simfonija	symfónia	simfonija	symfóniť	N;NOM;FEM;SG	N;NOM;FEM;SG
zanimanja	povolania	zanimanje	povolanie	N;NOM;NEUT;PL	N;NOM;NEUT;PL
zanimanja	profesie	zanimanje	profesie	N;NOM;NEUT;PL	N;NOM;FEM;PL
zanimanja	povolania	zanimanje	povolanie	N;NOM;NEUT;PL	N;NOM;NEUT;PL
molitva	teme	molitva	ty	N;NOM;FEM;SG	N;NOM;FEM;SG
molitva	modlitba	molitva	modlitba	N;NOM;FEM;SG	N;NOM;FEM;SG
faktora	faktorov	faktor	faktor	N;GEN;MASC;PL	N;INAN;GEN;MASC;PL
doseljenika	osadníkov	doseljenik	osadník	N;ACC;MASC;PL	N;ANIM;ACC;MASC;PL
kontinuirano	plynule	kontinuirano	plynule	ADV	ADV
kontinuirano	nepretržite	kontinuirano	nepretržite	ADV	ADV
kontinuirano	priebežne	kontinuirano	priebežne	ADV	ADV
vještica	čarodejnica	vještica	čarodejnica	N;NOM;FEM;SG	N;NOM;FEM;SG
vještica	bosorka	vještica	bosorka	N;NOM;FEM;SG	N;NOM;FEM;SG
pirati	piráti	pirati	pirát	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
pretvoriti	previesť	pretvoriti	previesť	V;NFIN	V;PFV;POS;NFIN
pojedinci	jednotlivci	pojedinac	jednotlivec	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
pojedinci	jedinci	pojedinac	jedinec	N;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
pojedinci	jedince	pojedinac	jedinec	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL
stope	miery	stopa	miera	N;NOM;FEM;PL	N;NOM;FEM;PL
stope	sadzby	stopa	sadzba	N;NOM;FEM;PL	N;NOM;FEM;PL
stope	kroky	stopa	krok	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
izjava	prehlásenie	izjava	prehlásenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
izjava	výkaz	izjava	výkaz	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
izjava	vyhlásenie	izjava	vyhlásenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
izjava	vyjadrenie	izjava	vyjadrenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
suprotnosti	protiklady	suprotnost	protiklad	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
sandra	sandra	sandar	sandra	N;NOM;FEM;SG	N;NOM;FEM;SG
hrabrost	odvaha	hrabrost	odvaha	N;NOM;FEM;SG	N;NOM;FEM;SG
menadžer	vedúci	menadžer	vedúci	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
menadžer	manažér	menadžer	manažér	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
menadžer	správca	menadžer	správca	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
piramida	pyramída	piramid	pyramída	N;NOM;FEM;SG	N;NOM;FEM;SG
gonzález	gonzález	gonzález	gonzález	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
čvor	uzol	čvor	uzol	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
čvor	uzol	čvor	uzol	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
bek	quarterback	bek	quarterback	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
udovica	vdova	udovica	vdova	N;NOM;FEM;SG	N;NOM;FEM;SG
tumačenje	interpretácia	tumačenje	interpretácia	N;NOM;NEUT;SG	N;NOM;FEM;SG
tumačenje	výklad	tumačenje	výklad	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
tumačenje	tlmočenie	tumačenje	tlmočenie	N;NOM;NEUT;SG	N;NOM;NEUT;SG
podgorica	podgorica	podgorica	podgorica	N;NOM;FEM;SG	N;NOM;FEM;SG
spora	sporu	spor	spor	N;GEN;MASC;SG	N;INAN;GEN;MASC;SG
trgovac	účastník	trgovac	účastník	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
trgovac	obchodník	trgovac	obchodník	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
trgovac	predajca	trgovac	predajca	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
trgovac	díler	trgovac	díler	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
legendarni	legendárna	legendaran	legendárny	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;SG
legendarni	legendárny	legendaran	legendárny	ADJ;NOM;DEF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
klasificira	klasifikuje	klasificirati	klasifikovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
obveza	povinnosť	obveza	povinnosť	N;NOM;FEM;SG	N;NOM;FEM;SG
obveza	záväzok	obveza	záväzok	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
obveza	odhodlanie	obveza	odhodlanie	N;NOM;FEM;SG	N;NOM;NEUT;SG
obveza	záväzok	obveza	záväzok	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
obveza	angažovanosť	obveza	angažovanosť	N;NOM;FEM;SG	N;NOM;FEM;SG
nebeska	nebeské	nebeski	nebeský	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
nebeska	nebeský	nebeski	nebeský	ADJ;NOM;DEF;FEM;SG	ADJ;ANIM;NOM;MASC;SG
nebeska	nebeská	nebeski	nebeský	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;FEM;SG
rukopis	rukopis	rukopis	rukopis	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG
postignut	dosiahnutý	postignuti	dosiahnutý	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
postignut	dosiahnutá	postignuti	dosiahnutý	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
postignut	dosiahnuté	postignuti	dosiahnutý	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ulaganja	investície	ulaganje	investícia	N;NOM;NEUT;PL	N;NOM;FEM;PL
ulaganja	investície	ulaganje	investícia	N;NOM;NEUT;PL	N;NOM;FEM;PL
sahranjen	pochovaný	sahraniti	pochovaný	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
sahranjen	pochovaná	sahraniti	pochovaný	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
sahranjen	pochované	sahraniti	pochovaný	ADJ;NOM;MASC;SG;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
pregovori	rokovania	pregovor	rokovanie	N;NOM;MASC;PL	N;NOM;NEUT;PL
pregovori	vyjednávania	pregovor	vyjednávanie	N;NOM;MASC;PL	N;NOM;NEUT;PL
pregovori	rokovania	pregovor	rokovanie	N;NOM;MASC;PL	N;NOM;NEUT;PL
novčanice	účty	novčanica	účet	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL
šteta	ľútosť	šteta	ľútosť	N;NOM;FEM;SG	N;NOM;FEM;SG
šteta	škoda	šteta	škoda	N;NOM;FEM;SG	N;NOM;FEM;SG
hlađenja	chladenia	hlađenje	chladenie	N;NOM;NEUT;PL	N;NOM;NEUT;PL
