prototype	prototype	prototype	prototype	N;NEUT;SG	N;MASC;SG
andre	andre	andre	andre	N;MASC+FEM;SG	N;MASC;SG
streng	rigoureuse	streng	rigoureux	ADJ	ADJ;FEM;SG
streng	rigoureuses	streng	rigoureux	ADJ	ADJ;FEM;PL
streng	rigoureux	streng	rigoureux	ADJ	ADJ;MASC;SG
streng	rigoureuse	streng	rigoureux	ADJ	ADJ;FEM;SG
streng	strict	streng	strict	ADJ	ADJ;MASC;SG
streng	rigoureux	streng	rigoureux	ADJ	ADJ;MASC;SG
streng	strictes	streng	strict	ADJ	ADJ;FEM;PL
streng	stricte	streng	strict	ADJ	ADJ;FEM;SG
streng	sévères	streng	sévère	ADJ	ADJ;MASC;PL
streng	graves	streng	grave	ADJ	ADJ;MASC;PL
streng	grave	streng	grave	ADJ	ADJ;MASC;SG
streng	sévère	streng	sévère	ADJ	ADJ;MASC;SG
streng	sévère	streng	sévère	ADJ	ADJ;MASC;SG
hallo	salut	hallo	salut	N;MASC+FEM;SG	N;MASC;SG
mexicaans	mexicaines	mexicaans	mexicain	ADJ	ADJ;FEM;PL
mexicaans	mexicaine	mexicaans	mexicain	ADJ	ADJ;FEM;SG
mexicaans	mexicains	mexicaans	mexicain	ADJ	ADJ;MASC;PL
mexicaans	mexicain	mexicaans	mexicain	ADJ	ADJ;MASC;SG
historici	historiens	historicus	historien	N;PL	N;MASC;PL
bladen	feuilles	blad	feuille	N;PL	N;FEM;PL
bladen	draps	blad	drap	N;PL	N;MASC;PL
vacht	manteau	vacht	manteau	N;MASC+FEM;SG	N;MASC;SG
vacht	fourrure	vacht	fourrure	N;MASC+FEM;SG	N;FEM;SG
vacht	pelage	vacht	pelage	N;MASC+FEM;SG	N;MASC;SG
heaven	cieux	heaven	ciel	N;PL	N;MASC;PL
jura	jura	jura	jura	N;NEUT;SG	N;MASC;SG
afgewerkt	fini	afwerken	finir	V;V.PTCP	V;MASC;SG;PST;V.PTCP
afgewerkt	terminée	afwerken	terminer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
afgewerkt	terminé	afwerken	terminer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
geschrapt	supprimé	schrappen	supprimer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
geschrapt	supprimée	schrappen	supprimer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
geschrapt	effacé	schrappen	effacer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
geschrapt	supprimés	schrappen	supprimer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
geschrapt	supprimées	schrappen	supprimer	V;V.PTCP	V;FEM;PL;PST;V.PTCP
opvolging	succession	opvolging	succession	N;MASC+FEM;SG	N;FEM;SG
bende	gang	bende	gang	N;MASC+FEM;SG	N;MASC;SG
bende	bande	bende	bande	N;MASC+FEM;SG	N;FEM;SG
sars	sras	sars	sras	N;MASC+FEM;SG	N;MASC;SG
toetsen	clés	toetsen	clé	N;PL	N;FEM;PL
toetsen	clefs	toetsen	clef	N;PL	N;MASC;PL
luxe	luxe	luxe	luxe	N;MASC+FEM;SG	N;MASC;SG
onderscheidt	distingue	onderscheiden	distinguer	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
uitvoeringen	performances	uitvoering	performance	N;PL	N;FEM;PL
uitvoeringen	spectacles	uitvoering	spectacle	N;PL	N;MASC;PL
uitvoeringen	représentations	uitvoering	représentation	N;PL	N;FEM;PL
gen	gène	gen	gène	N;NEUT;SG	N;MASC;SG
opvoeding	enseignement	opvoeding	enseignement	N;MASC+FEM;SG	N;MASC;SG
opvoeding	éducation	opvoeding	éducation	N;MASC+FEM;SG	N;FEM;SG
salon	lounge	salon	lounge	N;MASC+FEM;SG	N;MASC;SG
salon	salon	salon	salon	N;MASC+FEM;SG	N;MASC;SG
salon	salon	salon	salon	N;MASC+FEM;SG	N;MASC;SG
gregory	grégoire	gregory	grégoire	N;MASC+FEM;SG	N;MASC;SG
karpers	carpes	karper	carpe	N;PL	N;FEM;PL
zinken	couler	zinken	couler	V;NFIN	V;NFIN
zinken	couler	zinken	couler	V;NFIN	V;NFIN
aluminium	aluminium	aluminium	aluminium	N;NEUT;SG	N;MASC;SG
aluminium	aluminium	aluminium	aluminium	N;NEUT;SG	N;MASC;SG
samenwerken	collaborent	samenwerken	collaborer	V;NFIN	V;IND;PL;3;PRS;FIN
samenwerken	collabore	samenwerken	collaborer	V;NFIN	V;IND;SG;3;PRS;FIN
samenwerken	collaborer	samenwerken	collaborer	V;NFIN	V;NFIN
lintworm	ténia	lintworm	ténia	N;MASC+FEM;SG	N;MASC;SG
fragmenten	clips	fragment	clip	N;PL	N;MASC;PL
fragmenten	pinces	fragment	pince	N;PL	N;FEM;PL
fragmenten	fragments	fragment	fragment	N;PL	N;MASC;PL
fragmenten	bribes	fragment	bribe	N;PL	N;FEM;PL
gemeenschappen	communautés	gemeenschap	communauté	N;PL	N;FEM;PL
gemeenschappen	collectivités	gemeenschap	collectivité	N;PL	N;FEM;PL
neue	neue	neue	neu	N;MASC+FEM;SG	N;MASC;SG
artistieke	artistiques	artistiek	artistique	ADJ	ADJ;MASC;PL
artistieke	artistique	artistiek	artistique	ADJ	ADJ;MASC;SG
gerelateerd	lié	relateren	lier	V;V.PTCP	V;MASC;SG;PST;V.PTCP
gerelateerd	liés	relateren	lier	V;V.PTCP	V;MASC;PL;PST;V.PTCP
afspraak	nomination	afspraak	nomination	N;MASC+FEM;SG	N;FEM;SG
schermen	écrans	scherm	écran	N;PL	N;MASC;PL
schermen	clôtures	scherm	clôture	N;PL	N;FEM;PL
schermen	boucliers	scherm	bouclier	N;PL	N;MASC;PL
schermen	scènes	scherm	scène	N;PL	N;FEM;PL
koepel	dôme	koepel	dôme	N;MASC+FEM;SG	N;MASC;SG
koepel	coupole	koepel	coupole	N;MASC+FEM;SG	N;FEM;SG
koepel	dome	koepel	dome	N;MASC+FEM;SG	N;MASC;SG
clan	clan	clan	clan	N;MASC+FEM;SG	N;MASC;SG
fel	féroce	fel	féroce	ADJ	ADJ;FEM;SG
fel	farouche	fel	farouche	ADJ	ADJ;FEM;SG
fel	féroces	fel	féroce	ADJ	ADJ;MASC;PL
fel	brillant	fel	brillant	ADJ	ADJ;MASC;SG
fel	lumineux	fel	lumineux	ADJ	ADJ;MASC;SG
slam	slam	slam	slam	N;MASC+FEM;SG	N;MASC;SG
vrouwe	madame	vrouw	Monsieur	N;MASC+FEM;SG	N;FEM;SG
vrouwe	dame	vrouw	dame	N;MASC+FEM;SG	N;FEM;SG
voordien	auparavant	voordien	auparavant	ADV	ADV
voordien	précédemment	voordien	précédemment	ADV	ADV
resterende	restant	resteren	rester	V;V.PTCP	V;PRS;V.PTCP
buurten	quartiers	buurten	quartier	N;PL	N;MASC;PL
buurten	quartiers	buurten	quartier	N;PL	N;MASC;PL
principes	principes	principe	principe	N;PL	N;MASC;PL
oprichters	fondateurs	oprichter	fondateur	N;PL	N;MASC;PL
sluiting	bouclage	sluiting	bouclage	N;MASC+FEM;SG	N;MASC;SG
sluiting	clôture	sluiting	clôture	N;MASC+FEM;SG	N;FEM;SG
sluiting	fermeture	sluiting	fermeture	N;MASC+FEM;SG	N;FEM;SG
sluiting	boucle	sluiting	boucle	N;MASC+FEM;SG	N;FEM;SG
stellingen	propositions	stelling	proposition	N;PL	N;FEM;PL
bayern	bayern	bayern	bayern	N;MASC+FEM;SG	N;MASC;SG
protocol	protocole	protocol	protocole	N;NEUT;SG	N;MASC;SG
protocol	protocol	protocol	protocole	N;NEUT;SG	N;MASC;SG
bieren	bières	bier	bière	N;PL	N;FEM;PL
bieren	bières	bier	bière	N;PL	N;FEM;PL
samenvoeging	agrégation	samenvoeging	agrégation	N;MASC+FEM;SG	N;FEM;SG
samenvoeging	fusion	samenvoeging	fusion	N;MASC+FEM;SG	N;FEM;SG
warner	avertisseur	warn	avertisseur	N;MASC+FEM;SG	N;MASC;SG
lotto	loto	lotto	loto	N;MASC+FEM;SG	N;MASC;SG
lotto	loto	lotto	loto	N;MASC+FEM;SG	N;MASC;SG
lotto	loterie	lotto	loterie	N;MASC+FEM;SG	N;FEM;SG
balans	balance	balans	balance	N;MASC+FEM;SG	N;FEM;SG
balans	solde	balans	solde	N;MASC+FEM;SG	N;MASC;SG
balans	équilibre	balans	équilibre	N;MASC+FEM;SG	N;MASC;SG
veldslag	bataille	veldslag	bataille	N;MASC+FEM;SG	N;FEM;SG
veldslag	combat	veldslag	combat	N;MASC+FEM;SG	N;MASC;SG
medewerking	collaboration	medewerking	collaboration	N;MASC+FEM;SG	N;FEM;SG
medewerking	coopération	medewerking	coopération	N;MASC+FEM;SG	N;FEM;SG
scherp	pointu	scherp	pointu	ADJ	ADJ;MASC;SG
pak	costard	pak	costard	N;NEUT;SG	N;MASC;SG
pak	costume	pak	costume	N;NEUT;SG	N;MASC;SG
scheiden	divorcer	scheiden	divorcer	V;NFIN	V;NFIN
verbouwing	rénovation	verbouwing	rénovation	N;MASC+FEM;SG	N;FEM;SG
parijse	parisiennes	parijs	parisien	ADJ	ADJ;FEM;PL
parijse	parisienne	parijs	parisien	ADJ	ADJ;FEM;SG
parijse	parisiens	parijs	parisien	ADJ	ADJ;MASC;PL
bakstenen	briques	baksteen	brique	N;PL	N;FEM;PL
kanalen	chaînes	kanaal	chaîne	N;PL	N;FEM;PL
kanalen	canaux	kanaal	canal	N;PL	N;MASC;PL
kanalen	canaux	kanaal	canal	N;PL	N;MASC;PL
dakota	dakota	dakota	dakota	N;MASC+FEM;SG	N;MASC;SG
vorstendom	principauté	vorstendom	principauté	N;NEUT;SG	N;FEM;SG
verdachte	accusé	verdenken	accuser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
verdachte	accusée	verdenken	accuser	V;V.PTCP	V;FEM;SG;PST;V.PTCP
ongewenst	indésirable	ongewenst	indésirable	ADJ	ADJ;MASC;SG
ongewenst	indésirables	ongewenst	indésirable	ADJ	ADJ;MASC;PL
ongewenst	indésirable	ongewenst	indésirable	ADJ	ADJ;MASC;SG
ongewenst	indésirables	ongewenst	indésirable	ADJ	ADJ;MASC;PL
geassocieerd	associée	associëren	associer	V;V.PTCP	V;FEM;SG;PST;V.PTCP
geassocieerd	associées	associëren	associer	V;V.PTCP	V;FEM;PL;PST;V.PTCP
citaat	cotation	citaat	cotation	N;NEUT;SG	N;FEM;SG
citaat	citation	citaat	citation	N;NEUT;SG	N;FEM;SG
citaat	devis	citaat	devis	N;NEUT;SG	N;MASC;SG
citaat	cotation	citaat	cotation	N;NEUT;SG	N;FEM;SG
citaat	citation	citaat	citation	N;NEUT;SG	N;FEM;SG
citaat	devis	citaat	devis	N;NEUT;SG	N;MASC;SG
vers	frais	vers	frais	ADJ	ADJ;MASC;SG
vers	fraiche	vers	fraiche	ADJ	ADJ;FEM;SG
vers	fraîche	vers	frais	ADJ	ADJ;FEM;SG
rechtszaak	essai	rechtszaak	essai	N;MASC+FEM;SG	N;MASC;SG
rechtszaak	procès	rechtszaak	procès	N;MASC+FEM;SG	N;MASC;SG
rechtszaak	procès	rechtszaak	procès	N;MASC+FEM;SG	N;MASC;SG
eet	manger	emmen	manger	V;SG;PRS;FIN	V;NFIN
eet	mange	emmen	manger	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
krachtige	puissant	krachtig	puissant	ADJ	ADJ;MASC;SG
krachtige	puissants	krachtig	puissant	ADJ	ADJ;MASC;PL
krachtige	puissante	krachtig	puissant	ADJ	ADJ;FEM;SG
krachtige	puissantes	krachtig	puissant	ADJ	ADJ;FEM;PL
zinvol	significative	zinvol	significatif	ADJ	ADJ;FEM;SG
zinvol	significatif	zinvol	significatif	ADJ	ADJ;MASC;SG
universum	univers	universum	univers	N;NEUT;SG	N;MASC;SG
naburige	voisines	naburig	voisin	ADJ	ADJ;FEM;PL
naburige	voisine	naburig	voisin	ADJ	ADJ;FEM;SG
naburige	voisin	naburig	voisin	ADJ	ADJ;MASC;SG
atmosfeer	atmosphère	atmosfeer	atmosphère	N;MASC+FEM;SG	N;FEM;SG
atmosfeer	ambiance	atmosfeer	ambiance	N;MASC+FEM;SG	N;FEM;SG
phoenix	phénix	phoenix	phénix	N;MASC+FEM;SG	N;MASC;SG
palm	palme	palm	palme	N;MASC+FEM;SG	N;FEM;SG
palm	palm	palm	palm	N;MASC+FEM;SG	N;MASC;SG
palm	paume	palm	paume	N;MASC+FEM;SG	N;FEM;SG
palm	palmier	palm	palmier	N;MASC+FEM;SG	N;MASC;SG
ambtenaren	fonctionnaires	ambtenaar	fonctionnaire	N;PL	N;MASC;PL
percentage	pourcentage	percentage	pourcentage	N;NEUT;SG	N;MASC;SG
bourbon	bourbon	bourbon	bourbon	N;MASC+FEM;SG	N;MASC;SG
culturen	cultures	cultuur	culture	N;PL	N;FEM;PL
superfamilie	superfamille	superfamilie	superfamille	N;MASC+FEM;SG	N;FEM;SG
schat	chéri	schat	chéri	N;MASC+FEM;SG	N;MASC;SG
schat	cherie	schat	cherie	N;MASC+FEM;SG	N;FEM;SG
schat	chérie	schat	chéri	N;MASC+FEM;SG	N;FEM;SG
schat	miel	schat	miel	N;MASC+FEM;SG	N;MASC;SG
schat	bébé	schat	bébé	N;MASC+FEM;SG	N;MASC;SG
schat	baby	schat	baby	N;MASC+FEM;SG	N;MASC;SG
schat	chéri	schat	chéri	N;MASC+FEM;SG	N;MASC;SG
schat	chérie	schat	chéri	N;MASC+FEM;SG	N;FEM;SG
schat	trésor	schat	trésor	N;MASC+FEM;SG	N;MASC;SG
schat	bébé	schat	bébé	N;MASC+FEM;SG	N;MASC;SG
schat	babe	schat	babe	N;MASC+FEM;SG	N;MASC;SG
afmetingen	dimensions	afmeting	dimension	N;PL	N;FEM;PL
moskee	mosquée	moskee	mosquée	N;MASC+FEM;SG	N;FEM;SG
robot	robot	robot	robot	N;MASC+FEM;SG	N;MASC;SG
bewustzijn	conscience	bewustzijn	conscience	N;NEUT;SG	N;FEM;SG
bewustzijn	notoriété	bewustzijn	notoriété	N;NEUT;SG	N;FEM;SG
bewustzijn	conscience	bewustzijn	conscience	N;NEUT;SG	N;FEM;SG
drugs	drogues	drug	drogue	N;PL	N;FEM;PL
kolonisten	colons	kolonist	colon	N;PL	N;MASC;PL
kolonisten	colons	kolonist	colon	N;PL	N;MASC;PL
archieven	archives	archief	archive	N;PL	N;FEM;PL
mineraal	minéral	mineraal	minéral	N;NEUT;SG	N;MASC;SG
pot	pot	pot	pot	N;MASC+FEM;SG	N;MASC;SG
pot	pot	pot	pot	N;MASC+FEM;SG	N;MASC;SG
pot	jarre	pot	jarre	N;MASC+FEM;SG	N;FEM;SG
pot	bocal	pot	bocal	N;MASC+FEM;SG	N;MASC;SG
pot	digue	pot	digue	N;MASC+FEM;SG	N;FEM;SG
herinneren	rappeler	herinneren	rappeler	V;NFIN	V;NFIN
chaos	anarchie	chaos	anarchie	N;MASC+FEM;SG	N;FEM;SG
chaos	chaos	chaos	chaos	N;MASC+FEM;SG	N;MASC;SG
schaduw	ombre	schaduw	ombre	N;MASC+FEM;SG	N;FEM;SG
schaduw	ombre	schaduw	ombre	N;MASC+FEM;SG	N;FEM;SG
schaduw	ombre	schaduw	ombre	N;MASC+FEM;SG	N;FEM;SG
schaduw	ombrage	schaduw	ombrage	N;MASC+FEM;SG	N;MASC;SG
schaduw	teinte	schaduw	teinte	N;MASC+FEM;SG	N;FEM;SG
ladies	dames	ladie	dame	N;PL	N;FEM;PL
duke	duc	duk	duc	N;MASC+FEM;SG	N;MASC;SG
gevangenschap	incarcération	gevangenschap	incarcération	N;MASC+FEM;SG	N;FEM;SG
gevangenschap	emprisonnement	gevangenschap	emprisonnement	N;MASC+FEM;SG	N;MASC;SG
gevangenschap	captivité	gevangenschap	captivité	N;MASC+FEM;SG	N;FEM;SG
vrijgegeven	publié	vrijgeven	publier	V;V.PTCP	V;MASC;SG;PST;V.PTCP
vrijgegeven	relâché	vrijgeven	relâcher	V;V.PTCP	V;MASC;SG;PST;V.PTCP
vrijgegeven	libérés	vrijgeven	libérer	V;V.PTCP	V;MASC;PL;PST;V.PTCP
vrijgegeven	libéré	vrijgeven	libérer	V;V.PTCP	V;MASC;SG;PST;V.PTCP
handschrift	ecriture	handschrift	ecriture	N;NEUT;SG	N;FEM;SG
handschrift	écriture	handschrift	écriture	N;NEUT;SG	N;FEM;SG
handschrift	manuscrit	handschrift	manuscrit	N;NEUT;SG	N;MASC;SG
agenten	agents	agent	agent	N;PL	N;MASC;PL
agenten	mandataires	agent	mandataire	N;PL	N;MASC;PL
agenten	officiers	agent	officier	N;PL	N;MASC;PL
pink	pinkie	pink	pinkie	N;MASC+FEM;SG	N;FEM;SG
violist	violoniste	violist	violoniste	N;MASC+FEM;SG	N;MASC;SG
tokyo	tokyo	tokyo	tokyo	N;MASC+FEM;SG	N;MASC;SG
apparatuur	équipement	apparatuur	équipement	N;MASC+FEM;SG	N;MASC;SG
apparatuur	matériel	apparatuur	matériel	N;MASC+FEM;SG	N;MASC;SG
apparatuur	equipement	apparatuur	equipement	N;MASC+FEM;SG	N;MASC;SG
rebellen	rebelles	rebel	rebelle	N;PL	N;MASC;PL
pantser	blindage	pantser	blindage	N;NEUT;SG	N;MASC;SG
pantser	armure	pantser	armure	N;NEUT;SG	N;FEM;SG
pantser	blindage	pantser	blindage	N;NEUT;SG	N;MASC;SG
pantser	armure	pantser	armure	N;NEUT;SG	N;FEM;SG
omgekeerde	inverser	omkeerd	inverser	V;V.PTCP	V;NFIN
omgekeerde	inversé	omkeerd	inverser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
omgekeerde	inversés	omkeerd	inverser	V;V.PTCP	V;MASC;PL;PST;V.PTCP
omgekeerde	inversées	omkeerd	inverser	V;V.PTCP	V;FEM;PL;PST;V.PTCP
omgekeerde	inversée	omkeerd	inverser	V;V.PTCP	V;FEM;SG;PST;V.PTCP
omgekeerde	inversé	omkeerd	inverser	V;V.PTCP	V;MASC;SG;PST;V.PTCP
bonaparte	bonaparte	bonapart	bonaparte	N;MASC+FEM;SG	N;MASC;SG
illustraties	illustrations	illustratie	illustration	N;PL	N;FEM;PL
illustraties	oeuvres	illustratie	oeuvre	N;PL	N;FEM;PL
conventie	convention	conventie	convention	N;MASC+FEM;SG	N;FEM;SG
dun	maigre	dun	maigre	ADJ	ADJ;MASC;SG
dun	mince	dun	mince	ADJ	ADJ;MASC;SG
dun	minces	dun	mince	ADJ	ADJ;MASC;PL
motto	devise	motto	devise	N;NEUT;SG	N;FEM;SG
essay	essai	essay	essai	N;NEUT;SG	N;MASC;SG
karakters	personnages	karakter	personnage	N;PL	N;MASC;PL
karakters	caractères	karakter	caractère	N;PL	N;MASC;PL
beschadigde	endommagé	beschadigen	endommager	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
beschadigde	abîmé	beschadigen	abîmer	V;SG;PST;FIN	V;MASC;SG;PST;V.PTCP
