през	keresztül	през	keresztül	ADP	ADP
януари	januárban	януари	január	N;INDF;MASC;SG	N;IN+ESS;SG
юни	június	юни	június	N;INDF;MASC;SG	N;NOM;SG
юни	júniusban	юни	június	N;INDF;MASC;SG	N;IN+ESS;SG
октомври	októberben	октомври	október	N;INDF;MASC;SG	N;IN+ESS;SG
октомври	október	октомври	október	N;INDF;MASC;SG	N;NOM;SG
име	neve	име	név	N;INDF;NEUT;SG	N;NOM;SG
име	név	име	név	N;INDF;NEUT;SG	N;NOM;SG
фон	háttér	фон	háttér	N;INDF;MASC;SG	N;NOM;SG
фон	háttere	фон	háttér	N;INDF;MASC;SG	N;NOM;SG
фон	háttérben	фон	háttér	N;INDF;MASC;SG	N;IN+ESS;SG
американски	amerikai	американски	amerikai	ADJ;INDF;MASC;SG	ADJ;NOM;SG
март	március	март	március	N;INDF;MASC;SG	N;NOM;SG
ноември	november	ноември	november	N;INDF;MASC;SG	N;NOM;SG
ноември	novemberben	ноември	november	N;INDF;MASC;SG	N;IN+ESS;SG
ноември	nov	ноември	nov	N;INDF;MASC;SG	N;NOM;SG
април	április	април	április	N;INDF;MASC;SG	N;NOM;SG
април	áprilisban	април	április	N;INDF;MASC;SG	N;IN+ESS;SG
декември	december	декември	december	N;INDF;MASC;SG	N;NOM;SG
декември	decemberben	декември	december	N;INDF;MASC;SG	N;IN+ESS;SG
декември	dec	декември	dec	N;INDF;MASC;SG	N;NOM;SG
чрез	keresztül	чрез	keresztül	ADP	ADP
история	sztori	история	sztori	N;INDF;FEM;SG	N;NOM;SG
история	történet	история	történet	N;INDF;FEM;SG	N;NOM;SG
история	története	история	történet	N;INDF;FEM;SG	N;NOM;SG
история	mese	история	mese	N;INDF;FEM;SG	N;NOM;SG
история	történelme	история	történelem	N;INDF;FEM;SG	N;NOM;SG
история	történelem	история	történel	N;INDF;FEM;SG	N;NOM;SG
жители	lakói	жител	lakó	N;INDF;MASC;PL	N;NOM;PL
жители	lakosok	жител	lakos	N;INDF;MASC;PL	N;NOM;PL
жители	lakói	жител	lakó	N;INDF;MASC;PL	N;NOM;PL
жители	lakók	жител	lakó	N;INDF;MASC;PL	N;NOM;PL
жители	lakosok	жител	lakos	N;INDF;MASC;PL	N;NOM;PL
без	nélkül	без	nélkül	ADP	ADP
февруари	februárban	февруари	február	N;INDF;MASC;SG	N;IN+ESS;SG
февруари	február	февруари	február	N;INDF;MASC;SG	N;NOM;SG
провинция	tartomány	провинция	tartomány	N;INDF;FEM;SG	N;NOM;SG
провинция	tartományban	провинция	tartomány	N;INDF;FEM;SG	N;IN+ESS;SG
империя	birodalom	империя	birodalom	N;INDF;FEM;SG	N;NOM;SG
център	középre	център	közép	N;INDF;MASC;SG	N;ON+ALL;SG
център	központ	център	központ	N;INDF;MASC;SG	N;NOM;SG
център	középre	център	közép	N;INDF;MASC;SG	N;ON+ALL;SG
център	központ	център	központ	N;INDF;MASC;SG	N;NOM;SG
център	centrum	център	centrum	N;INDF;MASC;SG	N;NOM;SG
вече	már	вече	már	ADV	ADV
сред	között	сред	között	ADP	ADP
страна	ország	страна	ország	N;INDF;FEM;SG	N;NOM;SG
страна	országban	страна	ország	N;INDF;FEM;SG	N;IN+ESS;SG
страна	oldalra	страна	oldal	N;INDF;FEM;SG	N;ON+ALL;SG
страна	oldalam	страна	oldal	N;INDF;FEM;SG	N;NOM;SG
въпреки	ellenére	въпреки	ellenére	ADP	ADP
градове	városok	град	város	N;INDF;MASC;PL	N;NOM;PL
градове	városok	град	város	N;INDF;MASC;PL	N;NOM;PL
градове	városokat	град	város	N;INDF;MASC;PL	N;ACC;PL
население	populáció	население	populáció	N;INDF;NEUT;SG	N;NOM;SG
население	népesség	население	népesség	N;INDF;NEUT;SG	N;NOM;SG
население	lakosság	население	lakosság	N;INDF;NEUT;SG	N;NOM;SG
университет	egyetem	университет	egyetem	N;INDF;MASC;SG	N;NOM;SG
син	fiam	син	fia	N;INDF;MASC;SG	N;NOM;SG
син	fiuk	син	fiuk	N;INDF;MASC;SG	N;NOM;SG
награда	jutalom	награда	jutalom	N;INDF;FEM;SG	N;NOM;SG
награда	díj	награда	díj	N;INDF;FEM;SG	N;NOM;SG
награда	jutalom	награда	jutalom	N;INDF;FEM;SG	N;NOM;SG
награда	nyeremény	награда	nyeremény	N;INDF;FEM;SG	N;NOM;SG
награда	díj	награда	díj	N;INDF;FEM;SG	N;NOM;SG
награда	díjat	награда	díjat	N;INDF;FEM;SG	N;ACC;SG
голяма	nagyméretű	голям	nagyméretű	ADJ;INDF;FEM;SG	ADJ;NOM;SG
голяма	nagy	голям	nagy	ADJ;INDF;FEM;SG	ADJ;NOM;SG
голяма	nagy	голям	nagy	ADJ;INDF;FEM;SG	ADJ;NOM;SG
сайт	weboldal	сайт	weboldal	N;INDF;MASC;SG	N;NOM;SG
сайт	honlap	сайт	honlap	N;INDF;MASC;SG	N;NOM;SG
сайт	webhely	сайт	webhely	N;INDF;MASC;SG	N;NOM;SG
сайт	helyszín	сайт	helyszín	N;INDF;MASC;SG	N;NOM;SG
сайт	helyén	сайт	hely	N;INDF;MASC;SG	N;ON+ESS;SG
сайт	webhely	сайт	webhely	N;INDF;MASC;SG	N;NOM;SG
световна	világszintű	световен	világszintű	ADJ;INDF;FEM;SG	ADJ;NOM;SG
световна	világméretű	световен	világméretű	ADJ;INDF;FEM;SG	ADJ;NOM;SG
уикипедия	wikipédia	уикипедия	wikipédia	N;INDF;FEM;SG	N;NOM;SG
сезон	szezont	сезон	szezont	N;INDF;MASC;SG	N;ACC;SG
сезон	idény	сезон	idény	N;INDF;MASC;SG	N;NOM;SG
сезон	évszak	сезон	évszú	N;INDF;MASC;SG	N;NOM;SG
сезон	évad	сезон	évad	N;INDF;MASC;SG	N;NOM;SG
сезон	szezon	сезон	szez	N;INDF;MASC;SG	N;NOM;SG
окръг	körzet	окръг	körzet	N;INDF;MASC;SG	N;NOM;SG
окръг	járás	окръг	járás	N;INDF;MASC;SG	N;NOM;SG
днес	ma	днес	ma	ADV	ADV
смъртта	halál	смърт	halál	N;DEF;FEM;SG	N;NOM;SG
национален	nemzeti	национален	nemzeti	ADJ;INDF;MASC;SG	ADJ;NOM;SG
национален	országos	национален	országos	ADJ;INDF;MASC;SG	ADJ;NOM;SG
първи	első	първи	első	ADJ;INDF;MASC;SG	ADJ;NOM;SG
отново	újra	отново	újra	ADV	ADV
член	tag	член	tag	N;INDF;MASC;SG	N;NOM;SG
член	árucikk	член	árucikk	N;INDF;MASC;SG	N;NOM;SG
член	cikk	член	cikk	N;INDF;MASC;SG	N;NOM;SG
височина	emelkedés	височина	emelkedés	N;INDF;FEM;SG	N;NOM;SG
височина	magassága	височина	magasság	N;INDF;FEM;SG	N;NOM;SG
дъщеря	lányom	дъщеря	lány	N;INDF;FEM;SG	N;NOM;SG
дъщеря	lánya	дъщеря	lány	N;INDF;FEM;SG	N;NOM;SG
там	ott	там	ott	ADV	ADV
система	rendszer	система	rendszer	N;INDF;FEM;SG	N;NOM;SG
училище	iskolában	училище	iskolában	N;INDF;NEUT;SG	N;IN+ESS;SG
училище	iskola	училище	iskola	N;INDF;NEUT;SG	N;NOM;SG
света	vilag	свят	vilag	N;DEF;MASC;SG	N;NOM;SG
села	falvak	село	falu	N;INDF;NEUT;PL	N;NOM;PL
филми	filmek	филм	film	N;INDF;MASC;PL	N;NOM;PL
филми	filmeket	филм	film	N;INDF;MASC;PL	N;ACC;PL
филми	filmek	филм	film	N;INDF;MASC;PL	N;NOM;PL
филми	filmeket	филм	film	N;INDF;MASC;PL	N;ACC;PL
умира	meghal	умирам	meghal	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
умира	haldoklik	умирам	haldoklik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
всеки	minden	всеки	minden	PRO;NOM;MASC;SG	PRO;NOM;SG;3
части	alkatrészek	част	alkatrész	N;INDF;FEM;PL	N;NOM;PL
части	részek	част	rész	N;INDF;FEM;PL	N;NOM;PL
нова	új	нов	új	ADJ;INDF;FEM;SG	ADJ;NOM;SG
армия	sereg	армия	sereg	N;INDF;FEM;SG	N;NOM;SG
армия	hadsereg	армия	hadsereg	N;INDF;FEM;SG	N;NOM;SG
църква	templom	църква	templom	N;INDF;FEM;SG	N;NOM;SG
църква	egyház	църква	egyház	N;INDF;FEM;SG	N;NOM;SG
официален	hivatalos	официален	hivatalos	ADJ;INDF;MASC;SG	ADJ;NOM;SG
времето	időjárás	време	időjárás	N;DEF;NEUT;SG	N;NOM;SG
времето	ideje	време	idő	N;DEF;NEUT;SG	N;NOM;SG
времето	időpont	време	időpont	N;DEF;NEUT;SG	N;NOM;SG
времето	idő	време	idő	N;DEF;NEUT;SG	N;NOM;SG
места	helyszínek	място	helyszín	N;INDF;NEUT;PL	N;NOM;PL
места	helyek	място	hely	N;INDF;NEUT;PL	N;NOM;PL
места	ülések	място	ülés	N;INDF;NEUT;PL	N;NOM;PL
период	időszak	период	időszak	N;INDF;MASC;SG	N;NOM;SG
период	időtartam	период	időtartam	N;INDF;MASC;SG	N;NOM;SG
период	periódus	период	periódus	N;INDF;MASC;SG	N;NOM;SG
резултат	végeredmény	резултат	végeredmény	N;INDF;MASC;SG	N;NOM;SG
резултат	pontszám	резултат	pontszám	N;INDF;MASC;SG	N;NOM;SG
резултат	eredmény	резултат	eredmény	N;INDF;MASC;SG	N;NOM;SG
футболисти	focisták	футболист	focista	N;INDF;MASC;PL	N;NOM;PL
данни	adatok	данна	adat	N;INDF;FEM;PL	N;NOM;PL
страница	oldalt	страница	oldal	N;INDF;FEM;SG	N;ACC;SG
страница	oldal	страница	oldal	N;INDF;FEM;SG	N;NOM;SG
картинка	képet	картинка	kép	N;INDF;FEM;SG	N;ACC;SG
картинка	kép	картинка	kép	N;INDF;FEM;SG	N;NOM;SG
картинка	fénykép	картинка	fénykép	N;INDF;FEM;SG	N;NOM;SG
картинка	kép	картинка	kép	N;INDF;FEM;SG	N;NOM;SG
картинка	képet	картинка	kép	N;INDF;FEM;SG	N;ACC;SG
играе	játszani	играя	játszik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;NFIN;ACT
играе	játszik	играя	játszik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
играе	játszik	играя	játszik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
живот	élet	живот	élet	N;INDF;MASC;SG	N;NOM;SG
живот	életem	живот	élet	N;INDF;MASC;SG	N;NOM;SG
тук	itt	там	itt	ADV	ADV
император	uralkodó	император	uralkodó	N;INDF;MASC;SG	N;NOM;SG
църквата	templom	църква	templom	N;DEF;FEM;SG	N;NOM;SG
църквата	egyház	църква	egyház	N;DEF;FEM;SG	N;NOM;SG
ден	nap	ден	nap	N;INDF;MASC;SG	N;NOM;SG
ден	napon	ден	nap	N;INDF;MASC;SG	N;ON+ESS;SG
ден	nappal	ден	nap	N;INDF;MASC;SG	N;INS;SG
ден	napot	ден	nap	N;INDF;MASC;SG	N;ACC;SG
жени	nők	жена	nő	N;INDF;FEM;PL	N;NOM;PL
жени	asszonyok	жена	asszony	N;INDF;FEM;PL	N;NOM;PL
тогава	akkor	тогава	akkor	ADV	ADV
голям	nagyméretű	голям	nagyméretű	ADJ;INDF;MASC;SG	ADJ;NOM;SG
голям	nagy	голям	nagy	ADJ;INDF;MASC;SG	ADJ;NOM;SG
голям	nagy	голям	nagy	ADJ;INDF;MASC;SG	ADJ;NOM;SG
род	rúd	род	rúd	N;INDF;MASC;SG	N;NOM;SG
филм	filmet	филм	film	N;INDF;MASC;SG	N;ACC;SG
филм	mozi	филм	mozi	N;INDF;MASC;SG	N;NOM;SG
филм	film	филм	film	N;INDF;MASC;SG	N;NOM;SG
филм	fólia	филм	fólia	N;INDF;MASC;SG	N;NOM;SG
филм	film	филм	film	N;INDF;MASC;SG	N;NOM;SG
шаблон	sablon	шаблон	sablon	N;INDF;MASC;SG	N;NOM;SG
печели	győz	печеля	győz	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
страни	bulik	страна	bulik	N;INDF;FEM;PL	N;NOM;PL
страни	pártok	страна	párt	N;INDF;FEM;PL	N;NOM;PL
страни	felek	страна	fél	N;INDF;FEM;PL	N;NOM;PL
страни	partik	страна	partik	N;INDF;FEM;PL	N;NOM;PL
страни	országokban	страна	ország	N;INDF;FEM;PL	N;IN+ESS;PL
страни	országok	страна	ország	N;INDF;FEM;PL	N;NOM;PL
площ	terület	площ	terület	N;INDF;FEM;SG	N;NOM;SG
площ	környék	площ	környék	N;INDF;FEM;SG	N;NOM;SG
острови	szigetek	островя-(се)	sziget	N;INDF;FEM;PL	N;NOM;PL
острови	szigeteket	островя-(се)	sziget	N;INDF;FEM;PL	N;ACC;PL
код	kód	код	kód	N;INDF;MASC;SG	N;NOM;SG
генерал	tábornok	генерал	tábornok	N;INDF;MASC;SG	N;NOM;SG
държава	ország	държава	ország	N;INDF;FEM;SG	N;NOM;SG
държава	országban	държава	ország	N;INDF;FEM;SG	N;IN+ESS;SG
държава	állapot	държава	állap	N;INDF;FEM;SG	N;NOM;SG
държава	állam	държава	állam	N;INDF;FEM;SG	N;NOM;SG
дата	dátum	дата	dátum	N;INDF;FEM;SG	N;NOM;SG
дата	időpont	дата	időpont	N;INDF;FEM;SG	N;NOM;SG
обикновено	jellemzően	обикновено	jellemző	ADV	ADV
деца	gyerekek	дете	gyerek	N;INDF;NEUT;PL	N;NOM;PL
деца	kölykök	дете	kölyk	N;INDF;NEUT;PL	N;NOM;PL
деца	gyerekek	дете	gyerek	N;INDF;NEUT;PL	N;NOM;PL
деца	gyermekeknek	дете	gyermek	N;INDF;NEUT;PL	N;DAT;PL
деца	gyermekek	дете	gyermek	N;INDF;NEUT;PL	N;NOM;PL
остава	megmarad	оставам	megmarad	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
остава	marad	оставам	marad	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
сили	hatáskörök	сила	hatáskörök	N;INDF;FEM;PL	N;NOM;PL
сили	erők	сила	erő	N;INDF;FEM;PL	N;NOM;PL
дължина	hossza	дължина	hosszú	N;INDF;FEM;SG	N;NOM;SG
дължина	hosszúság	дължина	hosszúság	N;INDF;FEM;SG	N;NOM;SG
дължина	hosszúság	дължина	hosszúság	N;INDF;FEM;SG	N;NOM;SG
българи	bolgárok	българин	bolgár	N;INDF;MASC;PL	N;NOM;PL
албум	album	албум	album	N;INDF;MASC;SG	N;NOM;SG
дни	napok	ден	nap	N;INDF;MASC;PL	N;NOM;PL
дни	napokban	ден	nap	N;INDF;MASC;PL	N;IN+ESS;PL
дни	napokat	ден	nap	N;INDF;MASC;PL	N;ACC;PL
дни	napokon	ден	nap	N;INDF;MASC;PL	N;ON+ESS;PL
съюз	szakszervezet	съюз	szakszervezet	N;INDF;MASC;SG	N;NOM;SG
съюз	szövetség	съюз	szövetség	N;INDF;MASC;SG	N;NOM;SG
партия	buli	партия	buli	N;INDF;FEM;SG	N;NOM;SG
политик	politikus	политик	politikus	N;INDF;MASC;SG	N;NOM;SG
пише	írja	пиша	ír	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
брат	testvér	брат	testvér	N;INDF;MASC;SG	N;NOM;SG
работа	állás	работа	állás	N;INDF;FEM;SG	N;NOM;SG
работа	meló	работа	meló	N;INDF;FEM;SG	N;NOM;SG
работа	munka	работа	munka	N;INDF;FEM;SG	N;NOM;SG
работа	munkahelyi	работа	munkahelyi	N;INDF;FEM;SG	N;NOM;SG
работа	munka	работа	munka	N;INDF;FEM;SG	N;NOM;SG
голове	célkitűzések	гол	célkitűzés	N;INDF;MASC;PL	N;NOM;PL
голове	célokat	гол	cél	N;INDF;MASC;PL	N;ACC;PL
голове	célok	гол	cél	N;INDF;MASC;PL	N;NOM;PL
остров	sziget	остров	sziget	N;INDF;MASC;SG	N;NOM;SG
остров	szigeten	остров	sziget	N;INDF;MASC;SG	N;ON+ESS;SG
остров	sziget	остров	sziget	N;INDF;MASC;SG	N;NOM;SG
председател	elnök	председател	elnök	N;INDF;MASC;SG	N;NOM;SG
председател	elnök	председател	elnök	N;INDF;MASC;SG	N;NOM;SG
среща	dátum	среща	dátum	N;INDF;FEM;SG	N;NOM;SG
среща	időpont	среща	időpont	N;INDF;FEM;SG	N;NOM;SG
среща	találkozó	среща	találkozó	N;INDF;FEM;SG	N;NOM;SG
среща	gyűlés	среща	gyűlés	N;INDF;FEM;SG	N;NOM;SG
среща	találkozás	среща	találkozás	N;INDF;FEM;SG	N;NOM;SG
среща	találkozó	среща	találkozó	N;INDF;FEM;SG	N;NOM;SG
среща	megbeszélés	среща	megbeszélés	N;INDF;FEM;SG	N;NOM;SG
среща	találka	среща	találka	N;INDF;FEM;SG	N;NOM;SG
среща	randevú	среща	randevú	N;INDF;FEM;SG	N;NOM;SG
групи	bandák	група	banda	N;INDF;FEM;PL	N;NOM;PL
групи	csoportok	група	csoport	N;INDF;FEM;PL	N;NOM;PL
групи	csoportoknak	група	csoport	N;INDF;FEM;PL	N;DAT;PL
информация	információ	информация	információ	N;INDF;FEM;SG	N;NOM;SG
информация	információ	информация	információ	N;INDF;FEM;SG	N;NOM;SG
информация	tájékoztatás	информация	tájékoztatás	N;INDF;FEM;SG	N;NOM;SG
включва	tartalmazza	включвам-(се)	tartalmaz	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
писател	író	писател	író	N;INDF;MASC;SG	N;NOM;SG
херцог	herceg	херцог	herceg	N;INDF;MASC;SG	N;NOM;SG
министър	miniszter	министър	miniszter	N;INDF;MASC;SG	N;NOM;SG
цел	gól	цел	gól	N;INDF;FEM;SG	N;NOM;SG
цел	cél	цел	cél	N;INDF;FEM;SG	N;NOM;SG
цел	célzás	цел	célzás	N;INDF;FEM;SG	N;NOM;SG
цел	célja	цел	cél	N;INDF;FEM;SG	N;NOM;SG
цел	cél	цел	cél	N;INDF;FEM;SG	N;NOM;SG
цел	cél	цел	cél	N;INDF;FEM;SG	N;NOM;SG
цел	objektív	цел	objektív	N;INDF;FEM;SG	N;NOM;SG
цел	cél	цел	cél	N;INDF;FEM;SG	N;NOM;SG
цел	célkitűzés	цел	célkitűzés	N;INDF;FEM;SG	N;NOM;SG
цел	célpont	цел	célpont	N;INDF;FEM;SG	N;NOM;SG
цел	cél	цел	cél	N;INDF;FEM;SG	N;NOM;SG
участие	bevonása	участие	bevonás	N;INDF;NEUT;SG	N;NOM;SG
участие	részvétel	участие	részvétel	N;INDF;NEUT;SG	N;NOM;SG
участие	részvétel	участие	részvétel	N;INDF;NEUT;SG	N;NOM;SG
войната	háború	война	háború	N;DEF;FEM;SG	N;NOM;SG
море	tengerparti	море	tengerparti	N;INDF;NEUT;SG	N;NOM;SG
море	tengerpart	море	tengerpart	N;INDF;NEUT;SG	N;NOM;SG
море	tengerparton	море	tengerpart	N;INDF;NEUT;SG	N;ON+ESS;SG
море	tenger	море	tenger	N;INDF;NEUT;SG	N;NOM;SG
отбора	csapat	отбор	csapat	N;DEF;MASC;SG	N;NOM;SG
продължава	folytatódik	продължавам	folytatódik	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
списък	jegyzék	списък	jegyzék	N;INDF;MASC;SG	N;NOM;SG
списък	lista	списък	lista	N;INDF;MASC;SG	N;NOM;SG
дава	ad	давам-(се)	ad	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
историята	történelme	история	történelem	N;DEF;FEM;SG	N;NOM;SG
историята	történelem	история	történel	N;DEF;FEM;SG	N;NOM;SG
брой	szám	брой	szám	N;INDF;MASC;SG	N;NOM;SG
брой	száma	брой	szám	N;INDF;MASC;SG	N;NOM;SG
култура	tenyésztés	култура	tenyésztés	N;INDF;FEM;SG	N;NOM;SG
култура	kultúra	култура	kultúra	N;INDF;FEM;SG	N;NOM;SG
степен	fokozat	степен	fokozat	N;INDF;FEM;SG	N;NOM;SG
степен	fokozat	степен	fokozat	N;INDF;FEM;SG	N;NOM;SG
степен	diploma	степен	diploma	N;INDF;FEM;SG	N;NOM;SG
степен	fok	степен	fok	N;INDF;FEM;SG	N;NOM;SG
статия	árucikk	статия	árucikk	N;INDF;FEM;SG	N;NOM;SG
статия	cikk	статия	cikk	N;INDF;FEM;SG	N;NOM;SG
територията	terület	територия	terület	N;DEF;FEM;SG	N;NOM;SG
територията	területe	територия	terület	N;DEF;FEM;SG	N;NOM;SG
регион	régió	регион	régió	N;INDF;MASC;SG	N;NOM;SG
