من	de	مِن	de	ADP	ADP
منطقة	zone	مِنطَقَة	zone	N;NOM;INDF;SG	N;MASC;SG
منطقة	area	مِنطَقَة	area	N;NOM;INDF;SG	N;FEM;SG
منطقة	área	مِنطَقَة	área	N;NOM;INDF;SG	N;FEM;SG
الرمز	símbolo	رَمز	símbolo	N;NOM;DEF;SG	N;MASC;SG
الرمز	simbolo	رَمز	simbolo	N;NOM;DEF;SG	N;MASC;SG
الرمز	codigo	رَمز	codigo	N;NOM;DEF;SG	N;MASC;SG
الرمز	código	رَمز	código	N;NOM;DEF;SG	N;MASC;SG
البلد	país	بَلَد	país	N;NOM;DEF;SG	N;MASC;SG
مدن	vilas	مَدِينَة	vila	N;NOM;INDF;PL	N;FEM;PL
مدن	cidades	مَدِينَة	cidade	N;NOM;INDF;PL	N;FEM;PL
يمكن	podia	أَمكَن	poder	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;IPFV;FIN
يمكن	pode	أَمكَن	poder	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
تعداد	enumeração	تَعدَاد	enumeração	N;NOM;INDF;SG	N;FEM;SG
نتيجة	resultado	نَتِيجَة	resultado	N;ACC;INDF;SG	N;MASC;SG
الكلية	faculdade	كُلِّيَّة	faculdade	N;NOM;DEF;SG	N;FEM;SG
الكلية	colégio	كُلِّيَّة	colégio	N;NOM;DEF;SG	N;MASC;SG
الكلية	college	كُلِّيَّة	college	N;NOM;DEF;SG	N;MASC;SG
الكلية	universidade	كُلِّيَّة	universidade	N;NOM;DEF;SG	N;FEM;SG
الكلية	rim	كُلِّيَّة	rim	N;NOM;DEF;SG	N;MASC;SG
الكلية	faculdade	كُلِّيَّة	faculdade	N;NOM;DEF;SG	N;FEM;SG
ولاية	state	وِلَايَة	state	N;NOM;INDF;SG	N;MASC;SG
ولاية	estado	وِلَايَة	estado	N;NOM;INDF;SG	N;MASC;SG
العرض	oferta	عَرض	oferta	N;NOM;DEF;SG	N;FEM;SG
العرض	espetáculo	عَرض	espetáculo	N;NOM;DEF;SG	N;MASC;SG
العرض	show	عَرض	show	N;NOM;DEF;SG	N;MASC;SG
العرض	largura	عَرض	largura	N;NOM;DEF;SG	N;FEM;SG
العرض	apresentação	عَرض	apresentação	N;NOM;DEF;SG	N;FEM;SG
العرض	visualização	عَرض	visualização	N;NOM;DEF;SG	N;FEM;SG
العرض	exibição	عَرض	exibição	N;NOM;DEF;SG	N;FEM;SG
جامعة	university	جَامِعَة	university	N;NOM;INDF;SG	N;MASC;SG
جامعة	universidade	جَامِعَة	universidade	N;NOM;INDF;SG	N;FEM;SG
المساحة	area	مِسَاحَة	area	N;NOM;DEF;SG	N;FEM;SG
المساحة	área	مِسَاحَة	área	N;NOM;DEF;SG	N;FEM;SG
الطول	comprimento	طُول	comprimento	N;NOM;DEF;SG	N;MASC;SG
الطول	altura	طُول	altura	N;NOM;DEF;SG	N;FEM;SG
الحياة	vida	حَيَاة	vida	N;NOM;DEF;SG	N;FEM;SG
الحياة	life	حَيَاة	life	N;NOM;DEF;SG	N;MASC;SG
مصر	egipto	مِصر	egipto	N;NOM;INDF;SG	N;MASC;SG
مصر	egito	مِصر	egito	N;NOM;INDF;SG	N;MASC;SG
وصلات	ligações	وُصلَة	ligação	N;NOM;INDF;PL	N;FEM;PL
وصلات	links	وُصلَة	link	N;NOM;INDF;PL	N;MASC;PL
المركز	centro	مَركَز	centro	N;NOM;DEF;SG	N;MASC;SG
المركز	center	مَركَز	center	N;NOM;DEF;SG	N;MASC;SG
المركز	centro	مَركَز	centro	N;NOM;DEF;SG	N;MASC;SG
المركز	centre	مَركَز	centre	N;NOM;DEF;SG	N;MASC;SG
المياه	águas	مَاء	água	N;NOM;DEF;PL	N;FEM;PL
مجموعة	grupo	مَجمُوعَة	grupo	N;NOM;INDF;SG	N;MASC;SG
مجموعة	recolha	مَجمُوعَة	recolha	N;NOM;INDF;SG	N;FEM;SG
مجموعة	colecção	مَجمُوعَة	colecção	N;NOM;INDF;SG	N;FEM;SG
مجموعة	coleção	مَجمُوعَة	coleção	N;NOM;INDF;SG	N;FEM;SG
قرى	vilas	قَريَة	vila	N;NOM;INDF;PL	N;FEM;PL
قرى	aldeias	قَريَة	aldeia	N;NOM;INDF;PL	N;FEM;PL
موقع	localização	مَوقِع	localização	N;NOM;INDF;SG	N;FEM;SG
مكان	lugar	مَكَان	lugar	N;NOM;INDF;SG	N;MASC;SG
مكان	place	مَكَان	place	N;NOM;INDF;SG	N;MASC;SG
مكان	local	مَكَان	local	N;NOM;INDF;SG	N;MASC;SG
مكان	sítio	مَكَان	sítio	N;NOM;INDF;SG	N;MASC;SG
نقاش	discussão	نِقَاش	discussão	N;NOM;INDF;SG	N;FEM;SG
نقاش	debate	نِقَاش	debate	N;NOM;INDF;SG	N;MASC;SG
الثالث	terceira	ثَالِث	terceiro	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG
الثالث	terço	ثَالِث	terço	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
الثالث	terceiro	ثَالِث	terceiro	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
هناك	ali	هُنَاكَ	ali	ADV	ADV
هناك	aí	هُنَاكَ	aí	ADV	ADV
هناك	lá	هُنَاكَ	lá	ADV	ADV
تحت	sob	تَحتَ	sob	ADP;ACC	ADP
منذ	desde	مُنذُ	desde	ADP	ADP
حجم	volume	حَجم	volume	N;NOM;INDF;SG	N;MASC;SG
حجم	size	حَجم	sizer	N;NOM;INDF;SG	N;MASC;SG
حجم	tamanho	حَجم	tamanho	N;NOM;INDF;SG	N;MASC;SG
حجم	dimensão	حَجم	dimensão	N;NOM;INDF;SG	N;FEM;SG
الشيخ	sheikh	شَيخ	sheikh	N;NOM;DEF;SG	N;MASC;SG
الشيخ	xeque	شَيخ	xeque	N;NOM;DEF;SG	N;FEM;SG
الشيخ	sheik	شَيخ	sheik	N;NOM;DEF;SG	N;MASC;SG
الشيخ	shaykh	شَيخ	shaykh	N;NOM;DEF;SG	N;MASC;SG
المحافظة	província	مُحَافَظَة	província	N;NOM;DEF;SG	N;FEM;SG
المحافظة	conservação	مُحَافَظَة	conservação	N;NOM;DEF;SG	N;FEM;SG
المحافظة	conservação	مُحَافَظَة	conservação	N;NOM;DEF;SG	N;FEM;SG
المحافظة	preservação	مُحَافَظَة	preservação	N;NOM;DEF;SG	N;FEM;SG
الحرب	guerra	حَرب	guerra	N;NOM;DEF;SG	N;FEM;SG
الحرب	war	حَرب	war	N;NOM;DEF;SG	N;MASC;SG
قرية	vila	قَريَة	vila	N;NOM;INDF;SG	N;FEM;SG
قرية	aldeia	قَريَة	aldeia	N;NOM;INDF;SG	N;FEM;SG
العام	ano	عَام	ano	N;NOM;DEF;SG	N;MASC;SG
رئيس	presidente	رَئِيس	presidente	N;NOM;INDF;SG	N;MASC;SG
رئيس	chief	رَئِيس	chief	N;NOM;INDF;SG	N;MASC;SG
رئيس	chefe	رَئِيس	chefe	N;NOM;INDF;SG	N;MASC;SG
رئيس	alcaide	رَئِيس	alcaide	N;NOM;INDF;SG	N;MASC;SG
رئيس	patroa	رَئِيس	patroa	N;NOM;INDF;SG	N;FEM;SG
رئيس	patrão	رَئِيس	patrão	N;NOM;INDF;SG	N;MASC;SG
رئيس	chefe	رَئِيس	chefe	N;NOM;INDF;SG	N;MASC;SG
رئيس	boss	رَئِيس	boss	N;NOM;INDF;SG	N;MASC;SG
الكثافة	intensidade	كَثَّافَة	intensidade	N;NOM;DEF;SG	N;FEM;SG
الكثافة	densidade	كَثَّافَة	densidade	N;NOM;DEF;SG	N;FEM;SG
الوفاة	death	وَفَاة	death	N;NOM;DEF;SG	N;MASC;SG
الوفاة	morte	وَفَاة	morte	N;NOM;DEF;SG	N;FEM;SG
شعار	slogan	شِعَار	slogan	N;NOM;INDF;SG	N;MASC;SG
شعار	logótipo	شِعَار	logótipo	N;NOM;INDF;SG	N;MASC;SG
شعار	logotipo	شِعَار	logotipo	N;NOM;INDF;SG	N;MASC;SG
شعار	mote	شِعَار	mote	N;NOM;INDF;SG	N;MASC;SG
شعار	lema	شِعَار	lema	N;NOM;INDF;SG	N;MASC;SG
شعار	emblema	شِعَار	emblema	N;NOM;INDF;SG	N;MASC;SG
شعار	insígnia	شِعَار	insígnio	N;NOM;INDF;SG	N;FEM;SG
شعار	brasão	شِعَار	brasão	N;NOM;INDF;SG	N;MASC;SG
عزلة	isolamento	عُزلَة	isolamento	N;NOM;INDF;SG	N;MASC;SG
عزلة	solidão	عُزلَة	solidão	N;NOM;INDF;SG	N;FEM;SG
كتاب	livro	كِتَاب	livro	N;NOM;INDF;SG	N;MASC;SG
مديرية	direção	مُدِيرِيَّة	direção	N;NOM;INDF;SG	N;FEM;SG
مديرية	direcção	مُدِيرِيَّة	direcção	N;NOM;INDF;SG	N;FEM;SG
حول	sobre	حَولَ	sobre	ADP;ACC	ADP
العمل	acção	عَمَل	acção	N;NOM;DEF;SG	N;FEM;SG
العمل	action	عَمَل	action	N;NOM;DEF;SG	N;MASC;SG
العمل	ação	عَمَل	ação	N;NOM;DEF;SG	N;FEM;SG
العمل	trabalho	عَمَل	trabalho	N;NOM;DEF;SG	N;MASC;SG
العمل	negócio	عَمَل	negócio	N;NOM;DEF;SG	N;MASC;SG
الخريطة	mapa	خَرِيطَة	mapa	N;NOM;DEF;SG	N;MASC;SG
الرسمي	oficial	رَسمِيّ	oficial	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
الرسمي	formal	رَسمِيّ	formal	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG
عشر	dez	عَشَرَة	dez	NUM;MASC	NUM
سنوات	anos	سَنَة	ano	N;NOM;INDF;PL	N;MASC;PL
يوم	dia	يَوم	dia	N;NOM;INDF;SG	N;MASC;SG
كتابة	escrita	كِتَابَة	escrita	N;NOM;INDF;SG	N;FEM;SG
ولا	nem	وَلّ	nem	CONJ	CONJ
طريق	rodoviário	طَرِيق	rodoviário	N;NOM;INDF;SG	N;MASC;SG
طريق	estrada	طَرِيق	estrada	N;NOM;INDF;SG	N;FEM;SG
طريق	road	طَرِيق	road	N;NOM;INDF;SG	N;MASC;SG
الدين	religião	دِين	religião	N;NOM;DEF;SG	N;FEM;SG
الدين	dívida	دِين	dívida	N;NOM;DEF;SG	N;FEM;SG
مركز	centro	مَركَز	centro	N;NOM;INDF;SG	N;MASC;SG
مركز	center	مَركَز	center	N;NOM;INDF;SG	N;MASC;SG
مركز	centro	مَركَز	centro	N;NOM;INDF;SG	N;MASC;SG
مركز	centre	مَركَز	centre	N;NOM;INDF;SG	N;MASC;SG
ملف	arquivo	مِلَفّ	arquivo	N;NOM;INDF;SG	N;MASC;SG
ملف	ficheiro	مِلَفّ	ficheiro	N;NOM;INDF;SG	N;MASC;SG
مجلس	concílio	مَجلِس	concílio	N;NOM;INDF;SG	N;MASC;SG
مجلس	conselho	مَجلِس	conselho	N;NOM;INDF;SG	N;MASC;SG
الثانية	segunda	ثَانِي	segundo	ADJ;NOM;DEF;FEM;SG	ADJ;FEM;SG
قيد	restrição	قَيد	restrição	N;NOM;INDF;SG	N;FEM;SG
السكان	residentes	سَاكِن	residente	N;NOM;DEF;PL	N;MASC;PL
السكان	moradores	سَاكِن	morador	N;NOM;DEF;PL	N;MASC;PL
الدولة	state	دَولَة	state	N;NOM;DEF;SG	N;MASC;SG
الدولة	estado	دَولَة	estado	N;NOM;DEF;SG	N;MASC;SG
قال	disse	قَال	dizer	V;PFV;MASC;SG;3;ACT	V;IND;SG;3;PST;FIN
الملك	king	مَلِك	king	N;NOM;DEF;SG	N;MASC;SG
الملك	rei	مَلِك	rei	N;NOM;DEF;SG	N;MASC;SG
الاسم	nome	اِسم	nome	N;NOM;DEF;SG	N;MASC;SG
ولد	garoto	وَلَد	garoto	N;NOM;INDF;SG	N;MASC;SG
ولد	boy	وَلَد	boy	N;NOM;INDF;SG	N;MASC;SG
ولد	moço	وَلَد	moço	N;NOM;INDF;SG	N;MASC;SG
ولد	rapaz	وَلَد	rapaz	N;NOM;INDF;SG	N;MASC;SG
ولد	menino	وَلَد	menino	N;NOM;INDF;SG	N;MASC;SG
ولد	born	وَلَد	born	N;NOM;INDF;SG	N;MASC;SG
البحر	mar	بَحر	mar	N;NOM;DEF;SG	N;MASC;SG
شركة	firma	شَرِكَة	firma	N;NOM;INDF;SG	N;FEM;SG
شركة	firmeza	شَرِكَة	firmeza	N;NOM;INDF;SG	N;FEM;SG
شركة	empresa	شَرِكَة	empresa	N;NOM;INDF;SG	N;FEM;SG
شركة	company	شَرِكَة	company	N;NOM;INDF;SG	N;MASC;SG
شركة	companhia	شَرِكَة	companhia	N;NOM;INDF;SG	N;FEM;SG
فيلم	filme	فِيلم	filme	N;NOM;INDF;SG	N;MASC;SG
فيلم	película	فِيلم	película	N;NOM;INDF;SG	N;FEM;SG
فيلم	filme	فِيلم	filme	N;NOM;INDF;SG	N;MASC;SG
صورة	foto	صُورَة	foto	N;NOM;INDF;SG	N;FEM;SG
صورة	fotografia	صُورَة	fotografia	N;NOM;INDF;SG	N;FEM;SG
صورة	image	صُورَة	image	N;NOM;INDF;SG	N;MASC;SG
صورة	imagem	صُورَة	imagem	N;NOM;INDF;SG	N;FEM;SG
صورة	foto	صُورَة	foto	N;NOM;INDF;SG	N;FEM;SG
صورة	fotografia	صُورَة	fotografia	N;NOM;INDF;SG	N;FEM;SG
صورة	imagem	صُورَة	imagem	N;NOM;INDF;SG	N;FEM;SG
بطولة	campeonato	بُطُولَة	campeonato	N;NOM;INDF;SG	N;MASC;SG
بطولة	championship	بُطُولَة	championship	N;NOM;INDF;SG	N;MASC;SG
بطولة	torneio	بُطُولَة	torneio	N;NOM;INDF;SG	N;MASC;SG
وفيات	óbitos	وَفَاة	óbito	N;NOM;INDF;PL	N;MASC;PL
وفيات	mortes	وَفَاة	morte	N;NOM;INDF;PL	N;FEM;PL
نباتات	plantas	نَبَات	planta	N;NOM;INDF;PL	N;FEM;PL
نباتات	usinas	نَبَات	usina	N;NOM;INDF;PL	N;FEM;PL
الولادة	parto	وِلَادَة	parto	N;NOM;DEF;SG	N;MASC;SG
الولادة	parto	وِلَادَة	parto	N;NOM;DEF;SG	N;MASC;SG
الولادة	nascimento	وِلَادَة	nascimento	N;NOM;DEF;SG	N;MASC;SG
المملكة	reino	مَملَكَة	reino	N;NOM;DEF;SG	N;MASC;SG
المملكة	kingdom	مَملَكَة	kingdom	N;NOM;DEF;SG	N;MASC;SG
المملكة	reino	مَملَكَة	reino	N;NOM;DEF;SG	N;MASC;SG
المملكة	saudita	مَملَكَة	saudita	N;NOM;DEF;SG	N;FEM;SG
البريدي	postal	البريدي	postal	N;NOM;DEF;SG	N;MASC;SG
الدوري	league	دَورِيّ	leagar	N;NOM;DEF;SG	N;MASC;SG
الدوري	liga	دَورِيّ	liga	N;NOM;DEF;SG	N;FEM;SG
خلفية	fundo	خَلفِيَّة	fundo	N;NOM;INDF;SG	N;MASC;SG
فقط	só	فَقَط	só	ADV	ADV
فقط	apenas	فَقَط	apenas	ADV	ADV
فقط	somente	فَقَط	somente	ADV	ADV
فقط	unicamente	فَقَط	unicamente	ADV	ADV
فقط	só	فَقَط	só	ADV	ADV
فقط	apenas	فَقَط	apenas	ADV	ADV
جائزة	prémio	جَائِزَة	prémio	N;NOM;INDF;SG	N;MASC;SG
جائزة	premio	جَائِزَة	premio	N;NOM;INDF;SG	N;MASC;SG
جائزة	prêmio	جَائِزَة	prêmio	N;NOM;INDF;SG	N;MASC;SG
جائزة	prémio	جَائِزَة	prémio	N;NOM;INDF;SG	N;MASC;SG
جائزة	prêmio	جَائِزَة	prêmio	N;NOM;INDF;SG	N;MASC;SG
نظام	system	نِظَام	syetir	N;NOM;INDF;SG	N;MASC;SG
نظام	sistema	نِظَام	sistema	N;NOM;INDF;SG	N;MASC;SG
مرة	once	مَرَّة	once	N;NOM;INDF;SG	N;MASC;SG
قسم	departamento	قِسم	departamento	N;NOM;INDF;SG	N;MASC;SG
قسم	seção	قِسم	seção	N;NOM;INDF;SG	N;FEM;SG
قسم	secção	قِسم	secção	N;NOM;INDF;SG	N;FEM;SG
السعودية	saudita	سَعُودِيَّة	saudita	N;NOM;DEF;SG	N;FEM;SG
فترة	periodo	فَترَة	periodo	N;NOM;INDF;SG	N;MASC;SG
فترة	período	فَترَة	período	N;NOM;INDF;SG	N;MASC;SG
ضد	contra	ضِدَّ	contra	ADP;ACC	ADP
مارس	march	مَارِس	march	N;GEN;INDF;SG	N;MASC;SG
مارس	marcha	مَارِس	marcha	N;GEN;INDF;SG	N;FEM;SG
مارس	março	مَارِس	março	N;GEN;INDF;SG	N;MASC;SG
مارس	marte	مَارِس	marte	N;GEN;INDF;SG	N;MASC;SG
مارس	mars	مَارِس	mar	N;GEN;INDF;SG	N;MASC;SG
رقم	número	رَقم	número	N;NOM;INDF;SG	N;MASC;SG
رقم	numero	رَقم	numero	N;NOM;INDF;SG	N;MASC;SG
اليوم	dia	يَوم	dia	N;ACC;DEF;SG	N;MASC;SG
يناير	jan	يَنَايِر	jan	N;GEN;INDF;SG	N;MASC;SG
يناير	janeiro	يَنَايِر	janeiro	N;GEN;INDF;SG	N;MASC;SG
اللغة	língua	لُغَة	língua	N;NOM;DEF;SG	N;FEM;SG
اللغة	idioma	لُغَة	idioma	N;NOM;DEF;SG	N;MASC;SG
اللغة	linguagem	لُغَة	linguagem	N;NOM;DEF;SG	N;FEM;SG
عمل	emprego	عَمَل	emprego	N;NOM;INDF;SG	N;MASC;SG
عمل	job	عَمَل	job	N;NOM;INDF;SG	N;MASC;SG
عمل	trabalho	عَمَل	trabalho	N;NOM;INDF;SG	N;MASC;SG
عمل	jó	عَمَل	jó	N;NOM;INDF;SG	N;MASC;SG
عمل	trabalho	عَمَل	trabalho	N;NOM;INDF;SG	N;MASC;SG
