for	za	for	za		
world	svet	world	svet	N;SG	N;INAN;NOM;MASC;SG
world	svetom	world	svet	N;SG	N;INAN;INS;MASC;SG
university	univerzita	university	univerzita	N;SG	N;NOM;FEM;SG
university	univerzite	university	univerzite	N;SG	N;NOM;FEM;SG
out	vonku	out	vonku	ADV	ADV
out	von	out	von	ADV	ADV
state	štátu	state	štát	N;SG	N;INAN;GEN;MASC;SG
state	štát	state	štát	N;SG	N;INAN;NOM;MASC;SG
states	stavy	state	stav	N;PL	N;NOM;FEM;PL
states	štáty	state	štát	N;PL	N;INAN;NOM;MASC;PL
states	štátov	state	štát	N;PL	N;INAN;GEN;MASC;PL
national	národný	national	národný	ADJ	ADJ;INAN;NOM;MASC;SG
national	vnútroštátnych	national	vnútroštátny	ADJ	ADJ;GEN;MASC;PL
national	národná	national	národný	ADJ	ADJ;NOM;FEM;SG
national	vnútroštátna	national	vnútroštátny	ADJ	ADJ;NOM;FEM;SG
national	národné	national	národný	ADJ	ADJ;NOM;NEUT;SG
year	roku	year	rok	N;SG	N;INAN;GEN;MASC;SG
year	rok	year	rok	N;SG	N;INAN;NOM;MASC;SG
year	roka	year	rok	N;SG	N;INAN;GEN;MASC;SG
city	mesto	city	mesto	N;SG	N;NOM;NEUT;SG
city	mesta	city	mesto	N;SG	N;NOM;NEUT;SG
used	používali	use	používať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
then	potom	then	potom	ADV	ADV
then	vtedy	then	vtedy	ADV	ADV
county	county	county	count	N;SG	N;NOM;MASC;SG
external	externý	external	externý	ADJ	ADJ;ANIM;NOM;MASC;SG
external	vonkajšie	external	vonkajší	ADJ	ADJ;NOM;NEUT;SG
external	vonkajší	external	vonkajší	ADJ	ADJ;INAN;NOM;MASC;SG
external	externé	external	externý	ADJ	ADJ;NOM;NEUT;SG
external	vonkajšia	external	vonkajší	ADJ	ADJ;NOM;FEM;SG
will	budú	will	byť	V;FIN	V;IPFV;IND;PL;3;POS;FUT;FIN
will	bude	will	byť	V;FIN	V;IPFV;IND;SG;3;POS;FUT;FIN
delete	odstrániť	delete	odstrániť	V;IMP;FIN	V;PFV;POS;NFIN
delete	vymazať	delete	vymazať	V;IMP;FIN	V;PFV;POS;NFIN
delete	zmazať	delete	zmazať	V;IMP;FIN	V;PFV;POS;NFIN
any	akékoľvek	any	akýkoľvek	DET	DET;NOM;NEUT;SG
any	akýkoľvek	any	akýkoľvek	DET	DET;ANIM;NOM;MASC;SG
any	akýchkoľvek	any	akýkoľvek	DET	DET;GEN;MASC;PL
being	byť	be	byť	V;V.MSDR	V;IPFV;POS;NFIN
film	filmom	film	film	N;SG	N;INAN;INS;MASC;SG
film	film	film	film	N;SG	N;INAN;NOM;MASC;SG
him	ho	he	on	PRO;ACC;MASC;SG;3	PRO;ANIM;ACC;MASC;SG;3
many	mnohé	many	mnohý	ADJ	ADJ;NOM;NEUT;SG
many	mnohí	many	mnoho	ADJ	ADJ;ANIM;NOM;MASC;PL
three	tri	three	tri	NUM	NUM;INAN;NOM;MASC;PL
three	troch	three	tri	NUM	NUM;GEN;MASC;PL
three	traja	three	tri	NUM	NUM;ANIM;NOM;MASC;PL
use	používať	use	používať	V;IMP;FIN	V;IPFV;POS;NFIN
use	použiť	use	použiť	V;IMP;FIN	V;PFV;POS;NFIN
use	použite	use	použita	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
war	vojna	war	vojna	N;SG	N;NOM;FEM;SG
them	nich	they	on	PRO;ACC;PL;3	PRO;ANIM;ACC;MASC;PL;3
link	spojenie	link	spojenie	N;SG	N;NOM;NEUT;SG
link	súvislosť	link	súvislosť	N;SG	N;NOM;FEM;SG
link	odkaz	link	odkaz	N;SG	N;INAN;NOM;MASC;SG
link	link	link	link	N;SG	N;INAN;NOM;MASC;SG
while	kým	while	kým	CONJ	CONJ
later	neskôr	later	neskôr	ADV	ADV
later	neskoršie	later	neskorý	ADV	ADV;RL
part	časť	part	časť	N;SG	N;NOM;FEM;SG
part	čast	part	čast	N;SG	N;NOM;FEM;SG
part	súčasť	part	súčasť	N;SG	N;NOM;FEM;SG
players	aktéri	player	aktér	N;PL	N;ANIM;NOM;MASC;PL
players	hráči	player	hráčiť	N;PL	N;ANIM;NOM;MASC;PL
players	hráčov	player	hráč	N;PL	N;ANIM;ACC;MASC;PL
players	prehrávače	player	prehrávač	N;PL	N;INAN;NOM;MASC;PL
list	zoznam	list	zoznam	N;SG	N;INAN;NOM;MASC;SG
list	zoznamu	list	zoznam	N;SG	N;INAN;GEN;MASC;SG
please	prosim	please	prosim	INTJ	INTJ
name	názov	name	názov	N;SG	N;INAN;NOM;MASC;SG
name	meno	name	meno	N;SG	N;NOM;NEUT;SG
group	skupinu	group	skupina	N;SG	N;ACC;FEM;SG
group	skupina	group	skupina	N;SG	N;NOM;FEM;SG
history	histórii	history	história	N;SG	N;DAT;FEM;SG
history	históriu	history	história	N;SG	N;ACC;FEM;SG
history	história	history	história	N;SG	N;NOM;FEM;SG
series	séria	series	séria	N;SG	N;NOM;FEM;SG
series	rad	series	rad	N;SG	N;INAN;NOM;MASC;SG
series	sériu	series	séria	N;SG	N;ACC;FEM;SG
just	práve	just	práve	ADV	ADV
work	dielo	work	dielo	N;SG	N;NOM;NEUT;SG
work	praca	work	praca	N;SG	N;NOM;FEM;SG
work	práca	work	práca	N;SG	N;NOM;FEM;SG
before	predtým	before	predtým	ADV	ADV
since	odkedy	since	odkedy	ADV	ADV
season	sezóna	season	sezón	N;SG	N;NOM;FEM;SG
season	sezónu	season	sezón	N;SG	N;ACC;FEM;SG
high	vysoká	high	vysoký	ADJ	ADJ;NOM;FEM;SG
high	vysoký	high	vysoký	ADJ	ADJ;ANIM;NOM;MASC;SG
high	vysoké	high	vysoký	ADJ	ADJ;NOM;NEUT;SG
district	obvod	district	obvod	N;SG	N;INAN;NOM;MASC;SG
district	okrsok	district	okrsok	N;SG	N;INAN;NOM;MASC;SG
now	teraz	now	teraz	ADV	ADV
comments	pripomienky	comment	pripomienka	N;PL	N;NOM;FEM;PL
comments	komentáre	comment	komentár	N;PL	N;INAN;NOM;MASC;PL
comments	komentárov	comment	komentár	N;PL	N;ANIM;GEN;MASC;PL
because	pretože	because	pretože	CONJ	CONJ
football	futbal	football	futbať	N;SG	N;INAN;NOM;MASC;SG
music	music	music	musica	N;SG	N;NOM;MASC;SG
music	hudba	music	hudba	N;SG	N;NOM;FEM;SG
music	hudbu	music	hudba	N;SG	N;ACC;FEM;SG
century	storočí	century	storočie	N;SG	N;NOM;NEUT;SG
century	storočie	century	storočie	N;SG	N;NOM;NEUT;SG
edits	úpravy	edit	úprava	N;PL	N;NOM;FEM;PL
debate	diskusia	debate	diskusi	N;SG	N;NOM;FEM;SG
debate	rozprava	debate	rozprava	N;SG	N;NOM;FEM;SG
debate	debata	debate	debata	N;SG	N;NOM;FEM;SG
title	názov	title	názov	N;SG	N;INAN;NOM;MASC;SG
title	hlava	title	hlava	N;SG	N;NOM;FEM;SG
title	titul	title	tituť	N;SG	N;INAN;NOM;MASC;SG
title	titulok	title	titulok	N;SG	N;INAN;NOM;MASC;SG
articles	články	article	článok	N;PL	N;INAN;NOM;MASC;PL
articles	článkov	article	článok	N;PL	N;INAN;GEN;MASC;PL
articles	predmety	article	predmet	N;PL	N;INAN;NOM;MASC;PL
same	rovnaká	same	rovnaký	ADJ	ADJ;NOM;FEM;SG
same	rovnaké	same	rovnaký	ADJ	ADJ;NOM;NEUT;SG
same	rovnaký	same	rovnaký	ADJ	ADJ;ANIM;NOM;MASC;SG
album	album	album	album	N;SG	N;INAN;NOM;MASC;SG
album	albumu	album	album	N;SG	N;INAN;GEN;MASC;SG
number	číslo	number	číslo	N;SG	N;NOM;NEUT;SG
number	počet	number	počet	N;SG	N;INAN;NOM;MASC;SG
number	čislo	number	čislo	N;SG	N;NOM;NEUT;SG
against	proti	against	proti	ADP	ADP;DAT
family	rodinka	family	rodinka	N;SG	N;NOM;FEM;SG
family	rodine	family	rodina	N;SG	N;DAT;FEM;SG
family	family	family	famila	N;SG	N;NOM;FEM;SG
family	rodina	family	rodina	N;SG	N;NOM;FEM;SG
user	užívateľ	user	užívateľ	N;SG	N;ANIM;NOM;MASC;SG
user	užívateľa	user	užívateľ	N;SG	N;ANIM;ACC;MASC;SG
user	používateľa	user	používateľ	N;SG	N;ANIM;ACC;MASC;SG
user	používateľ	user	používateľ	N;SG	N;ANIM;NOM;MASC;SG
area	oblasť	area	oblasť	N;SG	N;NOM;FEM;SG
area	plocha	area	plocha	N;SG	N;NOM;FEM;SG
life	života	life	život	N;SG	N;INAN;GEN;MASC;SG
life	život	life	život	N;SG	N;INAN;NOM;MASC;SG
british	britská	british	britský	ADJ	ADJ;NOM;FEM;SG
british	britský	british	britský	ADJ	ADJ;ANIM;NOM;MASC;SG
british	britské	british	britský	ADJ	ADJ;NOM;NEUT;SG
international	medzinárodný	international	medzinárodný	ADJ	ADJ;INAN;NOM;MASC;SG
international	medzinárodná	international	medzinárodný	ADJ	ADJ;NOM;FEM;SG
international	medzinárodné	international	medzinárodný	ADJ	ADJ;NOM;NEUT;SG
international	medzinárodných	international	medzinárodný	ADJ	ADJ;GEN;MASC;PL
game	zápas	game	zápas	N;SG	N;INAN;NOM;MASC;SG
game	hra	game	hra	N;SG	N;NOM;FEM;SG
above	vyššie	above	vysoko	ADV	ADV;CMPR
club	klub	club	klub	N;SG	N;INAN;NOM;MASC;SG
club	klubu	club	klub	N;SG	N;INAN;GEN;MASC;SG
until	kým	until	kým	CONJ	CONJ
until	dokiaľ	until	dokiaľ	CONJ	CONJ
best	najlepší	best	dobrý	ADJ;RL	ADJ;ANIM;NOM;RL;MASC;SG
best	najlepšia	best	dobrý	ADJ;RL	ADJ;NOM;RL;FEM;SG
house	house	house	hous	N;SG	N;INAN;NOM;MASC;SG
house	domček	house	domček	N;SG	N;INAN;NOM;MASC;SG
house	dom	house	dom	N;SG	N;INAN;NOM;MASC;SG
company	firma	company	firm	N;SG	N;NOM;FEM;SG
company	spoločnosť	company	spoločnosť	N;SG	N;NOM;FEM;SG
general	všeobecné	general	všeobecný	ADJ	ADJ;NOM;NEUT;SG
general	všeobecná	general	všeobecný	ADJ	ADJ;NOM;FEM;SG
very	veľmi	very	veľmi	ADV	ADV
here	sem	here	sem	ADV	ADV
here	tu	here	tu	ADV	ADV
day	deň	day	deň	N;SG	N;INAN;NOM;MASC;SG
day	dňa	day	deň	N;SG	N;INAN;GEN;MASC;SG
place	miesto	place	miesto	N;SG	N;NOM;NEUT;SG
place	place	place	placať	N;SG	N;NOM;MASC;SG
party	oslava	party	oslava	N;SG	N;NOM;FEM;SG
party	strana	party	strana	N;SG	N;NOM;FEM;SG
party	večierok	party	večierko	N;SG	N;INAN;NOM;MASC;SG
college	kolégium	college	kolégium	N;SG	N;NOM;NEUT;SG
result	vysledok	result	vysledok	N;SG	N;INAN;NOM;MASC;SG
result	výsledok	result	výsledok	N;SG	N;INAN;NOM;MASC;SG
keep	držať	keep	držať	V;IMP;FIN	V;IPFV;POS;NFIN
keep	uchovávať	keep	uchovávať	V;IMP;FIN	V;IPFV;POS;NFIN
keep	majte	keep	mať	V;IMP;FIN	V;IPFV;IMP;PL;2;POS;FIN
keep	ponechať	keep	ponechať	V;IMP;FIN	V;PFV;POS;NFIN
keep	zachovať	keep	zachovať	V;IMP;FIN	V;PFV;POS;NFIN
appropriate	primerané	appropriate	primeraný	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
appropriate	vhodná	appropriate	vhodný	ADJ	ADJ;NOM;FEM;SG
appropriate	primeraná	appropriate	primeraný	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
appropriate	vhodné	appropriate	vhodný	ADJ	ADJ;NOM;NEUT;SG
appropriate	primeraný	appropriate	primeraný	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
appropriate	vhodný	appropriate	vhodný	ADJ	ADJ;ANIM;NOM;MASC;SG
four	štyroch	four	štyri	NUM	NUM;ANIM;ACC;MASC;PL
four	štyria	four	štyri	NUM	NUM;ANIM;NOM;MASC;PL
four	štyri	four	štyri	NUM	NUM;INAN;NOM;MASC;PL
subsequent	následné	subsequent	následný	ADJ	ADJ;NOM;NEUT;SG
subsequent	následná	subsequent	následný	ADJ	ADJ;NOM;FEM;SG
class	trieda	class	trieda	N;SG	N;NOM;FEM;SG
government	vláda	government	vláda	N;SG	N;NOM;FEM;SG
called	volal	call	volať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
each	každý	each	každý	DET	DET;ANIM;NOM;MASC;SG
each	každého	each	každý	DET	DET;ANIM;ACC;MASC;SG
each	každé	each	každý	DET	DET;NOM;NEUT;SG
each	každá	each	každý	DET	DET;NOM;FEM;SG
found	našiel	find	nájsť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
found	našli	find	nájsť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
found	našlo	find	nájsť	V;PST;V.PTCP	V;PFV;NEUT;SG;POS;PST;V.PTCP
center	centrum	center	centrum	N;SG	N;NOM;NEUT;SG
center	centre	center	centrum	N;SG	N;NOM;NEUT;SG
center	center	center	center	N;SG	N;INAN;NOM;MASC;SG
center	stred	center	stred	N;SG	N;INAN;NOM;MASC;SG
style	štýl	style	štýl	N;SG	N;INAN;NOM;MASC;SG
com	kom	com	kto	N;SG	N;INAN;NOM;MASC;SG
long	dlho	long	dlho	ADV	ADV
country	krajine	country	krajina	N;SG	N;DAT;FEM;SG
country	štát	country	štát	N;SG	N;INAN;NOM;MASC;SG
country	krajina	country	krajina	N;SG	N;NOM;FEM;SG
back	späť	back	späť	ADV	ADV
back	naspäť	back	naspäť	ADV	ADV
way	spôsob	way	spôsob	N;SG	N;INAN;NOM;MASC;SG
way	cesta	way	cesta	N;SG	N;NOM;FEM;SG
www	www	wwwiw	www	N;SG	N;INAN;NOM;MASC;SG
modify	pozmeniť	modify	pozmeniť	V;IMP;FIN	V;PFV;POS;NFIN
modify	zmeniť	modify	zmeniť	V;IMP;FIN	V;PFV;POS;NFIN
modify	upraviť	modify	upraviť	V;IMP;FIN	V;PFV;POS;NFIN
end	koniec	end	koniec	N;SG	N;INAN;NOM;MASC;SG
make	vyrobiť	make	vyrobiť	V;IMP;FIN	V;PFV;POS;NFIN
make	urobiť	make	urobiť	V;IMP;FIN	V;PFV;POS;NFIN
public	verejný	public	verejný	ADJ	ADJ;ANIM;NOM;MASC;SG
public	verejné	public	verejný	ADJ	ADJ;NOM;NEUT;SG
public	verejná	public	verejný	ADJ	ADJ;NOM;FEM;SG
played	nehral	play	hrať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;NEG;PST;V.PTCP
played	hralo	play	hrať	V;PST;V.PTCP	V;IPFV;NEUT;SG;POS;PST;V.PTCP
played	hrala	play	hrať	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
played	hral	play	hrať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
played	hrali	play	hrať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
won	vyhrali	win	vyhrať	V;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
won	vyhrala	win	vyhrať	V;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
won	zvíťazil	win	zvíťaziť	V;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
won	vyhral	win	vyhrať	V;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
another	iný	another	iný	DET	DET;ANIM;NOM;MASC;SG
added	pridal	add	pridať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
support	podporu	support	podpora	N;SG	N;ACC;FEM;SG
support	podpora	support	podpora	N;SG	N;NOM;FEM;SG
games	zápasy	game	zápas	N;PL	N;INAN;NOM;MASC;PL
games	hry	game	hra	N;PL	N;NOM;FEM;PL
games	hier	game	hier	N;PL	N;GEN;FEM;PL
former	bývalý	former	bývalý	ADJ	ADJ;ANIM;NOM;MASC;SG
former	bývalí	former	bývalý	ADJ	ADJ;ANIM;NOM;MASC;PL
former	bývalá	former	bývalý	ADJ	ADJ;NOM;FEM;SG
former	bývalé	former	bývalý	ADJ	ADJ;NOM;NEUT;SG
films	filmy	film	film	N;PL	N;INAN;NOM;MASC;PL
films	filmov	film	film	N;PL	N;INAN;GEN;MASC;PL
church	kostola	church	kostol	N;SG	N;INAN;GEN;MASC;SG
church	kostol	church	kostol	N;SG	N;INAN;NOM;MASC;SG
church	cirkev	church	cirkev	N;SG	N;NOM;FEM;SG
line	riadok	line	riadok	N;SG	N;INAN;NOM;MASC;SG
line	linka	line	linko	N;SG	N;NOM;FEM;SG
line	line	line	lina	N;SG	N;NOM;FEM;SG
line	čiara	line	čiara	N;SG	N;NOM;FEM;SG
major	hlavné	major	hlavný	ADJ	ADJ;NOM;NEUT;SG
major	hlavná	major	hlavný	ADJ	ADJ;NOM;FEM;SG
members	poslanci	member	poslanec	N;PL	N;ANIM;NOM;MASC;PL
members	členovia	member	člen	N;PL	N;ANIM;NOM;MASC;PL
members	členov	member	člen	N;PL	N;ANIM;ACC;MASC;PL
good	dobrá	good	dobrý	ADJ	ADJ;NOM;FEM;SG
good	dobré	good	dobrý	ADJ	ADJ;NOM;NEUT;SG
good	dobrý	good	dobrý	ADJ	ADJ;ANIM;NOM;MASC;SG
image	image	image	imag	N;SG	N;INAN;NOM;MASC;SG
image	obrázok	image	obrázok	N;SG	N;INAN;NOM;MASC;SG
image	obraz	image	obraz	N;SG	N;INAN;NOM;MASC;SG
show	ukázať	show	ukázať	V;IMP;FIN	V;PFV;POS;NFIN
show	zobraziť	show	zobraziť	V;IMP;FIN	V;PFV;POS;NFIN
show	ukáž	show	ukáž	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
still	stále	still	stále	ADV	ADV
think	myslieť	think	myslieť	V;IMP;FIN	V;IPFV;POS;NFIN
below	nižšie	below	nízko	ADV	ADV;CMPR
tow	mesto	tow	mesto	N;SG	N;NOM;NEUT;SG
tow	mesta	tow	mesto	N;SG	N;NOM;NEUT;SG
tow	mestečko	tow	mestečko	N;SG	N;NOM;NEUT;SG
last	posledným	last	posledný	ADJ	ADJ;INS;NEUT;SG
last	posledný	last	posledný	ADJ	ADJ;INAN;NOM;MASC;SG
last	posledné	last	posledný	ADJ	ADJ;NOM;NEUT;SG
system	systém	system	systém	N;SG	N;INAN;NOM;MASC;SG
system	systému	system	systém	N;SG	N;INAN;GEN;MASC;SG
system	sústava	system	sústava	N;SG	N;NOM;FEM;SG
right	správne	right	správne	ADV	ADV
right	vpravo	right	vpravo	ADV	ADV
song	pesnička	song	pesnička	N;SG	N;NOM;FEM;SG
song	pieseň	song	pieseň	N;SG	N;NOM;FEM;SG
song	skladba	song	skladba	N;SG	N;NOM;FEM;SG
notable	pozoruhodné	notable	pozoruhodný	ADJ	ADJ;NOM;NEUT;SG
section	oddiel	section	oddlieť	N;SG	N;INAN;NOM;MASC;SG
section	časť	section	časť	N;SG	N;NOM;FEM;SG
section	úsek	section	úsek	N;SG	N;INAN;NOM;MASC;SG
section	sekcia	section	sekcia	N;SG	N;NOM;FEM;SG
single	slobodná	single	slobodný	ADJ	ADJ;NOM;FEM;SG
single	jednotného	single	jednotný	ADJ	ADJ;GEN;NEUT;SG
single	jednotné	single	jednotný	ADJ	ADJ;NOM;NEUT;SG
single	slobodný	single	slobodný	ADJ	ADJ;ANIM;NOM;MASC;SG
single	jednotný	single	jednotný	ADJ	ADJ;INAN;NOM;MASC;SG
included	zahrnúť	include	zahrnúť	V;PST;V.PTCP	V;PFV;POS;NFIN
align	zosúladiť	align	zosúladiť	V;IMP;FIN	V;PFV;POS;NFIN
women	ženy	woman	žena	N;PL	N;NOM;FEM;PL
women	žien	woman	žena	N;PL	N;GEN;FEM;PL
women	dámske	woman	dámsky	N;PL	N;NOM;FEM;PL
television	televízia	television	televízia	N;SG	N;NOM;FEM;SG
television	televízor	television	televízor	N;SG	N;INAN;NOM;MASC;SG
seed	osiva	seed	osiva	N;SG	N;INAN;GEN;MASC;SG
seed	semeno	seed	semeno	N;SG	N;NOM;NEUT;SG
seed	osivo	seed	osivo	N;SG	N;INAN;NOM;MASC;SG
member	členka	member	členka	N;SG	N;NOM;FEM;SG
member	členom	member	člen	N;SG	N;ANIM;INS;MASC;SG
member	člena	member	člen	N;SG	N;ANIM;ACC;MASC;SG
member	poslanec	member	poslanec	N;SG	N;ANIM;NOM;MASC;SG
member	člen	member	člen	N;SG	N;ANIM;NOM;MASC;SG
goals	ciele	goal	cieľ	N;PL	N;INAN;NOM;MASC;PL
goals	gólov	goal	gól	N;PL	N;INAN;GEN;MASC;PL
goals	góly	goal	góla	N;PL	N;NOM;FEM;PL
sources	zdroje	source	zdroj	N;PL	N;INAN;NOM;MASC;PL
book	kniha	book	kniha	N;SG	N;NOM;FEM;SG
book	knižku	book	knižka	N;SG	N;ACC;FEM;SG
book	knihu	book	kniha	N;SG	N;ACC;FEM;SG
station	stanica	station	stanica	N;SG	N;NOM;FEM;SG
station	stanici	station	stanica	N;SG	N;DAT;FEM;SG
station	stanicu	station	stanica	N;SG	N;ACC;FEM;SG
order	poradie	order	poradie	N;SG	N;NOM;NEUT;SG
order	objednávka	order	objednávka	N;SG	N;NOM;FEM;SG
order	poriadok	order	poriadok	N;SG	N;INAN;NOM;MASC;SG
old	starý	old	starý	ADJ	ADJ;ANIM;NOM;MASC;SG
old	staré	old	starý	ADJ	ADJ;NOM;NEUT;SG
old	stará	old	starý	ADJ	ADJ;NOM;FEM;SG
information	informovanie	information	informovanie	N;SG	N;NOM;NEUT;SG
information	informácia	information	informácia	N;SG	N;NOM;FEM;SG
set	nastaviť	set	nastaviť	V;FIN	V;PFV;POS;NFIN
own	vlastný	own	vlastný	ADJ	ADJ;ANIM;NOM;MASC;SG
own	vlastná	own	vlastný	ADJ	ADJ;NOM;FEM;SG
own	vlastné	own	vlastný	ADJ	ADJ;NOM;NEUT;SG
text	text	text	text	N;SG	N;INAN;NOM;MASC;SG
band	pásmo	band	pásmo	N;SG	N;NOM;NEUT;SG
band	kapela	band	kapel	N;SG	N;NOM;FEM;SG
