categoría	kategooria	categoría	kategooria	N;FEM;SG	N;NOM;SG
grupo	rühm	grupo	rühm	N;MASC;SG	N;NOM;SG
grupo	grupp	grupo	grupp	N;MASC;SG	N;NOM;SG
grupo	grupis	grupo	grupp	N;MASC;SG	N;IN+ESS;SG
general	kindral	general	kindral	N;SG	N;NOM;SG
guerra	sõda	guerra	sõda	N;FEM;SG	N;NOM;SG
aunque	kuigi	aunque	kuigi	CONJ	CONJ
aunque	ehkki	aunque	ehkki	CONJ	CONJ
aunque	kuigi	aunque	kuigi	CONJ	CONJ
familia	pere	familia	pere	N;FEM;SG	N;NOM;SG
familia	perekond	familia	perekond	N;FEM;SG	N;NOM;SG
además	samuti	además	samuti	ADV	ADV
además	ka	además	ka	ADV	ADV
sur	lõuna	sur	lõuna	N;MASC;SG	N;NOM;SG
sur	sur	sur	sur	N;MASC;SG	N;NOM;SG
sur	lõuna	sur	lõuna	N;MASC;SG	N;NOM;SG
sur	lõunasse	sur	lõuna	N;MASC;SG	N;IN+ALL;SG
sur	lõunas	sur	lõuna	N;MASC;SG	N;IN+ESS;SG
tiempo	ilm	tiempo	ilm	N;MASC;SG	N;NOM;SG
tiempo	kellaaeg	tiempo	kella_aeg	N;MASC;SG	N;NOM;SG
tiempo	aeg	tiempo	aeg	N;MASC;SG	N;NOM;SG
tiempo	aja	tiempo	aeg	N;MASC;SG	N;GEN;SG
tiempo	ajas	tiempo	aeg	N;MASC;SG	N;IN+ESS;SG
tiempo	aega	tiempo	aeg	N;MASC;SG	N;PRT;SG
provincia	provints	provincia	provints	N;FEM;SG	N;NOM;SG
partido	party	partido	party	N;MASC;SG	N;NOM;SG
partido	pidu	partido	pidu	N;MASC;SG	N;NOM;SG
partido	erakond	partido	erakond	N;MASC;SG	N;NOM;SG
partido	peole	partido	pidu	N;MASC;SG	N;AT+ALL;SG
partido	sobivus	partido	sobivus	N;MASC;SG	N;NOM;SG
partido	match	partido	match	N;MASC;SG	N;NOM;SG
encuentra	leida	encontrar	leidma	V;IND;SG;3;PRS;FIN	V;NFIN
encuentra	leiab	encontrar	leidma	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
municipio	alevi	municipio	alev	N;MASC;SG	N;PRT;SG
municipio	omavalitsus	municipio	oma_valitsus	N;MASC;SG	N;NOM;SG
municipio	vald	municipio	vald	N;MASC;SG	N;NOM;SG
serie	seeria	serie	seeria	N;FEM;SG	N;NOM;SG
fútbol	jalgpall	fútbol	jalg_pall	N;MASC;SG	N;NOM;SG
fútbol	jalgpall	fútbol	jalg_pall	N;MASC;SG	N;NOM;SG
equipo	varustus	equipo	varustus	N;MASC;SG	N;NOM;SG
equipo	tiim	equipo	tiim	N;MASC;SG	N;NOM;SG
equipo	meeskond	equipo	meeskond	N;MASC;SG	N;NOM;SG
norte	norte	norte	nort	N;MASC;SG	N;NOM;SG
norte	põhi	norte	põhi	N;MASC;SG	N;NOM;SG
norte	põhja	norte	põhi	N;MASC;SG	N;IN+ALL;LGSPEC1;SG
norte	põhjas	norte	põhi	N;MASC;SG	N;IN+ESS;SG
norte	põhja	norte	põhi	N;MASC;SG	N;IN+ALL;LGSPEC1;SG
norte	nord	norte	nord	N;MASC;SG	N;NOM;SG
río	rio	río	rio	N;MASC;SG	N;NOM;SG
río	river	río	river	N;MASC;SG	N;NOM;SG
río	jõgi	río	jõgi	N;MASC;SG	N;NOM;SG
méxico	mehhiko	méxico	mehhiko	N;MASC;SG	N;NOM;SG
nuevo	uus	nuevo	uus	ADJ;MASC;SG	ADJ;NOM;SG
septiembre	september	septiembre	september	N	N;NOM;SG
septiembre	septembris	septiembre	september	N	N;IN+ESS;SG
octubre	oktoober	octubre	oktoober	N	N;NOM;SG
discusión	arutelu	discusión	arutelu	N;FEM;SG	N;NOM;SG
gobierno	valitsemine	gobierno	valitsemine	N;MASC;SG	N;NOM;SG
gobierno	juhtimine	gobierno	juhtimine	N;MASC;SG	N;NOM;SG
gobierno	valitsus	gobierno	valitsus	N;MASC;SG	N;NOM;SG
condado	maakond	condado	maakond	N;MASC;SG	N;NOM;SG
final	lõpp	final	lõpp	N;MASC;SG	N;NOM;SG
final	finaal	final	finaal	N;MASC;SG	N;NOM;SG
final	finaal	final	finaal	N;MASC;SG	N;NOM;SG
final	finaali	final	finaal	N;MASC;SG	N;IN+ALL;LGSPEC1;SG
vida	life	vida	life	N;FEM;SG	N;NOM;SG
vida	elu	vida	elu	N;FEM;SG	N;NOM;SG
vida	vida	vida	vida	N;FEM;SG	N;NOM;SG
personas	isikuid	persona	isik	N;FEM;PL	N;PRT;PL
personas	isikud	persona	isik	N;FEM;PL	N;NOM;PL
personas	inimesed	persona	inimene	N;FEM;PL	N;NOM;PL
centro	kesklinna	centro	kesk_linn	N;MASC;SG	N;IN+ALL;LGSPEC1;SG
centro	kesklinn	centro	kesk_linn	N;MASC;SG	N;NOM;SG
centro	kesklinnas	centro	kesk_linn	N;MASC;SG	N;IN+ESS;SG
centro	centro	centro	centro	N;MASC;SG	N;NOM;SG
centro	keskus	centro	keskus	N;MASC;SG	N;NOM;SG
centro	center	centro	center	N;MASC;SG	N;NOM;SG
centro	keskus	centro	keskus	N;MASC;SG	N;NOM;SG
julio	julio	julio	julio	N	N;NOM;SG
julio	julius	julio	julius	N	N;NOM;SG
julio	juuli	julio	juuli	N	N;NOM;SG
lincoln	lincoln	lincoln	lincoln	N;MASC;SG	N;NOM;SG
lincoln	lincolni	lincoln	lincolni	N;MASC;SG	N;NOM;SG
país	riik	país	riik	N;MASC;SG	N;NOM;SG
web	koduleht	web	kodu_leht	N;FEM;SG	N;NOM;SG
web	veebileht	web	veebi_leht	N;FEM;SG	N;NOM;SG
web	veebisait	web	veebi_sait	N;FEM;SG	N;NOM;SG
web	kodulehekülg	web	kodu_lehe_külg	N;FEM;SG	N;NOM;SG
web	veebi	web	veeb	N;FEM;SG	N;PRT;SG
internacional	rahvusvaheline	internacional	rahvus_vaheline	ADJ;SG	ADJ;NOM;SG
santa	püha	santo	püha	ADJ;FEM;SG	ADJ;NOM;SG
santa	jõuluvana	santo	jõuluv	ADJ;FEM;SG	ADJ;FRML;SG;PRS;V.PTCP;ACT
antes	varem	antes	varem	ADV	ADV
antes	enne	antes	enne	ADV	ADV
oficial	ametlik	oficial	ametlik	ADJ;SG	ADJ;NOM;SG
mundo	maailma	mundo	maa_ilm	N;MASC;SG	N;PRT;SG
mundo	maailm	mundo	maa_ilm	N;MASC;SG	N;NOM;SG
mundo	mundo	mundo	mundo	N;MASC;SG	N;NOM;SG
embargo	embargo	embargo	embargo	N;MASC;SG	N;NOM;SG
mayo	mai	mayo	mai	N	N;NOM;SG
mayo	majonees	mayo	majonees	N	N;NOM;SG
algunos	mõned	alguno	mõni	PRO;MASC;PL	PRO;NOM;PL
temporada	hooaeg	temporada	hoo_aeg	N;FEM;SG	N;NOM;SG
mejor	paremini	mejor	paremini	ADV	ADV
luego	seejärel	luego	see_järel	ADV	ADV
luego	siis	luego	siis	ADV	ADV
marzo	märts	marzo	märts	N	N;NOM;SG
día	päev	día	päev	N;MASC;SG	N;NOM;SG
día	päeva	día	päev	N;MASC;SG	N;PRT;SG
madrid	madridi	madrid	madrid	N;MASC;SG	N;NOM;SG
madrid	liverpooli	madrid	liver_pool	N;MASC;SG	N;PRT;SG
enero	jaanuar	enero	jaanuar	N	N;NOM;SG
número	number	número	number	N;MASC;SG	N;NOM;SG
número	arv	número	arv	N;MASC;SG	N;NOM;SG
agosto	august	agosto	auk	N	N;IN+ABL;SG
diciembre	detsember	diciembre	detsember	N	N;NOM;SG
artículo	artikkel	artículo	artikkel	N;MASC;SG	N;NOM;SG
artículo	kirje	artículo	kirje	N;MASC;SG	N;NOM;SG
artículo	element	artículo	element	N;MASC;SG	N;NOM;SG
noviembre	november	noviembre	november	N	N;NOM;SG
noviembre	novembris	noviembre	november	N	N;IN+ESS;SG
otro	muu	otro	muu	PRO;MASC;SG	PRO;NOM;SG
otro	muud	otro	muu	PRO;MASC;SG	PRO;NOM;SG
estos	need	este	see	PRO;MASC;PL	PRO;NOM;PL
estos	neid	este	see	PRO;MASC;PL	PRO;PRT;PL
abril	aprill	abril	aprill	N	N;NOM;SG
región	regioon	región	regioon	N;FEM;SG	N;NOM;SG
región	piirkond	región	piirkond	N;FEM;SG	N;NOM;SG
sistema	süsteemi	sistema	süsteem	N;MASC;SG	N;PRT;SG
sistema	süsteem	sistema	süsteem	N;MASC;SG	N;NOM;SG
sistema	system	sistema	system	N;MASC;SG	N;NOM;SG
habitantes	elanikke	habitante	elanik	N;PL	N;PRT;PL
habitantes	elanikud	habitante	elanik	N;PL	N;NOM;PL
habitantes	elanikud	habitante	elanik	N;PL	N;NOM;PL
habitantes	residendid	habitante	resident	N;PL	N;NOM;PL
maría	marie	maría	mari	N;FEM;SG	N;NOM;SG
maría	mary	maría	mary	N;FEM;SG	N;NOM;SG
maría	maarja	maría	maarjas	N;FEM;SG	N;NOM;SG
maría	maria	maría	maria	N;FEM;SG	N;NOM;SG
real	reaalne	real	reaalne	ADJ;SG	ADJ;NOM;SG
real	ehtne	real	ehtne	ADJ;SG	ADJ;NOM;SG
real	tõeline	real	tõeline	ADJ;SG	ADJ;NOM;SG
real	kuninglik	real	kuninglik	ADJ;SG	ADJ;NOM;SG
página	leht	página	leht	N;FEM;SG	N;NOM;SG
página	lehekülg	página	lehe_külg	N;FEM;SG	N;NOM;SG
página	page	página	page	N;FEM;SG	N;NOM;SG
página	lehekülje	página	lehe_külg	N;FEM;SG	N;GEN;SG
esto	see	este	see	PRO;SG	PRO;NOM;SG
esto	selle	este	see	PRO;SG	PRO;GEN;SG
esto	seda	este	see	PRO;SG	PRO;PRT;SG
mundial	ülemaailmne	mundial	üle_maa_ilmne	ADJ;SG	ADJ;NOM;SG
mundial	ülemaailmne	mundial	üle_maa_ilmne	ADJ;SG	ADJ;NOM;SG
mundial	globaalne	mundial	globaalne	ADJ;SG	ADJ;NOM;SG
mundial	ülemaailmse	mundial	üle_maa_ilmne	ADJ;SG	ADJ;GEN;SG
música	muusika	música	muusika	N;FEM;SG	N;NOM;SG
presidente	esimees	presidente	esi_mees	N;MASC;SG	N;NOM;SG
presidente	eesistuja	presidente	ees_istuja	N;MASC;SG	N;NOM;SG
presidente	esimees	presidente	esi_mees	N;MASC;SG	N;NOM;SG
presidente	eesistuja	presidente	ees_istuja	N;MASC;SG	N;NOM;SG
presidente	president	presidente	president	N;MASC;SG	N;NOM;SG
casa	house	casa	hous	N;FEM;SG	N;NOM;SG
casa	majja	casa	maja	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
casa	maja	casa	maja	N;FEM;SG	N;NOM;SG
casa	kodu	casa	kodu	N;FEM;SG	N;NOM;SG
casa	koju	casa	kodu	N;FEM;SG	N;IN+ALL;LGSPEC1;SG
casa	kodus	casa	kodu	N;FEM;SG	N;IN+ESS;SG
sólo	ainult	sólo	ainult	ADV	ADV
sólo	lihtsalt	sólo	lihtsalt	ADV	ADV
álbum	album	álbum	album	N;MASC;SG	N;NOM;SG
cuenta	loeb	contar	lugema	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
junio	juuni	junio	juuni	N	N;NOM;SG
junio	june	junio	june	N	N;NOM;SG
febrero	veebruar	febrero	veebruar	N	N;NOM;SG
ella	ta	él	tema	PRO;FEM;SG;3	PRO;NOM;SG;3
ella	teda	él	tema	PRO;FEM;SG;3	PRO;PRT;SG;3
ella	tema	él	tema	PRO;FEM;SG;3	PRO;NOM;SG;3
varios	mitmesugused	varios	mitme_sugune	PRO;MASC;PL	PRO;NOM;PL
varios	mitmed	varios	mitu	PRO;MASC;PL	PRO;NOM;PL
solo	üksinda	solo	üksinda	ADV	ADV
solo	üksi	solo	üksi	ADV	ADV
solo	ainult	solo	ainult	ADV	ADV
solo	lihtsalt	solo	lihtsalt	ADV	ADV
tipo	tüüp	tipo	tüüp	N;MASC;SG	N;NOM;SG
obra	tööd	obra	töö	N;FEM;SG	N;PRT;SG
obra	töö	obra	töö	N;FEM;SG	N;NOM;SG
obra	tööle	obra	töö	N;FEM;SG	N;AT+ALL;SG
iglesia	kiriku	iglesia	kirik	N;FEM;SG	N;NOM;SG
iglesia	kirik	iglesia	kirik	N;FEM;SG	N;NOM;SG
película	filmi	película	film	N;FEM;SG	N;PRT;SG
película	film	película	film	N;FEM;SG	N;NOM;SG
película	filmi	película	film	N;FEM;SG	N;PRT;SG
película	kile	película	kile	N;FEM;SG	N;NOM;SG
película	film	película	film	N;FEM;SG	N;NOM;SG
entonces	seejärel	entonces	see_järel	ADV	ADV
entonces	siis	entonces	siis	ADV	ADV
banda	bänd	banda	bänd	N;FEM;SG	N;NOM;SG
banda	ansambel	banda	ansambel	N;FEM;SG	N;NOM;SG
banda	banda	banda	band	N;FEM;SG	N;NOM;SG
banda	jõuk	banda	jõuk	N;FEM;SG	N;NOM;SG
banda	kamp	banda	kamp	N;FEM;SG	N;NOM;SG
banda	gang	banda	gang	N;FEM;SG	N;NOM;SG
zona	tsoon	zona	tsoon	N;FEM;SG	N;NOM;SG
zona	vöönd	zona	vöönd	N;FEM;SG	N;NOM;SG
zona	pindala	zona	pind_ala	N;FEM;SG	N;NOM;SG
zona	valdkond	zona	valdkond	N;FEM;SG	N;NOM;SG
zona	piirkond	zona	piirkond	N;FEM;SG	N;NOM;SG
zona	ala	zona	ala	N;FEM;SG	N;NOM;SG
televisión	televiisor	televisión	televiisor	N;FEM;SG	N;NOM;SG
televisión	televisiooni	televisión	televisioon	N;FEM;SG	N;PRT;SG
televisión	televisioon	televisión	televisioon	N;FEM;SG	N;NOM;SG
principal	peamine	principal	peamine	ADJ;SG	ADJ;NOM;SG
tuvo	oli	tener	olema	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
carlos	karl	carlo	karl	N;MASC;SG	N;NOM;SG
carlos	charles	carlo	charles	N;MASC;SG	N;NOM;SG
carlos	carl	carlo	carl	N;MASC;SG	N;NOM;SG
carlos	carlos	carlo	carlos	N;MASC;SG	N;NOM;SG
carlos	charlie	carlo	charlie	N;MASC;SG	N;NOM;SG
rey	king	rey	king	N;MASC;SG	N;NOM;SG
rey	kuningas	rey	kuningas	N;MASC;SG	N;NOM;SG
rey	kunn	rey	kunn	N;MASC;SG	N;NOM;SG
rey	rey	rey	rey	N;MASC;SG	N;NOM;SG
premio	auhinna	premio	au_hind	N;MASC;SG	N;GEN;SG
premio	auhind	premio	au_hind	N;MASC;SG	N;NOM;SG
premio	auhinnaks	premio	au_hind	N;MASC;SG	N;TRANS;SG
premio	auhind	premio	au_hind	N;MASC;SG	N;NOM;SG
hace	teeb	hacer	tegema	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
hace	paneb	hacer	panema	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
hace	teeb	hacer	tegema	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN;ACT
edición	edit	edición	edit	N;FEM;SG	N;NOM;SG
edición	redigeerimine	edición	redigeerimine	N;FEM;SG	N;NOM;SG
edición	väljaanne	edición	välja_anne	N;FEM;SG	N;NOM;SG
edición	redigeerimine	edición	redigeerimine	N;FEM;SG	N;NOM;SG
premios	auhinnad	premio	au_hind	N;MASC;PL	N;NOM;PL
premios	auhinnad	premio	au_hind	N;MASC;PL	N;NOM;PL
sitio	koduleht	sitio	kodu_leht	N;MASC;SG	N;NOM;SG
sitio	veebileht	sitio	veebi_leht	N;MASC;SG	N;NOM;SG
sitio	veebisait	sitio	veebi_sait	N;MASC;SG	N;NOM;SG
sitio	kodulehekülg	sitio	kodu_lehe_külg	N;MASC;SG	N;NOM;SG
sitio	piiramine	sitio	piiramine	N;MASC;SG	N;NOM;SG
sitio	saidi	sitio	saima	N;MASC;SG	N;GEN;SG
sitio	ala	sitio	ala	N;MASC;SG	N;NOM;SG
bien	hästi	bien	hästi	ADV	ADV
mar	mar	mar	mar	N;SG	N;NOM;SG
mar	meri	mar	meri	N;SG	N;NOM;SG
mar	mere	mar	meri	N;SG	N;NOM;SG
mar	ookean	mar	ookean	N;SG	N;NOM;SG
poco	vähe	poco	vähe	ADV	ADV
orden	tellimus	orden	tellimus	N;MASC;SG	N;NOM;SG
orden	järjekord	orden	järje_kord	N;MASC;SG	N;NOM;SG
orden	korraldus	orden	korraldus	N;MASC;SG	N;NOM;SG
orden	ordu	orden	ordu	N;MASC;SG	N;NOM;SG
estadounidense	ameerika	estadounidense	ameerika	ADJ;SG	ADJ
agua	vett	agua	vesi	N;FEM;SG	N;PRT;SG
agua	vesi	agua	vesi	N;FEM;SG	N;NOM;SG
tierra	maa	tierra	maa	N;FEM;SG	N;NOM;SG
tierra	maa	tierra	maa	N;FEM;SG	N;NOM;SG
tierra	maad	tierra	maa	N;FEM;SG	N;PRT;SG
tierra	land	tierra	land	N;FEM;SG	N;NOM;SG
tierra	tierra	tierra	tierra	N;FEM;SG	N;NOM;SG
tierra	mulla	tierra	muld	N;FEM;SG	N;NOM;SG
tierra	pinnas	tierra	pind	N;FEM;SG	N;NOM;SG
tierra	muld	tierra	muld	N;FEM;SG	N;NOM;SG
título	pealkiri	título	peal_kiri	N;MASC;SG	N;NOM;SG
título	ametinimetus	título	ameti_nimetus	N;MASC;SG	N;NOM;SG
título	tiitel	título	tiitel	N;MASC;SG	N;NOM;SG
ellos	nad	él	tema	PRO;MASC;PL;3	PRO;NOM;PL;3
earth	maa	earth	maa	N	N;NOM;SG
división	diviis	división	diviis	N;FEM;SG	N;NOM;SG
división	rajoon	división	rajoon	N;FEM;SG	N;NOM;SG
división	osakond	división	osakond	N;FEM;SG	N;NOM;SG
canción	laulu	canción	laul	N;FEM;SG	N;PRT;SG
canción	laul	canción	laul	N;FEM;SG	N;NOM;SG
fecha	kuupäev	fecha	kuu_päev	N;FEM;SG	N;NOM;SG
república	vabariik	república	vaba_riik	N;FEM;SG	N;NOM;SG
trabajo	töö	trabajo	töö	N;MASC;SG	N;NOM;SG
trabajo	töökoht	trabajo	töö_koht	N;MASC;SG	N;NOM;SG
trabajo	tööd	trabajo	töö	N;MASC;SG	N;PRT;SG
trabajo	töö	trabajo	töö	N;MASC;SG	N;NOM;SG
trabajo	tööle	trabajo	töö	N;MASC;SG	N;AT+ALL;SG
especie	liik	especie	liik	N;FEM;SG	N;NOM;SG
luis	louis	luis	luud	N;MASC;SG	N;NOM;SG
luis	louie	luis	loui	N;MASC;SG	N;NOM;SG
luis	ludwig	luis	ludwig	N;MASC;SG	N;NOM;SG
luis	luis	luis	lumi	N;MASC;SG	N;NOM;SG
caso	case	caso	case	N;MASC;SG	N;NOM;SG
caso	kohtuasi	caso	kohtu_asi	N;MASC;SG	N;NOM;SG
caso	juhtum	caso	juhtum	N;MASC;SG	N;NOM;SG
dentro	sees	dentro	sees	ADV	ADV
color	värv	color	värv	N;MASC;SG	N;NOM;SG
color	värvi	color	värv	N;MASC;SG	N;PRT;SG
color	värvus	color	värvus	N;MASC;SG	N;NOM;SG
color	värv	color	värv	N;MASC;SG	N;NOM;SG
color	värvi	color	värv	N;MASC;SG	N;PRT;SG
distrito	ringkond	distrito	ringkond	N;MASC;SG	N;NOM;SG
distrito	rajoon	distrito	rajoon	N;MASC;SG	N;NOM;SG
superficie	pinnale	superficie	pind	N;FEM;SG	N;AT+ALL;SG
superficie	pind	superficie	pind	N;FEM;SG	N;NOM;SG
superficie	pindala	superficie	pind_ala	N;FEM;SG	N;NOM;SG
superficie	valdkond	superficie	valdkond	N;FEM;SG	N;NOM;SG
superficie	piirkond	superficie	piirkond	N;FEM;SG	N;NOM;SG
superficie	ala	superficie	ala	N;FEM;SG	N;NOM;SG
copa	copa	copa	copa	N;FEM;SG	N;NOM;SG
copa	cup	copa	cup	N;FEM;SG	N;NOM;SG
copa	tops	copa	tops	N;FEM;SG	N;NOM;SG
copa	tass	copa	tass	N;FEM;SG	N;NOM;SG
copa	karikas	copa	karikas	N;FEM;SG	N;NOM;SG
muchos	paljud	mucho	palju	PRO;MASC;PL	PRO;NOM;PL
muchos	paljusid	mucho	palju	PRO;MASC;PL	PRO;PRT;PL
línea	liin	línea	liin	N;FEM;SG	N;NOM;SG
línea	joone	línea	joon	N;FEM;SG	N;GEN;SG
línea	joon	línea	joon	N;FEM;SG	N;NOM;SG
línea	rida	línea	rida	N;FEM;SG	N;NOM;SG
francisco	francisco	francisco	francisco	N;MASC;SG	N;NOM;SG
francisco	francis	francisco	francis	N;MASC;SG	N;NOM;SG
siguiente	järgmiseks	siguiente	järgmine	ADJ;SG	ADJ;TRANS;SG
siguiente	järgmisena	siguiente	järgmine	ADJ;SG	ADJ;FRML;SG
siguiente	järgmine	siguiente	järgmine	ADJ;SG	ADJ;NOM;SG
área	pindala	área	pind_ala	N;FEM;SG	N;NOM;SG
área	valdkond	área	valdkond	N;FEM;SG	N;NOM;SG
área	piirkond	área	piirkond	N;FEM;SG	N;NOM;SG
área	ala	área	ala	N;FEM;SG	N;NOM;SG
grandes	suured	grande	suur	ADJ;PL	ADJ;NOM;PL
grandes	suured	grande	suur	ADJ;PL	ADJ;NOM;PL
censo	loenduse	censo	loendus	N;MASC;SG	N;GEN;SG
censo	loendus	censo	loenduma	N;MASC;SG	N;NOM;SG
liga	league	liga	league	N;FEM;SG	N;NOM;SG
estas	need	este	see	PRO;FEM;PL	PRO;NOM;PL
estas	neid	este	see	PRO;FEM;PL	PRO;PRT;PL
muerte	surma	muerte	surm	N;FEM;SG	N;PRT;SG
muerte	surm	muerte	surm	N;FEM;SG	N;NOM;SG
medio	pool	medio	pool	NUM;MASC;SG	NUM;NOM;SG
política	poliitika	política	poliitika	N;FEM;SG	N;NOM;SG
política	poliitikast	política	poliitika	N;FEM;SG	N;IN+ABL;SG
política	poliitika	política	poliitika	N;FEM;SG	N;NOM;SG
menos	vähem	menos	vähem	ADV	ADV
largo	pikka	largo	pikk	ADJ;MASC;SG	ADJ;PRT;SG
largo	pikk	largo	pikk	ADJ;MASC;SG	ADJ;NOM;SG
