ben	بِن	ben	بِن		
nagyobb	بالاتر	nagy	بالا	ADJ;NOM;CMPR;SG	ADJ;CMPR
jegyzőkönyv	دقیقه	jegyzőkönyv	دقیقه	N;NOM;SG	N;SG
jegyzőkönyv	قرارداد	jegyzőkönyv	قرارداد	N;NOM;SG	N;SG
jegyzőkönyv	پروتکل	jegyzőkönyv	پروتکل	N;NOM;SG	N;SG
vett	خریده	vesz	None	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
károly	شارل	károly	شارل	N;NOM;SG	N;SG
károly	چارلز	károly	چارلز	N;NOM;SG	N;SG
mai	مای	mai	ما		
bajnokság	قهرمانی	bajnokság	قهرمانی	N;NOM;SG	N;SG
bajnokság	تورنومنت	bajnokság	تورنومنت	N;NOM;SG	N;SG
bajnokság	تورنمنت	bajnokság	تورنمنت	N;NOM;SG	N;SG
szó	سخن	szó	سخن	N;NOM;SG	N;SG
szó	کلمه	szó	کلمه	N;NOM;SG	N;SG
szó	واژه	szó	واژه	N;NOM;SG	N;SG
szó	کلام	szó	کلام	N;NOM;SG	N;SG
belül	داخل	belül	داخل	ADP	ADP
kiadó	ناشر	kiadó	ناشر	N;NOM;SG	N;SG
kiadó	اجاره	kiadó	اجاره	N;NOM;SG	N;SG
kiadó	کرایه	kiadó	کرایه	N;NOM;SG	N;SG
kiadó	نشر	kiadó	نشر	N;NOM;SG	N;SG
kiadó	انتشار	kiadó	انتشار	N;NOM;SG	N;SG
wikipédia	ویکیپدیا	wikipédia	ویکیپدیا	N;NOM;SG	N;SG
wikipédia	ویکیپدیای	wikipédia	ویکیپدیا	N;NOM;SG	N;SG
sorozat	سری	sorozat	سری	N;NOM;SG	N;SG
sorozat	متوالی	sorozat	متوالی	N;NOM;SG	N;SG
sorozat	سریالی	sorozat	None	N;NOM;SG	N;SG
lap	ورقه	lap	None	N;NOM;SG	N;SG
lap	برگه	lap	برگه	N;NOM;SG	N;SG
lap	ژورنال	lap	ژورنال	N;NOM;SG	N;SG
lap	مجله	lap	مجله	N;NOM;SG	N;SG
lap	نشریه	lap	نشریه	N;NOM;SG	N;SG
lap	زبانه	lap	زبانه	N;NOM;SG	N;SG
lap	تب	lap	تب	N;NOM;SG	N;SG
cikk	مطلب	cikk	مطلب	N;NOM;SG	N;SG
cikk	مقالۀ	cikk	مقالۀ	N;NOM;SG	N;SG
cikk	مقاله	cikk	مقاله	N;NOM;SG	N;SG
éves	سالانه	éves	سالانه	ADJ;NOM;SG	ADJ
éves	سالیانه	éves	سالیانه	ADJ;NOM;SG	ADJ
éves	سالانه	éves	سالانه	ADJ;NOM;SG	ADJ
éves	سالیانه	éves	سالیانه	ADJ;NOM;SG	ADJ
száma	عدد	szám	عدد	N;NOM;SG	N;SG
száma	شمارۀ	szám	شمارۀ	N;NOM;SG	N;SG
száma	شماره	szám	شماره	N;NOM;SG	N;SG
nélkül	بدون	nélkül	بدون	ADP	ADP
csoport	گروهبندی	csoport	گروهبندی	N;NOM;SG	N;SG
csoport	گروپ	csoport	گروپ	N;NOM;SG	N;SG
csoport	گروه	csoport	گروه	N;NOM;SG	N;SG
író	نویسنده	író	نویسنده	N;NOM;SG	N;SG
író	مؤلف	író	مؤلف	N;NOM;SG	N;SG
író	نویسندۀ	író	نویسندۀ	N;NOM;SG	N;SG
író	نویسنده	író	نویسنده	N;NOM;SG	N;SG
most	اکنون	most	اکنون	ADV	ADV
most	الان	most	الان	ADV	ADV
most	حالا	most	حالا	ADV	ADV
férfi	مذکر	férfi	None	N;NOM;SG	N;SG
férfi	نر	férfi	نر	N;NOM;SG	N;SG
férfi	انسان	férfi	انسان	N;NOM;SG	N;SG
férfi	مَرد	férfi	مَرد	N;NOM;SG	N;SG
férfi	مرد	férfi	مرد	N;NOM;SG	N;SG
ember	انسان	ember	انسان	N;NOM;SG	N;SG
ember	انسانی	ember	انسانی	N;NOM;SG	N;SG
ember	بشر	ember	بشر	N;NOM;SG	N;SG
ember	انسان	ember	انسان	N;NOM;SG	N;SG
ember	مَرد	ember	مَرد	N;NOM;SG	N;SG
ember	مرد	ember	مرد	N;NOM;SG	N;SG
fontos	مهم	fontos	مهم	ADJ;NOM;SG	ADJ
faj	نژاد	faj	نژاد	N;NOM;SG	N;SG
faj	مسابقه	faj	مسابقه	N;NOM;SG	N;SG
faj	گونه	faj	گونه	N;NOM;SG	N;SG
mindig	همیشه	mindig	همیشه	ADV	ADV
újra	دوباره	újra	دوباره	ADV	ADV
stadion	ورزشگاه	stadion	ورزشگاه	N;NOM;SG	N;SG
kisebb	کوچکتر	kis	کوچک	ADJ;NOM;CMPR;SG	ADJ;CMPR
maradt	ماند	marad	ماند#مان	V;INDF;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
rendező	director	rendező	director	N;NOM;SG	N;SG
rendező	کارگردان	rendező	کارگردان	N;NOM;SG	N;SG
helyszín	محل	helyszín	محل	N;NOM;SG	N;SG
helyszín	مکان	helyszín	مکان	N;NOM;SG	N;SG
helyszín	سایت	helyszín	سایت	N;NOM;SG	N;SG
politikai	سیاسی	politikai	سیاسی	ADJ;NOM;SG	ADJ
nyelv	زبون	nyelv	زبون	N;NOM;SG	N;SG
nyelv	زبان	nyelv	زبان	N;NOM;SG	N;SG
nyelv	زبان	nyelv	زبان	N;NOM;SG	N;SG
háború	جنگ	háború	جنگ	N;NOM;SG	N;SG
háború	جنگی	háború	جنگی	N;NOM;SG	N;SG
jobb	بهتر	jó	به	ADJ;NOM;CMPR;SG	ADJ;CMPR
jobb	بهترش	jó	بهترش	ADJ;NOM;CMPR;SG	ADJ;CMPR
alá	تحت	alá	تحت	ADP	ADP
alá	زیر	alá	زیر	ADP	ADP
dátum	تاریخ	dátum	تاریخ	N;NOM;SG	N;SG
egyetem	دانشگاه	egyetem	دانشگاه	N;NOM;SG	N;SG
egyetem	qom	egyetem	qom	N;NOM;SG	N;SG
egyetem	کالج	egyetem	None	N;NOM;SG	N;SG
egyetem	دانشکده	egyetem	دانشکده	N;NOM;SG	N;SG
egyetem	دانشگاه	egyetem	دانشگاه	N;NOM;SG	N;SG
egyetem	دانشگاهی	egyetem	دانشگاهی	N;NOM;SG	N;SG
hely	محل	hely	محل	N;NOM;SG	N;SG
hely	مکانی	hely	مکان	N;NOM;SG	N;SG
hely	مکان	hely	مکان	N;NOM;SG	N;SG
hely	جای	hely	جا	N;NOM;SG	N;SG
hely	جایی	hely	جا	N;NOM;SG	N;SG
hely	محل	hely	محل	N;NOM;SG	N;SG
hely	مکان	hely	مکان	N;NOM;SG	N;SG
hasonló	مشابه	hasonló	مشابه	ADJ;NOM;SG	ADJ
lista	فهرست	lista	فهرست	N;NOM;SG	N;SG
országos	ملی	országos	ملی	ADJ;NOM;SG	ADJ
utca	استریت	utca	استریت	N;NOM;SG	N;SG
utca	خیابانی	utca	خیابانی	N;NOM;SG	N;SG
utca	خیابان	utca	خیابان	N;NOM;SG	N;SG
utca	خیابون	utca	خیابون	N;NOM;SG	N;SG
szám	عدد	szám	عدد	N;NOM;SG	N;SG
szám	شمارۀ	szám	شمارۀ	N;NOM;SG	N;SG
szám	شماره	szám	شماره	N;NOM;SG	N;SG
újabb	جدیدتر	új	جدید	ADJ;NOM;CMPR;SG	ADJ;CMPR
nap	آفتاب	nap	آفتاب	N;NOM;SG	N;SG
nap	خورشید	nap	خورشید	N;NOM;SG	N;SG
nap	سون	nap	سون	N;NOM;SG	N;SG
nap	روز	nap	روز	N;NOM;SG	N;SG
nap	روزی	nap	روز	N;NOM;SG	N;SG
története	داستان	történet	داستان	N;NOM;SG	N;SG
története	داستانی	történet	داستان	N;NOM;SG	N;SG
története	قصه	történet	None	N;NOM;SG	N;SG
látható	نمایان	látható	نمایان	ADJ;NOM;SG	ADJ
ellenére	باوجود	ellenére	باوجود	ADP	ADP
béla	بلا	béla	بلا		
múzeum	موزه	múzeum	موزه	N;NOM;SG	N;SG
forrás	مبدأ	forrás	None	N;NOM;SG	N;SG
forrás	متن	forrás	متن	N;NOM;SG	N;SG
forrás	منبع	forrás	منبع	N;NOM;SG	N;SG
forrás	منبع	forrás	منبع	N;NOM;SG	N;SG
html	html	html	html	N;NOM;SG	N;SG
név	نام	név	نام	N;NOM;SG	N;SG
kupa	فنجان	kupa	None	N;NOM;SG	N;SG
kupa	جامی	kupa	جام	N;NOM;SG	N;SG
kupa	کاپ	kupa	کاپ	N;NOM;SG	N;SG
kupa	جام	kupa	جام	N;NOM;SG	N;SG
terület	قلمروی	terület	قلمروی	N;NOM;SG	N;SG
terület	قلمرو	terület	قلمرو	N;NOM;SG	N;SG
terület	منطقه	terület	منطقه	N;NOM;SG	N;SG
terület	مساحت	terület	مساحت	N;NOM;SG	N;SG
terület	ناحیه	terület	ناحیه	N;NOM;SG	N;SG
herceg	دوک	herceg	دوک	N;NOM;SG	N;SG
herceg	پرنس	herceg	پرنس	N;NOM;SG	N;SG
herceg	پرینس	herceg	پرینس	N;NOM;SG	N;SG
herceg	شاهزاده	herceg	شاهزاده	N;NOM;SG	N;SG
magas	بلند	magas	بلند	ADJ;NOM;SG	ADJ
színház	theater	színház	theater	N;NOM;SG	N;SG
elsősorban	اساسا	elsősorban	اساساً	ADV	ADV
elsősorban	عمدتاً	elsősorban	عمدتا	ADV	ADV
elsősorban	عمدتاً	elsősorban	عمدتا	ADV	ADV
millió	میلیون	millió	میلیون	NUM;NOM;SG	NUM
köztársaság	جمهوری	köztársaság	جمهوری	N;NOM;SG	N;SG
vendég	مشتری	vendég	مشتری	N;NOM;SG	N;SG
vendég	مهمان	vendég	مهمان	N;NOM;SG	N;SG
zoltán	زلتن	zoltán	زلتن	N;NOM;SG	N;SG
zoltán	زولتان	zoltán	زولت	N;NOM;SG	N;SG
franciaország	فرانس	franciaország	فرانس	N;NOM;SG	N;SG
franciaország	فرانسه	franciaország	فرانسه	N;NOM;SG	N;SG
oldal	صفحۀ	oldal	صفحۀ	N;NOM;SG	N;SG
oldal	صفحه	oldal	صفحه	N;NOM;SG	N;SG
idő	زمان	idő	زمان	N;NOM;SG	N;SG
idő	تایم	idő	تایم	N;NOM;SG	N;SG
rendszer	سامانه	rendszer	سامانه	N;NOM;SG	N;SG
rendszer	سیستم	rendszer	سیستم	N;NOM;SG	N;SG
album	آلبوم	album	آلبوم	N;NOM;SG	N;SG
tanár	معلم	tanár	معلم	N;NOM;SG	N;SG
tanár	معلمی	tanár	معلم	N;NOM;SG	N;SG
tanár	teacher	tanár	teacher	N;NOM;SG	N;SG
tanár	آموزگار	tanár	آموزگار	N;NOM;SG	N;SG
szerkesztő	ویرایشگر	szerkesztő	ویرایشگر	N;NOM;SG	N;SG
méter	متر	méter	متر	N;NOM;SG	N;SG
méter	متری	méter	متری	N;NOM;SG	N;SG
méter	متر	méter	متر	N;NOM;SG	N;SG
méter	متر	méter	متر	N;NOM;SG	N;SG
méter	کنتور	méter	کنتور	N;NOM;SG	N;SG
méter	متر	méter	متر	N;NOM;SG	N;SG
színész	هنرپیشه	színész	هنرپیشه	N;NOM;SG	N;SG
színész	بازیگر	színész	بازیگر	N;NOM;SG	N;SG
színész	actor	színész	actor	N;NOM;SG	N;SG
ház	خانه	ház	خانه	N;NOM;SG	N;SG
felesége	زن	fel+eség	زن	N;NOM;SG	N;SG
felesége	همسر	fel+eség	همسر	N;NOM;SG	N;SG
felesége	عیال	fel+eség	عیال	N;NOM;SG	N;SG
iskola	مدرسه	iskola	مدرسه	N;NOM;SG	N;SG
iskola	مکتب	iskola	مکتب	N;NOM;SG	N;SG
összesen	کلا	összesen	None		
történelmi	تاریخی	történelmi	تاریخی	ADJ;NOM;SG	ADJ
történelmi	تاریخی	történelmi	تاریخی	ADJ;NOM;SG	ADJ
költő	poet	költő	poet	N;NOM;SG	N;SG
költő	شاعری	költő	شاعر	N;NOM;SG	N;SG
költő	شاعر	költő	شاعر	N;NOM;SG	N;SG
ideje	زمان	idő	زمان	N;NOM;SG	N;SG
ideje	تایم	idő	تایم	N;NOM;SG	N;SG
hét	هفته	hét	هفته	N;NOM;SG	N;SG
hét	هفتۀ	hét	هفتۀ	N;NOM;SG	N;SG
pont	پون	pont	پون		
bajnok	قهرمان	bajn	قهرمان	N;NOM;SG	N;SG
bajnok	قهرمان	bajn	قهرمان	N;NOM;SG	N;SG
bajnok	پهلوان	bajn	None	N;NOM;SG	N;SG
bajnok	champion	bajn	None	N;NOM;SG	N;SG
állam	حالت	állam	حالت	N;NOM;SG	N;SG
állam	استیت	állam	استیت	N;NOM;SG	N;SG
állam	دولت	állam	دولت	N;NOM;SG	N;SG
állam	وضعیت	állam	وضعیت	N;NOM;SG	N;SG
állam	ایالت	állam	ایالت	N;NOM;SG	N;SG
emberek	مردانی	ember	مردانی	N;NOM;PL	N;PL
emberek	مردها	ember	مرد	N;NOM;PL	N;PL
emberek	مردان	ember	مرد	N;NOM;PL	N;PL
emberek	انسانها	ember	انسان	N;NOM;PL	N;PL
emberek	افراد	ember	فرد	N;NOM;PL	N;PL
emberek	مردمان	ember	مردم	N;NOM;PL	N;PL
emberek	آدمها	ember	آدم	N;NOM;PL	N;PL
németország	آلمان	németország	آلمان	N;NOM;SG	N;SG
talán	شاید	talán	شاید	ADV	ADV
uefa	یوفا	uefa	یوفا	N;NOM;SG	N;SG
dal	نغمه	dal	نغمه	N;NOM;SG	N;SG
dal	ترانه	dal	ترانه	N;NOM;SG	N;SG
dal	اهنگ	dal	اهنگ	N;NOM;SG	N;SG
dal	آهنگ	dal	آهنگ	N;NOM;SG	N;SG
dal	آواز	dal	آواز	N;NOM;SG	N;SG
san	سان	san	سان		
ezeket	اینها	ez	این	PRO;ACC;PL;3	PRO;PL
tamás	توماس	tamás	None	N;NOM;SG	N;SG
tamás	تامس	tamás	تامس	N;NOM;SG	N;SG
tamás	توما	tamás	توما	N;NOM;SG	N;SG
tamás	تاماش	tamás	تاماش	N;NOM;SG	N;SG
miért	چرا	miért	چرا	ADV	ADV
birodalom	امپراطوری	birodalom	امپراطوری	N;NOM;SG	N;SG
birodalom	امپایر	birodalom	امپایر	N;NOM;SG	N;SG
birodalom	امپراتوری	birodalom	امپراتوری	N;NOM;SG	N;SG
birodalom	قلمرو	birodalom	قلمرو	N;NOM;SG	N;SG
alsó	تهش	alsó	تهش		
tér	مربع	tér	مربع	N;NOM;SG	N;SG
tér	میدان	tér	میدان	N;NOM;SG	N;SG
tér	فضای	tér	فضا	N;NOM;SG	N;SG
tér	فضا	tér	فضا	N;NOM;SG	N;SG
tér	فضایی	tér	فضا	N;NOM;SG	N;SG
tér	فاصله	tér	فاصله	N;NOM;SG	N;SG
park	park	park	park	N;NOM;SG	N;SG
park	پارک	park	None	N;NOM;SG	N;SG
kör	چرخه	kör	چرخه	N;NOM;SG	N;SG
kör	دایره	kör	دایره	N;NOM;SG	N;SG
járás	منطقه	járás	منطقه	N;NOM;SG	N;SG
járás	ناحیه	járás	ناحیه	N;NOM;SG	N;SG
járás	بخش	járás	بخش	N;NOM;SG	N;SG
minta	نمونه	minta	نمونه	N;NOM;SG	N;SG
minta	الگو	minta	الگو	N;NOM;SG	N;SG
minta	model	minta	model	N;NOM;SG	N;SG
minta	مدل	minta	مدل	N;NOM;SG	N;SG
játékok	بازیهای	játék	None	N;NOM;PL	N;PL
játékok	بازیها	játék	بازی	N;NOM;PL	N;PL
központi	مرکزی	központi	مرکزی	ADJ;NOM;SG	ADJ
források	منابع	forrás	منبع	N;NOM;PL	N;PL
források	منابع	forrás	منبع	N;NOM;PL	N;PL
csapatok	سربازان	csapat	سرباز	N;NOM;PL	N;PL
csapatok	تیمهای	csapat	تیم	N;NOM;PL	N;PL
föld	زمین	föld	زمین	N;NOM;SG	N;SG
föld	خشکی	föld	خشکی	N;NOM;SG	N;SG
föld	land	föld	land	N;NOM;SG	N;SG
föld	سرزمین	föld	سرزمین	N;NOM;SG	N;SG
tartományban	ولایت	tartomány	ولایت	N;IN+ESS;SG	N;SG
tartományban	استان	tartomány	استان	N;IN+ESS;SG	N;SG
poszt	پست	poszt	پست	N;NOM;SG	N;SG
poszt	پستی	poszt	پستی	N;NOM;SG	N;SG
poszt	post	poszt	post	N;NOM;SG	N;SG
tagjai	اعضای	tag	عضو	N;NOM;PL	N;PL
tagjai	اعضا	tag	عضو	N;NOM;PL	N;PL
szabó	زابو	szabó	زابو		
kormány	دولتی	kormány	دولتی	N;NOM;SG	N;SG
kormány	حکومت	kormány	حکومت	N;NOM;SG	N;SG
kormány	دولت	kormány	دولت	N;NOM;SG	N;SG
nek	nek	nek	nek		
hadsereg	ارتش	hadsereg	ارتش	N;NOM;SG	N;SG
hadsereg	نظامی	hadsereg	نظام	N;NOM;SG	N;SG
hadsereg	ارتشی	hadsereg	ارتشی	N;NOM;SG	N;SG
