que	que	que	que	CONJ	CONJ
presidente	présidente	presidente	président	N;MASC;SG	N;FEM;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
presidente	présidente	presidente	président	N;MASC;SG	N;FEM;SG
presidente	président	presidente	président	N;MASC;SG	N;MASC;SG
casa	maison	casa	maison	N;FEM;SG	N;FEM;SG
casa	maison	casa	maison	N;FEM;SG	N;FEM;SG
casa	domicile	casa	domicile	N;FEM;SG	N;MASC;SG
casa	accueil	casa	accueil	N;FEM;SG	N;MASC;SG
sólo	uniquement	sólo	uniquement	ADV	ADV
sólo	seulement	sólo	seulement	ADV	ADV
sólo	simplement	sólo	simplement	ADV	ADV
sólo	juste	sólo	juste	ADV	ADV
álbum	album	álbum	album	N;MASC;SG	N;MASC;SG
cuenta	compter	contar	compter	V;IND;SG;3;PRS;FIN	V;NFIN
junio	juin	junio	juin	N	N;MASC;SG
febrero	fevrier	febrero	fevrier	N	N;MASC;SG
febrero	février	febrero	février	N	N;MASC;SG
ella	she	él	she	PRO;FEM;SG;3	PRO
ella	elle	él	elle	PRO;FEM;SG;3	PRO;FEM;SG;3
ella	her	él	her	PRO;FEM;SG;3	PRO;SG;3
pueden	peuvent	poder	pouvoir	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
varios	plusieurs	varios	plusieurs	PRO;MASC;PL	PRO;PL
solo	uniquement	solo	uniquement	ADV	ADV
solo	seulement	solo	seulement	ADV	ADV
solo	simplement	solo	simplement	ADV	ADV
solo	juste	solo	juste	ADV	ADV
tipo	type	tipo	type	N;MASC;SG	N;MASC;SG
obra	travail	obra	travail	N;FEM;SG	N;MASC;SG
iglesia	église	iglesia	église	N;FEM;SG	N;FEM;SG
iglesia	eglise	iglesia	eglise	N;FEM;SG	N;FEM;SG
película	film	película	film	N;FEM;SG	N;MASC;SG
película	film	película	film	N;FEM;SG	N;MASC;SG
entonces	ensuite	entonces	ensuite	ADV	ADV
entonces	alors	entonces	alors	ADV	ADV
banda	groupe	banda	groupe	N;FEM;SG	N;MASC;SG
banda	orchestre	banda	orchestre	N;FEM;SG	N;MASC;SG
banda	bande	banda	bande	N;FEM;SG	N;FEM;SG
banda	gang	banda	gang	N;FEM;SG	N;MASC;SG
banda	bande	banda	bande	N;FEM;SG	N;FEM;SG
cuatro	quatre	cuatro	quatre	NUM;PL	NUM
zona	zone	zona	zone	N;FEM;SG	N;FEM;SG
zona	région	zona	région	N;FEM;SG	N;FEM;SG
zona	zone	zona	zone	N;FEM;SG	N;FEM;SG
zona	domaine	zona	domaine	N;FEM;SG	N;MASC;SG
televisión	téléviseur	televisión	téléviseur	N;FEM;SG	N;MASC;SG
televisión	télévision	televisión	télévision	N;FEM;SG	N;FEM;SG
televisión	télé	televisión	télé	N;FEM;SG	N;FEM;SG
principal	principal	principal	principal	ADJ;SG	ADJ;MASC;SG
principal	principale	principal	principal	ADJ;SG	ADJ;FEM;SG
principal	principale	principal	principal	ADJ;SG	ADJ;FEM;SG
principal	principal	principal	principal	ADJ;SG	ADJ;MASC;SG
carlos	karl	carlo	karl	N;MASC;SG	N;MASC;SG
carlos	charles	carlo	charle	N;MASC;SG	N;MASC;SG
rey	roi	rey	roi	N;MASC;SG	N;MASC;SG
premio	récompense	premio	récompense	N;MASC;SG	N;FEM;SG
hace	rend	hacer	rendre	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
edición	édition	edición	édition	N;FEM;SG	N;FEM;SG
edición	edition	edición	edition	N;FEM;SG	N;FEM;SG
edición	édition	edición	édition	N;FEM;SG	N;FEM;SG
edición	montage	edición	montage	N;FEM;SG	N;MASC;SG
edición	édition	edición	édition	N;FEM;SG	N;FEM;SG
premios	récompenses	premio	récompense	N;MASC;PL	N;FEM;PL
premios	distinctions	premio	distinction	N;MASC;PL	N;FEM;PL
premios	trophées	premio	trophée	N;MASC;PL	N;MASC;PL
premios	récompenses	premio	récompense	N;MASC;PL	N;FEM;PL
sitio	site	sitio	site	N;MASC;SG	N;MASC;SG
sitio	siege	sitio	siege	N;MASC;SG	N;MASC;SG
sitio	siège	sitio	siège	N;MASC;SG	N;MASC;SG
sitio	site	sitio	site	N;MASC;SG	N;MASC;SG
futbolistas	footballeurs	futbolista	footballeur	N;PL	N;MASC;PL
bien	bien	bien	bien	ADV	ADV
bien	bien	bien	bien	ADV	ADV
segundo	second	segundo	second	ADJ;MASC;SG	ADJ;MASC;SG
segundo	deuxième	segundo	deuxième	ADJ;MASC;SG	ADJ;MASC;SG
segundo	deuxieme	segundo	deuxieme	ADJ;MASC;SG	ADJ;MASC;SG
segundo	seconde	segundo	second	ADJ;MASC;SG	ADJ;FEM;SG
mar	mar	mar	mar	N;SG	N;MASC;SG
mar	mer	mar	mer	N;SG	N;FEM;SG
mar	océan	mar	océan	N;SG	N;MASC;SG
poco	peu	poco	peu	ADV	ADV
orden	ordre	orden	ordre	N;MASC;SG	N;MASC;SG
orden	commande	orden	commande	N;MASC;SG	N;FEM;SG
estadounidense	américaine	estadounidense	américain	ADJ;SG	ADJ;FEM;SG
estadounidense	américain	estadounidense	américain	ADJ;SG	ADJ;MASC;SG
agua	eau	agua	eau	N;FEM;SG	N;FEM;SG
tierra	earth	tierra	earth	N;FEM;SG	N;MASC;SG
tierra	terre	tierra	terre	N;FEM;SG	N;FEM;SG
tierra	terre	tierra	terre	N;FEM;SG	N;FEM;SG
tierra	terrain	tierra	terrain	N;FEM;SG	N;MASC;SG
tierra	terre	tierra	terre	N;FEM;SG	N;FEM;SG
tierra	sol	tierra	sol	N;FEM;SG	N;MASC;SG
título	titre	título	titre	N;MASC;SG	N;MASC;SG
ellos	eux	él	soi	PRO;MASC;PL;3	PRO;MASC;PL;3
ellos	elles	él	il	PRO;MASC;PL;3	PRO;FEM;PL;3
ellos	ils	él	il	PRO;MASC;PL;3	PRO;MASC;PL;3
ellos	eux	él	soi	PRO;MASC;PL;3	PRO;MASC;PL;3
earth	earth	earth	earth	N	N;MASC;SG
earth	terre	earth	terre	N	N;FEM;SG
división	division	división	division	N;FEM;SG	N;FEM;SG
división	circonscription	división	circonscription	N;FEM;SG	N;FEM;SG
canción	chant	canción	chant	N;FEM;SG	N;MASC;SG
canción	chanson	canción	chanson	N;FEM;SG	N;FEM;SG
fecha	date	fecha	date	N;FEM;SG	N;FEM;SG
república	république	república	république	N;FEM;SG	N;FEM;SG
trabajo	travail	trabajo	travail	N;MASC;SG	N;MASC;SG
especie	espèce	especie	espèce	N;FEM;SG	N;FEM;SG
luis	louis	luis	loui	N;MASC;SG	N;MASC;SG
caso	cas	caso	cas	N;MASC;SG	N;MASC;SG
caso	étui	caso	étui	N;MASC;SG	N;MASC;SG
caso	affaire	caso	affaire	N;MASC;SG	N;FEM;SG
obras	travaux	obra	travail	N;FEM;PL	N;MASC;PL
obras	œuvres	obra	œuvre	N;FEM;PL	N;FEM;PL
obras	oeuvres	obra	oeuvre	N;FEM;PL	N;FEM;PL
color	couleur	color	couleur	N;MASC;SG	N;FEM;SG
color	couleur	color	couleur	N;MASC;SG	N;FEM;SG
distrito	district	distrito	district	N;MASC;SG	N;MASC;SG
superficie	surface	superficie	surface	N;FEM;SG	N;FEM;SG
superficie	région	superficie	région	N;FEM;SG	N;FEM;SG
superficie	zone	superficie	zone	N;FEM;SG	N;FEM;SG
superficie	domaine	superficie	domaine	N;FEM;SG	N;MASC;SG
copa	gobelet	copa	gobelet	N;FEM;SG	N;MASC;SG
copa	tasse	copa	tasse	N;FEM;SG	N;FEM;SG
copa	coupe	copa	coupe	N;FEM;SG	N;FEM;SG
muchos	plusieurs	mucho	plusieurs	PRO;MASC;PL	PRO;PL
línea	ligne	línea	ligne	N;FEM;SG	N;FEM;SG
línea	line	línea	line	N;FEM;SG	N;SG
siguiente	prochain	siguiente	prochain	ADJ;SG	ADJ;MASC;SG
siguiente	suivante	siguiente	suivant	ADJ;SG	ADJ;FEM;SG
siguiente	prochaine	siguiente	prochain	ADJ;SG	ADJ;FEM;SG
área	région	área	région	N;FEM;SG	N;FEM;SG
área	zone	área	zone	N;FEM;SG	N;FEM;SG
área	domaine	área	domaine	N;FEM;SG	N;MASC;SG
grandes	grands	grande	grand	ADJ;PL	ADJ;MASC;PL
grandes	grandes	grande	grand	ADJ;PL	ADJ;FEM;PL
grandes	grandes	grande	grand	ADJ;PL	ADJ;FEM;PL
censo	recensement	censo	recensement	N;MASC;SG	N;MASC;SG
liga	league	liga	league	N;FEM;SG	N;MASC;SG
liga	ligue	liga	ligue	N;FEM;SG	N;FEM;SG
liga	liga	liga	liga	N;FEM;SG	N;FEM;SG
estas	ces	este	ce	PRO;FEM;PL	PRO;PL;3
muerte	décès	muerte	décès	N;FEM;SG	N;MASC;SG
través	thru	través	thru	N	N;MASC;SG
menos	moins	menos	moins	ADV	ADV
menos	moins	menos	moins	ADV	ADV
largo	longue	largo	long	ADJ;MASC;SG	ADJ;FEM;SG
largo	long	largo	long	ADJ;MASC;SG	ADJ;MASC;SG
buenos	bons	buen	bon	ADJ;MASC;PL	ADJ;MASC;PL
buenos	bonnes	buen	bon	ADJ;MASC;PL	ADJ;FEM;PL
hijo	fils	hijo	fils	N;MASC;SG	N;MASC;SG
hijo	fiston	hijo	fiston	N;MASC;SG	N;MASC;SG
algunas	certains	alguno	certain	PRO;FEM;PL	PRO;MASC;PL
algunas	certaines	alguno	certain	PRO;FEM;PL	PRO;FEM;PL
algunas	quelques	alguno	quelque	PRO;FEM;PL	PRO;PL
carrera	carrière	carrera	carrière	N;FEM;SG	N;FEM;SG
carrera	course	carrera	course	N;FEM;SG	N;FEM;SG
carrera	race	carrera	race	N;FEM;SG	N;FEM;SG
carrera	carrera	carrera	carrer	N;FEM;SG	N;MASC;SG
poder	pouvoir	poder	pouvoir	V;NFIN	V;NFIN
pueblo	ville	pueblo	ville	N;MASC;SG	N;FEM;SG
