kategória	kategori	kategória	kategori	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
obec	kommune	obec	kommune	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
obec	kommunen	obec	kommune	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
obec	landsbyen	obec	landsby	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
obec	landsby	obec	landsby	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
pre	for	pre	for	ADP;ACC	ADP
jeho	hans	jeho	hans	DET;NOM;NEUT;SG;3	DET;3
jeho	dens	jeho	dens	DET;NOM;NEUT;SG;3	DET;3
jeho	dets	jeho	dets	DET;NOM;NEUT;SG;3	DET;3
bod	punkt	bod	punkt	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
bod	point	bod	point	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
bola	var	byť	være	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
bola	blev	byť	blive	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
bola	været	byť	være	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
zoznam	liste	zoznam	liste	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
zoznam	list	zoznam	list	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
odkazy	henvisninger	odkaz	henvisning	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
odkazy	referencer	odkaz	reference	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
ale	men	ale	men	CONJ	CONJ
počet	antal	počet	antal	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
počet	nummer	počet	nummer	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
boli	var	byť	være	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
miesto	plet	miesto	plet	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
miesto	spot	miesto	spot	N;NOM;NEUT;SG	N;INDF;NEUT;SG
miesto	stedet	miesto	sted	N;NOM;NEUT;SG	N;DEF;NEUT;SG
miesto	sted	miesto	sted	N;NOM;NEUT;SG	N;INDF;NEUT;SG
miesto	plads	miesto	plads	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
miesto	lokalisering	miesto	lokalisering	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
miesto	beliggenhed	miesto	beliggenhed	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
miesto	sted	miesto	sted	N;NOM;NEUT;SG	N;INDF;NEUT;SG
miesto	placering	miesto	placering	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
miesto	lokation	miesto	lokation	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
miesto	mødested	miesto	mødested	N;NOM;NEUT;SG	N;INDF;NEUT;SG
miesto	site	miesto	site	N;NOM;NEUT;SG	N;INDF;NEUT;SG
bolo	var	byť	være	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
bolo	blev	byť	blive	V;IPFV;NEUT;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
obcí	kommuner	obec	kommune	N;GEN;FEM;PL	N;INDF;MASC+FEM;PL
obcí	kommunerne	obec	kommune	N;GEN;FEM;PL	N;DEF;MASC+FEM;PL
obcí	kommuner	obec	kommune	N;GEN;FEM;PL	N;INDF;MASC+FEM;PL
obcí	kommunerne	obec	kommune	N;GEN;FEM;PL	N;DEF;MASC+FEM;PL
obci	kommune	obec	kommune	N;DAT;FEM;SG	N;INDF;MASC+FEM;SG
medzi	mellem	medzi	mellem	ADP;INS	ADP
projekty	projekter	projekt	projekt	N;INAN;NOM;MASC;PL	N;INDF;NEUT;PL
projekty	projekterne	projekt	projekt	N;INAN;NOM;MASC;PL	N;DEF;NEUT;PL
francúzska	franskmand	francúzsky	franskmand	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
najvyšší	højest	vysoký	højest	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;DEF;RL
najvyšší	højeste	vysoký	høj	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;DEF;RL
vývoj	udviklingen	vývoj	udvikling	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
vývoj	udvikling	vývoj	udvikling	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
vývoj	evolution	vývoj	evolution	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
vývoj	udviklingen	vývoj	udvikling	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
vývoj	udvikling	vývoj	udvikling	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
vývoj	udviklingen	vývoj	udvikling	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
graf	diagram	graf	diagram	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
graf	figur	graf	figur	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
graf	graf	graf	graf	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
graf	diagram	graf	diagram	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
graf	figur	graf	figur	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
najnižší	lavest	žízky	lav	ADJ;INAN;NOM;RL;MASC;SG	ADJ;DEF;RL
najnižší	laveste	žízky	lav	ADJ;INAN;NOM;RL;MASC;SG	ADJ;DEF;RL
kde	hvor	kde	hvor	ADV	ADV
môže	kan	môcť	kunne	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
môže	kan	môcť	kunne	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
nasledujúci	næste	nasledujúci	næste	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ
zobrazuje	viser	zobrazovať	vise	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
zobrazuje	viser	zobrazovať	vise	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
keď	når	keď	når	CONJ	CONJ
mesto	town	mesto	town	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
mesto	byen	mesto	by	N;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
mesto	by	mesto	by	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
mesto	byen	mesto	by	N;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
mesto	storby	mesto	storby	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
mesto	by	mesto	by	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
september	september	september	september	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
úmrtia	dødsfald	úmrtie	dødsfald	N;NOM;NEUT;PL	N;INDF;NEUT;PL
úmrtia	dødsfald	úmrtie	dødsfald	N;NOM;NEUT;PL	N;INDF;NEUT;PL
úmrtia	dødsfald	úmrtie	dødsfald	N;NOM;NEUT;PL	N;INDF;NEUT;PL
slovenský	slovakisk	slovenský	slovakisk	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
slovenský	slovakisk	slovenský	slovakisk	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
storočia	århundreder	storočie	århundrede	N;NOM;NEUT;PL	N;INDF;NEUT;PL
stránka	side	stránka	side	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
stránka	site	stránka	site	N;NOM;FEM;SG	N;INDF;NEUT;SG
skupiny	grupper	skupina	gruppe	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
skupiny	grupperne	skupina	gruppe	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
html	html	htmly	html	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
roka	aars	rok	aars	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
roka	året	rok	år	N;INAN;GEN;MASC;SG	N;DEF;NEUT;SG
roka	år	rok	år	N;INAN;GEN;MASC;SG	N;INDF;NEUT;SG
časť	afdeling	časť	afdeling	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
časť	sektion	časť	sektion	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
časť	afsnittet	časť	afsnitte	N;NOM;FEM;SG	N;DEF;NEUT;SG
časť	afsnit	časť	afsnit	N;NOM;FEM;SG	N;INDF;NEUT;SG
časť	del	časť	del	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
ngc	ngc	my	ngc	N;NOM;FEM;SG	N;INDF;NEUT;SG
október	oktober	október	oktober	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
mesta	town	mesto	town	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
mesta	byen	mesto	by	N;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
mesta	by	mesto	by	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
mesta	byen	mesto	by	N;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
mesta	storby	mesto	storby	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
mesta	by	mesto	by	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
marec	marts	marec	marts	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
marec	march	marec	march	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
august	august	august	august	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
august	aug	august	aug	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
skupina	gruppe	skupina	gruppe	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
skupina	group	skupina	group	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
skupina	gruppen	skupina	gruppe	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
potom	derefter	potom	derefter	ADV	ADV
potom	så	potom	så	ADV	ADV
oficiálna	officiel	oficiálny	officiel	ADJ;NOM;FEM;SG	ADJ;INDF;MASC+FEM;SG
narodenia	fødsler	narodenie	fødsel	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
osobnosti	personligheder	osobnosť	personlighed	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
bratislava	bratislava	bratislava	bratislava	N;NOM;FEM;SG	N;INDF;NEUT;SG
november	november	november	november	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
december	december	december	december	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
december	dec	december	dec	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
stal	blev	stať	blive	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
oblasti	områder	oblasť	område	N;NOM;FEM;PL	N;INDF;NEUT;PL
oblasti	arealer	oblasť	areal	N;NOM;FEM;PL	N;INDF;NEUT;PL
január	januar	január	januar	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
súbor	file	súbor	file	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
súbor	filen	súbor	fil	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
súbor	fil	súbor	fil	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
mal	havde	mať	have	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
mal	haft	mať	have	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
mal	mal	mať	mal	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IMP
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
apríl	april	aprila	april	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
sveta	verden	svet	verden	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
február	februar	február	februar	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
február	feb	február	feb	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
náhľad	forhåndsvisning	náhľad	forhåndsvisning	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
mužov	mændene	muž	mand	N;ANIM;ACC;MASC;PL	N;DEF;MASC+FEM;PL
mužov	mænd	muž	mand	N;ANIM;ACC;MASC;PL	N;INDF;MASC+FEM;PL
názov	betegnelse	názov	betegnelse	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
názov	benævnelse	názov	benævnelse	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
názov	betegnelse	názov	betegnelse	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
názov	navn	názov	navn	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
názov	betegnelse	názov	betegnelse	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
názov	overskrift	názov	overskrift	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
názov	titel	názov	titel	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
názov	afsnit	názov	afsnit	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
prvý	første	prvý	første	ADJ;ANIM;NOM;MASC;SG	ADJ
text	tekst	text	tekst	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
text	sms	text	sms	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
text	teksten	text	tekst	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
slovenskej	slovakisk	slovenský	slovakisk	ADJ;GEN;FEM;SG	ADJ;INDF;SG
spolu	sammen	spolu	sammen	ADV	ADV
preto	derfor	preto	derfor	ADV	ADV
preto	deraf	preto	deraf	ADV	ADV
preto	derfor	preto	derfor	ADV	ADV
bar	bar	bar	bar	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
americký	amerikansk	americký	amerikansk	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
júl	juli	júl	juli	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
cez	via	cez	via	ADP;ACC	ADP
objavil	opdagede	objaviť	opdage	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
objavil	opdaget	objaviť	opdage	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
vojny	krige	vojna	krig	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
vojny	krigene	vojna	krig	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
vojny	krige	vojna	krig	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
rok	aars	rok	aars	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
rok	året	rok	år	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
rok	år	rok	år	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
ulica	gade	ulica	gade	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
ulica	street	ulica	stre	N;NOM;FEM;SG	N;INDF;NEUT;SG
ulica	gaden	ulica	gade	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
album	album	album	album	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
album	plade	album	plade	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
album	albummet	album	album	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
dátum	date	dátum	date	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
dátum	dato	dátum	dato	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
žien	kvinderne	žena	kvinde	N;GEN;FEM;PL	N;DEF;MASC+FEM;PL
žien	kvinder	žena	kvinde	N;GEN;FEM;PL	N;INDF;MASC+FEM;PL
januára	januar	január	januar	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
majú	har	mať	have	V;IPFV;IND;PL;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
majú	have	mať	have	V;IPFV;IND;PL;3;POS;PRS;FIN	V;NFIN;ACT
francúzsky	franskmand	francúzsky	franskmand	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
mestá	byer	mesto	by	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
mestá	byerne	mesto	by	N;NOM;NEUT;PL	N;DEF;MASC+FEM;PL
mestá	storbyer	mesto	storby	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
mestá	byer	mesto	by	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
svoje	dens	svoj	dens	DET;ACC;NEUT;SG;REFL	DET;3
svoje	dets	svoj	dets	DET;ACC;NEUT;SG;REFL	DET;3
český	tjekkisk	český	tjekkisk	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
často	hyppigt	často	hyppigt	ADV	ADV
často	tit	často	tit	ADV	ADV
často	ofte	často	ofte	ADV	ADV
často	tit	často	tit	ADV	ADV
často	ofte	často	ofte	ADV	ADV
šablóny	skabeloner	šablón	skabelon	N;INAN;NOM;MASC;PL	N;INDF;MASC+FEM;PL
dnes	idag	dnes	idag	ADV	ADV
slovensko	slovakiet	slovensko	slovakium	N;NOM;NEUT;SG	N;DEF;NEUT;SG
pretože	fordi	pretože	fordi	CONJ	CONJ
nové	ny	nový	ny	ADJ;NOM;NEUT;SG	ADJ;INDF;MASC+FEM;SG
nové	nyt	nový	ny	ADJ;NOM;NEUT;SG	ADJ;INDF;NEUT;SG
štátu	stat	štát	stat	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
štátu	delstat	štát	delstat	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
štátu	tilstand	štát	tilstand	N;INAN;GEN;MASC;SG	N;INDF;MASC+FEM;SG
ďalšie	næste	ďalší	næste	ADJ;NOM;NEUT;SG	ADJ
meno	betegnelse	meno	betegnelse	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
meno	navn	meno	navn	N;NOM;NEUT;SG	N;INDF;NEUT;SG
dve	to	dva	to	NUM;NOM;FEM;PL	NUM
dva	to	dva	to	NUM;INAN;NOM;MASC;PL	NUM
mala	havde	mať	have	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
mala	haft	mať	have	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
približne	omkring	približne	omkring	ADV	ADV
približne	groft	približne	groft	ADV	ADV
prvé	første	prvý	første	ADJ;NOM;NEUT;SG	ADJ
tri	tre	tri	tre	NUM;INAN;NOM;MASC;PL	NUM
nich	dem	on	de	PRO;ANIM;ACC;MASC;PL;3	PRO;ACC;PL;3
začal	startet	začať	starte	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
začal	påbegyndt	začať	påbegynde	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
začal	begyndte	začať	begynde	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
začal	begyndt	začať	begynde	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;INDF;SG;PST;V.PTCP
začal	startede	začať	starte	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
začal	begyndte	začať	begynde	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
stránke	side	stránka	side	N;DAT;FEM;SG	N;INDF;MASC+FEM;SG
film	folie	film	folie	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
spoločnosti	selskaber	spoločnosť	selskab	N;NOM;FEM;PL	N;INDF;NEUT;PL
spoločnosti	selskaber	spoločnosť	selskab	N;NOM;FEM;PL	N;INDF;NEUT;PL
spoločnosti	virksomheder	spoločnosť	virksomhed	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
spoločnosti	firmaer	spoločnosť	firma	N;NOM;FEM;PL	N;INDF;NEUT;PL
mali	havde	mať	have	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP	V;IND;PST;FIN;ACT
slovenská	slovakisk	slovenský	slovakisk	ADJ;NOM;FEM;SG	ADJ;INDF;SG
strany	sider	strana	side	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
strany	fester	strana	fest	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
strany	parter	strana	part	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
strany	parterne	strana	part	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
strany	partier	strana	parti	N;NOM;FEM;PL	N;INDF;NEUT;PL
prvá	første	prvý	første	ADJ;NOM;FEM;SG	ADJ
nemecký	tysk	nemecký	tysk	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
storočí	århundrede	storočie	århundrede	N;NOM;NEUT;SG	N;INDF;NEUT;SG
storočí	århundrede	storočie	århundrede	N;NOM;NEUT;SG	N;INDF;NEUT;SG
hlavne	hovedsageligt	hlavne	hovedsageligt	ADV	ADV
hlavne	primært	hlavne	primært	ADV	ADV
hlavne	hovedsagelig	hlavne	hovedsagelig	ADV	ADV
hlavne	specielt	hlavne	specielt	ADV	ADV
hlavne	især	hlavne	især	ADV	ADV
astronóm	astronom	astronó	astronom	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
rod	rod	rod	rod	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
rod	stang	rod	stang	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
titul	betegnelse	tituť	betegnelse	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
titul	overskrift	tituť	overskrift	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
titul	titel	tituť	titel	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
titul	afsnit	tituť	afsnit	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
kostol	church	kostol	church	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
kostol	kirken	kostol	kirk	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
kostol	kirke	kostol	kirke	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
republiky	republikkerne	republika	republik	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
republiky	republikker	republika	republik	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
ženy	hunner	žena	hunne	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
ženy	kvinder	žena	kvinde	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
ženy	kvinderne	žena	kvinde	N;NOM;FEM;PL	N;DEF;MASC+FEM;PL
ženy	kvinder	žena	kvinde	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
ďalej	videre	ďalej	videre	ADV	ADV
kedy	da	kedy	da	ADV	ADV
kedy	hvornår	kedy	hvornår	ADV	ADV
územia	territorier	územie	territori	N;NOM;NEUT;PL	N;INDF;MASC+FEM;PL
systém	systemet	systém	system	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
systém	ordning	systém	ordning	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
systém	system	systém	system	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
ide	går	ísť	gå	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
ide	går	ísť	gå	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;PRS;FIN;ACT
ide	goes	ísť	gov	V;IPFV;IND;SG;3;POS;PRS;FIN	V;NFIN;PASS
potok	bæk	potok	bæk	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
potok	strøm	potok	strøm	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
góly	målsætninger	góla	målsætning	N;NOM;FEM;PL	N;INDF;MASC+FEM;PL
spisovateľ	forfatter	spisovateľ	forfatter	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
spisovateľ	skribent	spisovateľ	skribent	N;ANIM;NOM;MASC;SG	N;INDF;MASC+FEM;SG
pôvodne	oprindeligt	pôvodne	oprindeligt	ADV	ADV
pôvodne	oprindelig	pôvodne	oprindelig	ADV	ADV
pôvodne	oprindeligt	pôvodne	oprindeligt	ADV	ADV
pôvodne	oprindelig	pôvodne	oprindelig	ADV	ADV
súhvezdie	stjernebillede	súhvezdie	stjernebillet	N;NOM;NEUT;SG	N;INDF;NEUT;SG
známy	kendt	známy	kendt	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
známy	bekendt	známy	bekendt	ADJ;ANIM;NOM;MASC;SG	ADJ;INDF;SG
haute	haute	haute	haute	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
veľkosť	størrelse	veľkosť	størrelse	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
veľkosť	størrelsen	veľkosť	størrelse	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
klub	klub	klub	klub	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
klub	club	klub	club	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
klub	natklub	klub	natklub	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
klub	kølle	klub	kølle	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
klub	klubben	klub	klub	N;INAN;NOM;MASC;SG	N;DEF;MASC+FEM;SG
